	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.13O61.0726.SM.5J2MD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDTT.0926.SM.5J2MS	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZYT6.0526.SM.5GIEA	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.144GO.0226.SM.5LUB1
C1orf116	0.0	0.24	395.18	2816.11	5872.48	5147.73	444.72	6516.03	123.5	967.76	4268.94	5041.77	1583.71	2739.08	5255.91	3146.52	107.38	3146.52	2061.24	287.01	6840.04	2224.63	249.73	3690.52	2935.74	947.83	6471.02	7642.41	1832.01	733.19	224.97	1143.1	1769.57
C1orf172	0.0	0.0	115.16	204.07	336.79	143.01	141.02	153.34	64.8	161.02	239.52	295.11	229.72	173.85	332.14	197.09	88.88	183.82	208.38	119.26	303.44	297.17	152.28	199.85	163.28	133.36	336.79	287.01	107.38	153.34	88.88	199.85	141.02
CHPT1	0.0	0.68	1295.13	1769.57	3190.46	2133.97	785.88	1697.45	1119.56	1498.22	4607.24	1583.71	954.43	2032.85	2434.5	1313.23	854.13	1242.34	3589.58	607.87	2047.0	860.08	1322.37	1378.57	1437.15	713.11	1250.98	3665.02	1081.39	928.3	1417.35	1051.79	2240.11
COL4A4	0.0	0.18	38.95	450.94	1594.73	825.0	37.05	85.22	75.11	486.75	1143.1	651.58	579.04	915.51	392.44	665.29	28.04	764.36	543.96	76.17	1199.98	138.1	63.89	339.14	1119.56	368.65	890.44	878.17	518.15	253.23	37.59	123.5	70.01
CRYZ	0.0	0.39	583.07	1457.23	1111.82	1757.34	90.14	612.11	190.34	1233.75	1697.45	825.0	329.84	1519.15	1832.01	1883.54	435.55	791.35	718.08	334.46	1073.91	738.29	151.22	1551.09	669.92	395.18	1135.2	921.88	1397.83	718.08	234.57	718.08	89.51
EPDR1	0.0	0.42	287.01	303.44	2935.74	836.53	105.89	295.11	105.89	571.05	2004.85	1340.84	301.33	967.76	3168.41	679.29	52.45	334.46	733.19	55.89	2609.3	679.29	201.25	540.19	547.75	373.81	1950.0	1769.57	312.0	336.79	84.04	255.0	194.36
FOXA2	0.0	0.13	84.63	221.86	3235.01	1175.27	356.05	132.44	11.3	353.59	1096.5	5147.73	463.65	728.11	3467.27	878.17	44.57	406.31	1407.55	57.08	5479.15	1477.58	28.65	1111.82	551.56	150.17	2875.3	2835.7	25.91	202.66	75.64	389.72	97.36
GNPTAB	214.27	368.65	441.64	679.29	974.5	1508.65	253.23	318.57	426.57	587.13	1135.2	563.18	748.61	1417.35	1037.29	723.08	305.55	518.15	896.64	441.64	808.0	629.35	412.0	769.69	825.0	575.03	902.89	995.0	454.09	480.04	373.81	426.57	346.29
GPD1L	0.0	0.29	417.77	1008.9	2520.38	1572.76	148.09	470.14	307.69	796.86	1369.04	1487.87	780.44	2240.11	2915.45	1073.91	125.24	656.11	1639.59	190.34	2502.97	497.0	327.56	1151.06	1313.23	368.65	2351.53	2133.97	540.19	426.57	217.27	392.44	119.26
HEY1	0.0	0.59	190.34	255.0	575.03	909.17	185.11	147.06	120.94	356.05	3349.13	426.57	1167.14	1030.12	1119.56	525.39	85.22	406.31	395.18	81.71	1447.15	579.04	275.28	1477.58	860.08	69.03	295.11	684.02	68.55	169.07	262.2	275.28	121.79
IARS2	0.0	0.38	409.15	718.08	1119.56	1135.2	271.48	343.89	392.44	595.34	1151.06	921.88	540.19	1277.29	1111.82	915.51	204.07	748.61	915.51	262.2	941.27	753.83	414.87	961.07	651.58	480.04	884.29	995.0	543.96	603.67	316.37	607.87	307.69
IL17D	0.0	0.18	165.57	656.11	624.99	503.95	112.77	412.0	244.57	343.89	1167.14	547.75	497.0	547.75	764.36	285.03	181.28	633.73	429.54	125.24	595.34	403.5	165.57	493.56	435.55	198.47	473.41	830.75	397.93	529.06	159.9	289.02	81.71
ILDR1	0.0	0.0	32.36	88.26	341.51	87.03	27.44	73.54	50.63	63.45	197.09	198.47	87.03	88.26	206.94	102.97	27.05	91.41	85.22	39.22	237.86	139.07	26.67	129.69	85.82	50.27	226.54	154.42	35.76	75.11	19.97	77.79	48.87
IRX2	0.0	0.28	132.44	1191.69	5913.33	1508.65	84.63	679.29	26.1	878.17	2573.36	4704.07	476.71	1225.22	4543.8	1199.98	23.93	1073.91	1583.71	34.02	6652.97	764.36	118.43	2976.74	1331.57	186.4	2178.83	5403.7	116.78	177.53	87.65	406.31	341.51
KLHDC7A	0.0	0.0	2.16	18.97	106.63	19.11	1.39	5.23	3.26	0.0	37.85	155.5	9.63	46.5	65.26	18.16	0.0	0.0	8.19	1.38	157.68	16.03	2.16	102.97	26.67	1.38	163.28	27.64	4.03	4.94	0.0	3.92	2.23
KLRG2	0.0	0.0	22.26	334.46	629.35	356.05	8.58	13.03	25.17	55.49	373.81	616.37	31.45	295.11	236.21	74.06	73.03	73.54	271.48	46.5	1135.2	202.66	51.71	295.11	397.93	112.77	629.35	269.6	164.42	163.28	57.89	60.82	21.94
LIPH	40.93	81.71	91.41	791.35	1583.71	928.3	217.27	124.37	204.07	669.92	1487.87	1159.07	371.22	435.55	1242.34	612.11	86.43	909.17	954.43	121.79	1794.29	665.29	146.03	1081.39	540.19	329.84	1233.75	2502.97	426.57	323.03	161.02	476.71	559.28
MAGI3	0.0	0.23	244.57	503.95	921.88	1304.15	130.6	379.04	189.02	500.46	995.0	638.15	595.34	1111.82	967.76	713.11	124.37	651.58	748.61	339.14	915.51	476.71	291.04	703.28	629.35	264.03	884.29	656.11	503.95	239.52	217.27	297.17	320.8
MANSC1	0.0	0.42	169.07	256.78	698.41	780.44	72.01	103.69	45.85	115.97	884.29	473.41	376.41	571.05	684.02	733.19	28.86	269.6	441.64	66.65	791.35	199.85	96.01	708.18	356.05	126.12	409.15	521.76	215.77	141.02	34.26	189.02	65.72
MVB12B	0.0	0.16	151.22	642.59	1977.24	1159.07	85.22	255.0	88.88	343.89	2351.53	1551.09	441.64	1259.69	1111.82	836.53	136.19	836.53	896.64	128.79	1857.6	297.17	202.66	1225.22	1175.27	426.57	1008.9	1008.9	780.44	293.07	170.25	301.33	176.29
NRL	0.0	0.0	31.67	27.25	57.08	61.25	20.11	20.41	7.34	18.7	82.87	35.0	47.17	49.56	67.59	76.17	10.96	49.21	48.18	15.22	62.12	20.71	36.01	47.84	24.46	59.55	68.07	42.71	33.3	29.06	10.55	31.45	8.92
OCIAD2	0.0	0.52	490.14	1572.76	2224.63	1963.57	366.09	571.05	376.41	974.5	1936.53	1733.13	743.43	1651.0	2701.35	1498.22	353.59	1322.37	1044.52	346.29	1529.73	1233.75	466.88	2319.15	1008.9	551.56	1745.2	2367.9	909.17	723.08	339.14	941.27	559.28
OCLN	325.29	152.28	638.15	1617.0	4038.61	3491.39	115.97	348.71	395.18	1605.83	2400.97	1259.69	1447.15	2163.77	4038.61	1733.13	208.38	1088.92	941.27	392.44	3060.45	974.5	599.49	1127.35	974.5	348.71	1617.0	1051.79	1037.29	642.59	698.41	902.89	529.06
PCDH20	0.0	0.0	11.64	35.76	718.08	239.52	20.71	18.16	12.45	43.63	244.57	156.59	214.27	197.09	825.0	131.51	6.67	77.79	93.35	14.56	197.09	206.94	1.93	78.89	85.22	43.94	277.2	87.03	31.67	16.39	10.24	30.12	40.64
PCYOX1	293.07	53.57	1111.82	2209.26	3060.45	2434.5	366.09	1304.15	759.08	1457.23	3060.45	1733.13	1583.71	3349.13	2148.82	1991.0	753.83	2209.26	2032.85	521.76	2537.92	1697.45	1044.52	3124.78	2047.0	1059.11	1733.13	2520.38	2816.11	1216.75	1044.52	1322.37	785.88
PRKG2	0.0	0.0	34.02	116.78	253.23	432.53	19.82	56.68	32.82	34.26	251.48	99.43	67.12	277.2	120.1	241.19	10.39	59.13	122.64	13.03	267.73	37.05	47.5	170.25	89.51	35.0	231.32	145.02	80.01	14.14	23.59	72.52	21.32
PRSS16	0.0	0.0	122.64	159.9	616.37	373.81	124.37	178.77	66.18	155.5	518.15	392.44	309.83	256.78	551.56	450.94	68.07	253.23	309.83	124.37	532.74	237.86	101.54	358.54	316.37	119.26	444.72	426.57	215.77	202.66	38.4	169.07	120.94
RAI2	0.0	0.48	460.44	591.22	2018.8	884.29	194.36	532.74	571.05	665.29	2004.85	1030.12	466.88	1066.48	2119.22	967.76	265.87	1191.69	2178.83	218.79	1331.57	236.21	450.94	988.12	921.88	353.59	1037.29	1950.0	532.74	616.37	283.05	480.04	343.89
RIMKLA	0.0	0.15	20.86	156.59	432.53	167.9	5.59	100.13	57.49	45.85	147.06	193.01	105.89	130.6	214.27	127.0	70.51	119.26	148.09	15.11	363.56	109.66	32.36	156.59	105.15	22.43	251.48	325.29	119.26	56.28	41.22	53.95	123.5
SERTM1	0.0	0.0	29.48	181.28	497.0	1127.35	7.75	108.14	58.71	115.97	480.04	447.82	181.28	902.89	197.09	733.19	51.71	234.57	234.57	18.43	463.65	162.14	49.56	728.11	454.09	69.03	231.32	285.03	189.02	82.29	105.15	120.94	28.65
SNX14	1417.35	130.6	728.11	1745.2	1551.09	2209.26	555.41	1183.45	454.09	941.27	1883.54	1250.98	1030.12	1923.14	1923.14	1651.0	480.04	1388.16	1457.23	753.83	1639.59	866.07	909.17	1991.0	1757.34	796.86	1331.57	1721.16	1073.91	915.51	432.53	708.18	759.08
SOGA3	0.0	0.0	42.11	33.3	90.77	45.53	2.66	52.08	42.41	35.76	127.0	115.16	34.51	77.79	105.15	63.89	22.59	33.06	35.0	25.54	120.1	46.84	21.63	49.21	68.55	49.21	65.72	81.71	70.51	21.47	46.84	45.53	22.59
SPAST	0.0	0.24	71.0	171.45	176.29	384.34	26.67	64.8	37.32	84.04	190.34	129.69	75.64	246.28	244.57	277.2	19.25	111.21	129.69	45.53	171.45	70.01	50.63	194.36	94.01	63.0	120.1	127.0	69.03	61.68	49.56	57.89	43.02
SPRYD7	0.0	0.0	208.38	536.45	460.44	567.1	122.64	312.0	146.03	208.38	463.65	423.61	323.03	417.77	514.56	616.37	80.57	353.59	297.17	143.01	503.95	358.54	163.28	511.0	269.6	181.28	423.61	444.72	248.0	273.37	145.02	277.2	154.42
ST6GALNAC5	0.0	0.16	785.88	796.86	819.3	2335.28	53.57	420.68	273.37	291.04	1781.89	612.11	356.05	1977.24	376.41	1819.35	224.97	1697.45	620.67	167.9	854.13	283.05	507.46	860.08	575.03	769.69	1183.45	536.45	1617.0	260.38	351.14	242.88	165.57
STARD7	1388.16	105.15	1477.58	2400.97	2701.35	2451.44	1277.29	1447.15	1407.55	1857.6	2664.15	2956.17	1963.57	3257.52	3564.78	2224.63	1572.76	2367.9	2682.69	1081.39	3467.27	2417.67	1407.55	3665.02	2835.7	1225.22	3955.48	3124.78	1870.53	1883.54	1950.0	1819.35	1388.16
TAMM41	0.0	0.0	61.68	109.66	169.07	295.11	102.25	107.38	47.17	134.3	275.28	195.72	126.12	339.14	204.07	265.87	60.39	132.44	198.47	74.06	218.79	111.99	96.01	255.0	209.84	120.1	211.31	221.86	108.9	103.69	31.67	105.89	57.08
TMEM139	0.0	0.07	134.3	909.17	2739.08	2739.08	41.22	358.54	133.36	256.78	3103.19	2796.65	387.02	1651.0	2720.15	1721.16	92.05	575.03	1794.29	80.01	3690.52	348.71	79.45	4903.87	1685.71	190.34	4010.71	1832.01	379.04	111.21	43.32	115.97	96.68
TMEM61	0.0	0.14	4.74	72.01	65.26	97.36	17.38	22.43	4.1	12.74	111.99	198.47	18.7	49.56	120.94	67.59	10.0	59.55	218.79	6.94	55.89	43.32	36.01	116.78	46.18	21.94	92.05	121.79	67.12	19.68	0.62	14.45	17.64
UTRN	0.0	0.44	1508.65	1769.57	4095.0	2645.74	258.57	532.74	1111.82	1417.35	2485.67	1417.35	2209.26	2875.3	1561.89	2047.0	532.74	1225.22	2018.8	1073.91	4181.07	902.89	836.53	1870.53	2627.46	1304.15	1498.22	1037.29	2451.44	1268.46	830.75	1340.84	988.12
WASF3	17.13	73.54	122.64	258.57	587.13	246.28	70.01	93.35	187.71	228.13	934.76	457.25	759.08	312.0	555.41	256.78	26.67	180.02	848.22	36.79	547.75	267.73	130.6	264.03	334.46	81.14	660.68	529.06	185.11	106.63	100.13	105.15	157.68
ZNF552	0.0	0.27	56.28	103.69	143.01	191.67	77.79	69.52	50.98	130.6	334.46	314.17	253.23	236.21	289.02	186.4	20.11	139.07	271.48	37.05	316.37	84.04	90.77	182.55	249.73	98.73	307.69	406.31	102.97	71.5	39.22	88.26	70.01
