	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.13CF2.2426.SM.5LZYL
BCORL1	46.5	37.85	381.68	206.94	180.02	82.87	55.1	105.15	72.52	66.65	109.66	107.38	70.01	234.57	87.03	52.08	191.67	110.43	155.5	134.3	93.35	98.04	88.26	214.27	90.14	104.42	45.85	71.5	137.14	35.0	150.17	75.64	33.54	151.22	0.0	0.41	31.0	8.0	120.94
BMPR1A	79.45	43.02	521.76	356.05	175.07	94.67	61.68	158.79	86.43	72.52	152.28	84.63	68.55	264.03	215.77	120.94	144.01	122.64	262.2	183.82	297.17	212.78	134.3	147.06	102.97	72.01	133.36	88.26	140.04	76.17	99.43	142.01	44.57	135.24	0.0	0.14	94.67	59.97	97.36
BSN	0.33	1.89	32.13	12.45	2.36	0.43	0.45	12.18	1.58	9.06	15.11	21.32	8.58	7.94	10.96	5.06	21.32	2.92	15.56	8.19	12.0	5.87	4.82	15.45	6.41	2.92	4.82	4.54	5.92	3.08	2.58	10.79	3.41	6.36	0.0	0.13	0.54	1.1	1.85
BTBD8	0.99	4.1	53.19	97.36	58.71	3.03	3.47	2.97	7.51	6.78	28.04	4.39	1.46	11.55	12.45	1.89	30.34	2.81	40.64	18.16	24.46	23.59	25.54	31.0	16.03	1.06	2.86	4.82	18.16	0.0	2.48	3.76	1.08	15.11	0.0	0.0	1.58	0.67	6.41
BTBD9	27.64	47.17	265.87	237.86	85.82	4.39	44.25	161.02	90.77	125.24	214.27	96.01	90.77	159.9	180.02	126.12	120.1	112.77	182.55	140.04	136.19	148.09	149.12	162.14	110.43	101.54	123.5	98.73	143.01	87.03	96.01	176.29	59.97	118.43	56.68	42.11	21.47	9.63	94.67
C15orf38	189.02	217.27	426.57	559.28	483.38	186.4	115.16	269.6	323.03	244.57	518.15	139.07	123.5	223.41	320.8	226.54	463.65	220.32	633.73	215.77	543.96	476.71	249.73	470.14	201.25	110.43	285.03	221.86	283.05	287.01	159.9	212.78	149.12	224.97	0.0	0.33	103.69	132.44	124.37
C20orf194	67.59	29.91	381.68	387.02	217.27	20.11	41.81	258.57	163.28	221.86	563.18	384.34	115.16	161.02	271.48	169.07	559.28	204.07	320.8	264.03	400.71	373.81	186.4	316.37	158.79	241.19	101.54	112.77	195.72	127.0	171.45	191.67	110.43	312.0	0.0	0.52	35.25	39.22	86.43
C2orf43	363.56	131.51	412.0	341.51	356.05	161.02	183.82	283.05	540.19	309.83	262.2	387.02	182.55	327.56	381.68	180.02	595.34	325.29	563.18	339.14	420.68	525.39	395.18	591.22	124.37	181.28	202.66	255.0	384.34	171.45	126.12	361.04	186.4	229.72	0.0	0.09	277.2	175.07	61.25
C4orf36	55.1	40.64	507.46	204.07	187.71	120.1	73.03	197.09	143.01	90.14	156.59	218.79	85.82	368.65	167.9	84.04	193.01	271.48	198.47	141.02	201.25	189.02	182.55	167.9	146.03	119.26	106.63	64.34	91.41	111.21	34.26	106.63	111.21	136.19	0.0	0.24	49.91	104.42	226.54
CACNA1D	0.35	2.56	161.02	14.67	0.77	0.71	2.27	56.68	71.5	76.71	159.9	115.97	86.43	6.46	96.68	76.17	113.56	31.67	271.48	145.02	194.36	108.14	24.81	158.79	21.47	13.52	78.89	22.75	106.63	55.89	50.63	209.84	33.54	110.43	0.0	0.53	19.11	0.0	8.32
CAPN5	28.86	36.79	241.19	148.09	164.42	30.12	69.52	267.73	688.78	587.13	684.02	703.28	147.06	551.56	764.36	555.41	1159.07	595.34	819.3	555.41	603.67	624.99	289.02	1605.83	400.71	583.07	209.84	454.09	490.14	480.04	239.52	521.76	289.02	563.18	0.0	0.58	63.89	17.38	414.87
CASC4	242.88	356.05	2319.15	1617.0	587.13	312.0	371.22	1498.22	1950.0	688.78	1950.0	1819.35	1066.48	1832.01	2178.83	813.63	2075.59	1769.57	2119.22	1628.26	2163.77	2384.37	1697.45	1781.89	1066.48	947.83	733.19	1088.92	1936.53	1268.46	1127.35	1883.54	808.0	1350.18	780.44	2537.92	947.83	389.72	420.68
CCDC89	1.3	7.75	83.45	34.26	34.51	0.87	4.17	19.68	26.28	13.03	8.45	13.83	56.28	26.67	56.28	16.39	38.4	56.68	57.49	19.82	14.14	42.41	37.59	34.51	39.5	7.17	8.45	42.41	59.97	12.45	34.75	6.16	11.47	27.25	0.0	0.0	3.63	0.45	27.84
CDC14B	69.52	49.56	351.14	679.29	1340.84	14.78	88.88	403.5	358.54	229.72	343.89	283.05	134.3	376.41	320.8	246.28	395.18	624.99	432.53	318.57	460.44	299.25	486.75	540.19	275.28	305.55	289.02	182.55	215.77	186.4	130.6	211.31	138.1	226.54	144.01	72.01	55.89	36.01	133.36
CEP112	88.88	76.71	299.25	346.29	133.36	66.65	177.53	242.88	131.51	136.19	137.14	406.31	111.99	214.27	136.19	43.94	343.89	295.11	223.41	358.54	205.5	221.86	189.02	152.28	229.72	199.85	60.39	327.56	185.11	236.21	218.79	191.67	211.31	287.01	0.0	0.49	31.0	17.25	327.56
CHD9	169.07	105.15	620.67	575.03	255.0	145.02	169.07	387.02	186.4	123.5	392.44	312.0	76.71	260.38	351.14	148.09	480.04	251.48	438.59	320.8	514.56	476.71	414.87	371.22	178.77	201.25	149.12	165.57	211.31	180.02	139.07	309.83	111.99	194.36	0.0	0.42	157.68	223.41	173.85
CHST10	17.38	35.25	579.04	130.6	299.25	82.29	26.1	185.11	181.28	72.52	149.12	182.55	17.13	253.23	187.71	91.41	356.05	144.01	343.89	187.71	149.12	334.46	131.51	224.97	249.73	224.97	102.97	135.24	287.01	136.19	255.0	94.01	150.17	125.24	0.0	0.26	19.53	3.03	39.22
CNNM3	99.43	114.36	514.56	438.59	251.48	175.07	78.34	249.73	397.93	181.28	381.68	368.65	295.11	285.03	366.09	190.34	612.11	351.14	476.71	264.03	339.14	361.04	275.28	575.03	205.5	361.04	176.29	221.86	379.04	237.86	220.32	167.9	175.07	295.11	154.42	110.43	141.02	44.57	191.67
CNTN4	4.17	6.26	463.65	77.79	15.45	3.69	9.63	112.77	108.9	90.14	486.75	277.2	126.12	46.84	791.35	49.56	389.72	218.79	551.56	423.61	540.19	473.41	178.77	620.67	84.04	74.58	134.3	35.25	264.03	159.9	101.54	70.51	69.52	215.77	0.0	0.28	7.75	3.38	34.02
CREBBP	102.25	124.37	1073.91	836.53	339.14	185.11	134.3	348.71	239.52	180.02	532.74	346.29	271.48	309.83	511.0	248.0	559.28	262.2	620.67	429.54	571.05	389.72	366.09	543.96	190.34	206.94	229.72	180.02	336.79	215.77	320.8	334.46	151.22	348.71	0.0	0.65	116.78	68.07	323.03
CRYAB	486.75	599.49	2224.63	271387.49	1503610.06	514.56	5041.77	383800.28	301123.38	447025.24	177811.84	381149.17	318292.9	408505.64	197294.7	456418.21	184082.4	546551.29	126606.21	251464.33	142439.51	195931.88	292889.12	154794.07	513497.31	327241.36	284880.02	329517.51	338781.54	218912.29	422911.59	299043.36	589853.66	269512.87	0.0	0.96	162.14	842.36	716197.51
CYTH3	181.28	255.0	708.18	647.07	249.73	100.13	237.86	182.55	128.79	120.94	384.34	289.02	105.89	163.28	417.77	134.3	532.74	343.89	400.71	305.55	389.72	384.34	231.32	575.03	147.06	323.03	127.89	215.77	197.09	102.97	256.78	208.38	130.6	246.28	0.0	0.71	76.71	85.22	423.61
DAGLA	6.73	5.36	72.52	69.03	52.45	12.64	9.27	33.54	53.19	43.94	58.71	38.4	57.49	84.04	56.28	34.75	61.25	46.18	110.43	47.84	29.91	59.97	50.98	74.58	47.17	50.27	19.68	36.79	91.41	23.93	87.65	71.0	12.64	29.48	0.0	0.38	5.73	2.25	15.68
DBH	0.96	0.0	9.2	2.63	0.0	1.16	0.0	1.77	0.33	5.36	4.46	5.68	3.06	31.45	9.41	2.34	21.16	0.99	19.68	4.82	13.03	8.19	18.84	95.34	1.71	1.1	6.31	4.1	5.54	1.55	2.94	1.95	0.0	10.24	0.0	0.27	4.24	0.0	12.83
DDHD2	208.38	236.21	961.07	1199.98	153.34	267.73	212.78	684.02	417.77	371.22	497.0	1096.5	273.37	743.43	713.11	373.81	860.08	500.46	1073.91	1096.5	947.83	934.76	563.18	638.15	414.87	356.05	429.54	540.19	607.87	314.17	348.71	463.65	258.57	603.67	743.43	115.16	220.32	141.02	341.51
DZIP3	35.25	31.67	454.09	211.31	178.77	32.82	57.08	201.25	131.51	108.9	291.04	368.65	141.02	206.94	356.05	93.35	460.44	201.25	256.78	341.51	447.82	334.46	193.01	293.07	103.69	137.14	164.42	95.34	214.27	136.19	63.0	224.97	149.12	353.59	0.0	0.08	18.16	21.47	269.6
EML1	16.39	37.85	277.2	336.79	199.85	21.94	130.6	108.14	199.85	62.12	229.72	190.34	87.03	136.19	616.37	43.02	1175.27	170.25	595.34	312.0	269.6	361.04	198.47	403.5	242.88	193.01	36.53	78.89	271.48	87.65	172.65	112.77	59.13	136.19	0.0	0.36	21.47	100.83	934.76
FAM161B	63.89	105.15	457.25	212.78	92.7	80.01	40.64	72.01	98.04	84.04	117.6	224.97	334.46	45.85	111.99	90.14	140.04	49.91	197.09	161.02	158.79	156.59	102.25	167.9	106.63	41.81	95.34	77.25	137.14	173.85	96.01	109.66	164.42	158.79	0.0	0.0	27.64	15.8	102.97
FAM168A	85.22	108.14	808.0	748.61	285.03	88.88	78.89	480.04	336.79	285.03	525.39	351.14	191.67	277.2	454.09	253.23	703.28	316.37	579.04	409.15	529.06	514.56	392.44	525.39	293.07	325.29	262.2	244.57	395.18	201.25	239.52	409.15	208.38	258.57	137.14	107.38	51.71	50.63	96.68
FYCO1	108.9	110.43	684.02	988.12	457.25	68.07	110.43	406.31	361.04	450.94	638.15	583.07	271.48	285.03	775.05	423.61	738.29	381.68	470.14	638.15	660.68	518.15	327.56	791.35	242.88	395.18	575.03	246.28	435.55	371.22	414.87	921.88	165.57	336.79	201.25	48.52	51.71	28.24	4736.79
GLTSCR1L	40.93	59.97	543.96	591.22	143.01	23.08	44.89	175.07	91.41	56.68	177.53	131.51	57.49	115.16	163.28	71.5	189.02	117.6	217.27	190.34	221.86	178.77	140.04	155.5	77.25	98.73	61.25	63.45	117.6	62.56	77.79	102.97	40.07	108.9	63.0	57.08	37.85	15.11	121.79
GNE	65.72	49.56	309.83	748.61	256.78	63.45	85.22	450.94	305.55	218.79	775.05	239.52	173.85	348.71	441.64	228.13	612.11	409.15	503.95	323.03	297.17	314.17	371.22	281.09	473.41	397.93	262.2	107.38	262.2	273.37	119.26	262.2	255.0	303.44	115.16	72.52	87.65	84.63	161.02
KCTD18	112.77	150.17	547.75	532.74	244.57	59.55	149.12	265.87	260.38	204.07	201.25	204.07	118.43	223.41	217.27	108.9	346.29	346.29	312.0	253.23	264.03	273.37	309.83	285.03	336.79	197.09	152.28	169.07	156.59	156.59	98.73	193.01	129.69	170.25	0.0	0.0	120.1	163.28	185.11
KCTD7	51.35	58.71	392.44	305.55	353.59	55.1	82.29	457.25	93.35	114.36	229.72	327.56	60.39	224.97	148.09	67.12	591.22	255.0	293.07	332.14	414.87	283.05	239.52	323.03	117.6	131.51	74.58	93.35	149.12	59.55	62.12	101.54	112.77	246.28	0.0	0.47	40.07	44.25	297.17
KDM4D	20.26	12.18	49.91	28.86	15.91	14.67	16.51	26.67	32.59	14.45	18.56	26.1	14.78	17.9	22.1	19.39	26.47	15.0	31.45	19.39	23.93	32.82	27.84	22.43	33.3	23.08	16.27	16.39	15.8	17.64	14.56	19.25	28.45	18.43	0.0	0.0	13.03	6.31	19.39
KIAA1107	11.47	6.94	139.07	131.51	102.97	12.55	3.11	28.65	31.22	14.56	41.52	46.18	17.38	34.75	25.35	9.2	81.71	22.43	58.3	44.89	60.39	34.02	53.57	45.53	41.81	23.93	24.28	19.68	40.07	27.84	12.55	15.56	16.63	46.18	0.0	0.0	8.45	3.32	18.7
KIAA1109	180.02	108.14	1757.34	1519.15	473.41	198.47	161.02	603.67	397.93	497.0	500.46	796.86	221.86	441.64	412.0	246.28	738.29	384.34	669.92	665.29	759.08	669.92	447.82	583.07	303.44	358.54	373.81	267.73	575.03	273.37	256.78	389.72	204.07	403.5	0.0	0.77	91.41	37.85	269.6
KLLN	9.2	5.32	19.82	13.12	25.91	4.98	5.11	12.74	22.1	13.22	27.05	24.63	7.88	29.06	37.32	20.86	53.95	36.01	64.34	43.32	50.63	80.01	23.93	39.5	24.11	13.72	14.03	10.16	36.01	14.14	9.2	29.7	9.13	18.56	0.0	0.0	1.45	1.45	3.47
KMT2A	49.56	45.21	579.04	521.76	220.32	39.22	35.76	260.38	186.4	64.8	309.83	346.29	59.55	314.17	264.03	80.01	543.96	121.79	267.73	202.66	343.89	248.0	191.67	249.73	114.36	175.07	87.65	73.54	212.78	63.89	102.25	109.66	65.26	158.79	0.0	0.25	56.68	21.32	81.14
KMT2E	111.99	81.14	1111.82	1127.35	371.22	163.28	118.43	366.09	224.97	107.38	511.0	497.0	177.53	389.72	371.22	79.45	825.0	260.38	563.18	511.0	567.1	503.95	334.46	791.35	236.21	239.52	135.24	204.07	358.54	127.89	301.33	260.38	88.88	389.72	246.28	125.24	102.25	301.33	381.68
L3MBTL3	49.21	47.17	366.09	144.01	99.43	25.54	52.82	78.34	65.72	75.64	158.79	105.89	35.5	195.72	109.66	52.45	217.27	96.01	120.94	285.03	162.14	133.36	124.37	161.02	77.25	61.25	68.55	72.01	126.12	74.58	57.08	78.34	44.57	144.01	0.0	0.41	21.01	19.53	44.89
LATS1	69.03	55.1	406.31	503.95	153.34	102.97	76.71	182.55	87.65	74.06	202.66	155.5	73.54	154.42	164.42	60.82	187.71	102.97	186.4	136.19	218.79	185.11	136.19	169.07	80.01	116.78	64.8	106.63	125.24	82.29	87.03	117.6	46.18	125.24	94.67	53.19	63.0	69.03	129.69
LIMD1	43.32	26.47	358.54	125.24	199.85	38.4	40.93	146.03	80.57	146.03	384.34	205.5	53.95	334.46	256.78	170.25	363.56	162.14	387.02	361.04	275.28	267.73	178.77	420.68	123.5	108.9	119.26	79.45	126.12	90.77	98.04	503.95	35.76	162.14	115.97	406.31	67.59	13.72	86.43
LRCH1	67.59	76.71	323.03	363.56	118.43	74.58	68.55	599.49	309.83	293.07	559.28	181.28	204.07	379.04	423.61	283.05	775.05	341.51	397.93	490.14	497.0	318.57	289.02	470.14	255.0	279.14	329.84	204.07	193.01	231.32	150.17	279.14	170.25	191.67	84.04	198.47	110.43	34.02	139.07
MAST3	61.68	33.78	194.36	159.9	166.73	29.06	55.89	189.02	80.57	138.1	163.28	187.71	111.21	151.22	56.68	148.09	172.65	80.57	228.13	124.37	145.02	125.24	209.84	215.77	97.36	138.1	133.36	102.97	140.04	65.72	108.9	139.07	55.89	111.99	0.0	0.42	77.79	16.15	32.13
MEGF8	66.18	69.52	543.96	305.55	536.45	49.21	119.26	334.46	332.14	497.0	441.64	264.03	138.1	303.44	547.75	376.41	444.72	511.0	529.06	647.07	551.56	454.09	438.59	769.69	406.31	316.37	532.74	295.11	497.0	314.17	353.59	679.29	255.0	334.46	0.0	0.61	41.22	24.99	151.22
METTL20	50.63	29.27	208.38	201.25	116.78	16.63	15.45	90.77	119.26	67.12	128.79	123.5	44.89	73.54	98.73	81.14	94.67	92.05	102.97	88.88	109.66	87.03	62.12	103.69	65.72	73.54	69.52	88.88	61.25	94.67	47.17	100.13	38.12	73.54	0.0	0.09	19.25	23.42	126.12
MKL2	24.81	22.43	830.75	466.88	133.36	76.71	63.89	189.02	150.17	107.38	303.44	473.41	61.25	109.66	368.65	87.65	336.79	138.1	403.5	283.05	607.87	476.71	194.36	441.64	94.67	56.68	87.65	55.1	139.07	46.84	89.51	191.67	39.5	209.84	0.0	0.11	99.43	39.79	172.65
MLLT1	134.3	96.01	633.73	490.14	438.59	152.28	204.07	277.2	164.42	275.28	511.0	199.85	156.59	403.5	536.45	246.28	346.29	351.14	629.35	412.0	387.02	551.56	289.02	514.56	281.09	211.31	283.05	201.25	441.64	156.59	277.2	346.29	127.89	244.57	0.0	0.57	123.5	45.53	224.97
MYCBP2	215.77	191.67	1044.52	1447.15	4358.66	232.94	343.89	435.55	490.14	514.56	743.43	237.86	151.22	532.74	356.05	217.27	1001.93	441.64	688.78	836.53	764.36	607.87	591.22	759.08	269.6	297.17	384.34	297.17	579.04	231.32	275.28	334.46	144.01	351.14	0.0	0.82	151.22	63.0	884.29
NBPF3	27.05	42.11	253.23	392.44	120.1	29.48	60.39	99.43	72.52	72.01	119.26	140.04	23.59	75.64	164.42	65.72	212.78	45.21	215.77	100.83	193.01	232.94	55.1	162.14	66.18	24.11	79.45	31.45	67.59	35.25	30.78	90.77	20.11	82.87	0.0	0.0	17.77	9.63	26.86
NEO1	88.88	183.82	2032.85	1023.0	217.27	204.07	138.1	397.93	559.28	518.15	759.08	403.5	473.41	769.69	1135.2	400.71	743.43	547.75	1216.75	633.73	928.3	802.41	595.34	1639.59	356.05	150.17	366.09	507.46	981.29	457.25	591.22	718.08	264.03	521.76	0.0	0.6	223.41	35.0	476.71
NFAT5	26.67	19.53	896.64	381.68	182.55	28.04	20.26	348.71	128.79	88.26	483.38	1857.6	47.5	139.07	444.72	98.04	450.94	229.72	239.52	559.28	1044.52	343.89	152.28	289.02	53.57	47.17	61.25	47.84	194.36	54.72	131.51	159.9	38.95	224.97	0.0	0.48	35.76	8.78	84.63
OSGEPL1	96.68	73.54	273.37	223.41	232.94	81.14	91.41	209.84	197.09	125.24	125.24	356.05	104.42	185.11	169.07	83.45	206.94	119.26	167.9	186.4	189.02	205.5	195.72	206.94	381.68	183.82	126.12	94.67	157.68	88.88	65.26	145.02	123.5	150.17	0.0	0.0	159.9	81.14	183.82
PAXIP1-AS2	19.82	22.59	318.57	356.05	159.9	17.9	27.64	124.37	113.56	62.12	265.87	147.06	82.29	150.17	256.78	45.53	287.01	180.02	325.29	291.04	348.71	318.57	167.9	503.95	103.69	84.04	53.95	55.89	121.79	72.52	103.69	120.1	27.84	164.42	0.0	0.27	31.9	9.13	50.63
PBRM1	94.01	107.38	1044.52	1250.98	967.76	120.1	96.01	205.5	140.04	146.03	480.04	198.47	30.12	127.89	277.2	92.7	397.93	93.35	234.57	301.33	417.77	303.44	224.97	334.46	114.36	107.38	142.01	108.9	231.32	122.64	171.45	297.17	45.85	228.13	0.0	0.57	77.25	69.52	246.28
PCDHGA5	10.47	8.71	115.97	134.3	27.25	0.77	3.82	37.32	31.0	6.94	27.84	36.01	13.93	36.01	246.28	5.77	74.06	27.64	158.79	26.67	15.45	13.22	4.78	17.13	9.27	77.79	4.06	17.51	23.59	50.63	16.27	2.32	3.76	26.47	0.0	0.26	7.28	2.01	31.9
PHACTR2	49.91	73.54	366.09	403.5	414.87	102.25	78.34	165.57	120.94	58.71	389.72	137.14	54.72	223.41	224.97	100.13	234.57	148.09	275.28	206.94	361.04	297.17	197.09	264.03	75.64	109.66	82.29	122.64	525.39	133.36	177.53	379.04	33.06	206.94	121.79	205.5	32.36	28.86	376.41
PHC1	55.89	90.14	785.88	371.22	473.41	71.0	76.71	450.94	305.55	202.66	624.99	1498.22	273.37	400.71	567.1	159.9	607.87	177.53	579.04	547.75	507.46	551.56	221.86	743.43	269.6	202.66	150.17	232.94	713.11	287.01	334.46	353.59	269.6	403.5	0.0	0.8	58.3	45.21	125.24
PRKCA	58.3	28.65	139.07	183.82	43.02	40.07	43.63	177.53	320.8	336.79	540.19	234.57	403.5	246.28	733.19	128.79	514.56	191.67	473.41	371.22	567.1	518.15	493.56	688.78	264.03	157.68	191.67	309.83	226.54	191.67	124.37	358.54	104.42	376.41	0.0	0.57	21.32	38.12	44.57
PTPRA	819.3	514.56	2645.74	1883.54	1135.2	470.14	511.0	1159.07	825.0	896.64	1388.16	1023.0	473.41	819.3	1909.85	748.61	2367.9	974.5	1286.18	947.83	1745.2	1870.53	1081.39	1923.14	884.29	896.64	698.41	656.11	890.44	842.36	884.29	896.64	769.69	941.27	0.0	0.75	447.82	307.69	620.67
PYGB	2104.58	808.0	1977.24	2502.97	693.58	555.41	915.51	1628.26	1806.78	1561.89	3491.39	2956.17	1923.14	2178.83	5791.62	2997.45	3614.55	2935.74	5329.3	2609.3	3639.7	3372.43	1617.0	4181.07	1806.78	2520.38	1175.27	1467.37	2133.97	2287.2	2335.28	1857.6	2816.11	2956.17	0.0	0.79	2935.74	1844.76	483.38
