	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.A39Y.01A.11R.A213.07
CCNYL1	295.11	226.54	417.77	620.67	163.28	220.32	521.76	941.27	150.17	140.04	220.32	281.09	173.85	703.28	80.57	197.09	361.04	256.78	351.14	248.0	503.95	297.17	368.65	118.43	163.28	249.73	70.51	112.77
CEP68	620.67	277.2	136.19	348.71	77.79	145.02	234.57	466.88	54.33	150.17	217.27	195.72	81.71	387.02	107.38	89.51	122.64	202.66	138.1	156.59	303.44	161.02	187.71	108.14	98.04	128.79	118.43	101.54
CERS6	412.0	171.45	253.23	555.41	139.07	163.28	287.01	403.5	156.59	113.56	255.0	236.21	109.66	363.56	50.63	91.41	157.68	187.71	157.68	187.71	265.87	316.37	215.77	154.42	158.79	161.02	146.03	142.01
CHD9	575.03	255.0	387.02	791.35	123.5	215.77	343.89	583.07	76.71	130.6	260.38	229.72	148.09	480.04	132.44	98.04	251.48	320.8	221.86	223.41	371.22	186.4	389.72	143.01	165.57	163.28	111.99	45.85
CMTM6	1073.91	624.99	1175.27	2796.65	842.36	555.41	1286.18	1388.16	381.68	540.19	708.18	796.86	1023.0	1151.06	497.0	595.34	954.43	1015.93	684.02	802.41	1044.52	1044.52	1233.75	543.96	607.87	642.59	361.04	521.76
COL4A4	28.86	29.7	97.36	830.75	81.71	110.43	423.61	616.37	74.06	70.51	161.02	178.77	59.97	120.94	27.25	38.67	183.82	102.25	75.64	251.48	214.27	183.82	251.48	54.33	61.25	103.69	88.26	0.88
CRYAB	271387.49	1503610.06	383800.28	18178.19	447025.24	217400.14	260332.24	130165.62	318292.9	220434.95	408505.64	320506.81	456418.21	184082.4	159145.95	61999.83	546551.29	251464.33	301123.38	391864.76	154794.07	286861.53	277089.94	303217.87	329517.51	190574.09	589853.66	1477.58
CUL5	327.56	208.38	215.77	723.08	132.44	162.14	237.86	343.89	81.71	111.99	178.77	144.01	96.68	271.48	122.64	70.51	232.94	171.45	133.36	169.07	217.27	180.02	242.88	134.3	136.19	142.01	87.03	106.63
CWF19L2	435.55	152.28	159.9	351.14	74.06	88.26	193.01	211.31	122.64	57.49	73.54	99.43	50.27	204.07	100.13	24.28	95.34	147.06	100.13	118.43	93.35	84.63	75.64	79.45	109.66	47.17	120.94	49.91
DCAF17	231.32	164.42	248.0	339.14	92.05	128.79	260.38	373.81	53.19	57.49	159.9	154.42	64.34	379.04	51.35	94.67	116.78	173.85	119.26	173.85	291.04	151.22	195.72	82.87	72.01	108.9	50.63	35.76
DCUN1D1	447.82	457.25	444.72	1104.13	299.25	151.22	441.64	860.08	116.78	151.22	251.48	366.09	177.53	551.56	191.67	98.73	325.29	348.71	246.28	373.81	450.94	368.65	348.71	135.24	143.01	106.63	80.57	220.32
DHX40	1225.22	363.56	728.11	1417.35	718.08	1001.93	1397.83	1651.0	559.28	723.08	1135.2	1331.57	392.44	1844.76	759.08	928.3	928.3	1369.04	1037.29	884.29	1388.16	1498.22	1088.92	890.44	802.41	825.0	414.87	118.43
DTX4	215.77	1322.37	279.14	336.79	158.79	173.85	854.13	842.36	18.97	170.25	575.03	343.89	147.06	665.29	31.22	29.06	195.72	211.31	89.51	420.68	403.5	155.5	283.05	161.02	169.07	109.66	86.43	82.29
DYNC1I2	2875.3	2537.92	2148.82	3212.66	1551.09	1437.15	2400.97	2573.36	1350.18	1066.48	1397.83	1832.01	1250.98	2287.2	1051.79	1015.93	2193.99	2090.03	1662.49	1529.73	2384.37	2224.63	1909.85	1407.55	1628.26	1350.18	1594.73	483.38
EIF2AK2	389.72	612.11	220.32	934.76	109.66	135.24	299.25	450.94	77.79	85.22	314.17	189.02	96.01	379.04	74.06	96.01	195.72	180.02	205.5	166.73	336.79	182.55	264.03	113.56	129.69	125.24	109.66	85.82
EML4	457.25	332.14	480.04	928.3	348.71	473.41	860.08	1088.92	397.93	339.14	521.76	775.05	214.27	1088.92	232.94	366.09	476.71	579.04	476.71	567.1	1037.29	1051.79	791.35	325.29	297.17	466.88	255.0	387.02
EPT1	129.69	86.43	190.34	457.25	128.79	108.9	212.78	271.48	72.01	87.65	181.28	183.82	75.64	299.25	87.03	108.14	153.34	137.14	176.29	116.78	246.28	236.21	177.53	110.43	81.71	115.97	77.25	152.28
ERG	403.5	400.71	44.89	435.55	23.59	17.77	191.67	67.12	18.29	17.0	22.75	13.12	31.45	40.07	10.79	14.24	17.51	21.01	8.65	28.86	28.24	25.54	30.12	8.92	85.22	14.78	8.0	7.88
FAM168B	1594.73	995.0	921.88	1143.1	723.08	915.51	1081.39	1561.89	503.95	392.44	1127.35	1037.29	551.56	1350.18	532.74	587.13	1044.52	934.76	688.78	769.69	1806.78	1191.69	1397.83	579.04	656.11	599.49	460.44	417.77
FBXO11	825.0	638.15	587.13	961.07	239.52	511.0	928.3	1037.29	209.84	297.17	679.29	476.71	301.33	981.29	267.73	356.05	518.15	607.87	392.44	567.1	665.29	503.95	629.35	397.93	373.81	417.77	267.73	205.5
FYCO1	988.12	457.25	406.31	559.28	450.94	314.17	612.11	808.0	271.48	312.0	285.03	563.18	423.61	738.29	223.41	234.57	381.68	638.15	368.65	500.46	791.35	688.78	441.64	327.56	246.28	221.86	165.57	141.02
GCC2	521.76	178.77	624.99	1295.13	109.66	381.68	529.06	780.44	106.63	85.22	414.87	555.41	57.49	1023.0	177.53	176.29	426.57	476.71	307.69	336.79	780.44	403.5	551.56	169.07	126.12	202.66	279.14	70.01
GLCE	819.3	249.73	135.24	1030.12	148.09	154.42	262.2	289.02	129.69	111.99	154.42	158.79	117.6	234.57	83.45	73.54	193.01	154.42	142.01	143.01	242.88	246.28	136.19	102.97	96.68	101.54	52.45	204.07
GOLGA8N	173.85	67.12	47.5	20.56	34.51	54.72	77.79	70.01	17.38	8.92	93.35	56.28	21.94	98.73	8.32	13.32	17.25	61.68	43.63	43.94	43.02	19.97	42.11	26.28	5.54	23.76	3.08	1.95
GTF3C3	450.94	441.64	423.61	543.96	206.94	253.23	397.93	463.65	172.65	147.06	366.09	379.04	159.9	571.05	264.03	267.73	297.17	320.8	325.29	299.25	493.56	358.54	332.14	205.5	161.02	221.86	221.86	120.94
HAT1	1030.12	967.76	669.92	1519.15	450.94	616.37	1135.2	1143.1	293.07	480.04	595.34	723.08	486.75	743.43	412.0	463.65	836.53	698.41	567.1	620.67	674.59	642.59	743.43	511.0	463.65	483.38	466.88	571.05
KCNE3	209.84	301.33	265.87	141.02	121.79	185.11	376.41	392.44	25.54	237.86	251.48	167.9	214.27	224.97	32.13	162.14	343.89	293.07	154.42	177.53	327.56	226.54	201.25	103.69	148.09	55.1	21.32	109.66
KCTD18	532.74	244.57	265.87	301.33	204.07	212.78	283.05	346.29	118.43	128.79	223.41	246.28	108.9	346.29	139.07	164.42	346.29	253.23	197.09	199.85	285.03	287.01	279.14	163.28	169.07	161.02	129.69	47.84
LANCL1	1388.16	567.1	532.74	1487.87	441.64	397.93	1388.16	1819.35	177.53	348.71	559.28	660.68	409.15	1023.0	232.94	316.37	785.88	624.99	551.56	571.05	848.22	743.43	813.63	356.05	389.72	291.04	314.17	106.63
LCA5	256.78	53.19	53.57	327.56	19.53	43.32	62.12	108.9	14.45	28.86	27.44	32.13	10.79	71.5	10.16	24.63	54.72	64.8	39.22	50.98	59.13	40.07	68.07	22.92	35.5	18.97	3.38	0.73
LPIN1	441.64	403.5	197.09	183.82	161.02	132.44	289.02	555.41	43.63	80.01	409.15	159.9	90.14	412.0	36.27	75.11	361.04	173.85	158.79	361.04	358.54	176.29	866.07	127.0	90.77	218.79	53.57	144.01
MANSC1	587.13	438.59	343.89	1268.46	305.55	231.32	819.3	595.34	104.42	281.09	656.11	316.37	314.17	323.03	175.07	237.86	543.96	480.04	316.37	603.67	612.11	387.02	353.59	185.11	253.23	173.85	169.07	40.36
MED13	470.14	228.13	218.79	764.36	162.14	197.09	275.28	450.94	145.02	132.44	299.25	267.73	78.89	476.71	130.6	135.24	169.07	297.17	183.82	185.11	353.59	373.81	256.78	129.69	209.84	153.34	79.45	89.51
METTL21A	332.14	665.29	466.88	633.73	170.25	406.31	629.35	708.18	373.81	287.01	417.77	470.14	283.05	536.45	255.0	343.89	603.67	389.72	500.46	463.65	466.88	441.64	660.68	309.83	361.04	412.0	371.22	275.28
MFSD9	193.01	253.23	228.13	251.48	241.19	211.31	429.54	384.34	68.07	198.47	299.25	346.29	187.71	438.59	77.79	100.83	348.71	214.27	199.85	212.78	387.02	403.5	353.59	198.47	150.17	98.04	113.56	155.5
MIB1	473.41	135.24	102.97	688.78	96.01	90.77	228.13	255.0	38.4	56.28	123.5	101.54	58.71	149.12	49.21	88.88	121.79	156.59	52.45	66.65	162.14	185.11	202.66	78.34	94.67	72.01	71.0	40.36
MOB1A	1304.15	1277.29	1628.26	3395.89	1073.91	830.75	1233.75	1498.22	802.41	688.78	981.29	1467.37	995.0	1359.57	669.92	698.41	1015.93	981.29	928.3	808.0	2209.26	1757.34	1350.18	813.63	1008.9	656.11	559.28	214.27
MTMR2	381.68	275.28	559.28	1111.82	397.93	441.64	941.27	1030.12	234.57	269.6	389.72	361.04	253.23	669.92	334.46	371.22	733.19	470.14	373.81	525.39	1225.22	896.64	1605.83	285.03	363.56	521.76	318.57	123.5
NRP1	1896.65	3190.46	1991.0	3820.7	967.76	1340.84	2875.3	2119.22	327.56	941.27	460.44	1617.0	620.67	1794.29	403.5	547.75	974.5	1870.53	1322.37	819.3	1721.16	1662.49	1467.37	718.08	616.37	1427.22	348.71	239.52
NT5C1B	2.92	8.19	8.58	8.78	2.84	1.85	9.63	15.22	0.0	4.5	14.14	4.5	5.73	5.41	2.81	2.23	15.22	9.06	1.51	9.27	15.8	14.89	14.78	0.8	4.46	0.97	0.0	0.0
OSBP	1044.52	486.75	934.76	1059.11	708.18	493.56	830.75	1015.93	432.53	507.46	616.37	688.78	583.07	890.44	579.04	409.15	642.59	679.29	591.22	543.96	642.59	947.83	848.22	547.75	463.65	353.59	414.87	444.72
OSBPL8	884.29	567.1	363.56	1242.34	387.02	186.4	567.1	1111.82	217.27	108.14	866.07	229.72	107.38	612.11	392.44	89.51	303.44	320.8	389.72	334.46	830.75	483.38	466.88	126.12	432.53	185.11	124.37	48.18
PAPOLG	229.72	190.34	138.1	299.25	55.89	77.79	113.56	177.53	57.89	51.71	92.7	102.25	44.25	182.55	54.33	51.35	117.6	102.97	82.87	127.0	150.17	111.21	127.89	62.56	52.82	63.45	34.75	29.27
PCDHB12	40.36	51.35	11.21	20.41	8.99	22.75	43.63	40.07	2.01	8.0	32.13	12.83	28.65	35.5	3.89	4.17	8.58	24.63	3.06	6.52	13.12	6.21	45.85	6.78	15.68	3.56	7.82	1.83
PIK3C2A	473.41	297.17	287.01	1159.07	166.73	141.02	457.25	728.11	92.7	69.52	320.8	195.72	66.18	476.71	99.43	120.1	211.31	293.07	191.67	281.09	332.14	228.13	356.05	111.21	164.42	167.9	74.06	65.72
PIKFYVE	231.32	150.17	140.04	287.01	80.01	87.65	194.36	287.01	62.12	37.59	122.64	127.89	43.94	248.0	56.68	52.08	111.99	116.78	98.73	143.01	226.54	122.64	170.25	59.97	61.25	65.72	27.25	19.97
POLR2D	253.23	432.53	373.81	346.29	127.89	176.29	358.54	358.54	89.51	208.38	253.23	255.0	115.16	341.51	110.43	199.85	258.57	195.72	187.71	181.28	299.25	346.29	237.86	164.42	141.02	124.37	120.94	334.46
PPM1K	262.2	172.65	164.42	232.94	155.5	101.54	201.25	423.61	114.36	87.03	144.01	159.9	61.68	285.03	120.1	44.25	185.11	100.83	161.02	139.07	223.41	323.03	176.29	120.94	152.28	63.0	100.13	12.0
PPP1R2	961.07	447.82	825.0	2255.7	723.08	540.19	1059.11	1030.12	473.41	583.07	780.44	780.44	457.25	1111.82	435.55	376.41	718.08	860.08	547.75	616.37	860.08	884.29	813.63	540.19	607.87	470.14	480.04	371.22
PPP3CA	1127.35	457.25	231.32	595.34	175.07	206.94	279.14	358.54	175.07	136.19	239.52	209.84	105.89	379.04	87.03	149.12	241.19	229.72	167.9	234.57	353.59	420.68	264.03	153.34	215.77	217.27	122.64	29.91
PRKD3	543.96	339.14	281.09	915.51	124.37	172.65	403.5	493.56	60.82	115.16	346.29	237.86	110.43	529.06	58.71	96.68	221.86	265.87	183.82	208.38	387.02	239.52	473.41	128.79	142.01	100.83	78.89	67.59
PRKRA	981.29	660.68	896.64	1135.2	529.06	555.41	1151.06	1073.91	361.04	536.45	728.11	665.29	571.05	796.86	358.54	511.0	825.0	603.67	470.14	759.08	629.35	669.92	733.19	536.45	567.1	483.38	543.96	334.46
PTPLB	1331.57	1225.22	384.34	1143.1	346.29	237.86	540.19	819.3	206.94	262.2	281.09	289.02	265.87	665.29	318.57	211.31	371.22	412.0	223.41	406.31	529.06	363.56	395.18	190.34	206.94	246.28	186.4	511.0
PTPN13	409.15	141.02	186.4	928.3	105.15	209.84	624.99	796.86	64.34	81.71	473.41	124.37	105.15	387.02	65.26	204.07	563.18	420.68	228.13	435.55	480.04	169.07	480.04	121.79	96.68	206.94	162.14	0.0
PTPN4	283.05	116.78	158.79	241.19	159.9	127.0	242.88	291.04	61.25	80.57	161.02	234.57	77.79	246.28	58.3	40.36	125.24	102.97	105.89	130.6	260.38	234.57	149.12	66.65	101.54	78.89	65.26	66.65
PXK	579.04	555.41	518.15	638.15	301.33	197.09	890.44	780.44	100.83	182.55	521.76	318.57	665.29	660.68	129.69	90.77	708.18	551.56	303.44	332.14	555.41	579.04	988.12	226.54	185.11	113.56	295.11	133.36
R3HCC1L	209.84	163.28	190.34	175.07	73.03	164.42	170.25	221.86	38.12	141.02	214.27	85.82	57.08	193.01	114.36	90.14	158.79	148.09	120.94	145.02	134.3	91.41	142.01	98.73	76.71	111.99	76.17	65.26
RAPH1	228.13	158.79	95.34	429.54	27.84	37.59	109.66	186.4	16.03	36.01	39.5	65.72	23.08	133.36	4.62	15.68	32.59	45.21	53.57	48.52	112.77	60.39	94.67	25.17	45.21	31.45	16.39	38.95
RBFOX2	1477.58	974.5	450.94	1119.56	279.14	361.04	490.14	764.36	204.07	220.32	262.2	441.64	209.84	748.61	193.01	191.67	521.76	587.13	444.72	447.82	848.22	429.54	802.41	264.03	281.09	320.8	212.78	202.66
RHBDD1	532.74	441.64	341.51	567.1	190.34	190.34	353.59	555.41	148.09	149.12	289.02	403.5	208.38	226.54	139.07	143.01	241.19	271.48	325.29	242.88	473.41	334.46	305.55	172.65	183.82	147.06	155.5	146.03
RIF1	400.71	127.89	155.5	500.46	37.05	120.1	249.73	441.64	40.36	50.27	92.7	142.01	18.16	297.17	39.5	68.55	109.66	122.64	90.14	150.17	283.05	204.07	197.09	60.39	37.85	137.14	45.85	36.01
ROCK2	500.46	366.09	215.77	819.3	71.5	132.44	420.68	559.28	58.3	52.08	232.94	143.01	49.91	379.04	58.3	98.04	185.11	185.11	124.37	212.78	327.56	182.55	214.27	70.51	109.66	110.43	60.39	56.68
RP11-307N16.6	1.35	0.0	0.0	1.04	0.0	0.0	1.83	0.95	0.0	0.0	1.93	0.67	0.0	2.66	0.0	0.0	0.93	0.0	0.58	0.29	2.71	0.64	2.58	0.0	0.0	0.0	0.0	0.0
RSRC1	1066.48	417.77	547.75	651.58	674.59	361.04	759.08	860.08	327.56	301.33	493.56	679.29	343.89	693.58	507.46	241.19	890.44	866.07	525.39	518.15	733.19	591.22	514.56	325.29	503.95	242.88	384.34	281.09
RYBP	432.53	158.79	187.71	647.07	177.53	205.5	343.89	389.72	105.89	145.02	229.72	234.57	178.77	376.41	128.79	175.07	199.85	293.07	190.34	234.57	271.48	275.28	221.86	159.9	159.9	175.07	127.89	84.63
SDC3	1127.35	1322.37	974.5	764.36	289.02	543.96	934.76	1044.52	209.84	674.59	406.31	819.3	1044.52	1030.12	120.1	232.94	262.2	466.88	540.19	392.44	1208.34	483.38	305.55	348.71	358.54	271.48	78.34	151.22
SEC62	4671.57	2591.27	1950.0	4010.71	1498.22	848.22	2303.12	3467.27	1870.53	473.41	1617.0	1651.0	559.28	2520.38	1561.89	591.22	2119.22	1745.2	1397.83	1059.11	1870.53	1896.65	2047.0	616.37	1721.16	967.76	825.0	1073.91
SEPT2	6607.01	6079.61	4607.24	10440.2	3060.45	4358.66	5913.33	8538.88	2224.63	2701.35	3540.14	4512.4	2163.77	2682.69	2537.92	2875.3	5041.77	4481.23	4210.15	3467.27	7857.29	5403.7	5633.22	2777.33	3349.13	3491.39	3235.01	1073.91
SERTAD2	483.38	507.46	397.93	493.56	120.94	169.07	490.14	607.87	171.45	191.67	287.01	435.55	129.69	466.88	151.22	115.97	223.41	275.28	189.02	295.11	450.94	327.56	269.6	175.07	182.55	212.78	107.38	74.58
SMAD2	2384.37	1639.59	848.22	2047.0	866.07	595.34	1073.91	947.83	255.0	713.11	890.44	723.08	651.58	860.08	607.87	563.18	902.89	1023.0	423.61	353.59	1001.93	1242.34	642.59	669.92	728.11	395.18	674.59	463.65
SMARCC1	981.29	412.0	665.29	1369.04	444.72	361.04	813.63	1030.12	135.24	305.55	559.28	529.06	371.22	780.44	480.04	366.09	432.53	674.59	435.55	511.0	915.51	748.61	660.68	287.01	265.87	256.78	297.17	368.65
SOS1	1135.2	1477.58	264.03	684.02	105.89	175.07	293.07	438.59	76.71	78.89	281.09	181.28	77.79	457.25	85.22	117.6	194.36	232.94	133.36	264.03	363.56	267.73	264.03	111.21	137.14	129.69	48.87	55.49
SPOPL	571.05	137.14	215.77	518.15	132.44	115.97	271.48	438.59	73.03	86.43	153.34	232.94	85.82	320.8	66.18	63.89	165.57	166.73	152.28	123.5	363.56	241.19	249.73	81.71	103.69	88.88	55.89	48.52
STAG2	1757.34	620.67	486.75	1832.01	269.6	305.55	599.49	967.76	336.79	175.07	110.43	332.14	209.84	1037.29	43.63	256.78	371.22	473.41	323.03	341.51	583.07	412.0	536.45	297.17	400.71	318.57	231.32	152.28
SYTL4	490.14	518.15	122.64	486.75	154.42	66.65	409.15	409.15	64.8	50.98	71.5	205.5	153.34	229.72	7.51	39.79	193.01	204.07	172.65	224.97	226.54	177.53	182.55	49.91	63.45	35.76	85.22	69.52
TAF1B	234.57	316.37	193.01	591.22	201.25	100.13	260.38	223.41	145.02	98.73	199.85	223.41	104.42	307.69	143.01	85.82	167.9	211.31	132.44	103.69	305.55	327.56	153.34	87.03	195.72	172.65	76.71	74.58
TANC1	329.84	176.29	162.14	708.18	94.67	150.17	220.32	316.37	61.25	91.41	202.66	152.28	101.54	258.57	48.87	68.07	169.07	152.28	121.79	209.84	249.73	185.11	241.19	103.69	94.01	157.68	42.11	50.27
TAOK1	543.96	334.46	291.04	698.41	172.65	215.77	341.51	579.04	147.06	120.1	239.52	325.29	87.65	435.55	139.07	159.9	181.28	412.0	277.2	214.27	406.31	361.04	303.44	190.34	154.42	148.09	93.35	47.17
TEAD1	854.13	497.0	273.37	1030.12	249.73	202.66	540.19	941.27	152.28	127.89	346.29	318.57	178.77	551.56	167.9	100.13	301.33	316.37	312.0	334.46	392.44	318.57	476.71	173.85	194.36	228.13	95.34	59.97
TLK1	723.08	217.27	470.14	836.53	173.85	217.27	587.13	693.58	211.31	138.1	379.04	318.57	145.02	518.15	201.25	177.53	332.14	309.83	244.57	332.14	764.36	454.09	414.87	224.97	236.21	255.0	224.97	116.78
TRIP12	1806.78	1745.2	1498.22	2720.15	825.0	878.17	1096.5	1819.35	426.57	612.11	1233.75	1191.69	480.04	579.04	551.56	457.25	753.83	896.64	748.61	521.76	1697.45	1331.57	1023.0	607.87	651.58	384.34	476.71	332.14
TSPAN9	848.22	420.68	387.02	679.29	688.78	536.45	1388.16	1199.98	647.07	591.22	775.05	583.07	373.81	559.28	429.54	403.5	819.3	612.11	1051.79	1015.93	1397.83	603.67	620.67	420.68	616.37	368.65	336.79	141.02
UBP1	915.51	647.07	728.11	915.51	441.64	414.87	866.07	1015.93	132.44	246.28	723.08	403.5	480.04	995.0	334.46	395.18	507.46	780.44	275.28	591.22	728.11	616.37	624.99	293.07	343.89	320.8	224.97	293.07
UBXN7	332.14	158.79	166.73	348.71	97.36	102.97	220.32	323.03	47.5	84.04	172.65	151.22	81.71	293.07	74.06	65.26	111.21	204.07	92.05	135.24	199.85	166.73	189.02	84.63	68.55	99.43	61.68	43.32
UGP2	5913.33	5255.91	3820.7	3614.55	1950.0	1447.15	3190.46	2758.13	1295.13	1721.16	1551.09	2502.97	1745.2	2075.59	995.0	1242.34	1977.24	1685.71	1208.34	1733.13	1923.14	2240.11	1896.65	1733.13	1427.22	1350.18	1529.73	2148.82
USP53	775.05	463.65	211.31	1551.09	87.03	237.86	293.07	830.75	62.56	92.7	88.88	191.67	59.97	392.44	50.27	100.13	178.77	217.27	155.5	234.57	191.67	169.07	334.46	255.0	96.01	147.06	55.89	12.83
USP9X	728.11	547.75	432.53	1331.57	287.01	312.0	708.18	1378.57	232.94	251.48	457.25	371.22	212.78	981.29	220.32	190.34	395.18	384.34	363.56	395.18	466.88	403.5	595.34	231.32	264.03	202.66	177.53	178.77
