	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A2MX.01A.11R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.T5JW.1226.SM.3GACY	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.111FC.1026.SM.5GZX1
C9orf139	0.0	0.52	0.93	17.38	15.34	7.06	12.18	4.66	3.08	13.12	9.63	4.03	5.45	5.19	18.56	6.36	11.73	9.63	8.13	9.41	7.34	7.0	9.63	23.59	2.89	12.93	2.05	3.35	3.79	7.46	9.06	2.32	24.11
CAD	0.0	0.37	599.49	438.59	607.87	363.56	312.0	279.14	320.8	392.44	463.65	463.65	312.0	543.96	743.43	353.59	454.09	551.56	417.77	417.77	599.49	381.68	432.53	629.35	361.04	395.18	320.8	301.33	295.11	356.05	414.87	356.05	547.75
CAPSL	0.0	0.0	0.77	486.75	246.28	493.56	39.5	295.11	40.36	48.18	769.69	228.13	11.64	73.03	195.72	99.43	595.34	76.17	329.84	19.39	236.21	39.79	111.99	157.68	312.0	65.26	13.93	111.99	93.35	36.27	197.09	10.08	381.68
CCDC170	0.0	0.0	10.88	198.47	84.63	334.46	82.29	156.59	75.11	42.71	220.32	108.9	72.52	158.79	295.11	166.73	237.86	182.55	221.86	44.25	193.01	131.51	293.07	277.2	36.79	65.72	38.95	31.45	57.08	91.41	77.25	85.22	301.33
CMTM5	0.0	0.21	1.79	7.4	9.56	6.57	2.29	10.71	6.01	4.35	22.75	12.93	6.11	24.99	14.89	18.16	19.25	7.11	25.35	1.53	26.1	6.89	26.1	14.78	3.14	4.46	6.73	11.47	5.02	7.0	3.47	9.41	23.93
COPRS	0.0	0.58	1844.76	3325.99	2224.63	3419.52	2434.5	4543.8	1870.53	1794.29	3540.14	2816.11	2163.77	2777.33	2835.7	3742.05	3235.01	2720.15	2816.11	1457.23	2701.35	1794.29	2224.63	3280.18	3168.41	2163.77	2119.22	2319.15	2915.45	2209.26	2240.11	3257.52	4123.49
CTD-2267D19.3	0.0	0.16	153.34	514.56	271.48	389.72	246.28	258.57	159.9	217.27	379.04	426.57	217.27	384.34	325.29	232.94	363.56	341.51	271.48	221.86	348.71	253.23	361.04	397.93	215.77	217.27	269.6	241.19	314.17	202.66	226.54	297.17	420.68
DCPS	0.0	0.01	438.59	334.46	318.57	339.14	190.34	339.14	185.11	199.85	384.34	289.02	214.27	329.84	373.81	305.55	336.79	316.37	336.79	217.27	348.71	281.09	341.51	305.55	293.07	239.52	204.07	244.57	229.72	253.23	208.38	309.83	336.79
DIO2	0.0	0.24	214.27	14163.58	8538.88	21468.49	2178.83	5403.7	314.17	2573.36	16496.96	6381.92	1208.34	3690.52	6337.83	1617.0	12076.21	15075.35	14361.31	3768.09	11992.79	2104.58	11664.82	17927.91	1030.12	1991.0	909.17	748.61	2720.15	3018.3	2148.82	2090.03	8363.13
DNAH7	0.0	0.0	22.43	299.25	115.16	143.01	56.28	175.07	112.77	62.12	273.37	120.1	62.12	148.09	129.69	205.5	226.54	71.0	153.34	115.16	141.02	126.12	123.5	150.17	120.94	90.77	103.69	41.81	63.45	84.63	102.97	120.1	253.23
EMID1	0.0	0.57	53.19	1304.15	1001.93	1322.37	476.71	1674.06	285.03	426.57	2417.67	457.25	387.02	1447.15	1977.24	642.59	2468.49	1104.13	1051.79	113.56	1806.78	205.5	669.92	2796.65	429.54	297.17	120.1	285.03	85.82	395.18	325.29	529.06	4769.75
ESR1	0.0	0.39	4.13	59.55	27.44	202.66	49.91	35.76	22.1	71.5	180.02	111.21	49.21	124.37	264.03	43.02	195.72	105.89	193.01	34.51	183.82	32.82	180.02	164.42	8.25	25.54	22.1	5.59	56.68	3.66	46.18	36.01	108.14
FAM124A	0.0	0.18	4.06	197.09	66.65	92.7	48.87	68.55	36.79	23.76	149.12	76.71	21.63	106.63	92.05	37.85	163.28	269.6	108.14	20.56	123.5	49.56	118.43	297.17	45.85	30.12	16.51	36.27	55.89	15.91	49.91	49.56	46.18
FGF1	0.0	0.0	7.46	115.16	22.1	88.26	20.41	80.57	23.25	13.22	209.84	84.63	19.68	102.97	102.25	51.71	135.24	80.01	141.02	16.75	115.97	39.5	127.89	120.94	18.97	21.16	28.04	7.82	21.01	28.86	18.97	29.06	108.14
FLRT1	0.0	0.33	0.91	277.2	178.77	316.37	22.59	75.11	16.88	7.63	941.27	64.34	5.92	107.38	120.94	99.43	463.65	490.14	339.14	16.03	264.03	78.89	150.17	1407.55	32.13	12.09	28.04	11.91	17.0	12.93	12.09	52.82	185.11
FREM1	0.0	0.17	0.0	47.84	16.39	92.7	7.63	20.11	7.82	1.68	75.11	43.63	7.94	71.0	21.16	20.11	71.5	9.63	76.17	9.13	111.21	19.68	53.57	42.11	9.78	16.63	19.68	2.27	5.06	11.47	7.17	10.47	23.42
FRMD4A	0.0	0.68	31.22	395.18	325.29	387.02	248.0	281.09	140.04	176.29	361.04	301.33	130.6	279.14	759.08	236.21	743.43	387.02	339.14	224.97	332.14	281.09	633.73	309.83	214.27	204.07	136.19	145.02	137.14	264.03	265.87	90.14	441.64
GALNT16	0.0	0.27	26.28	271.48	59.97	191.67	67.12	86.43	35.5	49.56	299.25	90.77	49.56	325.29	231.32	145.02	463.65	199.85	334.46	53.95	387.02	42.41	267.73	379.04	27.44	56.28	40.36	22.43	32.59	21.94	50.98	65.26	84.63
GPR124	0.0	0.42	49.91	368.65	143.01	220.32	144.01	176.29	83.45	148.09	591.22	241.19	136.19	547.75	366.09	162.14	379.04	341.51	387.02	140.04	460.44	336.79	381.68	599.49	63.0	141.02	84.63	71.5	94.01	77.25	157.68	102.97	236.21
GRAMD4	314.17	769.69	246.28	748.61	915.51	567.1	651.58	796.86	426.57	633.73	688.78	718.08	529.06	647.07	656.11	460.44	802.41	813.63	753.83	507.46	688.78	830.75	819.3	1322.37	547.75	559.28	483.38	555.41	603.67	483.38	599.49	748.61	967.76
GRIN2D	0.0	0.33	3.53	38.67	16.15	8.99	31.45	14.56	9.48	14.03	23.08	19.11	23.93	28.04	15.11	8.38	40.36	24.28	21.16	15.68	21.32	20.11	32.82	46.18	7.06	11.3	13.83	17.64	10.47	5.82	17.64	10.0	23.59
GUCY1A3	0.0	0.39	14.56	246.28	97.36	244.57	79.45	152.28	68.55	82.29	466.88	137.14	108.14	199.85	312.0	65.26	165.57	234.57	253.23	81.71	351.14	182.55	262.2	503.95	56.28	92.7	108.14	31.67	54.33	87.65	110.43	42.71	232.94
IGSF9B	0.0	0.57	10.31	120.1	211.31	61.68	197.09	36.53	162.14	166.73	169.07	81.14	101.54	129.69	242.88	81.14	239.52	169.07	295.11	137.14	115.97	211.31	387.02	332.14	59.13	40.64	152.28	50.98	135.24	84.63	172.65	50.98	218.79
IL27RA	0.0	0.52	108.9	186.4	106.63	182.55	116.78	217.27	84.04	206.94	206.94	133.36	89.51	151.22	463.65	130.6	180.02	318.57	186.4	47.84	115.16	142.01	150.17	384.34	69.52	137.14	27.25	55.49	94.67	101.54	113.56	117.6	173.85
KCNJ15	0.0	0.06	703.28	3372.43	2915.45	6935.54	1407.55	3018.3	764.36	854.13	5672.41	1923.14	511.0	3235.01	3303.0	4736.79	3874.05	2627.46	2835.7	1551.09	4937.99	1769.57	2875.3	5441.3	1199.98	1242.34	928.3	921.88	1674.06	890.44	1199.98	1369.04	2271.4
KIAA0754	0.0	0.06	4.54	115.97	147.06	120.1	84.04	110.43	31.9	19.11	102.25	66.18	89.51	76.71	57.08	14.56	99.43	159.9	50.27	56.28	48.18	95.34	46.18	229.72	4.28	3.47	46.5	5.54	71.5	63.89	193.01	26.1	343.89
KIAA1755	0.0	0.21	7.17	137.14	33.3	53.95	28.45	35.5	4.17	31.9	246.28	74.06	23.59	100.83	163.28	26.1	122.64	48.87	98.73	18.03	169.07	37.85	120.94	323.03	31.22	42.11	10.96	24.81	9.93	9.34	31.0	38.67	80.01
KY	0.0	0.01	4.78	241.19	100.83	264.03	86.43	151.22	46.84	52.82	154.42	253.23	52.45	226.54	314.17	84.04	199.85	161.02	285.03	21.32	420.68	68.55	151.22	476.71	50.98	47.5	66.65	25.54	81.71	80.57	108.9	65.72	309.83
LCN8	0.0	0.0	1.07	205.5	30.78	100.83	14.45	28.86	2.53	17.38	166.73	71.5	5.02	285.03	155.5	80.01	189.02	96.68	163.28	11.82	217.27	51.35	172.65	212.78	15.11	21.32	2.29	1.53	10.47	4.78	10.88	60.39	295.11
LDB2	0.0	0.27	127.0	693.58	656.11	961.07	301.33	642.59	358.54	339.14	1457.23	607.87	414.87	759.08	954.43	575.03	866.07	775.05	981.29	312.0	583.07	518.15	819.3	1023.0	293.07	447.82	438.59	232.94	170.25	251.48	543.96	444.72	769.69
LRRC4B	0.0	0.32	10.47	62.12	36.27	45.21	11.82	25.54	10.31	26.86	55.89	37.85	8.38	44.89	17.38	7.88	37.32	102.97	50.27	14.78	34.51	36.01	119.26	82.87	13.52	27.05	13.22	10.24	10.88	6.78	17.51	8.45	59.55
LRRIQ3	0.0	0.0	8.78	39.22	54.72	71.0	6.41	51.71	14.89	21.63	65.72	17.9	20.71	49.21	57.49	14.56	62.56	46.5	19.53	17.51	56.68	22.92	29.27	78.89	34.51	18.84	19.68	38.95	6.78	20.86	18.56	22.43	113.56
MAML3	0.0	0.35	69.03	135.24	83.45	128.79	46.18	83.45	71.0	57.49	171.45	94.01	71.0	111.99	106.63	96.68	110.43	109.66	127.0	73.03	105.15	99.43	111.21	148.09	45.85	58.3	92.05	55.89	56.28	89.51	89.51	52.82	125.24
MAN1C1	0.0	0.52	1044.52	1233.75	1697.45	1467.37	376.41	1331.57	595.34	299.25	2701.35	1081.39	435.55	1437.15	1407.55	1498.22	1540.37	1313.23	1781.89	819.3	1923.14	988.12	1617.0	1233.75	866.07	718.08	693.58	656.11	665.29	718.08	555.41	708.18	1167.14
MAPRE2	149.12	100.13	88.88	571.05	493.56	825.0	366.09	624.99	343.89	285.03	902.89	575.03	320.8	470.14	603.67	295.11	665.29	796.86	854.13	346.29	603.67	555.41	620.67	759.08	299.25	438.59	353.59	265.87	366.09	277.2	447.82	303.44	567.1
MBNL3	53.19	38.95	63.0	80.57	104.42	151.22	75.64	127.89	78.89	75.64	140.04	109.66	68.55	69.52	115.16	51.35	77.25	190.34	96.01	66.65	117.6	92.05	83.45	157.68	53.57	73.54	69.03	43.63	110.43	78.89	105.15	64.8	175.07
METRN	0.0	0.67	1407.55	3491.39	2133.97	2875.3	1066.48	1757.34	728.11	743.43	3257.52	1697.45	529.06	2664.15	1721.16	2148.82	3419.52	1477.58	2875.3	529.06	2915.45	1313.23	3349.13	1697.45	1950.0	1044.52	693.58	1487.87	860.08	607.87	633.73	1529.73	4869.99
MEX3A	0.0	0.32	12.09	14.35	18.56	17.51	3.99	8.32	7.46	5.68	19.39	11.47	3.66	10.24	13.32	5.63	18.7	19.82	10.88	2.66	8.06	16.27	15.8	18.97	6.52	7.17	4.62	5.87	3.63	4.5	4.7	7.75	7.34
MYCBPAP	0.0	0.06	24.46	45.21	40.36	51.35	17.64	25.17	11.3	13.52	53.57	63.89	19.97	35.5	43.32	78.34	45.53	38.67	53.57	17.13	54.72	29.27	54.33	50.27	16.15	10.55	19.82	7.06	21.32	45.21	9.63	20.71	52.08
NCCRP1	0.0	0.25	8.0	20.56	31.9	73.54	12.0	16.75	4.98	24.81	92.05	29.48	10.31	26.67	89.51	21.78	30.34	20.11	30.78	8.06	69.52	1.48	63.89	57.49	4.94	5.77	15.34	14.78	18.84	19.82	7.28	7.75	38.4
NDRG4	0.0	0.65	19.97	162.14	153.34	209.84	83.45	206.94	63.89	143.01	341.51	102.25	105.15	220.32	163.28	141.02	197.09	101.54	139.07	44.57	339.14	95.34	204.07	175.07	63.0	75.11	78.34	25.72	83.45	127.89	68.55	49.21	295.11
NR2F1	0.0	0.83	49.56	237.86	325.29	346.29	106.63	253.23	166.73	119.26	638.15	325.29	74.58	1051.79	624.99	186.4	197.09	366.09	373.81	197.09	346.29	483.38	432.53	848.22	77.79	376.41	126.12	40.64	125.24	59.97	480.04	271.48	249.73
NRIP2	0.0	0.16	25.91	169.07	90.77	181.28	105.89	100.13	102.97	99.43	224.97	202.66	91.41	131.51	175.07	65.72	158.79	197.09	218.79	90.77	248.0	114.36	258.57	253.23	70.01	69.52	190.34	45.21	105.15	81.71	96.01	59.97	146.03
NRXN2	0.0	0.23	9.85	620.67	77.25	791.35	41.22	172.65	16.88	50.27	679.29	327.56	29.06	395.18	275.28	92.7	688.78	246.28	836.53	50.27	438.59	63.0	555.41	381.68	48.52	103.69	28.86	39.5	102.25	30.78	47.17	66.18	246.28
OLFML1	0.0	0.15	8.99	303.44	120.1	409.15	87.03	223.41	52.08	81.14	476.71	224.97	88.26	463.65	307.69	118.43	493.56	314.17	497.0	98.73	490.14	206.94	361.04	356.05	102.25	186.4	41.81	61.68	65.72	35.25	102.25	88.88	180.02
PAMR1	0.0	0.0	13.72	205.5	29.06	260.38	99.43	96.01	24.28	31.67	253.23	19.39	43.94	255.0	128.79	69.52	206.94	135.24	107.38	48.52	435.55	96.68	187.71	197.09	43.63	67.12	53.95	13.93	20.11	27.64	38.95	114.36	35.0
PCDH7	0.0	0.38	32.36	176.29	182.55	151.22	122.64	102.97	72.01	95.34	211.31	387.02	145.02	50.63	47.84	36.01	119.26	162.14	224.97	36.79	121.79	356.05	152.28	392.44	42.11	73.03	105.89	32.82	135.24	13.12	146.03	59.97	107.38
PHACTR1	0.0	0.21	7.75	46.18	46.5	22.75	31.9	34.02	27.44	30.78	55.89	51.35	14.67	30.78	52.82	17.25	69.52	71.5	37.05	13.52	43.63	48.52	49.21	106.63	6.31	35.25	9.34	9.41	8.51	12.93	33.06	20.86	40.07
PIK3C2B	101.54	103.69	34.51	295.11	220.32	156.59	165.57	161.02	82.29	131.51	279.14	246.28	113.56	208.38	392.44	158.79	171.45	341.51	191.67	121.79	212.78	220.32	307.69	384.34	102.25	142.01	98.73	94.67	164.42	162.14	157.68	142.01	201.25
PKNOX2	0.0	0.37	3.23	483.38	490.14	796.86	511.0	253.23	368.65	688.78	1216.75	387.02	423.61	486.75	409.15	234.57	599.49	2875.3	764.36	37.59	825.0	90.14	2520.38	4736.79	246.28	603.67	277.2	199.85	381.68	460.44	181.28	358.54	748.61
PPP2R2B	0.0	0.26	2.07	242.88	105.89	271.48	98.04	85.22	29.91	32.36	236.21	71.5	20.26	99.43	73.54	88.88	264.03	69.52	253.23	19.39	211.31	70.01	182.55	220.32	29.06	36.01	53.57	28.86	76.17	63.89	84.63	32.13	218.79
PRELID2	0.0	0.21	75.64	122.64	75.11	191.67	64.34	85.22	127.0	60.39	101.54	100.83	70.01	107.38	105.15	94.67	172.65	108.9	87.65	69.52	165.57	113.56	136.19	122.64	94.01	74.06	63.0	71.0	80.01	38.4	68.07	104.42	93.35
PROM2	0.0	0.36	1127.35	1143.1	830.75	830.75	473.41	518.15	194.36	480.04	1304.15	1096.5	182.55	775.05	1183.45	450.94	1135.2	633.73	759.08	470.14	1008.9	684.02	1359.57	1733.13	363.56	409.15	226.54	351.14	486.75	351.14	406.31	785.88	934.76
PTTG1	0.0	0.23	703.28	2976.74	3303.0	4038.61	1044.52	3212.66	336.79	915.51	4836.35	1819.35	457.25	1697.45	2224.63	1639.59	1437.15	4095.0	2956.17	1225.22	2032.85	1844.76	2835.7	3419.52	1977.24	1313.23	536.45	2468.49	1991.0	518.15	2573.36	3257.52	3060.45
RAD51D	0.0	0.07	123.5	246.28	242.88	277.2	255.0	220.32	177.53	231.32	277.2	197.09	186.4	339.14	248.0	205.5	279.14	283.05	320.8	180.02	336.79	173.85	299.25	316.37	191.67	158.79	153.34	183.82	164.42	180.02	234.57	125.24	224.97
RGS16	155.5	2148.82	120.1	2032.85	2287.2	4358.66	974.5	1151.06	366.09	848.22	3081.75	1794.29	941.27	3955.48	3395.89	1295.13	1977.24	3589.58	1745.2	1378.57	3060.45	1388.16	3716.2	4010.71	1340.84	1066.48	988.12	4152.18	866.07	1508.65	1233.75	2163.77	2682.69
RP11-1055B8.7	0.0	0.64	47.5	236.21	218.79	155.5	187.71	137.14	97.36	169.07	267.73	218.79	221.86	231.32	242.88	120.94	267.73	277.2	351.14	195.72	253.23	241.19	395.18	353.59	98.73	137.14	153.34	91.41	120.94	197.09	215.77	102.25	195.72
RP11-12J10.3	0.0	0.01	4.31	50.63	32.82	44.89	25.91	28.04	27.44	21.94	32.36	35.25	30.56	39.5	48.18	43.32	53.95	43.94	33.3	22.59	57.49	25.91	48.87	64.8	25.17	15.91	20.71	15.68	23.08	12.36	30.78	17.38	52.08
RP11-287D1.3	0.0	0.0	4.28	47.5	11.13	16.15	19.68	19.97	2.84	11.64	32.13	16.63	14.89	41.81	14.67	10.71	35.0	15.8	16.75	10.96	38.67	11.21	17.0	29.91	4.13	4.03	4.58	6.06	10.08	23.93	7.51	9.34	26.1
RPAP1	0.0	0.38	232.94	327.56	395.18	253.23	264.03	246.28	283.05	318.57	353.59	353.59	253.23	387.02	412.0	253.23	381.68	420.68	334.46	291.04	376.41	358.54	403.5	406.31	264.03	281.09	285.03	231.32	273.37	271.48	253.23	289.02	348.71
RYR2	0.0	0.57	0.54	1583.71	441.64	941.27	70.01	353.59	143.01	50.63	708.18	334.46	15.45	1540.37	1135.2	599.49	1059.11	258.57	426.57	91.41	476.71	223.41	348.71	366.09	146.03	52.82	41.52	32.59	78.89	93.35	262.2	142.01	1250.98
SALL4	0.0	0.22	2.58	193.01	125.24	114.36	64.34	73.54	96.01	90.14	120.1	42.71	34.51	137.14	145.02	186.4	136.19	130.6	71.0	45.85	117.6	129.69	299.25	293.07	31.22	63.45	37.85	10.55	71.5	87.03	87.65	66.65	98.04
SARDH	0.0	0.34	10.0	127.89	129.69	85.82	20.11	43.32	15.11	29.91	101.54	98.04	13.52	99.43	166.73	49.56	92.05	89.51	127.0	18.16	145.02	52.08	74.06	138.1	67.12	28.65	37.85	44.57	33.54	15.34	47.17	96.01	94.01
SCAMP5	0.0	0.06	150.17	289.02	273.37	299.25	239.52	158.79	102.97	229.72	332.14	248.0	221.86	420.68	215.77	208.38	265.87	205.5	251.48	169.07	275.28	224.97	341.51	351.14	173.85	170.25	108.9	205.5	217.27	198.47	218.79	126.12	229.72
SCN4B	0.0	0.0	16.75	1167.14	320.8	769.69	309.83	612.11	120.1	237.86	954.43	525.39	171.45	825.0	414.87	351.14	1127.35	860.08	1073.91	119.26	629.35	500.46	555.41	1151.06	295.11	115.16	149.12	220.32	101.54	53.57	273.37	204.07	934.76
SERPIND1	0.0	0.0	0.0	34.51	20.71	32.59	10.31	40.07	2.84	0.0	48.87	7.88	5.06	50.27	16.63	14.56	49.91	50.98	45.85	3.53	22.75	12.0	58.3	49.21	7.69	1.41	9.78	1.35	2.94	3.56	27.64	4.7	26.47
SLC26A4	40.36	295.11	199.85	26614.89	15180.22	51775.15	3235.01	24660.96	796.86	1605.83	22535.88	3874.05	514.56	10014.87	27553.49	7749.1	18950.18	16727.26	7695.57	2609.3	19082.0	6745.86	10883.59	16157.44	981.29	2956.17	743.43	890.44	5872.48	3874.05	7642.41	1832.01	26800.01
SLC29A3	0.0	0.0	108.9	223.41	186.4	144.01	145.02	128.79	122.64	99.43	204.07	139.07	102.97	206.94	152.28	96.01	146.03	220.32	295.11	87.03	190.34	141.02	191.67	348.71	163.28	169.07	129.69	88.26	131.51	98.04	123.5	113.56	241.19
SLC43A2	267.73	52.45	341.51	1111.82	647.07	563.18	371.22	579.04	497.0	376.41	813.63	450.94	381.68	780.44	825.0	483.38	884.29	591.22	733.19	563.18	728.11	612.11	813.63	785.88	441.64	299.25	563.18	320.8	470.14	521.76	412.0	642.59	587.13
SLC4A5	0.0	0.27	244.57	1721.16	896.64	1388.16	896.64	1059.11	97.36	1059.11	1111.82	909.17	587.13	688.78	733.19	486.75	1540.37	1135.2	967.76	277.2	1662.49	575.03	473.41	1857.6	511.0	185.11	226.54	277.2	1233.75	297.17	1233.75	329.84	1023.0
SLC9A3R1	0.0	1.0	1685.71	1685.71	1540.37	2935.74	1001.93	473.41	307.69	703.28	1286.18	2351.53	536.45	1059.11	1081.39	642.59	842.36	1015.93	1143.1	808.0	1427.22	785.88	1870.53	1963.57	866.07	884.29	555.41	532.74	1073.91	713.11	878.17	995.0	1104.13
SLFN11	0.0	0.71	123.5	651.58	559.28	674.59	301.33	603.67	384.34	361.04	728.11	684.02	454.09	651.58	1059.11	698.41	866.07	928.3	896.64	379.04	638.15	567.1	529.06	1417.35	291.04	363.56	336.79	312.0	366.09	241.19	536.45	476.71	890.44
SLIT3	0.0	0.53	98.04	884.29	872.1	1208.34	490.14	967.76	379.04	336.79	2758.13	1225.22	547.75	1519.15	723.08	629.35	2178.83	1191.69	2255.7	381.68	2335.28	1008.9	1015.93	1806.78	381.68	343.89	457.25	314.17	341.51	162.14	764.36	629.35	872.1
SLX4	0.0	0.39	21.47	63.45	53.95	39.22	32.36	34.26	38.67	32.13	62.12	64.34	28.86	60.39	76.71	42.41	48.52	52.08	41.81	40.64	68.55	53.57	50.27	76.17	33.06	34.51	28.04	36.79	36.01	28.65	36.27	33.54	59.55
TECPR1	121.79	201.25	178.77	346.29	336.79	246.28	269.6	242.88	249.73	258.57	389.72	275.28	221.86	336.79	470.14	289.02	441.64	444.72	363.56	318.57	412.0	403.5	384.34	417.77	175.07	173.85	309.83	161.02	249.73	217.27	318.57	279.14	346.29
TET1	0.0	0.14	3.11	12.27	11.21	13.93	6.94	9.06	11.38	4.74	13.72	12.74	5.41	9.41	11.91	4.17	12.74	15.56	15.8	6.78	11.04	11.21	19.11	18.43	6.78	5.92	5.02	4.39	7.88	6.26	7.22	6.11	11.64
TG	0.0	0.64	193234.41	1282030.25	1364554.84	2068278.89	2247670.86	2375828.71	1308968.45	1041331.96	1535204.12	1984025.69	1336472.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	1139523.1	1402917.72	1318073.06	1299926.74	746611.43	1123834.93	2636147.11	716197.51	2111737.85	3178687.03	3886391.01	1123834.93	2263304.65	2672946.37	1482909.4
