	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.ZLFU.1726.SM.4WWBU	GTEX.Y8E4.2126.SM.5RQHO	GTEX.11ZUS.2126.SM.5N9E6	GTEX.ZDYS.1226.SM.5IJF3	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.N7MS.2326.SM.2HMLD	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU
MSRB3	68.55	121.79	25.35	61.25	2090.03	426.57	1081.39	460.44	1551.09	748.61	866.07	3928.15	2163.77	660.68	1697.45	1594.73	42.71	836.53	260.38	285.03	150.17	454.09
MYLK	185.11	262.2	84.04	223.41	32994.92	7331.05	16727.26	5517.27	23009.42	11504.21	11267.44	97288.74	33455.53	10225.32	17078.76	30151.71	46.84	583.07	555.41	409.15	253.23	429.54
MYOCD	1.43	0.61	0.0	0.96	698.41	158.79	318.57	109.66	525.39	242.88	256.78	1529.73	514.56	255.0	463.65	323.03	0.0	76.71	9.13	12.45	1.5	7.17
MYZAP	54.72	3.66	4.78	120.94	896.64	134.3	320.8	241.19	480.04	220.32	371.22	1487.87	579.04	376.41	616.37	698.41	20.11	104.42	75.64	75.11	3.99	137.14
NLGN3	3.17	3.0	2.86	1.28	376.41	57.89	117.6	47.5	220.32	127.89	84.63	426.57	201.25	277.2	1066.48	146.03	1.35	48.87	13.03	35.0	14.35	15.91
NPTX1	48.87	0.27	3.29	0.28	154.42	13.62	49.21	10.47	74.58	21.63	33.54	115.16	64.8	18.16	22.59	20.41	3.17	2.63	4.98	9.93	4.86	0.42
OPTC	0.0	0.0	0.0	0.69	9.48	3.47	0.39	0.92	5.45	3.0	1.43	2.14	2.18	3.14	5.77	2.41	0.0	0.0	0.0	0.0	0.0	0.0
PCDH10	3.47	0.33	0.0	10.88	334.46	67.59	226.54	102.25	314.17	162.14	157.68	575.03	249.73	151.22	305.55	234.57	1.62	24.63	16.75	14.89	2.39	11.21
PCSK7	327.56	332.14	503.95	379.04	3540.14	954.43	1216.75	988.12	2271.4	1467.37	1225.22	2875.3	1721.16	1199.98	1806.78	2240.11	320.8	1135.2	708.18	679.29	540.19	521.76
PDLIM7	301.33	420.68	127.0	587.13	12415.75	2163.77	4123.49	2018.8	6607.01	4328.55	3443.31	6294.04	6121.9	4671.57	12589.08	6121.9	769.69	1674.06	830.75	1044.52	708.18	947.83
PDZD4	4.86	3.86	2.12	3.69	483.38	116.78	171.45	78.34	241.19	138.1	182.55	258.57	226.54	307.69	470.14	172.65	24.11	159.9	46.18	132.44	40.07	119.26
PEX14	307.69	387.02	397.93	417.77	1340.84	603.67	743.43	525.39	848.22	688.78	647.07	819.3	961.07	718.08	1037.29	830.75	457.25	358.54	486.75	466.88	514.56	426.57
PGM5	33.06	32.36	17.77	11.82	5751.61	1143.1	2573.36	1008.9	4095.0	1909.85	2627.46	15499.21	8363.13	3168.41	3742.05	4639.29	25.72	547.75	236.21	356.05	133.36	237.86
PIPOX	23.25	7.75	10.79	4.74	201.25	43.94	103.69	41.52	116.78	74.58	57.49	161.02	248.0	76.17	194.36	135.24	16.27	8.58	10.47	13.72	4.9	7.06
PLD5	0.68	2.03	0.0	2.73	121.79	10.63	40.93	14.14	44.57	41.22	24.99	43.02	102.25	31.0	119.26	32.59	0.88	15.56	17.51	33.06	10.31	15.91
PNCK	177.53	5.19	96.01	1.14	1832.01	466.88	603.67	435.55	1268.46	703.28	753.83	674.59	587.13	603.67	2163.77	665.29	7.82	14.45	3.32	20.71	12.36	3.66
PNMA1	1104.13	579.04	312.0	769.69	2835.7	629.35	1216.75	624.99	1639.59	1066.48	1135.2	2417.67	2351.53	1143.1	2287.2	1487.87	511.0	563.18	954.43	412.0	420.68	518.15
POPDC2	53.57	34.51	57.49	100.83	2104.58	607.87	967.76	693.58	1745.2	665.29	808.0	995.0	1073.91	974.5	1295.13	1540.37	180.02	176.29	139.07	85.22	106.63	115.16
PPAPDC3	36.27	8.38	3.76	12.64	149.12	50.63	49.91	21.47	75.11	50.27	39.5	126.12	155.5	71.5	181.28	69.03	7.94	56.28	14.89	33.3	7.75	37.05
PPP1R12B	145.02	127.89	30.34	86.43	2739.08	981.29	1594.73	954.43	2224.63	995.0	1378.57	5329.3	1936.53	1277.29	2032.85	2075.59	36.79	583.07	232.94	258.57	151.22	232.94
PRKCA	11.21	6.36	2.97	6.06	417.77	111.99	201.25	127.89	343.89	206.94	232.94	954.43	400.71	143.01	567.1	260.38	67.59	91.41	99.43	75.11	36.79	39.5
PRUNE2	237.86	40.07	21.63	41.52	2573.36	595.34	1519.15	612.11	2193.99	848.22	1208.34	4736.79	2758.13	1059.11	1757.34	2047.0	35.5	106.63	70.01	68.07	16.88	25.17
RAB9B	15.22	16.03	18.56	5.19	218.79	40.64	96.01	44.89	154.42	75.11	93.35	287.01	194.36	75.11	183.82	123.5	3.32	44.25	31.9	40.64	35.25	21.78
RALYL	0.0	0.89	0.0	0.0	56.68	14.56	9.48	2.97	36.53	20.26	21.32	5.02	42.11	28.45	12.93	7.11	0.0	4.24	0.0	0.72	0.47	0.0
RASD2	82.29	90.14	21.32	191.67	921.88	314.17	470.14	131.51	638.15	387.02	395.18	780.44	426.57	269.6	961.07	450.94	48.52	32.82	68.07	48.18	16.03	23.59
RASL12	42.71	28.65	26.28	87.03	2335.28	381.68	693.58	389.72	1350.18	656.11	660.68	2193.99	1268.46	629.35	2384.37	961.07	18.84	217.27	221.86	111.99	59.97	111.99
RBFOX1	2.46	0.0	0.0	0.0	89.51	20.56	28.24	17.0	43.02	19.68	27.44	30.56	96.01	32.82	102.97	5.73	0.85	4.54	0.34	3.38	0.0	4.86
RGS7BP	0.62	1.36	0.27	0.0	156.59	15.91	52.82	18.03	63.89	35.5	32.13	417.77	206.94	32.59	56.28	93.35	3.29	9.85	4.82	5.68	3.14	6.41
ROR1	7.57	10.96	1.93	5.23	146.03	20.11	66.18	19.39	95.34	43.94	61.68	356.05	118.43	31.0	127.0	82.87	2.03	33.78	11.13	20.41	6.52	39.79
RP11-565P22.6	36.53	31.45	27.05	46.5	191.67	39.79	77.79	42.11	114.36	126.12	83.45	71.5	123.5	62.12	45.85	47.5	2.89	0.0	7.88	2.78	5.02	0.0
SEC23A	242.88	212.78	109.66	201.25	1135.2	299.25	620.67	363.56	791.35	514.56	583.07	1769.57	1051.79	486.75	616.37	872.1	121.79	379.04	358.54	202.66	167.9	249.73
SEMG1	0.0	0.0	0.0	0.0	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	111.21	38164.99	4817989.11	379.04	1936.53	0.0	4.9	0.0	0.0	0.0	0.0
SEMG2	0.0	0.0	0.0	0.0	726195.27	1041331.96	711250.37	1864037.21	1556634.79	1611529.43	1264380.15	42.71	22380.2	3028138.0	86.43	928.3	0.0	0.73	0.0	0.0	0.0	0.0
SGCA	17.77	19.39	9.85	18.7	1477.58	277.2	551.56	170.25	836.53	299.25	387.02	1051.79	1015.93	336.79	1529.73	435.55	8.0	114.36	50.98	43.32	35.5	69.52
SLC26A10	5.45	1.95	6.01	4.54	264.03	26.1	12.83	22.92	113.56	43.32	48.52	56.28	37.85	33.06	246.28	42.71	2.97	55.49	18.97	36.01	19.53	40.36
SLC8A1	27.25	29.27	15.22	20.26	698.41	125.24	363.56	151.22	532.74	253.23	303.44	2209.26	915.51	395.18	607.87	651.58	10.63	57.89	33.3	20.41	31.22	21.63
SLITRK3	0.0	1.19	0.0	0.0	178.77	18.43	74.06	17.77	85.82	73.54	68.07	56.68	105.89	37.32	35.5	42.11	0.0	6.16	5.11	4.24	0.58	5.15
SMTN	285.03	150.17	224.97	341.51	18819.27	2451.44	5517.27	2240.11	7230.1	4010.71	4239.45	9945.68	7803.01	5255.91	14163.58	5147.73	307.69	1225.22	336.79	674.59	231.32	656.11
SORBS1	159.9	137.14	13.32	98.73	4512.4	848.22	1883.54	1191.69	3190.46	1662.49	1685.71	7642.41	4210.15	1709.26	2777.33	3146.52	19.82	312.0	149.12	157.68	28.45	110.43
SPEG	75.64	67.12	16.63	40.93	2178.83	500.46	743.43	412.0	1388.16	728.11	728.11	1457.23	1477.58	1397.83	2287.2	967.76	96.01	567.1	187.71	236.21	119.26	215.77
SYNM	248.0	49.21	12.18	158.79	13872.08	2627.46	5791.62	1721.16	7911.95	3564.78	4450.27	14765.09	6250.56	2485.67	7180.15	6745.86	109.66	769.69	151.22	226.54	61.68	265.87
SYNPO2	46.18	44.57	8.38	13.62	8840.04	1617.0	4268.94	2351.53	6381.92	2758.13	3372.43	16960.78	5831.91	2417.67	4937.99	6207.38	13.42	511.0	307.69	226.54	90.77	121.79
TCF21	0.0	0.0	0.37	0.0	429.54	56.28	139.07	64.34	231.32	153.34	88.26	307.69	260.38	241.19	624.99	182.55	2.2	2.73	1.55	7.4	0.83	3.0
TGFB1I1	363.56	162.14	68.55	224.97	5112.16	1111.82	2240.11	753.83	3280.18	1950.0	2061.24	4802.93	4450.27	1561.89	3589.58	2875.3	511.0	733.19	571.05	563.18	287.01	497.0
TMEFF2	0.0	0.0	0.0	0.33	281.09	94.01	98.04	43.02	226.54	136.19	129.69	2148.82	764.36	130.6	624.99	890.44	0.0	13.22	0.67	12.18	0.8	5.28
TMEM200B	8.38	244.57	13.22	409.15	1081.39	232.94	351.14	249.73	551.56	361.04	376.41	848.22	1662.49	412.0	1127.35	329.84	25.72	119.26	50.98	94.67	25.54	67.12
TMEM35	0.34	1.73	0.31	2.71	878.17	271.48	466.88	169.07	808.0	409.15	426.57	2319.15	1216.75	287.01	941.27	733.19	23.08	65.72	31.0	53.57	23.08	18.29
TTYH1	11.91	6.41	7.17	13.32	105.15	31.67	69.03	7.11	99.43	54.33	66.18	16.15	51.71	50.98	145.02	31.22	9.2	24.99	18.84	12.18	9.13	14.89
UGT1A6	0.0	0.0	0.0	0.0	358.54	74.58	260.38	165.57	161.02	84.04	131.51	134.3	12.55	58.71	22.92	103.69	10.63	0.0	10.39	3.11	0.0	2.46
VCL	866.07	642.59	490.14	447.82	4066.71	866.07	2367.9	1044.52	2384.37	1417.35	1745.2	6037.61	2591.27	1697.45	2835.7	3349.13	291.04	1081.39	1427.22	713.11	808.0	753.83
WNT16	0.38	0.62	0.0	0.0	74.06	26.67	31.0	29.27	40.36	18.84	30.12	41.22	32.36	31.0	37.59	16.39	0.0	1.33	4.86	5.54	0.36	2.63
