	TCGA.G4.6302.01A.11R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11ZTS.1526.SM.5N9G7	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.13O3P.2726.SM.5KM2R	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13OVL.2726.SM.5J2MP	TCGA.DD.A3A2.11A.11R.A213.07	GTEX.RNOR.1426.SM.48FDJ	GTEX.SJXC.1226.SM.4DM78	GTEX.RN64.1826.SM.48FDV	TCGA.AG.3732.11A.01R.1660.07
STAT5B	1331.57	2271.4	819.3	1417.35	1832.01	1498.22	1583.71	1081.39	896.64	426.57	738.29	532.74	532.74	1605.83
TAF4B	68.55	49.21	25.54	88.26	63.89	54.33	92.7	23.25	38.12	2.18	4.98	0.0	2.07	62.12
TCEB1	2224.63	1617.0	1216.75	2004.85	1674.06	1909.85	2816.11	1378.57	1151.06	1331.57	743.43	656.11	802.41	1697.45
TFRC	1088.92	212.78	376.41	3794.3	728.11	819.3	1216.75	381.68	190.34	309.83	154.42	195.72	164.42	381.68
THRAP3	1487.87	1437.15	1216.75	1757.34	1936.53	1628.26	2075.59	1359.57	836.53	684.02	902.89	587.13	748.61	1498.22
TOP1	884.29	607.87	563.18	860.08	791.35	796.86	961.07	540.19	395.18	356.05	297.17	327.56	262.2	753.83
TOR1B	444.72	363.56	356.05	420.68	409.15	392.44	518.15	381.68	267.73	346.29	224.97	248.0	281.09	480.04
TOX4	825.0	1183.45	738.29	1397.83	1183.45	1417.35	1151.06	1023.0	503.95	493.56	463.65	438.59	381.68	1111.82
TPM2	185362.8	1063212.58	61999.83	706337.4	663619.99	2392353.91	68318.04	95949.32	108699.57	334.46	629.35	325.29	154.42	209994.66
TRAF3	224.97	165.57	137.14	312.0	246.28	223.41	202.66	129.69	112.77	54.33	61.25	36.79	99.43	226.54
UBAP1	928.3	1081.39	796.86	1268.46	1508.65	1561.89	1594.73	872.1	813.63	624.99	583.07	563.18	559.28	1081.39
UBE2R2	848.22	921.88	595.34	759.08	693.58	733.19	1015.93	642.59	583.07	638.15	466.88	460.44	417.77	928.3
UGCG	1081.39	215.77	483.38	1259.69	1001.93	674.59	1397.83	299.25	285.03	236.21	381.68	209.84	181.28	361.04
USP32	406.31	366.09	269.6	660.68	651.58	444.72	575.03	379.04	299.25	346.29	309.83	285.03	299.25	366.09
WDR43	463.65	271.48	147.06	813.63	483.38	320.8	454.09	221.86	167.9	178.77	176.29	154.42	167.9	432.53
ZC3H15	1111.82	902.89	713.11	1081.39	909.17	1044.52	1322.37	830.75	674.59	656.11	500.46	529.06	497.0	1096.5
ZMAT3	262.2	221.86	151.22	223.41	214.27	190.34	327.56	149.12	138.1	40.93	67.12	181.28	71.0	185.11
ZNF330	1167.14	1437.15	753.83	854.13	1023.0	1104.13	1059.11	796.86	748.61	934.76	825.0	612.11	842.36	1151.06
ZNF385D	258.57	124.37	61.68	1628.26	1119.56	1023.0	928.3	197.09	265.87	2.58	5.87	18.43	0.0	59.97
