	GTEX.13O61.1226.SM.5KM21	TCGA.BC.A110.11A.11R.A131.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.P4PQ.1526.SM.3NMCK	GTEX.RU1J.0526.SM.46MUT	GTEX.XAJ8.0326.SM.47JYI	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
BCL9	371.22	26.47	12.93	0.0	309.83	384.34	239.52	318.57	713.11	265.87	291.04	325.29	447.82	253.23	172.65	371.22	341.51	318.57	289.02	536.45	185.11	231.32	201.25	71.5	728.11	164.42	155.5	660.68	616.37	638.15	688.78	669.92	551.56
BCORL1	190.34	20.86	4.28	0.0	83.45	110.43	75.64	115.16	215.77	71.0	205.5	305.55	194.36	80.57	91.41	236.21	108.9	67.59	120.94	271.48	56.68	106.63	55.89	17.51	265.87	63.89	63.45	228.13	361.04	209.84	348.71	182.55	239.52
BOK	728.11	1030.12	1295.13	0.0	423.61	753.83	507.46	1030.12	1242.34	551.56	872.1	633.73	1313.23	629.35	400.71	1151.06	738.29	490.14	486.75	1685.71	612.11	521.76	444.72	220.32	1498.22	500.46	490.14	1617.0	2739.08	2090.03	1322.37	1769.57	1794.29
C6orf89	890.44	356.05	248.0	497.0	718.08	748.61	808.0	1044.52	1044.52	819.3	1340.84	1104.13	1044.52	872.1	813.63	1008.9	1208.34	1001.93	1051.79	1030.12	708.18	753.83	825.0	559.28	1119.56	679.29	703.28	1350.18	1583.71	1268.46	1350.18	1096.5	1369.04
C8orf86	0.69	0.0	0.0	0.0	0.96	0.36	0.0	0.0	0.95	0.0	0.0	2.32	2.76	0.0	0.0	0.42	0.84	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.39	3.86	1.13	1.62	1.69	2.05
CACNA1H	2537.92	161.02	647.07	0.0	246.28	242.88	102.25	89.51	3716.2	131.51	281.09	890.44	3280.18	638.15	141.02	2895.31	1119.56	126.12	251.48	4543.8	197.09	151.22	73.54	40.07	4543.8	110.43	463.65	2417.67	3467.27	2537.92	3190.46	3467.27	2163.77
CAMK2N1	1268.46	1001.93	500.46	1936.53	532.74	1233.75	473.41	915.51	1208.34	1119.56	1159.07	1806.78	1295.13	309.83	1127.35	1023.0	325.29	138.1	1427.22	1388.16	251.48	166.73	75.64	738.29	1242.34	170.25	316.37	2777.33	3491.39	2555.58	3690.52	2468.49	2935.74
CASKIN1	2.92	0.0	0.0	0.0	2.78	4.94	10.47	0.59	14.35	0.64	13.32	38.4	13.52	2.25	2.05	11.64	13.72	3.63	2.16	17.25	2.71	0.83	0.0	0.0	18.29	0.89	1.68	7.34	18.84	14.78	26.28	25.91	18.43
CDC42EP4	1487.87	463.65	226.54	0.0	785.88	1378.57	1242.34	1617.0	1769.57	642.59	1923.14	1286.18	2148.82	1487.87	1529.73	2018.8	1572.76	1159.07	1331.57	2075.59	848.22	1088.92	909.17	651.58	2061.24	1037.29	1191.69	1477.58	1991.0	1832.01	2645.74	1977.24	1870.53
CEND1	37.32	5.15	0.17	0.0	9.06	11.55	64.34	4.54	69.03	1.43	9.56	96.01	82.29	16.75	5.77	55.1	36.79	4.24	16.75	187.71	26.28	8.19	6.21	3.69	67.59	21.01	60.82	99.43	108.9	82.29	96.01	72.01	92.05
CNGB1	2.61	0.0	0.0	0.0	3.23	1.1	2.53	11.82	14.56	0.0	4.74	0.21	18.16	2.18	0.61	11.38	8.99	3.17	6.46	34.02	0.69	4.7	0.0	0.0	6.89	0.0	10.0	13.03	20.86	11.3	7.69	10.79	14.14
DIP2C	376.41	87.03	75.11	0.0	126.12	159.9	104.42	102.25	579.04	117.6	101.54	277.2	679.29	148.09	86.43	447.82	258.57	120.1	116.78	775.05	69.52	76.71	75.11	47.17	988.12	56.28	106.63	638.15	669.92	583.07	860.08	796.86	656.11
DKFZP761J1410	1008.9	121.79	73.54	0.0	420.68	327.56	368.65	389.72	1540.37	232.94	616.37	934.76	1388.16	607.87	283.05	1191.69	723.08	339.14	293.07	1674.06	323.03	400.71	279.14	232.94	1529.73	217.27	441.64	1447.15	1628.26	1572.76	1369.04	1529.73	1225.22
DLX5	0.31	0.0	1.45	0.0	14.89	1.64	0.0	1.89	11.82	14.45	9.78	48.87	19.25	1.45	6.16	18.16	4.58	0.0	1.71	28.86	0.0	3.03	0.6	1.45	18.29	3.32	6.57	20.71	26.67	34.02	43.02	32.13	45.53
DRP2	10.47	0.0	0.12	0.0	5.82	2.71	1.43	1.51	21.47	10.39	1.75	2.58	42.71	7.46	1.38	16.51	14.45	0.6	0.97	84.04	1.53	0.61	0.47	3.59	60.82	0.0	4.9	18.84	19.82	9.27	33.54	38.67	24.81
EFR3B	4.66	0.58	1.31	0.0	11.82	15.11	23.76	1.64	16.75	9.13	17.77	40.07	16.75	11.13	7.82	14.35	17.77	8.45	8.25	25.91	5.41	6.78	6.11	1.62	16.51	2.61	3.23	8.06	35.25	13.52	37.85	22.43	33.06
FAM114A1	571.05	423.61	293.07	688.78	961.07	928.3	733.19	688.78	974.5	660.68	764.36	1529.73	1008.9	819.3	503.95	764.36	921.88	1088.92	836.53	1208.34	466.88	555.41	599.49	642.59	1477.58	486.75	507.46	1135.2	1572.76	1457.23	1757.34	1477.58	1583.71
FAM127B	3168.41	708.18	202.66	0.0	1233.75	1127.35	1199.98	1407.55	2417.67	1457.23	1572.76	1594.73	2664.15	1844.76	1674.06	2303.12	1674.06	1487.87	1208.34	2485.67	1685.71	2133.97	1477.58	1991.0	2400.97	1857.6	2271.4	6337.83	5791.62	3124.78	3690.52	4937.99	5672.41
FAM187A	6.01	6.11	5.63	0.0	8.51	7.22	2.92	6.73	11.55	2.63	4.62	13.52	11.55	4.74	6.94	13.03	13.62	5.23	4.78	21.16	6.31	10.31	3.29	2.25	10.16	4.74	5.63	9.13	14.14	20.11	20.41	19.25	18.56
FAM220A	193.01	73.03	63.45	0.0	190.34	193.01	138.1	277.2	251.48	190.34	182.55	242.88	239.52	166.73	182.55	318.57	271.48	144.01	281.09	348.71	218.79	173.85	187.71	242.88	251.48	147.06	209.84	373.81	346.29	334.46	412.0	412.0	376.41
FAM98B	159.9	83.45	53.57	0.0	255.0	366.09	185.11	204.07	409.15	305.55	256.78	346.29	490.14	343.89	212.78	309.83	172.65	265.87	237.86	441.64	191.67	170.25	103.69	105.15	507.46	154.42	228.13	438.59	551.56	291.04	563.18	327.56	551.56
FGD1	134.3	7.57	1.25	0.0	54.33	67.12	36.53	34.02	183.82	44.25	61.68	185.11	195.72	63.89	47.84	157.68	69.03	43.63	60.82	218.79	53.57	50.63	36.01	21.01	208.38	54.33	57.08	149.12	314.17	156.59	301.33	301.33	217.27
FOXO6	49.91	1.57	0.31	0.0	24.99	18.7	22.43	22.26	163.28	3.96	82.87	73.03	57.08	42.71	19.25	108.14	35.76	27.84	21.47	91.41	23.59	21.78	24.28	13.72	87.03	18.97	28.24	105.89	177.53	78.34	161.02	198.47	127.0
FZD5	178.77	279.14	198.47	87.65	307.69	583.07	525.39	291.04	669.92	397.93	764.36	329.84	363.56	507.46	403.5	429.54	555.41	447.82	486.75	941.27	122.64	289.02	320.8	153.34	830.75	297.17	156.59	981.29	400.71	432.53	521.76	1628.26	1119.56
FZD9	5.19	1.39	0.0	0.0	2.51	5.87	2.27	0.88	4.1	0.97	30.56	44.57	15.45	12.64	17.38	19.68	12.55	5.15	15.11	14.14	11.82	9.2	1.23	6.31	5.92	4.03	9.56	22.75	29.91	47.5	43.02	15.34	21.78
GAL	206.94	2.94	9.78	0.0	41.81	154.42	158.79	2.16	2777.33	24.11	316.37	967.76	674.59	76.71	49.56	473.41	358.54	3.72	58.3	1183.45	42.71	7.34	73.54	54.33	500.46	43.63	275.28	3190.46	941.27	1844.76	1794.29	559.28	525.39
GMEB2	251.48	98.04	190.34	0.0	164.42	234.57	205.5	193.01	223.41	186.4	253.23	412.0	181.28	181.28	212.78	229.72	239.52	215.77	201.25	215.77	173.85	165.57	153.34	47.17	215.77	145.02	147.06	307.69	249.73	248.0	244.57	224.97	283.05
GPRASP2	175.07	50.98	17.51	0.0	118.43	61.68	42.41	40.36	297.17	59.97	62.56	63.45	279.14	93.35	26.1	283.05	122.64	66.65	61.25	435.55	48.52	48.18	24.99	35.25	432.53	39.22	82.29	305.55	316.37	194.36	532.74	532.74	507.46
HMX2	1.22	0.0	0.0	0.0	0.0	0.28	0.35	0.0	6.94	0.0	0.66	14.89	7.63	1.27	0.0	4.31	3.41	0.0	0.75	5.32	0.0	0.0	0.35	1.58	3.47	0.0	0.37	1.3	22.43	11.91	17.77	7.75	12.93
HMX3	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.79	4.78	0.0	0.27	15.56	14.56	2.56	3.76	7.28	5.45	2.46	0.68	20.11	0.0	1.28	0.0	0.0	4.17	0.0	1.04	13.22	43.94	7.4	17.13	10.24	19.53
HRASLS	14.24	0.93	0.0	0.0	2.68	3.38	23.76	9.85	58.3	11.04	6.21	55.89	49.21	12.0	18.43	21.16	13.62	21.47	2.01	43.94	10.16	13.32	5.63	26.67	30.78	36.01	10.63	181.28	98.04	50.63	33.54	105.15	75.11
HS1BP3	1044.52	389.72	450.94	0.0	397.93	595.34	417.77	638.15	928.3	327.56	769.69	718.08	1096.5	647.07	521.76	819.3	703.28	490.14	540.19	1096.5	417.77	518.15	483.38	497.0	1127.35	392.44	567.1	1081.39	1175.27	669.92	764.36	2178.83	1127.35
IGSF9B	348.71	4.43	0.0	0.0	42.11	42.71	43.94	98.73	624.99	48.18	22.59	91.41	612.11	59.55	32.82	301.33	185.11	14.03	32.82	703.28	15.22	21.78	9.7	4.06	934.76	11.91	49.21	371.22	780.44	599.49	463.65	656.11	417.77
ING1	316.37	146.03	48.87	0.0	244.57	289.02	273.37	269.6	371.22	161.02	397.93	633.73	381.68	325.29	299.25	511.0	314.17	212.78	291.04	432.53	281.09	221.86	267.73	285.03	320.8	191.67	392.44	429.54	463.65	412.0	366.09	660.68	473.41
KCNH5	0.41	0.0	0.0	0.0	0.41	0.0	0.0	1.75	4.5	0.34	0.0	8.65	4.5	0.33	0.0	2.41	2.12	0.0	0.39	8.0	0.0	0.0	0.0	0.0	1.99	0.0	1.14	2.97	4.03	3.63	2.94	3.11	2.12
KCTD2	454.09	157.68	164.42	0.0	305.55	441.64	356.05	563.18	579.04	258.57	384.34	267.73	656.11	318.57	329.84	532.74	435.55	400.71	312.0	688.78	327.56	339.14	229.72	136.19	651.58	273.37	281.09	559.28	713.11	638.15	733.19	674.59	599.49
KIF3C	107.38	13.52	1.43	0.0	37.59	64.8	34.75	70.01	156.59	36.79	71.5	151.22	144.01	44.89	24.99	242.88	95.34	28.24	34.51	209.84	50.27	43.32	23.42	28.04	134.3	15.68	42.41	162.14	232.94	248.0	283.05	115.16	162.14
KIF5A	28.86	0.0	0.32	0.0	15.22	8.19	4.24	0.87	69.03	6.26	2.46	73.54	96.68	13.72	6.52	73.03	62.56	7.46	12.83	164.42	5.96	8.32	1.66	3.03	80.57	3.76	13.42	68.55	119.26	67.59	83.45	70.01	73.54
MAGED2	2915.45	1015.93	656.11	0.0	1583.71	1832.01	1529.73	1844.76	4010.71	1508.65	3614.55	3690.52	3372.43	2875.3	1923.14	3820.7	3280.18	2645.74	2520.38	2997.45	2178.83	2104.58	2417.67	2090.03	2701.35	1781.89	2520.38	3515.68	4450.27	2485.67	5913.33	4010.71	4038.61
MAGEF1	698.41	381.68	157.68	0.0	753.83	579.04	723.08	866.07	748.61	902.89	1250.98	1175.27	743.43	775.05	599.49	616.37	679.29	723.08	543.96	890.44	693.58	674.59	656.11	587.13	902.89	551.56	769.69	616.37	713.11	830.75	842.36	1295.13	1388.16
MGAT4C	3.38	0.0	1.51	0.0	1.23	0.88	1.91	0.0	7.28	2.81	0.0	0.0	16.75	1.3	0.0	7.57	6.52	0.91	1.97	18.84	2.48	0.0	0.0	4.28	21.16	4.43	1.16	6.31	11.64	11.21	28.04	4.13	6.36
MTSS1L	1519.15	830.75	1159.07	228.13	323.03	420.68	389.72	373.81	3742.05	249.73	532.74	802.41	4972.34	802.41	309.83	3168.41	1268.46	237.86	376.41	4704.07	325.29	256.78	258.57	120.1	5219.6	366.09	511.0	2609.3	6037.61	3060.45	3564.78	6164.49	3589.58
NRF1	244.57	80.57	84.04	171.45	234.57	229.72	193.01	242.88	273.37	178.77	271.48	167.9	334.46	229.72	236.21	255.0	264.03	258.57	209.84	283.05	277.2	167.9	153.34	116.78	291.04	173.85	229.72	253.23	285.03	269.6	271.48	373.81	341.51
PACSIN3	934.76	332.14	155.5	0.0	285.03	220.32	441.64	1175.27	1259.69	181.28	336.79	281.09	1191.69	540.19	320.8	1340.84	660.68	426.57	229.72	1313.23	373.81	334.46	204.07	253.23	1286.18	412.0	555.41	1199.98	2956.17	1225.22	1662.49	1819.35	1225.22
PCDHB11	21.47	8.13	9.93	0.0	16.27	60.82	6.11	8.06	102.97	13.93	10.79	88.88	101.54	9.56	7.82	67.59	16.27	5.45	8.99	111.99	5.41	8.58	5.63	2.18	43.32	8.0	5.92	98.04	67.12	81.71	212.78	55.49	145.02
PCDHGB6	54.33	60.39	31.9	0.0	42.41	41.81	22.75	10.39	95.34	47.84	21.63	158.79	167.9	51.71	18.56	117.6	59.55	33.78	34.51	145.02	23.08	30.12	11.55	3.76	165.57	13.22	36.01	199.85	92.7	92.7	249.73	173.85	206.94
PDE1B	224.97	25.17	8.58	0.0	84.04	41.81	57.08	22.92	136.19	108.9	27.44	37.32	532.74	81.71	42.11	753.83	329.84	34.26	81.14	684.02	114.36	40.64	25.91	25.72	389.72	21.94	211.31	497.0	293.07	242.88	400.71	205.5	387.02
PEX19	1127.35	1519.15	961.07	0.0	753.83	941.27	764.36	1225.22	1388.16	764.36	1388.16	669.92	1447.15	1081.39	830.75	1397.83	1242.34	988.12	1030.12	1322.37	928.3	759.08	1030.12	1295.13	1427.22	791.35	1096.5	1733.13	1487.87	1369.04	1617.0	1519.15	1857.6
PGC	8046889.67	0.0	94.01	0.0	2310861.52	2310861.52	2310861.52	3200796.55	703.28	1393227.06	1.011504819E7	5128124.01	1662.49	1851161.35	1956711.0	659036.03	2068278.89	5690009.96	2025714.3	63.0	2025714.3	2126426.15	851707.37	1634025.56	12.93	4885245.74	2654482.97	68.55	0.87	42.71	42.71	10.47	7966.99
PHF7	169.07	74.58	63.0	0.0	120.94	164.42	64.8	76.17	178.77	50.27	108.9	100.13	161.02	94.67	108.9	128.79	72.52	88.88	120.94	220.32	84.63	63.0	65.72	75.64	264.03	59.97	119.26	159.9	112.77	88.26	173.85	218.79	242.88
PHLDA3	1388.16	50.63	38.4	0.0	521.76	466.88	679.29	1015.93	1662.49	563.18	285.03	693.58	1977.24	733.19	339.14	1457.23	1023.0	379.04	591.22	1936.53	599.49	624.99	571.05	529.06	1819.35	728.11	571.05	2720.15	2855.44	3212.66	3081.75	4607.24	2119.22
PLCB1	256.78	33.06	3.23	0.0	146.03	204.07	88.26	75.11	457.25	149.12	131.51	105.89	543.96	127.89	76.17	154.42	133.36	110.43	73.54	543.96	113.56	47.17	58.3	105.89	547.75	77.25	97.36	470.14	563.18	165.57	285.03	500.46	463.65
PNMA1	1225.22	46.84	83.45	232.94	543.96	733.19	371.22	620.67	2119.22	376.41	395.18	507.46	2335.28	708.18	587.13	1561.89	693.58	325.29	348.71	2502.97	387.02	414.87	356.05	334.46	2855.44	316.37	599.49	1572.76	2434.5	2104.58	2502.97	1936.53	2075.59
PRDM11	312.0	28.45	17.64	0.0	115.16	82.87	105.15	108.9	412.0	49.21	111.21	166.73	361.04	115.16	102.25	403.5	149.12	93.35	84.63	343.89	88.26	50.63	69.03	25.91	417.77	44.25	113.56	591.22	555.41	441.64	312.0	339.14	400.71
PRKAR2A	327.56	165.57	166.73	351.14	435.55	444.72	490.14	406.31	599.49	287.01	441.64	665.29	785.88	426.57	346.29	470.14	470.14	441.64	466.88	656.11	295.11	303.44	412.0	293.07	674.59	376.41	279.14	860.08	796.86	791.35	536.45	583.07	791.35
PRSS23	2047.0	708.18	79.45	3690.52	2193.99	1674.06	1806.78	2451.44	8022.41	2816.11	1277.29	878.17	6792.79	4607.24	1651.0	4010.71	4736.79	2451.44	2032.85	10154.69	1870.53	2835.7	1991.0	4328.55	11827.67	2664.15	2537.92	3982.99	8305.36	2627.46	14461.21	18560.17	7642.41
RAD23B	1781.89	2104.58	1498.22	0.0	1745.2	2367.9	2351.53	1561.89	2609.3	2240.11	2468.49	3018.3	2573.36	2520.38	2193.99	2367.9	2816.11	2047.0	2627.46	2664.15	1540.37	1651.0	2193.99	1216.75	3168.41	1594.73	2018.8	3690.52	3820.7	3443.31	3716.2	2434.5	4038.61
RALBP1	848.22	309.83	221.86	0.0	1119.56	974.5	759.08	836.53	967.76	708.18	1051.79	1407.55	848.22	753.83	536.45	703.28	808.0	866.07	629.35	854.13	567.1	688.78	444.72	490.14	708.18	947.83	507.46	1023.0	1233.75	1268.46	1259.69	1277.29	1519.15
RBBP9	100.83	170.25	98.04	264.03	229.72	309.83	142.01	236.21	447.82	204.07	209.84	301.33	454.09	281.09	136.19	285.03	172.65	232.94	214.27	450.94	223.41	164.42	211.31	183.82	490.14	125.24	221.86	368.65	514.56	460.44	842.36	336.79	629.35
RBM38	1397.83	583.07	1594.73	0.0	633.73	974.5	830.75	262.2	2645.74	212.78	633.73	3589.58	2502.97	1119.56	802.41	1397.83	1322.37	583.07	529.06	3794.3	1417.35	854.13	543.96	271.48	4066.71	543.96	1794.29	2739.08	3716.2	1572.76	2777.33	6121.9	3212.66
RMND5A	277.2	392.44	287.01	205.5	320.8	392.44	253.23	332.14	381.68	476.71	309.83	607.87	353.59	275.28	156.59	291.04	269.6	301.33	316.37	486.75	244.57	202.66	289.02	195.72	480.04	189.02	223.41	575.03	536.45	660.68	612.11	591.22	915.51
RP11-481A20.11	9.27	0.0	0.0	0.0	0.0	0.0	0.0	23.59	63.45	3.35	1.6	3.72	23.93	12.74	0.0	16.39	18.16	0.0	0.0	63.0	5.23	0.0	0.0	0.0	34.26	0.0	6.26	6.36	24.99	14.24	8.19	144.01	13.83
RPP14	291.04	301.33	353.59	403.5	346.29	392.44	273.37	392.44	497.0	366.09	371.22	384.34	493.56	343.89	303.44	373.81	323.03	373.81	381.68	454.09	301.33	277.2	397.93	336.79	503.95	236.21	387.02	571.05	503.95	497.0	563.18	567.1	583.07
SCRT1	1.03	0.0	0.0	0.0	0.67	0.0	0.62	0.53	2.53	0.0	0.58	1.77	0.62	0.0	0.0	0.99	1.41	0.0	0.6	2.03	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.82	3.03	4.46	1.28	2.51	2.39
SCXA	38.4	11.82	8.19	0.0	81.71	85.22	57.49	127.89	532.74	42.71	34.02	373.81	444.72	118.43	35.5	389.72	171.45	39.5	57.08	567.1	209.84	33.3	47.84	71.0	599.49	50.63	183.82	76.71	836.53	293.07	373.81	796.86	293.07
SLC29A1	4419.52	638.15	384.34	0.0	1508.65	1378.57	1208.34	2935.74	4903.87	1551.09	2451.44	1467.37	5517.27	3168.41	1286.18	5479.15	3874.05	2384.37	1467.37	5517.27	1709.26	2417.67	1806.78	1331.57	5479.15	2400.97	2335.28	2573.36	3168.41	2468.49	5403.7	7749.1	4802.93
SLC2A4RG	1806.78	1628.26	1806.78	0.0	1023.0	967.76	1233.75	674.59	3212.66	616.37	3190.46	2178.83	2384.37	1605.83	1044.52	2875.3	1709.26	1242.34	967.76	2664.15	1870.53	1508.65	1259.69	1378.57	3146.52	1427.22	1551.09	5076.84	2520.38	2163.77	6745.86	8305.36	2997.45
SLC38A1	1127.35	61.25	214.27	493.56	660.68	1081.39	460.44	183.82	2148.82	1259.69	75.11	417.77	2384.37	343.89	271.48	1159.07	555.41	361.04	438.59	2351.53	392.44	220.32	262.2	42.11	3018.3	264.03	493.56	2255.7	2645.74	2255.7	1628.26	2163.77	2434.5
SNAP25	83.45	16.15	35.76	0.0	80.57	20.71	25.72	49.91	624.99	29.91	50.27	441.64	466.88	140.04	57.08	305.55	209.84	69.03	43.94	921.88	42.41	24.11	16.39	173.85	400.71	12.27	127.0	571.05	376.41	454.09	579.04	318.57	414.87
SOX12	171.45	28.45	19.25	166.73	142.01	412.0	202.66	116.78	507.46	56.68	460.44	483.38	260.38	165.57	187.71	285.03	204.07	175.07	149.12	450.94	195.72	215.77	126.12	60.82	438.59	144.01	171.45	229.72	684.02	397.93	1051.79	775.05	647.07
SPTBN4	98.04	6.52	3.0	0.0	44.25	16.75	8.13	24.63	122.64	8.58	31.45	91.41	114.36	41.22	19.68	105.89	60.82	27.05	26.47	145.02	29.27	31.22	14.78	10.71	106.63	71.0	33.3	94.01	115.16	94.01	170.25	124.37	191.67
TARSL2	279.14	65.26	59.97	0.0	281.09	100.13	205.5	368.65	262.2	123.5	77.79	217.27	281.09	178.77	115.97	253.23	170.25	176.29	130.6	343.89	199.85	146.03	118.43	72.52	343.89	145.02	146.03	323.03	220.32	275.28	260.38	262.2	291.04
THAP8	212.78	40.93	31.67	0.0	82.87	108.14	98.04	58.71	395.18	75.11	159.9	151.22	305.55	178.77	142.01	297.17	195.72	120.1	116.78	373.81	162.14	187.71	161.02	135.24	423.61	85.82	220.32	529.06	420.68	358.54	429.54	551.56	483.38
TMEM114	3.26	0.0	0.0	0.0	0.0	0.0	0.0	1.66	11.38	0.0	0.0	12.93	9.63	0.0	0.0	2.03	9.63	0.0	3.69	9.78	0.0	0.0	0.0	0.0	2.73	0.0	1.45	10.0	12.93	0.0	0.0	5.19	9.41
TPD52L2	2133.97	693.58	1088.92	3515.68	961.07	1397.83	1651.0	1167.14	2075.59	1639.59	1295.13	3467.27	1950.0	1551.09	1191.69	1883.54	1295.13	1096.5	1151.06	1977.24	1322.37	988.12	1437.15	1143.1	1923.14	909.17	1540.37	2645.74	2468.49	1977.24	2018.8	2555.58	2417.67
TPPP	400.71	31.45	5.06	0.0	167.9	444.72	46.18	45.53	420.68	15.91	89.51	351.14	480.04	141.02	76.71	307.69	260.38	131.51	128.79	551.56	40.93	63.45	19.97	35.25	587.13	25.91	53.57	616.37	836.53	351.14	624.99	1216.75	759.08
