	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF29.1926.SM.5S2P1	GTEX.Y8LW.1626.SM.5IFHX	GTEX.132AR.0826.SM.5EGK6	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.Y114.1526.SM.4TT79	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	TCGA.B8.4622.11A.01R.1758.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSK.0826.SM.5CVNP
CCDC84	239.52	497.0	351.14	277.2	366.09	217.27	175.07	183.82	551.56	532.74	96.68	156.59	293.07	258.57	341.51	371.22	836.53	1651.0	2645.74	80.01	0.0	1.14	1322.37
CEP95	358.54	928.3	447.82	387.02	713.11	444.72	371.22	339.14	1066.48	1051.79	305.55	197.09	262.2	450.94	551.56	476.71	808.0	1167.14	1498.22	156.59	0.0	0.78	743.43
COG1	511.0	728.11	718.08	738.29	796.86	381.68	514.56	371.22	974.5	1044.52	327.56	318.57	785.88	713.11	684.02	575.03	1286.18	1051.79	1233.75	450.94	0.0	0.82	909.17
COL9A3	19.53	76.71	40.36	32.36	43.94	51.35	31.22	21.01	197.09	339.14	4.39	12.09	16.75	28.04	55.89	65.72	271.48	241.19	718.08	38.12	0.0	0.48	3103.19
CREBZF	305.55	1037.29	454.09	497.0	536.45	483.38	387.02	307.69	1088.92	854.13	231.32	205.5	368.65	529.06	624.99	591.22	708.18	1832.01	1794.29	229.72	0.0	1.06	995.0
CRIPAK	63.0	141.02	84.04	74.58	88.26	65.72	69.03	49.21	151.22	221.86	41.81	40.93	60.82	138.1	89.51	115.97	194.36	339.14	450.94	50.63	0.0	0.82	111.99
DVL3	575.03	830.75	595.34	551.56	638.15	460.44	607.87	368.65	921.88	1051.79	483.38	368.65	563.18	698.41	679.29	769.69	1295.13	1883.54	1923.14	334.46	0.0	1.39	1437.15
EDC4	480.04	848.22	660.68	490.14	866.07	567.1	571.05	511.0	947.83	1059.11	603.67	339.14	497.0	1015.93	603.67	785.88	1191.69	1388.16	1378.57	381.68	563.18	208.38	703.28
EIF2B4	896.64	974.5	974.5	842.36	884.29	743.43	791.35	713.11	830.75	1104.13	642.59	486.75	860.08	1015.93	819.3	684.02	1119.56	1286.18	2451.44	551.56	890.44	743.43	1066.48
EME1	6.62	13.03	17.9	15.45	18.03	13.52	4.21	4.03	19.97	51.35	28.04	8.19	7.63	10.63	25.17	18.43	16.51	16.39	26.47	10.39	0.0	0.48	34.75
ENTHD2	143.01	309.83	209.84	163.28	229.72	131.51	215.77	186.4	339.14	480.04	258.57	142.01	218.79	356.05	228.13	457.25	406.31	995.0	1208.34	94.67	0.0	0.99	647.07
EP400NL	112.77	180.02	91.41	68.55	153.34	82.87	74.06	111.99	109.66	195.72	59.13	72.52	120.1	90.77	135.24	108.9	128.79	279.14	271.48	21.01	0.0	0.82	226.54
FABP4	394590.4	104996.83	225066.78	348306.01	194578.47	447025.24	716197.51	602247.76	3928.15	32315.87	569761.05	906531.99	1078054.48	1838374.44	394590.4	636586.81	1757.34	18819.27	14163.58	1167.14	0.0	0.15	41188.81
FBXO4	251.48	336.79	299.25	334.46	312.0	358.54	131.51	260.38	511.0	633.73	123.5	215.77	256.78	314.17	339.14	198.47	341.51	397.93	320.8	256.78	0.0	0.38	361.04
FRAT1	62.56	98.73	74.58	66.65	97.36	59.97	65.26	64.34	154.42	136.19	54.33	49.21	56.68	32.59	69.03	63.45	124.37	68.07	68.55	40.36	0.0	0.09	173.85
GORASP1	813.63	1216.75	1001.93	848.22	1151.06	878.17	733.19	961.07	1477.58	1605.83	830.75	954.43	1208.34	679.29	1151.06	1331.57	1331.57	1397.83	1457.23	616.37	0.0	0.82	1639.59
GTF3C2	450.94	872.1	684.02	470.14	802.41	579.04	536.45	507.46	941.27	947.83	454.09	497.0	529.06	713.11	796.86	599.49	878.17	1216.75	1572.76	616.37	0.0	0.78	921.88
HSPA14	273.37	595.34	392.44	379.04	426.57	417.77	305.55	299.25	769.69	854.13	212.78	224.97	423.61	444.72	738.29	620.67	543.96	532.74	543.96	447.82	0.0	0.77	698.41
INCA1	35.25	59.13	24.63	35.76	49.91	29.27	41.22	16.39	73.03	82.87	19.11	27.44	24.28	46.18	20.71	48.18	96.68	92.05	82.29	26.86	0.0	0.24	127.89
KAT8	599.49	1135.2	915.51	753.83	1088.92	738.29	642.59	490.14	1651.0	1397.83	435.55	414.87	575.03	909.17	890.44	995.0	1674.06	1477.58	1794.29	486.75	0.0	1.0	1143.1
KIAA0141	1175.27	1617.0	1519.15	1233.75	1498.22	941.27	764.36	759.08	1721.16	1923.14	1233.75	1066.48	974.5	2319.15	1936.53	1437.15	1909.85	1709.26	1794.29	1437.15	0.0	1.07	1199.98
LY6G5B	102.97	291.04	117.6	93.35	191.67	89.51	40.93	67.12	423.61	323.03	43.94	40.93	98.04	120.94	145.02	285.03	206.94	791.35	1183.45	12.09	0.0	1.23	371.22
MAU2	356.05	878.17	555.41	397.93	679.29	363.56	497.0	318.57	748.61	693.58	301.33	295.11	376.41	551.56	624.99	599.49	748.61	1216.75	1551.09	291.04	329.84	102.25	928.3
MBOAT1	110.43	547.75	260.38	265.87	281.09	212.78	214.27	71.5	595.34	656.11	111.99	60.39	121.79	307.69	389.72	273.37	397.93	493.56	503.95	108.14	265.87	376.41	432.53
MON1B	334.46	480.04	392.44	363.56	334.46	309.83	353.59	314.17	785.88	693.58	642.59	384.34	480.04	470.14	406.31	733.19	616.37	486.75	547.75	323.03	320.8	140.04	438.59
MPPE1	718.08	909.17	738.29	848.22	1037.29	769.69	842.36	669.92	1151.06	1427.22	693.58	571.05	616.37	417.77	791.35	624.99	1259.69	884.29	1066.48	860.08	0.0	0.47	1051.79
MTA1	651.58	1030.12	791.35	738.29	902.89	470.14	638.15	343.89	1088.92	1407.55	384.34	351.14	802.41	928.3	688.78	941.27	1008.9	2090.03	2796.65	229.72	0.0	1.33	1059.11
MYO19	161.02	450.94	275.28	231.32	384.34	194.36	158.79	124.37	463.65	642.59	237.86	143.01	205.5	454.09	348.71	518.15	595.34	915.51	1023.0	201.25	0.0	1.27	400.71
NPEPL1	748.61	551.56	555.41	543.96	607.87	283.05	392.44	267.73	728.11	1127.35	193.01	287.01	420.68	579.04	575.03	607.87	941.27	1991.0	2796.65	536.45	0.0	0.84	1135.2
OSR1	170.25	341.51	329.84	204.07	1088.92	1331.57	45.21	63.0	1378.57	2451.44	543.96	34.02	49.21	115.97	189.02	217.27	366.09	1104.13	738.29	18.16	0.0	0.46	104.42
PCGF3	325.29	698.41	473.41	420.68	518.15	271.48	426.57	239.52	723.08	1008.9	371.22	258.57	356.05	441.64	341.51	460.44	493.56	1331.57	1388.16	194.36	0.0	0.77	813.63
POLE	158.79	343.89	265.87	237.86	246.28	215.77	191.67	161.02	514.56	599.49	162.14	162.14	149.12	348.71	329.84	351.14	490.14	679.29	825.0	62.12	0.0	0.93	361.04
PPIL2	366.09	486.75	490.14	381.68	555.41	329.84	334.46	275.28	791.35	713.11	414.87	336.79	346.29	329.84	532.74	480.04	688.78	693.58	1044.52	346.29	0.0	0.77	813.63
PRG2	3.23	8.58	10.08	0.0	2.66	5.06	0.0	2.56	12.83	17.25	1.38	1.66	4.54	2.23	4.24	14.14	20.56	28.45	18.7	2.07	0.0	0.18	24.81
PRKAA1	525.39	1529.73	928.3	791.35	813.63	1199.98	529.06	616.37	3325.99	2400.97	327.56	483.38	703.28	860.08	1143.1	1540.37	974.5	1467.37	1159.07	915.51	0.0	0.68	1191.69
PROSER1	224.97	429.54	314.17	248.0	323.03	277.2	323.03	211.31	791.35	567.1	303.44	182.55	303.44	316.37	381.68	312.0	409.15	511.0	579.04	157.68	0.0	0.72	514.56
RAPSN	0.89	4.54	2.48	0.52	1.23	1.48	3.11	0.0	10.79	11.82	1.79	4.46	0.0	1.31	4.86	0.69	7.11	5.54	7.88	3.32	0.0	0.38	8.32
RNF25	420.68	591.22	529.06	417.77	638.15	511.0	289.02	473.41	679.29	1030.12	379.04	406.31	591.22	316.37	511.0	450.94	802.41	521.76	536.45	371.22	476.71	198.47	693.58
RNF32	19.82	70.51	55.89	46.5	31.45	64.8	23.25	28.65	62.56	163.28	19.82	58.71	16.63	49.91	17.13	66.18	31.67	131.51	71.0	46.5	0.0	0.34	69.52
RP11-574K11.31	7.4	40.93	13.12	14.45	31.45	6.16	11.64	7.17	25.72	31.0	7.82	6.73	11.82	16.75	17.38	15.22	63.89	107.38	87.03	5.45	0.0	0.58	23.76
RP11-697E2.6	2.05	4.06	2.81	3.11	2.71	1.0	4.1	1.04	5.41	5.41	5.19	5.36	2.36	1.71	3.96	2.01	7.75	11.47	11.38	1.25	0.0	0.15	3.26
RPAIN	612.11	802.41	607.87	571.05	785.88	536.45	511.0	486.75	819.3	1111.82	346.29	348.71	412.0	587.13	575.03	571.05	961.07	1081.39	988.12	373.81	0.0	0.85	1572.76
SECISBP2	486.75	1037.29	624.99	463.65	624.99	559.28	423.61	438.59	1135.2	1119.56	392.44	384.34	612.11	802.41	825.0	669.92	1159.07	1104.13	1331.57	463.65	0.0	0.88	748.61
SLC16A11	13.12	82.87	35.76	13.83	88.88	16.15	4.94	8.45	159.9	158.79	4.54	19.82	15.56	46.84	62.12	41.22	152.28	75.11	46.5	24.28	0.0	0.0	258.57
SLC25A28	1073.91	1159.07	1175.27	995.0	1175.27	802.41	708.18	620.67	988.12	1909.85	1059.11	483.38	791.35	1104.13	1111.82	1208.34	1286.18	2193.99	3589.58	656.11	0.0	0.56	1407.55
SLC43A1	242.88	234.57	351.14	299.25	265.87	223.41	287.01	260.38	368.65	860.08	356.05	117.6	320.8	633.73	435.55	260.38	325.29	1096.5	1051.79	81.14	0.0	0.57	813.63
SOX13	483.38	1015.93	679.29	507.46	679.29	651.58	620.67	728.11	743.43	1561.89	460.44	521.76	381.68	536.45	785.88	1268.46	1304.15	1044.52	896.64	303.44	0.0	0.89	802.41
SPSB3	620.67	854.13	813.63	738.29	785.88	708.18	603.67	463.65	1304.15	1896.65	277.2	470.14	463.65	802.41	693.58	1369.04	1388.16	2573.36	3060.45	591.22	0.0	0.64	1369.04
STX16-NPEPL1	18.97	115.16	40.64	23.93	77.79	18.29	6.01	6.01	148.09	325.29	2.71	7.63	26.28	52.82	32.13	34.26	118.43	265.87	381.68	2.25	0.0	1.22	89.51
SUPT6H	698.41	1081.39	934.76	878.17	860.08	525.39	753.83	441.64	1857.6	1378.57	457.25	480.04	688.78	679.29	825.0	595.34	1208.34	1225.22	1159.07	429.54	0.0	0.84	1457.23
TBRG1	503.95	679.29	551.56	543.96	616.37	343.89	356.05	400.71	974.5	974.5	291.04	269.6	493.56	642.59	728.11	500.46	703.28	1104.13	1417.35	343.89	329.84	118.43	1096.5
TRIM3	218.79	503.95	339.14	236.21	275.28	212.78	258.57	98.04	733.19	460.44	201.25	63.89	206.94	497.0	291.04	480.04	551.56	1066.48	1259.69	79.45	0.0	0.96	555.41
TSPYL2	698.41	1159.07	842.36	665.29	902.89	802.41	348.71	332.14	2148.82	2835.7	406.31	305.55	231.32	457.25	1066.48	915.51	1427.22	3168.41	6935.54	133.36	255.0	197.09	2240.11
TTC32	105.15	575.03	205.5	267.73	265.87	285.03	102.25	127.0	595.34	620.67	119.26	86.43	161.02	279.14	275.28	273.37	511.0	796.86	1023.0	183.82	0.0	0.48	334.46
TTC34	6.84	13.83	6.73	5.63	12.74	1.68	3.63	2.32	57.49	54.33	0.46	3.11	2.27	6.31	15.22	4.24	17.0	16.27	18.7	1.28	0.0	0.25	11.13
UBP1	708.18	1639.59	1044.52	848.22	915.51	1208.34	656.11	848.22	2224.63	2163.77	647.07	796.86	902.89	802.41	1529.73	1023.0	1183.45	878.17	813.63	688.78	0.0	0.74	1498.22
ULK1	332.14	500.46	341.51	339.14	429.54	237.86	316.37	193.01	665.29	819.3	180.02	155.5	253.23	295.11	343.89	409.15	1001.93	1709.26	1769.57	149.12	0.0	0.56	813.63
UNKL	251.48	503.95	256.78	195.72	420.68	249.73	163.28	138.1	547.75	813.63	142.01	127.0	167.9	195.72	236.21	251.48	480.04	708.18	941.27	61.25	0.0	0.73	872.1
UVSSA	42.41	180.02	58.3	69.03	75.11	64.34	57.89	30.56	167.9	167.9	61.25	35.5	44.25	150.17	61.25	115.97	114.36	255.0	307.69	64.34	0.0	1.01	166.73
VPS39	836.53	1073.91	896.64	967.76	961.07	718.08	638.15	595.34	1639.59	1508.65	587.13	575.03	743.43	521.76	1066.48	575.03	1119.56	1104.13	1359.57	532.74	0.0	0.6	1870.53
VPS52	753.83	1059.11	909.17	854.13	1208.34	796.86	660.68	642.59	1159.07	1268.46	753.83	599.49	796.86	733.19	1001.93	1037.29	1359.57	1225.22	1923.14	688.78	0.0	0.55	1295.13
WDR45	1540.37	1313.23	1378.57	1417.35	1417.35	1268.46	1073.91	1135.2	1757.34	2468.49	1088.92	1519.15	796.86	1487.87	1757.34	1721.16	2303.12	2739.08	2816.11	1540.37	0.0	0.95	2209.26
WDR90	75.64	438.59	237.86	167.9	325.29	212.78	147.06	56.28	368.65	563.18	104.42	51.35	123.5	236.21	277.2	223.41	493.56	1111.82	1407.55	124.37	0.0	0.97	397.93
XRCC3	86.43	190.34	158.79	106.63	155.5	102.97	112.77	48.87	201.25	242.88	106.63	72.52	102.25	122.64	171.45	218.79	218.79	336.79	392.44	35.5	0.0	1.0	119.26
ZDHHC1	194.36	348.71	303.44	329.84	373.81	212.78	164.42	114.36	620.67	511.0	86.43	65.72	186.4	248.0	267.73	301.33	348.71	642.59	587.13	291.04	0.0	0.4	444.72
ZNF516	46.5	181.28	117.6	108.14	136.19	77.25	67.12	36.53	423.61	244.57	52.82	17.0	77.79	75.11	159.9	111.21	214.27	387.02	616.37	67.12	0.0	0.54	249.73
ZNF532	490.14	884.29	656.11	647.07	642.59	669.92	555.41	320.8	1977.24	2502.97	301.33	231.32	275.28	555.41	660.68	379.04	669.92	718.08	769.69	183.82	389.72	77.25	723.08
ZNF700	96.01	277.2	180.02	129.69	167.9	130.6	123.5	94.67	255.0	255.0	103.69	85.82	151.22	172.65	142.01	205.5	226.54	466.88	688.78	111.21	0.0	0.74	277.2
ZNF746	134.3	218.79	164.42	137.14	208.38	148.09	194.36	130.6	289.02	242.88	194.36	158.79	217.27	185.11	204.07	208.38	285.03	341.51	420.68	107.38	0.0	0.58	332.14
