	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ
C19orf53	2537.92	1159.07	2682.69	1427.22	1909.85	2240.11	988.12	2520.38	1.03	1883.54	3349.13	3325.99	2468.49	3515.68	4210.15	3515.68	3081.75	3039.3	3768.09	5006.93	5147.73	4419.52	2485.67	4210.15	4972.34	4123.49	2720.15	2573.36	2895.31	2591.27	4937.99	3491.39	3060.45	2875.3	5403.7	4639.29
C6orf226	127.89	58.71	72.01	112.77	249.73	134.3	56.68	148.09	0.45	159.9	543.96	392.44	325.29	620.67	470.14	536.45	186.4	392.44	392.44	748.61	559.28	559.28	194.36	633.73	718.08	802.41	414.87	351.14	201.25	293.07	688.78	414.87	194.36	450.94	532.74	287.01
C7orf50	775.05	708.18	688.78	454.09	854.13	555.41	435.55	587.13	0.52	1447.15	3349.13	3039.3	2537.92	2895.31	3589.58	3982.99	1733.13	3060.45	2434.5	4358.66	3515.68	4869.99	2537.92	3146.52	4769.75	3443.31	2400.97	2209.26	2133.97	2997.45	3794.3	2627.46	1662.49	2240.11	4210.15	1923.14
CAPG	1721.16	5594.3	928.3	2119.22	3982.99	4736.79	3124.78	3419.52	0.29	3690.52	10154.69	14065.74	8305.36	12943.04	3742.05	7537.18	3443.31	14163.58	9088.59	6516.03	11827.67	18431.96	5006.93	23169.48	8078.22	8963.45	11664.82	13492.72	11035.54	5711.87	13968.57	17681.08	3901.01	5751.61	16611.71	8247.98
CCDC130	571.05	551.56	204.07	128.79	450.94	305.55	476.71	381.68	1.19	642.59	624.99	1127.35	1313.23	743.43	575.03	1151.06	624.99	775.05	1059.11	872.1	1457.23	785.88	603.67	1331.57	1008.9	954.43	941.27	836.53	796.86	896.64	1208.34	884.29	616.37	902.89	1081.39	688.78
CCDC94	346.29	299.25	169.07	123.5	332.14	312.0	348.71	336.79	1151.06	507.46	624.99	679.29	638.15	563.18	444.72	450.94	447.82	651.58	753.83	599.49	540.19	796.86	591.22	748.61	612.11	813.63	647.07	748.61	651.58	563.18	1059.11	660.68	397.93	769.69	563.18	447.82
CDC37	1674.06	1225.22	775.05	902.89	1991.0	1769.57	1583.71	1794.29	0.61	2303.12	3564.78	3639.7	3515.68	3901.01	4010.71	5006.93	3874.05	3060.45	3395.89	4123.49	5403.7	4181.07	2319.15	4575.41	4802.93	2855.44	3665.02	3212.66	2835.7	2895.31	3280.18	3146.52	2997.45	3325.99	4328.55	4123.49
CHCHD5	1191.69	540.19	351.14	934.76	713.11	713.11	616.37	532.74	0.3	616.37	1175.27	1216.75	1175.27	1639.59	1457.23	1225.22	1008.9	1167.14	1757.34	1259.69	1467.37	1551.09	842.36	1794.29	1467.37	1639.59	1259.69	1059.11	1268.46	1051.79	1794.29	1350.18	1044.52	1313.23	1551.09	1023.0
COL18A1	723.08	1066.48	232.94	271.48	624.99	1216.75	651.58	197.09	1.07	307.69	1096.5	3018.3	2502.97	2178.83	1628.26	1745.2	1936.53	1519.15	1313.23	2609.3	1685.71	934.76	358.54	1857.6	2148.82	1977.24	1277.29	1427.22	854.13	2018.8	2319.15	1487.87	1037.29	1175.27	1896.65	1350.18
COX14	1407.55	866.07	947.83	1304.15	1183.45	1819.35	1437.15	1551.09	0.75	2319.15	2997.45	3467.27	2835.7	2573.36	2935.74	2335.28	2434.5	3443.31	3257.52	2664.15	2417.67	3235.01	1286.18	3982.99	3325.99	3928.15	3928.15	2816.11	2537.92	2271.4	3874.05	3874.05	2178.83	2720.15	3742.05	2400.97
COX7C	17927.91	6381.92	18052.61	18304.63	11584.24	15392.14	9740.98	15824.9	1.23	23656.34	27938.14	27363.16	18819.27	26614.89	30151.71	24832.5	18178.19	26067.14	27745.15	24321.43	30361.44	29327.18	23656.34	33688.23	27938.14	34876.28	38966.94	18431.96	20881.4	18560.17	31870.96	30361.44	18950.18	25179.16	39510.91	28723.62
CST3	8479.89	3874.05	3325.99	11504.21	15180.22	7749.1	2976.74	12764.83	1304.15	7857.29	16045.82	14561.8	14663.09	19754.96	22535.88	15715.58	14163.58	13492.72	14461.21	26800.01	25354.3	18052.61	10512.82	14971.21	21172.91	21172.91	12943.04	12244.81	12589.08	11504.21	22850.48	11584.24	12502.12	12589.08	16843.62	13681.08
CUEDC1	674.59	403.5	249.73	249.73	162.14	540.19	273.37	138.1	0.75	684.02	718.08	748.61	1051.79	616.37	624.99	748.61	239.52	796.86	896.64	813.63	703.28	698.41	583.07	743.43	665.29	748.61	780.44	1037.29	764.36	753.83	688.78	733.19	665.29	872.1	890.44	629.35
CYBA	1208.34	1304.15	186.4	262.2	1936.53	1685.71	1250.98	1037.29	0.96	1233.75	3874.05	5255.91	5183.54	5672.41	3325.99	5219.6	3280.18	4388.98	2796.65	5555.65	7230.1	4575.41	1378.57	8305.36	4937.99	9945.68	7642.41	2573.36	3639.7	2645.74	10084.54	3639.7	2335.28	2855.44	5183.54	3146.52
DDA1	563.18	249.73	660.68	555.41	656.11	603.67	237.86	796.86	214.27	532.74	693.58	1037.29	934.76	1167.14	748.61	872.1	674.59	909.17	1111.82	1151.06	928.3	1023.0	638.15	981.29	1023.0	836.53	780.44	921.88	890.44	769.69	934.76	967.76	607.87	961.07	878.17	848.22
DGCR14	115.97	131.51	62.56	89.51	234.57	193.01	103.69	177.53	0.51	164.42	291.04	366.09	277.2	373.81	277.2	301.33	221.86	277.2	295.11	403.5	295.11	327.56	269.6	325.29	463.65	318.57	341.51	293.07	239.52	229.72	444.72	353.59	154.42	316.37	363.56	218.79
DNLZ	102.25	115.97	134.3	82.87	163.28	120.94	109.66	138.1	0.35	256.78	265.87	271.48	267.73	329.84	368.65	373.81	291.04	256.78	638.15	379.04	353.59	236.21	146.03	397.93	351.14	376.41	435.55	232.94	476.71	239.52	447.82	169.07	125.24	228.13	275.28	204.07
DNTTIP1	473.41	454.09	223.41	417.77	532.74	607.87	273.37	559.28	0.85	607.87	718.08	866.07	551.56	902.89	769.69	878.17	551.56	738.29	629.35	802.41	748.61	813.63	738.29	693.58	665.29	928.3	620.67	708.18	764.36	703.28	860.08	830.75	423.61	780.44	775.05	629.35
DUS3L	226.54	358.54	158.79	146.03	255.0	241.19	271.48	265.87	0.68	432.53	417.77	791.35	521.76	441.64	406.31	525.39	559.28	500.46	579.04	612.11	743.43	656.11	409.15	669.92	647.07	543.96	518.15	583.07	525.39	638.15	878.17	587.13	329.84	660.68	438.59	376.41
EIF3K	4575.41	2835.7	3982.99	3146.52	3768.09	4512.4	3874.05	5517.27	1.35	5751.61	7032.37	6792.79	6164.49	8421.31	7032.37	7966.99	4937.99	6935.54	9025.81	7911.95	8134.41	7803.01	5403.7	8363.13	7180.15	7589.61	8778.97	5791.62	6840.04	6381.92	7589.61	6840.04	5995.9	7130.55	8134.41	6652.97
ETFB	293.07	463.65	73.03	166.73	954.43	780.44	483.38	1233.75	0.62	1674.06	3103.19	3419.52	3325.99	4181.07	2796.65	3491.39	1685.71	2997.45	5147.73	3589.58	3257.52	3419.52	2417.67	4239.45	2895.31	4769.75	4972.34	3060.45	2417.67	2796.65	5183.54	3257.52	2384.37	4769.75	3280.18	2193.99
FAM127A	1447.15	379.04	2047.0	1605.83	1066.48	1304.15	170.25	1044.52	1.0	1662.49	2018.8	3103.19	2537.92	2875.3	2287.2	2664.15	1844.76	2367.9	2915.45	3325.99	3589.58	2367.9	1304.15	4095.0	2835.7	3124.78	2287.2	2271.4	1870.53	1909.85	2573.36	2720.15	1977.24	2090.03	2915.45	1950.0
FAM127B	1498.22	127.89	2104.58	2047.0	1225.22	1059.11	51.71	1037.29	0.92	1685.71	2004.85	2240.11	1963.57	2209.26	2018.8	1519.15	1697.45	1832.01	1991.0	2255.7	2777.33	1857.6	1199.98	3081.75	2075.59	2720.15	1733.13	2335.28	1529.73	1709.26	2434.5	2434.5	1832.01	1605.83	2520.38	1896.65
FAM195B	1350.18	1685.71	733.19	808.0	1605.83	1331.57	995.0	967.76	0.92	915.51	2485.67	2591.27	2609.3	2875.3	2777.33	3060.45	2303.12	2915.45	2701.35	3235.01	3467.27	3589.58	1721.16	3467.27	4038.61	3372.43	2485.67	2351.53	2209.26	2701.35	4736.79	2319.15	1733.13	1844.76	3982.99	2367.9
GABARAP	19892.37	3716.2	14867.79	22225.61	17681.08	21468.49	3372.43	23330.64	693.58	17317.18	21768.19	24321.43	22225.61	27363.16	25179.16	23986.58	20170.07	23169.48	23009.42	26614.89	26986.43	27553.49	20881.4	21768.19	24660.96	23820.89	20310.37	23820.89	22225.61	18819.27	25887.07	25354.3	27553.49	17681.08	27938.14	22225.61
GADD45GIP1	595.34	379.04	150.17	211.31	1322.37	738.29	450.94	1159.07	0.74	808.0	1733.13	1313.23	2090.03	2032.85	2119.22	2090.03	2287.2	2209.26	2417.67	2193.99	2555.58	2047.0	896.64	3540.14	2061.24	3212.66	2417.67	1651.0	1304.15	1697.45	3665.02	1757.34	1037.29	1963.57	2287.2	1628.26
GIPC1	1081.39	1359.57	543.96	346.29	1081.39	1059.11	1104.13	878.17	1322.37	733.19	1225.22	2047.0	2075.59	1963.57	1639.59	2004.85	1135.2	2417.67	1963.57	1832.01	1487.87	2271.4	860.08	2956.17	2319.15	2682.69	1529.73	1331.57	1498.22	1806.78	2400.97	2004.85	1059.11	1388.16	2271.4	1359.57
GLYCTK	87.65	75.11	15.8	57.49	54.33	29.27	108.14	61.25	0.55	63.0	96.68	181.28	220.32	167.9	115.97	151.22	115.97	181.28	212.78	137.14	205.5	170.25	96.68	264.03	127.89	198.47	242.88	142.01	141.02	119.26	236.21	167.9	118.43	173.85	172.65	120.94
GPS1	1066.48	1143.1	967.76	1088.92	1397.83	995.0	1037.29	1167.14	1073.91	1175.27	1844.76	1977.24	1950.0	2271.4	2075.59	2335.28	1457.23	1757.34	2104.58	2417.67	2090.03	2335.28	1447.15	2434.5	2451.44	2271.4	1909.85	1477.58	1457.23	1769.57	2434.5	1923.14	1674.06	1950.0	1950.0	1378.57
GTF2IRD2	603.67	262.2	334.46	305.55	361.04	387.02	295.11	460.44	0.39	571.05	423.61	599.49	878.17	591.22	450.94	620.67	366.09	444.72	447.82	559.28	785.88	738.29	738.29	688.78	616.37	693.58	612.11	718.08	480.04	518.15	866.07	507.46	612.11	624.99	500.46	536.45
HDGFRP2	567.1	438.59	486.75	309.83	825.0	483.38	348.71	426.57	878.17	703.28	934.76	785.88	947.83	995.0	802.41	1151.06	842.36	872.1	947.83	1111.82	860.08	896.64	583.07	961.07	1175.27	1015.93	830.75	684.02	514.56	698.41	995.0	866.07	764.36	769.69	884.29	674.59
ID1	162.14	525.39	92.7	54.33	78.89	143.01	202.66	112.77	0.47	4095.0	9808.75	18178.19	10014.87	6607.01	2224.63	7280.4	4836.35	25354.3	12764.83	4123.49	5633.22	4972.34	1909.85	32540.65	20310.37	25354.3	8658.09	13776.25	11424.74	11745.96	9945.68	12853.63	583.07	13492.72	6294.04	7032.37
ID3	607.87	830.75	417.77	728.11	420.68	547.75	361.04	303.44	0.39	7537.18	10808.41	10154.69	7803.01	10733.74	2720.15	20451.65	7911.95	21617.82	9876.98	4481.23	6652.97	5913.33	2627.46	24490.61	11035.54	11584.24	9409.14	9876.98	11035.54	13681.08	7695.57	10084.54	954.43	5913.33	4388.98	13306.94
KAT5	536.45	698.41	896.64	713.11	909.17	780.44	748.61	915.51	0.33	1457.23	1369.04	1674.06	1909.85	1757.34	1359.57	1369.04	1286.18	1467.37	1781.89	1388.16	1498.22	1529.73	1769.57	1594.73	1508.65	1819.35	1313.23	1819.35	1594.73	1540.37	1832.01	1594.73	1233.75	1639.59	1295.13	1313.23
KCNQ1	80.57	30.12	31.22	15.91	42.11	100.83	33.3	23.42	0.3	1322.37	3419.52	2287.2	3742.05	3168.41	3325.99	2645.74	1685.71	2209.26	2739.08	2956.17	3874.05	4836.35	2758.13	3820.7	3540.14	2090.03	3443.31	1639.59	1417.35	2224.63	1733.13	2573.36	2682.69	2209.26	5441.3	3540.14
KLHDC4	256.78	231.32	130.6	43.63	258.57	251.48	177.53	353.59	0.75	329.84	267.73	447.82	503.95	435.55	301.33	514.56	543.96	314.17	493.56	466.88	583.07	500.46	366.09	521.76	483.38	366.09	447.82	444.72	403.5	470.14	417.77	444.72	341.51	409.15	525.39	314.17
LSMD1	1883.54	1551.09	733.19	2319.15	1572.76	1551.09	3257.52	1662.49	0.57	1015.93	2855.44	3060.45	3716.2	4210.15	3665.02	3443.31	1605.83	3589.58	4450.27	4181.07	3395.89	3614.55	1832.01	5791.62	4010.71	6471.02	4575.41	2240.11	2133.97	2573.36	6652.97	3103.19	1674.06	4123.49	3372.43	1909.85
MAN2C1	595.34	808.0	387.02	397.93	629.35	381.68	708.18	688.78	1.62	2061.24	2004.85	3515.68	3515.68	3146.52	2997.45	5555.65	2287.2	1605.83	2573.36	2645.74	4903.87	3081.75	2555.58	2875.3	3901.01	2061.24	2335.28	2271.4	2104.58	2796.65	1936.53	3039.3	2384.37	2796.65	2935.74	2434.5
MBD6	698.41	379.04	934.76	796.86	656.11	995.0	122.64	674.59	1.08	1199.98	2400.97	2976.74	3768.09	2895.31	2816.11	2875.3	1015.93	2255.7	2119.22	2777.33	2816.11	2816.11	1487.87	3419.52	3081.75	2739.08	2645.74	2018.8	1685.71	2664.15	2976.74	2777.33	1963.57	3257.52	2739.08	1407.55
MBLAC1	17.9	40.36	14.56	7.63	42.11	17.9	13.83	28.86	0.22	45.21	58.3	117.6	96.01	137.14	78.34	68.07	67.12	80.57	80.57	93.35	100.13	72.01	37.85	126.12	82.29	87.65	128.79	58.3	73.03	43.32	109.66	107.38	43.94	65.72	54.33	31.67
MEF2BNB	327.56	198.47	229.72	277.2	281.09	303.44	255.0	336.79	212.78	460.44	603.67	854.13	860.08	954.43	669.92	954.43	620.67	679.29	769.69	723.08	769.69	708.18	503.95	961.07	825.0	743.43	748.61	536.45	616.37	532.74	660.68	708.18	587.13	698.41	713.11	660.68
MRPL21	656.11	921.88	1225.22	1175.27	1030.12	1001.93	1277.29	988.12	0.65	1540.37	2193.99	1697.45	1583.71	2255.7	1794.29	2627.46	1540.37	1477.58	2400.97	2240.11	2271.4	1594.73	1191.69	1806.78	2163.77	2271.4	2816.11	1844.76	1437.15	1467.37	2178.83	2090.03	1044.52	2047.0	1950.0	1268.46
MRPL23	728.11	1529.73	376.41	802.41	1096.5	1167.14	1467.37	1685.71	0.64	1519.15	2335.28	2573.36	2796.65	2720.15	2004.85	2591.27	1617.0	2855.44	2739.08	2573.36	3168.41	3060.45	1295.13	4123.49	3018.3	3491.39	3349.13	2287.2	1936.53	1794.29	4903.87	2875.3	1044.52	2627.46	3325.99	1561.89
MRPL28	909.17	866.07	503.95	928.3	1594.73	860.08	825.0	1159.07	0.89	1119.56	1594.73	1832.01	1950.0	2193.99	1508.65	2004.85	1216.75	1745.2	2351.53	2032.85	1733.13	1870.53	1104.13	2417.67	2018.8	2485.67	1674.06	1685.71	1331.57	1417.35	2701.35	1721.16	1259.69	2018.8	2119.22	1225.22
MRPL53	988.12	1340.84	297.17	638.15	1304.15	995.0	1159.07	642.59	0.6	1331.57	1721.16	2591.27	1896.65	2351.53	2758.13	1757.34	1697.45	2451.44	2573.36	2119.22	2935.74	2240.11	1088.92	3742.05	2758.13	2997.45	2047.0	1909.85	1819.35	1963.57	3690.52	2609.3	1457.23	2224.63	2720.15	1909.85
MRPL54	1268.46	1044.52	412.0	529.06	1417.35	974.5	2133.97	1540.37	0.54	1331.57	2573.36	2720.15	2537.92	3467.27	2739.08	2739.08	1923.14	2701.35	3018.3	2682.69	2915.45	3303.0	2193.99	3955.48	3564.78	4066.71	2682.69	2434.5	2384.37	2047.0	4010.71	2573.36	1417.35	2555.58	3564.78	2061.24
MVB12A	934.76	660.68	466.88	463.65	988.12	836.53	607.87	688.78	0.67	848.22	1745.2	1233.75	1936.53	2240.11	1417.35	1794.29	1350.18	1819.35	1909.85	2193.99	2319.15	2271.4	1233.75	2148.82	2004.85	2287.2	1674.06	1551.09	1242.34	1407.55	2835.7	1883.54	1397.83	1359.57	2047.0	1583.71
MYLPF	8.06	16.27	35.25	15.34	47.17	36.27	14.03	11.73	0.18	0.0	53.57	57.89	44.89	90.14	22.1	102.97	51.35	63.89	17.51	39.79	43.63	105.15	37.32	86.43	120.94	47.17	107.38	51.35	33.54	40.36	59.97	32.36	37.32	80.01	51.35	24.81
NDUFA11	3955.48	3146.52	2875.3	2209.26	2915.45	3039.3	3280.18	2384.37	1.13	2319.15	5954.47	7130.55	5791.62	8022.41	6121.9	6745.86	4972.34	6471.02	7642.41	8078.22	8191.0	7857.29	3349.13	8658.09	7695.57	10659.59	6840.04	5441.3	4298.64	5995.9	10733.74	6337.83	3190.46	5633.22	6983.79	5255.91
NDUFA3	3982.99	884.29	2855.44	2335.28	2720.15	2915.45	1151.06	3639.7	1457.23	3419.52	6745.86	7130.55	5329.3	7695.57	6294.04	10883.59	4123.49	6792.79	8421.31	10959.3	9540.5	8421.31	3820.7	16727.26	9808.75	11992.79	9025.81	4010.71	5183.54	5995.9	12676.65	7032.37	3716.2	8134.41	8718.32	5403.7
NDUFB2	5954.47	2609.3	3955.48	8778.97	4152.18	4481.23	2434.5	4671.57	0.64	10440.2	15824.9	18304.63	16843.62	16611.71	14361.31	16727.26	8363.13	25887.07	25887.07	17437.64	14461.21	19348.38	10440.2	38430.46	17927.91	32540.65	26248.46	13306.94	14561.8	18689.27	23656.34	22225.61	8778.97	18178.19	23492.92	14065.74
NDUFB7	2645.74	2451.44	902.89	1008.9	2664.15	2400.97	3982.99	1697.45	0.87	2935.74	5954.47	7382.04	7589.61	8778.97	7180.15	8363.13	3589.58	8658.09	10014.87	8840.04	7589.61	9876.98	3847.29	13215.02	7966.99	11664.82	9540.5	5255.91	4512.4	6079.61	13399.51	7911.95	2758.13	8078.22	8363.13	5006.93
NDUFS7	928.3	1096.5	432.53	334.46	1135.2	587.13	723.08	551.56	703.28	435.55	1697.45	2018.8	2351.53	3081.75	2502.97	2075.59	1639.59	2224.63	3081.75	3018.3	2148.82	2451.44	1015.93	4419.52	2956.17	3467.27	2935.74	1561.89	1159.07	1909.85	3349.13	2075.59	1096.5	2271.4	2537.92	1359.57
NDUFV1	759.08	1359.57	921.88	780.44	2018.8	1044.52	1617.0	1277.29	1.08	2591.27	2855.44	3665.02	4671.57	3928.15	2855.44	5255.91	2976.74	3146.52	4358.66	3820.7	5831.91	3742.05	2591.27	4769.75	3901.01	4066.71	4671.57	3794.3	2555.58	3303.0	3564.78	3564.78	3212.66	4239.45	3874.05	2573.36
NME3	921.88	1745.2	551.56	629.35	1977.24	718.08	1378.57	555.41	0.99	551.56	2018.8	1111.82	1030.12	1870.53	2384.37	2816.11	1477.58	1388.16	988.12	2451.44	3419.52	1923.14	1322.37	1685.71	2739.08	2163.77	1143.1	1037.29	674.59	1143.1	2075.59	1015.93	1073.91	1015.93	2287.2	1175.27
NT5C	373.81	441.64	150.17	229.72	656.11	368.65	353.59	555.41	0.93	842.36	1369.04	1819.35	1617.0	1583.71	1208.34	1437.15	1001.93	1259.69	1477.58	1208.34	1977.24	1304.15	890.44	2032.85	1639.59	2032.85	1397.83	1498.22	1030.12	1208.34	2319.15	1662.49	866.07	1487.87	1457.23	954.43
NT5DC2	518.15	316.37	674.59	237.86	251.48	429.54	214.27	217.27	0.6	674.59	759.08	896.64	1183.45	638.15	563.18	728.11	223.41	878.17	1617.0	1111.82	981.29	708.18	420.68	1674.06	947.83	1674.06	1359.57	1183.45	759.08	988.12	1487.87	693.58	775.05	1225.22	1417.35	665.29
NUDT8	82.29	20.56	46.18	15.68	190.34	125.24	46.5	47.5	0.39	202.66	629.35	536.45	764.36	660.68	575.03	624.99	379.04	941.27	1088.92	753.83	896.64	830.75	361.04	1313.23	848.22	1143.1	1051.79	624.99	441.64	559.28	1225.22	738.29	447.82	483.38	1225.22	503.95
