	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZVZQ.0826.SM.51MRF	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.TML8.1226.SM.32QON	GTEX.12WSB.0626.SM.59HJO	GTEX.13OVG.1426.SM.5K7VP	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.38.4625.01A.01R.1206.07	GTEX.XMD2.1026.SM.4WWE8	GTEX.RN64.1226.SM.2TC6E	GTEX.11ZUS.0126.SM.5EQM5	GTEX.11NUK.0826.SM.5HL4U	GTEX.QEG4.0526.SM.48TZD
GDF6	12.55	3.99	14.67	12.45	9.85	8.85	6.62	4.31	9.13	7.69	3.26	13.03	1.27	28.45	1.55	1.85	1.77	2.92	11.04	7.06	23.59	0.38	0.0	0.0	0.0	2.03	2.29	0.0	25.91	15.68	12.45	14.89	16.39
GNGT2	48.18	34.75	72.01	57.89	68.55	63.45	29.7	22.75	41.22	61.25	54.33	76.17	24.63	74.58	43.02	130.6	69.03	17.0	126.12	108.14	172.65	8.71	11.13	8.19	5.41	16.27	50.27	0.0	249.73	246.28	332.14	665.29	241.19
GZMA	182.55	53.57	397.93	116.78	157.68	197.09	108.9	67.12	16.39	314.17	88.88	1277.29	60.39	470.14	94.67	59.97	154.42	107.38	1001.93	708.18	314.17	46.18	19.53	28.04	12.36	29.48	10.96	0.0	1417.35	470.14	223.41	211.31	1923.14
GZMH	96.01	35.5	201.25	64.34	55.89	175.07	35.0	28.45	15.56	85.22	12.93	642.59	17.0	785.88	64.8	20.26	29.7	65.72	265.87	195.72	29.91	38.67	7.88	13.62	14.56	5.63	12.45	0.0	543.96	872.1	842.36	159.9	1721.16
HIST1H1D	1.01	0.0	2.73	0.0	1.36	1.03	0.0	0.0	0.0	3.89	0.0	15.68	2.07	27.84	0.0	0.37	2.58	7.57	4.46	5.5	13.22	0.0	5.36	0.0	0.93	0.0	0.0	0.0	35.25	21.94	14.67	10.16	54.72
HLA-DQA1	1096.5	171.45	830.75	1457.23	620.67	1594.73	339.14	267.73	808.0	189.02	3820.7	6983.79	295.11	6037.61	368.65	1923.14	1127.35	193.01	5041.77	9215.48	441.64	36.27	97.36	8.19	30.56	101.54	102.97	0.0	7695.57	10084.54	15392.14	58655.36	11992.79
IL2RG	318.57	85.22	454.09	193.01	320.8	215.77	279.14	110.43	73.54	341.51	285.03	1467.37	180.02	1001.93	85.22	55.89	316.37	301.33	1359.57	490.14	1143.1	73.54	25.91	33.78	23.93	73.03	18.84	0.0	1175.27	1745.2	1639.59	1819.35	3257.52
KLRF1	17.13	20.71	58.3	48.18	20.86	63.0	18.29	32.13	5.82	82.87	31.22	149.12	1.69	52.45	16.39	16.51	38.67	16.51	23.59	146.03	23.25	3.29	1.89	4.06	2.2	10.31	9.27	26.67	271.48	99.43	234.57	52.82	454.09
KRAS	279.14	162.14	285.03	212.78	297.17	176.29	255.0	231.32	314.17	346.29	228.13	406.31	283.05	334.46	198.47	205.5	156.59	387.02	500.46	376.41	587.13	115.16	53.57	77.79	53.19	202.66	176.29	0.0	954.43	218.79	312.0	444.72	232.94
MAPK3	3280.18	2816.11	3467.27	3124.78	3614.55	3564.78	2976.74	3280.18	1844.76	4736.79	2119.22	6250.56	1909.85	3325.99	1639.59	1757.34	5594.3	3982.99	2664.15	8421.31	5329.3	651.58	571.05	1151.06	866.07	305.55	457.25	0.0	5255.91	4210.15	4769.75	3614.55	6935.54
MEF2C	674.59	420.68	638.15	575.03	866.07	890.44	591.22	674.59	406.31	854.13	679.29	1508.65	343.89	890.44	466.88	559.28	693.58	728.11	1051.79	1757.34	1159.07	36.79	29.27	29.48	19.11	30.34	47.17	116.78	896.64	1059.11	2468.49	1540.37	1857.6
MTMR7	16.51	13.72	13.62	9.85	12.74	13.22	12.74	16.51	8.19	9.48	9.7	62.56	11.82	73.54	16.51	4.82	19.25	9.93	23.59	21.16	33.54	8.06	5.28	11.91	3.41	11.64	1.55	0.0	57.08	47.84	25.91	35.0	24.28
NCR3	11.38	8.38	32.13	11.64	15.11	18.56	6.41	8.65	0.0	56.28	19.39	49.91	0.0	12.36	14.14	5.96	18.97	0.0	30.78	61.25	15.22	4.1	0.0	2.36	2.03	4.03	10.08	0.0	92.05	105.15	37.05	58.3	211.31
NKG7	279.14	129.69	571.05	218.79	267.73	521.76	142.01	167.9	35.0	941.27	185.11	2178.83	90.14	733.19	351.14	92.05	341.51	248.0	693.58	1001.93	341.51	82.87	70.51	86.43	55.89	81.71	55.1	0.0	2032.85	2895.31	1721.16	438.59	6250.56
OMG	28.24	8.32	75.11	32.59	40.07	10.88	33.06	23.42	27.84	105.15	14.89	75.64	2.71	53.95	2.68	6.11	35.25	26.47	40.07	97.36	46.84	1.3	3.29	0.47	0.83	3.03	10.96	0.0	289.02	599.49	915.51	260.38	226.54
OSBPL10	129.69	115.97	312.0	120.1	275.28	166.73	159.9	154.42	136.19	299.25	145.02	476.71	108.14	316.37	115.97	94.01	289.02	301.33	153.34	624.99	325.29	30.78	5.82	5.36	2.68	24.63	6.52	0.0	361.04	1127.35	176.29	417.77	612.11
PRF1	72.01	55.49	291.04	96.68	167.9	202.66	47.17	63.0	14.45	412.0	77.79	406.31	87.03	299.25	232.94	29.7	866.07	26.86	291.04	1111.82	154.42	28.24	23.59	17.9	16.88	31.0	12.36	178.77	890.44	647.07	629.35	309.83	2720.15
PRKG1	70.01	48.18	99.43	93.35	88.88	76.17	104.42	82.29	63.45	143.01	66.65	166.73	47.84	180.02	24.63	42.11	93.35	135.24	234.57	181.28	186.4	9.13	0.91	3.06	2.34	6.57	7.28	0.0	269.6	909.17	316.37	166.73	454.09
PRRT2	40.64	21.01	25.35	44.57	40.93	19.68	34.02	25.35	27.05	71.5	4.94	41.52	28.45	152.28	0.61	2.03	33.78	34.02	92.7	125.24	80.57	15.8	11.38	13.83	6.89	4.66	0.0	0.0	152.28	277.2	583.07	163.28	134.3
PTGER4	221.86	125.24	289.02	220.32	303.44	246.28	281.09	293.07	85.22	312.0	104.42	728.11	177.53	490.14	67.59	124.37	420.68	157.68	223.41	341.51	595.34	6.52	1.08	2.39	1.71	8.32	8.06	0.0	660.68	483.38	674.59	1427.22	738.29
PTPRN2	62.12	60.82	155.5	76.71	77.79	76.71	68.55	75.64	35.76	221.86	93.35	928.3	17.25	218.79	24.11	81.14	182.55	212.78	96.68	693.58	190.34	10.31	5.15	6.89	5.06	12.64	19.68	0.0	348.71	409.15	163.28	159.9	395.18
RASL12	88.26	139.07	392.44	215.77	249.73	181.28	167.9	130.6	167.9	363.56	103.69	417.77	95.34	392.44	23.42	67.59	169.07	255.0	366.09	511.0	723.08	43.32	6.06	27.44	41.52	0.88	4.9	0.0	529.06	1477.58	1709.26	974.5	860.08
REM1	44.57	72.52	117.6	67.12	65.26	76.17	72.52	56.28	50.27	175.07	78.34	358.54	28.04	115.16	13.72	92.7	85.22	112.77	95.34	260.38	255.0	20.71	0.62	10.39	0.0	1.38	4.46	0.0	129.69	173.85	255.0	167.9	186.4
RGS16	194.36	85.22	178.77	57.89	187.71	56.28	267.73	260.38	99.43	241.19	124.37	703.28	79.45	392.44	112.77	45.21	595.34	366.09	206.94	297.17	813.63	26.47	4.06	246.28	10.71	22.1	8.32	155.5	1674.06	2271.4	305.55	381.68	325.29
RP11-347C12.3	25.72	25.72	57.49	34.75	23.93	65.26	40.07	44.25	13.93	60.82	29.7	123.5	42.71	144.01	11.47	9.27	26.1	59.13	112.77	146.03	105.89	2.66	6.89	7.11	3.5	0.66	0.0	0.0	267.73	159.9	228.13	127.0	295.11
RSPH4A	2.53	1.73	8.0	3.63	3.11	5.06	6.84	7.06	14.56	0.0	4.58	26.67	15.34	29.91	10.24	2.32	2.51	6.36	12.74	13.93	9.27	2.56	2.34	1.46	0.61	2.71	0.95	0.0	56.28	48.52	325.29	116.78	8.58
SAMD3	38.12	9.93	47.5	25.54	31.67	21.94	28.65	12.36	12.45	63.0	1.27	128.79	7.88	87.03	4.03	10.08	22.26	35.5	185.11	57.49	46.5	16.39	3.63	2.81	1.3	5.23	1.91	0.0	182.55	78.34	151.22	71.5	234.57
SEMA6A	265.87	127.0	305.55	217.27	229.72	209.84	329.84	228.13	118.43	287.01	146.03	206.94	152.28	961.07	84.63	110.43	190.34	241.19	587.13	1191.69	551.56	66.65	7.57	17.25	10.79	34.51	30.56	55.49	1073.91	688.78	1417.35	629.35	1745.2
SEMA7A	14.56	26.1	57.08	16.75	50.98	26.1	22.43	19.97	31.45	42.71	65.26	67.12	10.88	128.79	18.56	11.55	98.04	19.97	80.57	153.34	169.07	19.53	29.48	19.53	68.55	7.75	36.01	0.0	293.07	514.56	180.02	231.32	271.48
SH2D1B	6.62	8.92	21.16	13.52	13.52	26.67	5.63	12.45	7.22	21.63	8.0	29.06	4.82	6.73	6.11	8.65	18.7	0.62	18.56	38.12	14.67	0.92	2.03	1.99	0.45	5.73	2.23	0.0	70.01	98.04	55.89	39.79	241.19
SOX7	265.87	136.19	368.65	242.88	236.21	373.81	275.28	327.56	253.23	476.71	341.51	1313.23	180.02	358.54	301.33	341.51	532.74	414.87	291.04	351.14	1286.18	22.75	9.85	10.31	5.19	77.25	57.49	61.25	647.07	1896.65	813.63	438.59	7749.1
TMEM173	1037.29	571.05	1457.23	921.88	1369.04	884.29	642.59	909.17	525.39	738.29	669.92	1733.13	476.71	1674.06	379.04	490.14	1467.37	967.76	1259.69	2451.44	3419.52	190.34	44.57	58.3	48.87	148.09	183.82	0.0	5006.93	1896.65	4575.41	4802.93	3060.45
TMEM74B	20.71	20.86	23.42	26.28	34.51	35.0	24.99	19.68	26.86	76.71	8.32	164.42	4.86	237.86	20.41	3.2	19.25	9.27	52.45	55.49	178.77	79.45	6.06	33.3	8.32	65.72	6.78	0.0	281.09	480.04	954.43	473.41	612.11
