	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ITGA9	206.94	27.25	93.35	18.03	149.12	66.65	53.19	158.79	15.91	39.79	21.47	51.35	72.52	56.68	132.44	62.12	41.52	186.4	91.41	15.34	46.5	40.07	262.2	10.63	27.84	100.13	102.25	106.63	109.66	19.39	334.46	45.53	45.21	47.84	28.65	24.63	114.36	39.22	13.12	145.02	94.01	43.02	25.54	190.34	204.07	204.07	463.65	260.38	318.57
KIRREL	228.13	21.16	130.6	11.55	234.57	76.71	108.9	170.25	14.89	46.5	40.93	39.79	60.39	53.57	193.01	76.71	79.45	128.79	107.38	11.38	49.21	40.07	253.23	12.74	75.64	132.44	126.12	96.01	149.12	18.7	309.83	53.95	34.75	69.03	40.07	22.75	100.13	49.91	14.89	57.49	76.71	63.0	30.12	176.29	177.53	211.31	307.69	201.25	301.33
KLK3	772940.66	1345768.59	1005860.33	1116072.03	593956.43	1212874.47	1163466.92	1116072.03	373305.21	1063212.58	906531.99	1255646.43	1187913.85	1139523.1	619179.28	1100706.72	906531.99	1327240.99	716197.51	887875.81	1147449.11	1412675.8	726195.27	906531.99	919186.72	1238359.56	1327240.99	1196176.45	985160.01	746611.43	627822.72	1063212.58	1212874.47	1238359.56	696613.03	985160.01	1048575.0	1345768.59	767601.56	1472666.19	1229805.58	1019901.63	696613.03	805764.22	751804.53	602247.76	546551.29	985160.01	573724.06
LDB2	395.18	114.36	248.0	52.08	256.78	172.65	226.54	185.11	28.86	96.01	63.89	260.38	125.24	143.01	356.05	140.04	132.44	295.11	316.37	50.98	126.12	105.89	642.59	48.87	130.6	343.89	500.46	301.33	305.55	87.65	412.0	153.34	100.83	96.01	57.89	59.55	220.32	147.06	33.78	169.07	185.11	132.44	41.22	371.22	454.09	275.28	579.04	289.02	532.74
LRRC8C	65.26	13.62	31.45	6.67	56.68	24.11	42.71	26.47	8.25	17.64	17.64	26.28	21.01	16.63	48.18	36.01	24.28	46.84	42.41	14.56	19.25	13.22	72.01	13.83	28.24	57.89	78.34	37.85	41.22	11.91	63.0	24.46	11.55	13.12	13.32	9.48	26.28	26.1	14.03	33.06	15.8	32.36	13.32	59.13	39.79	40.36	77.25	43.02	82.87
LRRK2	58.3	3.72	23.25	1.95	54.33	15.34	22.43	38.95	2.73	14.24	7.94	13.93	10.0	9.63	52.82	12.27	16.39	48.87	28.04	1.93	8.45	6.41	65.26	6.57	15.68	15.68	17.25	31.45	37.32	4.28	68.07	9.85	5.73	8.85	6.67	5.82	16.75	8.85	1.53	103.69	14.78	12.74	6.06	59.55	73.03	43.94	88.26	57.08	82.29
MB21D2	30.78	12.09	19.11	5.92	38.67	17.77	24.28	24.81	3.53	9.78	8.13	13.93	12.45	13.72	35.5	19.97	10.88	37.85	24.81	3.96	14.45	8.71	57.49	4.5	8.85	27.25	23.76	26.28	23.93	3.96	44.25	9.27	5.02	9.34	6.94	7.06	17.25	7.94	3.82	13.62	13.52	11.3	5.96	35.5	31.22	31.67	39.5	41.22	41.52
MEF2C	291.04	23.08	139.07	43.94	229.72	65.26	96.68	125.24	7.69	72.01	48.87	85.22	55.1	65.26	246.28	77.79	115.97	187.71	182.55	26.67	43.63	47.5	256.78	32.13	75.64	158.79	171.45	105.15	171.45	31.9	277.2	96.01	39.5	70.51	30.34	18.43	80.01	78.34	19.68	88.88	91.41	80.57	33.78	224.97	191.67	185.11	297.17	187.71	575.03
MKX	269.6	17.9	139.07	14.14	253.23	145.02	204.07	187.71	8.71	50.98	60.39	51.71	113.56	77.25	301.33	336.79	58.3	260.38	157.68	57.49	99.43	71.0	346.29	25.54	90.77	80.01	140.04	205.5	224.97	65.72	363.56	183.82	43.02	37.59	43.02	44.25	149.12	98.04	17.64	78.89	100.83	41.22	45.53	236.21	435.55	215.77	414.87	166.73	500.46
NID2	297.17	24.11	156.59	57.89	232.94	95.34	121.79	236.21	28.45	100.13	36.53	68.55	73.03	77.25	253.23	94.01	117.6	189.02	183.82	71.5	55.1	45.53	299.25	49.91	58.3	167.9	172.65	211.31	221.86	31.22	248.0	67.12	35.5	104.42	59.97	32.82	156.59	81.14	16.15	279.14	157.68	69.03	36.53	158.79	260.38	199.85	309.83	229.72	406.31
P2RY14	12.45	4.21	8.0	1.73	11.64	3.11	3.17	10.47	0.58	3.17	1.81	5.02	1.57	7.28	16.88	3.53	14.78	18.84	4.46	1.41	5.32	2.18	10.96	1.5	1.77	7.51	28.04	20.71	7.4	2.07	15.68	3.72	1.87	3.11	0.91	2.41	9.48	4.06	0.24	7.63	2.29	5.36	2.23	33.3	35.76	35.0	31.22	9.48	33.3
P2RY8	28.24	7.69	22.1	3.76	17.25	32.36	17.25	13.12	4.24	10.79	6.21	17.51	14.24	7.11	36.27	19.25	9.85	22.1	24.63	9.56	12.64	12.45	45.21	4.9	10.79	42.41	47.84	17.9	31.45	6.31	26.1	17.25	8.45	4.7	5.32	2.27	10.47	15.68	4.78	22.92	4.58	9.7	2.12	27.64	23.93	22.92	34.75	13.93	31.0
PLEKHA2	224.97	40.64	119.26	15.56	239.52	193.01	92.7	106.63	19.68	81.71	67.12	41.22	59.13	55.49	190.34	96.68	80.57	136.19	124.37	10.96	63.0	79.45	231.32	13.93	69.52	86.43	98.04	115.16	104.42	20.41	253.23	71.5	41.52	74.58	21.32	39.79	76.17	48.18	24.46	102.97	81.14	67.12	38.67	269.6	291.04	217.27	381.68	211.31	327.56
PRSS35	29.27	1.3	1.08	0.0	2.71	0.77	2.29	16.03	0.45	1.68	0.0	1.91	0.47	3.82	4.43	1.1	1.83	19.97	8.19	4.86	1.06	1.07	20.41	0.74	0.16	3.92	1.71	11.73	9.85	1.19	20.86	5.23	1.07	1.66	0.17	1.03	9.63	4.66	0.14	0.82	6.21	0.77	0.14	10.08	33.06	12.55	26.67	91.41	49.56
RBMS3	102.25	30.56	55.1	5.41	100.83	86.43	57.08	66.18	10.71	29.06	17.0	32.82	31.9	22.59	93.35	22.26	33.54	93.35	55.1	8.38	24.46	22.59	131.51	5.96	27.64	38.4	48.87	63.0	70.51	9.63	120.1	29.48	25.17	29.06	11.91	14.78	45.85	19.25	5.15	30.56	38.95	31.22	17.64	98.04	133.36	68.07	181.28	105.89	172.65
RGL1	299.25	37.59	121.79	20.86	246.28	101.54	91.41	170.25	18.84	82.87	40.64	93.35	78.34	81.14	232.94	81.14	92.05	170.25	136.19	19.53	53.95	46.18	241.19	25.54	68.07	148.09	145.02	176.29	164.42	46.84	312.0	74.58	40.36	95.34	51.35	39.22	117.6	43.94	22.26	87.65	128.79	73.54	41.81	205.5	251.48	224.97	371.22	341.51	426.57
RHOJ	189.02	28.86	101.54	18.03	152.28	84.04	118.43	131.51	50.98	43.32	37.05	111.21	73.03	54.72	265.87	55.1	73.03	158.79	150.17	31.9	81.14	49.21	299.25	28.24	56.68	120.94	190.34	183.82	189.02	22.92	193.01	81.71	35.76	57.49	41.22	33.54	89.51	52.82	21.47	66.65	123.5	83.45	17.64	129.69	325.29	149.12	316.37	269.6	329.84
S1PR1	287.01	114.36	221.86	50.27	221.86	165.57	127.0	123.5	47.17	128.79	68.07	409.15	158.79	120.1	295.11	96.68	93.35	289.02	218.79	132.44	73.54	82.29	521.76	94.67	122.64	299.25	417.77	249.73	314.17	66.65	348.71	170.25	84.63	54.72	45.53	41.52	180.02	167.9	29.7	165.57	198.47	183.82	63.45	412.0	412.0	366.09	599.49	249.73	514.56
SERPINB9	107.38	17.9	48.18	9.7	109.66	33.78	54.72	52.82	6.67	47.84	19.97	36.27	25.54	19.82	88.26	55.89	40.07	80.57	63.0	7.75	30.12	19.82	90.14	13.03	21.47	44.89	46.5	89.51	53.57	10.08	96.01	20.26	22.75	27.05	12.09	15.11	32.59	17.77	12.64	33.3	39.79	27.84	13.12	102.97	101.54	108.9	120.94	84.04	115.97
SGCG	50.27	6.73	13.03	1.06	21.47	32.36	26.1	17.13	1.77	5.68	2.12	15.34	9.85	6.01	14.67	3.29	3.89	33.3	66.65	0.0	6.94	7.69	73.03	2.46	2.05	10.47	14.56	11.47	17.0	0.46	60.82	2.84	1.48	10.08	1.46	4.78	28.86	4.58	2.25	2.29	20.56	14.89	0.71	33.78	114.36	46.84	120.1	85.82	187.71
SLC16A2	199.85	35.25	226.54	69.52	209.84	120.94	133.36	115.16	18.16	77.25	38.95	64.34	78.34	113.56	198.47	89.51	66.65	166.73	122.64	6.57	72.01	41.22	283.05	19.53	81.71	127.89	101.54	208.38	191.67	25.91	273.37	43.02	59.13	87.65	48.18	68.07	147.06	70.01	34.51	69.52	173.85	56.68	44.89	275.28	258.57	305.55	277.2	283.05	414.87
SLC16A4	70.51	18.97	40.36	6.84	84.04	39.22	42.11	42.11	7.82	30.34	20.56	18.16	31.9	26.47	84.63	24.63	23.59	57.89	51.71	5.45	23.93	22.1	75.64	13.12	22.26	26.28	51.71	69.03	49.91	9.2	97.36	23.42	19.97	16.03	16.63	14.56	34.75	21.32	12.0	63.89	38.4	26.67	13.93	87.03	110.43	58.3	118.43	65.26	88.26
SOX5	28.65	7.17	19.53	31.22	39.5	10.08	9.27	12.18	1.58	18.56	2.27	18.56	7.88	19.39	28.45	5.23	15.34	18.16	21.78	2.16	6.06	3.38	22.59	0.89	7.4	8.78	12.45	14.45	22.75	1.38	30.12	7.75	4.43	8.45	2.32	3.59	17.38	5.77	1.77	23.76	11.3	10.79	5.19	28.45	24.81	18.16	54.72	25.17	35.76
SPRED1	167.9	26.28	65.72	27.64	157.68	80.01	104.42	96.01	5.63	45.85	23.76	45.85	60.82	47.84	132.44	40.36	97.36	88.88	101.54	8.25	35.76	50.27	154.42	37.85	41.22	103.69	107.38	81.14	100.13	19.25	149.12	40.36	34.26	35.25	21.01	30.56	65.26	115.16	25.91	132.44	62.12	53.57	22.59	170.25	169.07	104.42	211.31	139.07	211.31
SPRY2	438.59	144.01	275.28	265.87	450.94	358.54	265.87	429.54	75.64	205.5	218.79	373.81	303.44	253.23	397.93	199.85	341.51	351.14	444.72	102.25	178.77	187.71	616.37	239.52	91.41	215.77	287.01	283.05	409.15	101.54	490.14	180.02	157.68	167.9	148.09	189.02	293.07	226.54	186.4	149.12	299.25	220.32	202.66	460.44	660.68	500.46	563.18	417.77	651.58
ST8SIA4	44.57	9.2	14.45	2.23	36.53	6.78	18.03	14.03	2.29	12.83	9.34	8.78	7.22	9.34	34.51	18.29	10.16	25.17	22.59	6.84	8.58	5.59	29.7	4.17	15.8	37.59	27.84	27.05	22.59	5.06	42.71	15.91	6.52	9.93	4.86	5.68	10.96	12.0	4.1	23.59	4.46	14.78	4.7	43.94	35.5	58.71	35.25	20.71	47.84
