	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.DK.AA6Q.01A.11R.A39I.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.EK.A2RM.01A.21R.A18M.07	TCGA.CM.5862.01A.01R.1653.07	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.CN.6992.01A.11R.1915.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CV.7254.01A.11R.2016.07	TCGA.QK.A6VB.01A.12R.A34R.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.CC.A5UE.01A.11R.A28V.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13NZ9.1326.SM.5MR3V	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.35.5375.01A.01R.1628.07	TCGA.49.4486.01A.01R.1206.07	TCGA.67.3771.01A.01R.0946.07	TCGA.38.4631.01A.01R.1755.07	TCGA.50.5066.01A.01R.1628.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	TCGA.22.5485.01A.01R.1635.07	TCGA.18.3415.01A.01R.0980.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2766.01A.01R.0851.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.79.5596.01A.31R.1949.07	TCGA.46.3768.01A.01R.0980.07	TCGA.66.2758.01A.02R.0851.07	TCGA.33.4538.01A.01R.1201.07	TCGA.18.3411.01A.01R.0980.07	TCGA.O2.A52S.01A.11R.A262.07	TCGA.18.5592.01A.01R.1635.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.37.4130.01A.01R.1100.07	TCGA.94.7557.01A.11R.2125.07	TCGA.66.2795.01A.02R.0980.07	TCGA.85.7698.01A.11R.2125.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.77.6843.01A.11R.1949.07	TCGA.56.A4BX.01A.11R.A24H.07	TCGA.22.5473.01A.01R.1635.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.43.3394.01A.01R.0980.07	TCGA.22.5477.01A.01R.1635.07	TCGA.18.3408.01A.01R.0980.07	TCGA.BR.6802.11A.01R.1884.13
BMS1	154.42	190.34	204.07	122.64	476.71	320.8	253.23	209.84	381.68	145.02	283.05	147.06	466.88	291.04	389.72	334.46	248.0	397.93	429.54	339.14	34.75	98.04	111.21	114.36	110.43	116.78	73.03	201.25	122.64	73.54	116.78	108.9	88.88	201.25	109.66	137.14	92.05	406.31	114.36	152.28	193.01	120.1	104.42	258.57	83.45	90.77	312.0	177.53	153.34	334.46	199.85	101.54	165.57	78.89	214.27	204.07	253.23	171.45	307.69	105.15	518.15	356.05	273.37	153.34	78.89	125.24	220.32	98.04	638.15	232.94	384.34	323.03	450.94	536.45	764.36	366.09	146.03	414.87	201.25	70.01
BPTF	612.11	842.36	738.29	860.08	1119.56	629.35	547.75	723.08	866.07	483.38	384.34	182.55	909.17	543.96	878.17	669.92	1015.93	327.56	1088.92	1286.18	54.72	255.0	231.32	454.09	329.84	567.1	336.79	457.25	241.19	194.36	287.01	253.23	231.32	371.22	389.72	226.54	277.2	1088.92	206.94	417.77	981.29	180.02	339.14	551.56	432.53	183.82	819.3	967.76	483.38	540.19	563.18	78.89	297.17	239.52	400.71	743.43	518.15	414.87	438.59	287.01	1388.16	819.3	669.92	540.19	239.52	447.82	480.04	312.0	830.75	497.0	808.0	607.87	738.29	769.69	346.29	1001.93	529.06	1030.12	450.94	264.03
CAMSAP1	43.63	177.53	406.31	185.11	291.04	234.57	181.28	102.97	151.22	66.18	130.6	106.63	429.54	320.8	384.34	173.85	206.94	249.73	309.83	232.94	21.78	48.18	73.54	102.97	62.12	107.38	77.79	83.45	87.03	47.17	54.33	53.95	45.53	122.64	99.43	66.65	91.41	353.59	121.79	147.06	450.94	45.85	59.97	162.14	43.02	57.49	163.28	81.71	186.4	204.07	119.26	63.89	190.34	72.01	164.42	320.8	197.09	249.73	277.2	92.7	387.02	363.56	157.68	103.69	72.01	180.02	214.27	52.82	275.28	232.94	361.04	205.5	246.28	316.37	218.79	248.0	234.57	387.02	175.07	39.79
CASP2	229.72	511.0	616.37	444.72	612.11	490.14	518.15	356.05	262.2	293.07	267.73	142.01	532.74	214.27	563.18	368.65	339.14	480.04	612.11	325.29	28.04	66.65	144.01	236.21	92.7	209.84	164.42	90.77	96.01	77.25	94.01	156.59	77.79	83.45	117.6	37.05	72.01	244.57	115.16	236.21	205.5	271.48	171.45	253.23	215.77	143.01	264.03	409.15	251.48	563.18	232.94	56.68	423.61	318.57	493.56	395.18	656.11	429.54	563.18	251.48	603.67	571.05	420.68	555.41	318.57	376.41	525.39	161.02	525.39	339.14	493.56	532.74	277.2	426.57	435.55	514.56	466.88	921.88	403.5	108.9
CBL	39.5	88.88	180.02	77.79	82.87	102.97	94.67	50.98	55.49	51.71	47.17	26.28	130.6	106.63	146.03	105.15	81.14	118.43	115.16	140.04	11.64	18.56	38.12	39.22	24.63	48.52	14.78	31.0	24.28	16.88	20.71	25.54	14.24	42.11	19.53	22.1	37.59	56.28	25.35	47.17	92.05	33.78	23.93	114.36	39.22	30.56	137.14	123.5	102.97	140.04	71.5	21.01	50.63	39.22	80.01	154.42	86.43	63.45	83.45	49.56	112.77	124.37	98.73	78.34	39.22	57.89	66.18	52.82	114.36	79.45	145.02	125.24	157.68	71.5	61.68	108.9	80.01	144.01	77.25	23.08
CLASP1	144.01	264.03	318.57	281.09	271.48	348.71	242.88	228.13	171.45	156.59	267.73	141.02	525.39	392.44	466.88	275.28	348.71	356.05	518.15	400.71	17.51	148.09	141.02	221.86	98.73	239.52	171.45	199.85	117.6	105.15	109.66	246.28	107.38	178.77	116.78	118.43	176.29	358.54	104.42	173.85	457.25	96.68	128.79	336.79	166.73	67.12	267.73	217.27	242.88	480.04	241.19	42.41	167.9	79.45	366.09	764.36	312.0	395.18	497.0	224.97	555.41	312.0	432.53	387.02	79.45	251.48	295.11	84.63	409.15	191.67	532.74	759.08	521.76	698.41	291.04	417.77	651.58	656.11	318.57	49.56
CRAMP1L	70.01	162.14	262.2	221.86	228.13	186.4	100.13	101.54	131.51	73.03	191.67	54.72	251.48	204.07	269.6	113.56	327.56	146.03	220.32	171.45	10.31	69.03	87.65	187.71	59.13	143.01	124.37	84.63	74.06	58.71	71.0	138.1	52.82	148.09	77.79	58.71	39.5	244.57	70.51	115.16	134.3	53.95	72.52	206.94	65.72	43.02	197.09	178.77	121.79	148.09	90.14	21.78	120.1	48.52	214.27	346.29	201.25	112.77	281.09	100.13	281.09	199.85	136.19	97.36	48.52	121.79	159.9	90.77	214.27	128.79	183.82	334.46	325.29	267.73	148.09	275.28	169.07	293.07	134.3	39.22
CREBBP	178.77	336.79	463.65	226.54	387.02	358.54	198.47	229.72	287.01	151.22	224.97	66.65	708.18	392.44	656.11	301.33	555.41	205.5	454.09	480.04	64.8	110.43	190.34	229.72	122.64	366.09	212.78	173.85	224.97	98.73	158.79	256.78	169.07	146.03	94.67	209.84	305.55	511.0	121.79	202.66	371.22	114.36	170.25	346.29	253.23	70.51	384.34	384.34	260.38	285.03	151.22	68.07	201.25	78.89	275.28	723.08	336.79	212.78	392.44	187.71	536.45	521.76	327.56	231.32	78.89	242.88	264.03	157.68	356.05	265.87	500.46	486.75	563.18	409.15	301.33	450.94	205.5	802.41	351.14	108.14
CSTF2T	31.0	241.19	248.0	102.97	417.77	275.28	341.51	199.85	536.45	181.28	169.07	191.67	381.68	231.32	316.37	264.03	204.07	327.56	559.28	285.03	102.97	132.44	161.02	208.38	166.73	202.66	128.79	201.25	198.47	145.02	132.44	218.79	199.85	267.73	234.57	189.02	121.79	237.86	117.6	281.09	226.54	147.06	205.5	275.28	125.24	191.67	234.57	376.41	312.0	389.72	265.87	177.53	189.02	171.45	231.32	204.07	450.94	299.25	351.14	180.02	444.72	395.18	229.72	295.11	171.45	149.12	255.0	194.36	429.54	356.05	348.71	307.69	275.28	279.14	301.33	457.25	258.57	791.35	432.53	159.9
DLG5	212.78	796.86	314.17	226.54	529.06	497.0	669.92	305.55	312.0	204.07	241.19	195.72	1059.11	532.74	825.0	301.33	229.72	902.89	785.88	748.61	12.64	82.29	112.77	1378.57	45.53	206.94	94.67	295.11	171.45	50.98	107.38	66.65	111.99	412.0	98.73	61.25	30.78	651.58	76.17	258.57	323.03	223.41	163.28	281.09	171.45	90.14	438.59	336.79	140.04	297.17	297.17	95.34	307.69	150.17	497.0	497.0	368.65	305.55	480.04	172.65	802.41	1487.87	368.65	318.57	150.17	180.02	473.41	159.9	1151.06	361.04	511.0	400.71	575.03	521.76	521.76	497.0	325.29	1051.79	363.56	110.43
EHMT1	258.57	603.67	1167.14	647.07	665.29	591.22	651.58	387.02	743.43	460.44	483.38	202.66	902.89	503.95	974.5	423.61	551.56	748.61	961.07	381.68	48.52	209.84	277.2	518.15	316.37	435.55	547.75	547.75	226.54	205.5	295.11	281.09	323.03	563.18	314.17	351.14	389.72	1175.27	249.73	412.0	423.61	96.01	309.83	536.45	269.6	167.9	551.56	483.38	417.77	954.43	679.29	136.19	669.92	204.07	607.87	1030.12	1030.12	698.41	941.27	486.75	1216.75	860.08	490.14	511.0	204.07	466.88	718.08	241.19	563.18	607.87	934.76	656.11	656.11	974.5	915.51	890.44	748.61	878.17	497.0	152.28
EP300	212.78	273.37	361.04	309.83	441.64	186.4	208.38	190.34	242.88	217.27	220.32	120.1	656.11	426.57	693.58	397.93	381.68	279.14	414.87	476.71	28.24	85.82	161.02	121.79	87.65	258.57	190.34	153.34	97.36	78.34	96.01	229.72	101.54	167.9	175.07	178.77	218.79	251.48	71.5	195.72	236.21	85.22	141.02	397.93	145.02	64.34	412.0	409.15	316.37	395.18	198.47	67.12	140.04	89.51	262.2	269.6	351.14	244.57	363.56	251.48	500.46	591.22	209.84	371.22	89.51	167.9	193.01	125.24	514.56	221.86	476.71	583.07	540.19	486.75	309.83	356.05	316.37	854.13	323.03	114.36
EP400	100.83	215.77	226.54	136.19	221.86	182.55	147.06	176.29	124.37	88.88	116.78	53.95	279.14	107.38	329.84	119.26	231.32	173.85	283.05	246.28	7.88	46.18	70.01	45.85	58.71	145.02	94.01	74.58	91.41	54.33	68.07	74.06	41.81	53.19	65.26	83.45	56.28	195.72	53.95	60.82	136.19	48.18	77.79	186.4	91.41	33.06	158.79	133.36	103.69	132.44	68.55	16.51	112.77	36.79	82.87	262.2	164.42	137.14	190.34	57.49	392.44	289.02	138.1	126.12	36.79	75.64	141.02	68.55	303.44	110.43	226.54	186.4	277.2	189.02	89.51	223.41	111.99	239.52	100.13	23.08
ERCC6	73.54	96.01	93.35	51.71	81.14	69.03	74.06	62.56	105.89	31.22	43.63	76.71	130.6	67.12	88.26	71.0	80.57	58.71	115.97	65.26	18.03	32.13	42.11	16.03	29.27	43.94	17.51	40.64	44.25	27.44	42.41	26.67	29.7	59.13	54.33	39.22	46.5	94.67	39.79	57.49	112.77	43.94	46.18	112.77	37.85	26.86	59.13	64.34	48.52	104.42	61.68	48.87	70.51	45.53	66.65	69.03	70.51	45.85	85.22	38.95	119.26	99.43	62.56	37.32	45.53	38.67	55.49	42.71	165.57	92.05	84.04	88.26	49.21	69.52	30.12	121.79	51.71	130.6	106.63	29.48
FAM53B	115.16	220.32	283.05	105.89	457.25	688.78	669.92	121.79	206.94	63.89	232.94	94.01	392.44	281.09	733.19	336.79	295.11	521.76	571.05	599.49	121.79	56.28	135.24	151.22	74.58	122.64	56.68	110.43	104.42	61.25	113.56	120.1	60.39	110.43	73.03	27.05	52.45	241.19	40.36	231.32	182.55	58.71	149.12	180.02	84.63	58.3	133.36	473.41	476.71	358.54	145.02	50.27	170.25	42.11	211.31	406.31	147.06	202.66	346.29	341.51	521.76	656.11	285.03	122.64	42.11	142.01	180.02	131.51	223.41	154.42	267.73	336.79	878.17	303.44	265.87	256.78	224.97	389.72	131.51	77.25
FBXL18	24.46	28.24	63.0	28.24	56.68	108.14	40.07	29.91	47.17	25.17	35.5	16.03	123.5	122.64	115.97	56.28	127.0	76.71	102.97	63.89	5.41	26.67	47.84	32.59	20.71	94.01	34.51	14.56	40.93	18.16	31.9	45.85	29.7	71.0	27.84	8.65	28.86	47.17	8.51	54.33	109.66	7.28	17.0	57.49	44.89	37.05	75.11	48.52	37.32	96.01	27.44	7.88	26.86	8.32	35.0	108.14	48.52	42.11	56.28	41.52	103.69	81.14	40.07	43.94	8.32	25.17	49.91	21.78	105.89	30.56	73.03	80.57	88.26	39.5	53.95	53.57	78.89	129.69	9.2	17.0
FOXK1	53.95	182.55	279.14	86.43	329.84	665.29	241.19	90.14	162.14	72.52	221.86	116.78	397.93	466.88	384.34	172.65	209.84	624.99	289.02	147.06	34.51	98.04	99.43	97.36	63.45	137.14	103.69	61.68	84.04	80.01	75.11	110.43	72.01	197.09	111.21	51.35	44.57	244.57	59.97	155.5	397.93	34.26	42.71	255.0	195.72	115.16	208.38	108.9	113.56	379.04	182.55	63.45	132.44	57.89	242.88	629.35	239.52	285.03	358.54	135.24	656.11	836.53	242.88	173.85	57.89	190.34	275.28	112.77	476.71	185.11	356.05	412.0	500.46	307.69	384.34	281.09	466.88	764.36	105.89	29.48
GBF1	353.59	503.95	395.18	318.57	341.51	486.75	356.05	312.0	295.11	205.5	237.86	142.01	921.88	669.92	902.89	450.94	353.59	348.71	995.0	660.68	68.55	316.37	283.05	400.71	236.21	353.59	212.78	444.72	500.46	279.14	334.46	220.32	314.17	320.8	224.97	320.8	329.84	642.59	116.78	356.05	363.56	211.31	269.6	551.56	214.27	131.51	417.77	403.5	318.57	679.29	287.01	108.14	187.71	253.23	406.31	371.22	532.74	346.29	441.64	241.19	656.11	420.68	323.03	414.87	253.23	262.2	351.14	228.13	693.58	414.87	532.74	848.22	518.15	460.44	420.68	642.59	363.56	532.74	438.59	112.77
GCN1L1	236.21	679.29	988.12	896.64	981.29	679.29	316.37	733.19	575.03	323.03	379.04	164.42	1119.56	460.44	1059.11	432.53	1151.06	769.69	1088.92	981.29	130.6	293.07	379.04	447.82	255.0	660.68	423.61	297.17	327.56	283.05	353.59	366.09	301.33	555.41	476.71	248.0	256.78	713.11	384.34	332.14	1167.14	232.94	239.52	902.89	579.04	187.71	599.49	226.54	329.84	563.18	351.14	178.77	409.15	186.4	358.54	1199.98	395.18	674.59	909.17	441.64	1175.27	1088.92	571.05	381.68	186.4	454.09	830.75	318.57	848.22	514.56	909.17	688.78	1378.57	629.35	483.38	738.29	551.56	1001.93	309.83	246.28
GOLGA3	236.21	454.09	503.95	420.68	447.82	325.29	309.83	297.17	323.03	269.6	205.5	141.02	559.28	281.09	583.07	246.28	575.03	397.93	733.19	400.71	70.51	167.9	199.85	124.37	155.5	297.17	285.03	169.07	287.01	154.42	183.82	299.25	147.06	151.22	241.19	209.84	206.94	638.15	224.97	236.21	536.45	138.1	199.85	603.67	190.34	145.02	283.05	267.73	217.27	373.81	173.85	69.03	299.25	82.87	173.85	414.87	638.15	320.8	392.44	140.04	753.83	384.34	131.51	214.27	82.87	181.28	305.55	221.86	518.15	217.27	409.15	339.14	684.02	232.94	253.23	423.61	275.28	476.71	145.02	119.26
GPATCH8	130.6	275.28	351.14	325.29	387.02	312.0	198.47	236.21	202.66	112.77	221.86	112.77	429.54	351.14	389.72	249.73	336.79	289.02	525.39	314.17	14.78	67.12	94.67	102.25	67.12	165.57	111.99	122.64	88.26	57.49	81.14	99.43	68.07	130.6	111.99	124.37	96.68	223.41	113.56	183.82	291.04	100.13	94.67	312.0	141.02	65.72	395.18	271.48	229.72	248.0	208.38	30.56	229.72	131.51	256.78	339.14	293.07	226.54	343.89	152.28	540.19	420.68	368.65	262.2	131.51	159.9	301.33	85.82	332.14	279.14	426.57	325.29	389.72	417.77	221.86	406.31	246.28	358.54	237.86	81.14
