	TCGA.E9.A1RB.11A.33R.A157.07	GTEX.S32W.1626.SM.4AD6G	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.13OVH.1026.SM.5J2NP	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.12WSE.0826.SM.5S2VL	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1128S.0726.SM.5N9D6	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.13JVG.1426.SM.5MR4W	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.131XH.0426.SM.5DUWU	GTEX.NPJ8.2526.SM.2HML8
C2orf15	463.65	563.18	348.71	43.32	150.17	63.45	514.56	31.67	329.84	91.41	567.1	395.18	106.63	251.48	363.56	37.32	208.38	220.32	384.34	368.65	30.34	332.14	61.68	281.09	19.97	58.71	183.82	567.1	32.36	88.88	289.02	0.0	204.07	339.14	81.14	145.02	301.33	149.12	242.88	113.56	152.28	87.03	226.54	297.17	74.58	316.37
C5orf28	303.44	525.39	221.86	109.66	165.57	123.5	209.84	98.04	214.27	129.69	466.88	264.03	75.11	125.24	241.19	74.06	297.17	139.07	201.25	295.11	109.66	277.2	93.35	246.28	28.86	182.55	106.63	231.32	100.13	92.05	114.36	120.1	110.43	242.88	108.14	88.26	162.14	234.57	236.21	115.16	191.67	163.28	262.2	175.07	136.19	221.86
C6orf203	575.03	674.59	323.03	88.88	223.41	121.79	395.18	65.26	389.72	144.01	420.68	356.05	201.25	289.02	371.22	120.94	332.14	181.28	327.56	444.72	144.01	379.04	113.56	341.51	80.01	163.28	195.72	379.04	118.43	96.68	224.97	176.29	228.13	379.04	108.9	180.02	246.28	291.04	387.02	231.32	170.25	101.54	312.0	177.53	117.6	620.67
CCDC142	77.79	96.01	105.89	36.01	64.8	26.47	61.68	29.48	84.04	45.85	108.9	123.5	43.32	66.18	142.01	31.22	97.36	58.3	88.88	129.69	19.82	83.45	34.02	82.29	25.35	35.5	72.52	96.01	30.34	48.52	41.22	96.68	52.08	156.59	39.5	43.94	70.51	61.25	59.13	68.55	69.52	43.32	98.73	76.17	38.12	170.25
CCDC43	332.14	353.59	420.68	172.65	224.97	180.02	412.0	124.37	334.46	157.68	343.89	376.41	202.66	332.14	356.05	147.06	323.03	229.72	403.5	444.72	158.79	341.51	107.38	309.83	108.9	166.73	206.94	356.05	136.19	139.07	187.71	161.02	209.84	438.59	155.5	223.41	277.2	287.01	325.29	209.84	176.29	167.9	336.79	291.04	161.02	305.55
CCDC94	283.05	620.67	406.31	253.23	287.01	265.87	438.59	232.94	521.76	371.22	351.14	397.93	358.54	249.73	521.76	194.36	486.75	339.14	460.44	438.59	269.6	547.75	208.38	435.55	287.01	384.34	265.87	559.28	251.48	226.54	329.84	256.78	309.83	571.05	224.97	242.88	397.93	403.5	356.05	358.54	289.02	253.23	579.04	323.03	258.57	389.72
CDKN2AIPNL	507.46	718.08	432.53	123.5	262.2	183.82	486.75	246.28	332.14	173.85	848.22	426.57	163.28	392.44	620.67	189.02	363.56	426.57	536.45	511.0	189.02	403.5	141.02	543.96	105.89	224.97	262.2	559.28	126.12	148.09	395.18	197.09	271.48	718.08	223.41	244.57	329.84	563.18	389.72	205.5	253.23	145.02	271.48	435.55	173.85	928.3
CENPBD1	153.34	134.3	99.43	50.63	113.56	40.36	108.9	20.11	98.73	69.03	120.94	172.65	61.68	107.38	204.07	52.08	128.79	78.89	131.51	170.25	50.27	145.02	36.01	112.77	13.83	59.97	70.51	178.77	38.67	38.95	51.35	46.5	85.22	177.53	40.64	56.68	115.97	102.97	144.01	74.06	74.06	49.21	151.22	96.01	35.5	172.65
CHTOP	1191.69	2018.8	2090.03	1104.13	1250.98	638.15	1322.37	612.11	1769.57	738.29	1540.37	1639.59	1175.27	1572.76	1733.13	738.29	1583.71	1369.04	2178.83	1662.49	551.56	2061.24	1044.52	1407.55	961.07	723.08	1233.75	1977.24	1015.93	974.5	1208.34	1127.35	1378.57	1662.49	1073.91	1250.98	1572.76	1721.16	1594.73	1175.27	1008.9	988.12	1883.54	1268.46	764.36	1896.65
CLK2	633.73	842.36	1331.57	395.18	511.0	289.02	733.19	176.29	532.74	353.59	486.75	921.88	305.55	665.29	947.83	279.14	785.88	463.65	780.44	785.88	244.57	954.43	258.57	733.19	312.0	234.57	540.19	1059.11	299.25	358.54	575.03	438.59	368.65	836.53	291.04	543.96	536.45	466.88	642.59	624.99	656.11	283.05	866.07	647.07	194.36	1127.35
COG2	423.61	334.46	518.15	171.45	291.04	124.37	281.09	110.43	353.59	212.78	412.0	356.05	201.25	217.27	307.69	143.01	346.29	253.23	336.79	373.81	120.1	409.15	104.42	361.04	147.06	218.79	256.78	341.51	120.94	176.29	224.97	209.84	221.86	332.14	109.66	178.77	323.03	309.83	260.38	195.72	237.86	137.14	287.01	229.72	100.83	334.46
COQ3	177.53	289.02	209.84	51.35	85.22	26.28	214.27	25.35	258.57	40.36	178.77	126.12	41.52	115.16	135.24	18.97	255.0	81.14	194.36	217.27	45.85	125.24	39.5	119.26	47.84	44.89	61.25	253.23	28.86	42.11	98.04	43.32	105.89	161.02	102.25	49.21	101.54	154.42	108.9	47.84	58.71	40.64	154.42	94.01	33.06	156.59
CRNKL1	624.99	525.39	656.11	269.6	563.18	164.42	376.41	109.66	332.14	157.68	327.56	332.14	206.94	269.6	521.76	169.07	420.68	267.73	414.87	336.79	153.34	486.75	176.29	463.65	228.13	124.37	273.37	493.56	138.1	130.6	248.0	215.77	297.17	417.77	127.89	139.07	351.14	329.84	351.14	212.78	267.73	175.07	346.29	325.29	154.42	373.81
CSTF1	518.15	536.45	529.06	194.36	262.2	217.27	307.69	144.01	312.0	170.25	507.46	320.8	248.0	293.07	363.56	166.73	262.2	267.73	312.0	392.44	162.14	361.04	214.27	356.05	202.66	305.55	312.0	363.56	169.07	195.72	289.02	193.01	215.77	305.55	198.47	220.32	231.32	206.94	287.01	271.48	265.87	206.94	320.8	318.57	189.02	325.29
CWC22	532.74	412.0	525.39	249.73	255.0	209.84	320.8	194.36	571.05	170.25	532.74	389.72	379.04	269.6	412.0	209.84	466.88	217.27	518.15	373.81	189.02	490.14	153.34	320.8	133.36	204.07	239.52	518.15	248.0	185.11	211.31	228.13	323.03	392.44	205.5	447.82	400.71	291.04	348.71	251.48	204.07	223.41	447.82	279.14	228.13	368.65
CYB5B	2090.03	3325.99	1477.58	1359.57	2417.67	1191.69	1844.76	1286.18	2997.45	1225.22	3372.43	2609.3	1417.35	2303.12	2451.44	967.76	2148.82	2047.0	2777.33	4298.64	1191.69	2875.3	1044.52	1857.6	1037.29	1208.34	1268.46	2400.97	1519.15	974.5	1674.06	1359.57	2163.77	3060.45	1304.15	1359.57	1651.0	2976.74	2224.63	954.43	1745.2	1508.65	1909.85	1508.65	1487.87	1733.13
DCLRE1A	120.94	94.67	88.88	25.91	50.27	28.04	73.54	17.51	97.36	38.95	116.78	111.21	35.0	47.17	117.6	36.79	85.22	51.71	98.04	132.44	26.86	105.89	17.64	76.17	17.25	49.91	55.49	101.54	29.7	27.44	45.53	36.01	49.91	115.16	19.25	42.11	78.34	81.14	107.38	33.54	55.89	31.0	94.01	55.1	35.0	94.01
DCTD	1540.37	2209.26	703.28	476.71	915.51	571.05	1745.2	457.25	1286.18	802.41	2319.15	2075.59	878.17	1487.87	1697.45	981.29	1551.09	1340.84	1119.56	3395.89	703.28	1605.83	466.88	1447.15	348.71	1081.39	941.27	1167.14	642.59	688.78	890.44	708.18	988.12	2417.67	890.44	1037.29	1233.75	2119.22	1359.57	728.11	961.07	796.86	1457.23	1225.22	665.29	2384.37
DDX55	291.04	381.68	314.17	110.43	159.9	169.07	381.68	97.36	301.33	198.47	341.51	397.93	194.36	334.46	314.17	80.57	363.56	314.17	366.09	316.37	96.68	457.25	102.97	353.59	57.08	137.14	221.86	384.34	176.29	134.3	301.33	127.89	176.29	327.56	115.16	202.66	339.14	314.17	231.32	301.33	136.19	156.59	423.61	242.88	58.71	497.0
DENR	915.51	921.88	915.51	289.02	532.74	301.33	713.11	191.67	647.07	287.01	1008.9	647.07	420.68	607.87	718.08	251.48	547.75	432.53	669.92	902.89	260.38	738.29	258.57	656.11	182.55	258.57	409.15	769.69	264.03	327.56	493.56	376.41	490.14	703.28	346.29	441.64	563.18	647.07	575.03	379.04	426.57	353.59	514.56	551.56	291.04	723.08
DFFB	54.72	139.07	88.88	41.52	63.45	23.25	73.54	20.41	82.29	21.16	131.51	92.7	24.46	108.14	100.83	18.84	144.01	66.18	133.36	102.25	30.78	145.02	27.25	108.9	19.25	23.42	78.34	140.04	25.54	56.28	52.82	32.82	65.26	91.41	31.0	63.45	73.03	71.0	111.21	48.18	62.12	40.93	109.66	70.01	23.25	199.85
EIF2B1	928.3	909.17	825.0	264.03	493.56	332.14	785.88	246.28	796.86	426.57	854.13	796.86	432.53	684.02	866.07	264.03	872.1	620.67	703.28	988.12	397.93	988.12	262.2	743.43	165.57	447.82	521.76	819.3	348.71	343.89	540.19	339.14	575.03	902.89	384.34	466.88	656.11	802.41	674.59	563.18	583.07	521.76	791.35	665.29	348.71	642.59
ELAC1	195.72	231.32	189.02	55.1	129.69	47.84	177.53	37.85	221.86	68.07	341.51	158.79	85.82	98.73	212.78	63.45	228.13	127.89	237.86	258.57	84.63	195.72	42.41	178.77	15.8	95.34	99.43	228.13	52.45	44.89	116.78	45.85	88.88	236.21	76.71	55.89	182.55	236.21	171.45	70.51	109.66	45.85	170.25	161.02	87.03	262.2
ELP3	647.07	854.13	229.72	142.01	309.83	189.02	420.68	183.82	629.35	269.6	647.07	536.45	262.2	327.56	429.54	156.59	397.93	412.0	450.94	624.99	164.42	466.88	132.44	271.48	66.18	248.0	327.56	409.15	183.82	193.01	297.17	193.01	265.87	441.64	178.77	332.14	417.77	356.05	438.59	273.37	318.57	204.07	674.59	329.84	127.0	483.38
ERAL1	660.68	796.86	941.27	320.8	500.46	309.83	836.53	220.32	669.92	438.59	738.29	813.63	438.59	624.99	679.29	177.53	896.64	633.73	764.36	981.29	392.44	1030.12	181.28	684.02	228.13	414.87	460.44	902.89	312.0	262.2	529.06	299.25	460.44	860.08	283.05	299.25	656.11	703.28	651.58	532.74	441.64	336.79	669.92	651.58	293.07	733.19
FAM103A1	514.56	599.49	738.29	176.29	314.17	208.38	503.95	127.89	400.71	183.82	503.95	444.72	251.48	325.29	476.71	148.09	389.72	242.88	351.14	429.54	209.84	423.61	113.56	395.18	158.79	244.57	244.57	417.77	191.67	132.44	323.03	162.14	281.09	389.72	164.42	226.54	348.71	329.84	476.71	301.33	199.85	153.34	403.5	281.09	228.13	379.04
FAM175B	348.71	258.57	220.32	183.82	246.28	195.72	197.09	65.26	214.27	156.59	353.59	301.33	177.53	143.01	239.52	150.17	236.21	133.36	232.94	291.04	155.5	277.2	103.69	232.94	152.28	170.25	195.72	283.05	141.02	127.0	178.77	131.51	182.55	204.07	147.06	175.07	176.29	147.06	215.77	202.66	140.04	114.36	215.77	133.36	158.79	198.47
FAM32A	1819.35	1977.24	1806.78	1143.1	1991.0	796.86	1794.29	525.39	2004.85	1183.45	1037.29	2367.9	1199.98	1639.59	2537.92	1030.12	1819.35	1378.57	2163.77	2133.97	1135.2	2209.26	825.0	2240.11	1322.37	1369.04	1175.27	2018.8	1001.93	1008.9	1519.15	1008.9	1378.57	2061.24	819.3	825.0	1498.22	1359.57	2627.46	1628.26	890.44	1051.79	1896.65	1745.2	947.83	1950.0
FASTKD3	229.72	241.19	162.14	125.24	198.47	187.71	258.57	39.79	150.17	115.97	387.02	208.38	180.02	154.42	325.29	78.34	189.02	153.34	279.14	246.28	49.91	265.87	74.58	239.52	41.52	108.14	194.36	320.8	64.34	99.43	149.12	103.69	92.7	181.28	88.26	101.54	158.79	211.31	236.21	185.11	126.12	69.03	189.02	159.9	40.64	277.2
FNTA	1950.0	2367.9	1685.71	866.07	1991.0	624.99	1745.2	277.2	1870.53	813.63	4038.61	2271.4	1143.1	1467.37	2271.4	866.07	2209.26	1561.89	2739.08	2271.4	896.64	2555.58	872.1	2627.46	698.41	872.1	1119.56	2287.2	1639.59	1151.06	1304.15	1427.22	1733.13	1950.0	769.69	1437.15	1183.45	1551.09	1447.15	1844.76	1304.15	656.11	1896.65	1674.06	642.59	1457.23
GEMIN2	307.69	395.18	551.56	75.64	183.82	119.26	336.79	24.46	329.84	78.89	444.72	368.65	137.14	172.65	309.83	72.01	287.01	204.07	312.0	353.59	88.26	318.57	38.4	287.01	37.32	127.0	220.32	483.38	62.56	81.71	169.07	102.97	152.28	205.5	73.03	138.1	69.52	256.78	220.32	236.21	209.84	73.54	249.73	182.55	88.88	279.14
GOSR1	743.43	395.18	674.59	373.81	343.89	289.02	543.96	195.72	490.14	356.05	540.19	780.44	329.84	379.04	660.68	241.19	567.1	348.71	529.06	583.07	220.32	567.1	223.41	397.93	163.28	343.89	387.02	575.03	395.18	281.09	397.93	346.29	476.71	536.45	329.84	387.02	363.56	387.02	559.28	320.8	358.54	202.66	743.43	447.82	381.68	426.57
GPATCH3	201.25	269.6	156.59	133.36	166.73	88.88	202.66	47.17	209.84	143.01	199.85	232.94	105.15	159.9	236.21	108.9	232.94	167.9	206.94	236.21	134.3	271.48	128.79	197.09	131.51	135.24	145.02	253.23	92.05	110.43	157.68	162.14	158.79	212.78	98.04	134.3	190.34	163.28	226.54	183.82	162.14	141.02	208.38	189.02	123.5	199.85
GPN3	728.11	890.44	813.63	351.14	303.44	346.29	780.44	318.57	470.14	303.44	848.22	703.28	563.18	620.67	571.05	323.03	684.02	476.71	651.58	748.61	224.97	616.37	283.05	514.56	316.37	429.54	444.72	514.56	226.54	262.2	532.74	287.01	389.72	764.36	334.46	532.74	483.38	669.92	507.46	221.86	309.83	251.48	511.0	518.15	397.93	483.38
GSPT2	211.31	334.46	87.03	5.15	67.12	37.05	124.37	30.56	157.68	32.59	106.63	161.02	101.54	67.59	191.67	16.88	84.63	102.25	122.64	258.57	33.06	155.5	17.0	100.13	18.29	85.82	92.05	205.5	46.5	57.89	52.82	43.63	78.34	101.54	34.02	65.26	159.9	73.54	162.14	48.52	86.43	30.56	145.02	97.36	44.25	120.94
GTF2E1	217.27	142.01	312.0	65.26	138.1	87.65	176.29	30.78	141.02	61.68	173.85	178.77	66.18	104.42	205.5	60.82	120.94	94.01	165.57	236.21	88.26	201.25	51.71	183.82	45.53	63.45	120.1	154.42	72.52	52.82	92.7	92.7	101.54	149.12	79.45	86.43	101.54	103.69	158.79	100.83	101.54	92.7	137.14	128.79	88.88	98.04
GTF2H3	555.41	406.31	334.46	119.26	183.82	176.29	403.5	82.87	316.37	150.17	559.28	423.61	180.02	260.38	341.51	112.77	320.8	178.77	395.18	486.75	164.42	412.0	68.07	248.0	64.34	181.28	220.32	301.33	120.94	125.24	218.79	158.79	205.5	392.44	115.97	182.55	237.86	332.14	244.57	163.28	185.11	167.9	305.55	220.32	147.06	327.56
HAX1	2502.97	3515.68	4388.98	890.44	1250.98	921.88	2193.99	1594.73	1909.85	1233.75	1757.34	2032.85	1651.0	2271.4	2240.11	836.53	1991.0	2367.9	2104.58	3124.78	1073.91	2004.85	1001.93	1498.22	909.17	1259.69	1697.45	2777.33	791.35	638.15	1662.49	1030.12	1628.26	2537.92	1498.22	2104.58	2018.8	2119.22	1685.71	1397.83	1340.84	1088.92	2720.15	2133.97	1216.75	2502.97
HBB	469249.9	2163.77	1012856.65	267651.2	414208.18	51062.33	828417.36	573724.06	397335.0	155870.75	649962.87	411347.03	783730.52	391864.76	99333.0	506427.83	428815.23	1703415.74	290865.98	20737.16	36864.92	94628.34	19618.49	3313672.43	165904.25	167058.21	513497.31	228208.61	90773.53	324980.94	294926.33	279017.26	241220.67	462789.59	47974.16	318292.9	659036.03	358098.26	475800.4	309589.14	517068.97	134755.94	1299926.74	1336472.68	38966.94	303217.87
HELQ	253.23	299.25	150.17	114.36	182.55	88.26	191.67	70.01	283.05	93.35	202.66	183.82	151.22	187.71	289.02	79.45	258.57	163.28	287.01	242.88	36.79	264.03	95.34	229.72	45.21	111.99	161.02	346.29	88.88	107.38	169.07	123.5	156.59	246.28	88.26	162.14	246.28	161.02	265.87	108.14	182.55	94.67	206.94	182.55	83.45	303.44
HIF1AN	493.56	314.17	218.79	176.29	144.01	142.01	246.28	130.6	178.77	154.42	297.17	289.02	198.47	228.13	309.83	195.72	244.57	212.78	273.37	490.14	122.64	356.05	154.42	180.02	83.45	127.89	148.09	202.66	114.36	87.65	178.77	145.02	181.28	339.14	122.64	156.59	204.07	251.48	318.57	159.9	158.79	149.12	234.57	194.36	152.28	228.13
IMP3	909.17	1277.29	1143.1	575.03	693.58	563.18	1199.98	417.77	934.76	532.74	854.13	1175.27	1199.98	1250.98	1268.46	616.37	967.76	813.63	988.12	947.83	312.0	896.64	329.84	866.07	470.14	674.59	708.18	1008.9	325.29	295.11	500.46	521.76	514.56	733.19	392.44	708.18	713.11	848.22	1259.69	514.56	860.08	293.07	1216.75	769.69	500.46	703.28
INIP	463.65	366.09	366.09	152.28	312.0	193.01	301.33	105.89	409.15	162.14	555.41	339.14	199.85	293.07	423.61	152.28	366.09	258.57	389.72	503.95	190.34	460.44	162.14	281.09	92.05	211.31	151.22	403.5	202.66	172.65	309.83	183.82	273.37	444.72	165.57	251.48	217.27	327.56	312.0	214.27	194.36	170.25	258.57	277.2	159.9	312.0
JAGN1	878.17	1044.52	575.03	363.56	493.56	273.37	651.58	237.86	463.65	395.18	759.08	738.29	529.06	567.1	567.1	356.05	583.07	591.22	595.34	921.88	244.57	665.29	305.55	624.99	269.6	514.56	466.88	684.02	205.5	256.78	409.15	334.46	500.46	753.83	291.04	551.56	547.75	583.07	836.53	381.68	503.95	269.6	708.18	607.87	346.29	769.69
KBTBD6	220.32	253.23	63.45	24.28	44.89	29.06	51.35	23.76	69.03	16.75	126.12	85.82	29.91	50.63	90.14	12.09	73.03	75.11	81.14	122.64	13.62	89.51	20.41	88.88	14.56	27.64	50.27	77.79	26.86	23.25	55.89	30.78	30.12	75.64	23.59	30.34	59.97	53.19	73.03	33.06	30.34	29.91	64.8	50.63	20.11	147.06
KCTD21	277.2	258.57	108.14	131.51	144.01	58.71	124.37	56.28	115.16	58.3	183.82	145.02	59.97	115.97	224.97	95.34	117.6	87.65	172.65	202.66	59.97	197.09	72.01	170.25	75.11	53.19	83.45	131.51	53.95	62.56	74.58	134.3	125.24	186.4	85.22	66.18	88.88	83.45	138.1	161.02	134.3	73.03	140.04	91.41	55.89	220.32
LAMTOR3	1250.98	1242.34	1151.06	713.11	1359.57	674.59	1167.14	389.72	1216.75	507.46	2367.9	1437.15	860.08	1572.76	1639.59	603.67	1313.23	738.29	1447.15	1794.29	490.14	1331.57	441.64	1175.27	346.29	674.59	688.78	1417.35	532.74	500.46	587.13	400.71	1143.1	1340.84	647.07	1044.52	775.05	1407.55	1259.69	878.17	514.56	607.87	1066.48	974.5	642.59	1081.39
LCMT2	182.55	249.73	159.9	57.08	71.0	61.68	140.04	25.72	127.89	61.25	161.02	149.12	81.71	54.72	141.02	50.98	93.35	79.45	111.99	185.11	46.5	105.89	27.84	108.14	26.47	63.0	73.54	122.64	48.52	32.36	80.01	57.89	70.51	146.03	47.84	67.12	92.7	80.01	80.01	71.5	77.25	20.11	172.65	90.77	45.53	153.34
LENG1	145.02	463.65	291.04	129.69	149.12	86.43	299.25	135.24	363.56	164.42	85.82	258.57	214.27	229.72	281.09	94.67	305.55	201.25	353.59	214.27	99.43	285.03	199.85	248.0	185.11	175.07	223.41	387.02	149.12	152.28	158.79	135.24	208.38	356.05	105.15	189.02	336.79	264.03	320.8	127.89	193.01	139.07	392.44	226.54	167.9	269.6
LRIF1	248.0	373.81	616.37	138.1	100.13	94.67	220.32	35.25	346.29	74.06	325.29	325.29	120.94	181.28	236.21	58.3	251.48	170.25	249.73	363.56	34.02	314.17	67.12	208.38	71.0	70.01	113.56	281.09	96.01	70.51	107.38	63.45	163.28	218.79	66.18	111.21	226.54	150.17	226.54	78.89	55.49	66.65	241.19	173.85	86.43	212.78
LSM3	356.05	507.46	450.94	167.9	251.48	161.02	435.55	133.36	351.14	159.9	341.51	406.31	246.28	303.44	381.68	119.26	305.55	260.38	366.09	325.29	177.53	323.03	102.97	299.25	115.16	197.09	190.34	438.59	135.24	108.14	305.55	159.9	285.03	423.61	248.0	236.21	220.32	432.53	361.04	206.94	204.07	187.71	279.14	363.56	177.53	463.65
