	TCGA.97.A4M7.01A.11R.A24X.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.55.8621.01A.11R.2403.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.X4EO.0926.SM.3P5Z2	GTEX.Q734.0626.SM.2I3EF	TCGA.98.A53H.01A.12R.A262.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.7328.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL
DONSON	384.34	309.83	241.19	287.01	150.17	172.65	173.85	191.67	358.54	104.42	122.64	143.01	166.73	211.31	178.77	98.04	295.11	183.82	223.41	133.36	166.73	127.0	142.01	127.89	66.65	90.77	194.36	74.58	96.01	146.03	70.51	91.41	164.42	100.13	96.01	71.0	112.77
EFCC1	93.35	118.43	291.04	189.02	1175.27	217.27	412.0	177.53	86.43	103.69	78.34	164.42	131.51	74.06	142.01	132.44	237.86	133.36	152.28	69.52	59.13	105.89	100.83	94.01	56.28	115.97	135.24	48.87	90.14	93.35	90.77	115.97	152.28	66.65	67.59	100.13	41.81
ENO4	68.07	28.45	50.98	283.05	59.55	54.33	26.1	34.75	116.78	14.35	19.39	21.63	18.43	21.78	23.25	13.42	12.83	27.64	19.39	9.34	8.38	18.43	13.32	11.38	10.79	9.2	15.56	9.63	8.19	12.93	5.96	24.99	11.04	2.84	10.16	14.24	27.64
EVL	2720.15	2591.27	3874.05	2895.31	8363.13	10512.82	10659.59	5255.91	3515.68	1674.06	2400.97	2835.7	2468.49	2075.59	4298.64	2133.97	3168.41	3768.09	2609.3	1617.0	1551.09	2855.44	1769.57	2573.36	1498.22	1594.73	2855.44	1167.14	2061.24	1519.15	1733.13	1745.2	2224.63	1594.73	1159.07	1407.55	1819.35
FAM49B	1233.75	836.53	1397.83	713.11	1066.48	872.1	1286.18	1936.53	1397.83	381.68	447.82	583.07	423.61	497.0	934.76	295.11	1104.13	1044.52	490.14	559.28	532.74	400.71	463.65	293.07	406.31	466.88	518.15	660.68	329.84	896.64	426.57	429.54	400.71	450.94	363.56	414.87	457.25
FAM72A	59.13	67.12	92.7	71.5	22.92	79.45	64.8	140.04	110.43	21.32	23.25	50.27	30.34	26.1	97.36	9.93	62.12	33.78	48.87	13.12	20.11	13.83	17.51	23.59	10.16	16.27	43.02	8.78	34.75	21.78	18.97	17.64	15.0	16.88	15.34	12.0	16.63
FANCD2	191.67	228.13	126.12	140.04	98.73	142.01	204.07	162.14	215.77	72.01	155.5	106.63	116.78	142.01	165.57	61.68	131.51	137.14	144.01	85.22	100.83	100.13	83.45	53.19	85.82	108.14	120.1	83.45	64.34	130.6	85.82	74.06	88.88	47.17	89.51	100.83	115.97
FBLN7	96.68	133.36	173.85	83.45	198.47	327.56	201.25	124.37	123.5	148.09	102.25	129.69	98.73	131.51	189.02	93.35	136.19	85.82	226.54	82.87	32.59	124.37	62.12	45.53	48.18	136.19	119.26	75.64	84.04	86.43	67.59	78.34	67.12	78.34	87.03	68.55	58.3
FMNL1	1519.15	1259.69	1447.15	902.89	2104.58	1583.71	4903.87	2319.15	1407.55	126.12	281.09	432.53	182.55	395.18	1044.52	135.24	988.12	703.28	287.01	103.69	228.13	144.01	224.97	145.02	127.89	135.24	384.34	112.77	88.26	273.37	139.07	279.14	162.14	80.57	94.01	147.06	121.79
FOXS1	173.85	153.34	85.82	198.47	189.02	43.63	52.08	75.11	148.09	17.9	96.01	68.07	34.75	35.5	110.43	21.32	72.01	38.67	34.26	6.01	10.16	71.5	41.52	7.0	15.45	37.85	28.65	37.59	14.45	52.08	18.56	14.89	27.05	13.62	13.72	19.25	8.65
FSD1	19.39	22.59	28.45	16.63	23.76	555.41	117.6	9.41	31.45	3.26	8.32	8.71	7.28	12.83	18.7	12.36	26.1	22.26	4.7	4.39	2.48	10.79	10.24	19.97	8.32	8.0	28.86	5.28	7.63	4.58	6.46	15.68	6.11	0.0	1.46	2.53	3.38
GLI1	99.43	150.17	75.64	54.33	409.15	202.66	70.51	100.83	242.88	33.78	80.01	77.79	71.0	47.84	125.24	74.06	74.58	70.01	96.68	67.12	38.67	45.85	43.32	63.89	39.22	56.28	95.34	43.02	13.12	49.91	61.25	98.73	40.64	22.26	46.18	72.52	31.0
GPR35	88.88	156.59	69.03	75.64	133.36	148.09	414.87	127.89	80.57	15.0	24.99	33.54	25.54	61.68	68.07	19.39	49.91	58.3	45.21	16.88	23.76	40.93	48.18	23.59	6.89	36.01	63.45	18.84	17.64	34.75	15.68	34.02	27.44	18.43	15.91	17.0	19.68
HLA-DMA	12076.21	5183.54	7280.4	4869.99	27938.14	13681.08	30572.63	16843.62	3928.15	759.08	995.0	2468.49	775.05	1519.15	3768.09	559.28	3564.78	3794.3	1313.23	454.09	896.64	796.86	1127.35	417.77	438.59	808.0	1359.57	1359.57	718.08	1551.09	595.34	995.0	785.88	1001.93	457.25	836.53	842.36
HLA-F	8191.0	6840.04	6426.31	5112.16	19482.97	15075.35	25354.3	4704.07	5255.91	1572.76	2384.37	3491.39	1551.09	2163.77	12415.75	1250.98	4268.94	5594.3	866.07	860.08	808.0	1304.15	1794.29	1721.16	967.76	1167.14	3349.13	1572.76	1662.49	3419.52	603.67	2384.37	1322.37	1519.15	995.0	665.29	915.51
HLX	281.09	226.54	486.75	329.84	395.18	473.41	150.17	1135.2	444.72	106.63	148.09	115.97	50.63	165.57	253.23	73.54	181.28	103.69	148.09	53.57	59.97	108.9	115.16	64.34	51.35	75.11	166.73	56.28	75.64	91.41	51.35	49.91	129.69	69.03	172.65	103.69	59.13
ICAM1	9945.68	2664.15	3820.7	2400.97	2664.15	1950.0	3419.52	4802.93	2209.26	158.79	387.02	547.75	202.66	463.65	1159.07	156.59	674.59	1832.01	232.94	133.36	612.11	139.07	212.78	162.14	102.97	128.79	629.35	149.12	85.82	432.53	92.7	299.25	175.07	107.38	90.14	307.69	84.04
ICOS	92.05	49.91	38.67	30.12	281.09	480.04	1745.2	217.27	57.89	0.67	8.06	12.09	2.34	10.24	115.97	0.72	43.63	67.59	3.69	6.46	12.45	3.92	7.69	2.36	0.97	3.72	37.59	7.06	1.06	45.21	1.35	7.06	3.69	1.31	3.92	5.32	0.62
IL12B	4.46	7.51	1.95	2.48	3.96	22.92	12.83	9.27	4.24	0.28	1.89	0.95	0.59	4.35	20.41	0.0	9.13	8.78	0.66	0.0	0.6	1.75	1.27	0.29	0.26	0.58	1.83	2.36	0.28	4.13	0.27	0.27	0.27	0.0	0.0	0.0	0.0
IL2RB	293.07	265.87	366.09	209.84	703.28	967.76	1191.69	718.08	316.37	20.71	103.69	158.79	25.91	108.14	532.74	32.82	253.23	323.03	102.97	49.91	77.25	45.85	102.25	24.99	54.33	64.8	99.43	45.21	32.82	141.02	34.02	80.01	44.25	46.18	20.86	187.71	64.34
IL9R	21.16	33.54	8.78	11.64	193.01	36.79	112.77	9.06	26.1	1.62	3.38	14.45	3.53	8.13	18.56	0.95	17.51	12.36	4.78	2.12	1.69	2.41	2.97	1.3	0.87	1.69	3.76	1.31	0.54	4.94	1.66	3.5	1.3	2.36	1.13	5.23	1.71
INHBA	275.28	447.82	269.6	107.38	264.03	117.6	397.93	151.22	356.05	13.93	43.63	57.49	50.27	56.28	303.44	15.0	46.84	103.69	46.18	20.41	15.56	9.93	20.56	8.0	10.79	14.89	27.44	24.99	5.06	34.02	39.22	41.52	24.81	9.06	34.26	20.41	10.63
IRF1	1617.0	2148.82	2555.58	2720.15	3847.29	1639.59	4239.45	2758.13	1662.49	318.57	1104.13	1119.56	463.65	1216.75	2976.74	356.05	1388.16	3081.75	406.31	429.54	3235.01	483.38	612.11	493.56	343.89	420.68	2335.28	693.58	264.03	1369.04	297.17	890.44	503.95	486.75	387.02	1378.57	341.51
ITGAL	563.18	780.44	909.17	441.64	4903.87	2555.58	11584.24	2915.45	624.99	27.64	92.05	224.97	89.51	136.19	633.73	28.24	579.04	559.28	118.43	39.79	73.54	47.5	95.34	32.13	36.27	49.21	146.03	38.4	40.93	124.37	27.64	137.14	57.89	34.75	29.48	78.89	31.22
ITGAX	860.08	896.64	1561.89	896.64	872.1	414.87	2061.24	928.3	961.07	11.73	68.07	167.9	96.01	163.28	438.59	23.25	348.71	341.51	138.1	24.28	128.79	49.91	105.15	31.9	19.53	30.78	176.29	31.45	18.03	109.66	23.93	63.0	41.22	6.31	30.12	53.95	38.12
LAMC3	307.69	124.37	493.56	480.04	902.89	130.6	262.2	432.53	406.31	98.73	177.53	231.32	56.68	117.6	170.25	92.05	244.57	79.45	198.47	39.5	47.5	151.22	111.21	108.9	19.97	123.5	85.82	26.67	159.9	57.49	58.71	98.04	54.33	12.45	54.72	32.13	52.45
LEF1	336.79	460.44	214.27	249.73	536.45	1697.45	743.43	463.65	460.44	186.4	460.44	435.55	236.21	316.37	1304.15	151.22	473.41	583.07	157.68	112.77	265.87	329.84	156.59	126.12	226.54	205.5	186.4	201.25	103.69	140.04	65.26	129.69	153.34	131.51	50.27	100.13	24.46
LPPR4	47.84	68.55	49.56	39.5	389.72	93.35	58.3	52.82	69.52	3.44	4.9	5.96	5.92	12.55	7.82	1.23	11.3	18.03	10.24	3.32	1.53	2.14	3.06	3.2	3.41	3.69	23.42	1.93	1.6	15.56	3.92	11.64	3.29	3.86	1.28	3.17	0.89
LY96	656.11	842.36	961.07	555.41	718.08	890.44	1151.06	2209.26	703.28	49.21	149.12	239.52	108.9	132.44	343.89	64.8	466.88	262.2	149.12	62.56	161.02	114.36	156.59	46.5	52.08	121.79	133.36	262.2	77.79	279.14	79.45	105.89	109.66	89.51	47.5	100.83	81.71
LYN	941.27	860.08	1331.57	1037.29	543.96	397.93	583.07	1001.93	1397.83	226.54	293.07	414.87	204.07	343.89	708.18	180.02	769.69	629.35	232.94	346.29	454.09	204.07	307.69	189.02	228.13	371.22	287.01	361.04	195.72	529.06	271.48	303.44	236.21	215.77	325.29	403.5	249.73
MANSC4	4.82	5.77	1.31	1.27	3.66	4.13	23.76	5.06	3.47	0.93	0.0	1.91	0.0	2.71	6.31	1.0	0.99	3.96	0.0	0.99	0.0	0.95	3.35	0.0	0.95	0.0	1.95	0.0	0.0	5.77	1.85	2.25	1.87	0.0	0.13	0.49	0.54
MAP4K1	480.04	748.61	384.34	371.22	3955.48	2895.31	6079.61	988.12	743.43	48.18	109.66	139.07	78.34	166.73	693.58	48.87	890.44	403.5	83.45	23.93	49.91	55.49	98.04	47.84	31.0	63.89	178.77	57.49	43.02	157.68	32.13	114.36	66.65	22.59	23.76	54.72	44.25
MAS1L	2.61	0.72	9.48	6.67	12.09	8.25	27.44	0.0	1.83	0.0	2.92	1.38	6.31	3.26	5.32	1.36	10.63	1.28	0.95	0.88	1.79	2.68	1.89	1.77	0.0	0.8	3.76	0.0	0.0	0.0	0.0	5.96	0.0	0.0	0.95	0.41	0.0
MBOAT4	7.28	16.75	5.28	3.41	9.41	9.63	22.75	11.73	4.98	2.12	1.0	4.06	2.16	3.86	4.28	1.83	4.35	2.53	0.0	0.0	0.0	4.21	1.43	1.35	0.0	0.55	2.29	0.55	0.0	1.33	0.0	1.73	3.06	0.0	0.93	0.56	0.29
MLKL	521.76	503.95	450.94	285.03	607.87	376.41	878.17	529.06	470.14	78.34	133.36	172.65	155.5	158.79	275.28	87.65	255.0	173.85	115.16	63.89	88.26	100.13	129.69	74.58	67.12	92.7	307.69	78.34	74.58	146.03	62.56	140.04	92.7	72.01	67.59	88.88	63.89
MMP25	150.17	130.6	94.01	46.5	50.27	32.13	75.11	232.94	115.16	26.1	25.72	49.21	43.94	44.89	102.97	22.26	69.03	66.18	18.03	25.91	44.89	41.81	55.49	22.26	15.8	26.28	48.87	20.71	22.59	35.25	25.72	43.02	33.3	6.89	18.03	26.1	22.92
MOBP	27.64	8.71	41.22	115.16	30.56	31.0	10.31	15.22	86.43	0.64	0.0	5.77	0.0	2.05	0.66	0.0	0.67	3.44	2.78	0.0	0.0	0.0	2.16	3.0	0.66	1.16	2.71	0.0	0.0	0.67	2.56	1.58	1.14	0.0	1.68	0.75	0.0
MPHOSPH9	314.17	301.33	229.72	223.41	220.32	323.03	358.54	305.55	346.29	97.36	150.17	143.01	224.97	232.94	195.72	139.07	236.21	269.6	295.11	171.45	162.14	183.82	194.36	185.11	229.72	155.5	265.87	116.78	124.37	149.12	244.57	139.07	246.28	102.25	85.22	121.79	109.66
MS4A4E	39.5	16.75	17.77	33.3	11.82	120.1	30.78	48.52	57.49	3.76	19.39	16.51	16.03	17.77	44.25	7.69	19.25	31.22	15.0	3.47	11.04	5.77	8.38	8.92	1.35	4.98	42.71	5.02	5.06	7.28	2.86	12.93	4.94	0.0	6.16	4.98	10.55
MSMB	915.51	59887.86	1628.26	45701.96	26800.01	947.83	232.94	0.0	44761.41	894051.48	602247.76	275175.93	783730.52	381149.17	193234.41	711250.37	135693.24	322736.12	1019901.63	811368.76	778316.89	659036.03	845824.19	1212874.47	459592.86	778316.89	400098.69	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	958220.73	368165.8	919186.72	1645391.11	894051.48
MYO1G	1457.23	397.93	961.07	346.29	2255.7	748.61	2004.85	665.29	547.75	100.83	85.22	175.07	106.63	136.19	450.94	94.67	358.54	209.84	63.0	44.89	95.34	105.15	73.54	114.36	51.71	49.21	105.15	39.22	53.95	122.64	62.56	109.66	39.22	23.25	23.08	55.49	39.79
NECAP2	1628.26	1388.16	1857.6	1359.57	2627.46	1896.65	1991.0	5441.3	1508.65	921.88	1088.92	1268.46	995.0	1151.06	1583.71	921.88	1508.65	1350.18	1066.48	713.11	866.07	995.0	954.43	872.1	1001.93	1008.9	909.17	1407.55	860.08	1417.35	928.3	1001.93	1081.39	1081.39	620.67	934.76	796.86
NINJ2	947.83	368.65	842.36	392.44	878.17	1870.53	785.88	1950.0	309.83	87.03	142.01	154.42	85.22	116.78	426.57	74.58	204.07	145.02	84.63	48.52	78.89	71.5	106.63	54.33	24.11	117.6	108.14	124.37	142.01	267.73	71.0	87.03	52.08	52.08	108.9	40.36	52.08
NLRC5	1191.69	1313.23	1104.13	1066.48	2004.85	1870.53	4152.18	1199.98	1313.23	78.89	358.54	429.54	293.07	361.04	1350.18	108.9	656.11	1159.07	152.28	193.01	137.14	180.02	260.38	221.86	88.88	102.25	447.82	129.69	87.65	256.78	67.59	299.25	201.25	124.37	75.11	132.44	84.04
NME8	29.91	25.35	25.35	12.27	33.3	15.68	33.78	34.02	42.71	0.42	9.93	26.47	13.83	14.03	27.84	8.0	29.27	22.92	8.99	3.29	5.23	3.14	5.96	9.34	0.8	3.29	5.54	3.32	4.17	11.73	1.22	6.41	8.25	4.74	0.0	3.03	0.0
P2RY6	178.77	123.5	269.6	120.1	96.01	53.95	55.1	295.11	389.72	13.12	32.13	46.5	19.11	47.17	85.82	11.3	46.18	63.89	21.01	7.63	56.28	17.13	27.64	7.75	6.26	11.04	37.32	21.01	7.22	24.28	5.77	24.28	15.22	9.78	14.67	23.25	12.09
PARP14	1191.69	532.74	1175.27	759.08	1127.35	339.14	1304.15	660.68	703.28	186.4	295.11	351.14	320.8	412.0	698.41	178.77	381.68	1104.13	334.46	346.29	341.51	201.25	303.44	244.57	275.28	229.72	353.59	161.02	199.85	277.2	279.14	353.59	287.01	194.36	220.32	241.19	332.14
PARVG	759.08	947.83	1030.12	896.64	2555.58	3614.55	5913.33	2645.74	988.12	40.93	146.03	249.73	180.02	260.38	738.29	57.49	759.08	563.18	165.57	54.33	148.09	90.14	146.03	77.25	53.95	103.69	260.38	102.97	56.28	253.23	53.95	170.25	92.05	50.98	47.5	52.82	105.15
