	TCGA.DD.A118.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZZPU.0426.SM.5GZYH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11P7K.0226.SM.5986Z	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
BEAN1	9.63	10.39	2.05	2.66	10.88	23.25	2.41	16.88	0.0	0.44	20.56	12.64	20.26	29.06	32.13	30.56	14.78	20.26	24.11	11.55	40.93	48.87	61.68	53.57	54.33	7.34	34.26	2.25	11.82	3.89	43.94	20.71	34.75	3.72	19.11	72.01	34.02	76.71	26.1	14.35	2.81
C10orf95	1.46	0.32	0.33	0.04	0.05	1.6	0.0	3.63	0.0	0.04	40.36	25.72	25.72	64.34	57.89	92.7	24.99	19.97	61.68	28.86	47.5	90.77	25.35	43.32	41.22	43.63	51.71	9.93	24.81	37.05	65.72	39.79	26.67	14.14	84.04	18.03	24.63	85.22	54.72	28.04	13.83
C19orf54	98.04	52.08	150.17	120.1	127.89	100.83	53.19	157.68	0.0	0.21	186.4	373.81	171.45	269.6	249.73	277.2	249.73	239.52	318.57	217.27	301.33	341.51	293.07	262.2	309.83	187.71	279.14	239.52	320.8	323.03	267.73	226.54	195.72	316.37	264.03	208.38	218.79	262.2	303.44	209.84	251.48
C19orf71	16.88	4.43	4.03	5.82	4.78	5.77	1.46	22.43	0.0	0.61	53.19	64.34	136.19	130.6	217.27	277.2	41.52	35.0	66.65	81.71	234.57	223.41	325.29	182.55	237.86	56.68	109.66	30.34	63.0	59.55	441.64	34.02	255.0	44.25	50.63	148.09	70.01	76.71	242.88	29.7	71.5
C21orf2	412.0	373.81	129.69	406.31	214.27	248.0	265.87	297.17	0.0	0.69	884.29	1066.48	995.0	1242.34	1044.52	1561.89	1286.18	1313.23	1378.57	1508.65	1407.55	1923.14	1896.65	1030.12	1950.0	1183.45	1991.0	540.19	1417.35	1359.57	1397.83	1008.9	1143.1	1857.6	890.44	1313.23	1073.91	1437.15	1757.34	1135.2	928.3
CCDC28B	19.53	15.68	10.0	16.88	6.26	11.82	12.18	8.13	0.0	0.58	220.32	256.78	242.88	258.57	236.21	277.2	65.26	159.9	297.17	215.77	307.69	358.54	287.01	283.05	346.29	146.03	221.86	51.71	231.32	122.64	353.59	124.37	332.14	153.34	249.73	262.2	237.86	220.32	351.14	102.25	115.97
CCDC78	2.51	0.83	0.27	3.56	2.84	0.46	0.0	2.07	0.0	0.01	8.13	9.13	6.11	11.82	11.55	10.24	6.57	18.03	26.47	10.24	27.44	69.52	17.9	17.0	36.27	3.44	20.41	20.71	1.22	17.0	26.28	4.39	23.76	4.28	9.2	31.9	19.53	9.13	61.68	8.19	6.73
CCNI2	20.86	7.57	18.7	24.63	22.75	4.86	6.46	21.47	0.0	0.36	76.17	38.4	84.04	34.75	70.51	68.55	46.5	36.27	105.15	59.97	114.36	55.49	66.18	118.43	72.52	58.71	72.01	71.0	42.41	29.06	100.83	45.21	53.19	57.49	67.59	98.04	67.12	81.71	102.97	22.26	52.45
CD2BP2	529.06	928.3	483.38	647.07	420.68	368.65	406.31	486.75	1794.29	1208.34	2520.38	1617.0	1340.84	2119.22	1529.73	1950.0	1487.87	1794.29	1896.65	1674.06	1857.6	1685.71	1923.14	2004.85	1832.01	1781.89	1685.71	1159.07	1331.57	1674.06	1733.13	1806.78	1709.26	1963.57	1883.54	1819.35	1605.83	1832.01	1733.13	1628.26	2075.59
CDC37	1794.29	2075.59	1639.59	1605.83	1225.22	1508.65	1313.23	1674.06	0.0	0.61	3639.7	3515.68	4010.71	3982.99	4181.07	3665.02	3060.45	3395.89	3212.66	3515.68	4450.27	4575.41	5403.7	4181.07	3982.99	3349.13	4239.45	2271.4	2855.44	3665.02	4704.07	3212.66	4239.45	3280.18	3146.52	4358.66	3325.99	4328.55	4388.98	3257.52	3280.18
CLASRP	414.87	183.82	265.87	450.94	307.69	251.48	348.71	507.46	0.0	1.5	1175.27	1340.84	836.53	1651.0	1208.34	1268.46	848.22	1104.13	1008.9	961.07	1295.13	1617.0	1806.78	1001.93	1883.54	954.43	1359.57	866.07	995.0	1286.18	1769.57	1167.14	1437.15	1167.14	1216.75	2004.85	1208.34	1242.34	1540.37	974.5	796.86
CLK3	447.82	435.55	381.68	412.0	432.53	403.5	395.18	595.34	0.0	0.66	1437.15	1340.84	1359.57	1617.0	1561.89	1388.16	1259.69	1277.29	1151.06	1388.16	1674.06	1883.54	1745.2	1572.76	2032.85	1268.46	1551.09	1388.16	1250.98	1259.69	2032.85	1407.55	1651.0	1268.46	1417.35	1991.0	1350.18	1529.73	1709.26	1259.69	1199.98
COL9A1	0.0	0.0	17.13	0.0	1.03	0.55	0.0	0.0	0.0	0.12	10.47	1.87	2.94	4.06	5.23	9.41	5.11	2.05	5.96	6.52	25.72	44.25	7.75	6.46	6.89	2.66	7.22	0.84	1.85	3.72	14.67	0.89	28.65	0.8	4.7	20.11	1.66	7.75	2.92	1.91	1.1
COLQ	14.78	3.23	7.34	7.88	6.62	17.9	9.78	19.97	0.0	0.39	43.02	74.58	31.9	58.71	46.18	38.67	30.12	51.71	51.71	46.18	58.3	78.89	48.52	56.68	63.89	17.0	52.82	15.56	55.49	27.44	61.25	59.97	76.71	42.71	39.5	64.34	46.5	31.22	69.52	47.84	23.42
DKFZP761J1410	124.37	172.65	132.44	162.14	89.51	139.07	101.54	166.73	0.0	0.96	198.47	215.77	303.44	366.09	366.09	327.56	320.8	246.28	348.71	295.11	457.25	540.19	444.72	358.54	493.56	299.25	361.04	118.43	180.02	206.94	444.72	186.4	368.65	237.86	175.07	332.14	260.38	368.65	295.11	220.32	265.87
DOCK6	170.25	199.85	214.27	169.07	151.22	208.38	186.4	197.09	0.0	0.16	674.59	813.63	872.1	1437.15	1066.48	718.08	612.11	647.07	915.51	836.53	1030.12	1191.69	1096.5	1066.48	1159.07	607.87	941.27	454.09	624.99	769.69	1015.93	753.83	1199.98	587.13	669.92	1216.75	743.43	961.07	988.12	693.58	647.07
EXOC3	473.41	353.59	258.57	309.83	351.14	400.71	400.71	555.41	483.38	947.83	1066.48	1286.18	947.83	1447.15	1295.13	1397.83	854.13	1001.93	1143.1	1216.75	1437.15	1407.55	1340.84	1191.69	1561.89	941.27	1467.37	921.88	1008.9	1191.69	1662.49	1044.52	1191.69	1183.45	1015.93	1605.83	1073.91	915.51	1350.18	1008.9	947.83
FAM19A1	0.44	0.0	0.0	0.0	1.31	0.0	0.0	2.36	0.0	0.0	7.57	2.16	7.06	7.06	2.18	2.56	7.57	2.51	4.66	4.7	10.31	4.58	5.87	8.0	8.71	2.2	4.17	0.0	6.89	2.14	4.35	3.86	6.21	4.66	1.35	3.96	0.0	2.03	2.07	2.18	2.56
FAM3A	981.29	684.02	660.68	665.29	518.15	595.34	1242.34	674.59	0.0	0.77	1437.15	1674.06	1477.58	1651.0	1572.76	1477.58	1322.37	1540.37	1487.87	1407.55	1721.16	1781.89	2018.8	1639.59	1806.78	1721.16	1733.13	819.3	1794.29	1662.49	1605.83	2855.44	1259.69	1745.2	1167.14	1096.5	1088.92	2163.77	2075.59	1208.34	1286.18
FIP1L1	293.07	392.44	483.38	299.25	679.29	371.22	348.71	373.81	785.88	368.65	1008.9	1059.11	896.64	1066.48	860.08	688.78	848.22	854.13	941.27	1015.93	808.0	947.83	878.17	1051.79	1096.5	967.76	1037.29	780.44	791.35	1127.35	1277.29	1023.0	902.89	587.13	1008.9	941.27	1001.93	743.43	1081.39	1096.5	780.44
FZR1	395.18	460.44	237.86	348.71	269.6	277.2	323.03	429.54	0.0	0.68	624.99	629.35	698.41	1001.93	902.89	1096.5	454.09	587.13	733.19	642.59	915.51	896.64	915.51	921.88	1111.82	633.73	693.58	406.31	387.02	603.67	1350.18	718.08	1208.34	476.71	571.05	1001.93	679.29	825.0	738.29	490.14	603.67
GAK	785.88	656.11	934.76	896.64	679.29	620.67	638.15	1037.29	0.0	1.2	1199.98	1417.35	1081.39	1277.29	1685.71	1721.16	1340.84	1322.37	1225.22	1322.37	1427.22	1674.06	1709.26	1477.58	1806.78	1143.1	1397.83	775.05	1519.15	1397.83	1529.73	1059.11	1447.15	1685.71	1304.15	1605.83	1233.75	1594.73	1268.46	1250.98	1104.13
GGA1	395.18	271.48	193.01	397.93	212.78	241.19	285.03	376.41	0.0	0.92	981.29	1313.23	1175.27	1135.2	1051.79	1572.76	915.51	1167.14	1277.29	1066.48	1529.73	1794.29	1628.26	1508.65	1977.24	928.3	1529.73	1030.12	1059.11	1073.91	1806.78	947.83	1721.16	896.64	995.0	1268.46	1143.1	1208.34	1651.0	934.76	848.22
HAGHL	11.73	5.73	0.46	3.63	0.48	7.28	2.97	8.78	0.0	0.82	55.1	34.02	25.91	83.45	51.35	62.56	27.05	76.17	66.65	31.0	87.03	157.68	74.58	57.08	144.01	50.63	81.71	18.29	48.52	46.18	82.29	35.0	103.69	30.56	14.67	108.14	61.25	23.42	115.16	30.78	24.81
KCTD13	76.17	54.72	70.51	102.97	69.03	47.84	38.4	82.87	0.0	0.85	273.37	269.6	255.0	209.84	224.97	351.14	232.94	208.38	234.57	249.73	371.22	480.04	295.11	297.17	353.59	226.54	325.29	158.79	269.6	135.24	420.68	215.77	287.01	162.14	214.27	277.2	212.78	180.02	341.51	231.32	185.11
KIAA1984	27.05	9.34	10.31	22.1	7.88	11.38	7.51	18.43	0.0	0.53	63.89	105.89	127.89	171.45	96.68	88.88	45.85	55.89	123.5	87.03	171.45	181.28	206.94	131.51	151.22	60.82	115.16	37.59	66.65	50.27	218.79	92.05	154.42	54.33	76.71	154.42	89.51	132.44	193.01	53.19	34.26
KRT7	205.5	476.71	1832.01	37.05	145.02	92.7	100.83	186.4	0.0	1.11	17197.56	15499.21	17078.76	19892.37	20593.91	34876.28	24153.43	18819.27	24321.43	15499.21	17681.08	24832.5	31432.17	30785.28	24660.96	16269.83	21468.49	9606.86	23492.92	9025.81	39237.98	36106.23	74760.09	19082.0	11345.82	46662.28	13776.25	14663.09	23169.48	9673.69	13306.94
LDB1	204.07	130.6	114.36	202.66	164.42	133.36	158.79	229.72	0.0	0.62	1208.34	1127.35	967.76	1457.23	1313.23	1457.23	698.41	830.75	1359.57	1250.98	1529.73	1769.57	1208.34	1295.13	1977.24	1037.29	1340.84	921.88	651.58	796.86	1477.58	1388.16	1407.55	651.58	1059.11	1757.34	1250.98	947.83	1487.87	947.83	872.1
LEMD1	0.0	2.48	0.0	8.25	2.43	0.0	0.0	0.0	0.0	0.0	30.56	12.36	16.39	90.14	13.12	38.67	4.66	0.0	17.77	19.25	15.91	37.32	43.02	13.42	55.1	7.22	5.92	9.78	10.63	0.0	31.0	56.28	85.22	9.41	0.0	69.03	5.41	40.07	20.56	12.64	12.83
LENG8	343.89	229.72	239.52	432.53	242.88	403.5	164.42	500.46	0.0	1.77	2895.31	3039.3	2224.63	5594.3	4010.71	3235.01	1572.76	2163.77	1745.2	2956.17	4704.07	6037.61	6121.9	2591.27	5441.3	2004.85	5292.48	1088.92	3081.75	1709.26	7032.37	2335.28	3395.89	1551.09	2573.36	5255.91	1733.13	2645.74	4512.4	2468.49	934.76
LMBR1L	387.02	199.85	220.32	157.68	244.57	248.0	129.69	363.56	0.0	0.58	642.59	878.17	551.56	2335.28	1268.46	884.29	371.22	536.45	780.44	785.88	961.07	1175.27	1286.18	698.41	1397.83	460.44	825.0	612.11	379.04	432.53	1313.23	909.17	1175.27	466.88	656.11	2061.24	470.14	890.44	813.63	543.96	460.44
LTB4R2	6.21	18.16	12.0	22.92	8.32	36.53	15.34	10.08	0.0	0.61	32.59	28.86	27.84	34.51	51.71	64.8	18.84	18.7	16.39	42.71	30.12	52.82	78.34	15.11	55.1	35.5	40.93	16.27	24.11	14.03	46.84	10.55	20.41	21.16	19.68	73.03	37.32	4.43	11.21	16.75	20.71
LUC7L2	275.28	283.05	228.13	232.94	329.84	312.0	88.26	420.68	0.0	0.0	1277.29	1023.0	1030.12	961.07	941.27	967.76	651.58	1073.91	860.08	1001.93	1008.9	947.83	728.11	860.08	1096.5	1143.1	1350.18	242.88	387.02	921.88	1015.93	1225.22	1066.48	660.68	1167.14	1151.06	1119.56	723.08	1015.93	1159.07	967.76
MACROD1	1286.18	540.19	647.07	866.07	373.81	547.75	423.61	1159.07	0.0	0.62	988.12	1111.82	1388.16	2133.97	1519.15	1745.2	830.75	967.76	1199.98	1437.15	1781.89	1819.35	2720.15	1561.89	1870.53	1594.73	1350.18	540.19	1769.57	1023.0	1844.76	1259.69	1477.58	1447.15	995.0	1447.15	1216.75	1794.29	1896.65	1143.1	988.12
MAN2C1	1073.91	397.93	521.76	1104.13	921.88	571.05	896.64	1832.01	0.0	1.62	3515.68	3515.68	2997.45	5441.3	4268.94	5366.37	1605.83	2573.36	2240.11	2739.08	3639.7	5112.16	4903.87	3081.75	5112.16	2351.53	4903.87	2193.99	2061.24	2335.28	4869.99	2271.4	3847.29	1936.53	3039.3	5292.48	2796.65	2935.74	3372.43	2119.22	2133.97
MAPK8IP3	120.1	37.59	35.25	143.01	56.28	96.01	77.25	191.67	0.0	1.69	571.05	866.07	591.22	1350.18	974.5	890.44	334.46	728.11	486.75	669.92	974.5	1417.35	967.76	769.69	1540.37	490.14	1044.52	275.28	262.2	595.34	1369.04	563.18	921.88	397.93	684.02	1369.04	854.13	802.41	872.1	567.1	417.77
MATN1	0.0	0.0	0.66	0.0	0.0	0.43	0.0	0.4	0.0	0.12	0.87	3.63	4.17	1.95	1.55	7.0	2.16	8.38	1.57	4.13	10.39	3.63	1.43	1.51	4.1	4.13	11.55	0.25	1.87	0.26	5.87	3.72	2.58	1.69	0.61	4.03	4.13	1.07	6.26	0.91	3.23
MCF2L	94.67	63.0	56.68	33.78	59.13	77.25	42.11	95.34	0.0	0.97	728.11	563.18	555.41	1015.93	669.92	723.08	612.11	329.84	567.1	400.71	500.46	579.04	802.41	514.56	1313.23	299.25	698.41	346.29	373.81	547.75	684.02	417.77	848.22	265.87	473.41	890.44	438.59	954.43	642.59	563.18	397.93
ME3	43.63	28.04	43.32	27.64	28.24	23.59	10.71	30.34	0.0	0.96	154.42	124.37	175.07	130.6	132.44	201.25	105.15	194.36	199.85	107.38	256.78	295.11	323.03	253.23	271.48	153.34	186.4	108.14	151.22	229.72	329.84	129.69	187.71	111.21	93.35	237.86	108.14	320.8	293.07	134.3	108.14
MICALL2	108.14	242.88	127.89	136.19	62.56	105.15	44.89	127.0	0.0	1.28	356.05	329.84	271.48	412.0	486.75	271.48	289.02	341.51	318.57	277.2	376.41	507.46	559.28	275.28	476.71	176.29	358.54	130.6	231.32	271.48	460.44	181.28	493.56	312.0	208.38	551.56	275.28	412.0	339.14	190.34	156.59
MTA1	423.61	197.09	241.19	395.18	241.19	368.65	246.28	460.44	0.0	1.33	1519.15	1794.29	890.44	2303.12	2335.28	2061.24	1295.13	1551.09	1617.0	1540.37	1540.37	1832.01	1963.57	1008.9	2209.26	1427.22	1991.0	796.86	1561.89	1259.69	2537.92	1605.83	1870.53	1369.04	1498.22	2384.37	1639.59	1175.27	1950.0	1216.75	1322.37
NEU3	37.59	24.11	10.39	28.65	23.76	46.5	39.79	45.53	0.0	0.39	60.39	71.0	49.91	51.71	74.06	74.58	46.5	52.45	82.29	103.69	69.52	110.43	66.65	83.45	155.5	66.65	99.43	81.14	29.27	66.65	94.67	72.01	74.58	17.77	76.71	130.6	63.0	44.57	56.28	49.56	41.81
NPEPL1	167.9	132.44	150.17	161.02	65.72	91.41	199.85	214.27	0.0	0.84	708.18	884.29	848.22	947.83	1037.29	1225.22	571.05	656.11	785.88	738.29	1277.29	1159.07	1519.15	1199.98	1350.18	674.59	884.29	669.92	884.29	723.08	1572.76	723.08	988.12	890.44	748.61	1175.27	848.22	941.27	1119.56	612.11	525.39
NT5C	587.13	591.22	551.56	389.72	215.77	183.82	454.09	473.41	0.0	0.93	1819.35	1617.0	1208.34	1295.13	1628.26	1685.71	1259.69	1477.58	1388.16	1457.23	1605.83	1697.45	1977.24	1304.15	1819.35	1561.89	1651.0	842.36	2032.85	1397.83	1844.76	1498.22	1143.1	2319.15	1662.49	1151.06	1487.87	1457.23	1832.01	1111.82	1447.15
NTN5	7.11	0.0	0.58	5.41	0.95	0.0	0.62	2.05	0.0	0.41	3.26	7.06	14.14	27.84	8.38	13.52	6.36	5.23	12.0	7.82	53.57	62.56	78.89	36.27	39.5	7.82	9.48	6.41	6.46	2.76	49.56	4.24	7.82	4.21	12.0	31.9	11.21	26.28	37.32	3.14	0.87
NUP85	483.38	567.1	679.29	514.56	603.67	361.04	409.15	808.0	0.0	1.0	660.68	796.86	769.69	540.19	928.3	633.73	551.56	483.38	684.02	624.99	713.11	674.59	813.63	723.08	934.76	607.87	902.89	665.29	500.46	493.56	665.29	567.1	638.15	540.19	583.07	961.07	536.45	575.03	633.73	642.59	532.74
NXNL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	4.62	4.21	3.72	11.64	4.82	0.0	3.23	4.66	2.61	4.86	4.1	0.0	5.28	14.24	1.77	4.1	1.41	0.0	0.0	11.64	5.96	3.86	0.0	3.72	1.36	3.92	0.83	9.93	2.86	0.0
PCBP4	111.99	164.42	101.54	144.01	111.21	126.12	66.65	195.72	0.0	0.69	525.39	620.67	733.19	507.46	511.0	559.28	447.82	447.82	503.95	406.31	842.36	743.43	1051.79	688.78	679.29	480.04	612.11	305.55	612.11	457.25	866.07	450.94	473.41	718.08	454.09	397.93	444.72	866.07	759.08	463.65	403.5
PCGF2	198.47	327.56	74.06	132.44	98.04	112.77	42.11	149.12	0.0	0.91	825.0	1059.11	1259.69	1529.73	1135.2	1001.93	902.89	890.44	1216.75	775.05	1991.0	1233.75	1639.59	1225.22	1119.56	872.1	1340.84	620.67	1259.69	808.0	1250.98	836.53	1427.22	1427.22	1143.1	1030.12	1096.5	1350.18	1781.89	748.61	633.73
PHKG1	3.06	0.89	6.16	3.66	2.43	4.5	0.29	2.32	0.0	0.27	14.14	18.43	17.64	32.13	12.93	24.11	15.8	16.63	24.46	30.78	27.84	23.76	13.22	11.64	43.02	17.77	15.22	4.98	9.27	16.88	41.81	23.42	20.56	15.0	15.11	37.85	19.82	16.51	25.17	41.22	6.11
PIK3IP1	82.29	197.09	106.63	75.64	96.01	94.01	65.72	199.85	0.0	0.31	603.67	612.11	1350.18	1417.35	1295.13	825.0	674.59	679.29	1111.82	1001.93	1745.2	1519.15	1745.2	1487.87	1561.89	738.29	1030.12	1030.12	532.74	493.56	1350.18	1369.04	1498.22	536.45	967.76	1617.0	698.41	1498.22	1127.35	713.11	599.49
PKD1	141.02	88.88	136.19	271.48	85.82	198.47	59.13	334.46	0.0	1.17	647.07	603.67	579.04	674.59	878.17	961.07	497.0	624.99	612.11	674.59	1191.69	1135.2	620.67	587.13	860.08	575.03	902.89	348.71	473.41	525.39	1001.93	529.06	808.0	403.5	470.14	967.76	518.15	612.11	981.29	567.1	450.94
PLEKHG2	42.11	212.78	84.04	101.54	53.95	170.25	30.56	55.89	217.27	141.02	301.33	297.17	221.86	356.05	358.54	177.53	171.45	197.09	248.0	264.03	239.52	283.05	368.65	248.0	371.22	223.41	325.29	109.66	80.57	336.79	241.19	220.32	438.59	185.11	139.07	521.76	163.28	366.09	209.84	157.68	232.94
PMFBP1	0.0	1.22	3.2	11.64	0.0	2.89	12.45	5.54	0.0	0.48	22.26	17.38	1.73	11.73	15.34	15.91	14.14	15.56	23.59	27.64	16.27	42.71	18.7	14.67	74.06	9.78	12.0	0.68	12.55	14.14	21.01	29.27	26.1	24.46	6.21	53.95	14.14	18.03	25.35	6.73	2.39
PPM1J	1.77	7.28	4.54	3.14	7.46	7.11	3.41	4.1	0.0	0.21	48.87	46.84	73.03	279.14	132.44	41.52	61.68	85.82	122.64	35.5	158.79	140.04	101.54	199.85	154.42	73.54	100.83	36.01	80.01	106.63	166.73	82.87	112.77	66.65	42.11	140.04	71.5	341.51	107.38	25.54	41.81
PSD	45.53	11.21	8.71	21.78	22.43	27.44	14.24	30.78	0.0	0.39	50.63	61.68	56.28	33.06	67.59	87.03	56.68	49.91	55.49	59.13	107.38	67.12	49.91	84.04	67.12	59.97	66.65	17.25	28.65	36.01	62.12	46.5	86.43	38.67	46.5	75.11	47.84	50.27	56.68	66.65	44.57
QTRT1	743.43	397.93	669.92	497.0	579.04	381.68	514.56	860.08	0.0	0.99	1030.12	1159.07	1709.26	1745.2	1561.89	1896.65	1096.5	1304.15	1119.56	1498.22	2701.35	2367.9	2777.33	2090.03	1870.53	1183.45	1639.59	961.07	1540.37	1313.23	2645.74	1023.0	2451.44	1001.93	1001.93	2224.63	1277.29	1639.59	2193.99	1167.14	1088.92
