	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.14E1K.0326.SM.5S2PE	GTEX.11DXZ.0126.SM.5EGGY	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3BU.01A.11R.A19O.07	TCGA.ET.A39J.01A.11R.A19O.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FK.A3SE.01A.11R.A22L.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.CE.A3ME.01A.11R.A20F.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.ET.A39S.01A.11R.A19O.07
C6orf1	226.54	218.79	273.37	156.59	154.42	175.07	159.9	228.13	195.72	204.07	177.53	262.2	214.27	295.11	1769.57	1304.15	1340.84	988.12	1437.15	1216.75	2485.67	1832.01	1119.56	2367.9	1977.24	2835.7	2335.28	1295.13
CACFD1	791.35	591.22	514.56	466.88	591.22	595.34	638.15	642.59	607.87	684.02	802.41	656.11	555.41	1175.27	878.17	796.86	934.76	595.34	780.44	775.05	1044.52	967.76	713.11	921.88	854.13	624.99	890.44	878.17
CAMK2B	73.54	88.26	32.36	43.94	85.22	65.72	69.03	56.28	25.54	249.73	35.0	85.82	21.01	28.04	703.28	371.22	406.31	483.38	587.13	346.29	813.63	486.75	429.54	896.64	660.68	688.78	435.55	414.87
CAMKK1	10.08	29.06	8.51	11.55	12.55	9.06	9.34	7.57	22.75	17.77	13.32	21.47	12.64	16.75	212.78	307.69	202.66	265.87	251.48	325.29	540.19	239.52	215.77	450.94	381.68	466.88	253.23	241.19
CC2D1B	186.4	236.21	212.78	186.4	287.01	223.41	197.09	163.28	162.14	191.67	332.14	287.01	248.0	379.04	620.67	651.58	599.49	571.05	665.29	764.36	679.29	620.67	591.22	684.02	780.44	860.08	775.05	536.45
CCDC64B	0.29	120.1	8.51	0.0	0.07	0.0	0.83	3.23	4.5	10.79	3.63	9.27	15.56	6.46	511.0	420.68	275.28	332.14	351.14	423.61	718.08	323.03	420.68	633.73	595.34	341.51	341.51	551.56
CD320	297.17	389.72	244.57	135.24	205.5	341.51	397.93	503.95	299.25	591.22	327.56	409.15	361.04	309.83	3794.3	3146.52	2682.69	1437.15	3325.99	1313.23	3515.68	2335.28	1870.53	3349.13	1844.76	3955.48	3928.15	2701.35
CDC34	1183.45	1498.22	1250.98	775.05	1233.75	1015.93	1331.57	1350.18	1233.75	1066.48	1369.04	1407.55	1388.16	1437.15	1388.16	1369.04	1397.83	1183.45	1268.46	1008.9	2451.44	1286.18	1059.11	2133.97	1651.0	1529.73	1519.15	1651.0
CELF4	0.57	11.91	2.68	7.51	3.08	0.0	0.55	0.0	13.52	12.45	0.57	0.69	4.9	2.58	163.28	122.64	151.22	155.5	102.25	106.63	217.27	92.05	97.36	158.79	80.57	102.97	162.14	127.89
CEP170B	182.55	206.94	173.85	55.49	217.27	64.34	320.8	159.9	144.01	228.13	112.77	123.5	182.55	147.06	684.02	884.29	708.18	928.3	842.36	587.13	1059.11	579.04	825.0	1135.2	1151.06	830.75	759.08	656.11
CERS4	1407.55	1467.37	981.29	1781.89	1175.27	1233.75	358.54	1936.53	842.36	1407.55	1529.73	2895.31	1407.55	2720.15	4010.71	2335.28	2816.11	2133.97	3039.3	1498.22	4358.66	3820.7	1628.26	3280.18	3124.78	3589.58	3212.66	3820.7
CHD4	2061.24	1059.11	1639.59	1233.75	1769.57	1709.26	2627.46	1135.2	1769.57	2417.67	1151.06	1685.71	1073.91	1617.0	5183.54	5112.16	6079.61	5403.7	7081.29	4736.79	5872.48	4903.87	3794.3	6983.79	6207.38	6207.38	6207.38	6164.49
CHPT1	2573.36	3395.89	2224.63	4358.66	4512.4	4869.99	441.64	3443.31	3419.52	2627.46	3564.78	3395.89	3124.78	5006.93	4607.24	3325.99	3589.58	2758.13	4328.55	1963.57	3928.15	2351.53	1857.6	3716.2	2796.65	1991.0	2739.08	3874.05
CITED1	10.47	7.63	0.0	0.0	9.78	7.69	5.02	0.0	7.11	11.38	0.0	18.97	12.18	0.0	10225.32	3039.3	3467.27	2485.67	5954.47	1477.58	20737.16	12943.04	2468.49	11345.82	5076.84	11345.82	13492.72	4972.34
CLCN7	384.34	591.22	318.57	327.56	595.34	381.68	629.35	743.43	633.73	836.53	447.82	470.14	802.41	836.53	2004.85	1498.22	1583.71	1662.49	1857.6	1313.23	1769.57	1721.16	1359.57	2485.67	2351.53	2178.83	1757.34	1331.57
CLTA	2384.37	3190.46	2555.58	2555.58	2739.08	1883.54	1697.45	2895.31	2434.5	2915.45	1540.37	2976.74	3443.31	2351.53	8538.88	6887.62	6792.79	5954.47	8022.41	5711.87	8963.45	7911.95	7280.4	8778.97	7433.4	8191.0	8598.28	7803.01
CLTB	1051.79	1923.14	1551.09	575.03	1369.04	1135.2	2090.03	1487.87	1437.15	1781.89	928.3	1111.82	1857.6	1447.15	2645.74	2555.58	2609.3	2287.2	2178.83	2468.49	3467.27	2720.15	2163.77	2915.45	2193.99	2875.3	2520.38	2520.38
CNIH3	25.72	44.25	96.68	24.28	7.28	24.28	61.68	10.39	32.36	40.36	10.47	64.34	37.85	13.12	339.14	181.28	175.07	211.31	223.41	232.94	420.68	373.81	221.86	303.44	248.0	423.61	303.44	176.29
COPRS	1397.83	1540.37	981.29	723.08	1331.57	1159.07	1322.37	1051.79	1023.0	1561.89	1183.45	1175.27	1286.18	1832.01	1709.26	1268.46	1313.23	1313.23	2018.8	1378.57	2555.58	2271.4	1295.13	2287.2	2193.99	2816.11	2367.9	1857.6
CORO1B	1242.34	1350.18	934.76	753.83	836.53	988.12	1175.27	909.17	1359.57	981.29	1044.52	1605.83	1639.59	1191.69	3419.52	2935.74	3665.02	3235.01	3235.01	2417.67	4095.0	3515.68	2520.38	3874.05	3325.99	3639.7	3690.52	2956.17
CTBP1	1457.23	1378.57	1259.69	738.29	1250.98	813.63	1457.23	1350.18	1457.23	1498.22	1359.57	1963.57	1151.06	2178.83	3212.66	2835.7	3168.41	2997.45	3395.89	2915.45	4066.71	3212.66	2701.35	4298.64	3443.31	3443.31	3349.13	3168.41
CTTN	915.51	1119.56	703.28	595.34	633.73	723.08	1286.18	928.3	780.44	947.83	1073.91	1183.45	1088.92	1073.91	4575.41	4450.27	4298.64	4328.55	4512.4	4836.35	5147.73	5076.84	5006.93	5292.48	5329.3	4972.34	5403.7	3768.09
CUTA	4268.94	5255.91	3901.01	3039.3	3235.01	3235.01	2915.45	5633.22	4298.64	2875.3	5594.3	5995.9	4802.93	6792.79	9088.59	7433.4	7749.1	5255.91	8840.04	6887.62	10368.08	10368.08	5751.61	10014.87	9025.81	11584.24	10883.59	9673.69
DAPK2	52.45	38.4	38.67	67.12	8.65	58.3	218.79	21.01	35.0	16.75	21.16	55.1	47.17	49.21	5954.47	7230.1	6294.04	5147.73	5954.47	4671.57	8421.31	4450.27	6121.9	6294.04	5366.37	3349.13	5112.16	4802.93
DBP	204.07	265.87	99.43	137.14	127.0	260.38	37.85	161.02	356.05	131.51	307.69	563.18	125.24	285.03	1167.14	1437.15	1059.11	1088.92	1331.57	536.45	3690.52	1991.0	848.22	3372.43	2018.8	2997.45	1844.76	1745.2
DDRGK1	2502.97	2645.74	1883.54	1331.57	2682.69	2178.83	2240.11	2739.08	2835.7	2720.15	2485.67	2502.97	3018.3	2303.12	2591.27	1662.49	1991.0	1639.59	1936.53	1662.49	2664.15	1844.76	1923.14	2400.97	2319.15	2720.15	2004.85	2351.53
DHRS3	5112.16	2739.08	2645.74	4358.66	4736.79	3124.78	7032.37	3190.46	2664.15	3515.68	3982.99	3491.39	5183.54	6983.79	19214.73	12415.75	13968.57	7749.1	14065.74	5594.3	11992.79	6037.61	8963.45	11189.6	11189.6	11035.54	8305.36	11827.67
DKFZP761J1410	162.14	265.87	125.24	89.51	139.07	101.54	334.46	166.73	123.5	384.34	112.77	100.13	152.28	156.59	764.36	511.0	575.03	438.59	387.02	543.96	518.15	764.36	514.56	684.02	825.0	878.17	500.46	376.41
DNAJC4	941.27	743.43	624.99	438.59	353.59	381.68	571.05	555.41	915.51	665.29	819.3	1378.57	748.61	1151.06	2335.28	1628.26	2271.4	1697.45	2163.77	1883.54	2758.13	2645.74	1331.57	2537.92	2335.28	3325.99	2032.85	2287.2
DUSP13	0.0	2.23	0.78	0.57	1.28	0.0	5.32	0.0	0.0	1.11	0.0	2.86	2.48	1.64	15.0	23.08	5.63	5.92	26.28	7.0	43.94	2.23	10.24	68.07	36.27	50.27	19.53	5.19
DVL1	341.51	476.71	450.94	141.02	392.44	187.71	563.18	426.57	417.77	483.38	532.74	612.11	406.31	540.19	1359.57	1407.55	1397.83	1519.15	1143.1	1350.18	2287.2	1407.55	1407.55	2032.85	1769.57	1540.37	1551.09	1551.09
EPS8	217.27	571.05	351.14	866.07	842.36	435.55	71.5	525.39	587.13	376.41	426.57	579.04	718.08	297.17	2591.27	2573.36	2287.2	3280.18	2816.11	1991.0	1819.35	1844.76	2895.31	1909.85	2468.49	2645.74	2367.9	2335.28
ETHE1	1313.23	1991.0	2319.15	381.68	1015.93	703.28	559.28	1467.37	1561.89	633.73	1427.22	1572.76	1378.57	1059.11	2193.99	3491.39	2255.7	2163.77	3124.78	2090.03	3018.3	2400.97	2061.24	3901.01	3235.01	4836.35	3589.58	2148.82
ETV4	2.92	128.79	0.83	11.38	1.14	1.64	10.39	0.58	0.49	19.25	3.53	14.35	5.45	26.67	1709.26	1572.76	1769.57	1340.84	1467.37	1388.16	2032.85	1159.07	1781.89	1745.2	1216.75	836.53	981.29	1350.18
ETV5	241.19	146.03	170.25	143.01	209.84	156.59	320.8	175.07	65.72	97.36	49.21	218.79	224.97	185.11	1015.93	1044.52	738.29	1030.12	1088.92	518.15	743.43	974.5	902.89	860.08	988.12	1037.29	884.29	738.29
EVI5L	102.25	81.71	63.0	60.82	75.11	83.45	69.52	84.04	98.04	97.36	32.59	73.54	83.45	55.1	258.57	283.05	244.57	265.87	251.48	297.17	303.44	271.48	248.0	395.18	209.84	287.01	287.01	237.86
EVPL	14.45	6.21	0.01	6.26	14.45	1.38	3.69	5.87	0.0	2.12	4.86	0.8	0.0	1.85	693.58	890.44	1183.45	703.28	665.29	583.07	669.92	1081.39	1001.93	1135.2	890.44	713.11	656.11	808.0
FAF1	543.96	490.14	521.76	759.08	579.04	536.45	490.14	490.14	480.04	624.99	339.14	341.51	507.46	366.09	1167.14	1023.0	1216.75	909.17	1159.07	1167.14	1397.83	1208.34	1259.69	1388.16	1066.48	1191.69	1286.18	1066.48
FAM150A	76.17	30.78	0.0	2.18	7.94	11.55	0.0	12.18	5.28	0.0	4.62	17.9	41.22	12.83	117.6	69.52	63.89	141.02	115.97	40.93	223.41	37.05	55.89	134.3	88.26	94.67	71.5	108.14
FAM171A2	11.64	3.96	1.16	1.93	2.68	4.28	0.0	2.46	17.38	2.36	1.85	27.44	6.89	4.1	368.65	177.53	211.31	234.57	323.03	35.0	323.03	273.37	111.99	327.56	376.41	239.52	351.14	190.34
FAM173A	532.74	802.41	441.64	147.06	543.96	312.0	260.38	638.15	616.37	616.37	426.57	518.15	890.44	764.36	753.83	656.11	603.67	567.1	638.15	332.14	1378.57	656.11	454.09	890.44	728.11	748.61	703.28	902.89
FAM211A	4.1	10.47	2.66	5.68	3.23	1.25	0.51	11.82	1.79	5.82	5.45	13.93	0.92	4.17	178.77	193.01	234.57	183.82	223.41	105.15	183.82	232.94	147.06	181.28	209.84	215.77	220.32	186.4
FAM86C1	74.58	76.17	53.95	126.12	89.51	105.89	66.65	73.54	102.25	67.59	74.06	47.17	51.35	63.0	212.78	140.04	201.25	185.11	226.54	102.97	312.0	189.02	197.09	144.01	205.5	199.85	246.28	120.1
FBN3	0.29	0.31	0.0	0.32	14.89	0.0	0.0	0.29	0.91	8.58	6.26	0.87	0.0	1.99	287.01	142.01	120.1	234.57	323.03	218.79	183.82	111.21	119.26	193.01	234.57	371.22	146.03	118.43
FDX1L	323.03	285.03	361.04	229.72	195.72	323.03	336.79	412.0	348.71	389.72	353.59	190.34	381.68	511.0	1794.29	1199.98	1216.75	860.08	1331.57	988.12	1757.34	1529.73	733.19	1662.49	1331.57	1769.57	1487.87	1159.07
FGB	4165330.83	1545882.32	1535204.12	3601083.44	4342214.81	3780117.42	5235876.81	1611529.43	3313672.43	3290783.22	2672946.37	1645391.11	2845004.48	1715263.94	0.0	60.82	0.0	0.0	0.0	0.0	42.71	0.0	0.0	28.04	0.0	0.0	0.0	2.32
FLII	1844.76	1870.53	1322.37	1651.0	1427.22	1769.57	3874.05	1417.35	1540.37	2255.7	1437.15	1883.54	1769.57	2018.8	6250.56	6037.61	5751.61	5517.27	5831.91	5441.3	8022.41	6745.86	5219.6	7081.29	6426.31	8778.97	6792.79	5751.61
FNTA	684.02	612.11	830.75	1250.98	595.34	775.05	796.86	595.34	392.44	651.58	571.05	579.04	587.13	884.29	1721.16	1427.22	1286.18	1447.15	1477.58	961.07	1551.09	1467.37	1498.22	1605.83	1617.0	1304.15	1467.37	1388.16
FOXP4	206.94	417.77	473.41	131.51	366.09	193.01	314.17	435.55	441.64	507.46	497.0	303.44	277.2	384.34	1295.13	1304.15	1551.09	1709.26	2319.15	934.76	2061.24	1295.13	1295.13	2163.77	1781.89	995.0	1529.73	1519.15
FP15737	118.43	33.06	36.27	55.89	31.0	63.45	50.27	35.76	42.11	56.68	62.56	61.25	33.54	113.56	314.17	262.2	205.5	209.84	301.33	239.52	353.59	346.29	318.57	334.46	353.59	441.64	348.71	172.65
FSCN2	2.36	3.86	0.66	0.0	0.0	6.41	4.13	3.76	1.83	1.87	0.0	0.46	6.21	0.0	130.6	173.85	142.01	187.71	117.6	91.41	258.57	241.19	113.56	169.07	115.97	169.07	146.03	127.0
GALE	1199.98	1427.22	941.27	1143.1	518.15	1143.1	796.86	1551.09	1561.89	1295.13	1896.65	2133.97	1508.65	1340.84	2384.37	2240.11	2255.7	1819.35	2434.5	1605.83	3060.45	2468.49	1721.16	2739.08	2287.2	2400.97	3212.66	1844.76
GGCT	703.28	1037.29	1008.9	866.07	769.69	791.35	579.04	802.41	551.56	872.1	429.54	679.29	693.58	669.92	6561.36	2451.44	2720.15	3060.45	5403.7	1427.22	5954.47	2555.58	2997.45	5711.87	4736.79	3491.39	5403.7	3515.68
GLB1L	69.52	98.73	90.77	72.01	61.68	64.8	44.57	90.77	52.08	47.17	69.03	156.59	71.0	115.16	392.44	327.56	287.01	312.0	353.59	289.02	507.46	414.87	234.57	336.79	426.57	351.14	271.48	312.0
GLT1D1	111.21	1111.82	361.04	49.91	1819.35	376.41	1477.58	165.57	181.28	1651.0	105.15	75.11	642.59	764.36	208.38	305.55	181.28	194.36	194.36	172.65	218.79	236.21	182.55	281.09	193.01	166.73	171.45	126.12
GNAS	14867.79	9740.98	15715.58	19618.49	8778.97	12076.21	6250.56	5594.3	12160.22	4481.23	13586.57	12943.04	13033.07	7911.95	46339.95	42346.82	61999.83	43537.38	42937.97	29943.43	56265.94	56265.94	36610.26	60723.88	66449.85	63302.6	49666.0	55491.3
GNG5	3419.52	5872.48	3742.05	3589.58	3665.02	2895.31	2520.38	4639.29	3665.02	4802.93	2935.74	3794.3	4903.87	3901.01	4388.98	4328.55	4937.99	3955.48	4095.0	4836.35	5831.91	4704.07	3491.39	5147.73	5594.3	4802.93	4671.57	4671.57
GPX4	11424.74	9876.98	8840.04	8305.36	8479.89	8778.97	5183.54	10883.59	13492.72	7803.01	11992.79	11345.82	10084.54	11584.24	16611.71	12943.04	12676.65	12676.65	16496.96	10585.95	20593.91	15715.58	9540.5	19348.38	14163.58	16727.26	17317.18	15824.9
HDDC2	214.27	389.72	521.76	748.61	228.13	202.66	171.45	314.17	256.78	397.93	251.48	341.51	291.04	206.94	2895.31	2485.67	2451.44	2133.97	2701.35	2434.5	3395.89	2997.45	1909.85	2935.74	3235.01	3349.13	2976.74	2935.74
HSD17B1	18.84	27.84	6.57	9.93	13.22	9.13	20.86	22.1	34.26	36.27	40.93	30.12	24.11	36.01	119.26	74.06	78.89	72.01	64.8	56.28	155.5	105.15	79.45	139.07	75.11	119.26	94.67	141.02
ICA1L	2.66	7.69	4.21	5.54	2.18	3.86	9.93	7.88	3.66	6.31	1.99	12.93	8.71	0.89	181.28	108.14	84.04	190.34	142.01	78.89	107.38	98.73	105.15	128.79	217.27	158.79	156.59	127.0
IFRD2	1572.76	1417.35	1540.37	902.89	1023.0	1369.04	2061.24	1340.84	1277.29	1794.29	1051.79	1111.82	1030.12	1111.82	1674.06	1551.09	1674.06	1594.73	1662.49	1709.26	2384.37	1977.24	1242.34	2303.12	2133.97	2417.67	2119.22	1832.01
ILKAP	332.14	409.15	348.71	343.89	249.73	353.59	435.55	403.5	309.83	363.56	341.51	450.94	332.14	444.72	1397.83	1030.12	915.51	1023.0	1073.91	974.5	1628.26	1467.37	981.29	1651.0	1617.0	1322.37	1066.48	1277.29
KIAA2013	813.63	1417.35	728.11	595.34	1023.0	693.58	426.57	1529.73	1216.75	896.64	1044.52	1674.06	1662.49	1745.2	2061.24	1844.76	1883.54	1594.73	1991.0	1183.45	2255.7	2148.82	1199.98	2047.0	1519.15	1909.85	2133.97	2133.97
KLK7	0.0	4.46	0.6	0.99	0.1	2.05	2.73	1.55	0.0	0.62	0.0	3.82	0.0	2.27	954.43	915.51	325.29	503.95	555.41	1477.58	733.19	343.89	563.18	1051.79	1167.14	1605.83	1191.69	679.29
LPAR5	61.68	38.4	16.88	31.67	18.97	25.91	24.63	24.99	47.17	11.47	9.93	104.42	33.78	96.68	830.75	860.08	884.29	947.83	1008.9	271.48	825.0	796.86	693.58	1037.29	420.68	579.04	603.67	412.0
LYPLA2	1359.57	1745.2	1388.16	693.58	954.43	988.12	1477.58	1340.84	1143.1	1151.06	947.83	1104.13	1819.35	1135.2	2047.0	2148.82	2163.77	2468.49	3280.18	1572.76	3467.27	2468.49	1508.65	2875.3	2319.15	2119.22	2816.11	2537.92
METTL12	35.0	29.91	40.93	31.0	11.73	61.68	64.34	36.79	35.25	76.17	29.91	39.22	13.93	35.25	327.56	142.01	167.9	133.36	158.79	169.07	198.47	211.31	133.36	251.48	229.72	209.84	166.73	162.14
METTL7B	3103.19	8363.13	11112.3	5555.65	7180.15	947.83	3847.29	9151.82	5147.73	3955.48	4972.34	3081.75	4239.45	3491.39	1909.85	1350.18	1674.06	981.29	2664.15	836.53	1909.85	1388.16	733.19	1540.37	1304.15	2875.3	1685.71	1322.37
MFGE8	85.82	493.56	651.58	191.67	460.44	86.43	124.37	603.67	915.51	454.09	72.01	187.71	679.29	191.67	14065.74	8778.97	6207.38	6121.9	8658.09	6207.38	11909.94	9474.59	6607.01	6164.49	7280.4	9215.48	12943.04	5633.22
MGAT4B	3212.66	3716.2	2468.49	1359.57	1407.55	2193.99	2739.08	4903.87	2520.38	2502.97	4358.66	4704.07	2537.92	6337.83	4671.57	4836.35	4575.41	5041.77	5517.27	3716.2	6337.83	4802.93	4704.07	6699.25	6121.9	6792.79	7382.04	4095.0
MIIP	379.04	420.68	170.25	129.69	137.14	241.19	246.28	220.32	320.8	339.14	295.11	320.8	275.28	400.71	1023.0	842.36	981.29	693.58	791.35	780.44	1225.22	1135.2	493.56	1350.18	1407.55	902.89	1081.39	890.44
MPG	1437.15	1322.37	947.83	599.49	698.41	988.12	1583.71	878.17	1030.12	1001.93	1191.69	1397.83	1417.35	974.5	2451.44	2303.12	2335.28	1662.49	2384.37	1977.24	2855.44	3146.52	1477.58	2976.74	3257.52	4181.07	3794.3	2739.08
MRPS25	703.28	1104.13	921.88	525.39	813.63	629.35	603.67	1135.2	995.0	1594.73	1167.14	860.08	1008.9	1088.92	3303.0	2119.22	2287.2	1594.73	1388.16	3124.78	2417.67	1697.45	2047.0	3018.3	2976.74	3146.52	2319.15	2193.99
NAB2	289.02	698.41	255.0	291.04	921.88	172.65	432.53	289.02	271.48	129.69	289.02	559.28	684.02	397.93	2090.03	2627.46	2520.38	2104.58	2163.77	2956.17	3060.45	2701.35	1883.54	2682.69	2895.31	1963.57	2739.08	2855.44
NFKBIL1	241.19	303.44	171.45	124.37	187.71	211.31	275.28	303.44	232.94	283.05	381.68	368.65	332.14	429.54	878.17	638.15	698.41	703.28	780.44	595.34	1233.75	884.29	599.49	1051.79	896.64	981.29	961.07	825.0
NR2F6	836.53	1233.75	660.68	395.18	941.27	476.71	279.14	1167.14	1322.37	1286.18	642.59	1059.11	629.35	1467.37	723.08	748.61	693.58	647.07	723.08	353.59	1242.34	723.08	769.69	1259.69	764.36	884.29	808.0	738.29
NUDT16L1	470.14	587.13	389.72	314.17	466.88	444.72	414.87	463.65	629.35	532.74	665.29	825.0	642.59	656.11	1135.2	981.29	928.3	848.22	830.75	674.59	1407.55	1331.57	830.75	1268.46	1242.34	1605.83	1081.39	909.17
NUDT17	8.38	13.93	5.06	10.96	3.72	6.16	11.3	20.26	19.39	6.62	18.56	19.25	8.58	31.0	334.46	277.2	246.28	226.54	289.02	158.79	277.2	353.59	226.54	346.29	212.78	249.73	215.77	211.31
OAZ3	45.53	37.59	29.06	21.63	24.11	98.04	39.5	14.89	28.65	39.5	30.12	49.91	42.11	20.26	182.55	166.73	132.44	98.73	158.79	143.01	283.05	164.42	110.43	144.01	202.66	144.01	195.72	162.14
OGFOD3	603.67	624.99	457.25	256.78	366.09	381.68	555.41	819.3	497.0	457.25	490.14	633.73	518.15	444.72	1167.14	1143.1	1151.06	954.43	1477.58	928.3	1135.2	1066.48	780.44	1397.83	1023.0	1417.35	1259.69	1143.1
PABPC1L	107.38	161.02	148.09	61.25	74.58	53.19	163.28	217.27	155.5	142.01	267.73	177.53	144.01	283.05	1709.26	693.58	432.53	915.51	638.15	656.11	1427.22	1295.13	320.8	1498.22	2133.97	2148.82	954.43	486.75
PCGF2	132.44	198.47	123.5	98.04	112.77	42.11	56.68	149.12	163.28	162.14	132.44	187.71	204.07	131.51	1794.29	1457.23	1340.84	1561.89	1594.73	860.08	2061.24	1467.37	988.12	1561.89	2004.85	1963.57	1685.71	1447.15
PDLIM7	108.14	224.97	223.41	133.36	163.28	85.82	293.07	152.28	120.1	158.79	49.91	279.14	341.51	166.73	2240.11	1651.0	1936.53	2664.15	1594.73	825.0	2935.74	1923.14	1143.1	2573.36	2796.65	1977.24	1322.37	1498.22
PEX16	860.08	1023.0	878.17	563.18	684.02	808.0	698.41	775.05	1340.84	860.08	764.36	1199.98	808.0	981.29	1023.0	775.05	872.1	688.78	961.07	819.3	1225.22	1167.14	616.37	1225.22	934.76	961.07	1037.29	1073.91
