	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.EA.A3HT.01A.61R.A21T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A4MQ.01A.11R.A28J.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANAPC7	967.76	1397.83	1407.55	1159.07	1096.5	2255.7	2875.3	3349.13	2193.99	2701.35	2682.69	3395.89	4038.61	2148.82	3146.52	2133.97	3639.7	2255.7	2835.7	2163.77	2485.67	441.64	1135.2	0.0	0.64	563.18	902.89	2287.2	1159.07	1015.93	1662.49	1529.73	2193.99
ARHGAP33	4.39	100.83	221.86	209.84	135.24	571.05	819.3	283.05	264.03	397.93	376.41	389.72	595.34	320.8	703.28	223.41	595.34	255.0	371.22	518.15	136.19	27.84	11.91	0.0	0.96	11.3	6.41	53.19	40.64	49.21	23.76	17.64	10.96
ARHGEF25	62.56	7.51	119.26	189.02	144.01	1721.16	1369.04	260.38	575.03	435.55	1909.85	921.88	599.49	264.03	1322.37	104.42	540.19	111.21	543.96	718.08	753.83	115.97	25.54	0.0	0.61	46.84	33.54	70.01	42.41	58.3	22.92	30.56	15.45
AUTS2	13.32	348.71	96.68	195.72	208.38	417.77	599.49	332.14	334.46	414.87	599.49	454.09	813.63	301.33	679.29	201.25	591.22	351.14	591.22	279.14	420.68	248.0	120.94	155.5	332.14	32.82	64.34	98.04	133.36	204.07	104.42	150.17	67.12
BBS5	45.85	4.78	35.76	53.95	76.17	169.07	318.57	148.09	107.38	137.14	162.14	132.44	153.34	68.07	283.05	138.1	87.65	121.79	126.12	171.45	90.77	21.47	20.26	0.0	0.43	14.78	18.03	21.16	49.21	36.79	26.47	28.65	25.35
CAPN11	4.58	9.63	10.0	3.03	7.94	32.59	13.72	10.0	13.72	12.09	40.64	34.26	17.38	8.51	31.0	24.46	56.28	7.94	12.09	23.93	7.06	5.19	1.23	0.0	0.04	2.92	1.33	5.36	2.61	3.63	2.84	0.68	1.23
CCNL2	373.81	688.78	2209.26	2835.7	1350.18	7857.29	8191.0	4903.87	3820.7	4769.75	4869.99	5995.9	8479.89	3716.2	6037.61	3564.78	6381.92	3443.31	5329.3	4937.99	3395.89	395.18	620.67	0.0	1.89	529.06	73.54	420.68	403.5	555.41	334.46	323.03	229.72
CDAN1	89.51	117.6	162.14	143.01	133.36	249.73	470.14	262.2	221.86	212.78	289.02	217.27	253.23	190.34	353.59	220.32	301.33	224.97	223.41	318.57	202.66	91.41	63.89	0.0	0.59	36.53	39.79	92.05	87.65	93.35	100.83	67.59	67.12
CEP95	165.57	460.44	493.56	397.93	186.4	988.12	1151.06	921.88	507.46	733.19	1088.92	1199.98	1674.06	500.46	1437.15	547.75	1322.37	500.46	825.0	1233.75	503.95	133.36	223.41	0.0	0.78	182.55	45.53	177.53	164.42	187.71	137.14	144.01	157.68
CLASRP	147.06	693.58	1073.91	928.3	540.19	1721.16	3325.99	1529.73	1477.58	1977.24	2434.5	2400.97	3103.19	1191.69	2255.7	2047.0	2224.63	2367.9	1950.0	2451.44	1397.83	232.94	269.6	0.0	1.5	105.89	84.63	376.41	339.14	476.71	305.55	253.23	271.48
CLCN6	39.79	92.7	116.78	114.36	60.82	318.57	336.79	202.66	176.29	224.97	267.73	232.94	339.14	138.1	397.93	191.67	303.44	134.3	229.72	293.07	128.79	43.02	16.75	0.0	0.87	24.46	19.39	50.63	69.52	62.12	63.45	48.18	33.78
CLDN15	15.11	71.0	122.64	53.95	64.8	234.57	221.86	283.05	248.0	223.41	279.14	384.34	420.68	201.25	339.14	441.64	202.66	190.34	356.05	457.25	149.12	32.59	19.11	0.0	0.69	15.0	19.53	28.86	88.26	80.01	36.01	28.24	59.13
CLK2	273.37	796.86	896.64	1135.2	728.11	1844.76	3419.52	1369.04	1397.83	1397.83	1832.01	1685.71	1883.54	1151.06	2104.58	1167.14	2537.92	1551.09	1519.15	1467.37	1015.93	279.14	275.28	0.0	0.82	90.77	141.02	318.57	318.57	466.88	406.31	241.19	190.34
COL4A5	195.72	10.71	162.14	514.56	1268.46	1733.13	1286.18	353.59	170.25	651.58	2255.7	928.3	2573.36	220.32	3303.0	60.82	1529.73	921.88	1378.57	660.68	167.9	312.0	21.16	0.0	0.66	267.73	16.63	33.54	87.03	108.9	37.32	50.63	50.63
CORT	0.0	10.24	7.57	8.78	4.46	14.24	10.08	9.7	3.72	12.64	20.26	55.89	16.03	12.0	68.55	12.0	27.05	17.38	17.13	19.39	13.62	1.48	3.23	0.0	0.16	1.62	0.64	2.01	0.16	2.01	5.41	1.1	1.27
CSAD	24.63	361.04	540.19	444.72	190.34	1806.78	2178.83	1044.52	769.69	884.29	947.83	1819.35	2451.44	941.27	2061.24	759.08	941.27	764.36	1259.69	1167.14	848.22	36.01	88.26	0.0	1.55	43.02	8.45	94.67	102.97	111.99	74.58	64.8	45.53
DDX42	651.58	1066.48	1199.98	1167.14	836.53	1709.26	2090.03	1806.78	1498.22	1769.57	2148.82	1685.71	2835.7	1350.18	1977.24	1388.16	2148.82	1295.13	1378.57	1832.01	1313.23	624.99	373.81	759.08	232.94	363.56	444.72	872.1	738.29	748.61	848.22	743.43	748.61
DMP1	0.0	0.0	0.35	0.0	1.75	8.32	9.93	9.7	1.66	7.51	15.0	18.56	28.04	2.84	15.34	0.0	5.02	8.25	6.46	11.47	0.0	0.84	0.0	0.0	0.0	0.0	0.25	0.34	0.0	0.0	0.32	0.0	0.0
DMPK	115.16	346.29	547.75	563.18	571.05	1870.53	4543.8	656.11	3081.75	1457.23	3665.02	1551.09	3847.29	2335.28	1651.0	1051.79	2047.0	1167.14	1175.27	2720.15	2335.28	113.56	187.71	0.0	1.04	45.85	258.57	587.13	1015.93	463.65	366.09	339.14	320.8
DMTF1	155.5	271.48	708.18	684.02	599.49	1359.57	2627.46	1447.15	928.3	1427.22	2209.26	2351.53	3794.3	1008.9	3257.52	819.3	2758.13	995.0	1844.76	1508.65	748.61	205.5	172.65	0.0	1.16	387.02	56.28	189.02	193.01	211.31	140.04	115.97	128.79
DSPP	0.0	0.0	0.0	0.0	0.61	4.28	4.66	3.0	1.08	2.12	7.69	7.06	9.56	0.0	7.82	0.0	2.51	1.51	3.53	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTX3	75.64	40.64	255.0	301.33	371.22	1745.2	2701.35	423.61	728.11	791.35	1844.76	1088.92	1733.13	444.72	2075.59	420.68	1594.73	693.58	1151.06	2240.11	373.81	127.0	32.82	0.0	0.78	148.09	19.25	80.57	131.51	123.5	92.05	58.71	28.24
EDC3	414.87	234.57	395.18	356.05	323.03	532.74	583.07	368.65	497.0	476.71	511.0	426.57	435.55	423.61	612.11	426.57	450.94	417.77	441.64	567.1	395.18	363.56	305.55	0.0	0.21	171.45	277.2	389.72	318.57	406.31	441.64	403.5	214.27
EZH1	47.84	412.0	281.09	283.05	135.24	612.11	759.08	753.83	753.83	674.59	748.61	802.41	836.53	884.29	854.13	571.05	647.07	559.28	679.29	728.11	785.88	127.89	107.38	0.0	0.82	43.32	98.73	248.0	142.01	256.78	140.04	189.02	124.37
FAM186B	0.0	4.13	9.85	3.17	4.28	33.78	36.01	16.51	6.78	10.55	22.92	14.35	18.03	7.51	29.91	6.41	18.56	8.51	5.59	36.01	5.19	3.23	2.78	0.0	0.09	0.74	2.51	1.27	2.23	15.0	2.97	5.73	1.77
FAM227A	0.34	6.41	6.16	8.45	7.0	30.34	58.71	10.88	7.28	11.13	18.56	21.63	37.32	8.32	65.72	7.17	33.3	15.45	10.55	43.02	3.72	0.69	2.56	0.0	0.18	0.55	0.4	0.99	6.89	1.99	1.38	5.54	0.0
FAM228B	57.89	135.24	61.68	120.94	182.55	389.72	289.02	348.71	199.85	260.38	244.57	543.96	241.19	87.65	246.28	81.71	260.38	142.01	186.4	232.94	120.94	59.97	49.91	0.0	0.37	82.29	28.04	29.48	29.48	66.18	53.95	23.59	29.48
FAM229A	18.43	29.06	40.93	54.72	76.71	175.07	262.2	229.72	114.36	231.32	195.72	195.72	269.6	118.43	743.43	187.71	215.77	118.43	178.77	332.14	78.89	7.57	6.41	0.0	0.71	22.43	0.09	10.39	3.0	21.94	10.79	7.0	18.29
FBF1	18.84	346.29	191.67	157.68	134.3	376.41	647.07	674.59	314.17	392.44	525.39	525.39	665.29	366.09	579.04	307.69	483.38	303.44	281.09	642.59	414.87	24.81	59.13	0.0	0.6	33.78	63.0	102.97	115.16	202.66	166.73	107.38	71.0
FKSG63	0.0	2.71	0.0	9.34	11.82	37.85	52.82	21.78	10.47	17.38	48.87	46.5	92.7	8.65	41.81	19.68	32.59	45.53	20.71	100.83	13.32	0.0	4.82	0.0	0.0	16.51	0.0	0.8	2.53	5.54	0.0	0.0	0.39
FLJ00104	1.27	22.92	40.93	40.07	18.56	63.45	106.63	63.45	40.93	40.07	78.89	77.25	100.13	41.81	116.78	34.02	64.8	59.55	48.18	123.5	40.36	4.7	5.19	0.0	0.62	1.55	1.19	7.46	10.08	15.22	9.13	8.51	5.41
GGNBP2	595.34	723.08	896.64	947.83	775.05	1175.27	1208.34	1407.55	1044.52	1088.92	1295.13	1498.22	1397.83	1023.0	1304.15	884.29	1794.29	1143.1	1104.13	1605.83	860.08	518.15	612.11	684.02	791.35	764.36	518.15	656.11	595.34	688.78	684.02	854.13	830.75
GIGYF1	82.87	209.84	307.69	246.28	159.9	547.75	1159.07	497.0	500.46	547.75	848.22	688.78	1044.52	444.72	1427.22	361.04	759.08	507.46	1051.79	559.28	441.64	117.6	68.55	228.13	988.12	40.93	43.02	133.36	68.55	185.11	126.12	124.37	86.43
GOLGA6L4	3.11	10.63	54.33	50.27	26.86	165.57	46.84	72.52	96.01	124.37	152.28	106.63	348.71	108.9	212.78	63.0	91.41	82.29	97.36	139.07	80.01	2.97	16.88	0.0	0.75	2.23	0.77	6.21	9.13	34.75	14.14	11.73	35.25
GOLGA8A	3.89	273.37	974.5	688.78	199.85	2520.38	3124.78	2287.2	1073.91	2319.15	2573.36	2739.08	4358.66	1331.57	2664.15	1066.48	1350.18	1225.22	2434.5	2240.11	1151.06	12.83	42.41	0.0	1.73	9.56	5.77	98.04	97.36	125.24	18.29	19.53	62.12
GOLGA8B	2.92	62.12	285.03	251.48	104.42	1819.35	2915.45	684.02	348.71	1096.5	1216.75	2417.67	4450.27	379.04	1216.75	463.65	723.08	483.38	866.07	2133.97	409.15	7.28	18.7	0.0	1.41	12.0	2.58	21.47	27.25	59.55	5.19	9.27	13.22
GPR135	3.06	4.31	8.19	8.51	13.62	70.01	49.91	31.9	21.16	19.53	98.04	68.07	154.42	22.75	44.57	8.71	145.02	14.56	40.64	20.41	13.12	3.06	1.62	0.0	0.29	2.53	1.2	4.5	6.67	3.03	2.43	3.14	0.97
GTF2I	802.41	4903.87	3467.27	2573.36	3039.3	3955.48	6037.61	3742.05	3589.58	4671.57	4769.75	5076.84	6745.86	4066.71	5711.87	3303.0	6250.56	3190.46	4268.94	2935.74	4210.15	1519.15	1199.98	2739.08	1225.22	872.1	1295.13	1950.0	1561.89	2875.3	2178.83	2835.7	2303.12
HEATR4	0.0	2.01	6.73	6.78	0.99	21.78	15.22	11.73	17.64	12.36	66.18	32.59	33.06	11.82	25.91	11.38	44.89	9.56	16.27	11.13	7.88	0.64	0.0	0.0	0.1	0.43	0.0	6.06	1.48	1.53	1.58	4.98	1.81
HECTD4	103.69	432.53	299.25	249.73	221.86	571.05	660.68	543.96	599.49	583.07	599.49	708.18	1216.75	753.83	780.44	579.04	748.61	420.68	591.22	507.46	775.05	122.64	157.68	0.0	0.93	32.59	95.34	559.28	229.72	251.48	223.41	279.14	376.41
HNRNPDL	1883.54	4010.71	4769.75	5006.93	4869.99	7642.41	11035.54	7382.04	5594.3	9025.81	8538.88	9606.86	17927.91	3901.01	8191.0	5711.87	6516.03	7803.01	9025.81	9279.58	3103.19	2032.85	2209.26	0.0	0.47	2240.11	1733.13	4152.18	3639.7	3168.41	4210.15	2645.74	3847.29
HOXB2	7.51	325.29	81.14	463.65	476.71	693.58	791.35	981.29	921.88	934.76	476.71	1167.14	567.1	878.17	1111.82	2047.0	1407.55	423.61	1757.34	493.56	547.75	94.01	69.52	0.0	0.99	13.12	42.71	27.64	69.03	81.71	10.47	40.07	10.24
HOXB3	11.21	175.07	112.77	332.14	128.79	791.35	1697.45	842.36	426.57	559.28	616.37	1088.92	620.67	490.14	1295.13	1073.91	1359.57	146.03	1151.06	961.07	199.85	40.93	23.08	0.0	1.01	5.87	6.73	6.41	19.39	25.91	11.47	6.26	8.13
HOXB4	14.67	83.45	49.21	78.34	59.13	115.97	329.84	211.31	78.34	94.01	108.14	303.44	90.14	122.64	197.09	172.65	363.56	42.11	305.55	129.69	45.21	2.76	13.42	0.0	0.61	4.54	13.62	0.91	14.89	10.0	11.47	1.27	0.2
INCA1	5.82	11.82	22.1	12.83	13.52	92.7	80.01	41.81	43.32	21.94	36.53	74.58	47.17	31.22	69.03	34.26	22.75	30.56	44.57	71.0	27.64	11.47	10.16	0.0	0.24	6.46	8.58	8.13	10.08	20.71	12.55	11.04	4.74
ITGB1BP2	10.31	28.45	33.78	21.63	9.48	182.55	92.05	45.21	92.05	36.53	202.66	224.97	72.52	57.89	81.71	24.99	106.63	29.06	65.26	103.69	38.4	7.11	8.06	0.0	0.49	3.03	33.54	32.13	73.54	21.32	27.84	11.73	18.43
JMJD7-PLA2G4B	8.38	267.73	115.97	103.69	37.85	242.88	409.15	209.84	190.34	214.27	447.82	414.87	460.44	264.03	403.5	180.02	450.94	190.34	181.28	122.64	299.25	56.68	75.11	0.0	1.06	3.26	8.45	105.15	84.04	89.51	99.43	52.45	46.5
KRT4	2.56	3.697379928E7	7966.99	11345.82	3.35	226.54	606436.73	1472666.19	1.810644424E7	6140819.49	61.68	480.04	19.82	2.276004283E7	186.4	3359929.59	691801.16	2654482.97	1800541.22	205.5	3.109113511E7	775.05	951601.81	0.0	0.0	0.23	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LCAT	43.94	46.5	251.48	248.0	221.86	3303.0	1950.0	547.75	511.0	503.95	967.76	1096.5	5366.37	518.15	1572.76	466.88	400.71	995.0	947.83	1081.39	214.27	54.72	28.24	0.0	1.11	40.36	11.21	92.7	99.43	72.52	52.82	27.05	51.35
LRCH4	146.03	928.3	775.05	571.05	518.15	1191.69	1477.58	1529.73	1745.2	1709.26	1477.58	1447.15	1617.0	1628.26	2104.58	1617.0	1059.11	1295.13	2537.92	1151.06	1769.57	463.65	500.46	0.0	1.22	217.27	226.54	473.41	563.18	633.73	503.95	480.04	412.0
LRIT3	0.32	2.12	3.41	0.87	0.49	8.38	13.42	8.32	5.73	6.01	4.1	5.73	8.71	4.35	9.85	2.27	9.41	4.06	3.99	8.06	1.87	0.0	0.61	0.0	0.27	0.0	0.0	0.0	0.0	2.23	0.85	0.59	0.84
LRRC19	1.22	1.03	1.36	0.68	1.25	4.24	3.63	3.11	5.36	2.66	6.73	2.36	5.02	2.14	2.61	5.59	3.59	1.73	2.48	17.9	0.31	0.0	0.0	0.0	0.0	0.39	0.04	0.0	0.89	0.04	0.07	0.05	0.33
LRRC37B	51.35	78.34	215.77	99.43	107.38	353.59	540.19	406.31	260.38	206.94	366.09	376.41	656.11	348.71	444.72	224.97	466.88	236.21	289.02	403.5	256.78	59.97	74.58	0.0	0.55	62.56	54.72	106.63	43.94	138.1	71.5	73.03	82.29
MAN2C1	361.04	802.41	1529.73	1111.82	603.67	5041.77	3395.89	2303.12	2720.15	2224.63	5112.16	4239.45	7433.4	2061.24	4869.99	2271.4	2976.74	2178.83	3103.19	2573.36	2061.24	389.72	435.55	0.0	1.62	297.17	229.72	698.41	698.41	909.17	438.59	503.95	181.28
MAPK8IP3	15.68	320.8	583.07	438.59	277.2	1340.84	1233.75	988.12	866.07	995.0	1457.23	1350.18	2915.45	915.51	1508.65	836.53	1457.23	896.64	1059.11	1030.12	915.51	249.73	119.26	0.0	1.69	40.36	23.93	157.68	159.9	176.29	151.22	81.71	72.52
METAP1D	53.95	45.21	62.56	48.18	32.59	157.68	251.48	133.36	86.43	92.7	129.69	167.9	162.14	72.52	253.23	111.21	70.51	91.41	104.42	234.57	80.57	26.47	40.36	0.0	0.32	37.59	47.17	54.72	39.79	61.68	35.76	71.5	29.27
MIR3654	15.91	47.5	37.05	29.48	20.56	55.49	65.72	89.51	49.56	48.52	88.26	112.77	56.28	47.17	53.57	50.27	70.01	44.89	60.82	85.82	60.82	19.39	18.97	0.0	0.22	17.64	19.53	28.04	20.41	19.25	12.93	19.25	14.03
MSH5	60.82	223.41	314.17	112.77	87.65	603.67	928.3	633.73	403.5	351.14	785.88	785.88	612.11	256.78	1151.06	423.61	825.0	395.18	525.39	1073.91	231.32	34.75	60.82	381.68	202.66	58.3	18.97	104.42	38.12	68.55	50.63	55.89	13.22
MSH5-SAPCD1	7.75	81.14	59.55	31.22	23.76	111.21	153.34	45.85	59.13	52.08	141.02	87.65	56.28	61.68	221.86	159.9	90.14	87.03	46.84	142.01	15.56	4.24	15.68	0.0	0.43	10.63	5.54	37.59	2.94	7.75	14.56	7.88	13.03
MSS51	2.48	7.22	18.29	15.56	13.83	49.56	58.71	34.02	27.64	35.25	43.02	27.64	82.29	25.17	103.69	20.26	58.3	20.56	50.27	78.34	19.39	3.63	2.68	0.0	0.66	4.31	2.03	3.47	10.39	7.88	6.89	3.89	5.82
MUM1	249.73	356.05	412.0	444.72	353.59	708.18	796.86	497.0	633.73	583.07	775.05	1250.98	1066.48	432.53	1388.16	483.38	902.89	651.58	981.29	1030.12	579.04	167.9	132.44	366.09	780.44	178.77	108.9	199.85	293.07	281.09	145.02	212.78	126.12
MYH7B	0.0	4.66	12.55	3.76	1.81	35.76	102.97	39.5	27.25	17.51	57.89	81.71	70.51	21.16	66.65	28.86	23.59	16.51	34.02	57.08	10.79	0.48	2.68	0.0	0.39	0.0	2.94	18.56	20.11	14.45	2.94	14.56	9.7
MYO19	693.58	1844.76	1617.0	1088.92	988.12	842.36	848.22	1519.15	1340.84	1037.29	2384.37	2758.13	2739.08	728.11	2335.28	967.76	2627.46	1457.23	1350.18	2335.28	1143.1	476.71	483.38	0.0	1.27	603.67	303.44	1143.1	679.29	529.06	575.03	536.45	444.72
NPIPA1	59.13	417.77	708.18	703.28	447.82	4937.99	5441.3	2645.74	1909.85	2287.2	6294.04	3168.41	5441.3	1896.65	6652.97	1313.23	4123.49	2133.97	3540.14	4543.8	1378.57	111.99	127.0	0.0	1.33	8.71	76.17	392.44	341.51	414.87	212.78	182.55	305.55
NPIPA2	0.0	4.13	45.53	3.79	27.84	441.64	112.77	69.52	0.0	183.82	175.07	171.45	303.44	61.25	136.19	92.05	158.79	66.65	189.02	387.02	0.0	0.0	0.0	0.0	0.65	0.0	0.0	8.13	9.13	4.94	2.23	5.54	9.78
NPIPB3	57.08	748.61	703.28	529.06	444.72	4152.18	3212.66	1628.26	1304.15	1467.37	3303.0	2537.92	3235.01	1359.57	2976.74	1295.13	2287.2	1151.06	1896.65	4704.07	1104.13	126.12	177.53	0.0	1.27	35.5	68.07	309.83	438.59	312.0	265.87	242.88	563.18
NPIPB4	22.75	366.09	493.56	329.84	283.05	3235.01	2777.33	1685.71	1030.12	1617.0	3018.3	2104.58	2319.15	1037.29	2701.35	1175.27	2417.67	902.89	1674.06	2895.31	860.08	98.73	76.17	0.0	1.33	27.64	38.12	153.34	206.94	119.26	71.5	63.45	165.57
NPIPB5	35.0	432.53	981.29	480.04	351.14	5791.62	4836.35	3235.01	2351.53	3257.52	5711.87	3901.01	4802.93	2193.99	4869.99	2032.85	3955.48	1745.2	3146.52	5255.91	1844.76	94.67	180.02	591.22	299.25	17.25	25.72	301.33	279.14	146.03	164.42	115.97	214.27
NUTM2G	0.0	4.9	4.17	2.27	3.14	8.58	10.96	9.13	10.08	5.87	15.68	18.84	43.63	9.41	14.89	7.88	32.13	4.94	8.45	14.35	8.0	2.01	0.6	0.0	0.16	1.22	0.0	1.28	1.0	1.87	0.67	0.92	1.31
PALLD	728.11	665.29	1936.53	2303.12	1529.73	7749.1	9740.98	2287.2	4972.34	4152.18	11992.79	3564.78	8718.32	3690.52	6250.56	2367.9	7230.1	2855.44	2627.46	3639.7	3349.13	1388.16	1447.15	0.0	0.51	830.75	3564.78	1844.76	1304.15	2335.28	2075.59	1697.45	2075.59
PAN2	110.43	343.89	599.49	417.77	189.02	1233.75	3325.99	1225.22	808.0	967.76	1331.57	1896.65	1313.23	743.43	3124.78	624.99	1096.5	884.29	1143.1	1594.73	836.53	104.42	126.12	0.0	1.06	84.63	67.59	182.55	172.65	226.54	98.73	144.01	64.8
PARP6	406.31	387.02	878.17	825.0	647.07	1628.26	1832.01	1175.27	1059.11	1359.57	1721.16	1844.76	1936.53	1088.92	1733.13	830.75	1295.13	1191.69	1457.23	1199.98	1001.93	470.14	289.02	753.83	318.57	151.22	169.07	426.57	356.05	624.99	503.95	486.75	389.72
PAXBP1	109.66	149.12	287.01	312.0	206.94	638.15	1233.75	497.0	376.41	529.06	583.07	629.35	947.83	353.59	583.07	409.15	872.1	392.44	500.46	651.58	332.14	67.12	156.59	0.0	0.95	44.25	62.56	103.69	163.28	139.07	121.79	108.9	100.13
PDCD7	256.78	521.76	316.37	279.14	281.09	518.15	713.11	450.94	387.02	409.15	490.14	493.56	432.53	403.5	460.44	392.44	389.72	320.8	429.54	473.41	420.68	124.37	232.94	0.0	0.43	76.17	279.14	341.51	387.02	316.37	265.87	228.13	323.03
PDE6C	0.0	0.36	2.23	0.97	0.93	11.3	3.82	5.87	2.73	3.76	10.39	4.62	21.01	0.97	18.29	0.0	2.81	3.26	4.31	4.94	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.04	0.0	1.08	0.87	0.33	0.01
PILRB	18.29	583.07	1167.14	432.53	389.72	1745.2	3874.05	1467.37	967.76	1457.23	2319.15	2609.3	3540.14	921.88	4152.18	1208.34	1963.57	1295.13	3614.55	1745.2	759.08	51.71	85.82	0.0	1.31	50.98	20.41	55.49	244.57	406.31	88.88	167.9	117.6
