	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.A2.A0YJ.01A.11R.A109.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.DI.A2QT.01A.12R.A19W.07
FAP	1081.39	2075.59	118.43	463.65	483.38	1088.92	1806.78	246.28	1378.57	543.96	1529.73	271.48	764.36	1295.13	961.07	116.78	0.0	47.17
FBN1	454.09	4066.71	187.71	327.56	457.25	1183.45	3212.66	325.29	2758.13	785.88	2193.99	206.94	1457.23	2739.08	2061.24	22.59	0.0	78.34
GLT8D2	291.04	961.07	37.59	97.36	158.79	301.33	890.44	60.39	460.44	281.09	497.0	87.03	356.05	575.03	316.37	4.1	0.0	33.54
GRID1	28.24	81.71	8.65	19.53	23.25	37.32	57.08	17.13	25.91	26.67	53.19	8.99	24.11	47.5	27.64	5.32	0.0	11.47
HEG1	161.02	1096.5	57.89	116.78	108.14	480.04	660.68	71.0	583.07	480.04	358.54	116.78	285.03	551.56	371.22	23.76	0.0	39.22
HMCN1	22.43	764.36	10.71	44.57	45.85	182.55	493.56	26.86	260.38	145.02	291.04	17.38	175.07	255.0	205.5	99.43	0.0	37.32
HTRA1	9540.5	12160.22	547.75	1059.11	2502.97	4769.75	10296.45	1844.76	6426.31	3794.3	7857.29	1199.98	4671.57	6037.61	4481.23	830.75	0.0	2816.11
ITGA1	217.27	764.36	25.72	135.24	128.79	325.29	371.22	51.35	339.14	299.25	246.28	91.41	180.02	463.65	189.02	100.83	0.0	85.22
JKAMP	599.49	1417.35	281.09	842.36	967.76	764.36	1242.34	647.07	1119.56	1051.79	1044.52	450.94	660.68	961.07	679.29	470.14	0.0	327.56
KCTD16	2.29	1.79	0.24	0.61	0.28	0.28	1.71	0.27	1.69	0.66	1.27	0.0	0.99	1.14	0.97	0.0	0.0	0.0
LRRC15	309.83	1896.65	66.65	126.12	212.78	529.06	1674.06	97.36	1639.59	327.56	1340.84	111.99	878.17	1127.35	1127.35	0.0	0.0	0.25
LUM	14561.8	38164.99	1896.65	5366.37	10296.45	14867.79	30361.44	2485.67	25887.07	11827.67	35118.87	4210.15	20451.65	37379.55	20310.37	182.55	0.0	1721.16
MFAP5	463.65	1745.2	154.42	698.41	808.0	607.87	1457.23	271.48	1605.83	473.41	2061.24	94.01	1857.6	2935.74	1233.75	7.22	0.0	206.94
MGEA5	1096.5	2502.97	941.27	1037.29	1233.75	1529.73	2319.15	1369.04	1870.53	1498.22	1697.45	642.59	1175.27	1639.59	1529.73	379.04	0.0	1331.57
MPL	0.0	2.53	0.0	0.65	0.93	0.62	1.73	0.59	2.73	0.0	2.27	0.32	1.01	0.39	2.34	0.56	0.0	0.35
MRVI1	379.04	206.94	13.32	26.86	76.17	140.04	224.97	19.11	212.78	115.97	127.0	43.32	84.04	267.73	96.68	7.17	0.0	44.89
MSL2	223.41	406.31	209.84	185.11	205.5	366.09	463.65	229.72	460.44	206.94	295.11	211.31	339.14	314.17	356.05	88.88	244.57	154.42
NBPF16	44.57	116.78	69.03	39.22	37.05	100.83	228.13	29.91	166.73	69.03	77.25	51.35	78.34	115.97	127.0	28.04	0.0	38.67
NHSL2	14.56	131.51	2.51	2.36	13.93	26.47	53.57	12.74	85.82	29.91	19.53	6.84	51.35	34.26	16.39	0.52	0.0	1.75
NOX4	127.0	371.22	35.5	82.87	114.36	139.07	420.68	47.5	395.18	72.01	275.28	52.45	177.53	384.34	231.32	11.04	0.0	103.69
NTM	256.78	356.05	11.64	77.25	121.79	193.01	228.13	68.55	358.54	54.72	236.21	92.7	251.48	236.21	201.25	6.73	0.0	2.78
NUAK1	82.87	327.56	24.99	40.36	36.27	148.09	265.87	62.56	145.02	95.34	65.72	40.93	132.44	103.69	127.0	65.26	39.79	36.53
NUMB	791.35	1167.14	283.05	624.99	490.14	633.73	981.29	273.37	988.12	884.29	738.29	441.64	629.35	1051.79	669.92	260.38	0.0	371.22
PDGFRA	99.43	915.51	70.01	83.45	96.01	239.52	656.11	37.85	226.54	187.71	301.33	176.29	202.66	400.71	194.36	4.1	195.72	54.33
PDGFRB	1540.37	3716.2	237.86	603.67	921.88	1407.55	2875.3	361.04	1936.53	1081.39	1417.35	599.49	1242.34	2255.7	1277.29	161.02	0.0	193.01
PKD2	151.22	361.04	29.48	87.65	96.01	152.28	395.18	44.89	198.47	149.12	339.14	61.25	127.0	287.01	173.85	28.86	0.0	132.44
PLN	656.11	202.66	5.02	29.27	21.78	69.52	159.9	21.16	103.69	69.52	57.49	16.51	21.78	165.57	119.26	2.18	0.0	6.84
PODNL1	307.69	429.54	77.25	145.02	117.6	289.02	536.45	113.56	493.56	236.21	397.93	108.14	236.21	373.81	336.79	9.93	0.0	17.25
PRRX1	397.93	2591.27	121.79	320.8	334.46	713.11	2104.58	154.42	1242.34	656.11	1096.5	323.03	1037.29	1508.65	1127.35	2.18	0.0	43.63
RAP1B	1561.89	4388.98	974.5	1832.01	1923.14	2537.92	3325.99	1183.45	3614.55	2287.2	2777.33	2133.97	2935.74	3212.66	2855.44	954.43	2119.22	551.56
RASGRF2	48.52	314.17	22.1	31.22	39.22	85.22	199.85	13.62	123.5	66.65	134.3	16.27	84.63	142.01	117.6	5.82	0.0	41.22
RECK	62.56	305.55	33.78	30.12	41.22	91.41	195.72	23.59	133.36	97.36	142.01	69.52	98.73	153.34	96.68	41.81	0.0	37.32
RNF185	872.1	540.19	291.04	551.56	728.11	674.59	703.28	269.6	872.1	693.58	780.44	483.38	796.86	603.67	842.36	470.14	0.0	287.01
RPL19	1578364.61	48307.85	71714.63	619179.28	475800.4	542775.98	47642.77	2343119.96	383800.28	411347.03	422911.59	322736.12	839981.65	2845004.48	482442.34	52135.28	54349.29	1318073.06
SGCD	108.14	289.02	7.22	25.91	16.51	76.17	214.27	12.64	144.01	48.52	87.03	19.25	53.57	71.0	81.14	4.78	0.0	3.08
SGIP1	58.71	185.11	28.45	51.35	71.5	124.37	237.86	17.13	187.71	37.85	173.85	64.8	134.3	205.5	81.71	2.92	27.84	15.0
SLC24A2	5.73	93.35	0.35	4.03	3.23	29.48	54.33	1.91	42.11	4.31	38.12	4.31	10.63	13.62	23.59	0.0	0.0	0.4
SMCO1	0.0	0.39	0.0	0.0	0.34	0.34	0.38	0.0	1.08	0.0	0.68	0.0	0.0	0.0	0.37	0.0	0.0	0.0
SRPX2	583.07	703.28	49.91	161.02	92.7	264.03	660.68	103.69	417.77	126.12	470.14	126.12	236.21	334.46	438.59	49.91	0.0	97.36
ST6GAL2	59.55	215.77	0.79	12.09	18.03	42.71	170.25	6.73	135.24	19.11	83.45	4.74	36.53	61.68	72.52	0.42	0.0	3.56
SULF1	1745.2	3742.05	395.18	1015.93	825.0	2018.8	3372.43	500.46	5913.33	1709.26	3515.68	860.08	2956.17	5479.15	1950.0	426.57	0.0	42.41
TCF4	214.27	1277.29	46.5	182.55	195.72	348.71	780.44	67.12	420.68	356.05	466.88	117.6	283.05	603.67	503.95	13.83	127.0	42.71
TLL2	16.03	7.46	1.13	3.99	6.36	9.27	10.96	1.55	14.67	8.85	13.83	0.69	10.71	7.57	17.38	3.14	0.0	3.76
TMEM132B	1.17	3.59	2.89	0.0	1.83	2.76	5.77	0.28	4.39	1.36	2.23	0.31	3.66	19.39	1.31	0.0	0.0	0.0
TSHZ3	92.7	212.78	16.03	82.29	31.0	86.43	172.65	28.45	98.73	76.17	113.56	42.41	68.07	131.51	68.07	3.29	0.0	6.84
UTRN	119.26	1191.69	79.45	212.78	248.0	260.38	791.35	34.51	470.14	583.07	563.18	299.25	255.0	660.68	547.75	68.07	0.0	102.25
VSTM4	87.65	269.6	6.31	19.53	24.99	92.7	181.28	15.56	77.79	59.13	74.58	16.15	90.14	110.43	85.82	8.25	32.13	18.7
ZEB1	251.48	733.19	17.51	42.71	87.65	197.09	403.5	41.22	256.78	172.65	334.46	41.22	147.06	329.84	165.57	32.13	50.63	33.78
ZFP28	57.49	113.56	30.34	28.24	34.75	68.07	113.56	17.25	101.54	60.39	85.22	26.67	87.03	77.79	84.04	1.41	0.0	17.9
ZNF160	620.67	403.5	90.77	155.5	209.84	314.17	432.53	218.79	595.34	273.37	336.79	108.14	320.8	318.57	297.17	33.78	0.0	295.11
ZNF25	78.89	193.01	30.78	40.36	47.5	77.25	202.66	48.18	135.24	81.14	92.7	64.34	49.56	124.37	101.54	14.03	0.0	22.43
ZNF347	69.52	127.0	30.56	42.71	78.34	115.16	145.02	47.5	123.5	85.82	100.83	63.89	122.64	101.54	87.65	3.59	0.0	22.59
ZNF470	76.17	74.06	28.45	38.95	50.63	41.22	68.07	11.13	68.07	38.12	66.65	17.0	84.04	94.01	64.8	2.73	0.0	14.89
ZNF474	2.71	14.24	1.13	3.96	2.25	4.78	12.18	7.82	12.45	3.56	6.89	1.35	2.81	2.41	6.84	1.17	0.0	1.95
ZNF808	103.69	134.3	24.63	72.01	66.65	88.26	153.34	41.52	119.26	57.08	102.25	52.45	90.77	144.01	98.04	1.62	0.0	36.27
