	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZLFU.1426.SM.4WWEU	GTEX.11I78.1326.SM.5PNY9	GTEX.ZDTS.2726.SM.5L3E2	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.TML8.1426.SM.4DXUT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13111.1226.SM.5GCNC	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	GTEX.XPVG.1526.SM.4B66C
HTR1E	2.92	14.35	1.81	0.0	0.0	7.63	3.41	15.91	30.34	20.86	8.65	17.38	0.0	0.0	0.0	0.95	0.33	0.73	0.11	0.11	0.0	0.0	0.11
HTT	260.38	279.14	139.07	163.28	176.29	403.5	373.81	463.65	638.15	514.56	500.46	587.13	122.64	35.25	94.67	450.94	327.56	400.71	389.72	165.57	223.41	318.57	221.86
IGF1R	256.78	435.55	273.37	275.28	176.29	223.41	198.47	500.46	271.48	289.02	363.56	420.68	61.25	40.07	104.42	215.77	86.43	353.59	62.12	76.17	361.04	94.67	52.82
INTS4	343.89	460.44	244.57	265.87	232.94	329.84	450.94	497.0	447.82	384.34	435.55	423.61	0.0	0.71	158.79	497.0	325.29	265.87	208.38	185.11	212.78	293.07	226.54
JAKMIP3	26.86	68.07	8.0	6.62	8.13	31.9	63.89	70.01	75.11	52.08	55.49	46.84	0.0	0.47	0.0	19.39	13.22	1.66	5.45	2.25	0.93	29.27	4.94
KIAA0408	339.14	312.0	283.05	35.25	97.36	1059.11	486.75	532.74	591.22	1008.9	599.49	890.44	0.0	0.07	1.27	460.44	420.68	941.27	178.77	718.08	543.96	295.11	728.11
KIAA1109	486.75	679.29	363.56	353.59	395.18	830.75	1037.29	921.88	974.5	1030.12	884.29	1104.13	0.0	0.77	37.85	1059.11	620.67	551.56	271.48	301.33	444.72	587.13	529.06
KIAA1407	74.06	119.26	33.3	19.97	41.22	111.21	127.89	154.42	231.32	220.32	124.37	215.77	0.0	0.29	13.42	128.79	68.07	44.25	31.9	36.27	32.36	57.89	83.45
KIF6	5.02	9.34	3.41	4.24	13.22	18.97	49.91	63.45	46.5	18.84	47.84	39.79	0.0	0.0	2.14	28.65	7.11	20.71	14.78	55.1	11.04	13.52	11.3
LOH12CR2	74.06	67.12	34.51	10.47	26.28	118.43	75.64	121.79	63.89	85.22	58.71	132.44	0.0	0.0	22.1	54.72	66.65	42.11	37.85	68.55	35.5	24.11	60.39
LPHN1	351.14	769.69	366.09	305.55	141.02	543.96	738.29	915.51	854.13	723.08	743.43	802.41	0.0	0.72	24.11	1119.56	728.11	316.37	180.02	669.92	140.04	708.18	599.49
LRIT3	4.86	5.15	0.0	2.81	1.35	1.91	5.32	8.32	9.56	6.94	8.19	11.47	0.0	0.27	0.0	4.39	3.79	0.93	1.39	0.26	1.07	0.73	8.32
LRRC48	56.28	68.55	49.56	40.07	28.86	72.01	74.58	67.12	138.1	144.01	132.44	110.43	0.0	0.0	14.89	96.01	66.18	49.91	35.76	38.4	61.25	61.25	110.43
MAATS1	69.03	106.63	22.26	19.82	19.53	52.08	159.9	81.71	182.55	137.14	141.02	94.01	0.0	0.32	1.08	182.55	83.45	83.45	18.16	19.82	8.38	30.12	111.99
MAP3K12	450.94	547.75	159.9	183.82	108.9	718.08	493.56	728.11	1208.34	612.11	674.59	961.07	0.0	0.71	26.1	536.45	470.14	412.0	218.79	303.44	389.72	406.31	563.18
MAP3K4	273.37	312.0	189.02	186.4	176.29	341.51	327.56	429.54	397.93	447.82	358.54	366.09	0.0	0.78	99.43	358.54	295.11	275.28	128.79	190.34	115.16	307.69	265.87
MDH1B	24.99	72.01	7.06	7.4	7.57	14.03	56.28	50.27	76.17	48.18	46.84	97.36	0.0	0.0	5.87	63.45	32.59	14.24	12.55	18.7	6.16	24.28	90.14
MGMT	587.13	314.17	450.94	155.5	318.57	332.14	307.69	656.11	587.13	376.41	476.71	376.41	0.0	0.53	59.97	603.67	314.17	314.17	291.04	414.87	363.56	208.38	246.28
MLLT10	559.28	423.61	327.56	297.17	226.54	460.44	684.02	536.45	830.75	665.29	688.78	884.29	0.0	0.55	241.19	733.19	679.29	490.14	269.6	454.09	384.34	595.34	555.41
MROH7	49.21	141.02	29.06	25.35	117.6	120.1	417.77	379.04	651.58	368.65	351.14	454.09	0.0	0.54	0.0	397.93	152.28	126.12	19.39	17.77	4.31	289.02	234.57
MTR	218.79	441.64	127.0	170.25	120.1	529.06	312.0	432.53	397.93	371.22	287.01	500.46	126.12	208.38	23.25	392.44	220.32	201.25	141.02	191.67	170.25	178.77	291.04
MTSS1	309.83	214.27	209.84	87.03	60.39	808.0	503.95	595.34	1015.93	1023.0	848.22	1225.22	0.0	0.92	1340.84	211.31	56.68	190.34	59.13	42.71	167.9	79.45	106.63
MYO15A	16.51	34.26	9.34	7.63	13.42	30.12	55.89	84.04	48.87	55.49	53.19	62.12	0.0	0.37	1.14	95.34	21.94	23.08	8.71	15.11	7.57	9.63	29.27
N4BP3	32.36	70.51	22.92	5.63	8.78	34.75	59.13	68.07	102.97	98.73	84.63	89.51	0.0	0.09	13.42	59.97	22.92	24.28	9.2	18.84	21.16	24.81	28.24
NBEAL2	392.44	251.48	255.0	325.29	255.0	82.87	679.29	1331.57	1015.93	1104.13	665.29	698.41	0.0	1.3	190.34	447.82	256.78	343.89	253.23	136.19	242.88	518.15	251.48
NEIL1	361.04	363.56	211.31	163.28	115.97	346.29	444.72	819.3	1001.93	872.1	780.44	967.76	0.0	1.1	31.45	341.51	329.84	100.13	86.43	70.51	100.13	232.94	208.38
NMNAT3	173.85	251.48	198.47	66.18	95.34	154.42	265.87	237.86	204.07	320.8	226.54	305.55	0.0	0.47	30.12	275.28	80.57	299.25	111.21	256.78	194.36	52.82	228.13
NPIPB7	10.16	3.79	1.16	6.62	0.0	5.28	4.86	23.42	16.39	18.43	13.83	6.94	0.0	0.22	0.0	12.74	3.11	1.87	6.46	5.68	3.89	2.1	6.31
NR2C2	205.5	293.07	144.01	189.02	67.12	197.09	269.6	301.33	224.97	343.89	234.57	339.14	0.0	0.48	23.93	299.25	301.33	275.28	122.64	124.37	275.28	285.03	249.73
NSUN6	126.12	81.71	59.55	66.65	57.49	95.34	136.19	125.24	154.42	143.01	154.42	121.79	0.0	0.29	70.01	98.04	80.01	80.01	44.57	54.72	38.95	57.49	63.89
OGT	1023.0	1096.5	277.2	358.54	400.71	836.53	2178.83	1331.57	2004.85	1685.71	1697.45	2090.03	0.0	1.22	241.19	995.0	612.11	483.38	170.25	204.07	269.6	718.08	575.03
OXER1	36.53	44.25	15.0	5.63	12.64	47.17	101.54	78.34	59.55	62.12	90.14	69.03	0.0	0.38	1.16	92.05	15.22	34.26	18.16	6.57	8.99	51.35	18.97
PARP16	267.73	366.09	271.48	241.19	177.53	277.2	373.81	373.81	351.14	376.41	397.93	341.51	0.0	0.39	45.53	220.32	232.94	291.04	202.66	271.48	297.17	198.47	283.05
PCDHA2	6.06	10.31	2.41	0.0	1.89	3.89	4.43	1.71	9.7	5.06	2.58	5.59	0.0	0.13	0.0	9.85	1.55	2.51	1.45	1.87	0.0	1.6	4.66
PCDHB15	70.01	180.02	57.89	44.57	29.7	142.01	95.34	189.02	156.59	140.04	102.97	136.19	0.0	0.49	2.16	397.93	65.26	104.42	68.07	52.82	61.68	91.41	102.97
PFKFB4	76.17	34.26	29.48	29.06	39.79	43.02	36.79	62.56	63.0	81.14	77.79	52.82	0.0	0.58	60.82	92.7	48.18	75.64	38.12	23.59	28.86	123.5	47.84
PFKM	1508.65	2384.37	967.76	796.86	780.44	2777.33	2090.03	2047.0	2335.28	2004.85	1923.14	1977.24	0.0	0.83	500.46	1551.09	1733.13	1081.39	854.13	1167.14	753.83	1617.0	1340.84
PIAS3	629.35	1551.09	373.81	417.77	301.33	928.3	1662.49	981.29	2367.9	1427.22	1407.55	2319.15	0.0	1.07	229.72	1388.16	1388.16	808.0	438.59	414.87	698.41	1073.91	1119.56
PIDD	253.23	241.19	101.54	120.1	99.43	195.72	361.04	473.41	555.41	463.65	497.0	381.68	0.0	1.01	57.89	323.03	226.54	159.9	78.34	113.56	100.83	204.07	228.13
PLCB2	165.57	125.24	53.19	79.45	189.02	157.68	312.0	325.29	497.0	341.51	291.04	334.46	0.0	0.75	63.0	217.27	164.42	189.02	108.14	77.25	111.99	226.54	162.14
PLCXD1	73.54	85.82	60.39	42.71	43.02	27.44	116.78	223.41	144.01	215.77	87.65	162.14	0.0	0.36	21.78	253.23	61.68	103.69	74.58	72.01	30.56	142.01	67.12
PLK2	356.05	305.55	167.9	110.43	182.55	381.68	392.44	571.05	507.46	567.1	454.09	420.68	0.0	0.16	476.71	872.1	186.4	334.46	392.44	256.78	154.42	547.75	172.65
PPFIBP1	612.11	836.53	327.56	353.59	392.44	780.44	878.17	954.43	743.43	748.61	825.0	848.22	0.0	0.56	231.32	463.65	190.34	521.76	183.82	281.09	316.37	363.56	118.43
PPT2-EGFL8	55.1	83.45	10.79	8.19	32.59	107.38	171.45	137.14	153.34	132.44	193.01	133.36	0.0	0.83	2.41	102.97	56.68	38.4	10.0	23.25	33.06	47.84	61.25
PPWD1	511.0	511.0	287.01	248.0	214.27	414.87	599.49	638.15	842.36	638.15	547.75	718.08	0.0	0.6	193.01	540.19	409.15	241.19	176.29	206.94	189.02	454.09	332.14
RGL1	368.65	353.59	194.36	178.77	105.15	693.58	447.82	447.82	387.02	559.28	493.56	579.04	0.0	0.56	44.89	447.82	444.72	511.0	265.87	368.65	236.21	249.73	320.8
RIMKLB	529.06	1259.69	332.14	248.0	267.73	884.29	988.12	1051.79	1417.35	836.53	842.36	1447.15	0.0	1.01	180.02	1008.9	629.35	316.37	236.21	191.67	346.29	493.56	759.08
RNF214	403.5	457.25	303.44	253.23	255.0	384.34	426.57	432.53	532.74	518.15	514.56	579.04	0.0	0.23	107.38	208.38	303.44	256.78	171.45	264.03	277.2	303.44	293.07
RP11-795F19.5	27.05	78.89	7.88	16.39	8.06	21.01	92.05	48.52	76.17	29.27	65.72	52.45	0.0	0.31	1.46	49.21	24.46	21.94	13.12	7.94	12.27	17.9	16.63
RP5-966M1.6	16.03	23.59	5.82	5.73	8.25	29.7	80.01	92.7	158.79	55.1	90.77	108.9	0.0	0.91	1.46	51.71	27.25	10.39	6.36	4.58	6.41	18.56	24.46
RPGRIP1	6.21	3.56	5.77	1.38	1.14	2.41	13.22	30.34	11.91	7.4	18.03	11.38	0.0	0.01	0.32	7.88	2.39	2.46	0.27	1.11	0.87	2.78	3.5
RUFY3	441.64	665.29	267.73	483.38	303.44	785.88	684.02	603.67	1286.18	842.36	878.17	947.83	0.0	0.87	65.72	579.04	490.14	447.82	591.22	275.28	323.03	633.73	432.53
SEMA6C	220.32	379.04	150.17	28.65	62.12	555.41	316.37	256.78	457.25	312.0	327.56	297.17	0.0	0.59	37.85	206.94	224.97	256.78	119.26	212.78	138.1	366.09	320.8
SERHL2	102.25	149.12	35.5	23.59	43.32	132.44	202.66	181.28	209.84	291.04	198.47	159.9	0.0	0.28	27.44	202.66	69.03	68.07	89.51	31.67	27.44	96.68	56.28
SHANK2	166.73	169.07	59.97	11.47	96.01	107.38	117.6	507.46	336.79	684.02	185.11	441.64	0.0	0.11	26.47	412.0	199.85	94.67	12.55	16.63	96.01	191.67	57.08
SKIV2L	688.78	738.29	429.54	629.35	438.59	684.02	884.29	1477.58	1498.22	1096.5	1066.48	1250.98	0.0	0.96	813.63	1199.98	753.83	698.41	379.04	329.84	334.46	642.59	551.56
SLC12A6	141.02	136.19	74.06	92.05	44.89	105.89	158.79	271.48	217.27	150.17	155.5	167.9	0.0	0.61	48.87	242.88	115.16	249.73	52.82	82.29	209.84	190.34	88.88
SLC2A11	353.59	521.76	206.94	127.0	194.36	291.04	417.77	603.67	638.15	450.94	669.92	490.14	358.54	473.41	35.0	486.75	476.71	176.29	194.36	194.36	105.89	414.87	279.14
SLC2A4RG	1674.06	2609.3	1407.55	780.44	1457.23	2701.35	2895.31	3564.78	4671.57	3103.19	2915.45	4358.66	0.0	0.83	1111.82	6699.25	3874.05	2451.44	2148.82	1685.71	2032.85	2468.49	4671.57
SLC9A5	13.52	9.7	6.78	3.14	3.96	12.36	22.1	28.65	24.46	14.35	24.28	16.63	0.0	0.75	5.77	10.63	6.41	4.94	3.35	1.35	2.32	4.17	4.54
SMG6	748.61	954.43	583.07	466.88	521.76	1143.1	1167.14	884.29	1037.29	947.83	967.76	1096.5	0.0	0.58	94.67	764.36	583.07	684.02	551.56	563.18	679.29	503.95	563.18
SPAG8	77.79	157.68	23.42	12.93	22.26	143.01	144.01	86.43	137.14	115.97	63.45	126.12	0.0	0.06	10.63	109.66	82.87	42.71	26.67	35.76	22.59	75.11	46.18
SPRY3	6.01	8.45	3.69	5.41	1.57	6.67	7.06	7.63	7.46	6.57	9.78	7.17	0.0	0.25	0.0	8.13	4.43	5.54	2.53	3.32	3.5	8.19	4.21
SRGAP3	41.81	47.84	18.16	11.73	13.22	22.59	32.82	105.15	60.82	67.59	48.87	60.39	0.0	0.0	31.67	68.07	43.63	18.29	10.39	30.56	8.38	18.56	24.11
SRSF10	1477.58	1369.04	1008.9	1359.57	1322.37	1322.37	1651.0	1857.6	1331.57	1540.37	1427.22	1477.58	0.0	0.67	1331.57	1923.14	1073.91	1119.56	890.44	764.36	830.75	1008.9	1015.93
STK35	220.32	289.02	130.6	223.41	463.65	371.22	255.0	438.59	327.56	291.04	381.68	318.57	0.0	0.67	53.57	642.59	199.85	248.0	287.01	138.1	229.72	323.03	269.6
STX17	281.09	361.04	262.2	256.78	132.44	323.03	316.37	358.54	275.28	463.65	314.17	414.87	0.0	0.42	96.68	376.41	361.04	373.81	156.59	223.41	305.55	256.78	279.14
SUCO	186.4	185.11	124.37	144.01	101.54	201.25	285.03	281.09	281.09	264.03	239.52	293.07	0.0	0.52	157.68	358.54	154.42	158.79	88.26	112.77	154.42	226.54	176.29
TAL2	0.0	0.0	0.0	0.0	0.0	1.2	5.41	3.29	7.57	5.15	6.11	7.34	0.0	0.04	0.0	9.27	1.97	0.0	1.2	3.69	1.95	1.79	3.72
TCP11L2	351.14	265.87	190.34	100.13	33.54	231.32	262.2	366.09	258.57	226.54	309.83	279.14	0.0	0.23	96.68	265.87	124.37	620.67	43.94	197.09	169.07	255.0	89.51
TDRD3	262.2	224.97	218.79	239.52	190.34	281.09	301.33	412.0	297.17	334.46	262.2	297.17	0.0	0.18	50.98	327.56	211.31	132.44	117.6	186.4	128.79	167.9	152.28
TET2	90.14	86.43	41.22	49.91	31.0	96.68	120.1	151.22	115.16	131.51	115.97	157.68	0.0	0.47	32.82	150.17	130.6	194.36	33.3	74.06	103.69	201.25	127.0
TMEM161B	205.5	149.12	162.14	171.45	103.69	83.45	226.54	208.38	215.77	211.31	197.09	258.57	0.0	0.45	96.01	146.03	129.69	105.15	82.29	100.13	120.1	127.0	128.79
TRIM45	67.12	158.79	22.92	16.15	62.12	67.59	208.38	151.22	241.19	191.67	165.57	260.38	0.0	0.25	14.67	90.14	33.54	54.33	7.46	9.34	17.64	47.84	36.79
TRMT2A	660.68	660.68	480.04	460.44	493.56	723.08	808.0	1208.34	1313.23	1111.82	988.12	1037.29	0.0	0.87	647.07	1008.9	647.07	503.95	361.04	387.02	273.37	642.59	684.02
TTC18	22.75	16.39	2.36	3.0	9.48	29.06	69.03	95.34	150.17	78.34	87.65	163.28	0.0	0.22	5.11	23.59	5.59	4.03	2.53	3.38	2.41	6.52	8.65
TTC21A	62.56	58.3	16.88	26.86	53.57	69.52	98.73	195.72	88.88	145.02	154.42	95.34	0.0	0.43	15.56	128.79	40.07	117.6	35.5	33.54	49.56	85.22	65.26
TTLL3	473.41	688.78	167.9	147.06	341.51	674.59	1191.69	1008.9	2303.12	1662.49	1277.29	1447.15	0.0	1.08	41.22	825.0	547.75	450.94	293.07	105.89	182.55	595.34	473.41
TUB	147.06	178.77	65.26	30.56	42.71	242.88	248.0	132.44	483.38	379.04	361.04	387.02	0.0	0.46	0.88	194.36	223.41	127.0	85.22	98.04	73.54	221.86	159.9
UBE3B	493.56	536.45	400.71	466.88	400.71	591.22	587.13	703.28	503.95	693.58	536.45	836.53	0.0	0.32	450.94	521.76	599.49	490.14	339.14	493.56	603.67	579.04	460.44
USP40	368.65	395.18	154.42	191.67	277.2	334.46	525.39	633.73	896.64	607.87	493.56	708.18	0.0	0.67	175.07	423.61	316.37	303.44	201.25	228.13	223.41	320.8	379.04
VANGL2	136.19	206.94	97.36	74.58	14.45	129.69	211.31	232.94	164.42	103.69	190.34	109.66	0.0	0.59	15.22	271.48	108.9	41.81	12.74	34.51	0.97	346.29	52.82
VAV2	229.72	181.28	98.73	155.5	115.16	226.54	392.44	320.8	454.09	232.94	409.15	279.14	0.0	0.8	143.01	373.81	291.04	130.6	165.57	98.73	178.77	248.0	239.52
