	TCGA.A6.2674.01A.02R.A278.07	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.IG.A3YA.01A.11R.A24K.31	GTEX.WZTO.1726.SM.4PQYV	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.6971.01A.11R.1949.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111FC.1126.SM.5GZWU	TCGA.85.8048.01A.11R.2247.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.43.8115.01A.11R.2247.07	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8364.01A.11R.2343.13	GTEX.12C56.0526.SM.5FQST	GTEX.11EQ9.1226.SM.5987E
FILIP1L	1208.34	1467.37	638.15	995.0	4836.35	30.34	38.95	28.45	115.16	32.13	299.25	336.79	1167.14	81.14	145.02	267.73	132.44	567.1	172.65	212.78	221.86	52.82	559.28	173.85	305.55	507.46	497.0	93.35	79.45	108.9	376.41	131.51	497.0	595.34	332.14	277.2	497.0	0.0	0.33	612.11	713.11	642.59	808.0	2075.59	2591.27	3325.99	6164.49	7382.04
GEM	1427.22	1135.2	743.43	1977.24	2520.38	7.34	20.26	10.0	23.42	29.91	808.0	490.14	1088.92	84.04	221.86	209.84	113.56	607.87	373.81	285.03	147.06	31.9	540.19	490.14	127.0	748.61	647.07	46.84	84.04	32.59	395.18	435.55	559.28	226.54	647.07	429.54	1322.37	0.0	0.15	1304.15	1073.91	1127.35	571.05	3235.01	4010.71	2935.74	7230.1	5633.22
GLI2	70.01	140.04	166.73	358.54	178.77	0.0	0.61	0.0	1.03	1.11	7.28	19.39	53.19	0.22	1.28	7.17	2.68	12.09	2.58	7.51	10.39	4.24	24.63	7.4	2.29	12.55	4.5	3.96	1.23	2.66	3.69	14.56	3.96	0.0	12.93	4.46	52.45	0.0	0.6	38.67	80.01	152.28	125.24	139.07	181.28	395.18	102.25	150.17
GPRASP1	186.4	142.01	178.77	214.27	334.46	3.72	4.86	4.5	10.24	7.75	33.06	33.3	72.01	32.13	38.4	66.18	30.34	35.5	36.79	13.32	26.67	20.11	100.83	39.79	24.46	55.1	43.02	31.45	37.05	38.12	34.51	62.56	24.46	4.74	25.17	37.59	51.71	0.0	0.31	189.02	48.52	90.14	49.91	336.79	149.12	232.94	363.56	314.17
GUCY1A3	884.29	1498.22	503.95	1594.73	890.44	15.34	8.0	18.16	20.26	11.13	106.63	100.83	148.09	30.34	87.65	187.71	31.45	118.43	30.12	24.99	86.43	31.45	167.9	32.36	54.33	36.27	202.66	34.02	36.01	167.9	24.63	341.51	61.68	18.29	126.12	84.63	358.54	0.0	0.39	1051.79	267.73	356.05	287.01	1151.06	633.73	2104.58	896.64	802.41
HSPB2	83.45	575.03	129.69	281.09	738.29	2.84	7.28	6.26	7.63	7.46	60.82	33.54	87.65	7.46	30.56	81.14	20.11	70.01	24.63	38.4	45.85	18.84	93.35	33.54	13.32	44.57	26.86	16.27	50.63	19.11	19.97	43.02	21.94	38.12	58.71	24.63	34.75	0.0	0.41	486.75	81.14	193.01	119.26	332.14	251.48	214.27	728.11	629.35
HYPK	379.04	271.48	242.88	563.18	336.79	111.99	127.0	68.07	94.67	100.13	127.89	127.0	177.53	154.42	153.34	198.47	52.82	140.04	154.42	80.57	124.37	127.0	167.9	249.73	106.63	57.89	176.29	88.88	206.94	44.89	128.79	157.68	150.17	38.67	87.03	106.63	161.02	0.0	0.21	379.04	143.01	140.04	155.5	237.86	191.67	361.04	132.44	316.37
IGFL4	145.02	4.82	62.12	58.71	1.17	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	2.43	2.94	0.0	0.0	0.0	0.0	0.19	0.0	0.0	8.13	0.0	4.9	1.6	0.0	4.28	0.0	0.0	0.0	0.15	0.0	0.22	0.0	4.58	0.0	0.0	13.93	7.94	30.34	42.71	7.4	55.49	5.87	8.71	18.43
ITPRIP	624.99	473.41	346.29	607.87	698.41	140.04	79.45	64.8	61.68	126.12	441.64	130.6	486.75	127.0	158.79	181.28	93.35	289.02	287.01	69.52	130.6	46.18	133.36	346.29	70.01	279.14	256.78	181.28	63.89	162.14	283.05	85.82	297.17	199.85	221.86	69.03	387.02	0.0	0.39	1359.57	540.19	620.67	559.28	603.67	532.74	348.71	921.88	836.53
JAM3	624.99	1313.23	466.88	1104.13	1331.57	48.18	23.08	34.75	45.85	33.06	72.01	42.11	114.36	29.48	53.19	104.42	32.13	84.63	37.85	30.34	51.35	31.22	112.77	56.68	28.45	76.71	71.5	37.05	39.22	52.82	49.21	60.39	71.0	16.27	64.8	57.08	197.09	0.0	0.62	1457.23	289.02	435.55	376.41	1259.69	551.56	1225.22	1304.15	1216.75
KCNE4	612.11	131.51	86.43	111.21	674.59	10.63	12.36	24.46	20.86	7.94	79.45	82.87	139.07	6.41	36.27	14.14	15.34	80.01	17.51	14.03	6.84	4.54	132.44	275.28	13.03	82.29	59.97	21.16	7.63	8.78	79.45	47.84	38.12	76.17	41.81	9.93	201.25	0.0	0.3	186.4	106.63	323.03	226.54	476.71	579.04	536.45	612.11	1191.69
KRT80	163.28	38.67	1397.83	363.56	3.14	0.4	0.37	0.0	1.03	4.54	153.34	9.63	435.55	25.17	14.78	13.62	11.73	40.64	35.5	0.57	34.51	2.76	3.79	480.04	14.35	9.63	44.25	8.99	1.31	33.78	356.05	4.28	1.19	0.0	32.36	17.77	129.69	0.0	0.21	63.0	583.07	432.53	748.61	258.57	59.97	77.25	7.88	75.11
LPAR1	368.65	264.03	199.85	320.8	1551.09	2.51	0.66	0.68	1.07	2.03	74.06	20.86	58.3	7.82	14.89	44.89	32.36	24.63	37.05	10.96	116.78	4.78	63.89	26.47	13.22	70.01	63.89	19.25	15.11	9.78	34.75	120.94	61.68	75.64	18.56	48.18	525.39	0.0	0.8	376.41	403.5	551.56	432.53	297.17	339.14	551.56	1208.34	921.88
MATN1	8.51	4.03	1.35	1.99	7.34	0.45	0.0	0.0	0.0	0.0	0.0	0.0	4.06	3.14	0.38	0.0	0.0	0.39	0.0	0.37	0.0	0.0	1.28	5.15	0.84	3.63	0.0	0.42	4.9	0.0	0.77	0.77	0.74	0.0	0.0	0.0	5.28	0.0	0.12	3.11	1.25	0.92	4.24	0.68	8.32	7.11	3.11	4.28
MB21D2	149.12	90.14	80.57	145.02	131.51	5.63	3.44	4.94	3.41	3.38	33.06	12.27	81.14	1.89	5.06	14.35	6.26	14.56	9.93	1.79	9.41	3.82	35.25	109.66	2.84	34.02	15.0	13.32	4.13	21.94	13.32	9.41	11.82	11.47	11.47	13.03	78.34	0.0	0.33	62.56	71.5	91.41	356.05	173.85	124.37	120.1	126.12	172.65
MLF1	708.18	115.97	48.18	329.84	260.38	5.32	8.32	3.99	2.84	7.0	74.06	34.02	204.07	9.13	24.11	153.34	9.7	34.51	8.25	13.83	4.86	22.43	22.26	123.5	3.23	55.49	46.5	30.56	27.84	52.45	61.68	26.1	71.0	11.21	75.11	23.59	366.09	0.0	0.27	981.29	400.71	890.44	947.83	159.9	144.01	205.5	1628.26	1369.04
MSRB3	785.88	1437.15	669.92	2855.44	2004.85	27.05	14.78	16.88	24.11	9.34	51.71	72.01	239.52	23.42	32.36	127.89	20.41	85.22	42.71	25.54	116.78	18.7	201.25	24.28	35.76	95.34	83.45	25.17	17.64	29.7	45.85	114.36	55.49	55.1	77.79	41.52	205.5	0.0	0.55	1225.22	211.31	420.68	633.73	1923.14	860.08	1757.34	2758.13	2335.28
PDLIM4	435.55	1857.6	872.1	3081.75	2090.03	10.71	4.1	1.17	9.27	3.08	141.02	20.86	140.04	7.82	41.22	30.78	35.5	74.06	26.1	10.16	8.38	42.71	26.47	248.0	9.48	36.53	73.54	9.56	8.92	0.43	36.27	2.46	16.51	6.06	15.45	8.45	387.02	0.0	0.38	303.44	1268.46	1250.98	884.29	2119.22	1151.06	1519.15	5219.6	8421.31
PLAT	660.68	684.02	497.0	7331.05	2485.67	29.06	104.42	24.63	46.5	66.65	387.02	177.53	361.04	80.57	54.72	346.29	42.11	262.2	93.35	58.71	100.83	57.89	253.23	348.71	82.87	161.02	181.28	97.36	53.95	104.42	145.02	231.32	156.59	54.33	279.14	63.89	463.65	0.0	0.73	346.29	1037.29	1008.9	915.51	1651.0	1233.75	1519.15	1467.37	1295.13
PRKG1	206.94	137.14	81.71	368.65	435.55	3.66	2.56	6.94	4.43	1.48	33.3	22.26	50.98	7.51	25.72	35.0	8.45	40.64	7.63	8.65	18.03	5.73	49.56	9.56	10.47	24.99	37.85	13.03	8.85	10.39	14.35	44.57	27.84	9.48	36.53	29.27	53.95	0.0	0.39	521.76	48.18	103.69	169.07	325.29	134.3	273.37	180.02	144.01
PTGS2	2664.15	101.54	890.44	169.07	1044.52	0.47	0.0	0.44	0.83	1.36	299.25	46.18	154.42	17.13	72.01	37.05	43.02	136.19	54.72	60.39	85.22	17.51	83.45	232.94	9.85	51.35	232.94	4.43	20.86	5.15	185.11	167.9	76.71	39.79	122.64	85.22	1313.23	0.0	0.03	6561.36	738.29	366.09	73.54	297.17	529.06	327.56	674.59	1447.15
RNF150	152.28	133.36	63.89	212.78	224.97	0.59	0.0	1.36	0.55	0.59	17.9	12.55	54.72	2.53	9.06	37.05	15.68	23.76	3.14	1.85	7.57	7.11	33.06	2.76	6.84	8.06	21.32	12.09	5.92	4.1	18.7	23.25	16.75	1.55	29.27	7.88	55.89	0.0	0.26	112.77	71.0	32.59	35.0	406.31	104.42	293.07	426.57	414.87
SEMA3C	1088.92	156.59	248.0	348.71	941.27	1.83	0.55	0.0	0.92	1.81	17.38	11.82	29.48	1.43	4.66	25.54	17.38	45.85	4.9	8.78	32.13	1.68	44.89	21.63	0.43	6.16	49.56	2.68	9.06	3.0	16.63	16.75	5.02	3.86	18.56	20.41	198.47	0.0	0.55	698.41	223.41	563.18	547.75	1225.22	647.07	1883.54	1519.15	785.88
SLC25A36	1225.22	642.59	872.1	733.19	1096.5	14.45	11.47	6.89	14.78	14.78	180.02	26.86	205.5	16.63	16.27	81.71	10.63	64.34	38.4	37.05	60.39	12.36	69.52	65.26	19.53	204.07	122.64	14.78	18.43	114.36	91.41	153.34	76.17	7.94	50.98	27.64	642.59	0.0	0.6	1096.5	651.58	656.11	1015.93	1081.39	902.89	1250.98	547.75	303.44
STON1	447.82	420.68	334.46	665.29	518.15	5.45	4.98	16.03	10.47	12.36	26.47	18.29	73.03	12.83	21.01	44.57	9.7	25.35	22.26	7.46	38.4	15.8	50.63	14.24	25.54	31.9	40.64	6.16	19.53	18.97	23.59	32.82	42.71	17.38	40.07	21.78	82.87	0.0	0.57	183.82	173.85	156.59	186.4	785.88	420.68	928.3	1167.14	1051.79
TCEAL7	107.38	172.65	92.7	214.27	392.44	4.06	2.1	3.79	7.51	4.86	43.63	47.17	81.14	13.83	61.68	60.39	27.64	66.18	21.94	27.64	18.97	27.44	66.65	69.52	44.25	48.87	47.17	18.43	14.78	28.86	35.76	82.87	34.26	12.27	33.06	20.11	52.08	0.0	0.26	1044.52	412.0	106.63	72.01	392.44	157.68	309.83	500.46	281.09
TMEM71	389.72	193.01	126.12	186.4	277.2	10.47	11.55	4.7	3.66	4.03	52.45	22.1	42.71	16.15	16.75	44.57	27.84	59.55	46.18	18.7	22.26	30.56	46.18	62.56	49.21	53.57	68.07	20.11	25.35	16.63	100.83	81.14	48.18	47.84	29.27	27.05	138.1	0.0	0.53	221.86	91.41	135.24	85.82	169.07	52.45	87.03	166.73	119.26
TTR	0.0	5.36	5.68	0.04	32.36	237899.7	462789.59	78476.96	28132.47	299043.36	1093103.58	546551.29	368165.8	716197.51	1221310.69	971597.0	1589343.01	805764.22	978355.0	1556634.79	932018.1	1432396.03	857631.47	2247670.86	2068278.89	857631.47	1442359.14	875652.15	1318073.06	1196176.45	1048575.0	1393227.06	2111737.85	958220.73	1556634.79	1775752.63	0.0	0.0	0.17	32.59	0.0	0.0	0.0	37.32	1883.54	72.52	6.62	4.74
TUBB6	2796.65	4543.8	3349.13	5594.3	3081.75	384.34	1015.93	403.5	303.44	438.59	743.43	703.28	974.5	518.15	703.28	693.58	638.15	414.87	693.58	417.77	1175.27	571.05	785.88	1044.52	813.63	825.0	842.36	195.72	733.19	429.54	633.73	379.04	738.29	460.44	759.08	738.29	1183.45	0.0	0.8	896.64	2434.5	2367.9	2018.8	3419.52	2163.77	2976.74	9025.81	9740.98
UST	118.43	166.73	146.03	201.25	170.25	10.79	6.57	27.05	3.5	9.48	20.86	16.03	224.97	21.63	46.18	28.45	9.56	38.4	6.11	19.68	56.68	2.86	35.25	48.87	14.78	8.58	78.89	72.52	9.06	26.47	21.16	88.88	23.08	8.85	163.28	78.34	130.6	0.0	0.55	463.65	146.03	126.12	170.25	126.12	92.05	215.77	363.56	514.56
WFIKKN2	3.47	3.96	41.22	3.17	6.11	0.47	0.8	0.0	0.0	0.0	0.93	0.28	3.72	0.27	1.53	0.92	1.64	1.64	0.0	0.0	0.29	2.03	0.96	7.11	0.96	2.39	2.86	0.33	0.0	1.08	0.0	0.25	0.79	0.35	5.68	0.89	6.21	0.0	0.0	7.94	0.97	2.53	1.79	12.36	16.39	12.55	16.63	8.71
ZEB2	1051.79	624.99	389.72	665.29	1857.6	54.72	32.36	27.44	51.35	28.45	457.25	183.82	529.06	105.15	177.53	497.0	197.09	253.23	149.12	55.1	231.32	91.41	400.71	295.11	163.28	384.34	429.54	156.59	141.02	297.17	258.57	414.87	299.25	62.12	293.07	224.97	603.67	215.77	85.82	2018.8	412.0	551.56	647.07	551.56	543.96	1359.57	825.0	476.71
ZNF462	320.8	232.94	346.29	403.5	371.22	4.43	4.43	6.67	6.36	9.56	21.63	13.22	81.14	2.71	16.03	35.5	14.89	38.67	22.1	10.55	23.25	8.13	27.25	88.26	13.12	18.03	28.45	9.63	15.56	16.15	9.7	26.86	48.87	1.71	29.27	3.5	146.03	54.33	106.63	397.93	157.68	106.63	117.6	150.17	215.77	205.5	241.19	156.59
