	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.Y5LM.1526.SM.4VDTA	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZT9W.1826.SM.51MQX
PHIP	521.76	460.44	381.68	299.25	547.75	490.14	607.87	521.76	620.67	665.29	307.69	299.25	327.56	98.04	269.6	96.68	85.22	143.01	78.89	33.78	107.38	80.01	120.1	90.77	87.65	131.51	142.01	83.45	125.24	107.38	65.72	98.04	131.51	85.82	57.49	81.14	60.39	78.89	104.42	108.14	93.35	157.68	103.69	71.0	120.94	102.25	103.69	98.73	98.73	173.85	81.71	96.68	83.45	150.17	63.89	157.68	157.68	87.65	170.25	180.02	62.12
PIAS2	226.54	221.86	218.79	309.83	264.03	251.48	271.48	204.07	269.6	237.86	197.09	309.83	204.07	73.03	183.82	142.01	142.01	180.02	96.01	59.13	105.15	88.26	194.36	123.5	109.66	145.02	199.85	108.9	177.53	135.24	73.03	121.79	208.38	159.9	108.14	124.37	77.25	109.66	86.43	123.5	112.77	267.73	148.09	112.77	89.51	110.43	149.12	120.1	139.07	329.84	98.73	134.3	172.65	180.02	119.26	221.86	211.31	122.64	131.51	127.0	74.58
POLR3C	616.37	748.61	802.41	583.07	733.19	660.68	612.11	591.22	748.61	638.15	665.29	583.07	656.11	291.04	563.18	400.71	329.84	403.5	368.65	221.86	307.69	299.25	414.87	320.8	323.03	480.04	301.33	279.14	460.44	291.04	167.9	406.31	463.65	327.56	358.54	457.25	334.46	297.17	309.83	293.07	307.69	426.57	318.57	327.56	327.56	301.33	291.04	376.41	417.77	480.04	265.87	275.28	356.05	348.71	314.17	389.72	412.0	381.68	343.89	409.15	285.03
POLR3F	183.82	269.6	253.23	242.88	231.32	218.79	267.73	206.94	249.73	271.48	197.09	242.88	220.32	97.36	258.57	105.15	119.26	109.66	81.14	72.52	68.55	82.29	119.26	95.34	104.42	102.25	153.34	69.03	105.89	79.45	73.54	78.89	135.24	84.04	102.25	116.78	110.43	108.14	72.01	96.68	94.01	142.01	104.42	74.58	96.68	120.1	80.01	84.04	134.3	144.01	73.54	84.63	100.13	98.73	77.79	140.04	171.45	108.14	151.22	119.26	100.13
PPM1K	258.57	229.72	332.14	109.66	529.06	417.77	195.72	201.25	309.83	363.56	332.14	109.66	251.48	54.33	58.71	57.89	53.57	86.43	52.45	31.45	59.13	47.84	65.26	39.79	44.57	135.24	59.97	30.78	51.71	44.89	12.74	63.45	191.67	38.67	42.71	63.0	81.14	22.92	48.87	41.81	63.45	109.66	72.52	38.95	88.26	56.28	24.46	50.63	114.36	70.51	37.59	42.11	37.32	85.22	59.13	144.01	91.41	48.52	172.65	113.56	25.91
PREPL	1037.29	860.08	928.3	743.43	860.08	1143.1	974.5	967.76	1096.5	1175.27	836.53	743.43	796.86	297.17	551.56	409.15	291.04	397.93	301.33	277.2	356.05	291.04	454.09	397.93	242.88	366.09	387.02	420.68	283.05	435.55	392.44	406.31	441.64	309.83	253.23	423.61	249.73	305.55	473.41	334.46	363.56	490.14	356.05	289.02	353.59	287.01	314.17	376.41	301.33	373.81	256.78	323.03	325.29	423.61	244.57	497.0	460.44	395.18	563.18	514.56	201.25
PRMT10	194.36	204.07	177.53	191.67	229.72	214.27	214.27	170.25	218.79	237.86	167.9	191.67	201.25	105.89	111.21	69.52	85.82	76.71	63.89	68.07	65.72	100.83	90.14	90.14	60.39	95.34	75.64	67.12	60.39	61.68	94.01	76.71	101.54	61.25	49.56	96.01	86.43	77.25	87.65	61.68	68.55	120.1	77.79	70.01	61.68	87.03	56.68	118.43	62.12	117.6	53.57	83.45	69.03	98.73	78.34	120.94	110.43	89.51	121.79	118.43	59.55
PTEN	1111.82	1073.91	1088.92	1487.87	1242.34	1331.57	1216.75	1331.57	1259.69	1208.34	1175.27	1487.87	802.41	651.58	551.56	866.07	521.76	915.51	483.38	397.93	748.61	575.03	684.02	633.73	547.75	947.83	674.59	579.04	738.29	860.08	629.35	392.44	713.11	532.74	547.75	532.74	536.45	414.87	872.1	620.67	587.13	1044.52	507.46	612.11	518.15	320.8	536.45	693.58	603.67	769.69	476.71	583.07	507.46	518.15	529.06	902.89	656.11	620.67	595.34	866.07	438.59
R3HDM2	819.3	791.35	1008.9	769.69	909.17	866.07	866.07	1044.52	1104.13	967.76	743.43	769.69	759.08	444.72	890.44	607.87	376.41	532.74	490.14	236.21	547.75	358.54	511.0	366.09	373.81	607.87	441.64	444.72	698.41	503.95	229.72	397.93	674.59	381.68	438.59	376.41	267.73	269.6	532.74	532.74	457.25	780.44	536.45	395.18	503.95	351.14	563.18	500.46	429.54	698.41	323.03	334.46	536.45	571.05	293.07	713.11	521.76	414.87	612.11	830.75	287.01
RAB8B	420.68	318.57	343.89	457.25	271.48	343.89	525.39	318.57	486.75	463.65	379.04	457.25	301.33	122.64	144.01	118.43	76.71	123.5	96.01	42.11	118.43	116.78	101.54	94.67	92.05	206.94	105.89	78.34	100.13	118.43	88.88	115.16	237.86	111.21	79.45	71.0	111.99	87.03	183.82	85.22	136.19	264.03	149.12	90.14	132.44	102.97	115.16	87.65	146.03	277.2	68.07	122.64	79.45	138.1	78.89	253.23	244.57	84.04	198.47	183.82	70.51
RBM48	251.48	312.0	314.17	199.85	318.57	314.17	435.55	341.51	361.04	334.46	289.02	199.85	395.18	109.66	273.37	218.79	91.41	162.14	190.34	127.89	197.09	156.59	197.09	176.29	137.14	206.94	169.07	126.12	151.22	191.67	135.24	147.06	217.27	132.44	125.24	173.85	189.02	138.1	181.28	140.04	182.55	173.85	201.25	152.28	183.82	169.07	140.04	205.5	150.17	142.01	111.21	125.24	171.45	177.53	79.45	287.01	173.85	154.42	271.48	232.94	138.1
RBMX	4769.75	5366.37	5672.41	3081.75	4704.07	4419.52	4736.79	3928.15	6471.02	4704.07	4769.75	3081.75	4181.07	1369.04	5112.16	2303.12	2451.44	2319.15	2255.7	1605.83	2351.53	1857.6	2451.44	2255.7	1977.24	3168.41	2255.7	1950.0	2319.15	1819.35	1051.79	1844.76	2935.74	1628.26	2119.22	2367.9	2255.7	2119.22	1896.65	2047.0	2255.7	3325.99	2468.49	2287.2	1950.0	2303.12	2061.24	2287.2	2627.46	2739.08	1794.29	1844.76	2303.12	2400.97	1977.24	3018.3	2855.44	2193.99	2875.3	2835.7	1769.57
RCBTB1	387.02	368.65	389.72	265.87	312.0	384.34	414.87	351.14	395.18	371.22	275.28	265.87	341.51	113.56	221.86	85.82	79.45	151.22	70.01	27.84	96.01	100.83	113.56	87.03	87.65	157.68	101.54	69.03	112.77	65.72	47.17	99.43	194.36	76.71	86.43	67.12	97.36	48.52	101.54	88.26	105.89	142.01	107.38	85.22	74.58	87.03	112.77	72.52	116.78	172.65	72.52	81.71	74.06	122.64	51.35	154.42	169.07	96.01	165.57	151.22	41.52
RGS6	23.42	60.82	45.21	60.39	92.05	61.25	97.36	60.82	70.01	44.89	14.89	60.39	37.85	25.91	9.93	9.13	16.27	7.88	6.89	3.89	9.56	17.77	14.56	16.15	4.1	12.45	7.34	5.45	7.69	9.93	3.89	9.27	18.7	4.35	11.73	5.54	13.93	1.45	18.97	4.78	10.08	42.11	5.02	4.98	3.56	14.89	2.92	7.0	4.66	29.27	6.16	14.89	3.32	29.48	5.11	30.78	10.24	16.63	33.3	37.59	6.26
RNF38	753.83	791.35	775.05	507.46	769.69	830.75	896.64	813.63	866.07	884.29	607.87	507.46	656.11	175.07	351.14	231.32	224.97	356.05	237.86	156.59	228.13	202.66	309.83	258.57	204.07	265.87	289.02	185.11	281.09	226.54	163.28	224.97	373.81	215.77	173.85	212.78	218.79	182.55	234.57	201.25	228.13	309.83	221.86	208.38	248.0	202.66	253.23	232.94	256.78	400.71	205.5	191.67	241.19	295.11	194.36	460.44	447.82	239.52	366.09	371.22	169.07
RPAIN	708.18	738.29	902.89	595.34	934.76	836.53	802.41	967.76	995.0	842.36	612.11	595.34	808.0	392.44	595.34	490.14	480.04	480.04	483.38	303.44	483.38	432.53	612.11	551.56	466.88	587.13	447.82	309.83	688.78	373.81	141.02	429.54	571.05	409.15	400.71	384.34	397.93	373.81	363.56	457.25	363.56	688.78	493.56	432.53	444.72	423.61	426.57	368.65	490.14	665.29	291.04	395.18	612.11	503.95	395.18	490.14	647.07	490.14	575.03	624.99	438.59
SESN3	507.46	591.22	559.28	361.04	698.41	518.15	511.0	819.3	693.58	587.13	417.77	361.04	395.18	49.91	69.52	104.42	34.02	102.25	149.12	37.05	80.01	35.25	166.73	84.63	77.25	136.19	76.17	34.26	82.29	68.07	38.95	33.3	63.0	45.21	42.11	101.54	54.33	27.84	110.43	48.18	113.56	325.29	141.02	150.17	94.67	18.29	98.04	147.06	70.01	71.0	60.39	52.82	77.79	122.64	26.86	234.57	66.65	62.12	111.99	228.13	42.71
SLC7A6OS	246.28	277.2	312.0	239.52	323.03	301.33	318.57	287.01	273.37	297.17	256.78	239.52	271.48	127.89	303.44	193.01	224.97	244.57	208.38	141.02	232.94	193.01	264.03	206.94	163.28	271.48	195.72	201.25	217.27	244.57	120.1	202.66	299.25	141.02	181.28	181.28	177.53	158.79	183.82	234.57	181.28	199.85	201.25	165.57	262.2	287.01	191.67	275.28	218.79	171.45	166.73	177.53	214.27	231.32	123.5	343.89	212.78	215.77	305.55	258.57	183.82
SMAD5	669.92	679.29	591.22	616.37	587.13	796.86	860.08	698.41	825.0	819.3	769.69	616.37	503.95	149.12	368.65	187.71	148.09	175.07	127.0	77.79	158.79	113.56	241.19	182.55	133.36	236.21	182.55	152.28	201.25	217.27	106.63	181.28	242.88	127.0	128.79	154.42	128.79	126.12	206.94	127.89	159.9	299.25	181.28	132.44	161.02	148.09	144.01	190.34	194.36	253.23	128.79	121.79	172.65	193.01	126.12	277.2	264.03	158.79	253.23	269.6	94.01
SNRNP48	211.31	198.47	197.09	130.6	236.21	208.38	281.09	198.47	248.0	221.86	171.45	130.6	194.36	98.04	185.11	133.36	113.56	136.19	97.36	106.63	162.14	102.97	157.68	125.24	99.43	208.38	145.02	98.73	146.03	155.5	112.77	123.5	142.01	119.26	71.0	107.38	101.54	98.73	158.79	163.28	143.01	162.14	140.04	137.14	153.34	106.63	155.5	118.43	108.14	107.38	96.68	94.67	146.03	156.59	72.52	194.36	129.69	106.63	198.47	231.32	98.73
SNW1	1417.35	1519.15	1427.22	1191.69	1427.22	1359.57	1561.89	1388.16	1617.0	1477.58	1397.83	1191.69	1519.15	896.64	1709.26	1008.9	842.36	1175.27	1059.11	915.51	915.51	1030.12	954.43	1135.2	1127.35	1233.75	842.36	1030.12	915.51	825.0	642.59	909.17	1167.14	988.12	796.86	890.44	967.76	1096.5	872.1	854.13	1104.13	1199.98	1159.07	1081.39	759.08	819.3	967.76	988.12	1096.5	1233.75	848.22	866.07	909.17	1135.2	928.3	1268.46	1051.79	1023.0	995.0	1135.2	878.17
SOS1	490.14	571.05	514.56	563.18	450.94	486.75	708.18	660.68	620.67	567.1	403.5	563.18	353.59	244.57	289.02	215.77	201.25	211.31	231.32	85.82	208.38	164.42	248.0	183.82	171.45	253.23	241.19	239.52	173.85	246.28	214.27	125.24	249.73	131.51	148.09	220.32	138.1	164.42	341.51	214.27	267.73	248.0	171.45	242.88	211.31	182.55	287.01	206.94	162.14	312.0	241.19	275.28	271.48	248.0	127.0	348.71	273.37	166.73	432.53	384.34	195.72
SP3	1397.83	1378.57	1268.46	941.27	1407.55	1388.16	1617.0	1216.75	1477.58	1551.09	1199.98	941.27	1225.22	441.64	1059.11	579.04	447.82	708.18	444.72	312.0	612.11	457.25	743.43	521.76	540.19	665.29	785.88	536.45	669.92	738.29	616.37	595.34	603.67	454.09	291.04	460.44	397.93	381.68	791.35	457.25	660.68	802.41	559.28	555.41	559.28	336.79	698.41	698.41	450.94	665.29	514.56	629.35	591.22	579.04	305.55	764.36	759.08	612.11	559.28	884.29	371.22
SPATA7	177.53	325.29	253.23	146.03	301.33	226.54	236.21	251.48	291.04	301.33	236.21	146.03	218.79	74.58	101.54	94.67	104.42	76.17	87.65	39.5	79.45	81.71	110.43	88.26	87.03	127.0	98.73	48.87	95.34	71.5	85.22	77.25	124.37	67.59	80.01	77.79	76.17	54.72	87.65	72.01	76.17	153.34	104.42	88.26	92.05	63.45	69.03	125.24	90.14	107.38	48.87	118.43	84.04	101.54	65.26	140.04	100.13	123.5	135.24	140.04	55.89
SPOPL	555.41	444.72	387.02	435.55	647.07	547.75	669.92	624.99	629.35	642.59	607.87	435.55	575.03	180.02	232.94	193.01	140.04	229.72	147.06	89.51	169.07	147.06	197.09	167.9	164.42	166.73	206.94	152.28	186.4	208.38	176.29	157.68	201.25	139.07	90.77	156.59	124.37	190.34	301.33	170.25	171.45	305.55	144.01	169.07	162.14	95.34	208.38	183.82	132.44	279.14	175.07	189.02	176.29	164.42	118.43	244.57	281.09	143.01	218.79	231.32	127.89
SRSF10	1651.0	1721.16	1883.54	1250.98	1781.89	1883.54	2271.4	1685.71	2075.59	2351.53	1617.0	1250.98	1605.83	1104.13	2319.15	1143.1	1331.57	1242.34	988.12	738.29	1242.34	974.5	1359.57	1167.14	1359.57	1721.16	1697.45	1001.93	1551.09	1259.69	878.17	1167.14	1572.76	1051.79	961.07	1167.14	1015.93	1167.14	1583.71	1594.73	1437.15	1794.29	1427.22	967.76	1119.56	1369.04	1277.29	1295.13	1127.35	1662.49	1199.98	1233.75	1572.76	1378.57	981.29	1819.35	1697.45	1250.98	1733.13	1594.73	1104.13
STOX2	67.12	81.71	79.45	27.44	74.06	75.11	83.45	66.18	82.29	105.15	43.63	27.44	54.72	2.18	5.54	17.25	12.18	10.0	12.09	4.5	12.93	17.0	30.34	10.88	9.85	20.71	40.36	9.27	24.63	6.36	2.48	19.97	25.91	13.52	9.93	14.56	12.64	7.94	25.72	19.68	28.04	33.54	18.43	9.78	16.27	9.56	4.94	17.51	9.7	29.06	22.59	15.0	7.4	17.51	12.18	22.92	38.4	22.92	27.05	29.06	11.3
TBX19	104.42	117.6	125.24	31.67	90.14	82.29	88.26	86.43	91.41	99.43	55.49	31.67	112.77	26.1	25.91	37.85	29.06	20.41	32.59	24.63	28.86	23.42	45.21	35.76	29.48	28.86	24.99	14.35	29.48	21.94	22.43	20.56	36.27	20.71	18.56	26.28	31.67	13.03	24.99	24.11	31.0	52.82	32.36	19.11	30.78	13.42	17.9	44.57	21.01	38.95	18.7	23.76	22.26	34.26	17.0	42.41	33.3	19.53	59.55	46.84	25.91
