	TCGA.ED.A627.01A.12R.A311.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CE.A485.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.DJ.A4V5.01A.11R.A250.07
SNRNP70	4152.18	3419.52	733.19	2075.59	1135.2	1437.15	2075.59	2573.36	1340.84	2573.36	2485.67	2351.53	2148.82	2018.8	1896.65	1487.87	1487.87	2287.2	1721.16	1277.29	2047.0	2193.99	1936.53	2319.15	1697.45	10014.87	8778.97	6426.31	3168.41	9673.69	7589.61	3491.39	7032.37	4358.66	3874.05	6250.56	6207.38	4358.66	4937.99	5751.61	6840.04	7642.41	7857.29	7180.15
SPRY4	194.36	327.56	61.68	151.22	83.45	191.67	255.0	69.03	66.18	289.02	173.85	130.6	128.79	127.89	58.3	68.07	81.71	103.69	140.04	95.34	236.21	218.79	87.03	74.06	79.45	1216.75	616.37	480.04	400.71	1832.01	1313.23	463.65	624.99	612.11	381.68	713.11	1111.82	414.87	334.46	486.75	708.18	753.83	825.0	791.35
STK25	1769.57	1605.83	748.61	1159.07	703.28	785.88	1407.55	1030.12	1059.11	1119.56	1073.91	1143.1	854.13	1127.35	1088.92	813.63	941.27	1151.06	785.88	866.07	1208.34	1397.83	1208.34	1216.75	1127.35	3190.46	2895.31	2032.85	1832.01	3491.39	3168.41	2032.85	2777.33	1909.85	2351.53	2434.5	2520.38	2351.53	2032.85	2434.5	2935.74	2520.38	3190.46	2520.38
STRN4	808.0	638.15	249.73	403.5	197.09	260.38	339.14	301.33	301.33	476.71	483.38	351.14	384.34	332.14	273.37	358.54	400.71	332.14	281.09	199.85	346.29	514.56	339.14	703.28	236.21	1369.04	1233.75	896.64	1015.93	1457.23	1104.13	884.29	1651.0	1127.35	1313.23	1721.16	1277.29	1268.46	1023.0	1498.22	1519.15	1378.57	1388.16	1498.22
STX16	466.88	406.31	151.22	283.05	224.97	183.82	316.37	341.51	232.94	356.05	249.73	327.56	309.83	256.78	262.2	182.55	231.32	295.11	277.2	153.34	253.23	336.79	249.73	239.52	297.17	1583.71	974.5	780.44	583.07	1378.57	1023.0	759.08	1044.52	802.41	511.0	1008.9	733.19	718.08	769.69	842.36	902.89	854.13	890.44	988.12
SUPT7L	507.46	417.77	242.88	356.05	275.28	318.57	387.02	366.09	255.0	381.68	299.25	348.71	295.11	262.2	303.44	246.28	320.8	299.25	236.21	164.42	236.21	325.29	297.17	260.38	293.07	896.64	684.02	642.59	674.59	825.0	884.29	579.04	769.69	660.68	567.1	769.69	808.0	591.22	647.07	660.68	796.86	775.05	780.44	748.61
TJAP1	435.55	339.14	163.28	265.87	143.01	208.38	267.73	271.48	226.54	273.37	295.11	234.57	262.2	237.86	172.65	187.71	137.14	183.82	170.25	119.26	232.94	224.97	215.77	239.52	183.82	764.36	607.87	507.46	473.41	688.78	764.36	497.0	665.29	563.18	463.65	599.49	599.49	571.05	540.19	529.06	708.18	579.04	698.41	629.35
TMEM173	848.22	1081.39	183.82	441.64	226.54	208.38	287.01	341.51	283.05	629.35	141.02	293.07	305.55	194.36	255.0	165.57	178.77	134.3	125.24	77.25	323.03	291.04	148.09	293.07	182.55	4298.64	2935.74	2075.59	1806.78	3847.29	7130.55	769.69	4328.55	2400.97	1923.14	2682.69	3280.18	2163.77	1819.35	2855.44	3280.18	2573.36	3081.75	3901.01
TMOD2	42.11	61.68	7.28	16.63	24.63	11.21	12.93	24.63	16.27	11.73	3.96	16.15	12.27	8.45	15.8	8.13	9.63	6.62	13.32	2.34	10.31	21.63	8.45	10.55	11.04	120.1	76.71	65.26	66.65	156.59	131.51	56.28	108.9	65.72	37.85	99.43	123.5	35.76	43.02	57.49	68.55	82.87	108.9	89.51
TTLL3	403.5	215.77	26.86	85.22	45.85	21.78	104.42	121.79	59.55	115.16	66.18	158.79	100.83	75.11	84.04	44.89	95.34	51.35	69.52	39.5	87.03	92.7	71.0	85.22	55.49	1551.09	1233.75	769.69	444.72	1457.23	1594.73	507.46	1304.15	679.29	395.18	884.29	713.11	543.96	674.59	954.43	1208.34	974.5	1331.57	1044.52
UBQLNL	5.77	4.9	1.04	4.5	1.5	2.61	4.31	6.67	2.86	7.63	0.45	8.99	1.85	1.93	4.46	0.0	4.06	3.92	3.38	3.44	0.21	5.41	1.13	4.03	6.21	32.82	22.75	8.45	10.88	21.16	28.65	9.93	27.44	10.63	10.24	16.51	17.13	7.0	8.99	11.13	18.7	19.25	31.45	24.28
ZNF133	191.67	128.79	52.82	114.36	46.84	44.57	111.99	89.51	84.04	110.43	93.35	99.43	64.8	78.89	66.18	47.5	82.29	87.65	52.82	42.71	85.22	120.94	62.56	74.06	67.59	454.09	392.44	316.37	299.25	432.53	351.14	237.86	406.31	373.81	285.03	348.71	368.65	253.23	279.14	336.79	441.64	351.14	409.15	387.02
ZNF211	101.54	141.02	11.91	51.71	31.22	40.93	69.03	148.09	53.57	55.49	22.26	48.87	39.5	32.82	43.32	22.26	52.08	39.22	35.5	23.42	45.85	53.57	36.53	28.45	48.87	595.34	361.04	273.37	277.2	414.87	320.8	221.86	343.89	314.17	186.4	293.07	283.05	241.19	226.54	279.14	392.44	341.51	460.44	339.14
