	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.BA.5557.01A.01R.1514.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.13N11.0326.SM.5LUA3	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.EL.A3ZT.01A.12R.A23N.07	GTEX.12584.0826.SM.5FQSK	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13QJC.0826.SM.5RQKC	GTEX.V1D1.0926.SM.4JBHQ
AMT	1295.13	1331.57	1733.13	2758.13	15.0	1135.2	909.17	1073.91	514.56	486.75	139.07	201.25	165.57	205.5	1225.22	346.29	148.09	158.79	36.01	74.58	105.89	84.63	438.59	267.73	212.78	796.86	387.02	119.26	281.09	1023.0	476.71	172.65	503.95	363.56	289.02	159.9	101.54	190.34	775.05	165.57	68.07	665.29	137.14	616.37	287.01	41.52	591.22	115.16	480.04	115.16	514.56	303.44	536.45	351.14	108.14	208.38	58.71	3.72	1369.04	1397.83	1806.78	848.22	1135.2
ANKRD10	4481.23	5147.73	4671.57	4066.71	529.06	4512.4	4972.34	366.09	318.57	275.28	819.3	842.36	825.0	587.13	2573.36	629.35	872.1	656.11	1242.34	603.67	603.67	669.92	1119.56	1044.52	909.17	1001.93	1242.34	674.59	813.63	1259.69	836.53	1216.75	1225.22	2148.82	995.0	1721.16	703.28	703.28	1781.89	738.29	457.25	1259.69	460.44	1447.15	599.49	551.56	1369.04	813.63	854.13	674.59	1427.22	796.86	1350.18	1008.9	540.19	1313.23	480.04	170.25	2875.3	2956.17	2520.38	2287.2	2835.7
ANKRD36	389.72	441.64	693.58	511.0	12.09	348.71	299.25	0.0	14.35	7.17	31.9	50.27	35.5	55.1	163.28	40.36	69.52	56.68	43.63	34.51	40.07	55.1	48.87	64.34	46.5	86.43	44.89	56.28	57.89	90.77	81.14	89.51	87.03	75.11	69.03	33.06	36.01	49.91	138.1	49.56	48.87	120.94	16.75	125.24	67.59	19.39	117.6	58.71	63.45	61.25	104.42	93.35	87.65	79.45	68.55	164.42	17.38	4.13	371.22	279.14	265.87	162.14	220.32
ANKZF1	1697.45	2537.92	2119.22	1857.6	297.17	3325.99	2664.15	208.38	115.16	190.34	114.36	329.84	258.57	190.34	1059.11	432.53	249.73	358.54	297.17	379.04	251.48	264.03	368.65	830.75	178.77	575.03	438.59	229.72	341.51	796.86	647.07	395.18	1037.29	728.11	460.44	579.04	305.55	450.94	547.75	381.68	279.14	607.87	291.04	518.15	303.44	224.97	679.29	301.33	412.0	293.07	470.14	397.93	366.09	432.53	341.51	785.88	134.3	83.45	1832.01	1662.49	1498.22	1498.22	1167.14
AP1G2	1709.26	2178.83	1674.06	1617.0	595.34	5112.16	2935.74	260.38	82.87	51.35	444.72	575.03	718.08	603.67	3419.52	1757.34	587.13	738.29	718.08	1487.87	748.61	967.76	1151.06	3419.52	500.46	1081.39	1250.98	591.22	1175.27	1923.14	1350.18	1191.69	1870.53	3491.39	1015.93	624.99	808.0	1286.18	2956.17	1015.93	780.44	1870.53	848.22	1183.45	624.99	759.08	1639.59	669.92	988.12	599.49	1051.79	1268.46	2193.99	1183.45	748.61	819.3	299.25	320.8	3589.58	2468.49	2485.67	3060.45	3190.46
ARGLU1	6983.79	7803.01	7433.4	7081.29	351.14	7911.95	5292.48	152.28	363.56	279.14	1397.83	1417.35	1225.22	1407.55	2720.15	1135.2	1151.06	1233.75	1487.87	941.27	1242.34	995.0	1594.73	1963.57	1832.01	1857.6	2417.67	802.41	1617.0	3257.52	2287.2	1832.01	3955.48	2303.12	1991.0	2163.77	1088.92	1936.53	2645.74	1594.73	866.07	2104.58	1216.75	2090.03	967.76	476.71	3212.66	1242.34	1151.06	759.08	2451.44	1457.23	2163.77	2193.99	1359.57	1909.85	1066.48	97.36	5831.91	6121.9	4736.79	5255.91	3190.46
ARID2	237.86	348.71	368.65	253.23	101.54	285.03	258.57	32.59	25.72	50.27	127.89	115.16	135.24	120.94	166.73	115.97	124.37	119.26	163.28	92.05	106.63	94.67	121.79	88.88	164.42	156.59	127.0	122.64	101.54	107.38	120.1	132.44	148.09	180.02	116.78	149.12	105.89	115.16	147.06	103.69	86.43	148.09	104.42	144.01	95.34	96.68	134.3	100.13	133.36	123.5	190.34	142.01	135.24	154.42	114.36	275.28	128.79	91.41	215.77	262.2	202.66	231.32	229.72
ARMCX4	457.25	759.08	842.36	902.89	39.22	273.37	429.54	62.56	37.85	20.56	94.01	189.02	87.03	144.01	346.29	143.01	62.56	55.1	54.33	45.85	94.67	40.07	246.28	150.17	103.69	186.4	171.45	90.14	234.57	226.54	253.23	158.79	176.29	161.02	98.73	109.66	30.12	77.79	255.0	130.6	45.21	275.28	80.01	314.17	73.54	21.47	277.2	50.63	142.01	140.04	176.29	173.85	177.53	126.12	78.89	122.64	95.34	3.79	518.15	1233.75	915.51	684.02	884.29
C1orf63	3874.05	3874.05	4239.45	3540.14	147.06	4836.35	3018.3	92.7	103.69	275.28	81.14	336.79	447.82	262.2	2032.85	215.77	713.11	651.58	379.04	571.05	325.29	490.14	567.1	1199.98	753.83	884.29	1628.26	299.25	406.31	2520.38	934.76	819.3	1457.23	1551.09	1896.65	463.65	265.87	457.25	2400.97	802.41	435.55	896.64	583.07	1397.83	447.82	212.78	1183.45	314.17	995.0	293.07	1832.01	753.83	921.88	1242.34	612.11	1015.93	134.3	78.89	5219.6	2796.65	3443.31	5292.48	3847.29
C6ORF50	102.25	162.14	175.07	114.36	0.0	107.38	98.73	0.0	0.0	0.84	0.01	5.02	9.63	1.25	30.34	2.27	3.82	6.89	3.47	3.59	3.32	0.16	8.13	10.16	5.73	9.2	8.19	3.17	3.47	11.73	9.41	13.52	20.86	24.28	5.32	5.41	2.36	4.62	16.88	4.62	2.86	9.78	1.23	4.43	3.38	2.05	5.36	3.76	4.74	2.36	16.63	2.71	2.39	4.9	3.69	6.01	1.81	0.0	117.6	107.38	60.39	73.03	87.65
CAPRIN2	651.58	669.92	718.08	780.44	120.94	733.19	361.04	65.72	35.5	49.56	189.02	125.24	120.1	185.11	974.5	303.44	195.72	208.38	41.52	113.56	91.41	94.01	172.65	395.18	189.02	353.59	277.2	96.68	356.05	414.87	353.59	279.14	392.44	353.59	199.85	110.43	99.43	316.37	403.5	130.6	98.73	376.41	122.64	256.78	147.06	74.58	463.65	90.14	264.03	136.19	329.84	228.13	269.6	275.28	158.79	237.86	67.12	15.8	363.56	603.67	514.56	493.56	579.04
CCDC41	218.79	307.69	334.46	267.73	66.18	307.69	217.27	13.03	41.52	52.82	94.01	63.89	118.43	50.98	150.17	49.91	86.43	105.15	208.38	165.57	98.73	98.73	66.18	162.14	107.38	116.78	100.13	128.79	57.08	158.79	116.78	138.1	114.36	128.79	164.42	82.87	150.17	80.57	180.02	108.9	128.79	92.05	110.43	68.55	101.54	82.29	176.29	153.34	55.1	110.43	118.43	102.97	84.63	167.9	170.25	244.57	47.17	74.06	325.29	351.14	269.6	193.01	327.56
CCDC66	579.04	624.99	575.03	518.15	44.57	323.03	320.8	9.48	21.16	35.25	71.5	96.68	108.9	68.55	483.38	106.63	131.51	102.25	141.02	143.01	95.34	111.99	190.34	204.07	156.59	215.77	180.02	88.88	149.12	214.27	209.84	185.11	226.54	180.02	229.72	130.6	100.83	126.12	236.21	155.5	130.6	249.73	106.63	154.42	151.22	62.12	314.17	80.57	127.89	104.42	221.86	166.73	125.24	214.27	193.01	234.57	75.11	30.78	444.72	441.64	420.68	460.44	480.04
CCNL2	10154.69	10883.59	8901.53	8778.97	395.18	5711.87	6699.25	633.73	265.87	460.44	915.51	633.73	866.07	775.05	7032.37	1572.76	1081.39	1250.98	460.44	1111.82	947.83	447.82	1437.15	3515.68	647.07	2119.22	2895.31	454.09	2090.03	2609.3	2835.7	1498.22	1111.82	6561.36	1447.15	854.13	934.76	1437.15	4972.34	1208.34	493.56	3372.43	836.53	1709.26	941.27	567.1	3794.3	1119.56	1066.48	759.08	3039.3	1233.75	1277.29	2468.49	836.53	629.35	316.37	73.54	8840.04	6516.03	5751.61	4869.99	4836.35
CDK13	669.92	974.5	684.02	785.88	264.03	802.41	791.35	124.37	111.99	165.57	356.05	228.13	301.33	273.37	890.44	275.28	457.25	295.11	155.5	353.59	293.07	249.73	255.0	507.46	373.81	371.22	429.54	320.8	353.59	450.94	361.04	316.37	403.5	460.44	438.59	206.94	303.44	409.15	466.88	334.46	297.17	441.64	289.02	149.12	316.37	334.46	392.44	320.8	358.54	255.0	507.46	379.04	493.56	426.57	318.57	214.27	269.6	223.41	728.11	693.58	660.68	796.86	759.08
CDK5RAP3	4481.23	5366.37	3515.68	4704.07	860.08	7433.4	6426.31	1427.22	703.28	1088.92	1037.29	1167.14	1225.22	890.44	6164.49	1628.26	1819.35	2367.9	860.08	1806.78	1322.37	1167.14	1697.45	3794.3	1111.82	2976.74	1628.26	1167.14	1781.89	3349.13	2609.3	2451.44	2178.83	3690.52	1870.53	1159.07	1242.34	1407.55	4066.71	1896.65	1519.15	3395.89	1639.59	2537.92	1819.35	2047.0	3874.05	1397.83	1583.71	1769.57	2367.9	1896.65	2555.58	2351.53	1498.22	2739.08	547.75	579.04	5995.9	7589.61	6983.79	6426.31	8191.0
CEP152	61.68	66.18	80.01	82.29	18.84	150.17	68.55	17.9	20.11	11.04	5.41	15.91	21.63	21.16	29.91	21.63	13.12	17.38	16.75	14.24	13.03	21.94	38.67	22.75	22.75	17.38	22.1	43.63	38.12	26.1	23.59	16.63	35.0	21.78	27.84	23.25	15.56	17.13	22.75	36.79	23.76	38.4	10.55	18.84	22.1	8.51	29.06	12.83	17.13	22.26	16.39	28.45	43.63	16.39	41.52	72.52	7.82	15.8	40.64	124.37	83.45	79.45	52.08
CERS5	1159.07	1561.89	995.0	1340.84	500.46	1388.16	1359.57	201.25	318.57	215.77	693.58	723.08	743.43	587.13	1051.79	660.68	698.41	785.88	660.68	389.72	629.35	819.3	743.43	688.78	693.58	967.76	514.56	679.29	543.96	796.86	555.41	651.58	441.64	559.28	684.02	928.3	518.15	507.46	1044.52	599.49	435.55	743.43	660.68	872.1	599.49	764.36	688.78	638.15	909.17	403.5	698.41	759.08	995.0	633.73	665.29	497.0	514.56	486.75	1159.07	813.63	825.0	1135.2	915.51
CLK1	7911.95	11267.44	6426.31	5555.65	769.69	6607.01	4095.0	316.37	476.71	555.41	878.17	647.07	1015.93	1350.18	3589.58	753.83	1857.6	1051.79	1199.98	1242.34	825.0	642.59	1313.23	1832.01	1015.93	2271.4	1242.34	603.67	928.3	1583.71	2133.97	1991.0	2591.27	2956.17	1135.2	1936.53	1447.15	1378.57	1340.84	1183.45	928.3	1561.89	713.11	1950.0	934.76	642.59	2004.85	1096.5	620.67	825.0	1870.53	1191.69	1936.53	1159.07	1529.73	3303.0	693.58	297.17	6037.61	5403.7	5366.37	6561.36	6037.61
CLK2	1498.22	1896.65	1378.57	1844.76	279.14	2468.49	2075.59	234.57	86.43	195.72	320.8	486.75	575.03	334.46	1617.0	708.18	728.11	665.29	246.28	642.59	583.07	563.18	764.36	1359.57	476.71	934.76	902.89	435.55	872.1	1250.98	1030.12	1030.12	551.56	647.07	890.44	253.23	555.41	785.88	1242.34	679.29	579.04	1119.56	703.28	387.02	718.08	642.59	954.43	660.68	830.75	616.37	743.43	759.08	748.61	819.3	718.08	299.25	373.81	141.02	2240.11	981.29	1832.01	1594.73	2351.53
CLK4	1066.48	1225.22	1059.11	909.17	125.24	1651.0	928.3	40.64	53.19	81.71	147.06	169.07	208.38	260.38	884.29	281.09	412.0	412.0	89.51	379.04	198.47	198.47	320.8	620.67	316.37	679.29	473.41	154.42	466.88	842.36	607.87	457.25	414.87	525.39	447.82	186.4	444.72	532.74	733.19	323.03	371.22	796.86	283.05	218.79	341.51	164.42	665.29	318.57	265.87	303.44	486.75	325.29	361.04	599.49	587.13	283.05	113.56	56.28	769.69	660.68	1135.2	890.44	1199.98
CNTD1	183.82	234.57	115.16	157.68	1.81	66.65	60.39	4.21	0.66	3.86	26.47	21.47	34.75	17.38	137.14	29.48	26.1	46.5	15.0	21.94	24.63	7.88	26.86	108.14	31.9	29.48	33.3	21.32	15.91	205.5	22.26	66.65	72.01	47.17	21.94	29.91	18.29	35.76	35.5	34.75	11.82	43.02	22.26	22.26	16.63	17.51	70.51	18.97	11.73	21.78	110.43	34.02	21.16	41.52	17.38	81.71	5.73	0.99	34.75	33.78	34.02	40.36	56.68
COPS7B	1015.93	1259.69	1268.46	1467.37	273.37	1191.69	928.3	305.55	131.51	201.25	262.2	358.54	450.94	412.0	974.5	480.04	426.57	503.95	339.14	447.82	414.87	414.87	438.59	813.63	371.22	454.09	532.74	381.68	435.55	775.05	656.11	500.46	753.83	684.02	647.07	389.72	371.22	514.56	665.29	423.61	361.04	647.07	420.68	493.56	511.0	371.22	514.56	420.68	679.29	384.34	591.22	559.28	642.59	463.65	466.88	486.75	303.44	175.07	1001.93	1295.13	1096.5	981.29	1127.35
CREBZF	1832.01	1794.29	1467.37	1487.87	122.64	1191.69	1111.82	148.09	65.26	173.85	205.5	291.04	384.34	356.05	854.13	332.14	346.29	339.14	332.14	309.83	348.71	186.4	457.25	642.59	450.94	503.95	848.22	241.19	563.18	647.07	567.1	514.56	884.29	571.05	555.41	525.39	327.56	665.29	909.17	392.44	248.0	753.83	323.03	559.28	295.11	148.09	743.43	314.17	387.02	353.59	759.08	417.77	334.46	567.1	351.14	497.0	214.27	45.21	1350.18	1757.34	1467.37	1757.34	1295.13
CWC25	595.34	1015.93	728.11	688.78	144.01	665.29	536.45	147.06	121.79	129.69	414.87	198.47	253.23	348.71	432.53	356.05	432.53	281.09	435.55	366.09	435.55	293.07	339.14	651.58	255.0	395.18	305.55	186.4	429.54	638.15	457.25	476.71	624.99	802.41	373.81	532.74	316.37	412.0	503.95	265.87	316.37	470.14	285.03	587.13	277.2	457.25	555.41	323.03	241.19	206.94	325.29	406.31	420.68	343.89	334.46	559.28	303.44	143.01	500.46	567.1	599.49	543.96	543.96
DDX17	14361.31	14262.1	13968.57	12943.04	2591.27	12076.21	10014.87	902.89	769.69	1088.92	3280.18	3540.14	3212.66	4038.61	7642.41	3491.39	3614.55	3349.13	2591.27	2739.08	3124.78	2351.53	3928.15	5076.84	4268.94	5831.91	5292.48	2875.3	4388.98	7589.61	5517.27	4671.57	8363.13	3928.15	5112.16	2915.45	2240.11	4972.34	6840.04	3665.02	2855.44	6607.01	3280.18	4671.57	3491.39	1923.14	5913.33	2796.65	4704.07	3325.99	6381.92	5006.93	4268.94	5672.41	3039.3	5292.48	2664.15	995.0	10733.74	15180.22	15392.14	9344.14	13306.94
DMTF1	2434.5	2520.38	2758.13	3060.45	205.5	2573.36	2645.74	31.22	42.11	79.45	379.04	536.45	356.05	532.74	1963.57	633.73	525.39	563.18	397.93	323.03	353.59	361.04	457.25	753.83	819.3	836.53	1183.45	368.65	878.17	1350.18	830.75	723.08	1340.84	825.0	1059.11	708.18	217.27	693.58	1477.58	409.15	575.03	1322.37	514.56	698.41	529.06	295.11	967.76	435.55	1023.0	525.39	988.12	967.76	1111.82	1225.22	612.11	825.0	314.17	56.28	2104.58	3018.3	2148.82	2451.44	2335.28
DNAJB7	12.64	6.94	4.74	6.57	0.61	5.82	8.58	0.0	0.0	0.2	1.66	1.68	1.0	1.39	6.52	1.55	2.56	2.2	2.03	0.04	0.78	0.82	0.64	5.23	2.76	1.83	0.78	0.0	2.07	1.31	3.5	0.0	1.39	2.46	2.71	2.32	0.29	2.2	0.0	2.32	0.51	1.3	1.28	2.51	1.85	1.6	3.96	2.1	2.66	1.43	1.35	2.05	1.36	1.91	0.54	2.16	2.23	0.0	7.0	7.28	5.77	4.94	8.13
DTX3	1572.76	2351.53	2119.22	3190.46	127.0	1313.23	1709.26	60.39	44.57	24.11	291.04	432.53	420.68	426.57	1015.93	511.0	334.46	325.29	176.29	325.29	204.07	307.69	642.59	620.67	312.0	536.45	698.41	236.21	525.39	974.5	665.29	316.37	656.11	624.99	642.59	206.94	312.0	457.25	1331.57	438.59	194.36	669.92	229.72	486.75	371.22	189.02	796.86	341.51	567.1	249.73	723.08	679.29	688.78	579.04	289.02	463.65	175.07	19.25	1135.2	1909.85	1950.0	1340.84	2400.97
EBLN2	81.14	77.25	56.28	61.25	4.5	58.3	33.54	1.39	0.37	0.39	7.46	8.85	4.5	13.72	21.32	16.15	3.69	5.92	10.96	7.28	9.63	8.06	8.45	8.25	13.62	11.64	12.74	6.52	18.16	13.72	6.16	15.0	18.84	21.16	17.77	19.82	8.51	9.2	34.02	5.02	12.45	12.0	4.39	17.0	11.64	10.71	18.7	10.55	13.62	16.03	11.47	23.25	18.56	32.36	12.45	30.56	3.66	0.0	45.21	54.33	32.36	49.91	29.7
EFCAB13	138.1	171.45	180.02	208.38	2.81	224.97	92.7	7.82	10.88	3.38	23.42	48.52	2.92	20.56	171.45	11.55	20.11	70.51	86.43	12.36	21.94	12.55	54.72	30.56	92.7	68.07	37.59	7.06	14.56	59.55	25.54	70.51	44.89	21.78	40.93	22.92	10.55	17.0	133.36	26.1	32.13	47.84	54.33	78.34	22.92	21.94	35.0	14.03	54.72	17.77	43.32	31.67	45.53	54.72	52.45	25.72	3.29	0.0	995.0	368.65	426.57	395.18	231.32
