	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.139YR.0226.SM.5IFEM	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJC.0526.SM.5RQKB	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.145LU.0526.SM.5O9AT	GTEX.14DAR.0226.SM.5S2PR	GTEX.OIZH.0526.SM.2HMKV	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ
CCP110	12.55	34.02	33.54	10.24	47.17	30.12	30.78	38.95	24.81	29.06	49.56	135.24	166.73	497.0	142.01	244.57	244.57	356.05	236.21	130.6	497.0	177.53	142.01	190.34	307.69	409.15	412.0	444.72	353.59	215.77	291.04	108.14	236.21	224.97	511.0	299.25	157.68	190.34	529.06	267.73	316.37	480.04	339.14	147.06	152.28	358.54	633.73	112.77	251.48	140.04	320.8	529.06	142.01	123.5	217.27	297.17	127.0
CEP170	82.29	127.89	68.07	48.52	107.38	93.35	100.83	115.97	74.06	85.22	95.34	299.25	231.32	1008.9	361.04	503.95	356.05	961.07	713.11	303.44	1059.11	500.46	420.68	279.14	872.1	346.29	860.08	616.37	656.11	423.61	791.35	248.0	368.65	301.33	587.13	271.48	314.17	269.6	947.83	341.51	791.35	547.75	785.88	242.88	236.21	463.65	1096.5	277.2	616.37	228.13	555.41	1242.34	218.79	457.25	909.17	476.71	170.25
CEP85L	3.72	17.38	12.55	13.12	16.88	11.47	20.71	14.35	4.28	9.93	18.7	21.63	24.99	100.83	49.56	59.13	70.51	202.66	63.45	28.24	92.7	96.68	61.25	27.64	105.15	79.45	194.36	122.64	80.01	59.13	88.88	33.78	110.43	37.05	66.18	36.79	41.81	46.18	72.01	38.4	70.51	80.01	142.01	29.27	26.47	70.51	139.07	50.27	85.22	35.25	133.36	121.79	30.34	43.94	92.7	67.59	31.9
CHD6	43.32	73.03	81.14	62.12	109.66	101.54	87.65	47.5	43.32	92.05	56.28	185.11	85.82	361.04	271.48	273.37	242.88	447.82	256.78	146.03	547.75	239.52	150.17	134.3	525.39	341.51	450.94	435.55	389.72	215.77	476.71	156.59	269.6	265.87	476.71	102.25	208.38	199.85	536.45	157.68	551.56	470.14	493.56	126.12	115.97	318.57	587.13	191.67	409.15	102.25	624.99	587.13	183.82	183.82	473.41	409.15	127.0
CHIC1	38.12	22.43	5.73	6.52	5.41	10.16	35.25	6.06	9.13	2.48	30.34	62.56	30.12	113.56	69.52	86.43	63.45	206.94	73.54	42.11	133.36	107.38	80.57	72.01	158.79	107.38	201.25	148.09	99.43	76.17	144.01	46.18	102.97	86.43	176.29	65.26	60.82	59.97	92.7	66.18	97.36	125.24	175.07	35.5	34.02	97.36	343.89	68.55	97.36	40.07	117.6	128.79	52.82	88.26	84.63	65.72	44.57
CREBZF	150.17	232.94	197.09	148.09	242.88	221.86	170.25	65.26	173.85	146.03	236.21	291.04	246.28	642.59	356.05	587.13	647.07	723.08	289.02	332.14	1066.48	708.18	353.59	551.56	441.64	603.67	1037.29	753.83	493.56	511.0	1697.45	438.59	684.02	525.39	1088.92	144.01	334.46	575.03	934.76	532.74	463.65	669.92	1295.13	323.03	208.38	656.11	947.83	559.28	463.65	185.11	1023.0	665.29	417.77	884.29	607.87	728.11	214.27
CRYBG3	27.44	63.0	40.64	11.38	37.05	41.52	44.57	53.19	61.68	40.93	135.24	156.59	134.3	493.56	218.79	299.25	493.56	688.78	389.72	169.07	447.82	406.31	217.27	173.85	409.15	373.81	679.29	642.59	454.09	473.41	389.72	307.69	511.0	178.77	320.8	197.09	181.28	234.57	318.57	237.86	426.57	674.59	607.87	175.07	217.27	323.03	1088.92	202.66	309.83	381.68	466.88	591.22	212.78	214.27	236.21	299.25	309.83
CRYZL1	387.02	318.57	209.84	208.38	198.47	218.79	255.0	194.36	248.0	231.32	253.23	500.46	305.55	1015.93	406.31	543.96	693.58	1277.29	981.29	497.0	825.0	460.44	620.67	406.31	748.61	543.96	1051.79	878.17	830.75	848.22	1066.48	486.75	915.51	373.81	830.75	336.79	353.59	423.61	842.36	373.81	703.28	967.76	915.51	376.41	397.93	825.0	819.3	713.11	775.05	432.53	1151.06	723.08	708.18	1304.15	647.07	450.94	244.57
CTDSPL2	24.46	70.51	56.28	37.59	77.25	53.95	69.52	99.43	85.22	73.03	54.33	142.01	94.67	341.51	246.28	249.73	199.85	603.67	141.02	131.51	353.59	316.37	239.52	129.69	275.28	579.04	559.28	426.57	295.11	228.13	563.18	131.51	232.94	295.11	457.25	181.28	217.27	189.02	318.57	316.37	271.48	244.57	420.68	102.97	123.5	285.03	642.59	133.36	305.55	135.24	289.02	371.22	151.22	269.6	329.84	236.21	165.57
DCAF16	84.04	45.53	36.53	32.82	32.36	44.25	30.56	65.72	48.18	50.98	40.64	229.72	133.36	224.97	195.72	199.85	234.57	305.55	273.37	180.02	312.0	249.73	175.07	237.86	381.68	476.71	406.31	301.33	248.0	291.04	473.41	164.42	147.06	277.2	275.28	201.25	264.03	185.11	438.59	325.29	303.44	323.03	376.41	154.42	115.16	258.57	267.73	301.33	197.09	116.78	353.59	423.61	260.38	267.73	454.09	267.73	195.72
DGKE	8.92	27.64	21.32	11.21	25.54	26.28	41.22	13.72	36.79	11.64	33.78	36.53	22.75	112.77	52.82	99.43	65.26	208.38	81.71	43.32	138.1	123.5	103.69	51.35	109.66	105.15	217.27	190.34	88.26	104.42	201.25	45.53	145.02	52.45	191.67	27.25	40.64	52.45	95.34	42.41	113.56	105.89	251.48	24.46	34.51	158.79	316.37	72.52	163.28	31.0	262.2	95.34	46.18	69.52	72.52	92.7	33.78
DIP2A	115.97	81.14	77.25	75.64	68.55	98.04	75.11	62.56	47.17	70.51	71.5	204.07	176.29	665.29	218.79	368.65	409.15	457.25	361.04	417.77	693.58	426.57	256.78	239.52	547.75	232.94	412.0	412.0	473.41	384.34	1259.69	206.94	397.93	228.13	688.78	145.02	234.57	301.33	555.41	217.27	536.45	651.58	1111.82	187.71	150.17	339.14	728.11	327.56	497.0	141.02	947.83	909.17	260.38	351.14	642.59	599.49	189.02
DMTF1	39.22	148.09	167.9	31.22	107.38	133.36	99.43	42.11	79.45	115.16	151.22	536.45	361.04	934.76	532.74	842.36	728.11	1757.34	620.67	633.73	1594.73	764.36	277.2	769.69	1001.93	1427.22	1674.06	1781.89	638.15	808.0	1457.23	555.41	921.88	708.18	1242.34	303.44	447.82	684.02	1378.57	551.56	1073.91	967.76	1639.59	514.56	480.04	1350.18	1487.87	698.41	872.1	325.29	1407.55	1369.04	967.76	1191.69	954.43	674.59	314.17
DPP8	48.52	67.59	52.82	29.7	89.51	63.0	95.34	84.63	69.52	77.25	33.06	211.31	145.02	420.68	221.86	237.86	166.73	387.02	177.53	224.97	249.73	299.25	147.06	228.13	260.38	395.18	432.53	409.15	295.11	279.14	426.57	165.57	273.37	291.04	466.88	220.32	279.14	295.11	389.72	376.41	214.27	265.87	473.41	228.13	163.28	329.84	371.22	269.6	255.0	183.82	329.84	260.38	150.17	414.87	228.13	336.79	231.32
EPM2AIP1	27.44	96.68	88.26	56.28	93.35	76.17	82.29	57.89	91.41	57.49	89.51	163.28	104.42	206.94	144.01	264.03	157.68	279.14	175.07	116.78	334.46	277.2	162.14	171.45	190.34	229.72	303.44	273.37	224.97	232.94	579.04	144.01	171.45	297.17	343.89	118.43	152.28	172.65	423.61	204.07	303.44	195.72	358.54	127.89	125.24	204.07	454.09	163.28	169.07	124.37	244.57	279.14	187.71	341.51	193.01	220.32	97.36
EPS15	136.19	287.01	215.77	126.12	208.38	220.32	201.25	314.17	371.22	249.73	178.77	603.67	414.87	921.88	813.63	723.08	607.87	981.29	633.73	551.56	785.88	738.29	612.11	476.71	723.08	947.83	1096.5	848.22	813.63	775.05	902.89	595.34	743.43	612.11	934.76	376.41	457.25	665.29	743.43	679.29	780.44	769.69	1594.73	551.56	583.07	713.11	1030.12	540.19	759.08	591.22	759.08	738.29	591.22	624.99	791.35	698.41	551.56
FAM214A	70.01	314.17	409.15	135.24	309.83	406.31	339.14	202.66	242.88	403.5	223.41	493.56	202.66	836.53	532.74	379.04	567.1	791.35	289.02	532.74	679.29	571.05	403.5	457.25	559.28	703.28	1001.93	656.11	656.11	967.76	1467.37	571.05	529.06	603.67	1427.22	159.9	211.31	607.87	1216.75	426.57	536.45	629.35	1359.57	329.84	358.54	555.41	878.17	633.73	563.18	339.14	872.1	575.03	665.29	1216.75	395.18	521.76	265.87
FSD1L	10.31	5.87	2.32	4.06	9.34	1.83	7.22	8.13	3.11	4.86	7.34	12.64	34.51	98.73	11.64	44.57	33.54	70.01	50.98	14.67	63.89	37.05	14.67	37.32	32.82	44.89	83.45	117.6	33.78	58.3	59.55	16.39	78.89	22.26	56.28	14.03	46.5	15.8	98.04	46.5	35.25	94.67	45.85	38.4	23.93	89.51	106.63	25.91	47.17	36.27	74.06	46.5	34.02	66.65	36.27	85.82	18.43
GCC2	34.75	112.77	123.5	21.63	105.15	107.38	100.83	52.45	70.01	102.25	101.54	291.04	169.07	660.68	339.14	305.55	279.14	764.36	358.54	264.03	579.04	395.18	265.87	226.54	473.41	780.44	629.35	438.59	429.54	476.71	748.61	166.73	287.01	218.79	848.22	234.57	341.51	224.97	693.58	281.09	612.11	457.25	703.28	255.0	175.07	295.11	974.5	283.05	579.04	148.09	358.54	723.08	283.05	329.84	529.06	473.41	199.85
GIT2	285.03	163.28	95.34	113.56	128.79	117.6	141.02	102.97	75.64	146.03	167.9	343.89	253.23	884.29	312.0	656.11	521.76	1023.0	603.67	559.28	587.13	624.99	395.18	432.53	723.08	454.09	633.73	1015.93	514.56	336.79	934.76	536.45	579.04	332.14	764.36	356.05	387.02	507.46	995.0	305.55	780.44	529.06	909.17	389.72	438.59	808.0	981.29	334.46	624.99	387.02	688.78	684.02	376.41	547.75	397.93	559.28	241.19
GLMN	15.68	48.52	77.79	8.65	43.94	43.94	40.07	43.32	54.33	40.07	40.93	50.98	67.59	283.05	66.65	89.51	171.45	231.32	151.22	66.18	277.2	104.42	135.24	84.63	175.07	61.25	183.82	191.67	108.9	116.78	229.72	65.72	116.78	50.98	115.97	103.69	68.07	59.97	108.14	96.01	154.42	256.78	312.0	46.5	45.53	129.69	189.02	79.45	103.69	88.88	122.64	159.9	88.26	98.73	124.37	102.97	39.5
GOLGA6L4	0.44	14.35	9.78	1.53	16.03	15.34	0.0	4.66	9.27	7.88	6.16	42.11	7.17	61.68	26.47	20.86	66.18	64.34	32.36	24.81	76.71	53.19	10.63	37.05	74.58	56.68	130.6	120.1	52.45	26.28	57.89	47.5	36.79	61.68	39.79	10.08	2.51	34.75	130.6	35.76	60.39	81.14	63.45	34.02	14.03	98.73	102.25	35.0	33.06	8.99	95.34	68.07	13.03	46.84	49.21	34.02	5.73
GPBP1L1	651.58	775.05	967.76	860.08	802.41	836.53	1111.82	708.18	684.02	884.29	825.0	1313.23	1088.92	2209.26	1127.35	1639.59	1662.49	3257.52	2271.4	1295.13	2148.82	1477.58	1709.26	1037.29	2075.59	1519.15	1883.54	1819.35	1832.01	1313.23	2224.63	1242.34	1127.35	890.44	2287.2	775.05	1066.48	1216.75	2119.22	1159.07	1857.6	2075.59	2240.11	1159.07	1159.07	1757.34	3124.78	1407.55	1883.54	1277.29	1561.89	1977.24	1447.15	1143.1	1519.15	1427.22	1023.0
HACE1	37.32	18.29	16.03	16.03	18.97	35.5	21.16	14.14	20.86	16.15	29.48	121.79	45.85	155.5	107.38	138.1	301.33	258.57	120.1	77.25	248.0	224.97	75.64	87.03	165.57	183.82	249.73	234.57	122.64	128.79	148.09	101.54	224.97	61.25	128.79	54.72	187.71	127.89	112.77	102.25	136.19	215.77	256.78	60.82	75.11	138.1	199.85	105.89	260.38	73.03	202.66	164.42	110.43	115.97	209.84	143.01	105.15
HAUS3	13.42	67.59	32.59	20.26	56.28	48.87	53.19	65.72	82.87	44.57	37.05	84.04	71.0	275.28	87.03	129.69	119.26	198.47	138.1	99.43	181.28	128.79	115.16	119.26	163.28	111.99	195.72	167.9	156.59	239.52	366.09	152.28	157.68	94.67	236.21	71.0	72.52	127.0	197.09	82.29	195.72	212.78	246.28	77.79	87.65	146.03	244.57	143.01	137.14	96.68	167.9	152.28	103.69	182.55	108.9	132.44	51.71
HGSNAT	708.18	379.04	295.11	447.82	417.77	351.14	366.09	336.79	164.42	389.72	171.45	1081.39	457.25	878.17	981.29	934.76	1081.39	1313.23	540.19	967.76	1127.35	1066.48	808.0	902.89	954.43	1594.73	1427.22	1359.57	1208.34	974.5	4298.64	759.08	791.35	1159.07	2400.97	587.13	470.14	928.3	3257.52	884.29	1519.15	884.29	2119.22	642.59	486.75	848.22	1844.76	595.34	571.05	743.43	1896.65	1331.57	679.29	1745.2	1073.91	1183.45	547.75
INTU	11.21	8.85	17.13	5.06	4.74	9.2	7.11	4.43	3.06	4.24	3.59	27.25	52.08	60.82	24.81	53.19	51.35	93.35	60.82	25.35	66.18	57.89	49.56	78.34	75.64	31.45	84.04	130.6	52.08	60.39	57.08	25.17	82.87	14.35	52.82	15.56	50.27	30.12	72.52	35.5	53.19	125.24	67.59	19.11	35.25	125.24	85.82	61.25	75.11	21.78	75.64	74.58	86.43	33.06	52.45	45.53	35.5
KIAA1109	122.64	157.68	212.78	84.04	154.42	241.19	197.09	202.66	123.5	244.57	169.07	796.86	205.5	1259.69	921.88	947.83	633.73	1757.34	373.81	389.72	1001.93	1059.11	432.53	591.22	669.92	647.07	1427.22	1073.91	665.29	813.63	1233.75	656.11	872.1	379.04	1322.37	147.06	334.46	896.64	995.0	318.57	660.68	934.76	1286.18	460.44	395.18	693.58	1286.18	802.41	921.88	343.89	915.51	1030.12	647.07	1008.9	616.37	511.0	251.48
LNPEP	40.07	29.7	42.41	21.47	47.84	32.13	51.35	40.93	54.33	26.47	36.53	144.01	61.25	208.38	195.72	211.31	142.01	329.84	96.01	163.28	223.41	211.31	120.94	147.06	193.01	178.77	329.84	231.32	172.65	157.68	228.13	152.28	123.5	131.51	269.6	76.71	189.02	187.71	217.27	142.01	176.29	118.43	339.14	94.67	151.22	169.07	325.29	98.73	251.48	102.25	205.5	314.17	98.04	175.07	156.59	169.07	144.01
LRIG2	33.54	30.56	15.56	13.22	16.15	26.47	15.68	18.7	13.72	22.59	20.11	101.54	51.71	141.02	90.14	136.19	108.14	258.57	155.5	82.29	152.28	128.79	81.14	74.58	155.5	155.5	172.65	198.47	140.04	130.6	316.37	56.28	112.77	132.44	106.63	77.25	82.29	55.89	237.86	128.79	194.36	103.69	217.27	56.68	42.11	141.02	228.13	97.36	143.01	67.59	165.57	224.97	135.24	127.89	131.51	112.77	50.27
LRRC37B	65.26	45.85	39.22	13.83	37.05	27.84	37.32	31.45	29.27	29.91	44.89	114.36	82.87	403.5	132.44	236.21	191.67	301.33	251.48	148.09	343.89	231.32	211.31	166.73	373.81	178.77	363.56	291.04	293.07	265.87	447.82	162.14	255.0	180.02	271.48	60.82	105.15	147.06	397.93	129.69	249.73	320.8	329.84	102.25	92.7	236.21	507.46	140.04	323.03	169.07	318.57	346.29	128.79	348.71	153.34	211.31	81.14
MBTD1	19.97	74.06	100.13	59.13	71.0	82.87	81.14	39.79	52.08	66.65	61.68	88.88	54.72	204.07	99.43	120.1	142.01	289.02	98.73	120.1	176.29	163.28	104.42	132.44	89.51	187.71	343.89	281.09	161.02	161.02	281.09	118.43	131.51	84.63	206.94	71.5	76.17	133.36	211.31	97.36	110.43	158.79	249.73	69.03	95.34	191.67	305.55	98.73	214.27	112.77	205.5	164.42	90.77	217.27	67.12	111.99	66.18
MFN1	62.56	137.14	96.68	81.71	116.78	110.43	143.01	128.79	120.94	131.51	166.73	148.09	139.07	616.37	260.38	267.73	277.2	525.39	186.4	320.8	543.96	269.6	121.79	262.2	182.55	191.67	490.14	460.44	295.11	409.15	1242.34	297.17	264.03	183.82	713.11	187.71	143.01	248.0	454.09	384.34	400.71	463.65	819.3	206.94	186.4	387.02	540.19	228.13	199.85	115.97	559.28	769.69	255.0	244.57	307.69	373.81	145.02
MGEA5	351.14	432.53	532.74	470.14	669.92	435.55	728.11	275.28	358.54	291.04	403.5	1023.0	669.92	1697.45	947.83	1051.79	1407.55	2537.92	2720.15	1073.91	2047.0	1359.57	921.88	995.0	2351.53	1896.65	2090.03	1757.34	1427.22	1769.57	3212.66	961.07	1313.23	1359.57	2090.03	371.22	836.53	884.29	2417.67	878.17	2119.22	1909.85	2047.0	753.83	802.41	1135.2	3794.3	1794.29	1721.16	607.87	2627.46	2319.15	1359.57	2047.0	1191.69	1407.55	503.95
MON2	71.0	206.94	218.79	158.79	223.41	182.55	185.11	100.13	140.04	217.27	173.85	161.02	138.1	583.07	228.13	307.69	376.41	738.29	379.04	153.34	466.88	371.22	180.02	264.03	414.87	346.29	551.56	493.56	287.01	320.8	543.96	195.72	371.22	234.57	309.83	244.57	242.88	299.25	351.14	204.07	460.44	529.06	718.08	161.02	145.02	297.17	514.56	229.72	341.51	132.44	536.45	460.44	271.48	159.9	348.71	208.38	119.26
