	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.44.2668.01A.01R.0946.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6779.01A.11R.1858.07	TCGA.60.2707.01A.01R.0851.07	TCGA.85.8481.01A.11R.2326.07	TCGA.B7.5816.01A.21R.1602.13	TCGA.D7.6820.01A.11R.1884.13
ECM2	138.1	31.67	57.08	341.51	217.27	191.67	587.13	454.09	860.08	769.69	1313.23	928.3	934.76	860.08	1111.82	848.22	669.92	591.22	928.3	1081.39	1151.06	1467.37	607.87	642.59	743.43	1175.27	2193.99	395.18	830.75	1397.83	173.85	400.71	934.76	1286.18	5.54	490.14	133.36	0.0	0.0	138.1	100.83	94.01	241.19	14.03
FAM186B	3.23	3.69	4.35	8.06	6.94	6.11	26.28	8.92	16.75	45.85	17.9	23.93	15.8	20.86	24.63	24.28	8.99	15.68	14.24	28.24	47.84	32.13	25.91	25.35	29.48	29.27	72.01	18.84	18.97	16.03	6.62	13.93	43.32	21.78	4.43	9.93	13.22	0.0	0.09	0.0	4.5	2.86	1.38	5.54
FMO3	18.7	8.78	66.65	2119.22	2193.99	2351.53	12076.21	2645.74	36357.37	19214.73	31215.04	37901.36	31650.8	18819.27	57448.23	42054.3	34396.12	48982.22	30572.63	18950.18	31432.17	41475.31	21172.91	60304.42	50011.46	51062.33	115696.65	29736.59	66912.05	99333.0	6426.31	17437.64	60304.42	51775.15	281.09	1111.82	111.99	0.0	0.43	14.24	165.57	67.59	27.25	22.75
GCFC2	140.04	236.21	170.25	258.57	620.67	514.56	591.22	521.76	591.22	728.11	733.19	934.76	796.86	476.71	796.86	775.05	651.58	791.35	441.64	748.61	808.0	708.18	476.71	536.45	967.76	476.71	854.13	638.15	738.29	947.83	361.04	361.04	836.53	842.36	199.85	346.29	236.21	0.0	0.43	301.33	255.0	166.73	248.0	111.21
GLYAT	0.0	0.35	0.0	896.64	4.98	182.55	6037.61	3103.19	25354.3	17078.76	17927.91	27745.15	27174.14	10440.2	54727.32	30785.28	27174.14	31870.96	31215.04	24660.96	34876.28	54727.32	18304.63	35118.87	46662.28	33922.56	35118.87	15180.22	23492.92	44452.21	4123.49	18304.63	48643.87	39510.91	0.22	480.04	1.48	0.0	0.0	0.0	0.0	3.17	0.0	0.0
GLYCTK	105.15	24.46	54.33	5112.16	5479.15	7280.4	8718.32	4543.8	16843.62	15499.21	15715.58	19892.37	10585.95	5555.65	21919.61	19214.73	7280.4	32315.87	15824.9	9673.69	23656.34	19082.0	11909.94	21172.91	18689.27	21026.65	26248.46	5183.54	9151.82	16157.44	2855.44	6652.97	16383.0	13215.02	406.31	3372.43	75.11	0.0	0.55	36.79	63.45	52.08	177.53	848.22
GOLGA6A	0.0	0.0	0.0	7.11	1.71	0.51	1.79	3.96	21.01	77.25	90.77	176.29	41.22	73.54	163.28	40.64	47.5	50.63	102.97	209.84	41.22	194.36	189.02	115.97	55.89	57.49	373.81	47.84	75.64	154.42	3.82	8.45	53.19	202.66	5.36	2.1	0.6	0.0	0.21	0.6	1.01	0.0	0.0	0.0
GOLGA6B	0.0	0.0	0.0	1.38	1.43	3.11	2.27	0.0	8.19	25.54	26.86	44.89	6.73	28.24	21.94	12.45	7.82	14.03	27.05	26.86	17.38	82.29	45.85	33.78	10.55	23.76	88.26	19.68	28.45	17.25	0.0	4.35	26.1	23.42	6.36	1.27	0.0	0.0	0.0	0.0	1.73	1.77	0.92	0.0
HEMK1	97.36	59.97	108.9	334.46	318.57	511.0	341.51	346.29	500.46	466.88	599.49	612.11	476.71	547.75	723.08	679.29	435.55	591.22	497.0	503.95	688.78	607.87	400.71	409.15	514.56	559.28	674.59	525.39	490.14	466.88	267.73	341.51	555.41	432.53	329.84	444.72	197.09	0.0	0.25	166.73	208.38	287.01	202.66	307.69
INCA1	11.47	3.17	4.98	25.54	14.45	39.5	18.97	39.79	40.07	50.63	50.98	76.17	59.97	20.86	91.41	74.58	28.04	74.58	43.63	28.04	78.34	83.45	44.57	44.25	143.01	42.11	90.77	36.79	47.84	52.45	27.64	23.59	44.89	84.63	10.24	15.56	19.82	0.0	0.24	21.01	19.68	4.39	23.93	22.1
LIAS	56.68	117.6	84.04	208.38	155.5	131.51	149.12	186.4	343.89	248.0	171.45	255.0	256.78	285.03	329.84	211.31	303.44	177.53	305.55	381.68	232.94	450.94	162.14	277.2	299.25	262.2	473.41	178.77	175.07	256.78	100.13	88.88	269.6	316.37	193.01	164.42	85.82	0.0	0.06	127.89	98.04	102.97	71.5	78.89
LRRTM4	0.0	0.0	0.0	3.03	0.0	1.33	0.29	0.75	12.45	28.65	42.71	28.24	1.68	2.43	92.05	3.82	2.66	4.46	1.64	57.08	37.59	8.0	4.17	10.24	16.75	18.56	5.23	5.19	1.64	44.57	6.11	5.96	13.83	8.65	0.0	1.38	0.0	0.0	0.0	2.25	0.21	0.21	1.64	0.0
METTL10	149.12	220.32	202.66	214.27	95.34	297.17	181.28	289.02	295.11	314.17	312.0	356.05	438.59	363.56	384.34	269.6	368.65	293.07	412.0	281.09	303.44	320.8	237.86	289.02	366.09	403.5	358.54	260.38	490.14	339.14	171.45	199.85	387.02	532.74	249.73	307.69	303.44	0.0	0.47	205.5	246.28	232.94	248.0	145.02
MGST2	1963.57	708.18	1081.39	2591.27	2720.15	4704.07	4450.27	7180.15	15392.14	3491.39	5219.6	4268.94	5954.47	4607.24	6516.03	6164.49	7537.18	6652.97	11909.94	5594.3	7130.55	7695.57	12076.21	9088.59	7433.4	11827.67	6887.62	7695.57	10296.45	11664.82	3443.31	3794.3	7857.29	10296.45	1073.91	4736.79	1135.2	0.0	0.52	1594.73	1304.15	1757.34	1175.27	1030.12
MRPS31	234.57	351.14	256.78	141.02	529.06	665.29	878.17	329.84	483.38	551.56	718.08	961.07	813.63	698.41	825.0	1023.0	848.22	633.73	743.43	723.08	525.39	780.44	466.88	579.04	1051.79	583.07	511.0	629.35	559.28	967.76	293.07	441.64	842.36	612.11	825.0	532.74	262.2	0.0	0.09	248.0	154.42	299.25	251.48	316.37
MTFR1L	334.46	279.14	389.72	1340.84	1143.1	1427.22	1242.34	934.76	1313.23	1769.57	1561.89	2209.26	1697.45	1519.15	2335.28	2351.53	1250.98	2032.85	1350.18	1685.71	2090.03	2351.53	1639.59	1832.01	2119.22	1487.87	2417.67	1250.98	1540.37	2004.85	909.17	896.64	2148.82	1991.0	1135.2	1088.92	500.46	0.0	0.69	802.41	624.99	674.59	612.11	866.07
MYL5	94.67	195.72	162.14	688.78	351.14	155.5	291.04	226.54	316.37	698.41	616.37	854.13	532.74	454.09	1167.14	708.18	547.75	1191.69	551.56	775.05	995.0	753.83	665.29	775.05	785.88	579.04	1096.5	420.68	587.13	1685.71	429.54	400.71	511.0	429.54	244.57	423.61	183.82	0.0	0.69	318.57	190.34	108.14	128.79	136.19
NICN1	53.19	40.64	38.67	126.12	158.79	146.03	148.09	260.38	223.41	165.57	187.71	297.17	223.41	193.01	339.14	186.4	159.9	241.19	191.67	205.5	229.72	295.11	177.53	277.2	249.73	249.73	356.05	145.02	299.25	234.57	61.25	97.36	193.01	209.84	60.39	155.5	88.26	0.0	0.52	122.64	97.36	94.67	132.44	87.03
NR1I3	6.52	8.85	10.55	2720.15	15.34	1806.78	4010.71	3515.68	7911.95	19214.73	15285.81	13215.02	5255.91	3443.31	52497.92	25887.07	6426.31	39785.74	6607.01	9279.58	16496.96	29327.18	5672.41	10959.3	17317.18	22072.07	37121.34	3257.52	10733.74	16960.78	954.43	5076.84	23169.48	10368.08	215.77	2895.31	9.13	0.0	0.17	4.78	5.23	4.94	5.63	3.92
RP11-162A12.2	3.59	2.25	3.53	10.39	1.64	0.67	13.03	7.0	12.45	19.68	8.99	1.89	20.41	8.51	10.63	9.2	21.16	13.83	13.32	18.16	14.67	22.75	15.22	23.59	5.5	20.11	42.11	12.64	4.54	8.71	3.44	9.93	19.53	13.42	4.7	14.67	1.36	0.0	0.04	3.35	6.78	2.81	9.2	1.95
RP11-368I7.4	1.95	1.58	2.41	16.03	20.11	20.56	10.24	27.64	26.28	62.56	22.75	21.16	29.48	22.92	43.32	32.59	11.82	32.82	29.91	21.01	37.05	40.36	44.57	73.54	59.97	32.13	47.5	15.45	30.56	27.25	7.17	11.82	50.63	38.12	3.59	11.3	4.5	0.0	0.0	10.71	3.99	2.48	1.95	23.59
RUNDC3B	1.97	1.27	4.46	55.49	41.22	45.85	92.05	83.45	279.14	125.24	583.07	215.77	305.55	96.01	368.65	563.18	177.53	220.32	395.18	309.83	384.34	525.39	287.01	285.03	223.41	348.71	299.25	130.6	348.71	563.18	15.11	96.68	503.95	529.06	5.41	112.77	6.26	0.0	0.0	6.31	1.27	6.01	4.82	5.45
SCRN2	420.68	271.48	624.99	1119.56	273.37	896.64	1111.82	2209.26	1259.69	1457.23	981.29	2701.35	1498.22	928.3	1950.0	1721.16	1806.78	2367.9	1199.98	1551.09	1594.73	1639.59	1936.53	1909.85	1572.76	2004.85	2758.13	713.11	2061.24	1457.23	483.38	1605.83	1709.26	1870.53	420.68	708.18	463.65	0.0	0.6	307.69	563.18	206.94	447.82	371.22
SEC14L2	1617.0	132.44	665.29	1757.34	157.68	1697.45	6652.97	1073.91	10959.3	19754.96	4869.99	11112.3	14561.8	1950.0	13968.57	11584.24	7230.1	23820.89	7382.04	6516.03	14163.58	13123.73	15934.98	15499.21	26248.46	9025.81	19892.37	4239.45	7433.4	9740.98	1936.53	5517.27	15934.98	13215.02	1066.48	1340.84	1208.34	0.0	0.42	915.51	1340.84	1286.18	253.23	316.37
SIRT5	103.69	208.38	84.04	299.25	559.28	332.14	493.56	309.83	1044.52	819.3	1151.06	1023.0	1088.92	693.58	1733.13	1096.5	941.27	1088.92	1175.27	1250.98	1498.22	1242.34	947.83	896.64	1295.13	1397.83	1697.45	928.3	1151.06	1350.18	336.79	1023.0	1350.18	1135.2	603.67	651.58	212.78	0.0	0.0	244.57	217.27	318.57	152.28	285.03
SLC29A1	656.11	454.09	185.11	2240.11	1781.89	1008.9	743.43	890.44	860.08	3690.52	2645.74	2796.65	2855.44	825.0	2090.03	2434.5	1844.76	2739.08	1225.22	5292.48	1781.89	1674.06	3280.18	2555.58	1844.76	1191.69	1896.65	769.69	2178.83	1781.89	384.34	995.0	2434.5	2758.13	417.77	1583.71	547.75	0.0	0.72	688.78	470.14	483.38	1044.52	1295.13
SLC39A5	1.64	0.97	0.61	287.01	607.87	629.35	3794.3	2777.33	14561.8	18689.27	13968.57	36610.26	13776.25	10154.69	40904.3	26067.14	14163.58	37639.55	14262.1	14065.74	28923.41	25354.3	15075.35	11745.96	27745.15	13306.94	34396.12	10733.74	16157.44	16496.96	9215.48	9279.58	27553.49	24153.43	91.41	1745.2	4.21	0.0	0.48	0.0	1.38	5.63	5.41	457.25
SLC6A13	0.93	1.48	0.45	81.14	91.41	48.52	389.72	148.09	463.65	713.11	872.1	1159.07	693.58	848.22	3190.46	1397.83	540.19	1457.23	629.35	587.13	1467.37	1832.01	909.17	775.05	1437.15	693.58	1709.26	454.09	674.59	1963.57	70.01	483.38	1991.0	1119.56	0.8	444.72	0.59	0.0	0.0	0.0	1.79	0.0	3.72	2.68
THOP1	483.38	928.3	356.05	1662.49	1023.0	941.27	540.19	1583.71	1127.35	2485.67	1191.69	2133.97	1359.57	780.44	941.27	2119.22	669.92	2367.9	1208.34	2351.53	1498.22	1709.26	1870.53	1388.16	1757.34	1066.48	1844.76	2004.85	981.29	1183.45	928.3	1242.34	1508.65	1572.76	426.57	1015.93	764.36	0.0	0.59	665.29	397.93	529.06	775.05	728.11
TMEM143	45.21	85.82	47.17	206.94	228.13	248.0	283.05	177.53	275.28	353.59	384.34	473.41	301.33	267.73	723.08	490.14	202.66	406.31	325.29	316.37	595.34	547.75	327.56	368.65	483.38	414.87	583.07	334.46	387.02	389.72	92.05	234.57	454.09	353.59	63.0	269.6	43.32	0.0	0.3	72.52	94.01	58.71	80.01	74.58
TMEM150C	38.12	22.26	27.84	46.18	96.01	182.55	400.71	49.91	275.28	285.03	336.79	563.18	285.03	126.12	941.27	470.14	265.87	521.76	242.88	718.08	376.41	1119.56	392.44	158.79	269.6	490.14	595.34	149.12	269.6	325.29	10.88	104.42	896.64	514.56	48.52	52.45	67.59	21.32	108.14	49.56	34.26	165.57	36.79	19.53
TMEM42	86.43	85.22	132.44	591.22	409.15	460.44	273.37	358.54	642.59	518.15	616.37	647.07	579.04	397.93	660.68	647.07	444.72	764.36	674.59	642.59	540.19	708.18	551.56	629.35	684.02	563.18	651.58	299.25	521.76	490.14	182.55	182.55	638.15	624.99	178.77	376.41	163.28	0.0	0.17	303.44	258.57	267.73	215.77	237.86
TPPP2	0.0	0.0	0.0	38.12	12.36	84.63	63.89	49.91	753.83	733.19	248.0	1233.75	543.96	265.87	2451.44	684.02	356.05	1519.15	271.48	234.57	961.07	961.07	447.82	866.07	1883.54	769.69	928.3	332.14	532.74	348.71	25.35	129.69	848.22	909.17	12.09	48.18	0.0	0.0	0.0	3.17	0.49	0.0	0.0	0.0
VSNL1	688.78	536.45	909.17	3.17	432.53	260.38	140.04	460.44	921.88	441.64	854.13	441.64	764.36	128.79	1191.69	1135.2	1208.34	1001.93	1268.46	480.04	1923.14	1721.16	1225.22	1519.15	1037.29	775.05	483.38	295.11	796.86	775.05	42.41	529.06	1359.57	1757.34	0.53	20.11	48.52	0.0	0.51	45.21	356.05	466.88	18.43	1.6
XPA	138.1	204.07	149.12	193.01	277.2	271.48	497.0	275.28	289.02	341.51	309.83	312.0	395.18	351.14	327.56	395.18	387.02	466.88	205.5	318.57	320.8	346.29	279.14	363.56	379.04	366.09	316.37	273.37	497.0	435.55	223.41	127.89	480.04	555.41	161.02	193.01	172.65	0.0	0.44	239.52	138.1	137.14	253.23	229.72
ZNF18	34.51	114.36	68.55	75.64	111.99	114.36	90.77	126.12	138.1	204.07	153.34	208.38	170.25	127.0	275.28	220.32	103.69	201.25	136.19	164.42	241.19	232.94	146.03	189.02	273.37	152.28	293.07	122.64	153.34	214.27	64.34	69.52	205.5	172.65	58.71	96.68	97.36	0.0	0.17	77.79	73.03	85.82	88.88	50.98
ZNF577	20.86	1.62	20.86	77.25	73.03	49.56	49.21	37.05	92.05	318.57	204.07	150.17	79.45	134.3	371.22	249.73	124.37	212.78	91.41	185.11	147.06	332.14	114.36	199.85	277.2	329.84	423.61	114.36	153.34	181.28	30.56	110.43	384.34	158.79	57.89	74.06	73.03	0.0	0.65	41.22	35.76	80.57	44.57	25.54
