	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.AZ.4323.01A.21R.1839.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.75.7030.01A.11R.1949.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.BR.A4J2.01A.21R.A251.31
CRIP2	5751.61	5751.61	2956.17	3665.02	3665.02	5594.3	4607.24	2417.67	624.99	3564.78	791.35	2061.24	2061.24	358.54	1044.52	1044.52	2555.58	941.27	1819.35	1059.11	1561.89	1369.04	2061.24	1870.53	713.11	1259.69	1819.35	1216.75	1605.83	1447.15	5633.22	4972.34	3190.46
DUSP4	1216.75	1216.75	460.44	507.46	507.46	463.65	172.65	171.45	9.41	78.89	16.51	32.82	50.63	9.7	1.89	4.03	37.85	2.53	70.51	16.51	28.45	9.93	50.63	2.14	33.54	0.0	19.82	4.7	20.41	12.83	629.35	116.78	775.05
DYRK1A	547.75	547.75	1001.93	638.15	638.15	769.69	708.18	511.0	165.57	624.99	312.0	273.37	258.57	325.29	149.12	293.07	476.71	212.78	343.89	426.57	435.55	253.23	497.0	177.53	373.81	158.79	293.07	246.28	325.29	260.38	633.73	563.18	813.63
EIF3D	3395.89	3395.89	8305.36	4704.07	4704.07	5594.3	4481.23	2935.74	2468.49	3768.09	1605.83	2303.12	2090.03	1685.71	1745.2	2367.9	3081.75	1806.78	2520.38	1819.35	2240.11	1583.71	3280.18	1477.58	2537.92	1407.55	2224.63	1331.57	1685.71	1268.46	3820.7	3419.52	3419.52
EMP1	2061.24	2061.24	5076.84	10225.32	10225.32	23656.34	1216.75	961.07	336.79	2004.85	239.52	860.08	723.08	111.99	70.51	381.68	1059.11	76.71	813.63	329.84	264.03	117.6	1870.53	256.78	267.73	171.45	279.14	94.01	454.09	368.65	4328.55	5366.37	1781.89
FBXW8	148.09	148.09	214.27	204.07	204.07	148.09	246.28	75.64	42.11	152.28	92.05	74.06	57.49	69.03	30.12	82.87	90.14	74.58	71.5	82.29	76.17	43.32	96.01	30.34	111.99	60.39	57.49	52.45	67.12	47.17	141.02	166.73	215.77
FGFBP3	18.03	18.03	35.25	35.0	35.0	27.64	33.54	17.13	11.04	20.86	12.09	12.45	7.17	4.94	5.06	4.06	10.16	8.19	7.57	15.11	11.91	11.73	5.73	3.06	20.11	8.71	3.59	2.86	3.44	2.1	31.45	23.25	25.91
HEATR2	239.52	239.52	361.04	271.48	271.48	279.14	848.22	251.48	218.79	343.89	161.02	208.38	159.9	206.94	157.68	181.28	187.71	164.42	224.97	237.86	204.07	202.66	246.28	128.79	249.73	142.01	156.59	95.34	177.53	180.02	366.09	305.55	473.41
HEG1	629.35	629.35	830.75	872.1	872.1	860.08	379.04	307.69	70.51	348.71	246.28	132.44	346.29	137.14	36.79	316.37	108.14	63.89	178.77	71.5	162.14	45.85	341.51	32.59	165.57	34.02	218.79	124.37	122.64	74.58	624.99	896.64	1191.69
HMGN1	5479.15	5479.15	6250.56	3589.58	3589.58	3847.29	6699.25	2319.15	1991.0	4836.35	2537.92	2303.12	1268.46	1359.57	603.67	2255.7	2193.99	1651.0	2451.44	1896.65	1721.16	3146.52	1896.65	884.29	2935.74	2178.83	1721.16	733.19	1208.34	1059.11	4298.64	4152.18	4481.23
HNRNPA0	2178.83	2178.83	1896.65	1709.26	1709.26	2485.67	2178.83	1685.71	1096.5	2224.63	1167.14	813.63	1259.69	1268.46	476.71	1628.26	1216.75	878.17	1268.46	1286.18	1259.69	866.07	1781.89	854.13	1857.6	518.15	961.07	753.83	902.89	896.64	2351.53	1870.53	1794.29
KIAA1211L	154.42	154.42	159.9	128.79	128.79	165.57	54.72	11.91	8.99	34.02	4.78	14.45	16.75	2.84	13.42	7.51	9.63	10.96	15.56	6.67	28.86	10.47	24.99	3.76	46.18	4.28	13.93	4.39	14.45	4.62	277.2	212.78	140.04
KIAA1644	15.0	15.0	62.56	13.42	13.42	17.77	96.01	7.88	1.5	9.78	5.41	8.0	4.35	2.92	0.29	2.43	5.92	0.73	6.89	1.39	1.0	0.33	5.11	0.84	1.38	0.77	0.85	0.79	5.15	1.35	35.5	13.62	76.17
LDOC1L	395.18	395.18	392.44	457.25	457.25	371.22	397.93	181.28	97.36	239.52	92.7	66.65	79.45	33.06	70.01	173.85	152.28	84.04	191.67	65.72	91.41	187.71	190.34	19.68	204.07	28.24	84.04	60.39	120.1	24.81	253.23	246.28	341.51
MFGE8	2895.31	2895.31	5219.6	4903.87	4903.87	11992.79	4066.71	780.44	246.28	1183.45	85.82	493.56	497.0	86.43	332.14	124.37	343.89	193.01	497.0	603.67	915.51	454.09	547.75	214.27	511.0	55.1	679.29	191.67	713.11	348.71	6381.92	3372.43	4543.8
MGAT3	16.88	16.88	199.85	90.77	90.77	120.94	108.9	6.84	0.0	16.15	2.32	11.82	1.45	2.76	7.4	2.25	1.1	3.53	9.85	1.69	10.24	1.07	20.41	1.08	20.11	0.93	1.11	0.51	13.72	1.07	128.79	125.24	177.53
MLF1	514.56	514.56	358.54	480.04	480.04	1037.29	463.65	181.28	13.12	119.26	14.89	25.91	61.68	28.04	3.38	21.32	54.33	11.91	51.71	3.2	3.92	22.59	190.34	215.77	48.18	10.63	38.67	28.45	12.64	27.25	463.65	351.14	121.79
MST1R	171.45	171.45	84.63	27.25	27.25	98.73	169.07	14.14	16.39	23.93	0.16	19.11	17.13	4.35	17.51	0.0	1.99	1.13	20.56	8.85	10.39	1.57	25.91	0.0	38.67	1.0	0.67	18.56	16.88	2.29	688.78	187.71	532.74
MYADM	1857.6	1857.6	2816.11	5329.3	5329.3	11909.94	5219.6	2335.28	1159.07	5555.65	1397.83	703.28	2976.74	532.74	420.68	1208.34	2645.74	624.99	1639.59	1127.35	890.44	571.05	3690.52	909.17	1008.9	693.58	698.41	514.56	808.0	1030.12	3190.46	3146.52	5076.84
MYH9	6164.49	6164.49	8718.32	7130.55	7130.55	7642.41	5517.27	4543.8	1685.71	5041.77	1896.65	2701.35	3847.29	2287.2	1662.49	2664.15	2335.28	2119.22	4066.71	1977.24	2609.3	1529.73	4769.75	2335.28	2417.67	1519.15	3039.3	1883.54	2627.46	2319.15	10296.45	8078.22	8134.41
NPAS3	21.16	21.16	46.5	25.17	25.17	60.39	29.7	5.32	0.87	5.02	4.06	1.71	5.96	0.0	0.48	0.53	2.25	3.5	0.52	0.0	0.6	0.52	6.67	0.0	1.08	2.05	0.0	1.57	3.89	1.07	9.56	8.65	15.0
PDE1C	15.68	15.68	132.44	99.43	99.43	198.47	88.88	1.28	0.0	6.01	0.49	1.31	2.23	0.1	0.06	0.12	2.07	0.0	0.1	0.0	1.99	0.0	5.23	0.47	0.48	1.46	0.0	1.91	5.5	0.12	9.7	75.11	77.25
PHLDB1	1322.37	1322.37	1225.22	2758.13	2758.13	1844.76	1250.98	438.59	75.11	1096.5	37.59	279.14	277.2	35.0	77.25	126.12	271.48	46.18	285.03	147.06	197.09	60.82	525.39	85.22	148.09	24.46	202.66	73.03	264.03	90.77	1487.87	1551.09	1977.24
PLEKHG2	281.09	281.09	638.15	249.73	249.73	400.71	1844.76	147.06	84.04	220.32	101.54	121.79	181.28	30.56	48.18	84.63	177.53	37.05	90.14	55.89	125.24	78.34	234.57	73.03	66.65	50.63	156.59	62.56	100.83	110.43	536.45	1159.07	1175.27
RBMX	2855.44	2855.44	4607.24	3081.75	3081.75	4419.52	5913.33	1605.83	1605.83	2075.59	890.44	1135.2	995.0	1208.34	571.05	1216.75	1457.23	764.36	1540.37	1277.29	1359.57	1286.18	1225.22	607.87	1508.65	909.17	785.88	660.68	1151.06	366.09	2555.58	2758.13	2997.45
SART3	493.56	493.56	759.08	579.04	579.04	583.07	1143.1	336.79	206.94	599.49	218.79	237.86	262.2	223.41	273.37	295.11	363.56	255.0	320.8	371.22	262.2	271.48	417.77	163.28	420.68	249.73	202.66	191.67	283.05	264.03	563.18	629.35	651.58
SERPINA1	1167.14	1167.14	2018.8	854.13	854.13	1259.69	295.11	1545882.32	2097151.0	2748093.15	3200796.55	2965819.8	2039804.27	2141216.62	1432396.03	4342214.81	2442622.37	1255646.43	3200796.55	4023444.33	3780117.42	2375828.71	1402917.72	1131651.83	2884719.27	1751305.3	2767207.65	1825675.85	2636147.11	2617937.91	31215.04	16157.44	718.08
SF1	3716.2	3716.2	4972.34	3690.52	3690.52	5292.48	5995.9	2468.49	1151.06	3235.01	1806.78	1870.53	1991.0	1950.0	1709.26	2758.13	3257.52	1844.76	2855.44	2319.15	2004.85	1870.53	2367.9	1407.55	2720.15	1806.78	1757.34	1359.57	1794.29	1909.85	3146.52	4328.55	5791.62
SGPP2	69.52	69.52	147.06	31.0	31.0	80.01	46.84	40.36	9.2	123.5	4.46	10.08	51.35	23.76	0.74	90.14	42.71	1.17	115.16	5.54	14.35	2.36	57.89	0.0	77.25	0.0	20.86	0.83	8.85	0.4	518.15	153.34	175.07
SH3RF3	90.14	90.14	155.5	156.59	156.59	242.88	260.38	151.22	28.65	138.1	19.25	116.78	37.59	11.64	12.0	65.26	94.01	7.75	87.03	12.55	38.95	28.45	143.01	19.82	23.42	8.45	33.3	22.43	52.82	20.26	339.14	209.84	450.94
SKI	665.29	665.29	802.41	961.07	961.07	1135.2	1030.12	483.38	291.04	769.69	275.28	228.13	320.8	241.19	289.02	536.45	332.14	251.48	406.31	305.55	500.46	348.71	532.74	215.77	555.41	307.69	305.55	312.0	343.89	226.54	878.17	947.83	1199.98
SLC25A36	497.0	497.0	1104.13	1104.13	1104.13	988.12	791.35	289.02	18.43	139.07	23.59	82.29	57.49	31.45	16.03	20.26	52.45	36.27	118.43	29.7	50.98	21.94	185.11	19.11	64.34	5.87	75.11	26.1	42.11	81.71	497.0	738.29	961.07
SLC25A6	3515.68	3515.68	4123.49	3303.0	3303.0	4704.07	3847.29	2777.33	909.17	4066.71	665.29	1359.57	1225.22	532.74	921.88	1225.22	1359.57	988.12	1733.13	1051.79	1397.83	796.86	1991.0	1073.91	1208.34	825.0	1225.22	595.34	1561.89	1001.93	3768.09	3639.7	3614.55
SP6	193.01	193.01	74.58	51.35	51.35	55.89	61.25	6.89	0.39	10.96	3.23	5.11	0.0	0.68	1.51	0.73	0.74	0.0	0.68	0.0	2.34	0.72	2.43	1.77	3.17	0.6	0.0	1.6	0.68	0.72	37.59	105.89	25.72
STK32B	69.03	69.03	60.82	186.4	186.4	138.1	55.1	5.82	0.21	4.66	4.5	3.35	1.04	2.03	0.0	0.36	7.17	0.27	3.08	4.46	0.46	1.16	8.45	0.36	3.2	0.0	1.19	1.07	4.21	7.0	99.43	20.86	33.54
TMEM178B	3.66	3.66	67.12	29.48	29.48	16.15	69.03	3.11	1.11	3.82	0.0	0.49	1.39	0.43	0.0	0.45	0.0	0.35	1.51	0.0	1.97	1.55	2.43	0.0	3.03	0.0	0.46	0.0	1.51	0.44	12.27	13.93	24.46
TMEM43	1295.13	1295.13	1896.65	2018.8	2018.8	2104.58	1651.0	450.94	291.04	928.3	318.57	343.89	287.01	223.41	150.17	470.14	693.58	229.72	480.04	215.77	309.83	273.37	642.59	169.07	336.79	169.07	232.94	209.84	289.02	172.65	1781.89	1378.57	1340.84
WASF2	728.11	728.11	1909.85	1857.6	1857.6	1605.83	1175.27	417.77	253.23	571.05	293.07	363.56	323.03	150.17	186.4	301.33	316.37	171.45	332.14	269.6	406.31	307.69	305.55	163.28	297.17	132.44	379.04	209.84	368.65	150.17	1119.56	872.1	1781.89
ZMIZ1	921.88	921.88	1304.15	1437.15	1437.15	1001.93	629.35	493.56	111.99	703.28	366.09	264.03	336.79	218.79	157.68	112.77	473.41	115.16	283.05	198.47	267.73	356.05	381.68	190.34	327.56	420.68	291.04	177.53	215.77	275.28	813.63	603.67	1508.65
ZNF106	320.8	320.8	595.34	967.76	967.76	532.74	358.54	178.77	100.13	198.47	157.68	124.37	127.89	74.06	98.73	104.42	127.89	105.89	131.51	109.66	167.9	142.01	239.52	57.08	162.14	63.45	144.01	122.64	177.53	81.71	289.02	397.93	543.96
ZNF263	607.87	607.87	764.36	748.61	748.61	698.41	928.3	381.68	199.85	403.5	170.25	241.19	204.07	215.77	228.13	215.77	341.51	175.07	323.03	327.56	305.55	209.84	334.46	121.79	334.46	218.79	229.72	186.4	260.38	224.97	480.04	559.28	555.41
ZNF469	111.21	111.21	41.22	18.29	18.29	44.57	40.93	26.86	3.29	50.98	5.45	15.45	12.09	3.29	0.88	13.32	10.96	3.69	18.16	5.45	7.57	3.38	23.08	1.73	6.41	0.89	16.27	2.36	14.14	0.97	166.73	30.78	117.6
