	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP
MSI1	351.14	351.14	113.56	2.63	7.69	14.78	81.14	3.69	74.06	4.9	30.12	0.87	0.87	37.05	52.45	0.88	0.46	8.25	25.54	0.43	3.32	81.14	9.34	9.78	26.86	6.89	0.49	6.16	16.27	0.13	12.55	50.27	46.84	53.95	87.65	1.08	28.86	0.88	3.06	0.37	9.63	38.95	2.73
MSI2	1617.0	1617.0	2384.37	167.9	295.11	529.06	819.3	140.04	769.69	314.17	656.11	214.27	189.02	708.18	842.36	309.83	279.14	305.55	483.38	186.4	246.28	819.3	287.01	400.71	620.67	403.5	229.72	264.03	460.44	134.3	389.72	392.44	728.11	638.15	830.75	215.77	759.08	136.19	161.02	246.28	318.57	476.71	237.86
MTL5	2956.17	2956.17	2148.82	11.38	35.76	176.29	1030.12	14.45	329.84	29.27	189.02	22.92	4.28	214.27	187.71	25.91	36.79	24.28	132.44	24.46	17.51	1030.12	37.05	50.27	151.22	54.33	8.0	17.0	75.11	24.28	63.0	142.01	127.0	139.07	249.73	16.03	172.65	8.45	10.0	51.71	185.11	80.57	33.54
MYB	2796.65	2796.65	2976.74	6.84	114.36	511.0	884.29	1.51	1008.9	50.63	555.41	2.41	3.86	1233.75	708.18	10.08	16.88	103.69	417.77	4.9	3.2	884.29	38.4	191.67	571.05	123.5	5.73	15.8	244.57	15.45	237.86	267.73	164.42	525.39	1143.1	30.78	713.11	8.25	12.93	33.06	503.95	189.02	97.36
NHLRC4	223.41	223.41	246.28	29.06	17.77	47.17	96.01	38.95	77.25	7.0	80.01	7.28	19.39	48.52	64.8	19.11	36.01	23.59	40.36	24.81	31.0	96.01	17.77	23.93	28.86	24.81	12.55	17.38	43.02	13.93	11.55	99.43	78.34	64.34	87.65	14.56	20.71	0.75	1.85	7.4	21.16	31.45	20.71
NLRP2	884.29	884.29	1081.39	23.25	58.71	239.52	361.04	0.43	348.71	1.71	191.67	5.28	2.51	202.66	647.07	16.39	18.03	15.22	202.66	10.39	7.4	361.04	14.24	24.11	37.05	66.18	6.11	13.42	33.3	5.54	99.43	208.38	363.56	376.41	175.07	19.11	220.32	8.99	0.55	14.56	69.03	75.64	50.63
NUPR1L	183.82	183.82	148.09	1.57	16.63	131.51	115.97	4.1	224.97	2.53	50.27	0.0	2.92	30.56	105.15	0.0	0.0	21.32	38.95	0.0	0.0	115.97	9.93	23.08	51.35	17.38	1.39	11.47	49.91	1.77	6.31	54.33	35.25	49.21	201.25	4.82	66.65	0.0	1.3	2.23	25.35	76.17	5.68
OVGP1	532.74	532.74	507.46	16.27	32.59	47.5	153.34	24.46	88.88	23.08	55.49	29.48	21.16	71.5	54.33	29.7	38.12	27.64	40.64	29.91	29.27	153.34	82.87	30.56	67.59	38.4	26.28	34.75	36.53	9.78	50.63	60.39	52.45	67.59	55.49	37.32	35.25	12.93	11.3	19.68	36.27	25.91	53.95
P2RY2	309.83	309.83	447.82	15.91	20.11	96.68	129.69	20.26	119.26	15.56	115.97	9.93	19.68	85.22	115.16	14.67	22.92	32.36	86.43	16.03	17.25	129.69	13.72	37.05	73.03	21.47	4.35	20.71	30.56	13.52	30.34	114.36	19.53	96.68	251.48	8.06	71.5	8.92	14.78	17.38	32.82	40.93	96.01
PCMTD2	3515.68	3515.68	4358.66	595.34	909.17	967.76	1350.18	387.02	1583.71	878.17	1359.57	825.0	525.39	1561.89	1639.59	854.13	780.44	813.63	1001.93	759.08	698.41	1350.18	1268.46	1015.93	1369.04	890.44	961.07	759.08	1909.85	743.43	616.37	1733.13	1199.98	1183.45	1096.5	665.29	1066.48	339.14	629.35	633.73	1277.29	1331.57	612.11
PHF20L1	688.78	688.78	1551.09	277.2	373.81	400.71	559.28	139.07	583.07	403.5	511.0	454.09	334.46	633.73	511.0	376.41	412.0	356.05	403.5	381.68	376.41	559.28	457.25	435.55	514.56	454.09	429.54	332.14	412.0	251.48	212.78	587.13	497.0	872.1	470.14	341.51	620.67	312.0	215.77	295.11	426.57	571.05	318.57
PPP6R3	2400.97	2400.97	5255.91	529.06	830.75	878.17	1477.58	414.87	1159.07	819.3	1143.1	854.13	679.29	1350.18	1167.14	775.05	769.69	769.69	967.76	842.36	808.0	1477.58	890.44	819.3	1151.06	921.88	896.64	830.75	995.0	607.87	679.29	1037.29	1191.69	1781.89	1051.79	728.11	1378.57	647.07	543.96	679.29	791.35	1088.92	733.19
RALGAPB	1794.29	1794.29	2758.13	237.86	371.22	409.15	813.63	166.73	591.22	438.59	543.96	480.04	275.28	825.0	688.78	373.81	356.05	368.65	450.94	409.15	358.54	813.63	409.15	395.18	587.13	521.76	395.18	356.05	595.34	297.17	366.09	497.0	466.88	836.53	543.96	343.89	769.69	279.14	208.38	325.29	412.0	563.18	379.04
RHOH	656.11	656.11	480.04	62.56	57.08	206.94	379.04	21.78	406.31	50.98	260.38	34.02	14.89	295.11	208.38	49.21	30.34	70.01	143.01	25.54	37.05	379.04	75.11	103.69	336.79	59.55	39.5	44.57	49.56	12.36	84.63	183.82	202.66	327.56	518.15	23.08	275.28	17.38	5.23	55.89	118.43	142.01	96.68
SLC4A8	157.68	157.68	400.71	9.63	19.97	105.89	131.51	1.17	130.6	4.17	58.71	9.27	8.51	134.3	104.42	11.38	10.39	11.91	19.97	29.7	10.31	131.51	7.28	40.36	84.63	28.86	4.86	14.67	44.57	2.86	21.47	34.51	37.32	56.28	218.79	10.71	143.01	4.35	5.28	6.21	54.72	59.55	4.9
SORCS1	153.34	153.34	244.57	3.53	10.55	24.63	77.79	4.98	55.89	0.96	26.1	5.06	3.03	45.85	28.65	3.86	7.4	15.56	27.05	3.17	8.85	77.79	1.97	29.91	20.56	21.32	5.02	2.66	4.62	0.0	11.82	19.25	2.01	34.75	21.94	0.44	73.54	2.12	0.0	25.54	6.62	19.25	18.03
SPICE1	521.76	521.76	1073.91	72.52	134.3	187.71	295.11	32.59	318.57	93.35	231.32	121.79	57.49	275.28	208.38	103.69	107.38	133.36	164.42	102.97	99.43	295.11	127.89	138.1	242.88	93.35	107.38	57.89	146.03	71.5	111.21	228.13	159.9	226.54	246.28	97.36	283.05	59.55	45.53	101.54	177.53	153.34	115.97
STC2	57448.23	57448.23	45072.75	38.4	591.22	3768.09	8598.28	76.17	8305.36	275.28	3768.09	52.45	55.1	4181.07	5672.41	237.86	108.9	703.28	2224.63	43.32	74.06	8598.28	124.37	775.05	3589.58	884.29	33.78	142.01	1233.75	39.79	748.61	10225.32	1350.18	4607.24	6426.31	120.1	5403.7	66.18	81.14	34.26	896.64	4903.87	126.12
STMND1	629.35	629.35	426.57	0.0	23.59	68.55	127.0	0.0	61.68	2.73	96.01	0.0	0.0	71.0	37.05	2.71	3.44	14.89	38.67	0.0	1.58	127.0	3.03	13.42	117.6	4.28	0.0	1.19	108.14	0.0	40.36	12.55	27.25	84.04	142.01	0.0	108.14	0.0	0.0	2.61	48.18	12.09	4.74
SUV420H1	1088.92	1088.92	1572.76	470.14	599.49	854.13	921.88	351.14	981.29	607.87	954.43	642.59	521.76	1119.56	796.86	647.07	547.75	579.04	764.36	587.13	620.67	921.88	748.61	665.29	934.76	708.18	555.41	599.49	532.74	435.55	358.54	866.07	723.08	981.29	1073.91	497.0	660.68	303.44	343.89	301.33	638.15	941.27	480.04
THSD4	1832.01	1832.01	2555.58	17.51	146.03	318.57	866.07	21.01	1135.2	53.57	409.15	19.82	20.26	688.78	674.59	28.65	44.25	110.43	329.84	29.48	47.5	866.07	91.41	133.36	551.56	126.12	27.84	50.27	140.04	23.93	80.57	220.32	356.05	540.19	753.83	15.91	514.56	6.01	24.99	26.47	105.89	163.28	177.53
TRIM45	269.6	269.6	314.17	20.56	40.36	90.77	173.85	42.11	260.38	34.75	190.34	37.85	29.7	164.42	241.19	43.32	41.52	50.27	127.0	31.22	38.67	173.85	52.45	68.55	122.64	46.84	39.5	34.75	84.04	17.51	57.89	85.22	81.14	173.85	277.2	17.64	94.67	13.22	25.91	49.56	69.03	66.18	23.59
TRPS1	3280.18	3280.18	15180.22	77.25	275.28	825.0	1127.35	47.17	1896.65	190.34	1388.16	140.04	88.88	1427.22	1583.71	139.07	143.01	285.03	684.02	170.25	133.36	1127.35	285.03	414.87	1096.5	423.61	121.79	178.77	547.75	82.29	429.54	1561.89	848.22	713.11	1605.83	173.85	934.76	92.7	120.94	142.01	660.68	693.58	36.01
TSPAN5	1397.83	1397.83	1467.37	36.79	87.03	493.56	633.73	26.28	490.14	71.0	423.61	30.78	15.0	547.75	480.04	30.34	31.45	100.83	255.0	28.86	36.53	633.73	129.69	142.01	543.96	148.09	37.05	70.51	228.13	69.03	148.09	246.28	212.78	269.6	476.71	31.45	351.14	17.51	12.93	76.17	91.41	208.38	49.56
TUFT1	497.0	497.0	616.37	96.68	176.29	255.0	329.84	120.94	318.57	130.6	271.48	137.14	146.03	248.0	208.38	127.0	148.09	164.42	217.27	127.89	206.94	329.84	115.16	172.65	314.17	172.65	119.26	191.67	180.02	82.87	167.9	426.57	237.86	392.44	323.03	148.09	201.25	139.07	108.9	92.05	206.94	170.25	178.77
TVP23C	208.38	208.38	470.14	81.71	99.43	138.1	246.28	55.1	251.48	99.43	173.85	98.04	52.82	209.84	166.73	78.34	98.04	85.82	134.3	109.66	55.49	246.28	71.0	63.0	157.68	145.02	98.04	62.56	118.43	29.06	93.35	167.9	148.09	271.48	167.9	45.85	248.0	76.17	49.56	65.26	154.42	109.66	127.89
VAV3	7130.55	7130.55	13123.73	49.91	217.27	748.61	1844.76	18.7	1832.01	136.19	1151.06	33.06	19.11	1322.37	1963.57	47.17	51.71	195.72	775.05	66.18	34.51	1844.76	146.03	343.89	1073.91	265.87	40.36	69.52	438.59	37.32	202.66	1617.0	647.07	511.0	1923.14	102.97	603.67	32.59	32.13	53.95	540.19	312.0	265.87
WNK4	802.41	802.41	217.27	1.57	33.54	115.16	267.73	0.82	279.14	6.62	177.53	2.51	0.89	244.57	273.37	4.94	3.29	16.15	132.44	1.58	2.14	267.73	12.55	60.82	167.9	21.78	3.56	9.06	164.42	0.33	83.45	62.12	78.89	102.97	242.88	0.0	199.85	0.0	0.56	3.23	209.84	60.39	53.95
ZNF292	320.8	320.8	1037.29	82.87	162.14	244.57	332.14	60.82	414.87	167.9	343.89	191.67	146.03	409.15	316.37	180.02	155.5	165.57	256.78	176.29	141.02	332.14	239.52	178.77	329.84	226.54	183.82	169.07	194.36	113.56	114.36	234.57	221.86	281.09	381.68	156.59	309.83	86.43	87.03	148.09	170.25	217.27	129.69
ZNF552	3589.58	3589.58	5872.48	50.98	130.6	334.46	961.07	48.18	1037.29	119.26	444.72	82.29	64.8	400.71	435.55	77.25	70.51	145.02	187.71	71.5	71.5	961.07	122.64	339.14	376.41	158.79	62.56	59.97	64.34	74.06	194.36	476.71	476.71	791.35	1199.98	62.56	571.05	29.48	70.01	59.13	366.09	169.07	115.97
ZNF57	190.34	190.34	226.54	71.0	47.84	113.56	120.94	38.12	154.42	61.68	152.28	64.34	41.22	113.56	121.79	49.21	31.45	59.13	69.52	52.08	58.3	120.94	49.91	74.06	120.94	78.89	67.59	43.32	53.95	42.71	67.59	122.64	98.73	80.57	123.5	80.57	87.03	35.0	44.25	68.07	97.36	110.43	80.01
ZNF577	1487.87	1487.87	708.18	251.48	211.31	532.74	521.76	246.28	543.96	277.2	486.75	215.77	260.38	629.35	420.68	379.04	287.01	260.38	423.61	260.38	379.04	521.76	463.65	476.71	463.65	303.44	269.6	195.72	279.14	115.97	305.55	518.15	258.57	379.04	536.45	182.55	406.31	92.05	85.82	229.72	406.31	214.27	187.71
ZNF587B	595.34	595.34	1733.13	50.63	82.87	145.02	297.17	33.3	264.03	84.63	164.42	75.11	48.87	152.28	135.24	57.89	55.89	79.45	90.77	63.45	77.79	297.17	53.57	107.38	157.68	97.36	76.17	66.18	68.55	86.43	120.94	97.36	161.02	246.28	231.32	126.12	110.43	76.71	83.45	103.69	65.26	138.1	99.43
