	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.SNOS.0426.SM.32PMH	GTEX.133LE.0526.SM.5N9EJ	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.1399S.1726.SM.5L3DI	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.145LS.1226.SM.5Q5D9	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W
FSIP1	1.57	1.2	0.0	0.0	3.11	6.41	9.41	15.45	7.34	7.51	13.62	20.11	2.92	6.84	29.7	3.29	37.85	10.24	3.96	6.26	6.41	4.06	16.63	11.82	22.75
GAS2L2	0.0	0.43	0.0	0.0	7.88	7.17	78.89	191.67	20.41	103.69	87.65	141.02	4.31	218.79	244.57	21.78	423.61	114.36	5.28	27.05	6.41	16.27	244.57	173.85	229.72
GPATCH2	31.22	37.32	0.0	0.35	66.18	96.68	100.83	113.56	63.89	85.22	110.43	189.02	108.14	94.67	130.6	99.43	166.73	122.64	115.16	111.21	61.68	93.35	172.65	177.53	176.29
GPRIN3	86.43	6.73	0.0	0.23	97.36	42.41	115.97	121.79	58.3	74.06	60.82	102.25	65.26	708.18	50.63	46.5	559.28	120.94	76.71	37.32	26.86	159.9	312.0	368.65	131.51
GTF2B	476.71	764.36	0.0	0.6	808.0	718.08	2004.85	995.0	500.46	860.08	599.49	961.07	995.0	748.61	1023.0	1088.92	1322.37	961.07	665.29	1015.93	660.68	723.08	2417.67	1259.69	1277.29
HDX	1.28	19.82	0.0	0.31	10.96	10.16	15.0	21.16	10.88	16.15	34.02	82.87	13.62	39.5	18.56	17.25	43.94	27.25	21.16	13.03	8.0	14.45	35.76	23.93	51.71
HRK	0.0	0.0	0.0	0.0	0.83	1.45	3.32	6.89	3.44	12.36	4.03	4.5	1.97	5.59	13.42	3.79	81.71	7.57	0.74	2.68	2.39	1.3	59.97	9.27	21.16
HYDIN	2.51	0.54	0.0	0.04	28.45	29.48	73.03	201.25	21.47	111.21	95.34	211.31	35.76	260.38	305.55	16.63	902.89	109.66	13.83	17.64	15.0	19.11	620.67	281.09	202.66
IFLTD1	0.0	0.0	0.0	0.0	7.88	0.0	18.03	45.85	8.06	17.64	49.21	57.08	3.26	88.88	66.18	15.45	239.52	46.5	0.0	3.32	0.0	0.0	126.12	94.67	76.71
IFT46	46.18	68.07	0.0	0.07	423.61	361.04	575.03	733.19	559.28	460.44	540.19	780.44	599.49	473.41	872.1	507.46	1322.37	669.92	483.38	563.18	403.5	363.56	854.13	780.44	718.08
IFT74	94.01	143.01	0.0	0.21	237.86	175.07	218.79	241.19	175.07	221.86	212.78	387.02	191.67	229.72	318.57	138.1	575.03	215.77	156.59	293.07	108.9	208.38	289.02	305.55	301.33
IFT81	53.95	61.25	0.0	0.32	167.9	111.99	244.57	197.09	95.34	204.07	181.28	323.03	142.01	231.32	323.03	148.09	660.68	220.32	119.26	140.04	56.28	143.01	483.38	177.53	275.28
IFT88	182.55	185.11	0.0	0.27	248.0	145.02	264.03	363.56	299.25	301.33	158.79	339.14	218.79	373.81	454.09	256.78	587.13	323.03	150.17	231.32	205.5	220.32	518.15	454.09	351.14
IL5RA	0.0	0.0	0.0	0.0	15.34	81.14	87.65	55.89	17.13	37.05	35.25	161.02	13.42	94.67	146.03	33.06	438.59	41.22	5.82	60.82	8.71	42.71	226.54	121.79	73.54
IQUB	0.0	2.68	0.0	0.0	15.11	12.45	18.84	47.5	27.64	18.56	28.45	71.5	5.96	82.29	49.56	17.0	271.48	33.78	9.56	11.13	5.11	4.35	175.07	77.25	65.72
KBTBD8	5.23	5.73	0.0	0.06	20.26	27.44	83.45	47.84	28.86	15.56	30.12	63.0	21.78	53.57	36.27	35.25	155.5	37.85	63.89	42.11	21.78	66.65	72.52	105.89	66.65
KIF6	2.97	0.83	0.0	0.0	62.12	29.06	33.78	181.28	6.26	101.54	61.25	221.86	34.26	166.73	190.34	32.36	928.3	98.73	13.22	34.26	21.94	29.7	297.17	78.34	172.65
KLHL32	3.76	5.68	0.0	0.0	19.39	17.0	35.25	65.72	14.78	29.48	36.27	56.28	11.64	56.28	71.0	17.64	183.82	38.67	17.51	22.59	9.48	15.8	111.99	59.55	67.59
LCA5	2.07	1.71	0.0	0.14	52.45	69.03	75.11	133.36	37.85	51.35	70.51	195.72	87.03	163.28	193.01	84.04	463.65	90.14	28.04	88.26	14.56	67.12	368.65	129.69	120.1
LEKR1	10.08	7.94	0.0	0.0	24.99	6.78	27.84	32.13	7.82	18.97	28.86	51.71	22.92	35.25	37.32	19.25	187.71	27.25	15.11	20.26	6.41	12.55	115.97	20.86	30.78
LETM2	11.3	5.45	0.0	0.46	38.95	43.63	444.72	112.77	103.69	49.21	19.82	33.78	15.68	90.14	47.5	24.99	152.28	38.67	47.17	9.2	23.25	12.93	209.84	267.73	249.73
LRRC48	23.25	17.64	0.0	0.0	103.69	116.78	320.8	571.05	124.37	366.09	244.57	525.39	128.79	529.06	854.13	151.22	1697.45	332.14	63.0	150.17	77.25	93.35	1015.93	376.41	583.07
LY9	8.0	23.76	0.0	0.28	30.12	41.52	172.65	73.03	120.1	42.41	22.43	46.5	28.04	58.3	25.35	61.25	260.38	62.12	51.71	33.06	13.12	26.1	432.53	135.24	149.12
MAATS1	3.32	7.94	0.0	0.32	43.63	52.82	94.01	299.25	33.54	163.28	84.04	279.14	47.5	327.56	320.8	47.84	1030.12	120.1	23.76	53.57	14.24	13.83	587.13	231.32	242.88
MAPK15	6.26	11.64	0.0	0.46	77.79	126.12	441.64	713.11	114.36	457.25	215.77	563.18	101.54	934.76	1143.1	137.14	2573.36	444.72	29.7	104.42	36.27	59.97	1662.49	612.11	521.76
NEK10	4.03	9.41	0.0	0.0	9.34	12.0	67.12	157.68	20.41	87.03	70.51	155.5	8.32	201.25	167.9	31.0	718.08	73.03	15.68	11.73	7.75	31.67	435.55	212.78	205.5
NEK11	11.13	7.82	0.0	0.01	73.54	71.5	201.25	363.56	71.0	204.07	158.79	316.37	62.56	241.19	356.05	104.42	928.3	221.86	85.22	122.64	39.5	72.01	389.72	205.5	325.29
NME9	1.48	0.99	0.0	0.08	21.78	11.38	57.08	117.6	26.1	85.22	66.65	130.6	16.27	198.47	353.59	24.11	981.29	111.21	14.35	28.04	12.45	22.26	503.95	136.19	248.0
OSCP1	29.27	46.18	0.0	0.0	563.18	480.04	536.45	753.83	723.08	603.67	483.38	669.92	406.31	830.75	1295.13	511.0	2935.74	679.29	339.14	642.59	423.61	400.71	1369.04	1015.93	842.36
PACRG	20.71	16.03	0.0	0.0	30.12	30.78	180.02	406.31	23.76	221.86	123.5	376.41	44.25	567.1	567.1	70.01	2915.45	253.23	18.97	33.78	15.0	44.89	1191.69	371.22	579.04
PER2	8.51	20.26	27.44	106.63	51.35	490.14	571.05	171.45	172.65	185.11	126.12	343.89	98.73	303.44	297.17	127.89	332.14	287.01	120.1	97.36	108.14	149.12	466.88	234.57	251.48
PIBF1	94.67	146.03	0.0	0.32	209.84	152.28	223.41	237.86	163.28	194.36	157.68	297.17	185.11	204.07	307.69	255.0	277.2	198.47	202.66	285.03	152.28	206.94	457.25	381.68	320.8
PIFO	1.43	0.75	0.0	0.0	327.56	426.57	947.83	2682.69	490.14	1639.59	921.88	2573.36	307.69	2468.49	3742.05	660.68	14561.8	1745.2	242.88	476.71	186.4	529.06	4152.18	2303.12	4239.45
PPP1CC	540.19	743.43	0.0	0.91	1175.27	738.29	1304.15	1233.75	1331.57	1304.15	1709.26	2434.5	1044.52	1331.57	1551.09	1477.58	1721.16	1769.57	1457.23	1427.22	764.36	1183.45	4512.4	2090.03	1963.57
PTPN22	4.94	7.88	0.0	0.42	57.08	18.43	90.77	102.25	59.55	62.56	71.5	156.59	53.95	137.14	42.41	97.36	473.41	100.13	110.43	76.17	71.0	130.6	244.57	241.19	226.54
PTPRT	0.0	0.45	0.0	0.0	2.73	2.07	10.16	116.78	6.78	30.12	43.02	76.71	1.38	131.51	135.24	15.22	314.17	43.32	5.28	6.62	3.5	2.43	126.12	88.26	94.67
RAB14	607.87	961.07	0.0	0.69	1340.84	1498.22	1159.07	1721.16	1119.56	1477.58	1909.85	2664.15	1350.18	1519.15	2018.8	1477.58	1883.54	1757.34	1857.6	1781.89	1208.34	1508.65	3103.19	2997.45	1832.01
RBM20	6.46	1.07	0.0	0.17	4.78	3.56	4.94	19.82	3.06	7.46	4.39	27.44	10.63	73.54	17.64	7.22	197.09	11.04	1.1	7.88	0.55	4.03	110.43	26.47	33.54
RGS22	0.0	0.0	0.0	0.0	42.71	27.05	63.45	158.79	37.59	102.25	102.97	206.94	28.24	197.09	236.21	30.34	785.88	132.44	27.05	63.0	4.9	18.43	412.0	417.77	336.79
RHEBL1	14.89	15.91	0.0	0.11	15.22	16.15	34.02	49.91	25.35	48.87	27.44	24.28	30.56	34.02	47.17	26.47	171.45	49.56	17.51	18.7	15.56	19.82	102.97	45.53	60.39
SDR42E2	0.95	0.49	0.0	0.0	2.43	0.67	3.03	4.94	2.92	4.86	4.06	6.06	2.94	7.88	3.99	2.56	12.18	1.71	0.0	0.8	0.12	1.25	11.3	6.89	6.16
SFTPB	1.1	0.0	22692.63	50709.61	3049200.37	3290783.22	2326934.84	1432396.03	1890058.21	1929772.37	2767207.65	1645391.11	2691538.19	2825352.59	2884719.27	3223059.86	794671.01	1763486.6	2845004.48	5057523.59	2493947.08	3245478.02	1589343.01	2546350.23	397335.0
SPATA18	15.68	17.13	0.0	0.0	142.01	76.71	323.03	718.08	241.19	293.07	379.04	974.5	212.78	934.76	1313.23	47.17	4239.45	466.88	42.41	138.1	47.17	129.69	1883.54	595.34	1066.48
SPATA4	0.0	0.0	0.0	0.0	10.47	4.82	57.89	173.85	5.11	49.21	58.71	111.99	14.14	77.79	180.02	15.45	483.38	69.03	17.9	14.56	6.06	24.46	205.5	133.36	122.64
SPEF2	20.26	3.92	0.0	0.18	85.82	58.71	86.43	316.37	73.54	181.28	100.13	293.07	138.1	295.11	267.73	78.34	656.11	143.01	57.08	111.99	14.78	37.32	353.59	197.09	234.57
ST3GAL6	271.48	384.34	0.0	0.22	356.05	246.28	514.56	583.07	262.2	228.13	387.02	547.75	476.71	947.83	543.96	301.33	463.65	438.59	244.57	204.07	423.61	441.64	947.83	791.35	307.69
ST8SIA1	1.45	2.76	0.0	0.19	53.19	84.63	93.35	95.34	62.12	87.65	75.11	108.14	67.12	159.9	88.26	81.71	325.29	100.83	24.11	35.25	28.45	13.83	161.02	211.31	79.45
STAM2	102.97	119.26	149.12	251.48	264.03	363.56	267.73	373.81	316.37	332.14	373.81	571.05	312.0	356.05	450.94	329.84	441.64	299.25	334.46	329.84	214.27	336.79	450.94	457.25	329.84
STAT4	57.08	31.9	0.0	0.34	39.22	38.12	60.82	88.26	39.5	92.05	33.3	60.82	27.44	88.26	36.01	41.52	229.72	63.0	48.52	39.5	40.07	43.94	246.28	175.07	190.34
STK33	2.25	0.0	0.0	0.15	204.07	224.97	327.56	1199.98	172.65	480.04	624.99	1135.2	346.29	785.88	1806.78	256.78	3235.01	591.22	255.0	293.07	94.01	299.25	1359.57	1159.07	854.13
SYNRG	102.97	76.17	105.15	120.94	221.86	397.93	341.51	307.69	241.19	190.34	283.05	395.18	277.2	343.89	341.51	323.03	438.59	275.28	209.84	339.14	153.34	289.02	267.73	532.74	417.77
TEX9	1.06	5.23	0.0	0.0	57.08	32.13	77.79	142.01	33.78	104.42	111.21	220.32	56.68	206.94	271.48	51.35	728.11	126.12	47.17	102.25	22.92	64.8	336.79	198.47	309.83
TMC5	89.51	77.79	1044.52	285.03	525.39	497.0	1059.11	2485.67	5329.3	1304.15	642.59	5711.87	447.82	4802.93	2777.33	332.14	42346.82	2319.15	1950.0	1477.58	4736.79	2090.03	43537.38	7537.18	5147.73
TMEM231	11.73	11.55	0.0	0.0	161.02	159.9	289.02	599.49	228.13	447.82	376.41	775.05	148.09	651.58	1183.45	171.45	2645.74	460.44	202.66	289.02	167.9	248.0	2004.85	836.53	860.08
TMEM232	3.5	1.27	0.0	0.0	69.52	59.97	92.05	239.52	30.34	94.67	94.67	341.51	19.53	316.37	237.86	60.39	1088.92	182.55	31.9	89.51	19.25	37.05	470.14	161.02	323.03
TMEM67	23.93	15.45	0.0	0.0	98.73	116.78	150.17	201.25	114.36	244.57	220.32	299.25	111.99	251.48	287.01	162.14	775.05	236.21	73.54	146.03	90.14	155.5	1044.52	211.31	285.03
TRDMT1	11.38	11.91	0.0	0.22	83.45	63.89	101.54	134.3	86.43	75.64	101.54	173.85	44.89	90.77	84.04	80.57	143.01	133.36	77.25	82.87	88.88	66.18	120.94	204.07	102.97
TTC21A	39.22	23.59	0.0	0.43	87.65	138.1	260.38	297.17	113.56	249.73	141.02	218.79	189.02	299.25	476.71	86.43	842.36	193.01	62.12	113.56	49.56	70.01	647.07	361.04	251.48
TTC21B	47.17	38.67	0.0	0.33	101.54	135.24	147.06	164.42	116.78	175.07	209.84	279.14	148.09	246.28	356.05	177.53	417.77	217.27	108.9	147.06	85.82	126.12	368.65	325.29	229.72
TTC23L	1.1	8.06	0.0	0.0	21.94	10.47	19.68	35.25	1.81	40.36	23.93	49.56	6.57	62.12	63.89	21.78	153.34	24.28	6.62	15.91	2.32	3.72	94.67	49.56	37.59
UBXN10	36.53	114.36	0.0	0.0	11.13	16.51	218.79	713.11	64.8	262.2	234.57	660.68	36.53	624.99	1191.69	111.99	4869.99	379.04	18.16	81.14	21.78	51.71	1322.37	406.31	808.0
VWA7	74.58	59.55	0.0	0.0	64.34	205.5	224.97	307.69	34.02	87.03	110.43	275.28	117.6	511.0	642.59	109.66	1662.49	124.37	32.36	80.57	43.63	55.1	329.84	273.37	323.03
ZBBX	0.0	0.0	0.0	0.0	12.74	0.0	127.89	334.46	54.33	206.94	112.77	361.04	3.99	444.72	356.05	33.3	1199.98	177.53	10.55	25.35	9.7	7.22	921.88	476.71	339.14
ZNF487	46.84	40.93	0.0	0.09	116.78	159.9	264.03	212.78	69.03	172.65	127.0	143.01	127.89	187.71	346.29	221.86	780.44	199.85	56.68	111.99	82.87	98.04	486.75	279.14	208.38
