	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	GTEX.R45C.1226.SM.48FEE	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.Y3IK.0526.SM.4WWE3	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
DPH1	435.55	529.06	909.17	647.07	525.39	518.15	656.11	486.75	575.03	348.71	426.57	571.05	480.04	511.0	738.29	603.67	176.29	543.96	490.14	473.41	551.56	679.29	444.72	389.72	503.95	450.94	514.56	480.04	441.64	540.19	450.94	518.15	514.56	493.56	490.14	521.76	559.28	575.03	536.45	397.93	435.55	476.71	420.68	366.09	497.0	1225.22	961.07	1183.45	769.69	860.08	1111.82	921.88	1250.98	620.67	591.22	521.76	656.11	728.11	684.02	684.02	656.11	559.28	679.29	819.3	493.56	693.58	563.18	1216.75	1437.15	1151.06	738.29	995.0	1008.9	941.27	1023.0	866.07	718.08	1259.69	759.08	567.1	884.29	947.83	769.69	995.0	974.5	775.05	1059.11	723.08	1216.75	842.36
DVL2	511.0	351.14	1088.92	444.72	432.53	220.32	444.72	327.56	307.69	218.79	435.55	279.14	239.52	277.2	371.22	500.46	40.36	237.86	287.01	293.07	389.72	356.05	237.86	316.37	273.37	248.0	297.17	297.17	309.83	239.52	229.72	303.44	307.69	251.48	291.04	323.03	336.79	283.05	318.57	249.73	320.8	327.56	329.84	229.72	348.71	769.69	819.3	728.11	656.11	356.05	825.0	521.76	802.41	343.89	441.64	228.13	287.01	316.37	379.04	287.01	507.46	262.2	312.0	414.87	397.93	363.56	275.28	836.53	921.88	1001.93	543.96	1037.29	796.86	796.86	961.07	769.69	620.67	753.83	674.59	559.28	579.04	878.17	693.58	665.29	718.08	674.59	642.59	748.61	981.29	708.18
ENTHD2	529.06	412.0	1295.13	246.28	234.57	114.36	205.5	139.07	154.42	57.08	101.54	165.57	226.54	97.36	229.72	316.37	35.25	153.34	113.56	88.26	151.22	262.2	76.71	125.24	127.89	57.08	105.15	94.67	112.77	73.54	144.01	122.64	110.43	92.7	101.54	140.04	161.02	173.85	108.14	94.67	144.01	111.99	126.12	64.34	169.07	629.35	1096.5	733.19	409.15	414.87	785.88	438.59	684.02	165.57	258.57	118.43	122.64	181.28	175.07	149.12	400.71	98.04	163.28	295.11	99.43	118.43	101.54	587.13	748.61	878.17	381.68	547.75	529.06	543.96	884.29	656.11	381.68	775.05	529.06	379.04	624.99	507.46	579.04	607.87	591.22	397.93	417.77	514.56	796.86	389.72
FAM160B2	1340.84	607.87	2935.74	486.75	457.25	195.72	473.41	400.71	275.28	229.72	314.17	403.5	591.22	171.45	497.0	791.35	53.19	343.89	279.14	264.03	441.64	540.19	229.72	293.07	307.69	255.0	323.03	305.55	323.03	312.0	281.09	346.29	320.8	318.57	299.25	412.0	329.84	297.17	348.71	220.32	363.56	279.14	351.14	218.79	392.44	1073.91	1594.73	1088.92	1051.79	1008.9	1159.07	796.86	1151.06	358.54	543.96	358.54	392.44	409.15	521.76	497.0	860.08	336.79	447.82	547.75	514.56	450.94	376.41	1417.35	2104.58	1745.2	1183.45	1639.59	1175.27	1350.18	1427.22	1295.13	1127.35	1427.22	1467.37	988.12	1191.69	1304.15	1487.87	1073.91	1183.45	1044.52	1151.06	1119.56	2061.24	934.76
FAM186A	12.45	3.92	6.84	2.16	2.34	1.83	2.61	1.77	2.34	1.83	1.66	1.93	1.75	0.77	1.2	2.56	1.19	0.71	1.23	0.46	2.53	4.58	1.41	1.17	1.28	2.27	0.39	1.89	1.66	1.35	0.87	2.36	1.57	1.55	2.48	1.19	1.89	2.03	2.39	0.0	0.73	1.53	2.43	1.2	2.81	5.82	12.18	8.58	2.12	3.72	4.9	5.54	7.11	3.63	0.78	0.39	2.01	1.19	3.23	1.51	2.81	1.22	1.95	1.87	0.77	2.46	1.64	31.45	6.16	5.45	6.94	1.5	6.06	1.06	7.94	2.16	6.41	5.32	8.32	4.35	4.24	5.19	3.14	4.94	4.28	3.56	3.03	5.32	2.97	0.8
FBRS	2664.15	1191.69	2133.97	753.83	802.41	356.05	629.35	674.59	420.68	341.51	547.75	713.11	688.78	559.28	896.64	890.44	129.69	547.75	559.28	555.41	684.02	733.19	497.0	612.11	529.06	420.68	587.13	624.99	575.03	363.56	490.14	563.18	660.68	563.18	642.59	669.92	579.04	536.45	669.92	358.54	708.18	583.07	575.03	379.04	624.99	1340.84	1628.26	1216.75	1259.69	1745.2	1008.9	1295.13	1167.14	785.88	941.27	525.39	728.11	769.69	825.0	738.29	1096.5	583.07	656.11	896.64	842.36	830.75	591.22	1407.55	1508.65	1651.0	1037.29	1295.13	1191.69	1111.82	1359.57	1143.1	1208.34	1167.14	1167.14	941.27	1331.57	1295.13	1295.13	1183.45	1295.13	1216.75	1159.07	1233.75	1259.69	1561.89
FBRSL1	896.64	769.69	1447.15	733.19	723.08	490.14	703.28	688.78	559.28	316.37	540.19	759.08	651.58	583.07	599.49	743.43	161.02	299.25	583.07	503.95	733.19	503.95	339.14	429.54	518.15	285.03	400.71	703.28	780.44	358.54	447.82	547.75	813.63	400.71	665.29	543.96	450.94	529.06	718.08	460.44	579.04	547.75	540.19	323.03	518.15	1733.13	1023.0	1950.0	1417.35	1259.69	1561.89	961.07	1051.79	808.0	1066.48	575.03	1175.27	819.3	1081.39	967.76	1001.93	595.34	703.28	915.51	954.43	1051.79	688.78	1277.29	1044.52	1081.39	791.35	679.29	684.02	866.07	1008.9	878.17	830.75	890.44	813.63	802.41	1111.82	764.36	679.29	909.17	775.05	723.08	1295.13	669.92	1304.15	775.05
GGA1	1447.15	1313.23	1709.26	748.61	808.0	514.56	909.17	748.61	638.15	497.0	607.87	872.1	866.07	536.45	1051.79	961.07	507.46	629.35	563.18	525.39	753.83	728.11	559.28	595.34	497.0	633.73	651.58	591.22	642.59	748.61	511.0	595.34	693.58	669.92	674.59	647.07	599.49	713.11	738.29	457.25	660.68	559.28	559.28	466.88	688.78	1369.04	1662.49	1427.22	1183.45	1417.35	1417.35	1277.29	1340.84	808.0	759.08	575.03	743.43	718.08	848.22	656.11	1059.11	665.29	679.29	902.89	743.43	733.19	603.67	1407.55	1757.34	1583.71	1199.98	1331.57	1313.23	1111.82	1437.15	1378.57	1313.23	1628.26	1529.73	1127.35	1081.39	1457.23	1594.73	1199.98	1295.13	1044.52	1030.12	1151.06	1662.49	1208.34
GIGYF1	825.0	277.2	624.99	318.57	301.33	119.26	258.57	214.27	146.03	107.38	159.9	206.94	215.77	115.97	309.83	323.03	22.26	166.73	175.07	186.4	275.28	293.07	144.01	183.82	159.9	171.45	180.02	201.25	193.01	84.04	150.17	194.36	237.86	170.25	237.86	229.72	218.79	197.09	249.73	75.11	218.79	199.85	205.5	101.54	253.23	981.29	1051.79	896.64	547.75	463.65	1259.69	444.72	1073.91	255.0	332.14	152.28	258.57	241.19	312.0	234.57	426.57	161.02	223.41	332.14	211.31	277.2	165.57	599.49	947.83	748.61	470.14	703.28	612.11	642.59	1059.11	447.82	412.0	693.58	503.95	361.04	896.64	563.18	567.1	674.59	571.05	454.09	1066.48	503.95	981.29	656.11
GPX3	135693.24	130165.62	33922.56	353168.2	121448.75	783730.52	40904.3	391864.76	394590.4	417089.23	299043.36	378516.38	105727.15	212926.09	355624.68	365622.68	110983.6	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	16843.62	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	104996.83	400098.69	383800.28	389157.95	472513.8	5076.84	1883.54	6699.25	22072.07	1135.2	6164.49	5112.16	4450.27	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	107948.72	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	2895.31	85283.74	249727.34	324980.94	546551.29	499455.67	419990.32	405683.88	246289.25	279017.26	290865.98	338781.54	284880.02	320506.81	59887.86	334117.42	313910.86	269512.87	305326.92	428815.23	284880.02	249727.34	513497.31
GTF2IRD2	748.61	493.56	521.76	291.04	318.57	397.93	447.82	295.11	363.56	249.73	122.64	309.83	309.83	115.97	264.03	435.55	775.05	205.5	368.65	267.73	248.0	346.29	295.11	281.09	226.54	260.38	231.32	323.03	406.31	334.46	293.07	281.09	293.07	295.11	283.05	303.44	384.34	295.11	231.32	237.86	329.84	231.32	269.6	248.0	255.0	915.51	1044.52	490.14	476.71	318.57	1081.39	612.11	860.08	285.03	351.14	323.03	260.38	320.8	293.07	218.79	358.54	281.09	323.03	417.77	217.27	366.09	236.21	759.08	808.0	896.64	412.0	866.07	607.87	723.08	743.43	551.56	457.25	435.55	633.73	429.54	780.44	624.99	616.37	559.28	521.76	500.46	638.15	473.41	988.12	525.39
GTPBP3	429.54	165.57	791.35	201.25	228.13	108.9	244.57	166.73	136.19	109.66	115.16	159.9	182.55	125.24	256.78	348.71	38.4	173.85	169.07	155.5	279.14	264.03	109.66	161.02	158.79	114.36	156.59	130.6	141.02	140.04	126.12	145.02	180.02	139.07	150.17	170.25	182.55	164.42	171.45	99.43	170.25	148.09	141.02	114.36	193.01	400.71	603.67	480.04	329.84	420.68	473.41	346.29	395.18	199.85	228.13	173.85	161.02	180.02	228.13	175.07	299.25	131.51	165.57	228.13	181.28	214.27	145.02	414.87	629.35	532.74	226.54	381.68	305.55	314.17	392.44	297.17	265.87	511.0	287.01	183.82	343.89	409.15	253.23	384.34	381.68	287.01	361.04	267.73	529.06	215.77
H2AFB2	7.17	9.06	3.47	4.31	3.32	2.18	2.27	2.12	1.01	0.62	0.0	1.31	5.45	1.68	0.0	2.56	0.0	1.73	1.23	0.46	0.84	4.03	0.0	0.39	1.69	0.0	0.39	0.39	0.0	0.34	2.97	0.79	0.79	0.0	1.66	1.97	5.19	3.23	0.8	0.0	0.73	0.0	0.41	0.0	0.82	22.43	24.99	22.1	10.79	3.38	11.04	4.86	7.75	3.23	1.89	2.66	5.19	0.4	3.63	0.39	4.86	1.6	0.78	2.97	0.0	0.0	0.41	23.93	5.63	15.11	3.69	1.48	4.82	3.0	7.34	7.17	4.66	1.66	5.73	3.86	0.0	7.06	5.63	1.97	5.23	1.07	4.46	3.82	11.64	1.07
HMGXB3	368.65	262.2	283.05	353.59	348.71	173.85	314.17	262.2	236.21	193.01	307.69	334.46	271.48	277.2	387.02	454.09	90.77	733.19	277.2	299.25	336.79	358.54	277.2	295.11	316.37	293.07	351.14	234.57	346.29	287.01	244.57	334.46	303.44	281.09	334.46	320.8	295.11	239.52	305.55	201.25	325.29	285.03	325.29	246.28	334.46	571.05	409.15	500.46	567.1	587.13	432.53	307.69	447.82	277.2	341.51	307.69	264.03	271.48	320.8	301.33	368.65	275.28	303.44	339.14	351.14	258.57	291.04	583.07	503.95	414.87	363.56	684.02	373.81	490.14	400.71	363.56	312.0	493.56	303.44	348.71	555.41	466.88	441.64	497.0	480.04	511.0	551.56	373.81	743.43	473.41
INPP5E	126.12	131.51	366.09	165.57	153.34	71.0	154.42	116.78	96.68	70.51	89.51	128.79	150.17	66.18	157.68	197.09	46.84	59.97	87.03	86.43	132.44	138.1	92.7	124.37	74.58	83.45	111.99	98.04	109.66	88.88	77.25	107.38	103.69	87.03	109.66	111.21	107.38	96.68	123.5	46.84	115.16	88.88	108.14	71.0	120.1	236.21	343.89	246.28	384.34	201.25	217.27	169.07	231.32	135.24	148.09	91.41	116.78	139.07	149.12	107.38	176.29	102.25	110.43	157.68	107.38	141.02	92.05	198.47	343.89	371.22	182.55	236.21	226.54	182.55	191.67	242.88	198.47	202.66	273.37	183.82	199.85	239.52	285.03	231.32	299.25	193.01	248.0	167.9	361.04	139.07
