	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ATE1	521.76	151.22	529.06	249.73	665.29	312.0	371.22	406.31	148.09	329.84	114.36	246.28	159.9	291.04	287.01	323.03	444.72	191.67	297.17	299.25	267.73	376.41	220.32	511.0	241.19	363.56	88.26	167.9	197.09	205.5	150.17	373.81	175.07	312.0	332.14	409.15	447.82	239.52	392.44	217.27	221.86	249.73	198.47	473.41	178.77	409.15	323.03	142.01	307.69	493.56	186.4	384.34	169.07	253.23	206.94	224.97	273.37	228.13	229.72	426.57	473.41	384.34	529.06	336.79	463.65	444.72	336.79	551.56	397.93	438.59	525.39
ATP6AP2	2609.3	1605.83	2645.74	1639.59	3060.45	1639.59	2271.4	1697.45	1359.57	2018.8	988.12	1709.26	941.27	1216.75	1662.49	2351.53	2384.37	1427.22	1883.54	1605.83	1487.87	2645.74	1697.45	2664.15	1467.37	1378.57	1096.5	1519.15	1857.6	1857.6	896.64	2090.03	1561.89	2032.85	1628.26	1819.35	2573.36	1427.22	2119.22	1378.57	1191.69	1605.83	1819.35	2645.74	1733.13	2240.11	1709.26	1733.13	1832.01	2895.31	1350.18	1757.34	1508.65	1407.55	1331.57	1208.34	1594.73	1794.29	1378.57	2701.35	2163.77	2502.97	2956.17	2075.59	2895.31	2682.69	2271.4	2682.69	2384.37	2701.35	3124.78
BBX	708.18	127.0	775.05	206.94	733.19	305.55	620.67	314.17	87.03	361.04	156.59	299.25	312.0	336.79	339.14	366.09	579.04	120.1	248.0	348.71	256.78	607.87	191.67	595.34	175.07	260.38	104.42	110.43	125.24	205.5	217.27	356.05	163.28	339.14	532.74	441.64	571.05	271.48	480.04	195.72	187.71	255.0	217.27	684.02	167.9	587.13	309.83	136.19	273.37	713.11	133.36	532.74	166.73	351.14	186.4	157.68	318.57	157.68	166.73	595.34	607.87	591.22	620.67	575.03	723.08	612.11	490.14	902.89	438.59	616.37	819.3
BTBD1	860.08	423.61	866.07	511.0	961.07	603.67	674.59	656.11	532.74	713.11	373.81	547.75	420.68	529.06	660.68	591.22	825.0	463.65	587.13	660.68	551.56	718.08	638.15	791.35	638.15	583.07	395.18	417.77	480.04	480.04	400.71	753.83	444.72	518.15	591.22	624.99	764.36	693.58	660.68	463.65	500.46	470.14	500.46	961.07	529.06	723.08	660.68	435.55	559.28	884.29	599.49	733.19	414.87	507.46	476.71	417.77	547.75	518.15	432.53	830.75	785.88	660.68	890.44	674.59	780.44	738.29	647.07	802.41	723.08	854.13	921.88
C20orf194	143.01	30.12	109.66	50.63	127.89	104.42	171.45	120.1	35.76	117.6	19.53	111.21	44.57	38.67	121.79	111.21	194.36	32.36	61.68	146.03	45.53	118.43	63.89	96.68	154.42	73.03	11.21	51.35	56.68	46.18	45.21	105.89	100.83	116.78	100.83	69.03	87.03	31.45	134.3	83.45	68.07	77.79	44.89	166.73	76.71	180.02	92.05	37.32	85.82	139.07	39.5	135.24	94.67	100.13	73.03	62.12	141.02	66.18	68.55	148.09	199.85	166.73	228.13	185.11	224.97	191.67	218.79	334.46	183.82	316.37	264.03
CDC37L1	493.56	334.46	351.14	511.0	353.59	320.8	231.32	351.14	232.94	373.81	86.43	358.54	271.48	236.21	521.76	397.93	559.28	450.94	242.88	490.14	307.69	356.05	384.34	435.55	289.02	389.72	146.03	190.34	363.56	234.57	244.57	329.84	248.0	341.51	371.22	327.56	366.09	234.57	341.51	363.56	305.55	358.54	271.48	454.09	318.57	426.57	236.21	237.86	283.05	406.31	244.57	450.94	255.0	339.14	341.51	241.19	309.83	301.33	269.6	444.72	387.02	403.5	603.67	358.54	490.14	511.0	444.72	674.59	417.77	532.74	521.76
COPS4	825.0	679.29	934.76	665.29	928.3	759.08	860.08	791.35	688.78	819.3	409.15	698.41	463.65	660.68	802.41	769.69	947.83	457.25	669.92	698.41	665.29	954.43	665.29	928.3	563.18	718.08	1088.92	669.92	599.49	684.02	329.84	860.08	620.67	693.58	713.11	665.29	723.08	547.75	775.05	620.67	547.75	660.68	607.87	878.17	825.0	813.63	624.99	514.56	791.35	764.36	629.35	759.08	493.56	738.29	612.11	387.02	559.28	733.19	633.73	974.5	764.36	941.27	1295.13	796.86	1066.48	860.08	825.0	967.76	947.83	1044.52	988.12
CTDSPL2	346.29	87.03	503.95	135.24	387.02	181.28	366.09	178.77	64.8	264.03	100.13	155.5	136.19	189.02	151.22	195.72	312.0	121.79	148.09	193.01	151.22	316.37	136.19	258.57	228.13	159.9	87.65	73.03	122.64	107.38	65.72	229.72	132.44	201.25	217.27	229.72	251.48	143.01	224.97	118.43	142.01	120.1	178.77	316.37	99.43	285.03	194.36	104.42	177.53	392.44	164.42	249.73	126.12	161.02	153.34	162.14	170.25	125.24	135.24	293.07	281.09	312.0	409.15	194.36	397.93	262.2	329.84	392.44	241.19	316.37	325.29
CUL2	511.0	237.86	536.45	301.33	651.58	334.46	470.14	356.05	206.94	426.57	236.21	332.14	218.79	361.04	318.57	353.59	521.76	269.6	329.84	358.54	269.6	463.65	305.55	454.09	358.54	289.02	239.52	273.37	271.48	314.17	237.86	368.65	255.0	332.14	339.14	353.59	381.68	295.11	327.56	239.52	277.2	255.0	314.17	511.0	303.44	444.72	351.14	309.83	325.29	426.57	265.87	400.71	231.32	332.14	258.57	241.19	283.05	299.25	295.11	460.44	417.77	450.94	571.05	381.68	503.95	412.0	368.65	536.45	366.09	536.45	476.71
CXorf38	130.6	48.52	146.03	102.25	170.25	115.16	141.02	90.77	49.91	134.3	49.56	57.89	61.25	80.57	80.57	127.89	159.9	47.5	64.8	85.82	80.57	114.36	54.33	127.89	93.35	110.43	45.53	52.82	38.12	61.68	28.86	104.42	73.54	102.97	87.03	99.43	107.38	91.41	119.26	72.01	87.03	73.03	82.29	135.24	68.07	121.79	105.89	59.55	100.13	144.01	122.64	102.25	57.49	110.43	66.18	59.13	106.63	81.71	78.89	177.53	127.0	138.1	151.22	108.9	143.01	140.04	170.25	140.04	115.97	140.04	136.19
CYB5B	1457.23	1277.29	1709.26	1143.1	2104.58	1819.35	1781.89	1051.79	1286.18	1832.01	743.43	1304.15	860.08	1844.76	1304.15	1572.76	1721.16	967.76	1508.65	1551.09	1359.57	1605.83	1369.04	1857.6	1477.58	1081.39	567.1	902.89	1639.59	878.17	713.11	1794.29	1407.55	1551.09	1551.09	1870.53	1437.15	791.35	1923.14	1295.13	1359.57	1498.22	796.86	1832.01	1388.16	1733.13	1617.0	866.07	1685.71	1923.14	1651.0	1674.06	1167.14	1551.09	1359.57	1183.45	1268.46	1313.23	1519.15	2104.58	1950.0	2163.77	2133.97	1769.57	1963.57	2148.82	1857.6	1936.53	1819.35	1923.14	2018.8
DDR2	476.71	27.44	373.81	32.82	348.71	125.24	332.14	244.57	16.27	214.27	29.91	169.07	73.54	107.38	273.37	139.07	450.94	49.91	81.71	277.2	82.29	293.07	108.9	169.07	104.42	198.47	9.56	84.63	122.64	60.82	39.22	264.03	120.1	161.02	237.86	72.52	262.2	25.91	229.72	103.69	120.94	115.97	52.08	348.71	81.71	536.45	117.6	43.94	130.6	351.14	57.89	277.2	100.13	140.04	111.99	50.63	153.34	58.71	55.89	366.09	281.09	332.14	603.67	256.78	595.34	293.07	323.03	723.08	346.29	447.82	728.11
DEK	1127.35	457.25	1844.76	486.75	1844.76	842.36	1096.5	708.18	409.15	947.83	463.65	759.08	532.74	713.11	825.0	909.17	1259.69	480.04	603.67	896.64	638.15	1331.57	780.44	988.12	802.41	890.44	409.15	466.88	486.75	532.74	423.61	988.12	656.11	791.35	890.44	896.64	967.76	587.13	1081.39	591.22	665.29	583.07	684.02	1572.76	769.69	1135.2	759.08	500.46	651.58	1295.13	836.53	1023.0	583.07	775.05	723.08	567.1	796.86	633.73	612.11	1242.34	1388.16	1096.5	1529.73	1088.92	1477.58	1233.75	1167.14	1369.04	1208.34	1508.65	1350.18
DPY19L1	149.12	47.84	152.28	44.25	265.87	89.51	146.03	72.01	27.44	120.94	27.25	76.17	60.82	71.5	116.78	126.12	140.04	42.71	30.56	102.25	59.97	90.77	92.05	123.5	66.65	86.43	28.04	44.57	88.26	33.78	40.64	165.57	89.51	83.45	98.73	93.35	134.3	31.45	108.9	62.12	51.35	74.06	80.01	137.14	65.72	150.17	94.67	40.93	83.45	194.36	99.43	163.28	75.11	90.14	67.12	45.21	76.17	64.8	98.04	155.5	123.5	141.02	162.14	113.56	197.09	182.55	121.79	228.13	172.65	157.68	218.79
DSE	258.57	31.0	205.5	54.72	194.36	92.05	223.41	151.22	21.16	133.36	34.26	87.03	55.49	75.64	178.77	102.25	246.28	45.53	68.55	193.01	73.03	173.85	112.77	85.22	105.89	124.37	15.34	51.35	70.51	42.71	43.63	161.02	77.25	106.63	115.16	77.25	133.36	44.57	113.56	102.25	89.51	113.56	80.57	167.9	69.52	273.37	85.22	35.5	75.64	162.14	52.82	145.02	68.55	121.79	92.7	44.25	105.15	70.51	56.28	205.5	189.02	182.55	281.09	145.02	332.14	158.79	205.5	291.04	171.45	217.27	323.03
DYNC1LI2	1540.37	379.04	1572.76	802.41	1583.71	1001.93	1685.71	928.3	314.17	1369.04	312.0	921.88	723.08	974.5	1001.93	1088.92	1487.87	647.07	854.13	1225.22	988.12	1350.18	967.76	1331.57	1191.69	866.07	339.14	323.03	547.75	366.09	366.09	1037.29	703.28	1111.82	1143.1	1008.9	1295.13	490.14	1233.75	878.17	896.64	921.88	507.46	1572.76	624.99	1350.18	1073.91	432.53	995.0	1437.15	909.17	1359.57	665.29	995.0	890.44	902.89	1096.5	718.08	748.61	1304.15	1437.15	1268.46	1498.22	1259.69	1457.23	1322.37	1340.84	1651.0	1295.13	1561.89	1628.26
DYNLT3	559.28	221.86	728.11	336.79	813.63	376.41	563.18	518.15	249.73	457.25	309.83	358.54	187.71	291.04	447.82	503.95	748.61	332.14	420.68	429.54	384.34	656.11	454.09	540.19	417.77	438.59	201.25	291.04	301.33	400.71	312.0	540.19	361.04	409.15	486.75	473.41	423.61	376.41	417.77	329.84	255.0	346.29	376.41	718.08	392.44	507.46	371.22	320.8	371.22	660.68	366.09	426.57	361.04	341.51	392.44	325.29	395.18	400.71	409.15	723.08	547.75	511.0	819.3	480.04	665.29	525.39	366.09	612.11	234.57	563.18	703.28
EHF	2335.28	341.51	3325.99	1407.55	2664.15	1572.76	4095.0	1359.57	190.34	2351.53	563.18	902.89	1216.75	2555.58	1225.22	1477.58	4802.93	854.13	1037.29	1208.34	1651.0	4038.61	753.83	2997.45	1883.54	1331.57	361.04	271.48	470.14	629.35	866.07	2271.4	518.15	1628.26	2163.77	1745.2	2935.74	2104.58	2178.83	1417.35	1304.15	1037.29	1857.6	2319.15	476.71	2555.58	1991.0	507.46	1757.34	3901.01	1175.27	2777.33	813.63	1896.65	1008.9	1023.0	1111.82	753.83	660.68	2701.35	1819.35	2758.13	1909.85	1857.6	1909.85	2502.97	2935.74	2664.15	1037.29	2209.26	1477.58
EID1	5594.3	3928.15	4575.41	3794.3	6381.92	4268.94	4152.18	4704.07	4268.94	4736.79	2384.37	3716.2	1950.0	3847.29	4388.98	4903.87	5255.91	2701.35	4769.75	3540.14	3665.02	5403.7	4671.57	4450.27	3257.52	3665.02	2758.13	3564.78	3419.52	3372.43	1304.15	5517.27	3515.68	5479.15	4639.29	5403.7	4836.35	3395.89	5147.73	3372.43	2758.13	3768.09	4512.4	4972.34	3467.27	4769.75	3614.55	3443.31	4769.75	4937.99	4836.35	4769.75	2895.31	3768.09	2777.33	2502.97	3395.89	3982.99	3589.58	5791.62	4802.93	6079.61	8078.22	4419.52	5366.37	5517.27	4736.79	5711.87	5479.15	5791.62	6337.83
EIF5	1819.35	684.02	2193.99	1242.34	2032.85	1369.04	1697.45	1781.89	825.0	2061.24	1359.57	1268.46	1199.98	1225.22	1498.22	1674.06	2434.5	915.51	1191.69	1685.71	1745.2	1508.65	1322.37	1832.01	1662.49	1561.89	708.18	1037.29	981.29	1119.56	1159.07	2018.8	1268.46	1870.53	1605.83	1594.73	1721.16	954.43	2090.03	1295.13	988.12	947.83	1167.14	2061.24	1051.79	1457.23	1605.83	785.88	1721.16	2319.15	954.43	1883.54	1008.9	1286.18	1208.34	1081.39	1870.53	764.36	764.36	2061.24	1857.6	1963.57	2400.97	1417.35	2224.63	2061.24	2032.85	2240.11	1721.16	2148.82	1977.24
ERC1	329.84	81.14	395.18	126.12	312.0	177.53	323.03	221.86	89.51	190.34	62.12	193.01	146.03	171.45	223.41	218.79	301.33	112.77	180.02	234.57	146.03	214.27	104.42	264.03	165.57	193.01	59.55	105.15	102.25	121.79	74.06	228.13	125.24	217.27	291.04	199.85	273.37	105.15	305.55	155.5	181.28	147.06	127.0	275.28	143.01	316.37	217.27	97.36	199.85	318.57	169.07	277.2	141.02	223.41	153.34	158.79	183.82	128.79	120.1	244.57	353.59	281.09	258.57	246.28	339.14	297.17	281.09	417.77	239.52	329.84	371.22
ERCC6L2	511.0	102.97	629.35	232.94	525.39	224.97	532.74	325.29	82.87	255.0	120.1	251.48	177.53	223.41	229.72	267.73	476.71	159.9	166.73	323.03	191.67	483.38	191.67	353.59	242.88	275.28	104.42	94.01	135.24	105.15	90.77	332.14	121.79	299.25	303.44	283.05	368.65	172.65	336.79	191.67	211.31	155.5	190.34	426.57	163.28	447.82	279.14	103.69	237.86	438.59	212.78	457.25	143.01	281.09	205.5	163.28	262.2	159.9	150.17	389.72	444.72	441.64	521.76	325.29	500.46	473.41	400.71	633.73	265.87	460.44	463.65
EVI5	262.2	66.65	224.97	101.54	267.73	134.3	199.85	162.14	31.0	125.24	64.34	105.89	132.44	129.69	144.01	152.28	164.42	114.36	91.41	153.34	130.6	182.55	108.9	195.72	138.1	107.38	49.56	63.0	100.13	61.25	74.06	121.79	72.01	120.1	145.02	135.24	191.67	115.16	122.64	123.5	123.5	120.94	189.02	172.65	73.03	208.38	94.67	55.89	119.26	167.9	78.34	175.07	86.43	125.24	96.01	96.68	111.99	87.65	83.45	145.02	169.07	159.9	165.57	142.01	191.67	182.55	143.01	234.57	153.34	158.79	191.67
FAM13B	450.94	165.57	438.59	226.54	429.54	318.57	336.79	366.09	63.89	409.15	127.0	314.17	212.78	256.78	297.17	329.84	497.0	183.82	232.94	318.57	281.09	361.04	251.48	320.8	249.73	327.56	83.45	153.34	167.9	142.01	142.01	307.69	220.32	271.48	341.51	287.01	435.55	121.79	387.02	232.94	149.12	217.27	281.09	490.14	173.85	457.25	287.01	146.03	281.09	444.72	221.86	397.93	197.09	289.02	255.0	255.0	273.37	151.22	194.36	420.68	511.0	463.65	769.69	409.15	638.15	432.53	403.5	703.28	403.5	616.37	713.11
