	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZLV1.0526.SM.4WWD4	GTEX.13FLV.1126.SM.5J2NO	GTEX.XQ8I.1526.SM.4BOOH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
CHURC1	896.64	688.78	708.18	878.17	842.36	551.56	2520.38	1304.15	1388.16	974.5
COA4	2209.26	872.1	638.15	1259.69	0.0	0.43	3665.02	1437.15	1216.75	2502.97
COMMD3	1233.75	1268.46	660.68	1073.91	0.0	0.58	1950.0	665.29	902.89	1794.29
COPS8	775.05	503.95	733.19	642.59	0.0	0.67	2209.26	633.73	660.68	1388.16
DERL1	620.67	633.73	665.29	543.96	0.0	0.65	1709.26	1183.45	967.76	1427.22
EARS2	381.68	180.02	248.0	232.94	0.0	0.0	466.88	237.86	190.34	476.71
EBNA1BP2	1447.15	967.76	723.08	1037.29	0.0	0.0	3874.05	2573.36	1697.45	890.44
EEF1E1	624.99	444.72	303.44	376.41	0.0	0.04	1268.46	441.64	612.11	503.95
ETFA	3716.2	2303.12	1896.65	2303.12	0.0	0.82	6164.49	5076.84	4152.18	6516.03
EXOC4	1167.14	633.73	728.11	753.83	0.0	0.59	1159.07	1119.56	1030.12	775.05
FAM118B	197.09	147.06	86.43	109.66	0.0	0.32	379.04	124.37	209.84	414.87
FARS2	435.55	234.57	256.78	229.72	0.0	0.16	267.73	392.44	351.14	497.0
FIBP	1304.15	825.0	928.3	928.3	0.0	0.39	2287.2	1295.13	1487.87	2032.85
FRG1	1037.29	713.11	698.41	669.92	0.0	0.53	1561.89	1167.14	1457.23	1151.06
GLRX2	258.57	450.94	157.68	289.02	0.0	0.0	620.67	447.82	543.96	633.73
GPI	4671.57	3257.52	3874.05	3168.41	0.0	1.28	11424.74	10225.32	10512.82	14262.1
GTF3C6	1936.53	909.17	540.19	872.1	0.0	0.0	4836.35	1936.53	2193.99	3443.31
GYPC	435.55	224.97	738.29	575.03	0.0	0.85	3847.29	275.28	575.03	2319.15
HAUS1	316.37	180.02	194.36	229.72	0.0	0.31	1111.82	624.99	511.0	361.04
HINT1	9808.75	4704.07	5329.3	5255.91	0.0	1.25	12676.65	5594.3	12676.65	8901.53
HSPA9	2739.08	2555.58	2777.33	2335.28	0.0	0.48	3564.78	2796.65	3928.15	4639.29
ICT1	928.3	759.08	417.77	612.11	0.0	0.0	2163.77	1233.75	1551.09	1709.26
IL27RA	138.1	29.91	13.62	31.22	0.0	0.52	146.03	60.82	16.03	147.06
IMPDH2	4512.4	2537.92	3716.2	3103.19	0.0	0.83	7331.05	6652.97	4769.75	4268.94
ISOC2	1709.26	1088.92	688.78	921.88	0.0	0.34	2163.77	1529.73	1870.53	2502.97
KDELC2	384.34	119.26	279.14	175.07	0.0	0.46	583.07	532.74	246.28	575.03
KPNA4	511.0	417.77	389.72	389.72	397.93	277.2	1015.93	896.64	791.35	954.43
KRTDAP	2617937.91	1594.73	57.49	198.47	0.0	0.82	2232145.06	1524599.69	951601.81	88905.42
LACTB2	476.71	218.79	93.35	154.42	0.0	0.0	921.88	575.03	414.87	353.59
LINC00998	1519.15	802.41	497.0	571.05	0.0	0.32	3103.19	1199.98	842.36	2271.4
LSM10	679.29	379.04	571.05	665.29	0.0	0.54	1909.85	551.56	665.29	1844.76
LSM4	3235.01	1183.45	1781.89	1639.59	0.0	0.85	4152.18	2537.92	2609.3	4607.24
LSMD1	3419.52	1437.15	1594.73	2119.22	0.0	0.57	6164.49	2451.44	3325.99	6426.31
MAP1LC3A	1259.69	466.88	1111.82	866.07	0.0	0.65	473.41	356.05	5872.48	3103.19
MFF	1295.13	1088.92	1268.46	1073.91	0.0	1.07	2591.27	1498.22	1832.01	2133.97
MINOS1	6121.9	2682.69	3794.3	3847.29	3540.14	244.57	8022.41	7749.1	6294.04	7857.29
MRFAP1	6792.79	3820.7	4298.64	3443.31	0.0	1.11	11345.82	6561.36	7081.29	8247.98
MRPL11	1551.09	769.69	769.69	981.29	0.0	0.52	3874.05	1331.57	1757.34	2758.13
MRPL13	1073.91	830.75	540.19	825.0	0.0	0.37	3372.43	1407.55	1519.15	1583.71
MRPL14	1313.23	1044.52	825.0	813.63	0.0	0.18	2895.31	1896.65	1883.54	4512.4
MRPL17	1208.34	651.58	679.29	708.18	0.0	0.2	2664.15	1733.13	1268.46	1923.14
MRPL47	954.43	457.25	400.71	532.74	0.0	0.59	3303.0	1388.16	1794.29	2609.3
MRPL53	2090.03	1242.34	791.35	1639.59	0.0	0.6	3395.89	1519.15	1923.14	3039.3
MRPS28	1477.58	884.29	651.58	921.88	0.0	0.52	3742.05	1378.57	1519.15	3639.7
MYEOV2	5954.47	3081.75	2163.77	3665.02	0.0	0.71	15285.81	5219.6	6381.92	9474.59
NDUFB6	1313.23	684.02	808.0	878.17	0.0	0.66	5366.37	2271.4	2573.36	5441.3
NHP2L1	5329.3	1540.37	2664.15	2287.2	0.0	0.92	6471.02	3325.99	2520.38	6294.04
NOP14	819.3	514.56	384.34	332.14	0.0	0.28	928.3	733.19	872.1	457.25
NSMCE1	2178.83	967.76	995.0	1242.34	0.0	0.68	2163.77	1457.23	1605.83	1628.26
NSMCE2	616.37	303.44	389.72	351.14	0.0	0.72	1159.07	713.11	575.03	612.11
NT5C3A	928.3	223.41	633.73	265.87	860.08	267.73	1059.11	1030.12	2240.11	1794.29
NUBP1	483.38	432.53	305.55	414.87	0.0	0.36	1225.22	665.29	595.34	836.53
PANK1	151.22	139.07	42.11	113.56	0.0	0.0	341.51	182.55	285.03	189.02
PARK7	5219.6	2591.27	3190.46	3665.02	0.0	0.96	10084.54	3874.05	3540.14	11345.82
PFDN1	1457.23	836.53	1250.98	1030.12	0.0	0.73	2816.11	1883.54	1407.55	1832.01
POLE3	1313.23	759.08	684.02	703.28	0.0	0.68	3146.52	1674.06	1733.13	1216.75
POLE4	1950.0	825.0	780.44	974.5	0.0	0.73	2645.74	1457.23	1259.69	1950.0
POMP	2104.58	1073.91	1159.07	1277.29	0.0	0.62	5555.65	2682.69	3081.75	3901.01
PREP	764.36	547.75	255.0	470.14	0.0	0.39	1015.93	723.08	769.69	872.1
PRKAG1	1417.35	848.22	629.35	890.44	0.0	0.18	2701.35	1806.78	1651.0	2224.63
PSMA3	2451.44	1540.37	1832.01	1447.15	0.0	0.89	5872.48	4328.55	4543.8	4704.07
PSMA6	3665.02	2573.36	2119.22	2319.15	0.0	0.93	12502.12	6079.61	5711.87	5913.33
PSMB1	5366.37	2895.31	4038.61	3190.46	0.0	1.23	11584.24	5517.27	6935.54	8658.09
PSMB6	4937.99	3325.99	2875.3	3190.46	0.0	0.78	9876.98	8421.31	8598.28	9344.14
PSMB7	5147.73	2895.31	2701.35	3018.3	0.0	0.99	10154.69	5517.27	4972.34	7433.4
PSMC1	2645.74	1794.29	1628.26	1572.76	0.0	0.82	4450.27	3716.2	3614.55	4869.99
PSMD8	5441.3	4010.71	3103.19	4152.18	0.0	0.93	8134.41	6516.03	6699.25	6792.79
RBX1	1963.57	1135.2	1104.13	1225.22	0.0	0.83	3716.2	3325.99	2682.69	3124.78
RPP25L	1359.57	521.76	265.87	718.08	0.0	0.0	1651.0	902.89	830.75	2816.11
RTP3	1.31	0.0	0.0	0.0	0.0	0.0	2.03	2.86	2.63	19.39
S100A4	19214.73	1322.37	3768.09	1769.57	0.0	0.89	23492.92	10154.69	7803.01	14663.09
SBDS	2520.38	2255.7	2255.7	2193.99	0.0	0.53	3874.05	2384.37	3955.48	5329.3
SERF1A	16.75	14.03	46.5	17.38	0.0	0.05	105.89	43.32	126.12	94.01
SLC25A26	884.29	387.02	397.93	346.29	0.0	0.43	607.87	332.14	521.76	624.99
SNAPIN	941.27	934.76	525.39	819.3	0.0	0.47	2178.83	1369.04	1286.18	1923.14
SNRPD2	10733.74	4419.52	4736.79	5594.3	0.0	1.22	26614.89	11035.54	10154.69	8022.41
STUB1	3716.2	2133.97	2485.67	2209.26	0.0	0.89	2720.15	2609.3	3395.89	3491.39
SUGT1	995.0	921.88	521.76	759.08	738.29	30.34	1781.89	1519.15	1639.59	941.27
TANGO6	157.68	57.89	87.65	76.71	0.0	0.24	221.86	135.24	143.01	88.26
TBC1D7	450.94	423.61	181.28	327.56	0.0	0.56	1023.0	536.45	454.09	575.03
TCEB1	1963.57	1427.22	1417.35	1427.22	0.0	0.74	4937.99	3060.45	4095.0	3124.78
TIMM17A	1015.93	802.41	708.18	587.13	0.0	0.25	1651.0	884.29	961.07	1757.34
TIMM23	1350.18	988.12	872.1	909.17	0.0	0.38	2537.92	1769.57	1651.0	3257.52
TIMM8B	3467.27	1844.76	981.29	1977.24	0.0	0.35	7382.04	4512.4	4123.49	5594.3
TMEM126A	848.22	587.13	500.46	693.58	0.0	0.4	2520.38	1044.52	1081.39	2485.67
TXNDC9	633.73	543.96	176.29	466.88	0.0	0.0	1594.73	1030.12	1127.35	607.87
UBE2A	1794.29	1572.76	1066.48	1304.15	0.0	0.95	3280.18	2417.67	2915.45	1844.76
UBTD1	283.05	209.84	267.73	163.28	0.0	0.49	432.53	332.14	607.87	591.22
UQCC2	1963.57	934.76	1467.37	1617.0	0.0	0.52	4704.07	2875.3	2609.3	5329.3
YWHAG	1191.69	1059.11	1857.6	1143.1	2367.9	224.97	3081.75	2664.15	2895.31	2935.74
ZMAT5	656.11	346.29	279.14	500.46	0.0	0.08	1277.29	521.76	785.88	693.58
ZNF593	217.27	187.71	397.93	138.1	0.0	0.0	748.61	231.32	295.11	293.07
