	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
BCL2	1030.12	624.99	181.28	981.29	1059.11	514.56	860.08	500.46	647.07	251.48	1331.57	2335.28	909.17	269.6	629.35	934.76	607.87	785.88	547.75	293.07	521.76	603.67	981.29	909.17	356.05	954.43	486.75	791.35	361.04	981.29	409.15	262.2	314.17	447.82	432.53	1159.07	426.57	551.56	26.67	33.3	36.27	9.85	18.29	15.45	26.28	7.57	14.89	12.93	29.06	12.64	13.12	21.63	14.14	25.17	47.17	12.93	37.05	15.91	118.43	37.59	19.39	64.34	13.83	23.93	10.63	18.16	13.32	27.05	25.72	16.39	34.26	8.0	7.82	18.97	3.17	32.59	23.42	35.0	8.25	9.2	30.78	59.97	13.83	52.08	12.55	6.36	17.38	66.18	11.04	9.2	22.43	25.91	87.65	12.0	7.88	9.41	20.11	23.59	35.0	42.11	11.04	514.56	116.78
BMP8A	17.64	110.43	14.03	28.45	27.44	43.63	90.77	12.93	4.9	26.86	80.01	22.43	57.49	23.76	36.53	59.55	38.95	36.53	13.52	71.0	55.89	13.52	14.56	43.63	4.82	75.64	13.72	17.51	27.44	4.1	60.82	10.55	19.82	19.25	39.5	17.64	32.13	26.47	2.58	4.17	1.11	2.51	1.77	0.0	2.51	0.0	0.0	1.03	1.85	0.0	2.07	1.01	0.0	0.0	0.0	1.06	6.52	1.14	1.73	0.97	0.82	5.28	3.56	1.91	2.51	1.5	1.58	0.21	0.0	0.0	2.25	2.73	0.0	0.65	3.0	1.5	0.14	1.2	0.27	1.27	0.93	0.0	2.36	2.97	0.49	3.14	1.77	1.79	0.0	1.73	3.72	0.95	0.73	0.0	0.0	0.69	0.04	0.0	2.18	2.61	0.0	3.08	15.68
BTBD10	665.29	547.75	406.31	563.18	406.31	379.04	473.41	486.75	571.05	521.76	651.58	525.39	665.29	454.09	607.87	493.56	660.68	909.17	476.71	591.22	529.06	571.05	363.56	543.96	392.44	575.03	518.15	325.29	438.59	571.05	708.18	753.83	392.44	1127.35	551.56	511.0	438.59	651.58	134.3	149.12	150.17	78.34	154.42	145.02	130.6	66.18	77.25	85.82	123.5	85.82	113.56	127.89	137.14	124.37	145.02	115.97	181.28	141.02	269.6	178.77	190.34	131.51	140.04	117.6	138.1	249.73	95.34	154.42	122.64	260.38	177.53	98.04	74.58	167.9	140.04	100.83	186.4	178.77	112.77	146.03	158.79	153.34	138.1	144.01	123.5	123.5	121.79	334.46	65.26	78.34	77.79	110.43	182.55	157.68	87.65	30.56	91.41	130.6	109.66	104.42	140.04	287.01	279.14
C11orf58	6516.03	4802.93	3395.89	4210.15	3690.52	3901.01	4419.52	4388.98	4836.35	4268.94	6121.9	4671.57	4450.27	5913.33	6381.92	5594.3	7695.57	5219.6	4903.87	5041.77	4328.55	7485.11	4575.41	5112.16	3847.29	4704.07	5872.48	3190.46	4575.41	4704.07	5555.65	5183.54	3419.52	10585.95	6250.56	5147.73	4095.0	7032.37	2384.37	2287.2	1977.24	1896.65	2434.5	2240.11	2701.35	1896.65	1447.15	2133.97	2720.15	1909.85	2400.97	2720.15	1651.0	2739.08	2468.49	2193.99	2417.67	2163.77	2915.45	4066.71	3280.18	2701.35	3103.19	1883.54	2047.0	3982.99	3847.29	2573.36	3235.01	3794.3	3124.78	2287.2	2240.11	3190.46	2956.17	1883.54	2875.3	3443.31	3168.41	2400.97	2777.33	3639.7	3081.75	3690.52	3467.27	2104.58	3540.14	2915.45	2075.59	2682.69	1977.24	1781.89	2915.45	3190.46	2537.92	2193.99	2895.31	2400.97	3018.3	2555.58	2573.36	3874.05	5292.48
C1orf198	1199.98	688.78	860.08	438.59	748.61	684.02	909.17	529.06	450.94	1159.07	406.31	521.76	633.73	1159.07	638.15	638.15	679.29	642.59	665.29	708.18	503.95	381.68	638.15	629.35	808.0	5913.33	708.18	842.36	629.35	723.08	842.36	902.89	890.44	320.8	435.55	1250.98	1059.11	941.27	136.19	293.07	316.37	128.79	183.82	98.04	246.28	85.22	189.02	78.89	297.17	176.29	198.47	228.13	281.09	107.38	221.86	114.36	231.32	126.12	373.81	780.44	154.42	190.34	209.84	146.03	117.6	172.65	121.79	78.89	224.97	144.01	226.54	305.55	100.13	102.25	221.86	143.01	223.41	234.57	87.65	175.07	123.5	323.03	105.15	79.45	228.13	81.71	100.13	915.51	287.01	90.77	114.36	226.54	137.14	98.73	119.26	202.66	271.48	111.99	156.59	392.44	127.0	363.56	403.5
C3orf36	10.47	8.0	16.75	7.82	5.11	10.63	6.84	1.55	10.0	8.78	26.86	4.54	19.25	6.46	2.56	13.03	5.54	17.9	3.63	4.54	14.35	10.88	14.89	13.52	2.61	21.63	8.19	10.79	5.19	2.07	16.63	10.88	15.11	14.14	5.32	7.22	3.38	7.0	0.0	1.08	0.0	0.62	0.6	2.61	0.0	0.0	0.52	0.57	0.44	0.0	0.0	1.53	3.14	1.01	2.76	0.59	1.73	0.65	3.69	14.56	0.0	1.0	2.16	0.84	0.91	0.0	3.96	0.89	7.57	0.0	0.0	0.0	4.62	0.0	0.95	0.79	3.92	3.66	0.0	0.29	1.71	3.53	11.04	0.0	0.0	4.5	3.38	0.0	2.89	0.0	0.0	0.0	0.0	5.92	0.0	1.75	8.38	1.48	4.94	0.93	0.79	8.71	19.97
C6orf211	1388.16	1277.29	5711.87	1936.53	587.13	896.64	3639.7	5791.62	8840.04	1104.13	1111.82	3018.3	612.11	2367.9	10883.59	5479.15	1508.65	7485.11	7032.37	4239.45	271.48	521.76	6164.49	2417.67	7081.29	13968.57	1832.01	848.22	3325.99	3419.52	7130.55	748.61	2682.69	3515.68	6294.04	4836.35	4358.66	1561.89	341.51	429.54	395.18	454.09	441.64	353.59	414.87	318.57	229.72	371.22	395.18	303.44	273.37	417.77	334.46	480.04	371.22	312.0	320.8	420.68	320.8	232.94	392.44	376.41	476.71	612.11	325.29	902.89	679.29	718.08	389.72	638.15	417.77	221.86	234.57	642.59	158.79	476.71	231.32	381.68	228.13	285.03	420.68	463.65	417.77	559.28	336.79	429.54	473.41	175.07	320.8	412.0	429.54	397.93	441.64	532.74	271.48	327.56	426.57	460.44	432.53	234.57	514.56	217.27	181.28
CAPRIN1	5633.22	3515.68	5594.3	3794.3	4298.64	2384.37	3303.0	2351.53	3768.09	3280.18	3564.78	5255.91	2935.74	3325.99	9088.59	4181.07	6699.25	3955.48	3303.0	2855.44	2816.11	5403.7	3325.99	3794.3	2875.3	5112.16	4481.23	1936.53	3060.45	3874.05	3349.13	3768.09	6516.03	9344.14	4328.55	4512.4	3419.52	6935.54	693.58	1059.11	842.36	669.92	1127.35	967.76	1008.9	638.15	656.11	536.45	1073.91	647.07	612.11	1044.52	830.75	902.89	1015.93	624.99	896.64	825.0	1088.92	1001.93	860.08	830.75	743.43	915.51	915.51	1709.26	967.76	1167.14	967.76	1529.73	1151.06	460.44	674.59	1175.27	567.1	802.41	842.36	1331.57	759.08	854.13	872.1	1183.45	819.3	738.29	1167.14	591.22	1008.9	1183.45	647.07	854.13	669.92	693.58	954.43	947.83	651.58	460.44	748.61	981.29	1104.13	642.59	1175.27	1936.53	1857.6
CBX4	808.0	674.59	698.41	299.25	1135.2	2148.82	540.19	1417.35	780.44	400.71	543.96	679.29	283.05	486.75	1991.0	540.19	3280.18	3235.01	1250.98	1104.13	1268.46	688.78	1674.06	361.04	1233.75	4010.71	575.03	1519.15	314.17	825.0	4358.66	2537.92	287.01	1936.53	656.11	1378.57	1225.22	395.18	361.04	368.65	231.32	301.33	444.72	262.2	301.33	275.28	466.88	363.56	571.05	221.86	145.02	295.11	167.9	423.61	209.84	193.01	163.28	221.86	334.46	802.41	358.54	175.07	81.14	854.13	161.02	145.02	166.73	151.22	753.83	140.04	181.28	332.14	148.09	178.77	134.3	309.83	318.57	236.21	182.55	143.01	205.5	195.72	241.19	220.32	329.84	256.78	269.6	473.41	435.55	490.14	181.28	169.07	198.47	267.73	177.53	656.11	147.06	167.9	444.72	285.03	223.41	275.28	575.03
CBX8	135.24	156.59	169.07	35.76	182.55	314.17	193.01	454.09	95.34	96.01	128.79	229.72	59.55	224.97	241.19	78.34	738.29	1159.07	260.38	412.0	343.89	158.79	205.5	84.63	208.38	684.02	118.43	202.66	80.57	224.97	708.18	248.0	59.13	483.38	147.06	228.13	256.78	177.53	70.01	87.03	40.36	86.43	113.56	81.71	80.01	63.0	92.7	86.43	94.67	75.64	38.95	85.82	57.89	94.67	82.87	69.52	64.8	81.14	73.03	150.17	73.54	53.57	36.79	115.97	57.08	43.32	42.71	63.0	80.57	31.67	87.65	92.05	59.97	55.1	55.1	34.26	81.14	67.12	63.45	84.63	70.01	73.54	33.78	43.63	70.51	75.11	63.45	159.9	87.65	63.45	69.03	55.1	74.58	52.82	72.52	52.82	64.8	27.25	81.71	85.82	53.95	77.79	97.36
CCDC113	185.11	164.42	98.73	53.95	81.14	90.14	92.7	105.89	161.02	38.95	21.32	185.11	152.28	85.82	23.42	144.01	103.69	127.89	101.54	152.28	283.05	59.55	65.26	162.14	96.68	215.77	116.78	45.21	34.26	63.89	63.0	155.5	26.28	87.65	120.1	212.78	136.19	50.63	21.01	21.32	11.04	8.99	23.76	16.88	17.0	10.88	20.86	6.57	21.47	11.73	13.32	9.56	8.92	11.21	25.35	10.79	18.16	26.28	14.56	64.8	15.8	17.0	38.67	10.63	30.56	24.46	14.35	30.78	25.17	46.5	14.89	8.78	17.13	26.28	8.85	15.8	12.93	38.4	36.53	13.93	18.43	11.82	7.46	40.07	32.36	49.56	59.55	6.78	19.97	17.9	7.22	3.69	21.32	94.67	28.65	22.26	15.0	12.45	17.9	3.92	18.16	49.91	69.52
