	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.UY.A78L.01A.12R.A33J.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.BH.A0B3.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BI.A0VS.01A.11R.A10U.07	TCGA.MA.AA3X.01A.22R.A42S.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZVE2.1326.SM.5NQ94	GTEX.ZZPT.1426.SM.5N9C5	GTEX.ZAB4.1126.SM.5HL86	GTEX.11DZ1.2026.SM.5A5KG	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.HD.A633.01A.11R.A28V.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
CLASRP	1044.52	1340.84	961.07	909.17	633.73	2520.38	684.02	791.35	693.58	1111.82	1127.35	1313.23	1721.16	1832.01	1757.34	1651.0	1477.58	2104.58	1143.1	1857.6	1745.2	1605.83	1617.0	1639.59	1977.24	2664.15	1572.76	1519.15	2400.97	3103.19	1191.69	2047.0	1909.85	1268.46	1950.0	1059.11	2451.44	1498.22	1397.83	3124.78	6516.03	2777.33	4181.07	170.25	327.56	232.94	414.87	785.88	802.41	728.11	269.6	105.89	84.63	376.41	305.55	253.23	271.48
CPLX1	24.11	27.25	5.77	14.03	2.76	15.22	31.67	20.56	6.89	9.78	9.41	41.22	80.57	22.92	55.1	130.6	122.64	47.5	36.53	34.26	12.64	212.78	82.87	25.72	58.71	60.82	129.69	132.44	40.07	37.59	71.5	260.38	77.79	62.56	64.8	25.91	153.34	87.03	34.02	218.79	679.29	176.29	299.25	4.31	24.99	15.45	3.35	27.25	12.27	16.88	6.73	3.76	0.42	6.21	2.2	8.51	8.78
CPT1B	165.57	703.28	323.03	125.24	141.02	2287.2	180.02	98.04	603.67	255.0	128.79	674.59	909.17	80.01	679.29	366.09	463.65	819.3	221.86	351.14	567.1	260.38	753.83	521.76	493.56	1001.93	543.96	486.75	1540.37	2047.0	400.71	555.41	669.92	423.61	392.44	642.59	819.3	503.95	470.14	2956.17	4671.57	2047.0	2816.11	17.13	29.06	43.63	94.01	214.27	265.87	82.87	48.87	41.22	90.77	215.77	40.36	157.68	137.14
CREBZF	265.87	341.51	400.71	177.53	221.86	813.63	164.42	295.11	201.25	412.0	329.84	476.71	974.5	551.56	466.88	842.36	624.99	915.51	414.87	567.1	490.14	547.75	493.56	928.3	698.41	902.89	665.29	866.07	854.13	1427.22	521.76	583.07	981.29	536.45	753.83	429.54	890.44	587.13	532.74	1073.91	1277.29	1183.45	974.5	113.56	126.12	122.64	175.07	269.6	244.57	249.73	146.03	129.69	45.21	118.43	100.83	110.43	87.03
CRIPAK	60.82	62.56	110.43	16.88	29.27	206.94	152.28	56.28	102.25	78.89	50.63	50.63	163.28	85.82	100.83	152.28	154.42	122.64	116.78	177.53	88.88	141.02	204.07	73.54	167.9	173.85	111.99	148.09	113.56	190.34	221.86	206.94	204.07	54.72	167.9	87.65	159.9	183.82	137.14	303.44	336.79	329.84	212.78	14.78	48.87	54.33	26.47	26.28	30.34	66.18	27.64	3.82	11.55	43.63	42.11	48.18	40.36
CXorf24	45.53	57.49	55.89	31.45	31.0	48.18	42.71	43.94	20.71	47.17	95.34	29.48	104.42	38.12	102.25	66.65	37.32	35.5	49.56	50.27	33.3	61.25	57.89	50.63	46.18	49.56	81.71	62.12	97.36	64.8	44.89	47.84	71.0	59.13	56.28	52.45	131.51	30.34	18.97	38.67	73.03	48.52	77.25	24.28	17.77	20.71	23.76	30.56	22.75	15.91	13.93	29.27	34.02	26.86	18.16	22.1	16.15
DDX17	1923.14	2573.36	1844.76	1857.6	1322.37	6381.92	2335.28	2502.97	2271.4	3614.55	2895.31	3491.39	6607.01	2485.67	4671.57	4836.35	5112.16	3190.46	3419.52	3665.02	3303.0	2104.58	4239.45	4671.57	5147.73	10585.95	4298.64	3540.14	4736.79	10014.87	4512.4	4512.4	4450.27	5517.27	4704.07	2573.36	5555.65	3325.99	4736.79	7642.41	9606.86	7749.1	6516.03	2209.26	1651.0	2591.27	2104.58	1427.22	2573.36	2537.92	2178.83	1088.92	995.0	2047.0	1697.45	1923.14	1233.75
DMTF1	470.14	260.38	368.65	211.31	224.97	1340.84	348.71	444.72	271.48	656.11	447.82	571.05	1359.57	748.61	3794.3	1051.79	928.3	981.29	718.08	1015.93	713.11	490.14	647.07	4152.18	1427.22	1685.71	1427.22	988.12	2351.53	3794.3	1008.9	819.3	1088.92	769.69	1844.76	974.5	1508.65	866.07	748.61	2018.8	1936.53	1594.73	1477.58	220.32	118.43	205.5	167.9	229.72	303.44	229.72	172.65	387.02	56.28	189.02	140.04	115.97	128.79
ESR2	3.38	3.14	3.17	4.98	1.93	5.92	2.76	7.11	3.82	34.02	7.94	9.2	14.78	7.63	24.11	8.71	14.03	8.85	4.39	14.14	2.97	2.29	14.14	14.03	9.85	41.22	21.78	3.53	8.13	36.27	5.77	7.94	7.34	8.58	11.38	4.7	22.92	5.41	9.2	31.22	43.94	18.43	53.57	1.07	3.76	1.16	2.36	4.06	4.39	5.23	1.14	2.39	1.0	4.86	10.79	1.64	2.71
FAM156A	190.34	483.38	295.11	87.03	46.84	708.18	246.28	127.89	91.41	251.48	161.02	211.31	656.11	242.88	423.61	656.11	316.37	316.37	212.78	265.87	269.6	226.54	514.56	244.57	403.5	429.54	264.03	583.07	414.87	830.75	307.69	275.28	417.77	81.71	536.45	460.44	1059.11	529.06	336.79	780.44	629.35	476.71	540.19	36.79	20.41	31.0	15.68	119.26	108.14	89.51	56.68	29.06	10.88	77.79	49.91	14.67	29.48
FAM194B	3.69	2.56	8.85	1.91	0.0	42.11	9.34	1.58	15.11	7.51	2.51	3.63	17.77	7.51	12.36	26.86	14.89	16.27	10.79	11.55	3.79	0.0	0.0	13.93	12.36	21.32	11.38	4.66	12.83	28.04	14.24	9.93	11.73	3.41	10.96	10.63	23.25	17.64	12.0	54.33	54.33	71.0	31.9	9.34	0.0	3.5	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.77	0.88	0.85	0.0
GCNT7	0.0	0.0	0.64	0.32	0.0	0.74	0.36	0.36	0.14	0.43	0.82	0.0	3.47	0.01	2.56	0.05	0.88	0.46	0.02	1.22	0.05	0.58	0.29	1.81	1.53	2.16	2.78	0.22	2.25	5.11	0.67	2.29	0.44	0.01	1.51	0.0	2.14	0.95	1.19	3.82	1.23	2.58	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR61	7.63	6.57	2.56	4.35	3.08	20.11	11.82	0.0	9.48	10.47	7.46	6.84	20.11	4.43	5.23	7.34	12.83	12.36	6.57	9.34	5.23	0.0	35.25	9.13	1.2	8.32	5.68	24.63	21.32	15.56	12.09	13.03	4.03	4.43	18.97	13.62	44.57	0.0	18.03	27.25	18.97	10.88	20.11	2.18	0.0	4.62	0.0	7.88	4.86	7.69	0.0	2.01	1.89	2.34	0.62	5.68	3.32
IKZF4	57.08	30.34	27.64	17.13	25.72	71.0	29.27	49.21	30.78	53.57	32.82	58.71	158.79	31.22	62.12	39.79	66.65	45.53	28.45	63.45	36.01	51.35	71.0	32.59	65.72	71.0	108.14	90.77	76.17	144.01	51.35	64.34	51.35	48.52	114.36	42.41	211.31	75.64	64.8	105.15	100.13	140.04	67.59	10.24	23.76	28.86	24.28	22.59	26.1	29.27	12.09	8.06	16.39	26.1	28.04	28.45	26.28
ITFG2	764.36	466.88	281.09	521.76	356.05	1340.84	297.17	587.13	500.46	346.29	267.73	358.54	769.69	426.57	507.46	599.49	543.96	633.73	256.78	397.93	271.48	647.07	591.22	651.58	525.39	915.51	551.56	1088.92	854.13	624.99	441.64	536.45	490.14	665.29	780.44	429.54	629.35	426.57	400.71	981.29	1167.14	878.17	1175.27	281.09	124.37	149.12	170.25	392.44	373.81	239.52	171.45	155.5	208.38	229.72	258.57	249.73	190.34
KCND1	25.72	66.65	7.0	13.32	4.28	50.27	11.55	10.63	22.43	63.45	13.93	14.67	74.06	14.67	17.77	18.29	25.72	17.25	18.43	5.36	15.34	27.64	32.13	12.93	17.51	22.1	39.5	52.08	39.79	63.0	16.88	17.77	28.65	26.28	33.78	18.43	104.42	8.51	21.32	33.54	88.88	38.4	49.56	6.89	8.99	13.22	4.43	5.36	4.31	4.24	2.01	2.94	1.93	9.13	4.21	2.27	2.86
LCA5	38.67	9.13	16.39	15.56	29.7	27.64	13.93	30.56	5.82	39.22	45.53	23.08	69.03	28.45	42.11	43.32	61.25	42.11	9.63	16.39	10.0	38.12	22.26	34.51	56.68	65.72	94.01	18.29	55.1	40.93	55.1	34.51	55.89	34.26	75.64	16.27	77.79	29.06	59.55	26.67	46.5	44.25	58.71	24.11	11.21	18.97	14.35	8.85	10.96	10.47	21.16	8.19	14.78	26.67	11.73	17.77	9.78
LEAP2	18.56	21.47	1.0	15.68	1.6	68.55	7.11	14.67	32.59	7.94	43.02	48.87	71.5	19.53	46.18	54.72	25.35	37.59	16.63	27.64	31.67	21.01	24.63	31.45	45.85	72.01	53.57	28.24	70.51	89.51	37.32	24.11	36.27	24.99	33.78	49.56	155.5	47.5	36.27	127.89	301.33	132.44	194.36	3.66	2.01	1.89	3.66	5.68	10.16	9.78	15.8	47.84	0.33	2.2	4.54	2.81	2.61
LUC7L	842.36	1030.12	638.15	521.76	256.78	3443.31	629.35	571.05	444.72	1073.91	836.53	802.41	1963.57	1216.75	1477.58	1191.69	775.05	1127.35	941.27	1037.29	629.35	1498.22	1015.93	1044.52	1304.15	2351.53	860.08	1936.53	2573.36	2609.3	967.76	1175.27	819.3	813.63	1417.35	1467.37	2133.97	915.51	759.08	1781.89	2271.4	1508.65	1757.34	262.2	356.05	232.94	291.04	466.88	500.46	769.69	423.61	379.04	176.29	312.0	215.77	279.14	423.61
MORN1	80.01	69.03	187.71	50.63	31.22	116.78	194.36	57.89	169.07	75.11	69.52	61.25	351.14	114.36	127.0	172.65	163.28	171.45	41.22	122.64	103.69	106.63	58.71	84.04	171.45	149.12	149.12	159.9	205.5	241.19	143.01	138.1	144.01	69.52	138.1	171.45	197.09	71.5	67.59	293.07	141.02	260.38	139.07	29.7	62.56	25.35	67.59	73.54	60.82	76.71	76.71	57.49	42.71	79.45	26.1	57.08	13.03
MSANTD2	49.91	109.66	63.0	29.06	35.76	397.93	45.21	71.5	77.25	72.01	73.54	53.19	162.14	103.69	111.21	142.01	124.37	111.99	59.97	106.63	79.45	131.51	98.73	122.64	145.02	199.85	115.97	176.29	157.68	249.73	116.78	114.36	197.09	89.51	177.53	77.79	329.84	146.03	112.77	258.57	624.99	218.79	363.56	46.18	32.13	28.86	34.02	51.71	53.95	59.55	43.32	29.48	15.91	29.06	31.0	27.05	34.02
NAPB	45.85	110.43	94.01	68.07	55.89	220.32	92.7	52.08	156.59	87.03	126.12	120.94	212.78	127.89	275.28	231.32	113.56	143.01	100.83	154.42	91.41	115.16	92.05	149.12	170.25	251.48	244.57	148.09	256.78	409.15	144.01	135.24	204.07	119.26	211.31	165.57	157.68	139.07	131.51	299.25	246.28	307.69	299.25	95.34	45.85	34.75	75.11	94.67	75.11	65.72	50.27	22.26	28.45	28.45	43.32	52.82	66.65
NKTR	141.02	242.88	156.59	93.35	143.01	1477.58	172.65	267.73	271.48	403.5	363.56	351.14	1322.37	460.44	796.86	902.89	575.03	450.94	361.04	785.88	490.14	457.25	466.88	633.73	848.22	1407.55	733.19	457.25	780.44	1950.0	665.29	612.11	397.93	329.84	941.27	409.15	1304.15	583.07	638.15	1561.89	1313.23	1487.87	872.1	39.22	128.79	61.25	111.21	141.02	204.07	148.09	77.25	23.08	22.75	151.22	114.36	94.67	63.89
NPIPA1	583.07	1561.89	579.04	392.44	145.02	2573.36	674.59	656.11	417.77	902.89	579.04	1023.0	4937.99	1340.84	2451.44	1447.15	1909.85	3103.19	921.88	1208.34	1870.53	1199.98	1991.0	2224.63	2287.2	4010.71	3589.58	3235.01	3168.41	5441.3	1896.65	1313.23	1529.73	1697.45	3540.14	1674.06	4543.8	2004.85	1378.57	3168.41	5366.37	2303.12	4481.23	31.67	61.25	111.99	120.1	395.18	186.4	435.55	127.0	8.71	76.17	392.44	212.78	182.55	305.55
NPIPB4	154.42	1277.29	346.29	105.15	81.14	1963.57	476.71	507.46	366.09	389.72	514.56	406.31	3235.01	1639.59	2645.74	1617.0	1030.12	1594.73	536.45	1605.83	884.29	1216.75	1167.14	1909.85	1617.0	3614.55	2018.8	961.07	2104.58	2319.15	1037.29	1175.27	967.76	775.05	1674.06	1286.18	2895.31	688.78	860.08	2664.15	4358.66	1721.16	2224.63	50.27	75.11	98.73	154.42	183.82	226.54	258.57	76.17	27.64	38.12	153.34	71.5	63.45	165.57
NRIP2	19.39	8.13	7.28	11.47	12.27	69.03	11.91	17.38	15.8	12.18	37.59	19.97	59.13	9.06	26.67	23.42	52.08	16.27	8.58	13.03	10.0	44.57	37.05	22.26	18.7	53.19	45.53	23.93	48.87	34.75	25.54	33.06	26.86	18.43	35.76	8.45	59.13	19.53	41.81	59.55	102.25	68.07	64.34	3.26	1.77	6.31	1.97	11.64	7.82	6.78	4.06	1.55	2.27	21.32	24.81	12.55	4.46
OCLM	9.7	2.2	4.43	1.27	1.95	23.42	9.63	1.93	2.25	5.54	7.94	7.63	38.95	12.0	28.65	21.94	10.39	17.0	1.91	21.01	12.0	6.67	8.58	28.45	26.1	67.59	60.39	10.31	27.44	87.65	8.45	11.3	17.13	9.48	22.75	18.03	43.63	9.06	8.25	40.64	23.76	23.42	28.45	2.68	1.43	1.35	1.73	1.87	11.73	1.31	0.0	0.0	0.03	5.92	0.91	0.79	0.11
OGT	283.05	693.58	579.04	239.52	281.09	3349.13	651.58	470.14	571.05	723.08	1037.29	713.11	2816.11	1104.13	1639.59	2119.22	1447.15	819.3	981.29	1151.06	947.83	854.13	1233.75	1769.57	1551.09	4419.52	1369.04	1508.65	1733.13	2701.35	1378.57	1088.92	1295.13	1104.13	1757.34	1936.53	2104.58	1183.45	1322.37	2976.74	3395.89	4095.0	1963.57	332.14	217.27	283.05	255.0	438.59	371.22	409.15	287.01	241.19	79.45	318.57	258.57	236.21	153.34
