	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
C17orf80	267.73	133.36	201.25	199.85	211.31	142.01	198.47	172.65	144.01	211.31	279.14	202.66	189.02	237.86	166.73	269.6	239.52	241.19	251.48	202.66	379.04	493.56	195.72	325.29	325.29	400.71	412.0	575.03	325.29	301.33	343.89	353.59	285.03	332.14	285.03	334.46	387.02	346.29	438.59	293.07	438.59	341.51	454.09	389.72	236.21	327.56	497.0	307.69	316.37	409.15	325.29	473.41	368.65	309.83	279.14	312.0	343.89	356.05	507.46	361.04	265.87	361.04
CDON	301.33	39.22	99.43	234.57	186.4	71.0	178.77	64.8	19.11	208.38	305.55	87.03	134.3	325.29	97.36	119.26	285.03	293.07	241.19	229.72	860.08	961.07	171.45	400.71	612.11	1397.83	866.07	928.3	633.73	532.74	1457.23	620.67	387.02	1096.5	358.54	273.37	866.07	638.15	1583.71	100.83	1104.13	432.53	961.07	563.18	186.4	1088.92	1709.26	191.67	209.84	1388.16	309.83	1721.16	633.73	1583.71	120.94	329.84	379.04	1487.87	444.72	234.57	208.38	412.0
CPNE3	447.82	397.93	435.55	441.64	420.68	493.56	438.59	426.57	389.72	599.49	389.72	358.54	348.71	503.95	387.02	493.56	476.71	579.04	555.41	460.44	1051.79	1529.73	633.73	896.64	1350.18	1304.15	1233.75	1844.76	954.43	878.17	954.43	1167.14	848.22	954.43	836.53	1427.22	1001.93	1037.29	1397.83	890.44	1199.98	1008.9	1030.12	947.83	785.88	1081.39	1286.18	896.64	967.76	1286.18	1143.1	1066.48	1467.37	1104.13	633.73	1023.0	708.18	1199.98	1477.58	1037.29	796.86	988.12
CPSF6	607.87	500.46	624.99	638.15	708.18	547.75	629.35	629.35	612.11	599.49	612.11	633.73	647.07	591.22	497.0	532.74	616.37	688.78	651.58	688.78	718.08	842.36	529.06	665.29	718.08	872.1	733.19	728.11	660.68	656.11	651.58	819.3	591.22	791.35	693.58	713.11	791.35	693.58	854.13	599.49	748.61	708.18	693.58	738.29	587.13	738.29	860.08	753.83	954.43	848.22	738.29	780.44	896.64	713.11	633.73	878.17	780.44	769.69	941.27	961.07	603.67	785.88
CSTF1	301.33	163.28	249.73	267.73	309.83	295.11	265.87	212.78	205.5	351.14	305.55	260.38	351.14	309.83	232.94	287.01	269.6	384.34	316.37	251.48	532.74	397.93	316.37	457.25	426.57	500.46	285.03	521.76	429.54	363.56	435.55	460.44	366.09	444.72	435.55	441.64	426.57	500.46	503.95	275.28	454.09	305.55	450.94	497.0	348.71	406.31	511.0	441.64	454.09	466.88	429.54	450.94	476.71	414.87	426.57	483.38	426.57	460.44	511.0	473.41	307.69	381.68
DCAF11	1277.29	954.43	988.12	974.5	1135.2	1073.91	785.88	769.69	698.41	1250.98	1242.34	1037.29	1037.29	1427.22	1081.39	1369.04	836.53	1397.83	1175.27	947.83	2032.85	1844.76	1447.15	1757.34	1721.16	1745.2	1674.06	1950.0	1540.37	1388.16	1605.83	1487.87	1208.34	2090.03	1561.89	1605.83	1529.73	1551.09	1745.2	1781.89	2004.85	1950.0	1583.71	1508.65	1388.16	1662.49	1832.01	1277.29	1806.78	1806.78	1651.0	2090.03	1594.73	1733.13	1369.04	1583.71	1674.06	1605.83	1781.89	1674.06	2075.59	1605.83
DDX6	373.81	202.66	281.09	256.78	262.2	277.2	239.52	221.86	142.01	162.14	253.23	147.06	165.57	329.84	299.25	334.46	215.77	466.88	429.54	289.02	902.89	830.75	267.73	802.41	775.05	1037.29	547.75	753.83	813.63	470.14	733.19	791.35	466.88	665.29	435.55	583.07	624.99	808.0	764.36	281.09	1073.91	409.15	708.18	764.36	373.81	775.05	1030.12	215.77	651.58	872.1	866.07	1175.27	1359.57	785.88	228.13	591.22	473.41	934.76	1001.93	748.61	348.71	346.29
DENND1C	283.05	206.94	229.72	217.27	226.54	275.28	201.25	287.01	201.25	193.01	229.72	220.32	249.73	312.0	303.44	253.23	159.9	346.29	249.73	176.29	381.68	616.37	348.71	536.45	493.56	409.15	493.56	358.54	423.61	258.57	348.71	341.51	297.17	483.38	297.17	387.02	293.07	426.57	511.0	389.72	511.0	454.09	438.59	379.04	297.17	466.88	417.77	255.0	435.55	470.14	529.06	490.14	420.68	444.72	285.03	480.04	438.59	353.59	368.65	547.75	567.1	412.0
EP300	395.18	232.94	314.17	217.27	297.17	229.72	205.5	262.2	241.19	279.14	291.04	251.48	182.55	309.83	293.07	327.56	371.22	341.51	371.22	305.55	497.0	587.13	297.17	555.41	497.0	728.11	438.59	674.59	567.1	381.68	536.45	483.38	339.14	674.59	438.59	529.06	503.95	620.67	674.59	381.68	651.58	466.88	603.67	507.46	334.46	703.28	656.11	239.52	441.64	660.68	629.35	728.11	693.58	525.39	260.38	547.75	555.41	575.03	638.15	563.18	318.57	540.19
ETV3	142.01	77.79	125.24	121.79	127.89	103.69	112.77	100.13	93.35	95.34	100.13	110.43	101.54	148.09	106.63	121.79	122.64	158.79	154.42	118.43	241.19	414.87	119.26	214.27	218.79	256.78	271.48	234.57	267.73	163.28	191.67	201.25	167.9	175.07	201.25	205.5	190.34	224.97	223.41	163.28	237.86	161.02	218.79	236.21	158.79	226.54	351.14	181.28	166.73	204.07	228.13	260.38	373.81	201.25	164.42	187.71	167.9	194.36	281.09	242.88	152.28	181.28
EXOSC2	379.04	305.55	318.57	277.2	271.48	228.13	246.28	241.19	234.57	211.31	368.65	269.6	323.03	309.83	234.57	262.2	226.54	309.83	336.79	301.33	435.55	376.41	251.48	373.81	395.18	441.64	234.57	392.44	312.0	332.14	450.94	273.37	287.01	454.09	426.57	400.71	435.55	486.75	547.75	327.56	483.38	273.37	435.55	432.53	277.2	368.65	507.46	332.14	412.0	423.61	368.65	476.71	412.0	400.71	297.17	316.37	368.65	412.0	447.82	480.04	256.78	417.77
FAM168B	718.08	466.88	642.59	532.74	616.37	603.67	555.41	444.72	361.04	555.41	591.22	567.1	607.87	651.58	529.06	748.61	536.45	802.41	738.29	579.04	1167.14	1313.23	571.05	1151.06	1208.34	1199.98	1001.93	1286.18	1167.14	842.36	995.0	1037.29	915.51	1208.34	848.22	1191.69	1073.91	1313.23	1259.69	836.53	1331.57	1023.0	1268.46	1369.04	728.11	1295.13	1250.98	791.35	947.83	1259.69	1250.98	1437.15	1407.55	1066.48	733.19	1044.52	878.17	1167.14	1340.84	1304.15	819.3	928.3
FTO	503.95	323.03	420.68	373.81	348.71	366.09	356.05	205.5	172.65	293.07	325.29	220.32	248.0	447.82	297.17	403.5	253.23	612.11	490.14	395.18	961.07	967.76	483.38	713.11	791.35	872.1	928.3	1088.92	733.19	457.25	595.34	830.75	579.04	896.64	733.19	698.41	674.59	775.05	785.88	529.06	988.12	825.0	941.27	878.17	426.57	954.43	825.0	543.96	521.76	842.36	836.53	854.13	808.0	884.29	536.45	633.73	660.68	1030.12	941.27	708.18	483.38	555.41
GANAB	4010.71	2816.11	3257.52	3491.39	3280.18	3874.05	2855.44	2645.74	2701.35	3564.78	3716.2	3060.45	3349.13	3690.52	2915.45	3928.15	2976.74	4388.98	4298.64	3614.55	5366.37	4181.07	3257.52	4450.27	4607.24	4543.8	4512.4	4298.64	4639.29	3820.7	4210.15	4066.71	3325.99	5329.3	5479.15	4210.15	4836.35	5183.54	4869.99	3467.27	5672.41	4152.18	5403.7	4419.52	3303.0	4358.66	5219.6	3235.01	4972.34	4671.57	4639.29	5403.7	5751.61	5954.47	3928.15	4095.0	4010.71	4937.99	5147.73	4543.8	2935.74	4239.45
GCC1	118.43	78.89	96.01	102.97	102.25	95.34	76.17	86.43	91.41	100.13	100.83	93.35	81.14	140.04	88.26	111.99	77.25	131.51	115.16	80.01	239.52	214.27	110.43	226.54	185.11	224.97	131.51	248.0	186.4	154.42	191.67	211.31	178.77	193.01	187.71	224.97	209.84	255.0	291.04	162.14	260.38	115.16	264.03	211.31	146.03	195.72	237.86	173.85	212.78	223.41	206.94	309.83	237.86	177.53	177.53	205.5	241.19	189.02	271.48	204.07	156.59	175.07
GNL3L	70.51	31.9	55.89	52.45	51.71	44.25	38.12	37.05	21.78	60.82	41.52	57.49	35.25	84.63	38.67	46.18	41.81	96.01	68.07	66.65	220.32	129.69	81.14	212.78	226.54	339.14	113.56	194.36	177.53	152.28	264.03	112.77	79.45	175.07	181.28	104.42	265.87	248.0	291.04	142.01	217.27	94.67	146.03	189.02	99.43	159.9	305.55	94.01	136.19	258.57	156.59	346.29	221.86	189.02	81.71	148.09	157.68	185.11	346.29	269.6	60.82	90.14
GTF3C4	115.97	89.51	97.36	94.01	112.77	90.77	88.26	62.12	53.19	94.01	89.51	78.34	94.01	100.13	84.04	123.5	94.01	150.17	141.02	88.26	234.57	197.09	126.12	226.54	194.36	246.28	112.77	348.71	197.09	165.57	167.9	204.07	175.07	244.57	166.73	206.94	211.31	231.32	237.86	137.14	267.73	134.3	244.57	228.13	137.14	220.32	253.23	194.36	147.06	229.72	242.88	246.28	264.03	226.54	177.53	209.84	169.07	229.72	265.87	221.86	122.64	166.73
ISG20L2	303.44	171.45	229.72	217.27	273.37	201.25	204.07	182.55	154.42	224.97	228.13	279.14	273.37	312.0	212.78	253.23	208.38	309.83	265.87	316.37	532.74	532.74	341.51	463.65	447.82	473.41	470.14	540.19	373.81	301.33	420.68	381.68	318.57	414.87	521.76	518.15	435.55	571.05	547.75	318.57	575.03	389.72	551.56	503.95	269.6	466.88	642.59	318.57	429.54	400.71	476.71	555.41	647.07	343.89	258.57	346.29	460.44	426.57	684.02	483.38	305.55	361.04
KIAA0947	173.85	92.05	148.09	149.12	154.42	125.24	144.01	121.79	98.04	118.43	144.01	108.14	124.37	152.28	104.42	148.09	144.01	182.55	167.9	143.01	273.37	323.03	159.9	241.19	208.38	287.01	260.38	356.05	242.88	187.71	242.88	209.84	229.72	260.38	173.85	246.28	258.57	325.29	285.03	209.84	262.2	221.86	246.28	229.72	175.07	275.28	301.33	178.77	229.72	307.69	291.04	307.69	343.89	281.09	151.22	229.72	162.14	312.0	395.18	265.87	239.52	236.21
KLHL9	231.32	172.65	189.02	204.07	205.5	194.36	193.01	178.77	143.01	156.59	159.9	166.73	157.68	248.0	162.14	226.54	202.66	248.0	264.03	199.85	457.25	470.14	246.28	379.04	376.41	392.44	273.37	703.28	325.29	293.07	329.84	447.82	283.05	323.03	260.38	392.44	353.59	406.31	532.74	291.04	571.05	293.07	540.19	351.14	234.57	299.25	551.56	320.8	381.68	329.84	358.54	460.44	476.71	403.5	231.32	376.41	305.55	395.18	476.71	339.14	255.0	368.65
LDOC1L	156.59	86.43	110.43	95.34	125.24	109.66	76.71	99.43	81.14	105.15	102.97	117.6	127.89	146.03	121.79	152.28	115.16	169.07	154.42	141.02	353.59	327.56	194.36	366.09	269.6	366.09	246.28	307.69	343.89	221.86	295.11	323.03	239.52	392.44	291.04	325.29	297.17	476.71	414.87	198.47	363.56	255.0	392.44	414.87	236.21	353.59	334.46	242.88	239.52	363.56	361.04	447.82	334.46	285.03	241.19	281.09	353.59	366.09	332.14	341.51	173.85	283.05
LRRC47	902.89	738.29	791.35	825.0	733.19	718.08	708.18	693.58	579.04	684.02	802.41	775.05	1051.79	825.0	764.36	878.17	665.29	967.76	981.29	718.08	1037.29	921.88	688.78	1030.12	1051.79	1127.35	743.43	1151.06	934.76	854.13	1051.79	988.12	791.35	1135.2	915.51	947.83	1051.79	1051.79	1073.91	808.0	1059.11	1015.93	1073.91	1066.48	723.08	1023.0	1175.27	967.76	909.17	1044.52	1059.11	1037.29	1030.12	941.27	866.07	974.5	1066.48	967.76	1191.69	1001.93	674.59	954.43
MATR3	3820.7	2997.45	3124.78	3303.0	3820.7	2739.08	3467.27	2739.08	2627.46	2777.33	3190.46	2976.74	2997.45	3303.0	2835.7	3847.29	3060.45	4239.45	4095.0	3280.18	5329.3	6561.36	3060.45	4481.23	4543.8	5329.3	5403.7	7331.05	4769.75	4095.0	4328.55	4972.34	3742.05	5147.73	4010.71	5366.37	4481.23	5041.77	5006.93	4769.75	5711.87	4152.18	5441.3	4769.75	3081.75	4671.57	5555.65	3303.0	4123.49	4972.34	4704.07	5112.16	5479.15	5555.65	3303.0	4298.64	4066.71	4937.99	6250.56	4671.57	3874.05	5041.77
MED1	205.5	119.26	214.27	189.02	205.5	189.02	182.55	158.79	149.12	165.57	214.27	186.4	193.01	183.82	175.07	191.67	181.28	218.79	218.79	181.28	395.18	406.31	145.02	255.0	246.28	291.04	269.6	361.04	249.73	205.5	277.2	273.37	249.73	242.88	253.23	307.69	267.73	366.09	312.0	224.97	387.02	253.23	329.84	316.37	199.85	260.38	397.93	220.32	258.57	307.69	293.07	379.04	376.41	279.14	191.67	241.19	248.0	299.25	387.02	336.79	237.86	244.57
METTL14	198.47	126.12	138.1	169.07	182.55	120.94	152.28	152.28	211.31	136.19	163.28	140.04	141.02	194.36	158.79	201.25	136.19	211.31	229.72	162.14	353.59	406.31	170.25	291.04	285.03	348.71	275.28	381.68	309.83	215.77	287.01	275.28	260.38	258.57	224.97	316.37	297.17	397.93	450.94	273.37	318.57	299.25	379.04	341.51	197.09	327.56	358.54	244.57	305.55	327.56	320.8	414.87	435.55	279.14	205.5	334.46	297.17	318.57	334.46	314.17	197.09	234.57
MGA	111.21	57.49	82.87	85.82	89.51	53.57	86.43	63.89	53.19	72.52	82.29	70.01	67.59	87.03	64.8	94.01	86.43	129.69	120.1	89.51	206.94	180.02	53.57	153.34	152.28	199.85	145.02	231.32	156.59	128.79	173.85	178.77	132.44	223.41	118.43	193.01	150.17	169.07	215.77	106.63	232.94	103.69	187.71	131.51	112.77	195.72	279.14	82.87	180.02	198.47	150.17	228.13	229.72	205.5	92.7	163.28	101.54	190.34	226.54	150.17	78.34	133.36
MLLT1	575.03	195.72	267.73	271.48	265.87	237.86	244.57	155.5	110.43	183.82	287.01	206.94	224.97	454.09	201.25	271.48	194.36	466.88	356.05	379.04	941.27	1096.5	878.17	1015.93	866.07	1008.9	1250.98	511.0	802.41	647.07	890.44	525.39	500.46	1051.79	688.78	941.27	669.92	1001.93	1037.29	802.41	878.17	860.08	723.08	848.22	444.72	785.88	819.3	232.94	591.22	981.29	836.53	1208.34	753.83	713.11	309.83	642.59	738.29	728.11	693.58	902.89	591.22	1508.65
MTF1	59.97	28.04	52.82	50.63	52.08	42.41	45.53	38.67	33.78	41.22	36.79	46.84	43.32	56.28	47.17	49.91	33.78	74.58	62.56	55.1	98.73	137.14	52.08	88.88	87.65	98.73	104.42	111.21	87.65	65.72	104.42	92.7	69.03	99.43	101.54	98.73	89.51	129.69	129.69	58.3	119.26	72.52	109.66	135.24	66.18	87.03	121.79	70.51	96.68	128.79	96.68	126.12	150.17	82.29	75.11	86.43	98.73	88.88	136.19	132.44	66.65	77.79
NCOA5	497.0	181.28	348.71	395.18	438.59	269.6	301.33	346.29	217.27	400.71	420.68	490.14	476.71	450.94	423.61	387.02	438.59	563.18	441.64	497.0	748.61	503.95	412.0	616.37	547.75	629.35	547.75	651.58	470.14	400.71	620.67	624.99	579.04	587.13	480.04	563.18	555.41	775.05	921.88	525.39	836.53	376.41	764.36	669.92	392.44	612.11	703.28	642.59	665.29	620.67	633.73	825.0	738.29	518.15	532.74	607.87	660.68	591.22	780.44	713.11	409.15	708.18
NDST1	555.41	371.22	647.07	397.93	559.28	518.15	432.53	423.61	329.84	555.41	409.15	356.05	454.09	656.11	466.88	529.06	480.04	785.88	607.87	441.64	684.02	825.0	651.58	728.11	620.67	1001.93	738.29	780.44	660.68	559.28	660.68	713.11	518.15	896.64	571.05	988.12	669.92	764.36	974.5	571.05	1023.0	660.68	848.22	764.36	563.18	848.22	679.29	503.95	753.83	775.05	954.43	1295.13	961.07	995.0	567.1	559.28	743.43	1008.9	638.15	825.0	511.0	866.07
NEK4	267.73	149.12	218.79	194.36	209.84	211.31	224.97	197.09	140.04	159.9	202.66	139.07	186.4	217.27	151.22	237.86	180.02	289.02	229.72	260.38	373.81	387.02	211.31	265.87	309.83	279.14	246.28	454.09	206.94	255.0	295.11	353.59	303.44	403.5	299.25	220.32	277.2	332.14	414.87	303.44	351.14	291.04	341.51	260.38	255.0	356.05	358.54	314.17	341.51	253.23	264.03	441.64	305.55	301.33	187.71	316.37	273.37	332.14	420.68	353.59	258.57	325.29
NEO1	295.11	185.11	178.77	264.03	249.73	217.27	185.11	163.28	177.53	137.14	251.48	156.59	232.94	265.87	195.72	305.55	214.27	358.54	293.07	221.86	591.22	802.41	353.59	387.02	555.41	656.11	551.56	651.58	571.05	387.02	466.88	356.05	275.28	748.61	316.37	507.46	450.94	529.06	674.59	334.46	802.41	444.72	796.86	571.05	277.2	486.75	660.68	285.03	409.15	583.07	633.73	830.75	651.58	503.95	366.09	373.81	426.57	532.74	674.59	493.56	351.14	480.04
