	GTEX.SE5C.1026.SM.4BRUG	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.GC.A3WC.11A.11R.A22U.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PVOW.1026.SM.2XCF9	TCGA.FY.A3TY.01A.11R.A22U.07	GTEX.13QJC.0826.SM.5RQKC
GNPTAB	301.33	295.11	438.59	220.32	743.43	708.18	612.11	860.08	195.72	217.27	74.06	1508.65	500.46	563.18
GTF2H1	414.87	457.25	575.03	226.54	1096.5	848.22	738.29	1806.78	255.0	346.29	113.56	995.0	507.46	633.73
HIVEP2	62.56	144.01	142.01	36.01	262.2	279.14	231.32	339.14	26.86	14.24	18.29	173.85	172.65	204.07
INVS	64.34	82.29	122.64	47.5	232.94	214.27	173.85	293.07	50.63	53.19	100.13	191.67	138.1	183.82
IST1	1628.26	2627.46	2997.45	1923.14	4419.52	3639.7	3235.01	3467.27	1508.65	854.13	961.07	4736.79	3467.27	3639.7
KIAA0247	172.65	563.18	336.79	356.05	928.3	909.17	775.05	607.87	127.89	106.63	124.37	1001.93	748.61	878.17
LIN7C	166.73	159.9	204.07	85.22	493.56	289.02	323.03	379.04	120.94	185.11	136.19	368.65	194.36	316.37
LRRC40	131.51	142.01	186.4	49.91	341.51	239.52	265.87	603.67	80.57	68.07	60.82	325.29	162.14	154.42
LUZP1	147.06	141.02	173.85	64.34	476.71	409.15	356.05	376.41	35.76	27.44	20.11	460.44	244.57	134.3
MDFIC	99.43	242.88	366.09	127.0	713.11	902.89	532.74	1088.92	229.72	60.82	48.18	2855.44	595.34	379.04
MRPS31	429.54	529.06	629.35	291.04	915.51	718.08	669.92	1127.35	693.58	301.33	301.33	921.88	612.11	909.17
MS4A2	12.09	11.21	28.04	2.46	32.13	21.63	29.91	312.0	0.0	0.0	1.14	1427.22	23.08	0.0
NAB1	186.4	264.03	463.65	120.94	1143.1	988.12	902.89	2119.22	131.51	115.97	108.9	1143.1	620.67	866.07
NFKB1	571.05	698.41	684.02	287.01	698.41	769.69	748.61	819.3	206.94	139.07	162.14	669.92	656.11	361.04
NRP1	96.01	314.17	483.38	162.14	896.64	1417.35	1467.37	2855.44	363.56	90.14	195.72	3820.7	1467.37	607.87
PHACTR2	62.12	206.94	239.52	34.51	379.04	346.29	339.14	387.02	40.93	9.48	20.56	1991.0	271.48	336.79
PLEKHA1	279.14	277.2	341.51	142.01	651.58	571.05	543.96	961.07	212.78	167.9	206.94	3212.66	403.5	603.67
POC1B	125.24	202.66	253.23	99.43	438.59	316.37	277.2	547.75	120.94	110.43	35.76	293.07	191.67	275.28
RAP1B	2335.28	2335.28	2739.08	1417.35	3690.52	2855.44	3395.89	5006.93	1175.27	802.41	890.44	6079.61	2537.92	2367.9
RBMS1	432.53	860.08	769.69	133.36	1769.57	1407.55	1561.89	4358.66	126.12	33.06	73.54	1857.6	860.08	759.08
RNASEL	182.55	97.36	172.65	73.03	152.28	220.32	161.02	583.07	30.34	13.83	32.82	277.2	214.27	264.03
SEPT1	0.0	0.0	206.94	0.0	0.0	40.93	28.04	1.598261246E7	10.55	0.0	0.0	1639.59	14.89	2.669377385E7
SLC18B1	95.34	138.1	279.14	23.59	599.49	348.71	420.68	607.87	101.54	74.58	68.55	218.79	289.02	334.46
SLC35A1	241.19	241.19	543.96	251.48	1259.69	860.08	708.18	1639.59	194.36	199.85	221.86	2271.4	507.46	571.05
SLFN11	189.02	105.89	209.84	48.87	486.75	529.06	616.37	1457.23	57.49	14.89	28.45	2287.2	563.18	738.29
SLFN12	19.82	100.13	43.94	25.54	197.09	258.57	181.28	423.61	21.78	24.63	7.75	441.64	172.65	121.79
SNAP23	780.44	1015.93	1044.52	540.19	1498.22	1417.35	1447.15	1498.22	638.15	366.09	417.77	2271.4	1119.56	1583.71
SRGAP2	236.21	420.68	497.0	409.15	718.08	708.18	802.41	872.1	299.25	218.79	113.56	1757.34	713.11	974.5
STX17	109.66	153.34	214.27	64.8	567.1	500.46	339.14	563.18	71.5	72.01	146.03	656.11	217.27	325.29
SWAP70	236.21	414.87	723.08	208.38	1199.98	961.07	1457.23	1769.57	121.79	89.51	63.89	1088.92	616.37	612.11
TBC1D15	297.17	447.82	571.05	346.29	1709.26	1111.82	1023.0	1745.2	351.14	293.07	180.02	1096.5	775.05	1051.79
TFB1M	201.25	149.12	327.56	239.52	303.44	312.0	273.37	379.04	248.0	253.23	206.94	403.5	285.03	293.07
TLL1	1.17	41.81	19.39	6.21	88.26	68.07	145.02	764.36	0.75	0.36	0.45	51.35	45.21	13.83
TLR3	37.85	42.11	101.54	22.75	447.82	287.01	201.25	775.05	20.11	28.24	38.12	638.15	86.43	52.45
TM4SF18	28.24	67.59	82.87	54.33	1135.2	1498.22	743.43	1639.59	97.36	22.1	32.36	212.78	297.17	140.04
TMEM170A	98.04	199.85	193.01	94.01	587.13	358.54	361.04	368.65	72.52	115.16	128.79	500.46	209.84	361.04
TMEM194B	31.0	63.89	82.29	49.91	186.4	94.67	102.25	518.15	25.91	45.53	39.79	111.21	62.56	98.04
TMTC2	108.9	164.42	251.48	36.79	277.2	199.85	153.34	255.0	11.55	14.14	9.34	775.05	199.85	201.25
TRAF6	86.43	147.06	122.64	49.21	314.17	279.14	205.5	457.25	32.82	58.3	60.82	249.73	122.64	209.84
TRIM13	441.64	429.54	470.14	406.31	819.3	708.18	559.28	921.88	231.32	111.99	128.79	866.07	521.76	532.74
TRIM34	72.01	88.88	180.02	59.13	267.73	255.0	223.41	194.36	33.3	20.56	42.71	529.06	186.4	132.44
TRIM5	273.37	255.0	295.11	70.01	441.64	476.71	414.87	563.18	204.07	141.02	253.23	551.56	336.79	346.29
UBE3D	54.72	42.41	82.87	34.26	124.37	106.63	70.01	153.34	45.53	41.52	28.45	89.51	59.55	61.68
USP4	503.95	603.67	866.07	400.71	1119.56	1096.5	921.88	1277.29	325.29	283.05	318.57	1447.15	954.43	1001.93
VPS36	373.81	318.57	483.38	151.22	1268.46	934.76	775.05	1487.87	194.36	120.94	180.02	1119.56	490.14	769.69
VWA5A	52.08	343.89	514.56	82.87	665.29	713.11	854.13	1529.73	69.52	67.12	88.26	2758.13	599.49	239.52
WDPCP	80.57	72.01	94.01	32.82	170.25	194.36	134.3	273.37	24.46	29.06	23.93	209.84	82.87	142.01
WWP2	291.04	444.72	587.13	444.72	563.18	884.29	642.59	890.44	500.46	271.48	368.65	2178.83	647.07	733.19
ZNF383	40.93	85.82	115.16	38.12	197.09	186.4	106.63	323.03	34.02	9.7	13.42	212.78	85.22	130.6
ZNF462	84.04	167.9	169.07	10.63	314.17	303.44	267.73	320.8	7.28	4.43	7.63	620.67	185.11	198.47
ZNF484	18.29	37.85	46.18	14.35	108.9	100.83	73.54	241.19	12.64	10.16	2.07	158.79	54.72	69.03
ZNF677	137.14	121.79	297.17	55.89	780.44	684.02	497.0	1477.58	14.56	7.69	10.0	1037.29	314.17	361.04
ZNF711	11.64	32.36	45.85	1.35	366.09	267.73	129.69	260.38	3.03	1.17	1.3	71.5	100.83	138.1
