	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.139TS.1426.SM.5IFJD	GTEX.14753.1626.SM.5NQ9L
CTDSPL2	470.14	376.41	366.09	231.32	575.03	497.0	218.79	368.65	228.13	314.17	115.16	563.18	236.21	387.02	384.34	224.97	346.29	444.72	198.47	447.82	316.37	226.54	275.28	206.94	397.93	305.55	389.72	480.04	195.72	93.35	45.21	46.5	40.93	88.88	87.03	78.89	37.59	77.25	81.14	34.26	49.21
DCP1A	316.37	269.6	262.2	180.02	320.8	295.11	164.42	212.78	211.31	182.55	85.22	291.04	178.77	215.77	153.34	97.36	165.57	289.02	122.64	454.09	239.52	144.01	134.3	176.29	269.6	92.05	260.38	307.69	85.82	78.89	53.19	67.59	52.45	59.55	70.51	66.65	48.52	81.71	59.55	76.71	46.84
FAN1	525.39	228.13	214.27	334.46	599.49	447.82	314.17	334.46	164.42	363.56	205.5	463.65	305.55	246.28	463.65	218.79	133.36	234.57	208.38	476.71	486.75	185.11	175.07	148.09	346.29	249.73	277.2	595.34	248.0	115.97	87.03	78.34	101.54	139.07	93.35	158.79	103.69	120.94	104.42	111.99	62.12
FMN1	187.71	94.01	98.04	122.64	131.51	166.73	92.7	71.5	63.45	102.97	50.98	412.0	66.18	120.1	133.36	103.69	103.69	256.78	49.91	353.59	228.13	28.86	29.91	69.03	30.56	87.65	128.79	262.2	117.6	5.36	5.82	4.39	8.45	34.26	7.57	3.72	2.71	4.5	4.74	7.82	0.0
LIMD1	273.37	318.57	305.55	190.34	435.55	262.2	283.05	329.84	176.29	289.02	101.54	334.46	205.5	287.01	379.04	133.36	173.85	327.56	100.13	211.31	460.44	95.34	112.77	214.27	267.73	85.22	198.47	297.17	96.68	178.77	80.57	87.03	88.26	150.17	130.6	194.36	98.04	111.99	70.01	108.14	45.85
MYO5C	417.77	493.56	283.05	441.64	551.56	536.45	454.09	444.72	384.34	493.56	226.54	1044.52	209.84	403.5	387.02	384.34	204.07	718.08	242.88	264.03	660.68	182.55	229.72	258.57	423.61	316.37	392.44	624.99	234.57	68.07	29.91	39.22	53.95	65.72	62.12	57.08	15.68	22.92	33.06	28.86	12.83
NAA25	312.0	208.38	283.05	169.07	223.41	195.72	171.45	242.88	124.37	191.67	86.43	244.57	132.44	409.15	248.0	285.03	166.73	193.01	173.85	363.56	269.6	169.07	126.12	153.34	231.32	182.55	197.09	295.11	122.64	111.21	64.8	53.95	48.87	77.25	88.88	84.63	29.06	63.89	50.98	41.81	18.03
NARG2	791.35	603.67	429.54	624.99	802.41	842.36	896.64	791.35	728.11	536.45	332.14	1529.73	633.73	432.53	587.13	785.88	392.44	679.29	511.0	860.08	947.83	497.0	954.43	412.0	688.78	780.44	633.73	928.3	791.35	253.23	189.02	112.77	161.02	185.11	166.73	224.97	73.54	204.07	316.37	172.65	139.07
NR2C2	202.66	175.07	215.77	72.01	260.38	129.69	83.45	180.02	57.89	137.14	46.18	187.71	127.89	139.07	183.82	88.26	127.0	236.21	66.18	285.03	197.09	60.39	80.57	98.73	193.01	68.55	98.04	185.11	57.08	71.5	59.97	28.04	37.59	57.89	58.71	77.25	19.25	47.84	28.24	32.59	21.78
NUP210	995.0	473.41	743.43	483.38	1044.52	988.12	521.76	551.56	400.71	511.0	279.14	1135.2	389.72	525.39	884.29	748.61	543.96	518.15	320.8	698.41	1037.29	208.38	463.65	507.46	1088.92	320.8	947.83	909.17	480.04	466.88	275.28	231.32	204.07	277.2	283.05	438.59	146.03	102.25	148.09	217.27	77.25
PBRM1	656.11	587.13	753.83	392.44	665.29	599.49	303.44	620.67	289.02	361.04	138.1	497.0	279.14	733.19	323.03	195.72	361.04	718.08	249.73	1225.22	551.56	356.05	289.02	262.2	547.75	217.27	457.25	825.0	171.45	140.04	76.71	72.01	78.34	109.66	119.26	96.01	59.55	111.99	137.14	109.66	48.87
PIKFYVE	177.53	155.5	198.47	60.82	176.29	112.77	66.65	114.36	75.64	127.89	51.35	167.9	107.38	146.03	124.37	102.97	98.04	214.27	87.65	239.52	169.07	96.01	88.88	94.67	128.79	119.26	127.89	148.09	60.82	70.51	35.0	33.06	30.56	44.57	78.34	63.45	28.86	49.21	58.71	34.75	26.47
POLR1A	373.81	267.73	409.15	127.89	312.0	289.02	148.09	143.01	93.35	185.11	121.79	205.5	127.89	312.0	152.28	205.5	223.41	251.48	152.28	403.5	297.17	88.26	117.6	201.25	226.54	164.42	112.77	381.68	144.01	94.67	79.45	51.71	105.89	92.05	67.12	72.01	51.71	55.1	42.11	40.64	38.95
PPP4R1	791.35	753.83	928.3	583.07	1427.22	651.58	890.44	1088.92	808.0	967.76	555.41	1135.2	521.76	684.02	934.76	423.61	981.29	1369.04	591.22	647.07	808.0	571.05	753.83	543.96	665.29	470.14	813.63	872.1	575.03	373.81	329.84	279.14	366.09	234.57	406.31	258.57	182.55	256.78	224.97	181.28	138.1
PRKAR2A	525.39	414.87	318.57	353.59	403.5	409.15	432.53	414.87	368.65	239.52	242.88	543.96	323.03	447.82	785.88	190.34	384.34	518.15	217.27	684.02	579.04	237.86	231.32	400.71	429.54	186.4	417.77	555.41	167.9	237.86	157.68	199.85	163.28	221.86	218.79	190.34	158.79	151.22	166.73	158.79	178.77
PTPN11	1322.37	988.12	1081.39	642.59	934.76	890.44	679.29	1096.5	563.18	1151.06	327.56	860.08	684.02	1508.65	872.1	567.1	743.43	1268.46	759.08	1651.0	884.29	890.44	579.04	612.11	878.17	753.83	808.0	1183.45	896.64	660.68	363.56	297.17	275.28	363.56	389.72	395.18	291.04	429.54	483.38	325.29	759.08
PUM1	988.12	1304.15	1081.39	423.61	1350.18	532.74	769.69	743.43	723.08	656.11	476.71	1159.07	802.41	995.0	921.88	540.19	830.75	1268.46	647.07	1066.48	1023.0	555.41	769.69	1059.11	1104.13	629.35	567.1	796.86	532.74	356.05	236.21	251.48	287.01	376.41	341.51	283.05	228.13	336.79	303.44	336.79	285.03
QRICH1	1225.22	1286.18	1051.79	1135.2	995.0	1066.48	902.89	830.75	769.69	1242.34	785.88	1096.5	1127.35	928.3	1135.2	769.69	842.36	1073.91	612.11	1259.69	1001.93	909.17	854.13	633.73	1216.75	571.05	1159.07	1350.18	713.11	559.28	429.54	348.71	473.41	536.45	555.41	518.15	358.54	395.18	387.02	414.87	194.36
QSER1	285.03	295.11	518.15	127.89	297.17	255.0	104.42	228.13	125.24	180.02	63.89	251.48	164.42	176.29	190.34	164.42	135.24	301.33	180.02	353.59	281.09	131.51	111.21	206.94	258.57	91.41	231.32	521.76	163.28	62.56	40.36	34.02	34.51	48.18	56.68	48.18	14.24	36.27	43.94	31.67	20.86
RABEP1	1963.57	974.5	791.35	1216.75	1397.83	2255.7	1896.65	1111.82	718.08	651.58	1104.13	2777.33	2434.5	1977.24	1733.13	1936.53	1216.75	1781.89	759.08	1427.22	2816.11	525.39	733.19	1159.07	1208.34	1844.76	961.07	1519.15	1651.0	289.02	248.0	204.07	152.28	318.57	281.09	239.52	134.3	301.33	291.04	167.9	134.3
RAD18	249.73	197.09	309.83	197.09	211.31	316.37	151.22	127.0	115.97	84.63	81.14	256.78	103.69	208.38	241.19	128.79	141.02	232.94	87.03	579.04	199.85	164.42	127.0	106.63	289.02	101.54	228.13	607.87	105.89	69.03	48.18	40.64	50.63	68.07	53.95	55.49	30.56	43.63	31.22	55.49	27.05
RAD54L2	151.22	128.79	197.09	110.43	163.28	113.56	80.57	123.5	94.01	121.79	71.0	157.68	77.25	111.99	134.3	71.0	110.43	130.6	71.0	93.35	142.01	71.0	106.63	141.02	215.77	53.57	126.12	172.65	95.34	75.11	57.08	40.36	54.33	74.58	61.68	64.34	53.19	61.68	89.51	62.56	45.85
RANBP2	642.59	486.75	480.04	204.07	500.46	607.87	400.71	525.39	332.14	307.69	177.53	525.39	463.65	460.44	791.35	329.84	529.06	665.29	318.57	854.13	624.99	397.93	269.6	403.5	503.95	414.87	346.29	738.29	287.01	139.07	98.04	100.83	98.04	166.73	140.04	102.25	84.63	170.25	149.12	112.77	129.69
RFX7	191.67	143.01	97.36	62.56	232.94	163.28	119.26	228.13	121.79	105.15	66.18	267.73	135.24	117.6	151.22	126.12	120.1	153.34	79.45	208.38	144.01	108.9	135.24	89.51	125.24	108.9	139.07	180.02	115.97	45.21	37.59	25.72	19.97	26.67	50.27	36.53	17.51	10.47	33.3	22.75	16.15
RIF1	201.25	255.0	395.18	94.67	279.14	155.5	102.97	194.36	108.9	165.57	68.07	275.28	142.01	277.2	169.07	131.51	206.94	275.28	122.64	260.38	255.0	143.01	139.07	122.64	178.77	176.29	195.72	454.09	120.94	72.52	48.87	38.95	32.59	68.55	59.13	68.07	14.03	49.91	57.49	32.36	21.16
RYBP	447.82	395.18	444.72	293.07	441.64	381.68	309.83	320.8	403.5	297.17	167.9	486.75	228.13	334.46	212.78	144.01	334.46	301.33	234.57	525.39	260.38	346.29	339.14	295.11	271.48	220.32	361.04	417.77	273.37	105.89	85.22	64.34	66.18	110.43	120.94	104.42	158.79	177.53	166.73	157.68	258.57
SEC22C	1259.69	769.69	1159.07	872.1	1008.9	1143.1	1322.37	1175.27	1051.79	872.1	842.36	947.83	1286.18	693.58	1340.84	507.46	813.63	1081.39	780.44	1561.89	1350.18	808.0	1073.91	808.0	830.75	679.29	884.29	1477.58	775.05	412.0	291.04	423.61	258.57	341.51	466.88	248.0	267.73	237.86	239.52	251.48	226.54
SETD2	830.75	536.45	540.19	417.77	603.67	532.74	420.68	563.18	318.57	551.56	264.03	679.29	397.93	420.68	575.03	262.2	392.44	529.06	329.84	775.05	595.34	392.44	444.72	363.56	620.67	256.78	486.75	775.05	379.04	215.77	148.09	156.59	148.09	215.77	190.34	215.77	60.82	199.85	197.09	161.02	165.57
SETD5	1304.15	1268.46	1001.93	785.88	1417.35	928.3	612.11	954.43	536.45	486.75	417.77	1059.11	713.11	753.83	1037.29	934.76	723.08	775.05	733.19	1268.46	934.76	748.61	819.3	447.82	2468.49	381.68	1340.84	1745.2	521.76	406.31	217.27	185.11	206.94	332.14	348.71	466.88	135.24	264.03	273.37	166.73	86.43
SLC30A6	279.14	248.0	417.77	183.82	341.51	397.93	162.14	241.19	197.09	223.41	154.42	368.65	224.97	309.83	202.66	224.97	234.57	432.53	212.78	575.03	327.56	275.28	173.85	299.25	503.95	318.57	346.29	423.61	183.82	123.5	107.38	94.67	98.04	123.5	136.19	96.68	84.63	84.04	94.01	105.15	67.59
SMARCC1	974.5	1498.22	1529.73	1015.93	1268.46	1216.75	802.41	780.44	866.07	796.86	483.38	1331.57	543.96	1340.84	1561.89	454.09	1350.18	974.5	571.05	1883.54	1225.22	796.86	813.63	607.87	1331.57	547.75	1073.91	1313.23	616.37	244.57	178.77	197.09	277.2	307.69	228.13	281.09	145.02	181.28	153.34	163.28	135.24
SMCR8	212.78	176.29	158.79	110.43	400.71	186.4	152.28	105.15	51.71	105.89	59.97	258.57	101.54	309.83	128.79	84.04	108.9	244.57	69.52	258.57	265.87	46.5	21.16	195.72	105.89	104.42	68.55	366.09	40.64	37.32	13.22	20.41	33.78	30.34	39.5	21.16	31.45	22.43	19.53	16.27	9.7
SP1	988.12	974.5	830.75	728.11	1313.23	836.53	603.67	909.17	555.41	718.08	438.59	1066.48	669.92	878.17	830.75	674.59	830.75	974.5	651.58	954.43	791.35	500.46	733.19	679.29	928.3	656.11	708.18	854.13	353.59	248.0	183.82	154.42	189.02	271.48	237.86	197.09	142.01	214.27	229.72	197.09	183.82
SRPK1	842.36	366.09	624.99	423.61	638.15	660.68	525.39	567.1	332.14	371.22	295.11	620.67	242.88	320.8	583.07	403.5	656.11	638.15	384.34	954.43	591.22	366.09	303.44	255.0	785.88	493.56	490.14	934.76	400.71	273.37	204.07	164.42	262.2	178.77	269.6	204.07	119.26	220.32	170.25	150.17	206.94
TATDN2	854.13	612.11	872.1	591.22	698.41	708.18	629.35	708.18	563.18	381.68	543.96	808.0	633.73	679.29	785.88	616.37	493.56	551.56	432.53	660.68	733.19	371.22	435.55	339.14	872.1	305.55	543.96	878.17	351.14	293.07	316.37	287.01	366.09	244.57	277.2	285.03	170.25	171.45	151.22	217.27	109.66
TBC1D5	669.92	423.61	616.37	267.73	629.35	457.25	674.59	435.55	316.37	376.41	137.14	454.09	186.4	409.15	507.46	289.02	320.8	406.31	255.0	909.17	579.04	218.79	291.04	307.69	514.56	161.02	182.55	555.41	151.22	158.79	120.94	144.01	137.14	141.02	150.17	136.19	147.06	96.68	91.41	161.02	151.22
TRAPPC10	387.02	351.14	277.2	307.69	417.77	295.11	265.87	305.55	223.41	307.69	190.34	381.68	271.48	314.17	397.93	229.72	217.27	444.72	228.13	470.14	463.65	275.28	236.21	303.44	363.56	271.48	343.89	490.14	214.27	217.27	100.83	136.19	120.94	139.07	193.01	204.07	138.1	120.94	158.79	119.26	105.15
UBXN7	285.03	214.27	279.14	136.19	281.09	260.38	142.01	224.97	141.02	149.12	64.8	248.0	189.02	236.21	237.86	218.79	226.54	341.51	123.5	332.14	295.11	147.06	190.34	183.82	209.84	208.38	182.55	289.02	180.02	55.89	38.67	32.59	38.4	48.87	55.49	45.21	39.22	50.63	41.22	53.95	31.9
USP19	928.3	808.0	748.61	808.0	902.89	738.29	733.19	813.63	555.41	836.53	607.87	808.0	769.69	713.11	679.29	392.44	620.67	651.58	507.46	638.15	866.07	457.25	543.96	444.72	890.44	361.04	679.29	842.36	420.68	406.31	353.59	258.57	414.87	551.56	423.61	466.88	447.82	343.89	329.84	299.25	194.36
USP37	241.19	162.14	236.21	72.01	181.28	107.38	72.52	138.1	58.71	81.14	34.02	171.45	105.15	89.51	191.67	116.78	94.01	206.94	75.11	387.02	178.77	65.72	45.53	82.87	131.51	118.43	152.28	287.01	48.87	13.72	15.22	9.7	18.03	11.82	14.45	16.03	4.24	23.42	18.03	30.78	40.07
USP4	1037.29	1037.29	954.43	890.44	769.69	825.0	902.89	813.63	679.29	791.35	642.59	941.27	743.43	941.27	679.29	438.59	954.43	1096.5	525.39	743.43	825.0	656.11	813.63	426.57	791.35	620.67	769.69	753.83	543.96	384.34	325.29	248.0	180.02	500.46	376.41	503.95	318.57	305.55	341.51	275.28	159.9
VHL	967.76	587.13	764.36	529.06	713.11	656.11	525.39	603.67	400.71	325.29	269.6	624.99	490.14	381.68	1037.29	400.71	339.14	470.14	320.8	684.02	447.82	249.73	500.46	309.83	1066.48	239.52	738.29	660.68	332.14	241.19	104.42	139.07	134.3	182.55	197.09	146.03	115.97	211.31	173.85	169.07	77.25
VPRBP	728.11	595.34	728.11	463.65	612.11	698.41	518.15	571.05	392.44	688.78	291.04	698.41	368.65	688.78	679.29	356.05	483.38	669.92	329.84	954.43	633.73	447.82	271.48	764.36	470.14	314.17	511.0	802.41	339.14	181.28	112.77	110.43	131.51	214.27	147.06	178.77	139.07	172.65	176.29	137.14	178.77
WDR48	599.49	698.41	616.37	450.94	656.11	571.05	567.1	651.58	438.59	563.18	336.79	748.61	490.14	543.96	674.59	267.73	674.59	780.44	327.56	1008.9	718.08	620.67	555.41	287.01	547.75	387.02	473.41	825.0	406.31	228.13	156.59	163.28	220.32	221.86	256.78	176.29	176.29	277.2	218.79	223.41	161.02
WHSC1	866.07	633.73	928.3	728.11	928.3	780.44	563.18	819.3	229.72	941.27	239.52	780.44	397.93	785.88	1350.18	476.71	293.07	1015.93	412.0	1322.37	791.35	299.25	571.05	454.09	967.76	476.71	854.13	1015.93	450.94	167.9	120.94	116.78	115.97	149.12	133.36	194.36	50.98	68.55	85.22	66.65	20.41
ZFYVE20	242.88	212.78	211.31	221.86	249.73	218.79	202.66	215.77	167.9	209.84	117.6	256.78	129.69	190.34	241.19	190.34	215.77	226.54	117.6	214.27	249.73	156.59	135.24	161.02	400.71	90.14	154.42	239.52	104.42	104.42	81.14	68.07	90.14	102.25	104.42	84.04	69.03	68.07	73.03	80.57	47.5
ZNF106	381.68	387.02	208.38	212.78	595.34	301.33	262.2	420.68	197.09	242.88	88.26	551.56	242.88	400.71	476.71	143.01	205.5	571.05	175.07	316.37	616.37	156.59	185.11	226.54	325.29	191.67	170.25	486.75	123.5	108.9	74.06	64.34	82.87	96.01	106.63	70.01	49.56	70.51	63.89	68.07	39.22
ZNF197	287.01	267.73	249.73	142.01	307.69	265.87	201.25	289.02	239.52	291.04	146.03	327.56	197.09	191.67	269.6	162.14	209.84	253.23	153.34	400.71	348.71	251.48	241.19	113.56	295.11	148.09	231.32	476.71	297.17	45.85	45.85	42.11	81.71	78.89	78.34	100.83	30.56	86.43	107.38	76.17	69.03
ZNF320	256.78	387.02	285.03	226.54	447.82	432.53	271.48	307.69	205.5	384.34	229.72	493.56	127.0	447.82	511.0	271.48	215.77	392.44	232.94	351.14	409.15	136.19	220.32	285.03	591.22	234.57	285.03	438.59	224.97	27.84	68.07	7.51	11.73	123.5	40.36	10.47	9.48	7.28	8.19	37.05	2.43
ZNF35	130.6	100.13	124.37	96.01	129.69	66.65	109.66	122.64	138.1	117.6	94.01	148.09	128.79	106.63	71.0	49.91	144.01	176.29	66.65	118.43	114.36	90.14	96.01	77.79	151.22	91.41	122.64	169.07	130.6	18.97	19.11	15.68	22.59	34.75	21.47	18.97	16.39	25.91	25.91	24.46	8.65
ZNF445	151.22	139.07	161.02	97.36	133.36	136.19	87.65	161.02	65.72	111.21	55.89	132.44	108.14	106.63	157.68	85.22	81.14	161.02	63.89	172.65	156.59	94.01	115.97	60.39	139.07	67.12	111.21	215.77	63.0	47.5	28.24	14.03	38.67	33.78	38.95	50.63	22.1	32.82	34.26	31.9	27.84
ZNF507	166.73	170.25	206.94	84.63	189.02	176.29	79.45	137.14	87.65	185.11	61.25	157.68	110.43	186.4	214.27	96.68	126.12	132.44	142.01	194.36	195.72	115.16	94.67	136.19	140.04	119.26	110.43	249.73	89.51	96.01	48.18	42.41	37.32	79.45	59.55	79.45	30.12	71.5	72.01	56.28	33.78
ZNF562	226.54	316.37	555.41	127.0	339.14	332.14	189.02	234.57	177.53	260.38	111.21	351.14	221.86	241.19	299.25	285.03	189.02	307.69	223.41	295.11	336.79	183.82	115.97	217.27	171.45	211.31	206.94	503.95	161.02	77.25	79.45	60.82	55.49	54.33	92.7	65.26	28.04	87.03	50.27	56.28	41.81
ZNF621	409.15	180.02	297.17	100.13	182.55	147.06	102.25	148.09	97.36	187.71	85.22	228.13	119.26	119.26	277.2	78.34	141.02	190.34	83.45	283.05	185.11	115.97	78.34	88.26	195.72	73.03	189.02	363.56	97.36	46.5	23.42	14.56	25.54	31.0	35.25	50.27	31.22	21.78	23.42	28.24	23.76
ZNF708	97.36	96.01	141.02	59.55	78.89	143.01	70.01	76.71	54.72	137.14	25.91	141.02	43.63	80.01	74.06	45.53	47.84	88.26	85.82	193.01	122.64	39.5	59.97	87.65	132.44	54.33	96.01	115.97	71.0	10.08	10.63	5.36	6.26	18.7	19.97	11.13	7.34	14.03	18.16	25.17	14.14
ZNF724P	21.32	21.94	67.59	16.63	41.52	34.26	28.45	22.75	9.41	17.9	5.87	29.06	6.52	27.05	25.91	18.03	10.31	32.59	21.63	38.67	31.9	5.82	15.0	19.82	25.54	10.63	16.63	36.53	16.27	0.62	0.58	0.56	0.99	2.94	0.0	2.16	0.59	0.0	0.66	3.47	0.0
ZNF770	521.76	429.54	249.73	180.02	620.67	476.71	271.48	348.71	221.86	358.54	85.22	583.07	262.2	267.73	363.56	141.02	212.78	409.15	139.07	457.25	540.19	291.04	158.79	217.27	366.09	236.21	224.97	441.64	214.27	94.67	35.76	48.52	51.35	152.28	98.04	78.34	57.49	136.19	113.56	121.79	72.01
ZSCAN20	41.22	38.12	55.1	10.88	73.54	16.03	40.07	30.56	23.42	20.86	14.78	85.82	41.81	32.36	43.32	20.71	34.51	40.64	18.84	33.06	42.11	10.16	19.97	54.72	84.63	17.38	12.36	20.11	11.55	6.21	6.67	5.54	6.46	13.22	6.62	7.63	1.43	2.14	2.86	3.79	0.39
