	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.13113.1326.SM.5GCOI	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.11UD2.0726.SM.5EQ69	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.11ZTT.0626.SM.5EQLM
GATA2	19.11	80.01	18.43	4.31	8.85	22.92	21.94	13.32	0.0	0.69	866.07	241.19	450.94	967.76	780.44	301.33	2384.37	1519.15	336.79	1259.69	1378.57	1909.85	748.61	607.87	1159.07	1685.71	1051.79
GCNT4	2.23	9.06	5.73	4.94	4.35	17.0	16.03	5.63	0.0	0.06	36.53	78.34	32.59	30.34	29.91	15.45	47.5	78.89	42.71	85.82	52.08	20.56	57.89	47.5	101.54	137.14	26.1
GPATCH2	52.08	64.34	40.36	38.12	19.39	68.55	53.57	64.34	0.0	0.35	139.07	173.85	242.88	163.28	144.01	226.54	166.73	208.38	113.56	202.66	141.02	88.88	182.55	110.43	178.77	212.78	144.01
GPR89A	231.32	258.57	323.03	244.57	283.05	135.24	221.86	511.0	0.0	0.45	279.14	176.29	356.05	248.0	236.21	232.94	373.81	332.14	353.59	279.14	277.2	303.44	232.94	217.27	329.84	567.1	279.14
HBEGF	28.65	136.19	36.27	154.42	51.35	75.11	102.97	144.01	141.02	305.55	3190.46	3212.66	5441.3	633.73	1208.34	836.53	3103.19	4388.98	579.04	4512.4	1617.0	412.0	3614.55	961.07	1685.71	5791.62	915.51
HSPA6	44.25	43.63	19.53	16.63	16.63	23.76	21.94	27.44	0.0	0.08	157.68	88.88	90.14	171.45	47.5	149.12	7230.1	14663.09	55.1	457.25	64.8	130.6	190.34	106.63	241.19	12853.63	71.0
HSPH1	947.83	497.0	642.59	429.54	223.41	358.54	260.38	215.77	0.0	0.0	909.17	928.3	1167.14	1088.92	854.13	1044.52	8963.45	17558.94	1096.5	1551.09	961.07	802.41	928.3	1304.15	1561.89	19214.73	981.29
ING3	85.22	111.99	99.43	96.01	36.53	131.51	64.8	59.13	0.0	0.35	172.65	171.45	358.54	312.0	242.88	248.0	435.55	559.28	429.54	432.53	406.31	343.89	536.45	339.14	343.89	599.49	381.68
KBTBD2	191.67	303.44	205.5	226.54	152.28	320.8	361.04	392.44	0.0	0.59	612.11	921.88	842.36	595.34	412.0	368.65	890.44	1111.82	620.67	1175.27	629.35	476.71	1135.2	381.68	571.05	1216.75	511.0
KHDRBS1	743.43	819.3	713.11	713.11	490.14	1437.15	934.76	915.51	1832.01	299.25	1757.34	2303.12	2090.03	1340.84	1896.65	1697.45	2520.38	2287.2	1477.58	1909.85	1832.01	1268.46	2193.99	1487.87	2133.97	2573.36	1685.71
KIAA1671	447.82	536.45	417.77	470.14	346.29	305.55	567.1	403.5	154.42	37.85	320.8	163.28	521.76	612.11	529.06	273.37	493.56	941.27	532.74	665.29	540.19	583.07	571.05	1066.48	638.15	995.0	1417.35
KLHL28	27.44	57.89	44.25	53.57	22.43	59.97	71.5	53.19	45.21	56.28	98.04	82.87	118.43	118.43	126.12	113.56	193.01	295.11	166.73	209.84	189.02	89.51	115.97	120.94	149.12	264.03	112.77
KRT71	0.0	0.0	0.83	0.0	0.0	0.41	0.0	0.38	0.0	0.0	0.0	0.0	1.08	0.0	1.16	0.0	0.56	4.58	0.0	0.49	0.57	0.21	1.5	0.52	0.0	3.59	0.0
LRP6	145.02	197.09	156.59	186.4	101.54	66.65	202.66	143.01	0.0	0.55	234.57	181.28	142.01	126.12	291.04	155.5	325.29	316.37	100.13	363.56	197.09	239.52	157.68	129.69	208.38	660.68	205.5
MED30	567.1	318.57	226.54	379.04	209.84	318.57	231.32	429.54	0.0	0.64	551.56	624.99	575.03	414.87	303.44	366.09	1304.15	1259.69	624.99	819.3	309.83	466.88	476.71	703.28	878.17	660.68	381.68
MICB	21.63	18.7	17.25	6.21	11.47	49.56	23.76	35.0	0.0	0.57	356.05	57.89	242.88	116.78	186.4	224.97	353.59	1397.83	237.86	217.27	181.28	161.02	133.36	32.36	108.9	967.76	39.79
MMS22L	5.28	11.82	6.89	5.92	4.28	17.0	3.56	3.32	0.0	0.39	43.32	12.93	102.97	54.33	63.45	31.22	52.82	97.36	55.1	56.68	60.82	33.54	69.03	38.95	50.63	135.24	118.43
MNAT1	435.55	366.09	291.04	318.57	172.65	341.51	197.09	363.56	0.0	0.46	878.17	563.18	698.41	583.07	454.09	633.73	890.44	575.03	555.41	563.18	389.72	547.75	669.92	1037.29	909.17	921.88	733.19
MPPED2	17.0	18.43	6.67	8.13	8.32	9.13	9.41	4.13	0.0	0.23	13.52	4.7	187.71	63.89	37.85	4.82	16.63	18.97	26.47	185.11	121.79	2.53	16.88	19.82	206.94	197.09	21.63
MYOM2	143.01	249.73	155.5	212.78	100.13	12.93	166.73	214.27	0.0	0.21	189.02	204.07	1111.82	320.8	285.03	285.03	231.32	1066.48	162.14	307.69	884.29	323.03	94.01	368.65	325.29	961.07	138.1
NAALAD2	3.59	14.56	5.15	5.02	3.23	4.39	2.32	0.68	0.0	0.23	37.05	26.1	64.34	37.85	66.65	11.91	246.28	206.94	62.12	133.36	197.09	43.63	34.26	27.64	88.26	303.44	71.0
NCEH1	19.97	30.34	25.17	12.74	15.68	122.64	4.7	56.68	0.0	0.05	1023.0	301.33	397.93	271.48	265.87	85.82	264.03	248.0	376.41	277.2	444.72	426.57	620.67	309.83	155.5	497.0	559.28
NFATC2	24.81	35.5	36.53	30.12	32.13	42.71	31.45	9.34	23.76	80.57	146.03	423.61	358.54	108.9	346.29	134.3	224.97	346.29	693.58	563.18	358.54	103.69	208.38	140.04	131.51	438.59	299.25
NKRF	88.26	71.0	83.45	82.87	49.21	81.14	50.63	85.22	0.0	0.39	118.43	101.54	150.17	69.52	161.02	111.99	785.88	884.29	119.26	161.02	127.89	90.77	118.43	71.5	120.1	884.29	81.14
NPAS4	1.43	0.87	0.84	0.72	0.0	2.92	0.93	0.67	0.0	0.16	0.45	0.11	5.5	1.45	1.03	0.09	6.46	5.77	1.27	3.82	2.94	2.86	2.89	3.14	1.23	5.36	2.12
NR4A2	15.22	201.25	161.02	191.67	90.77	46.5	147.06	109.66	78.89	146.03	842.36	389.72	1427.22	497.0	543.96	450.94	2520.38	3820.7	603.67	4038.61	387.02	323.03	1175.27	454.09	1583.71	2758.13	547.75
NREP	70.51	406.31	307.69	529.06	450.94	178.77	103.69	140.04	0.0	0.04	656.11	183.82	1397.83	511.0	941.27	218.79	1991.0	981.29	555.41	2384.37	1208.34	547.75	486.75	473.41	1359.57	2468.49	669.92
NUDT11	0.61	0.0	0.0	0.0	1.51	1.03	0.0	0.0	0.0	0.38	8.58	10.0	9.78	2.46	39.5	18.16	29.91	214.27	17.51	62.56	3.72	10.16	10.88	2.27	3.63	239.52	142.01
NXPE3	5.06	14.67	13.62	7.57	13.12	72.01	5.92	6.78	142.01	90.14	124.37	248.0	318.57	232.94	112.77	237.86	271.48	480.04	624.99	447.82	249.73	366.09	521.76	197.09	71.5	511.0	567.1
OAT	244.57	283.05	400.71	1340.84	780.44	265.87	60.39	198.47	0.0	1.06	1519.15	1857.6	1369.04	890.44	2255.7	587.13	3716.2	4010.71	1216.75	1883.54	1498.22	825.0	1104.13	1639.59	1183.45	5255.91	1477.58
OXR1	412.0	249.73	224.97	232.94	105.15	267.73	187.71	218.79	0.0	0.39	688.78	373.81	473.41	450.94	587.13	366.09	708.18	860.08	612.11	669.92	775.05	429.54	563.18	651.58	802.41	808.0	819.3
P2RX2	0.0	0.0	0.0	2.27	56.28	1.99	0.0	1.41	0.0	0.2	82.87	11.64	95.34	43.63	42.11	31.0	118.43	38.4	59.97	104.42	135.24	41.22	55.49	5.87	49.91	161.02	33.06
PABPC4L	0.96	5.23	0.59	0.0	0.0	0.93	0.96	0.34	0.0	0.08	8.45	3.79	10.71	22.1	14.14	5.02	51.71	88.88	23.59	32.82	14.03	5.06	17.13	10.31	16.27	52.82	16.63
PARD3B	28.65	43.63	27.25	21.16	26.28	47.84	26.28	17.51	0.0	0.31	176.29	130.6	158.79	77.79	239.52	30.56	392.44	503.95	220.32	444.72	264.03	94.01	147.06	159.9	339.14	341.51	187.71
PCDH9	1.93	13.42	16.15	6.11	6.36	12.83	0.29	24.63	0.0	0.0	14.03	13.93	38.67	19.53	9.85	4.98	27.44	62.56	19.39	35.76	19.82	32.13	102.25	33.06	47.84	66.65	37.85
PENK	0.0	0.0	0.0	1.43	0.0	2.32	0.0	2.07	0.0	0.28	353.59	392.44	122.64	39.79	579.04	41.22	466.88	2997.45	466.88	1331.57	175.07	17.13	40.36	56.68	50.63	4639.29	42.41
PFDN1	775.05	769.69	612.11	486.75	379.04	708.18	381.68	708.18	0.0	0.73	2537.92	1151.06	2287.2	1199.98	1304.15	669.92	1733.13	1950.0	1059.11	1909.85	1540.37	1369.04	2758.13	1819.35	1991.0	2163.77	2075.59
PKD2L2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	1.43	0.0	0.16	0.38	1.69	3.59	1.3	3.11	2.41	1.43	4.17	0.21	1.87	2.43	0.72	1.01	0.01	1.23	3.2	0.03
PLCL1	3.5	15.56	4.35	0.99	0.96	5.45	2.1	1.79	0.0	0.06	71.5	59.13	88.88	77.79	129.69	23.08	127.0	162.14	87.03	220.32	165.57	64.34	132.44	143.01	139.07	269.6	237.86
POU3F2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.97	1.08	0.0	0.0	17.38	6.52	1.3	4.94	0.0	0.0	1.16	5.45	0.0	7.06	1.31
PPIG	392.44	536.45	438.59	389.72	66.18	796.86	493.56	339.14	583.07	435.55	1059.11	921.88	1233.75	638.15	607.87	583.07	1023.0	1111.82	981.29	941.27	1051.79	713.11	921.88	638.15	753.83	1151.06	967.76
PPIL4	170.25	228.13	212.78	206.94	43.32	303.44	204.07	236.21	0.0	0.49	547.75	669.92	759.08	406.31	629.35	366.09	647.07	743.43	441.64	785.88	559.28	409.15	616.37	414.87	642.59	890.44	486.75
PRIM2	28.86	33.78	16.63	31.0	41.52	37.59	42.71	27.44	0.0	0.1	54.33	30.34	109.66	96.01	41.81	47.84	45.21	132.44	104.42	84.63	79.45	59.97	92.7	76.71	68.07	113.56	144.01
PRSS35	0.0	6.21	3.38	1.95	3.26	1.46	0.0	0.0	0.0	0.0	15.45	9.06	57.08	20.11	42.11	8.32	43.63	64.34	57.49	142.01	48.52	21.47	42.71	16.88	57.08	258.57	29.48
PTGER4	7.57	21.94	12.45	4.35	10.31	33.3	16.27	17.77	0.0	0.39	866.07	1051.79	1225.22	100.13	277.2	246.28	791.35	1015.93	1417.35	567.1	674.59	258.57	813.63	281.09	420.68	1037.29	301.33
RAB2B	144.01	152.28	125.24	120.1	108.9	161.02	146.03	155.5	262.2	141.02	384.34	329.84	669.92	409.15	540.19	356.05	703.28	529.06	575.03	748.61	493.56	511.0	532.74	363.56	563.18	454.09	432.53
RAB3A	28.65	45.53	61.25	20.26	70.51	16.88	49.56	49.56	0.0	0.27	80.57	59.55	57.89	55.1	57.08	65.26	194.36	175.07	68.55	105.15	80.57	47.5	33.3	23.42	86.43	195.72	71.0
RAVER2	13.42	34.26	15.34	5.41	8.45	18.97	11.91	8.45	0.0	0.24	127.0	63.0	351.14	189.02	221.86	129.69	575.03	426.57	132.44	656.11	260.38	161.02	287.01	249.73	363.56	525.39	301.33
RCN2	262.2	356.05	237.86	155.5	143.01	384.34	173.85	169.07	0.0	0.82	607.87	400.71	579.04	1001.93	1286.18	403.5	1030.12	1745.2	1030.12	1651.0	708.18	1208.34	836.53	1208.34	1457.23	2367.9	1259.69
RFTN1	285.03	417.77	301.33	363.56	412.0	780.44	242.88	85.82	0.0	0.77	1963.57	1250.98	3124.78	595.34	1857.6	1950.0	3395.89	1008.9	441.64	2739.08	3467.27	842.36	808.0	420.68	2178.83	2720.15	665.29
RGS2	76.71	363.56	163.28	249.73	190.34	583.07	239.52	497.0	0.0	0.54	3794.3	4972.34	4802.93	4481.23	1242.34	3280.18	8901.53	18052.61	2739.08	8901.53	1733.13	1208.34	8479.89	1143.1	5672.41	16496.96	3847.29
RP11-176H8.1	23.25	30.78	23.25	29.48	47.84	35.5	9.56	31.22	0.0	0.06	62.12	9.13	43.94	17.25	64.8	45.85	157.68	30.78	45.53	71.0	94.67	46.84	47.17	64.8	71.5	111.21	49.21
RTF1	215.77	248.0	205.5	178.77	114.36	265.87	224.97	157.68	0.0	0.58	500.46	563.18	466.88	414.87	346.29	316.37	521.76	587.13	547.75	684.02	540.19	567.1	669.92	708.18	454.09	718.08	624.99
S100B	17.0	6.26	26.47	22.92	10.08	26.47	12.55	3.29	0.0	0.44	429.54	121.79	226.54	866.07	112.77	108.14	201.25	373.81	1721.16	100.83	187.71	131.51	267.73	379.04	150.17	753.83	463.65
SARNP	1304.15	808.0	791.35	753.83	591.22	1015.93	638.15	775.05	0.0	0.91	2573.36	1794.29	1674.06	1001.93	1963.57	1498.22	1909.85	2645.74	1127.35	1857.6	1594.73	1551.09	1733.13	1167.14	2520.38	3742.05	1662.49
SCGB1A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3336720.86	2581895.97	1063212.58	2141216.62	3178687.03	1739208.14	280957.98	1041331.96	3156730.23	51417.5	2691538.19	3178687.03	3091765.64	3968052.37	3134925.09	2392353.91	3070409.25
SFMBT1	64.34	92.05	53.95	88.26	75.11	118.43	120.94	87.03	0.0	0.45	171.45	115.97	253.23	147.06	175.07	129.69	138.1	108.9	147.06	151.22	157.68	124.37	96.68	129.69	165.57	287.01	172.65
SFPQ	1936.53	2271.4	2451.44	2032.85	723.08	2319.15	2875.3	1167.14	3768.09	3395.89	4639.29	4639.29	5872.48	3928.15	4268.94	3515.68	5672.41	5112.16	4937.99	5954.47	5006.93	4328.55	4769.75	4836.35	4937.99	7081.29	3742.05
SFT2D2	187.71	138.1	161.02	211.31	110.43	297.17	224.97	351.14	165.57	75.64	185.11	150.17	299.25	341.51	228.13	177.53	358.54	271.48	363.56	384.34	299.25	260.38	305.55	249.73	194.36	314.17	587.13
SH3BGRL	493.56	743.43	429.54	264.03	325.29	693.58	198.47	260.38	0.0	0.61	5751.61	4095.0	4639.29	2777.33	4239.45	848.22	6294.04	7230.1	3928.15	5954.47	4123.49	3515.68	4388.98	3103.19	6840.04	7081.29	6792.79
SH3RF1	27.84	119.26	67.59	64.8	39.22	112.77	40.64	143.01	0.0	0.27	457.25	199.85	438.59	293.07	723.08	320.8	547.75	1167.14	183.82	525.39	860.08	232.94	444.72	323.03	563.18	1088.92	397.93
SHROOM3	148.09	214.27	120.1	147.06	135.24	241.19	186.4	124.37	0.0	0.25	587.13	323.03	947.83	532.74	426.57	532.74	244.57	551.56	660.68	334.46	403.5	607.87	1151.06	909.17	728.11	1175.27	1605.83
SIK1	373.81	2287.2	1151.06	1950.0	1651.0	2720.15	3190.46	1295.13	543.96	381.68	1561.89	1477.58	4210.15	2148.82	941.27	638.15	3190.46	3982.99	3589.58	5479.15	507.46	2485.67	1199.98	3768.09	4419.52	2119.22	1896.65
SKIL	125.24	129.69	154.42	153.34	42.11	169.07	176.29	86.43	177.53	813.63	363.56	961.07	1030.12	423.61	616.37	215.77	1073.91	974.5	323.03	1008.9	529.06	373.81	389.72	409.15	447.82	1447.15	341.51
