	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.XV7Q.0426.SM.4BRVN	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.13O21.3026.SM.5J2NI	GTEX.147F3.0726.SM.5NQ9U	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QCQG.0326.SM.2I3ES	GTEX.UJMC.0726.SM.3GADX	GTEX.QEG5.1126.SM.33HC2	GTEX.11WQK.2926.SM.5EQKT
C14orf132	8.45	28.24	19.53	19.11	4.24	19.25	28.45	0.0	0.29	1304.15	555.41	1572.76	2319.15	190.34	928.3	114.36	356.05	2133.97	497.0	113.56	450.94	1331.57	1096.5	384.34	830.75	163.28	1104.13	738.29	802.41	1651.0	460.44	836.53	974.5	109.66	194.36	1857.6	629.35	2148.82	1950.0	555.41	35.25
C19orf18	3.92	2.23	0.0	1.19	3.2	1.06	1.16	0.0	0.35	16.88	13.42	13.62	13.12	5.02	16.39	6.01	2.97	34.51	27.05	0.84	8.25	15.91	27.05	6.78	2.14	2.56	43.02	32.36	10.16	15.68	6.62	9.85	16.15	6.57	20.86	15.11	20.11	18.03	31.22	2.27	11.73
C1QTNF7	1.95	8.78	3.56	2.53	0.0	0.0	1.08	0.0	0.0	194.36	253.23	551.56	764.36	10.96	255.0	3.72	38.67	185.11	61.25	8.32	44.57	368.65	267.73	146.03	255.0	23.42	202.66	92.7	277.2	164.42	18.16	366.09	170.25	4.31	36.79	217.27	69.03	218.79	228.13	35.5	0.38
C1RL	217.27	211.31	603.67	281.09	325.29	341.51	271.48	0.0	0.72	1119.56	1417.35	1551.09	1008.9	638.15	1127.35	780.44	902.89	1467.37	1388.16	612.11	902.89	1051.79	1259.69	2090.03	1111.82	1250.98	1427.22	1477.58	1208.34	1030.12	1111.82	785.88	1639.59	1199.98	1059.11	934.76	1277.29	1143.1	1529.73	1572.76	392.44
C22orf46	60.39	129.69	110.43	71.5	105.15	71.5	166.73	0.0	0.17	239.52	195.72	283.05	260.38	100.83	193.01	77.79	170.25	334.46	145.02	139.07	165.57	228.13	232.94	186.4	82.29	100.83	198.47	215.77	148.09	204.07	171.45	128.79	199.85	175.07	183.82	318.57	186.4	320.8	255.0	89.51	25.35
C7orf55	450.94	217.27	121.79	132.44	73.03	57.89	205.5	0.0	0.16	753.83	559.28	1233.75	1059.11	136.19	708.18	325.29	438.59	1015.93	775.05	316.37	463.65	1044.52	928.3	289.02	651.58	514.56	723.08	426.57	813.63	1023.0	808.0	866.07	825.0	381.68	718.08	961.07	486.75	967.76	483.38	236.21	101.54
CCDC53	426.57	571.05	633.73	825.0	543.96	629.35	723.08	0.0	0.01	1639.59	890.44	1023.0	954.43	954.43	866.07	460.44	941.27	1277.29	836.53	909.17	825.0	1044.52	1127.35	1216.75	660.68	563.18	1225.22	941.27	1037.29	1183.45	866.07	1096.5	988.12	785.88	947.83	1073.91	884.29	909.17	1051.79	830.75	194.36
CCDC68	8.78	19.25	35.0	4.7	1.75	83.45	25.91	0.0	0.47	902.89	68.55	223.41	480.04	52.45	166.73	35.25	180.02	167.9	87.03	59.97	103.69	232.94	283.05	366.09	142.01	205.5	361.04	283.05	406.31	842.36	129.69	79.45	148.09	19.68	356.05	118.43	205.5	165.57	403.5	234.57	31.22
CLYBL	67.59	68.07	43.63	88.26	35.25	50.98	74.58	0.0	0.45	185.11	169.07	197.09	186.4	139.07	83.45	75.11	123.5	295.11	145.02	149.12	124.37	287.01	214.27	165.57	102.25	150.17	253.23	115.97	94.01	201.25	87.03	102.97	256.78	180.02	199.85	163.28	132.44	400.71	185.11	218.79	24.11
COX11	409.15	466.88	275.28	435.55	332.14	395.18	336.79	0.0	0.4	860.08	679.29	902.89	884.29	521.76	785.88	397.93	587.13	1175.27	543.96	414.87	567.1	981.29	780.44	848.22	684.02	486.75	947.83	769.69	967.76	791.35	503.95	607.87	759.08	480.04	633.73	1044.52	753.83	819.3	1001.93	669.92	332.14
CTF1	151.22	21.32	20.56	11.82	1.73	4.9	24.11	253.23	215.77	551.56	371.22	599.49	878.17	38.12	476.71	85.22	361.04	420.68	199.85	107.38	212.78	738.29	497.0	85.82	518.15	212.78	599.49	289.02	417.77	698.41	323.03	915.51	470.14	90.14	470.14	612.11	285.03	785.88	432.53	162.14	16.15
CUEDC1	98.73	320.8	226.54	144.01	189.02	281.09	246.28	0.0	0.75	1088.92	928.3	1059.11	1183.45	555.41	1175.27	490.14	1208.34	1135.2	764.36	470.14	1073.91	1143.1	567.1	403.5	1427.22	915.51	1066.48	1674.06	733.19	967.76	607.87	1030.12	708.18	947.83	1167.14	1127.35	780.44	1233.75	2018.8	769.69	334.46
CYB5D2	150.17	332.14	212.78	248.0	155.5	120.1	251.48	0.0	0.1	583.07	656.11	981.29	708.18	149.12	470.14	246.28	201.25	633.73	325.29	251.48	460.44	660.68	819.3	536.45	358.54	137.14	480.04	432.53	473.41	743.43	239.52	285.03	547.75	231.32	314.17	764.36	403.5	563.18	665.29	312.0	107.38
CYB5R3	2935.74	2935.74	3716.2	2875.3	1977.24	2976.74	3018.3	3103.19	629.35	10659.59	6699.25	13306.94	15824.9	5329.3	9088.59	5006.93	4903.87	8134.41	4671.57	5183.54	9540.5	10296.45	9673.69	8134.41	7749.1	2701.35	7331.05	7382.04	7382.04	7433.4	3257.52	9540.5	7911.95	3901.01	6935.54	9088.59	6652.97	9606.86	5751.61	3794.3	2609.3
DAG1	684.02	941.27	872.1	909.17	759.08	490.14	583.07	0.0	0.37	1540.37	981.29	1844.76	2664.15	796.86	1605.83	872.1	1331.57	1477.58	1135.2	1044.52	1467.37	1135.2	1617.0	1001.93	813.63	536.45	1487.87	1233.75	928.3	1322.37	1111.82	1066.48	1378.57	1250.98	1268.46	1794.29	1369.04	1397.83	1427.22	660.68	860.08
DHFRL1	51.71	37.32	63.0	40.07	24.11	81.14	32.82	0.0	0.0	136.19	90.14	135.24	133.36	63.45	84.04	30.78	130.6	123.5	112.77	64.8	94.01	150.17	110.43	108.14	80.57	55.1	145.02	117.6	92.7	148.09	127.89	58.71	161.02	98.73	92.05	156.59	110.43	102.25	125.24	51.71	22.1
DHRS12	249.73	198.47	135.24	162.14	120.94	98.04	204.07	0.0	0.3	941.27	733.19	642.59	780.44	206.94	830.75	187.71	480.04	981.29	536.45	412.0	429.54	808.0	708.18	693.58	457.25	447.82	525.39	575.03	688.78	988.12	343.89	583.07	536.45	269.6	651.58	785.88	660.68	988.12	708.18	244.57	118.43
DMRTC1B	7.94	1.16	3.23	6.89	0.0	1.01	9.7	0.0	0.0	19.53	125.24	94.01	115.16	6.36	215.77	56.28	8.32	58.3	67.59	0.34	18.7	71.5	16.88	65.26	23.59	40.93	117.6	68.55	58.71	142.01	17.64	47.5	44.57	27.84	31.9	53.95	21.94	40.64	108.14	64.34	0.71
DPT	126.12	117.6	167.9	204.07	14.56	20.41	139.07	0.0	0.35	2047.0	301.33	1457.23	1216.75	56.28	1151.06	567.1	1081.39	543.96	460.44	432.53	229.72	1832.01	1159.07	921.88	629.35	86.43	1295.13	1551.09	813.63	438.59	177.53	314.17	791.35	182.55	334.46	2119.22	141.02	1819.35	808.0	129.69	197.09
DYRK1B	85.22	39.22	55.89	155.5	24.81	24.46	69.52	0.0	0.1	493.56	241.19	336.79	607.87	185.11	591.22	141.02	287.01	575.03	143.01	157.68	332.14	532.74	409.15	211.31	260.38	166.73	708.18	441.64	620.67	575.03	173.85	346.29	521.76	171.45	289.02	775.05	255.0	603.67	460.44	214.27	31.9
ECH1	11504.21	3515.68	1304.15	2555.58	2255.7	2004.85	3820.7	0.0	0.58	5954.47	7485.11	13492.72	9606.86	3901.01	8658.09	2163.77	3982.99	6561.36	6983.79	9151.82	5672.41	8963.45	8658.09	6381.92	5913.33	4419.52	8363.13	4836.35	8778.97	10585.95	4038.61	8078.22	10225.32	7589.61	6121.9	6935.54	6164.49	5517.27	6745.86	4010.71	3190.46
EHD2	1477.58	2520.38	1447.15	988.12	660.68	3491.39	1286.18	521.76	647.07	6250.56	2591.27	8598.28	11664.82	2119.22	4543.8	1561.89	3716.2	4769.75	2537.92	3540.14	5292.48	3690.52	5555.65	3901.01	3103.19	1340.84	4704.07	4419.52	3589.58	5594.3	3190.46	3515.68	3168.41	2032.85	3039.3	6699.25	1781.89	7485.11	3060.45	1832.01	595.34
EPB41L4A-AS2	6.78	7.51	2.84	35.0	0.96	0.0	18.29	0.0	0.06	65.72	88.88	132.44	74.58	15.56	70.01	21.01	47.84	34.51	52.08	21.47	39.22	64.34	80.57	8.65	13.83	25.35	22.75	29.91	16.51	90.14	19.11	21.78	19.97	19.39	64.8	55.49	35.76	47.84	52.08	0.0	10.0
F10	1.95	15.45	15.8	21.32	1.16	1.01	18.03	0.0	0.4	753.83	105.15	808.0	638.15	28.45	279.14	24.11	37.05	373.81	208.38	42.11	91.41	624.99	480.04	182.55	176.29	30.12	301.33	441.64	633.73	185.11	32.82	420.68	275.28	45.85	59.13	1096.5	102.97	426.57	351.14	42.11	17.25
FIBIN	25.54	17.64	29.48	21.01	7.94	2.23	15.91	0.0	0.07	551.56	435.55	591.22	1662.49	98.04	587.13	57.08	299.25	769.69	152.28	151.22	185.11	1088.92	941.27	381.68	624.99	39.5	941.27	262.2	974.5	1268.46	67.12	503.95	316.37	87.65	381.68	1322.37	283.05	1427.22	718.08	81.14	2.63
FRS3	56.28	14.56	23.08	9.93	16.88	18.84	19.82	0.0	0.31	111.21	37.85	111.21	87.65	93.35	105.89	76.71	85.82	182.55	57.08	66.18	111.21	249.73	109.66	100.13	147.06	102.97	151.22	118.43	118.43	114.36	115.16	137.14	130.6	55.49	131.51	143.01	148.09	112.77	98.04	143.01	26.1
FXYD1	33.06	24.11	3.53	23.42	20.41	72.01	74.58	0.0	0.34	1781.89	1447.15	2255.7	3235.01	134.3	1551.09	379.04	368.65	2537.92	842.36	55.1	376.41	3303.0	1437.15	728.11	1977.24	718.08	1806.78	2255.7	2591.27	1529.73	161.02	2451.44	647.07	115.97	753.83	2485.67	381.68	3018.3	1540.37	209.84	18.29
FZD1	128.79	256.78	158.79	279.14	79.45	91.41	130.6	0.0	0.37	503.95	155.5	571.05	909.17	142.01	591.22	87.03	253.23	525.39	173.85	165.57	212.78	480.04	435.55	185.11	312.0	115.16	454.09	420.68	525.39	563.18	149.12	348.71	381.68	88.88	162.14	764.36	258.57	518.15	348.71	129.69	105.89
GOLGB1	341.51	441.64	285.03	514.56	500.46	836.53	269.6	0.0	0.82	796.86	743.43	579.04	708.18	376.41	540.19	447.82	571.05	808.0	463.65	373.81	656.11	708.18	813.63	595.34	532.74	473.41	928.3	974.5	909.17	825.0	438.59	791.35	651.58	633.73	759.08	1023.0	514.56	1313.23	854.13	497.0	470.14
GSTM5	11.38	18.84	26.28	6.11	1.71	3.63	11.21	0.0	0.21	511.0	231.32	518.15	669.92	122.64	269.6	51.35	85.22	1015.93	214.27	139.07	38.4	490.14	267.73	511.0	291.04	72.01	860.08	258.57	363.56	379.04	114.36	521.76	341.51	102.97	84.04	1617.0	105.15	1208.34	314.17	99.43	16.15
H6PD	165.57	150.17	269.6	249.73	144.01	109.66	122.64	118.43	92.05	480.04	915.51	466.88	1135.2	206.94	825.0	603.67	571.05	1081.39	656.11	135.24	1104.13	733.19	638.15	860.08	1051.79	417.77	583.07	830.75	579.04	575.03	339.14	438.59	567.1	389.72	842.36	896.64	830.75	825.0	791.35	748.61	555.41
HOXA6	1.35	12.18	7.63	16.39	2.51	7.0	0.0	0.0	0.3	67.12	4.1	28.24	55.49	14.78	58.3	1.89	12.45	82.29	24.99	5.28	16.88	65.26	48.52	21.63	34.51	29.48	21.63	59.97	57.49	36.27	13.72	27.05	32.59	15.91	9.85	57.49	18.03	58.71	47.84	11.82	0.0
IGBP1	1030.12	928.3	775.05	775.05	674.59	921.88	981.29	0.0	0.41	1540.37	1369.04	2090.03	1286.18	603.67	1030.12	603.67	896.64	1508.65	1127.35	988.12	981.29	1216.75	1417.35	872.1	1167.14	967.76	1286.18	934.76	2701.35	1388.16	981.29	1651.0	1498.22	713.11	1044.52	1295.13	890.44	1286.18	1175.27	1096.5	1313.23
ITGA8	5.82	19.68	22.92	34.26	3.08	4.74	11.38	0.0	0.39	684.02	265.87	660.68	934.76	41.81	878.17	20.56	187.71	674.59	242.88	61.25	120.1	486.75	329.84	182.55	202.66	53.57	651.58	525.39	551.56	842.36	92.05	426.57	293.07	31.45	175.07	1340.84	269.6	684.02	567.1	59.97	2.2
KLHL22	181.28	146.03	167.9	146.03	118.43	106.63	201.25	0.0	0.39	486.75	336.79	470.14	420.68	198.47	483.38	251.48	389.72	579.04	412.0	295.11	332.14	493.56	363.56	435.55	341.51	389.72	460.44	426.57	389.72	447.82	283.05	395.18	470.14	346.29	346.29	543.96	348.71	483.38	563.18	253.23	112.77
LAMC3	133.36	35.5	34.02	19.97	9.06	12.36	15.56	0.0	0.62	656.11	133.36	759.08	1081.39	38.95	713.11	175.07	341.51	432.53	246.28	171.45	301.33	397.93	708.18	155.5	387.02	187.71	309.83	244.57	320.8	133.36	102.97	320.8	151.22	299.25	371.22	429.54	197.09	312.0	559.28	132.44	118.43
LMF1	88.88	142.01	85.22	110.43	42.41	57.89	153.34	0.0	0.58	400.71	441.64	348.71	679.29	104.42	651.58	224.97	242.88	486.75	241.19	253.23	318.57	693.58	420.68	567.1	171.45	264.03	493.56	1250.98	441.64	395.18	135.24	454.09	343.89	253.23	674.59	521.76	287.01	486.75	974.5	267.73	66.65
LTBP4	301.33	1242.34	1407.55	1199.98	1119.56	713.11	420.68	0.0	0.52	6337.83	4575.41	5403.7	13492.72	2209.26	6561.36	3928.15	2777.33	6840.04	2645.74	1709.26	2400.97	8191.0	4239.45	3467.27	9540.5	2255.7	8247.98	6037.61	7382.04	5255.91	2468.49	8305.36	2997.45	2047.0	2875.3	10368.08	2664.15	8022.41	6887.62	2400.97	1583.71
MAN2B2	204.07	194.36	353.59	198.47	134.3	255.0	161.02	0.0	0.62	947.83	651.58	1617.0	2319.15	329.84	878.17	224.97	351.14	796.86	460.44	429.54	423.61	669.92	890.44	743.43	674.59	242.88	698.41	813.63	555.41	679.29	318.57	466.88	954.43	293.07	412.0	1250.98	860.08	1030.12	921.88	334.46	155.5
METTL7A	336.79	178.77	156.59	1259.69	197.09	17.64	748.61	327.56	1529.73	5791.62	3614.55	10959.3	8963.45	371.22	5441.3	191.67	2209.26	6935.54	2193.99	872.1	1844.76	4671.57	6381.92	3467.27	2835.7	842.36	4903.87	3540.14	4769.75	6250.56	1551.09	2047.0	6840.04	1304.15	1819.35	8538.88	3235.01	6079.61	7130.55	1991.0	87.65
MRPL10	796.86	518.15	642.59	718.08	329.84	759.08	679.29	0.0	0.51	878.17	791.35	1151.06	1015.93	603.67	995.0	599.49	954.43	1268.46	830.75	679.29	961.07	1081.39	1081.39	896.64	651.58	567.1	1008.9	813.63	1225.22	988.12	896.64	1023.0	1183.45	836.53	1059.11	1051.79	743.43	1073.91	872.1	1104.13	503.95
MRPL45	728.11	612.11	473.41	450.94	327.56	713.11	764.36	0.0	0.08	802.41	733.19	915.51	679.29	490.14	674.59	432.53	703.28	884.29	713.11	708.18	848.22	796.86	769.69	780.44	438.59	438.59	718.08	698.41	819.3	748.61	698.41	633.73	988.12	780.44	713.11	780.44	718.08	785.88	764.36	679.29	423.61
NDRG3	358.54	343.89	384.34	368.65	126.12	412.0	229.72	0.0	0.19	775.05	454.09	738.29	555.41	412.0	551.56	167.9	438.59	559.28	444.72	476.71	420.68	529.06	511.0	466.88	441.64	420.68	665.29	603.67	575.03	633.73	406.31	591.22	476.71	343.89	279.14	559.28	358.54	591.22	470.14	366.09	163.28
NMUR1	3.2	0.0	1.69	0.0	0.52	0.45	0.0	0.0	0.04	162.14	74.58	94.01	132.44	22.43	72.52	14.45	37.05	64.34	37.85	22.43	30.56	78.89	89.51	76.17	44.25	47.5	103.69	59.13	57.89	51.71	16.63	36.53	64.34	16.88	31.67	96.01	65.72	108.14	80.57	13.62	0.92
NYNRIN	14.03	253.23	38.95	84.63	44.57	12.74	136.19	0.0	0.39	500.46	130.6	242.88	457.25	88.26	417.77	27.05	128.79	503.95	53.19	66.18	136.19	198.47	267.73	148.09	201.25	84.63	373.81	441.64	229.72	178.77	60.39	127.0	283.05	105.89	77.25	555.41	111.99	796.86	182.55	60.39	59.97
PAPLN	49.21	92.7	191.67	137.14	164.42	98.04	97.36	0.0	0.66	341.51	269.6	182.55	406.31	84.04	178.77	41.81	38.67	241.19	89.51	90.14	149.12	202.66	237.86	146.03	136.19	106.63	220.32	190.34	629.35	202.66	20.71	318.57	191.67	54.33	32.82	283.05	111.99	397.93	323.03	78.34	7.46
PCDHA3	0.33	1.45	0.46	0.0	0.0	0.0	0.91	0.0	0.1	71.0	29.06	72.01	31.9	4.03	42.41	1.14	6.01	27.05	14.45	9.41	4.58	21.94	76.71	5.02	7.94	1.64	52.08	40.93	29.27	20.71	5.06	10.24	26.86	0.95	4.5	24.81	20.86	9.13	27.25	10.0	1.25
PCYOX1	500.46	872.1	547.75	728.11	493.56	486.75	521.76	293.07	53.57	1844.76	1617.0	2627.46	3060.45	583.07	2018.8	612.11	878.17	1936.53	1081.39	723.08	1096.5	1745.2	2119.22	1397.83	1417.35	432.53	1936.53	1088.92	1991.0	2047.0	854.13	1477.58	1697.45	902.89	1001.93	2255.7	1388.16	1733.13	1909.85	791.35	371.22
PGBD1	5.87	20.26	28.45	11.04	11.55	25.35	24.99	0.0	0.39	104.42	55.1	43.32	69.52	57.49	80.57	25.54	66.18	111.99	59.13	44.89	81.14	79.45	67.59	91.41	39.79	46.5	72.52	83.45	74.06	76.71	51.35	39.79	76.17	31.67	44.57	88.88	46.18	82.29	107.38	39.5	10.71
PLA2G1B	0.0	0.0	7.75	0.0	0.0	0.0	0.0	0.0	0.0	7382.04	8598.28	11267.44	27938.14	620.67	5076.84	1936.53	341.51	8305.36	4010.71	221.86	808.0	18819.27	6935.54	1225.22	8363.13	612.11	8134.41	4181.07	12160.22	6935.54	1242.34	18304.63	2434.5	366.09	258.57	12943.04	1216.75	3955.48	6840.04	406.31	1.25
PPAP2A	616.37	267.73	305.55	473.41	332.14	325.29	412.0	0.0	0.72	1427.22	775.05	1674.06	2047.0	327.56	934.76	281.09	500.46	1295.13	819.3	698.41	872.1	1709.26	1769.57	1151.06	633.73	262.2	1088.92	915.51	1467.37	1268.46	447.82	1529.73	1081.39	289.02	878.17	1697.45	575.03	1044.52	896.64	764.36	559.28
PRICKLE4	116.78	60.39	26.1	73.03	163.28	23.08	56.28	0.0	0.73	647.07	66.18	376.41	283.05	236.21	473.41	476.71	120.1	540.19	157.68	53.57	182.55	490.14	269.6	283.05	575.03	218.79	559.28	435.55	616.37	303.44	71.5	638.15	241.19	139.07	91.41	389.72	157.68	239.52	346.29	146.03	25.17
RAB40A	4.9	1.69	2.84	1.68	8.0	0.0	10.88	0.0	0.04	146.03	33.78	66.65	97.36	11.04	43.02	26.47	16.75	81.71	28.24	18.29	22.1	132.44	150.17	37.05	38.95	22.1	82.29	107.38	65.72	71.5	19.82	37.85	36.01	14.03	46.5	137.14	35.5	316.37	147.06	11.38	0.0
RAI2	12.09	29.06	19.25	30.12	8.51	9.13	28.65	0.0	0.48	1216.75	830.75	1340.84	2018.8	191.67	1397.83	131.51	647.07	1159.07	441.64	170.25	438.59	1350.18	1268.46	295.11	616.37	417.77	819.3	642.59	1697.45	1733.13	208.38	1096.5	466.88	110.43	540.19	1437.15	426.57	1037.29	1088.92	423.61	44.25
