	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.Y111.1826.SM.4SOIR	GTEX.13FLV.1326.SM.5L3EJ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.144GM.1626.SM.5O9AG	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139D8.2326.SM.5IFGE	GTEX.13N1W.2026.SM.5K7YU	GTEX.YFC4.2826.SM.5P9FR
DOK1	83.45	262.2	116.78	206.94	112.77	181.28	105.15	91.41	193.01	206.94	397.93	167.9	226.54	447.82	267.73	166.73	224.97	325.29	249.73	273.37	186.4	211.31	334.46	224.97	329.84	120.1	314.17	209.84	83.45	368.65	264.03	156.59	316.37	198.47	0.0	0.4	366.09	32.82	371.22
DTX2	320.8	253.23	490.14	379.04	264.03	389.72	450.94	297.17	493.56	265.87	507.46	332.14	356.05	674.59	473.41	215.77	341.51	624.99	441.64	603.67	429.54	607.87	521.76	460.44	599.49	414.87	473.41	368.65	403.5	647.07	447.82	307.69	563.18	493.56	0.0	0.72	866.07	346.29	579.04
EFNA3	6.21	16.63	105.89	25.91	14.35	30.34	9.63	16.03	46.84	27.84	42.41	25.54	33.06	46.84	46.5	41.81	19.25	48.52	56.28	42.71	19.11	50.98	42.71	91.41	36.79	14.78	31.9	26.28	12.18	36.53	33.06	25.35	60.82	36.53	0.0	0.52	134.3	12.83	49.21
EIF2AK4	486.75	441.64	432.53	400.71	381.68	447.82	332.14	332.14	384.34	265.87	638.15	379.04	551.56	432.53	656.11	249.73	348.71	500.46	470.14	356.05	511.0	579.04	563.18	567.1	591.22	351.14	674.59	423.61	307.69	500.46	395.18	341.51	551.56	432.53	0.0	0.31	759.08	237.86	819.3
FAM109A	64.34	126.12	68.55	111.99	102.25	145.02	69.52	64.34	217.27	157.68	256.78	142.01	201.25	182.55	287.01	58.71	83.45	265.87	171.45	221.86	149.12	246.28	189.02	197.09	182.55	50.63	143.01	180.02	102.25	202.66	217.27	72.52	255.0	138.1	0.0	0.43	379.04	96.01	329.84
FAM211A	31.0	33.3	20.86	13.03	20.26	28.45	18.43	14.35	47.5	24.11	57.49	19.11	60.82	128.79	85.22	17.51	26.67	56.28	45.53	107.38	32.82	142.01	71.0	60.82	42.41	22.26	46.84	119.26	33.3	90.77	94.01	19.11	151.22	81.71	0.0	0.16	144.01	11.21	69.52
FAM212A	9.41	195.72	128.79	146.03	71.0	68.07	13.22	11.82	66.65	13.22	158.79	33.3	55.89	93.35	301.33	28.24	26.67	91.41	68.55	96.01	34.02	108.14	72.52	88.26	88.26	8.51	46.84	23.25	12.45	86.43	101.54	14.24	93.35	21.94	0.0	0.23	143.01	28.65	954.43
FAM78A	5.32	35.0	38.95	56.28	22.59	22.43	14.03	7.4	58.71	14.78	50.27	14.45	23.76	33.06	49.56	19.68	24.28	55.49	33.3	43.32	44.25	36.27	44.25	33.78	63.45	3.2	35.0	21.94	11.04	54.72	32.82	13.32	42.41	24.46	0.0	0.39	81.14	6.21	142.01
FASTK	878.17	1794.29	1369.04	1359.57	1191.69	1477.58	1008.9	941.27	2367.9	1143.1	3124.78	1340.84	1769.57	2209.26	2875.3	878.17	1331.57	3303.0	2627.46	2163.77	1745.2	2875.3	2434.5	2520.38	2367.9	1183.45	1806.78	1561.89	1572.76	2148.82	2163.77	1183.45	2627.46	1745.2	0.0	0.74	2915.45	728.11	2502.97
FLNA	145432.49	1634025.56	513497.31	811368.76	1393227.06	649962.87	209994.66	141455.6	336441.4	228208.61	263966.36	215898.44	237899.7	275175.93	215898.44	121448.75	204252.32	322736.12	311742.51	280957.98	226632.25	313910.86	239554.43	241220.67	299043.36	208544.12	249727.34	262143.0	334117.42	290865.98	275175.93	169390.27	200048.85	239554.43	11424.74	153.34	70727.3	180294.02	145432.49
GGA1	638.15	988.12	988.12	878.17	928.3	1119.56	836.53	753.83	1088.92	954.43	1397.83	915.51	1143.1	1151.06	1350.18	780.44	1096.5	1551.09	1015.93	1304.15	1044.52	1268.46	1417.35	1208.34	1259.69	854.13	1175.27	1088.92	1008.9	1286.18	1191.69	1104.13	1277.29	1030.12	0.0	0.92	1322.37	525.39	1359.57
GPAM	157.68	119.26	47.84	116.78	92.7	88.88	20.56	50.98	120.94	23.76	135.24	52.08	127.89	90.77	153.34	33.06	66.65	120.1	75.11	122.64	64.34	126.12	134.3	136.19	97.36	43.32	89.51	90.77	76.71	106.63	108.14	56.68	123.5	63.45	0.0	0.0	92.05	8.32	111.99
HDAC10	120.1	206.94	426.57	346.29	197.09	525.39	353.59	389.72	547.75	470.14	1088.92	480.04	633.73	802.41	974.5	441.64	493.56	1044.52	698.41	915.51	579.04	941.27	866.07	764.36	703.28	409.15	872.1	738.29	412.0	743.43	660.68	414.87	866.07	638.15	0.0	0.96	1051.79	226.54	974.5
ITFG2	343.89	679.29	426.57	543.96	454.09	669.92	309.83	460.44	878.17	384.34	1096.5	551.56	713.11	830.75	1159.07	376.41	514.56	1135.2	660.68	1096.5	511.0	1023.0	1104.13	896.64	808.0	409.15	842.36	493.56	629.35	769.69	860.08	379.04	934.76	698.41	0.0	0.21	733.19	262.2	1104.13
KBTBD6	18.03	144.01	84.63	102.25	63.0	76.71	30.12	24.11	84.63	28.45	110.43	31.67	74.06	94.67	107.38	31.45	50.27	95.34	43.32	98.73	44.57	78.89	111.21	83.45	72.52	25.72	74.06	69.03	42.71	76.71	97.36	38.4	99.43	31.45	0.0	0.0	110.43	22.26	182.55
LENG1	147.06	283.05	159.9	181.28	199.85	197.09	126.12	111.21	229.72	116.78	185.11	185.11	234.57	258.57	223.41	133.36	208.38	182.55	212.78	197.09	194.36	169.07	244.57	221.86	208.38	100.13	201.25	209.84	181.28	237.86	226.54	180.02	269.6	199.85	0.0	0.04	277.2	87.03	244.57
LIME1	33.54	43.63	228.13	96.68	86.43	212.78	121.79	126.12	447.82	376.41	1051.79	146.03	384.34	575.03	633.73	72.01	387.02	1250.98	420.68	591.22	316.37	656.11	575.03	603.67	651.58	215.77	435.55	476.71	237.86	567.1	397.93	341.51	514.56	249.73	0.0	0.68	1044.52	145.02	830.75
LINGO1	8.85	96.01	60.82	52.82	36.79	41.22	10.96	5.63	33.54	6.01	75.11	18.16	73.54	49.91	90.77	13.83	24.63	44.25	30.56	57.08	18.16	44.89	27.05	14.14	22.59	4.31	31.67	73.03	4.5	34.75	56.28	11.73	62.12	16.51	0.0	0.37	114.36	34.51	713.11
LPCAT4	295.11	514.56	599.49	536.45	323.03	808.0	769.69	575.03	854.13	551.56	1697.45	1088.92	1447.15	1498.22	1662.49	688.78	819.3	1662.49	1008.9	1697.45	947.83	1662.49	1540.37	1447.15	1923.14	414.87	1313.23	1397.83	1001.93	1508.65	1508.65	775.05	1561.89	1096.5	0.0	0.71	1870.53	1151.06	2178.83
LRRC16B	1.77	9.34	31.45	5.32	8.19	10.31	3.06	1.66	12.45	4.35	30.56	9.34	10.63	13.52	13.93	6.67	9.93	26.47	17.38	12.83	7.17	23.93	9.56	16.39	9.78	2.89	3.17	9.27	5.77	14.89	12.74	3.08	24.63	11.55	0.0	0.4	36.53	2.43	9.27
LRRC45	76.17	131.51	118.43	108.9	98.04	147.06	58.3	52.45	287.01	100.13	395.18	173.85	194.36	291.04	395.18	120.94	112.77	423.61	237.86	289.02	267.73	366.09	429.54	267.73	299.25	39.5	289.02	209.84	226.54	287.01	314.17	63.45	371.22	190.34	0.0	0.19	417.77	67.12	334.46
LYSMD2	231.32	371.22	262.2	246.28	231.32	241.19	108.9	163.28	265.87	111.99	400.71	163.28	273.37	366.09	483.38	120.94	191.67	242.88	325.29	320.8	194.36	295.11	255.0	379.04	279.14	98.04	265.87	287.01	141.02	301.33	351.14	199.85	409.15	157.68	0.0	0.39	511.0	123.5	536.45
MIB2	450.94	753.83	2434.5	1407.55	1208.34	1427.22	2090.03	1806.78	2434.5	2224.63	3564.78	1896.65	1674.06	3395.89	2434.5	947.83	1561.89	4123.49	2163.77	2555.58	1870.53	2875.3	2777.33	2645.74	2835.7	2835.7	2193.99	2163.77	1508.65	2976.74	2417.67	1143.1	2417.67	2004.85	0.0	1.16	3901.01	1844.76	1950.0
MXD4	339.14	1794.29	466.88	1015.93	808.0	860.08	848.22	420.68	1781.89	1936.53	1857.6	928.3	1350.18	1388.16	2468.49	454.09	1001.93	1857.6	1199.98	1407.55	915.51	1498.22	1745.2	1304.15	1175.27	473.41	1135.2	1199.98	1001.93	1397.83	1073.91	769.69	1628.26	1081.39	0.0	0.38	1950.0	674.59	2609.3
NAGPA	108.9	202.66	166.73	217.27	137.14	231.32	78.89	242.88	309.83	68.55	381.68	178.77	283.05	406.31	417.77	137.14	237.86	395.18	339.14	314.17	295.11	323.03	555.41	193.01	303.44	205.5	334.46	181.28	218.79	291.04	470.14	151.22	444.72	229.72	0.0	0.0	358.54	86.43	314.17
NELFB	567.1	915.51	738.29	796.86	836.53	743.43	441.64	432.53	1175.27	579.04	1233.75	723.08	819.3	1135.2	1159.07	575.03	785.88	1322.37	1044.52	954.43	928.3	1066.48	1088.92	1127.35	890.44	447.82	848.22	890.44	764.36	1143.1	954.43	718.08	1143.1	848.22	0.0	0.74	1111.82	297.17	1457.23
NMT2	285.03	341.51	291.04	318.57	381.68	309.83	265.87	134.3	303.44	214.27	387.02	258.57	371.22	368.65	327.56	198.47	223.41	389.72	181.28	339.14	297.17	316.37	368.65	366.09	361.04	107.38	454.09	312.0	258.57	366.09	327.56	234.57	381.68	287.01	165.57	136.19	490.14	194.36	368.65
NR2F6	148.09	373.81	226.54	246.28	348.71	518.15	511.0	269.6	1023.0	753.83	1135.2	612.11	599.49	1359.57	941.27	303.44	447.82	1143.1	878.17	842.36	669.92	896.64	878.17	860.08	1073.91	373.81	713.11	708.18	583.07	1159.07	688.78	329.84	909.17	518.15	0.0	0.61	1769.57	387.02	723.08
NR3C1	356.05	514.56	497.0	454.09	579.04	503.95	387.02	381.68	769.69	173.85	896.64	656.11	624.99	476.71	967.76	348.71	348.71	738.29	500.46	1023.0	417.77	802.41	718.08	791.35	540.19	291.04	500.46	551.56	733.19	679.29	665.29	287.01	656.11	363.56	277.2	232.94	1175.27	688.78	941.27
NSL1	366.09	514.56	323.03	325.29	332.14	275.28	164.42	220.32	346.29	187.71	371.22	265.87	435.55	423.61	417.77	178.77	228.13	323.03	299.25	379.04	258.57	397.93	432.53	397.93	285.03	183.82	323.03	262.2	291.04	480.04	341.51	214.27	381.68	291.04	0.0	0.27	629.35	206.94	813.63
NUDT16L1	212.78	470.14	361.04	289.02	389.72	412.0	297.17	155.5	603.67	295.11	669.92	327.56	460.44	551.56	703.28	277.2	371.22	684.02	555.41	603.67	514.56	674.59	708.18	629.35	583.07	169.07	579.04	373.81	444.72	540.19	665.29	258.57	684.02	406.31	0.0	0.18	967.76	241.19	921.88
NYNRIN	113.56	339.14	205.5	255.0	256.78	215.77	107.38	37.05	363.56	189.02	406.31	189.02	251.48	409.15	575.03	105.89	173.85	281.09	162.14	373.81	193.01	412.0	387.02	348.71	289.02	59.97	283.05	299.25	164.42	293.07	327.56	74.58	373.81	228.13	0.0	0.39	567.1	147.06	271.48
OCEL1	323.03	688.78	336.79	285.03	376.41	497.0	363.56	312.0	718.08	400.71	902.89	559.28	620.67	872.1	1340.84	429.54	543.96	947.83	967.76	909.17	723.08	728.11	1191.69	651.58	633.73	343.89	718.08	753.83	490.14	785.88	802.41	341.51	1015.93	493.56	0.0	0.43	1340.84	191.67	1359.57
OGFOD2	107.38	289.02	198.47	178.77	120.1	273.37	162.14	122.64	267.73	105.15	412.0	208.38	239.52	373.81	412.0	120.1	249.73	450.94	275.28	466.88	314.17	366.09	470.14	329.84	341.51	105.15	316.37	273.37	327.56	384.34	387.02	178.77	420.68	260.38	0.0	0.24	301.33	132.44	447.82
OPRL1	4.39	20.86	12.09	12.45	4.82	13.12	3.2	2.46	12.74	8.13	15.56	1.6	8.78	20.86	13.93	8.38	6.57	14.89	14.14	23.42	6.26	31.22	14.67	15.0	33.06	0.12	18.84	16.39	3.99	15.56	11.3	5.41	12.55	6.31	0.0	0.21	46.5	1.07	51.71
PANK1	11.04	36.01	19.82	15.0	26.1	57.08	13.22	5.59	52.45	6.78	48.87	31.45	50.27	46.18	56.28	13.72	33.78	46.84	33.54	47.5	32.13	45.21	64.8	75.11	32.36	4.17	43.63	52.82	26.47	51.35	50.98	18.43	74.58	16.63	0.0	0.0	132.44	24.81	50.63
PATZ1	209.84	591.22	255.0	283.05	232.94	303.44	297.17	260.38	441.64	169.07	483.38	246.28	339.14	392.44	743.43	175.07	318.57	454.09	366.09	503.95	256.78	466.88	497.0	384.34	373.81	237.86	414.87	361.04	316.37	389.72	438.59	248.0	555.41	368.65	0.0	0.28	599.49	109.66	1208.34
PIP4K2B	480.04	1127.35	624.99	872.1	921.88	708.18	403.5	271.48	769.69	426.57	769.69	559.28	743.43	753.83	775.05	358.54	450.94	718.08	493.56	764.36	603.67	743.43	759.08	759.08	713.11	269.6	587.13	493.56	629.35	665.29	723.08	403.5	785.88	507.46	0.0	0.39	665.29	356.05	1066.48
PLEKHA6	148.09	65.26	82.87	134.3	177.53	283.05	87.03	52.82	819.3	118.43	1467.37	297.17	409.15	633.73	612.11	87.03	232.94	928.3	312.0	540.19	490.14	743.43	974.5	579.04	379.04	35.5	392.44	194.36	275.28	460.44	529.06	94.01	591.22	384.34	0.0	0.38	954.43	72.01	285.03
POLDIP3	563.18	1322.37	830.75	1001.93	915.51	1015.93	698.41	698.41	1331.57	890.44	1096.5	775.05	915.51	1191.69	1407.55	674.59	967.76	1051.79	1044.52	1175.27	872.1	1143.1	1175.27	1295.13	928.3	743.43	921.88	743.43	775.05	1143.1	1037.29	836.53	1143.1	693.58	0.0	0.83	1295.13	540.19	1662.49
PPP1R16A	132.44	414.87	403.5	417.77	387.02	660.68	769.69	518.15	934.76	878.17	1477.58	660.68	819.3	1199.98	1447.15	346.29	1119.56	1467.37	954.43	1088.92	791.35	915.51	1233.75	860.08	1037.29	896.64	928.3	748.61	802.41	988.12	961.07	759.08	1096.5	743.43	0.0	0.78	1870.53	339.14	1407.55
PRICKLE4	30.12	244.57	232.94	420.68	189.02	318.57	260.38	226.54	334.46	242.88	854.13	287.01	525.39	412.0	651.58	116.78	307.69	854.13	368.65	432.53	444.72	563.18	651.58	507.46	743.43	241.19	529.06	507.46	341.51	503.95	684.02	244.57	728.11	406.31	0.0	0.73	633.73	112.77	540.19
PRPSAP1	483.38	961.07	1295.13	647.07	836.53	775.05	791.35	457.25	854.13	679.29	1191.69	995.0	1313.23	1322.37	1427.22	599.49	854.13	1023.0	1208.34	1001.93	1191.69	1286.18	1268.46	1457.23	1769.57	438.59	1437.15	1008.9	947.83	1378.57	1199.98	813.63	1487.87	934.76	0.0	0.1	1870.53	961.07	1417.35
PTPN18	353.59	854.13	651.58	941.27	743.43	1001.93	457.25	466.88	947.83	587.13	2119.22	785.88	981.29	1242.34	1388.16	684.02	1096.5	1651.0	1127.35	995.0	1286.18	1487.87	1977.24	1572.76	1806.78	543.96	1697.45	1096.5	836.53	1397.83	1651.0	921.88	1437.15	1191.69	0.0	0.44	1745.2	387.02	1088.92
RARG	177.53	759.08	1023.0	647.07	454.09	371.22	454.09	161.02	878.17	507.46	988.12	379.04	629.35	854.13	866.07	229.72	525.39	947.83	450.94	808.0	463.65	769.69	842.36	928.3	620.67	187.71	728.11	633.73	507.46	743.43	514.56	336.79	902.89	351.14	0.0	0.72	1277.29	532.74	1225.22
