	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12WSJ.0826.SM.5PNWV	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.CJ.4886.01A.01R.1305.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CW.5589.01A.01R.1541.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CW.6097.01A.11R.1672.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.BJ.A2N9.01A.11R.A18C.07
CTTNBP2NL	1437.15	447.82	98.04	381.68	642.59	503.95	620.67	595.34	22.1	412.0	403.5	127.89	217.27	830.75	142.01	89.51	51.71
CXorf23	54.72	81.14	32.36	128.79	166.73	123.5	142.01	136.19	37.32	136.19	123.5	85.22	115.97	151.22	59.13	73.54	39.22
CYFIP1	679.29	1417.35	633.73	1583.71	1605.83	1277.29	1923.14	2061.24	397.93	1551.09	1304.15	988.12	1023.0	2004.85	802.41	638.15	620.67
DCTN5	698.41	718.08	400.71	551.56	698.41	633.73	679.29	764.36	490.14	642.59	638.15	473.41	460.44	890.44	339.14	379.04	567.1
DDX18	490.14	543.96	555.41	656.11	1216.75	967.76	1159.07	1023.0	305.55	1111.82	785.88	785.88	616.37	1388.16	373.81	392.44	358.54
DUSP16	1447.15	518.15	56.28	231.32	332.14	295.11	438.59	389.72	34.26	343.89	241.19	204.07	108.9	450.94	113.56	112.77	122.64
EML4	325.29	381.68	95.34	559.28	764.36	713.11	684.02	967.76	27.05	703.28	595.34	473.41	438.59	884.29	444.72	500.46	293.07
FASTKD2	224.97	476.71	376.41	420.68	435.55	420.68	470.14	420.68	237.86	497.0	406.31	299.25	325.29	567.1	236.21	146.03	195.72
FBXO28	629.35	595.34	141.02	358.54	536.45	450.94	543.96	497.0	105.15	450.94	339.14	293.07	256.78	780.44	131.51	107.38	84.63
FER	69.03	64.34	56.68	96.68	115.97	113.56	114.36	232.94	79.45	169.07	82.29	34.26	71.0	185.11	44.25	78.34	71.0
FFAR4	4.62	16.63	6.52	23.08	9.93	12.36	38.12	51.71	0.0	22.43	15.8	2.46	14.78	35.25	2.63	1.28	12.64
GDI2	5479.15	4298.64	3146.52	3742.05	4543.8	4736.79	4704.07	4869.99	2835.7	4802.93	4239.45	2163.77	2997.45	5329.3	2163.77	2287.2	2047.0
GINM1	775.05	988.12	1233.75	1268.46	1447.15	1662.49	1427.22	1477.58	563.18	1250.98	1427.22	669.92	872.1	2032.85	2148.82	902.89	884.29
GPATCH8	164.42	154.42	102.25	312.0	429.54	301.33	356.05	366.09	14.78	381.68	281.09	119.26	215.77	463.65	182.55	223.41	110.43
GSK3B	674.59	356.05	134.3	336.79	507.46	343.89	384.34	503.95	273.37	450.94	329.84	189.02	212.78	567.1	201.25	164.42	155.5
HEG1	303.44	88.88	297.17	679.29	2163.77	1529.73	1806.78	1857.6	34.26	1733.13	1397.83	191.67	708.18	2451.44	1259.69	785.88	204.07
HNRNPU	2739.08	2875.3	1757.34	3372.43	4123.49	3665.02	3768.09	3794.3	454.09	4268.94	3639.7	2335.28	2875.3	4704.07	2303.12	2335.28	2287.2
HOOK3	366.09	120.1	71.5	169.07	289.02	177.53	297.17	262.2	21.94	361.04	145.02	66.18	118.43	368.65	87.03	205.5	111.21
KCTD20	595.34	460.44	178.77	633.73	848.22	753.83	802.41	825.0	57.49	693.58	674.59	318.57	532.74	967.76	214.27	220.32	163.28
KDM3B	371.22	507.46	285.03	738.29	769.69	796.86	928.3	1030.12	89.51	1447.15	854.13	343.89	514.56	842.36	438.59	547.75	493.56
KDM4A	406.31	361.04	102.97	420.68	483.38	460.44	480.04	409.15	36.79	426.57	432.53	379.04	297.17	669.92	389.72	258.57	273.37
KDM5A	289.02	435.55	47.17	307.69	466.88	281.09	371.22	432.53	27.25	435.55	264.03	135.24	189.02	493.56	94.01	108.9	91.41
KIAA0754	13.42	7.82	6.94	100.13	182.55	53.95	140.04	169.07	0.39	108.14	63.0	2.76	12.93	236.21	15.68	10.71	1.19
KMT2A	122.64	102.97	72.52	318.57	470.14	260.38	406.31	470.14	12.45	559.28	258.57	89.51	172.65	511.0	110.43	156.59	79.45
KRR1	733.19	551.56	277.2	642.59	830.75	591.22	693.58	500.46	167.9	733.19	463.65	441.64	454.09	785.88	384.34	420.68	579.04
KRT6A	2.01760973986E9	2.41604469791E9	169.07	1.5	0.0	2.25	45.21	1.53	0.0	0.41	1.14	0.41	1.43	0.0	0.0	0.0	0.0
LATS1	74.06	143.01	92.05	182.55	327.56	228.13	253.23	265.87	24.63	275.28	177.53	79.45	127.89	320.8	101.54	62.56	62.56
LCOR	98.73	60.82	23.93	110.43	169.07	129.69	202.66	169.07	15.8	194.36	127.0	23.08	81.14	226.54	49.56	80.57	30.34
MAP3K2	79.45	120.94	55.89	220.32	409.15	262.2	406.31	435.55	36.27	450.94	234.57	181.28	209.84	457.25	138.1	151.22	112.77
MAPK14	669.92	591.22	441.64	532.74	825.0	638.15	780.44	896.64	110.43	802.41	633.73	414.87	483.38	981.29	476.71	480.04	460.44
MBD5	176.29	244.57	190.34	309.83	551.56	273.37	450.94	555.41	48.18	429.54	275.28	285.03	223.41	521.76	171.45	134.3	130.6
MED1	228.13	287.01	92.05	303.44	511.0	336.79	450.94	466.88	13.52	381.68	325.29	130.6	241.19	583.07	173.85	157.68	114.36
MFAP3	299.25	291.04	153.34	579.04	836.53	780.44	909.17	703.28	161.02	872.1	587.13	241.19	406.31	591.22	198.47	152.28	143.01
MSH3	161.02	180.02	49.91	199.85	236.21	262.2	363.56	221.86	62.12	253.23	226.54	111.99	94.01	389.72	96.01	119.26	118.43
MTR	57.08	150.17	120.1	387.02	583.07	329.84	409.15	356.05	59.55	529.06	262.2	239.52	275.28	571.05	134.3	189.02	151.22
NAA15	348.71	295.11	195.72	223.41	429.54	249.73	381.68	293.07	98.04	265.87	228.13	138.1	185.11	403.5	84.63	111.99	87.03
NEK5	1.04	13.93	1.25	44.25	67.59	28.65	24.11	30.56	0.0	30.34	36.53	14.14	6.21	48.52	3.69	1.03	0.74
NHS	26.28	42.71	13.12	77.25	189.02	112.77	127.0	181.28	0.43	136.19	87.03	74.58	57.08	209.84	35.25	50.63	7.63
NUP153	463.65	260.38	136.19	336.79	507.46	384.34	476.71	466.88	25.54	463.65	353.59	165.57	287.01	620.67	137.14	169.07	97.36
NUP43	215.77	191.67	128.79	303.44	392.44	309.83	353.59	387.02	41.52	400.71	371.22	187.71	155.5	441.64	153.34	138.1	220.32
PAFAH1B2	1059.11	679.29	312.0	684.02	842.36	1037.29	974.5	1119.56	371.22	842.36	866.07	316.37	785.88	1745.2	764.36	748.61	629.35
PARP11	20.86	35.0	35.5	128.79	178.77	142.01	159.9	163.28	26.67	181.28	115.97	108.14	91.41	224.97	85.82	100.83	102.97
PBRM1	314.17	275.28	154.42	241.19	303.44	234.57	403.5	376.41	29.27	361.04	206.94	54.33	140.04	441.64	137.14	231.32	132.44
PDZD8	444.72	154.42	80.57	199.85	603.67	395.18	441.64	450.94	124.37	521.76	281.09	104.42	141.02	450.94	118.43	87.03	80.01
PGM3	206.94	223.41	118.43	426.57	555.41	438.59	612.11	595.34	65.72	591.22	334.46	389.72	363.56	733.19	211.31	248.0	181.28
PHC3	68.55	88.88	85.82	249.73	525.39	260.38	423.61	441.64	55.89	579.04	209.84	120.94	128.79	769.69	84.04	95.34	47.17
PLCZ1	0.92	1.91	0.0	0.0	2.34	0.36	5.19	0.0	0.0	1.75	1.77	0.0	0.0	3.63	0.0	0.0	0.0
PLEKHA2	85.22	205.5	191.67	974.5	1096.5	1096.5	1685.71	1127.35	52.08	1617.0	1135.2	529.06	529.06	1529.73	180.02	376.41	176.29
POF1B	299043.36	221968.2	3.17	6.78	6.16	21.01	4.35	147.06	1.13	212.78	3.79	12.18	102.25	293.07	1.85	2.66	0.75
POMK	30.78	25.35	7.11	40.36	51.71	43.63	61.25	51.35	1.89	65.26	26.67	14.03	12.64	73.03	7.75	9.27	5.36
PPIP5K2	147.06	248.0	175.07	612.11	607.87	463.65	595.34	647.07	133.36	518.15	521.76	460.44	551.56	713.11	191.67	373.81	218.79
QKI	363.56	400.71	353.59	1259.69	2240.11	1369.04	2047.0	2119.22	71.0	1857.6	1277.29	665.29	642.59	2335.28	309.83	180.02	166.73
QRSL1	65.26	229.72	136.19	152.28	218.79	147.06	151.22	164.42	121.79	158.79	152.28	114.36	117.6	242.88	132.44	76.17	202.66
QSER1	180.02	139.07	31.67	150.17	244.57	167.9	212.78	244.57	21.63	255.0	151.22	125.24	115.16	312.0	80.01	94.01	47.17
RAB18	2855.44	2537.92	1167.14	1369.04	2004.85	2090.03	2032.85	1977.24	1991.0	2104.58	1757.34	1023.0	1529.73	2047.0	1175.27	1199.98	808.0
RAD50	226.54	279.14	150.17	483.38	579.04	599.49	703.28	629.35	226.54	808.0	454.09	248.0	327.56	733.19	242.88	249.73	318.57
RASSF9	4.58	23.25	18.84	23.76	106.63	71.5	43.63	91.41	1.53	126.12	65.72	33.06	35.25	84.04	25.91	12.93	4.58
REST	271.48	228.13	72.01	242.88	341.51	271.48	320.8	312.0	53.57	361.04	264.03	100.13	154.42	332.14	120.94	120.94	77.25
RIF1	55.49	86.43	45.53	176.29	327.56	181.28	267.73	224.97	17.77	318.57	131.51	88.88	120.94	409.15	56.68	46.5	80.57
RMND1	366.09	329.84	232.94	718.08	567.1	616.37	796.86	785.88	122.64	595.34	651.58	255.0	258.57	890.44	438.59	256.78	518.15
RNF2	363.56	195.72	77.79	371.22	497.0	525.39	476.71	397.93	171.45	384.34	518.15	239.52	327.56	616.37	129.69	141.02	82.87
RNGTT	175.07	151.22	73.03	134.3	175.07	177.53	194.36	186.4	32.13	180.02	141.02	54.72	92.7	253.23	82.29	38.95	59.97
ROR1	4.7	48.18	18.43	40.93	54.72	60.39	101.54	94.01	23.59	90.14	52.45	6.57	34.51	75.64	9.56	2.73	2.03
RP11-159G9.5	253.23	28.65	18.97	85.22	181.28	180.02	253.23	170.25	4.94	175.07	110.43	37.59	24.11	242.88	23.93	19.39	5.23
RSC1A1	18.97	0.0	0.0	0.0	44.89	0.31	51.71	8.13	0.0	30.12	0.0	0.0	0.0	42.41	0.0	0.0	0.0
RYBP	193.01	199.85	98.04	202.66	273.37	246.28	305.55	248.0	82.29	248.0	265.87	131.51	189.02	281.09	115.97	105.89	86.43
SAP130	320.8	251.48	141.02	246.28	314.17	277.2	260.38	346.29	19.82	295.11	277.2	185.11	177.53	368.65	158.79	189.02	173.85
SEMA4G	11.91	40.64	22.75	170.25	371.22	154.42	269.6	185.11	4.78	204.07	229.72	59.55	104.42	403.5	59.55	60.39	47.5
SERPINB7	1364554.84	5219.6	0.0	1.03	3.96	3.17	10.96	2.48	0.38	2.41	2.1	0.35	0.66	9.34	0.0	0.0	0.0
SLC13A1	0.0	0.0	0.0	43.32	603.67	271.48	848.22	3124.78	0.79	417.77	258.57	0.0	13.42	791.35	0.0	0.0	0.0
SLC16A13	571.05	162.14	20.41	109.66	253.23	309.83	301.33	173.85	3.38	181.28	239.52	75.64	119.26	246.28	102.25	224.97	197.09
SLC17A2	0.0	0.0	0.0	31.67	12.36	67.12	89.51	18.29	0.0	84.04	13.83	6.36	17.9	67.59	0.0	0.0	0.0
SLC25A46	220.32	343.89	264.03	514.56	571.05	579.04	620.67	819.3	521.76	813.63	616.37	432.53	460.44	748.61	251.48	312.0	258.57
SLFN13	158.79	11.21	22.26	363.56	583.07	397.93	583.07	406.31	0.41	441.64	420.68	157.68	320.8	435.55	148.09	143.01	111.21
SMG7	579.04	423.61	199.85	651.58	890.44	748.61	796.86	819.3	135.24	934.76	684.02	536.45	583.07	934.76	511.0	486.75	339.14
SMIM15	1225.22	1331.57	514.56	1208.34	1322.37	1225.22	1286.18	1167.14	483.38	1447.15	1143.1	1175.27	981.29	1594.73	599.49	872.1	633.73
STAU2	1167.14	444.72	329.84	529.06	450.94	665.29	796.86	651.58	435.55	775.05	591.22	348.71	429.54	753.83	329.84	256.78	178.77
STX7	579.04	414.87	371.22	941.27	1617.0	1159.07	1605.83	2047.0	371.22	1662.49	1259.69	381.68	348.71	1769.57	497.0	248.0	209.84
SYNCRIP	1819.35	1572.76	633.73	1066.48	1697.45	1242.34	1832.01	1781.89	176.29	1639.59	1259.69	583.07	860.08	1896.65	514.56	559.28	612.11
SYNRG	285.03	189.02	71.5	371.22	518.15	336.79	454.09	571.05	69.52	547.75	320.8	125.24	229.72	665.29	239.52	185.11	128.79
TAF4B	25.54	149.12	18.43	49.56	84.04	57.89	62.12	66.18	12.74	92.7	43.02	48.87	40.93	111.21	16.75	15.22	25.54
TAOK1	208.38	171.45	58.3	220.32	429.54	285.03	366.09	368.65	45.85	327.56	218.79	77.25	193.01	483.38	131.51	182.55	94.01
TAOK3	460.44	281.09	190.34	457.25	607.87	507.46	575.03	713.11	85.82	571.05	454.09	248.0	303.44	679.29	195.72	351.14	297.17
TFEC	3.32	18.84	53.57	429.54	1378.57	599.49	1167.14	830.75	8.25	981.29	532.74	91.41	258.57	1572.76	5.36	8.58	47.5
TNFRSF21	780.44	1508.65	368.65	591.22	1572.76	1277.29	1977.24	1447.15	108.14	642.59	693.58	202.66	466.88	2502.97	58.3	111.99	49.21
TNPO1	343.89	211.31	131.51	579.04	974.5	599.49	854.13	785.88	301.33	748.61	497.0	376.41	400.71	1199.98	389.72	339.14	301.33
TP53INP1	171.45	170.25	70.01	371.22	423.61	387.02	392.44	460.44	55.89	432.53	318.57	75.64	346.29	579.04	120.94	234.57	100.13
TROVE2	120.1	88.26	114.36	215.77	466.88	307.69	400.71	423.61	40.64	389.72	256.78	185.11	151.22	612.11	113.56	85.22	59.97
TRRAP	97.36	100.13	34.75	255.0	285.03	177.53	289.02	327.56	20.26	373.81	239.52	142.01	139.07	500.46	143.01	167.9	201.25
TUBGCP4	172.65	197.09	111.99	256.78	356.05	275.28	299.25	265.87	100.83	366.09	218.79	246.28	231.32	353.59	201.25	224.97	185.11
UHRF1BP1	50.98	49.21	24.99	92.7	124.37	75.64	98.73	164.42	13.12	83.45	75.11	57.89	65.26	178.77	63.89	74.58	50.27
VANGL1	236.21	187.71	45.21	153.34	363.56	221.86	258.57	312.0	10.63	249.73	175.07	109.66	119.26	329.84	44.25	62.12	20.41
VPS37C	599.49	423.61	423.61	447.82	371.22	320.8	447.82	503.95	239.52	423.61	463.65	262.2	376.41	460.44	249.73	336.79	248.0
ZBTB11	157.68	150.17	53.57	171.45	185.11	214.27	206.94	220.32	85.22	178.77	143.01	70.51	105.15	295.11	92.05	77.79	67.12
ZDHHC5	2335.28	1857.6	414.87	884.29	1030.12	934.76	1051.79	1268.46	397.93	995.0	928.3	493.56	830.75	1304.15	854.13	902.89	669.92
ZNF124	19.39	87.65	39.22	104.42	125.24	105.15	94.67	111.21	25.54	141.02	102.97	59.13	71.5	134.3	22.43	52.45	37.32
ZNF320	314.17	94.67	71.0	500.46	1397.83	583.07	543.96	409.15	153.34	669.92	287.01	183.82	307.69	1794.29	94.01	214.27	107.38
ZNF609	185.11	93.35	137.14	234.57	255.0	187.71	260.38	289.02	12.83	273.37	185.11	141.02	147.06	285.03	140.04	127.89	75.11
ZNF611	170.25	66.18	70.01	178.77	483.38	195.72	239.52	204.07	17.51	232.94	221.86	133.36	132.44	457.25	53.57	65.26	25.72
ZNF800	82.87	197.09	136.19	231.32	339.14	271.48	356.05	316.37	106.63	307.69	236.21	165.57	214.27	450.94	134.3	132.44	137.14
ZNF816	281.09	708.18	37.85	102.25	220.32	176.29	114.36	145.02	78.89	303.44	159.9	80.57	100.13	348.71	85.22	87.65	60.82
