	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
CX3CL1	256.78	684.02	279.14	57.08	79.45	444.72	656.11	3901.01	941.27	753.83	217.27	1088.92	1277.29	172.65	1498.22	191.67	426.57	563.18	215.77	703.28	279.14	441.64	423.61	191.67	587.13	518.15	1378.57	759.08	76.17	583.07	961.07	551.56	642.59	1073.91	575.03	96.68	332.14	384.34	98.04	116.78	339.14	299.25	253.23	106.63	172.65	435.55	426.57	265.87	698.41	1628.26	450.94	551.56	1015.93	420.68	111.21	802.41	954.43	2400.97	1008.9	915.51	1883.54	713.11	981.29	836.53
CYP2S1	5.82	24.11	9.7	2.1	1.97	16.75	23.76	76.71	21.47	8.92	4.82	32.13	32.82	12.45	44.25	4.62	9.41	9.13	5.11	20.86	7.06	5.15	7.63	2.25	18.29	15.34	27.25	35.5	5.59	28.24	6.89	9.56	13.42	31.9	19.25	3.41	14.67	14.89	3.44	4.78	15.8	23.93	5.06	4.39	8.0	10.39	14.89	12.09	18.97	52.08	15.45	4.98	33.78	15.0	5.73	34.02	14.56	52.82	24.46	27.05	54.72	24.46	24.11	64.8
DOK4	69.03	199.85	77.25	39.22	56.28	171.45	239.52	447.82	165.57	178.77	110.43	287.01	353.59	70.51	450.94	76.17	108.14	90.77	94.67	190.34	126.12	76.71	153.34	72.01	171.45	149.12	371.22	301.33	42.11	211.31	134.3	165.57	148.09	212.78	119.26	52.82	195.72	78.34	81.14	40.93	147.06	112.77	100.13	77.79	84.04	167.9	137.14	100.83	176.29	384.34	140.04	107.38	435.55	126.12	68.55	379.04	397.93	447.82	409.15	299.25	400.71	316.37	381.68	299.25
EPHA2	49.91	57.89	46.84	6.78	30.12	81.71	108.14	289.02	125.24	52.45	18.03	143.01	129.69	37.85	429.54	48.87	34.51	104.42	23.42	183.82	47.5	42.71	42.11	43.32	50.27	59.97	220.32	96.68	22.1	87.03	71.0	39.5	92.05	111.99	63.0	34.75	52.82	47.5	16.51	16.39	62.12	64.34	24.28	15.0	26.28	59.55	38.95	49.21	126.12	183.82	128.79	31.22	135.24	71.0	14.24	237.86	140.04	2627.46	129.69	139.07	314.17	96.68	158.79	285.03
GALNT6	6.89	15.8	4.62	1.31	3.99	12.36	28.04	53.95	11.38	7.46	6.11	27.44	25.35	8.13	44.25	6.52	7.57	13.03	4.58	15.91	8.13	6.57	10.96	3.35	11.47	12.74	35.76	16.03	3.56	18.16	34.51	11.64	18.84	31.0	15.91	10.24	17.64	14.89	4.24	2.71	8.32	7.82	6.01	2.14	6.94	42.71	9.93	5.73	25.72	36.01	16.39	6.94	30.12	16.39	4.1	44.57	30.56	65.26	29.27	15.56	30.78	46.5	20.41	34.51
GLIS2	35.5	138.1	82.29	22.92	16.27	105.15	154.42	420.68	169.07	201.25	83.45	273.37	199.85	51.35	323.03	47.84	120.94	98.73	78.89	130.6	70.01	105.89	117.6	18.56	129.69	88.88	307.69	194.36	25.35	132.44	218.79	124.37	163.28	194.36	136.19	31.22	105.89	96.01	32.13	20.26	59.55	60.82	71.0	66.65	56.68	181.28	99.43	68.55	120.1	320.8	104.42	124.37	214.27	115.16	71.0	226.54	182.55	429.54	273.37	165.57	327.56	204.07	264.03	126.12
KCTD17	62.12	151.22	64.8	15.91	20.26	127.89	201.25	312.0	135.24	195.72	62.12	273.37	334.46	45.21	218.79	57.08	126.12	93.35	68.07	81.14	72.01	77.25	171.45	27.84	201.25	131.51	366.09	309.83	35.25	165.57	154.42	186.4	185.11	201.25	128.79	21.63	72.01	81.14	31.22	24.81	42.11	93.35	74.58	41.81	87.03	115.16	120.94	52.45	115.97	287.01	87.65	141.02	301.33	81.14	39.22	265.87	246.28	327.56	429.54	384.34	429.54	193.01	256.78	205.5
KIFC3	89.51	189.02	127.89	31.0	42.41	133.36	206.94	753.83	189.02	234.57	39.22	441.64	229.72	117.6	271.48	108.14	100.83	187.71	101.54	155.5	94.67	58.71	102.25	61.25	198.47	178.77	438.59	299.25	33.78	283.05	366.09	182.55	178.77	277.2	115.16	57.08	104.42	90.14	74.58	56.28	149.12	173.85	73.54	68.55	92.7	234.57	127.89	129.69	246.28	412.0	208.38	117.6	435.55	164.42	48.52	353.59	283.05	599.49	348.71	236.21	323.03	218.79	343.89	169.07
KLK3	1345768.59	1005860.33	682276.92	450134.56	1116072.03	1212874.47	887875.81	236256.4	1163466.92	1116072.03	1063212.58	800198.39	1055868.42	906531.99	489177.0	1255646.43	1187913.85	1093103.58	1139523.1	1100706.72	881742.8	906531.99	1327240.99	887875.81	1147449.11	1412675.8	726195.27	822695.06	906531.99	1238359.56	1327240.99	800198.39	1196176.45	851707.37	985160.01	746611.43	869603.57	919186.72	789181.81	757033.75	1063212.58	1212874.47	1238359.56	696613.03	985160.01	845824.19	1048575.0	1345768.59	938500.81	334117.42	1472666.19	1229805.58	731246.37	1019901.63	696613.03	805764.22	1019901.63	499455.67	751804.53	925580.18	834179.46	794671.01	985160.01	1063212.58
LAYN	70.01	116.78	45.21	14.67	12.27	137.14	189.02	470.14	135.24	156.59	49.56	191.67	320.8	78.89	341.51	54.33	82.87	123.5	85.82	98.04	92.05	49.91	145.02	27.05	135.24	85.22	339.14	241.19	19.25	197.09	193.01	127.89	171.45	193.01	102.97	23.59	100.13	73.54	46.84	53.57	92.7	71.0	31.9	37.85	60.82	295.11	108.14	108.14	144.01	366.09	95.34	117.6	327.56	104.42	39.22	463.65	356.05	392.44	511.0	258.57	356.05	327.56	447.82	277.2
MET	21.01	52.45	31.67	12.18	7.34	40.64	57.49	389.72	50.27	35.5	19.53	115.16	98.73	31.67	204.07	16.75	36.79	31.0	24.81	37.85	30.34	26.1	36.27	4.94	26.67	45.53	87.03	66.18	6.11	52.08	74.06	55.49	49.21	143.01	48.18	11.3	39.79	40.93	29.27	15.0	33.06	29.7	20.41	14.35	24.28	75.11	29.7	25.91	126.12	211.31	185.11	35.5	159.9	51.35	28.04	177.53	98.73	171.45	59.13	70.51	198.47	193.01	92.7	126.12
MMP14	234.57	802.41	231.32	111.99	191.67	679.29	836.53	2520.38	808.0	693.58	490.14	1242.34	1096.5	215.77	1199.98	447.82	366.09	457.25	368.65	518.15	409.15	314.17	493.56	106.63	555.41	351.14	1806.78	934.76	123.5	629.35	780.44	660.68	791.35	988.12	660.68	104.42	457.25	329.84	212.78	167.9	633.73	371.22	231.32	197.09	161.02	769.69	583.07	518.15	679.29	1651.0	403.5	429.54	1304.15	547.75	441.64	1001.93	1111.82	1936.53	1191.69	1175.27	1183.45	813.63	1175.27	890.44
MTMR11	16.88	53.19	30.78	8.0	12.09	56.28	97.36	260.38	69.52	93.35	32.82	117.6	80.57	45.85	139.07	18.84	29.48	49.91	33.54	58.71	44.89	44.89	51.71	11.04	65.72	45.53	180.02	79.45	30.78	61.68	91.41	64.8	99.43	65.26	62.56	23.59	61.25	29.7	18.03	15.56	40.07	32.59	47.17	19.97	24.46	77.25	61.25	31.45	81.14	178.77	47.5	60.39	120.1	78.89	19.97	166.73	139.07	166.73	244.57	108.9	93.35	106.63	164.42	68.07
NYNRIN	19.53	43.02	6.57	4.74	4.54	48.52	102.25	202.66	37.85	46.5	14.35	66.65	116.78	17.38	144.01	12.36	27.44	26.28	18.29	57.08	39.22	23.59	48.52	3.5	33.78	27.84	150.17	90.77	4.06	53.95	38.67	54.72	51.71	90.77	68.07	7.22	31.0	18.7	13.22	5.5	28.24	22.75	18.43	6.84	10.24	54.72	45.21	24.81	78.34	132.44	55.1	24.63	164.42	31.22	10.71	163.28	177.53	297.17	124.37	136.19	148.09	115.16	126.12	102.97
PDE4A	40.36	108.9	22.59	8.45	22.26	107.38	140.04	249.73	118.43	48.52	34.26	144.01	191.67	49.56	113.56	25.17	30.56	81.71	31.0	74.06	65.72	41.22	72.01	5.92	62.56	56.28	209.84	221.86	12.83	99.43	120.1	112.77	117.6	108.9	57.08	29.7	53.19	28.24	22.92	13.62	49.21	43.94	35.0	15.22	29.7	85.22	78.89	55.49	131.51	159.9	44.57	27.05	234.57	74.06	38.4	176.29	190.34	241.19	154.42	217.27	199.85	237.86	176.29	145.02
PIK3CD	15.45	49.56	19.97	5.59	12.64	30.78	107.38	183.82	57.08	54.72	41.52	88.26	63.45	24.99	72.52	15.56	24.63	29.27	22.59	53.95	39.79	25.91	57.08	4.54	48.87	42.41	99.43	52.82	16.03	44.89	44.89	35.25	55.1	105.15	46.18	10.08	42.41	69.52	10.31	10.88	35.5	31.0	23.76	11.38	17.38	48.52	32.36	26.67	71.5	147.06	38.4	26.1	108.14	48.87	13.83	81.14	53.57	151.22	72.52	62.56	71.5	70.01	57.08	55.1
PLAU	54.33	120.94	82.29	12.74	14.56	95.34	187.71	253.23	232.94	69.52	24.63	211.31	126.12	59.97	563.18	44.89	57.08	116.78	38.12	158.79	65.72	76.17	63.0	42.71	111.21	98.73	212.78	101.54	48.18	122.64	157.68	59.97	70.51	135.24	132.44	94.67	124.37	118.43	43.02	20.71	77.79	82.87	41.52	38.67	35.25	82.29	51.35	78.34	161.02	339.14	170.25	63.0	253.23	137.14	24.63	312.0	163.28	521.76	208.38	146.03	237.86	148.09	159.9	214.27
PLCD3	100.13	201.25	110.43	29.06	66.65	180.02	251.48	669.92	209.84	241.19	87.03	316.37	395.18	80.01	376.41	120.1	183.82	180.02	129.69	161.02	111.21	117.6	130.6	61.68	228.13	170.25	423.61	348.71	52.82	320.8	226.54	164.42	150.17	285.03	163.28	84.04	201.25	93.35	45.53	110.43	100.83	120.94	102.97	81.14	121.79	256.78	190.34	126.12	211.31	432.53	356.05	175.07	473.41	152.28	113.56	536.45	412.0	915.51	323.03	348.71	624.99	447.82	470.14	473.41
PLS3	108.14	473.41	120.1	77.25	70.51	295.11	466.88	1135.2	341.51	432.53	137.14	688.78	728.11	145.02	890.44	155.5	204.07	320.8	178.77	258.57	166.73	215.77	441.64	81.14	208.38	260.38	836.53	532.74	45.85	559.28	476.71	361.04	438.59	587.13	387.02	50.98	211.31	178.77	136.19	167.9	206.94	170.25	206.94	149.12	113.56	518.15	307.69	232.94	642.59	1088.92	603.67	318.57	947.83	277.2	118.43	1088.92	921.88	878.17	1304.15	633.73	878.17	688.78	848.22	543.96
RAB31	48.52	332.14	91.41	44.89	17.9	195.72	197.09	392.44	187.71	209.84	72.52	397.93	258.57	74.58	389.72	96.01	115.16	139.07	86.43	156.59	96.01	154.42	251.48	29.91	161.02	118.43	316.37	256.78	44.57	264.03	198.47	190.34	223.41	351.14	190.34	37.32	77.79	103.69	78.89	60.82	92.7	80.57	157.68	71.0	59.97	236.21	159.9	94.01	178.77	379.04	106.63	218.79	412.0	118.43	67.59	500.46	376.41	348.71	698.41	423.61	532.74	368.65	463.65	237.86
RARG	72.01	218.79	50.27	29.91	18.7	204.07	293.07	785.88	194.36	155.5	61.68	325.29	336.79	117.6	397.93	81.14	157.68	94.67	79.45	220.32	180.02	69.52	117.6	59.55	223.41	149.12	409.15	229.72	64.34	299.25	170.25	170.25	162.14	255.0	149.12	49.21	103.69	112.77	64.8	57.08	178.77	127.0	96.68	57.49	109.66	279.14	106.63	132.44	279.14	518.15	172.65	170.25	497.0	206.94	66.18	559.28	379.04	934.76	334.46	320.8	373.81	303.44	397.93	412.0
SH3BP1	55.1	87.65	56.28	34.02	16.51	77.25	251.48	371.22	183.82	84.04	66.65	229.72	169.07	58.71	161.02	56.68	58.71	73.03	42.41	99.43	102.97	42.41	83.45	59.97	120.1	85.82	269.6	96.01	33.3	98.73	84.63	96.68	123.5	127.0	99.43	49.91	80.57	92.7	27.05	19.97	76.17	76.71	54.72	32.13	32.36	78.34	83.45	81.71	146.03	269.6	71.5	42.11	232.94	97.36	47.84	220.32	197.09	497.0	206.94	129.69	125.24	118.43	223.41	131.51
SLC43A3	96.01	143.01	75.11	24.46	36.27	126.12	151.22	368.65	154.42	161.02	80.57	275.28	208.38	63.45	297.17	97.36	92.05	120.1	80.57	140.04	88.88	83.45	202.66	67.12	132.44	85.82	346.29	142.01	41.52	251.48	279.14	109.66	166.73	269.6	133.36	48.52	96.68	101.54	60.39	61.68	97.36	84.63	70.01	42.11	35.0	124.37	120.94	88.26	271.48	309.83	105.89	127.89	297.17	122.64	45.53	206.94	177.53	373.81	258.57	169.07	271.48	186.4	194.36	176.29
SLCO3A1	54.72	91.41	28.45	11.73	12.18	71.0	94.01	376.41	70.51	50.98	22.75	146.03	111.21	38.4	147.06	31.22	65.26	47.5	23.08	84.04	38.4	21.63	47.84	28.65	59.55	57.89	167.9	105.15	14.03	81.71	89.51	57.89	73.03	144.01	55.89	13.12	32.36	43.32	36.27	13.93	44.25	43.63	31.0	19.39	34.51	63.89	62.56	49.91	136.19	221.86	89.51	36.53	155.5	45.21	21.32	171.45	193.01	273.37	138.1	121.79	137.14	157.68	132.44	141.02
SMARCD3	256.78	486.75	271.48	70.01	115.97	511.0	708.18	1857.6	551.56	493.56	218.79	941.27	884.29	316.37	764.36	223.41	231.32	301.33	205.5	320.8	323.03	209.84	376.41	221.86	607.87	476.71	1059.11	866.07	218.79	529.06	532.74	470.14	547.75	511.0	289.02	104.42	303.44	301.33	162.14	166.73	301.33	339.14	242.88	178.77	226.54	309.83	256.78	379.04	587.13	974.5	269.6	366.09	1378.57	493.56	155.5	848.22	866.07	1304.15	1331.57	1044.52	934.76	616.37	902.89	674.59
ST6GALNAC4	82.29	132.44	48.87	12.27	29.48	135.24	173.85	297.17	150.17	115.16	44.57	253.23	246.28	98.73	142.01	50.63	80.57	99.43	47.5	105.15	62.12	45.21	94.01	32.36	186.4	105.15	269.6	228.13	30.56	138.1	162.14	94.01	115.16	140.04	91.41	30.56	80.01	85.22	30.34	64.8	102.25	89.51	65.26	25.54	55.89	90.77	120.1	73.54	171.45	234.57	99.43	127.0	305.55	73.54	53.57	255.0	224.97	379.04	301.33	316.37	228.13	187.71	214.27	283.05
SYDE1	56.28	137.14	53.57	15.8	18.84	119.26	156.59	291.04	169.07	208.38	65.26	291.04	279.14	52.45	186.4	45.53	103.69	75.64	74.58	97.36	69.03	67.59	120.94	25.35	162.14	105.15	327.56	289.02	21.47	145.02	183.82	170.25	159.9	242.88	100.13	22.43	100.83	54.72	35.25	32.36	66.18	79.45	77.25	49.56	43.32	150.17	137.14	65.72	147.06	265.87	56.68	161.02	267.73	80.57	37.05	249.73	199.85	291.04	260.38	285.03	239.52	206.94	218.79	115.97
TMCC2	4.5	19.39	6.94	2.73	3.0	10.16	18.84	59.97	23.25	12.83	6.62	25.54	24.28	5.63	23.08	5.28	9.27	9.7	8.06	18.84	13.62	8.71	9.93	1.57	17.77	12.45	26.47	14.14	6.01	20.11	25.91	13.22	13.93	25.54	12.0	2.27	12.0	9.48	2.43	2.51	6.84	5.45	7.63	4.62	10.63	14.89	5.63	7.22	17.9	38.12	12.36	8.0	26.47	12.09	3.2	22.43	19.39	43.02	18.29	19.11	16.63	21.16	22.59	17.0
TMEM106A	8.85	39.22	15.91	6.41	6.06	25.54	44.89	59.55	36.27	35.25	16.15	37.85	88.26	12.64	70.01	10.0	13.83	21.63	12.74	23.93	22.75	15.56	21.01	4.31	13.93	17.38	49.21	49.56	6.94	29.48	29.7	34.51	33.3	54.72	25.17	12.0	15.0	21.32	8.85	10.0	14.89	18.16	12.93	6.36	4.5	23.76	37.59	19.68	40.64	80.57	25.17	15.68	80.01	20.71	6.41	70.51	69.03	80.57	90.14	51.71	59.55	67.59	72.01	24.99
TNFAIP8L1	17.9	47.5	19.11	14.89	12.93	44.57	57.89	110.43	49.21	46.5	17.0	95.34	72.52	23.76	56.28	22.26	28.04	27.84	25.35	59.55	33.3	26.28	32.36	42.11	58.71	38.95	112.77	105.89	8.45	96.68	77.25	47.17	43.94	68.55	33.06	24.46	27.44	38.67	14.89	35.0	39.79	35.25	23.59	16.27	14.78	46.5	37.32	37.32	68.07	96.01	48.52	28.24	108.9	54.72	25.54	62.56	33.06	76.71	46.84	82.87	79.45	49.91	57.89	45.21
TRO	17.64	76.71	29.91	9.48	13.42	54.72	157.68	267.73	84.04	66.65	43.32	105.89	137.14	28.45	185.11	17.64	16.75	57.08	32.59	54.33	49.56	28.86	42.11	11.91	46.18	32.82	392.44	163.28	13.93	100.13	91.41	70.01	90.14	78.34	67.59	11.64	41.52	30.78	28.65	12.74	50.98	28.86	33.54	29.7	15.11	53.95	53.19	60.82	80.57	132.44	69.52	50.27	241.19	91.41	17.38	239.52	244.57	392.44	381.68	110.43	119.26	155.5	297.17	111.21
