	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.DD.A3A8.11A.11R.A22L.07
OCLM	0.0	4.28	3.72	23.59	0.0	16.63	30.78	10.55	4.86	0.88	0.0
OCLN	63.0	194.36	63.89	616.37	76.17	688.78	447.82	409.15	429.54	221.86	169.07
OCRL	271.48	273.37	305.55	497.0	186.4	476.71	480.04	373.81	384.34	323.03	102.97
PAPOLG	67.12	81.14	127.89	323.03	51.35	267.73	400.71	242.88	237.86	140.04	25.17
PBRM1	87.03	201.25	214.27	660.68	114.36	967.76	884.29	540.19	463.65	271.48	59.55
PCNX	218.79	198.47	246.28	507.46	99.43	493.56	748.61	389.72	307.69	316.37	125.24
PDE12	80.57	162.14	144.01	264.03	81.71	273.37	384.34	249.73	191.67	144.01	98.73
PDPK1	117.6	167.9	218.79	651.58	149.12	571.05	848.22	432.53	575.03	293.07	105.89
PELI1	76.17	182.55	329.84	934.76	105.89	967.76	1662.49	679.29	518.15	429.54	56.68
PIGN	78.89	104.42	163.28	543.96	155.5	567.1	728.11	473.41	361.04	265.87	101.54
PKN2	158.79	163.28	309.83	688.78	78.89	780.44	995.0	532.74	463.65	297.17	65.72
PLSCR4	12.83	217.27	397.93	878.17	110.43	1388.16	1487.87	1111.82	669.92	414.87	305.55
POLR2M	256.78	366.09	343.89	896.64	215.77	848.22	1015.93	775.05	624.99	441.64	112.77
POMK	6.94	4.66	17.77	59.97	5.59	80.01	74.58	57.08	33.78	15.22	3.32
PPP2R5E	147.06	194.36	285.03	607.87	86.43	651.58	708.18	417.77	358.54	327.56	58.3
PPP4R2	229.72	403.5	450.94	934.76	140.04	1023.0	1127.35	808.0	684.02	507.46	214.27
PREPL	182.55	229.72	309.83	1096.5	144.01	1023.0	1519.15	995.0	796.86	551.56	197.09
PRKAA1	323.03	277.2	603.67	974.5	82.29	1397.83	1498.22	1159.07	928.3	493.56	224.97
PRKAR2A	193.01	208.38	255.0	616.37	139.07	599.49	629.35	507.46	463.65	348.71	158.79
PUM2	603.67	514.56	669.92	1794.29	376.41	1721.16	2193.99	1313.23	1388.16	791.35	291.04
PUS7L	29.06	36.79	62.56	146.03	14.67	183.82	212.78	90.77	82.87	57.08	4.74
RAB33B	38.95	78.89	92.7	186.4	27.84	234.57	249.73	215.77	164.42	94.67	55.1
RAD17	197.09	255.0	301.33	587.13	187.71	599.49	738.29	460.44	470.14	397.93	131.51
RAVER2	56.28	93.35	163.28	441.64	100.83	295.11	521.76	212.78	287.01	217.27	8.45
RB1	23.42	158.79	334.46	802.41	105.15	988.12	1037.29	802.41	511.0	463.65	72.01
RBM12	262.2	299.25	490.14	1015.93	285.03	1119.56	1662.49	718.08	813.63	540.19	107.38
RBM27	108.9	98.73	143.01	412.0	61.25	353.59	536.45	271.48	275.28	162.14	22.26
RBM41	113.56	81.14	102.97	255.0	69.03	271.48	329.84	190.34	187.71	136.19	36.79
REEP3	473.41	241.19	325.29	703.28	111.21	791.35	591.22	669.92	397.93	314.17	141.02
RLF	114.36	93.35	129.69	320.8	59.55	376.41	483.38	223.41	229.72	151.22	20.56
RNF111	145.02	194.36	251.48	507.46	119.26	429.54	525.39	384.34	358.54	264.03	131.51
ROCK1	88.88	208.38	287.01	476.71	78.89	624.99	708.18	540.19	358.54	275.28	31.0
RPP14	249.73	366.09	325.29	642.59	197.09	480.04	693.58	414.87	414.87	361.04	336.79
RPS6KA3	239.52	223.41	480.04	409.15	102.25	769.69	796.86	543.96	366.09	291.04	221.86
RSPRY1	165.57	249.73	336.79	575.03	181.28	532.74	575.03	497.0	480.04	363.56	138.1
SCYL2	215.77	186.4	305.55	819.3	112.77	688.78	872.1	571.05	457.25	327.56	111.21
SETD2	166.73	279.14	289.02	775.05	190.34	703.28	967.76	511.0	638.15	426.57	60.82
SH3D19	154.42	473.41	651.58	961.07	181.28	1617.0	1487.87	1119.56	842.36	688.78	255.0
SIPA1L1	366.09	406.31	500.46	647.07	237.86	698.41	808.0	466.88	669.92	599.49	218.79
SIRT1	72.52	162.14	224.97	656.11	94.67	633.73	796.86	447.82	438.59	232.94	122.64
SLC25A36	146.03	256.78	392.44	1417.35	134.3	1572.76	2351.53	1111.82	941.27	579.04	8.71
SLC33A1	228.13	236.21	490.14	1030.12	116.78	723.08	842.36	665.29	583.07	423.61	251.48
SMAD5	158.79	150.17	223.41	607.87	145.02	775.05	915.51	591.22	503.95	316.37	84.63
SMARCC1	316.37	503.95	514.56	1268.46	327.56	1295.13	1340.84	733.19	921.88	603.67	145.02
SMURF2	232.94	147.06	221.86	420.68	108.9	532.74	629.35	447.82	384.34	260.38	21.94
SP1	256.78	429.54	457.25	1250.98	412.0	1191.69	1529.73	934.76	1008.9	540.19	142.01
SPATA7	63.45	172.65	140.04	336.79	68.07	297.17	343.89	217.27	218.79	209.84	39.22
SPOPL	77.25	120.1	122.64	429.54	71.5	802.41	647.07	470.14	575.03	202.66	50.63
SPRED1	64.8	83.45	199.85	555.41	57.08	409.15	579.04	444.72	293.07	205.5	20.86
SRFBP1	82.29	82.87	115.97	325.29	37.05	251.48	420.68	208.38	183.82	117.6	15.68
TCF12	199.85	312.0	373.81	1322.37	176.29	1407.55	1407.55	981.29	813.63	651.58	87.03
TCP11L2	20.11	47.5	80.57	341.51	44.57	457.25	429.54	262.2	242.88	105.89	20.11
TET2	21.47	53.95	80.01	239.52	38.67	241.19	366.09	165.57	142.01	81.71	9.85
TGDS	106.63	197.09	224.97	384.34	58.3	299.25	414.87	329.84	269.6	190.34	98.73
TLE4	3.59	186.4	406.31	450.94	209.84	500.46	796.86	612.11	293.07	295.11	47.17
TM9SF3	669.92	1037.29	1059.11	2758.13	563.18	3280.18	3060.45	2417.67	1709.26	1159.07	493.56
TMEM50B	343.89	866.07	733.19	890.44	603.67	1199.98	1259.69	1417.35	1104.13	1159.07	279.14
TMF1	119.26	206.94	202.66	647.07	65.72	669.92	915.51	497.0	480.04	293.07	35.76
TMTC1	2.97	87.65	194.36	441.64	58.3	647.07	551.56	373.81	318.57	301.33	13.72
TNKS2	123.5	229.72	297.17	791.35	153.34	860.08	902.89	684.02	551.56	316.37	111.99
TRAM1	1651.0	1674.06	2935.74	4450.27	703.28	4736.79	5366.37	4038.61	2997.45	2133.97	1104.13
TRIM33	141.02	143.01	161.02	540.19	127.89	503.95	603.67	412.0	325.29	318.57	55.49
TTBK2	52.08	38.12	55.1	117.6	32.82	186.4	199.85	124.37	108.9	74.06	21.78
TTC33	97.36	84.63	175.07	307.69	27.05	339.14	327.56	343.89	314.17	175.07	64.34
UBR1	73.03	107.38	129.69	327.56	49.91	309.83	400.71	277.2	228.13	177.53	39.79
UFL1	101.54	189.02	267.73	575.03	69.52	669.92	728.11	500.46	361.04	318.57	68.07
USP37	23.08	22.59	38.12	189.02	22.75	176.29	289.02	123.5	119.26	46.5	4.24
USP54	42.71	206.94	189.02	1407.55	142.01	909.17	791.35	587.13	693.58	629.35	36.79
VPRBP	189.02	265.87	273.37	713.11	127.89	607.87	708.18	450.94	571.05	366.09	139.07
WDR36	146.03	105.15	170.25	480.04	52.82	329.84	480.04	246.28	211.31	150.17	69.52
WDR41	559.28	339.14	733.19	599.49	320.8	1008.9	909.17	836.53	616.37	629.35	264.03
WDR82	466.88	947.83	1044.52	1551.09	743.43	1572.76	1909.85	1340.84	1199.98	1111.82	299.25
WRN	57.49	68.07	114.36	325.29	41.81	275.28	420.68	190.34	180.02	154.42	21.01
XPO7	371.22	353.59	450.94	884.29	346.29	896.64	1340.84	656.11	753.83	547.75	199.85
YLPM1	273.37	417.77	486.75	1001.93	343.89	934.76	1167.14	753.83	830.75	733.19	141.02
YTHDC2	125.24	108.9	148.09	366.09	99.43	379.04	500.46	305.55	241.19	186.4	56.28
ZBED6	6.41	2.92	17.9	269.6	5.11	346.29	323.03	187.71	141.02	54.72	6.67
ZBTB5	78.89	96.01	113.56	269.6	111.99	249.73	348.71	228.13	239.52	169.07	76.71
ZDHHC20	70.01	202.66	231.32	813.63	33.06	665.29	802.41	583.07	384.34	161.02	30.56
ZFYVE26	102.25	103.69	140.04	249.73	92.7	208.38	241.19	229.72	211.31	151.22	52.45
ZKSCAN8	53.19	80.57	118.43	426.57	37.32	379.04	483.38	293.07	297.17	163.28	24.63
ZNF281	122.64	80.01	181.28	258.57	31.67	312.0	301.33	314.17	253.23	176.29	94.67
ZNF322	109.66	87.03	116.78	356.05	26.47	341.51	444.72	323.03	305.55	194.36	26.86
ZNF449	26.28	49.56	63.0	107.38	20.86	140.04	127.0	130.6	80.57	85.82	4.54
ZNF658	2.36	44.25	33.54	146.03	43.32	156.59	177.53	93.35	116.78	83.45	5.23
ZNF678	18.7	30.34	34.75	148.09	13.32	150.17	140.04	115.16	82.29	56.68	2.03
ZNF699	5.54	9.93	26.86	76.71	6.62	69.52	101.54	64.8	57.08	28.45	1.17
ZNF711	0.61	26.67	67.12	202.66	42.41	197.09	366.09	130.6	195.72	84.04	1.3
