	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.146FQ.1126.SM.5NQBM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11NV4.1126.SM.5HL6J	GTEX.13VXU.2726.SM.5LU4N	GTEX.11OF3.1126.SM.5986C	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13111.1326.SM.5GCNO	GTEX.12696.2226.SM.5EQ65	TCGA.BR.A453.01A.11R.A24K.31	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.R55G.1126.SM.48FDG	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ	GTEX.XPVG.1526.SM.4B66C	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
FAM104B	612.11	603.67	693.58	536.45	343.89	587.13	0.0	0.16	318.57	180.02	186.4	152.28	193.01	176.29	651.58	633.73	518.15	780.44	660.68	825.0	555.41	218.79	624.99	511.0	638.15	540.19	708.18	595.34	679.29	511.0	490.14	753.83	457.25	591.22	444.72	674.59	575.03	486.75	753.83	1073.91	860.08	1030.12	1023.0	1519.15
FAM218A	12.27	17.0	35.25	19.53	6.73	22.26	0.0	0.04	0.0	0.0	3.72	0.0	4.31	3.44	25.54	59.97	41.52	26.28	29.06	41.52	11.47	3.86	33.3	21.47	4.9	24.46	23.93	44.57	19.11	1.77	4.86	2.16	5.73	27.64	2.73	14.67	13.42	3.89	30.78	69.03	70.01	13.93	90.77	31.45
FTSJ2	547.75	480.04	503.95	309.83	248.0	470.14	0.0	0.0	120.1	260.38	165.57	199.85	157.68	197.09	483.38	463.65	656.11	371.22	312.0	406.31	307.69	242.88	316.37	417.77	281.09	356.05	368.65	447.82	293.07	287.01	371.22	409.15	389.72	563.18	100.83	329.84	327.56	220.32	454.09	563.18	591.22	791.35	656.11	624.99
FUNDC1	293.07	346.29	267.73	158.79	150.17	269.6	0.0	0.16	98.04	124.37	102.25	52.45	117.6	82.87	397.93	470.14	466.88	309.83	208.38	205.5	142.01	130.6	223.41	180.02	193.01	172.65	194.36	299.25	201.25	119.26	154.42	199.85	156.59	169.07	103.69	153.34	127.89	167.9	197.09	454.09	665.29	633.73	460.44	551.56
GPER1	231.32	255.0	693.58	94.01	171.45	466.88	0.0	0.0	14.35	33.78	49.56	20.11	18.29	15.22	149.12	118.43	81.14	988.12	143.01	14.14	12.18	39.79	35.25	81.14	46.84	101.54	58.3	103.69	85.82	21.94	41.81	74.06	97.36	100.13	13.52	109.66	32.82	43.02	69.52	358.54	334.46	603.67	400.71	909.17
HINT2	1340.84	1794.29	1551.09	775.05	941.27	1963.57	0.0	0.29	532.74	555.41	493.56	718.08	316.37	356.05	1437.15	2384.37	1721.16	1757.34	1191.69	1030.12	532.74	813.63	802.41	1151.06	693.58	753.83	1143.1	981.29	974.5	665.29	638.15	1051.79	603.67	1044.52	743.43	842.36	791.35	748.61	1008.9	2148.82	1733.13	1909.85	1674.06	1870.53
KBTBD6	103.69	114.36	144.01	63.0	31.45	81.14	0.0	0.0	23.76	16.75	12.09	14.56	26.86	30.34	126.12	165.57	130.6	80.57	98.73	92.7	46.5	34.02	72.01	89.51	82.87	51.71	73.03	121.79	58.3	31.22	45.85	55.49	74.58	111.99	22.26	74.06	39.5	29.7	120.1	172.65	269.6	201.25	118.43	177.53
KBTBD7	134.3	101.54	115.97	37.05	14.45	88.88	0.0	0.0	38.95	20.71	20.56	12.18	22.1	23.42	100.83	166.73	120.94	102.25	105.89	77.25	34.26	11.47	59.55	78.34	65.72	62.12	80.01	87.03	67.59	26.28	22.59	55.89	61.25	115.97	12.93	57.89	28.24	37.59	111.21	122.64	217.27	126.12	135.24	109.66
LIPT1	119.26	205.5	189.02	92.7	171.45	134.3	0.0	0.0	60.82	71.0	66.65	48.52	98.73	51.71	183.82	143.01	118.43	170.25	206.94	167.9	102.25	78.34	98.73	87.65	107.38	93.35	149.12	197.09	128.79	130.6	92.7	128.79	125.24	199.85	63.0	131.51	99.43	141.02	152.28	242.88	228.13	249.73	173.85	169.07
LIPT2	53.19	43.32	23.76	9.27	46.5	49.56	0.0	0.0	11.47	23.93	28.45	13.52	24.46	0.0	66.65	88.26	99.43	33.78	67.12	66.18	15.56	26.86	90.14	55.1	52.45	36.79	53.95	75.64	41.81	20.56	48.87	44.25	41.52	49.21	7.28	48.18	47.84	24.63	84.63	139.07	98.73	85.22	63.89	78.34
LYRM9	353.59	397.93	599.49	246.28	228.13	551.56	0.0	0.16	161.02	147.06	135.24	148.09	134.3	84.04	684.02	775.05	414.87	361.04	567.1	454.09	190.34	214.27	954.43	373.81	283.05	169.07	218.79	769.69	318.57	153.34	314.17	231.32	226.54	753.83	368.65	187.71	332.14	202.66	616.37	693.58	878.17	1044.52	1008.9	323.03
MAGEF1	967.76	836.53	947.83	507.46	334.46	988.12	0.0	0.84	92.7	320.8	400.71	122.64	181.28	536.45	1295.13	1572.76	1583.71	878.17	571.05	616.37	412.0	529.06	679.29	567.1	457.25	713.11	693.58	698.41	708.18	142.01	366.09	660.68	669.92	1295.13	366.09	480.04	529.06	343.89	599.49	1477.58	1769.57	3060.45	1883.54	1639.59
MAP10	24.81	15.56	22.26	7.94	2.63	12.18	0.0	0.0	1.04	2.34	2.97	1.38	1.39	3.76	17.9	22.75	3.69	21.94	17.25	17.77	4.13	0.74	18.56	13.42	7.28	10.79	12.27	27.25	10.47	2.46	8.0	7.57	7.4	16.88	0.0	5.87	2.66	1.38	14.56	30.56	57.89	57.49	47.17	42.41
METTL18	158.79	146.03	132.44	94.67	60.39	97.36	0.0	0.0	42.71	71.0	37.85	23.59	63.0	37.85	185.11	137.14	155.5	123.5	171.45	137.14	85.82	50.98	115.97	81.71	87.65	90.14	100.13	167.9	59.55	65.26	102.25	130.6	123.5	146.03	43.32	97.36	104.42	63.89	132.44	181.28	234.57	241.19	242.88	246.28
NIF3L1	384.34	571.05	457.25	265.87	239.52	373.81	0.0	0.0	119.26	167.9	139.07	151.22	126.12	87.03	493.56	620.67	579.04	547.75	293.07	447.82	371.22	228.13	384.34	438.59	406.31	353.59	395.18	503.95	454.09	221.86	237.86	429.54	346.29	514.56	125.24	426.57	327.56	320.8	417.77	490.14	656.11	629.35	633.73	708.18
NSUN5	483.38	563.18	591.22	470.14	361.04	532.74	0.0	0.49	125.24	297.17	104.42	132.44	186.4	104.42	563.18	620.67	460.44	493.56	579.04	497.0	318.57	366.09	346.29	412.0	178.77	493.56	376.41	412.0	447.82	251.48	287.01	332.14	447.82	638.15	107.38	417.77	275.28	185.11	525.39	878.17	647.07	909.17	733.19	890.44
PATZ1	514.56	429.54	591.22	232.94	175.07	417.77	0.0	0.28	142.01	175.07	84.04	94.01	120.94	98.04	480.04	629.35	426.57	587.13	356.05	289.02	151.22	190.34	217.27	341.51	183.82	201.25	197.09	287.01	218.79	156.59	253.23	201.25	215.77	395.18	109.66	246.28	209.84	172.65	264.03	547.75	612.11	830.75	500.46	629.35
PEX12	158.79	153.34	191.67	63.89	65.26	129.69	0.0	0.0	24.63	29.06	36.01	38.12	44.25	37.59	197.09	262.2	215.77	104.42	146.03	151.22	69.52	46.18	97.36	116.78	88.88	82.87	93.35	135.24	94.01	54.72	62.56	100.83	73.03	165.57	23.76	83.45	67.59	80.01	120.94	170.25	229.72	161.02	204.07	164.42
PIGC	612.11	728.11	693.58	397.93	325.29	603.67	0.0	0.02	155.5	303.44	177.53	129.69	186.4	139.07	802.41	961.07	928.3	555.41	518.15	551.56	334.46	271.48	371.22	551.56	358.54	371.22	361.04	507.46	507.46	275.28	246.28	480.04	511.0	493.56	96.01	395.18	316.37	426.57	426.57	1216.75	1427.22	1066.48	981.29	915.51
PPCS	1561.89	1781.89	1167.14	915.51	1073.91	1407.55	0.0	0.16	406.31	647.07	591.22	329.84	514.56	403.5	2287.2	2148.82	2271.4	1340.84	1250.98	1519.15	1044.52	785.88	1066.48	1159.07	1183.45	1059.11	1233.75	1286.18	1119.56	896.64	884.29	1208.34	1242.34	1225.22	497.0	1066.48	941.27	967.76	1350.18	2004.85	1551.09	2384.37	2468.49	2104.58
PPIE	1151.06	1378.57	1697.45	1088.92	1037.29	1127.35	0.0	0.51	327.56	490.14	343.89	332.14	423.61	239.52	1594.73	1806.78	1295.13	819.3	1104.13	1216.75	909.17	571.05	1111.82	1225.22	915.51	848.22	1350.18	1119.56	802.41	708.18	934.76	1175.27	836.53	1037.29	791.35	995.0	1295.13	775.05	1081.39	1651.0	1191.69	1519.15	1605.83	1594.73
RCOR2	72.52	19.11	38.67	13.03	12.36	36.01	0.0	0.21	4.62	0.41	2.43	5.32	4.94	4.39	27.05	19.53	15.34	71.0	379.04	22.59	15.68	2.36	12.0	38.4	44.25	25.17	47.17	96.01	15.8	8.85	4.94	16.63	10.55	63.45	76.17	17.0	6.41	33.06	50.63	112.77	119.26	642.59	269.6	791.35
RHNO1	791.35	387.02	291.04	195.72	199.85	299.25	0.0	0.21	137.14	287.01	173.85	169.07	186.4	95.34	665.29	848.22	698.41	674.59	447.82	723.08	277.2	363.56	444.72	629.35	463.65	361.04	575.03	579.04	361.04	241.19	152.28	409.15	271.48	791.35	339.14	275.28	373.81	412.0	543.96	674.59	559.28	579.04	409.15	432.53
RNF219	187.71	150.17	159.9	109.66	68.07	136.19	0.0	0.16	36.01	65.26	55.89	43.94	59.13	99.43	204.07	137.14	166.73	111.21	120.1	148.09	76.17	59.97	115.97	101.54	80.01	80.57	81.71	106.63	84.04	55.89	88.26	76.17	105.89	148.09	22.59	118.43	75.64	84.04	130.6	205.5	260.38	224.97	107.38	228.13
RPP25L	599.49	961.07	713.11	336.79	258.57	500.46	0.0	0.0	182.55	279.14	111.21	84.04	201.25	101.54	866.07	981.29	808.0	540.19	551.56	896.64	366.09	202.66	414.87	748.61	447.82	307.69	708.18	536.45	384.34	299.25	279.14	688.78	314.17	981.29	249.73	460.44	447.82	579.04	638.15	1023.0	1088.92	842.36	1001.93	693.58
RWDD2B	587.13	470.14	521.76	277.2	181.28	423.61	0.0	0.0	53.95	137.14	118.43	89.51	94.67	59.97	660.68	500.46	665.29	525.39	397.93	450.94	226.54	220.32	299.25	277.2	221.86	223.41	316.37	358.54	318.57	102.97	159.9	460.44	320.8	279.14	96.68	273.37	234.57	190.34	265.87	791.35	536.45	693.58	583.07	860.08
SDR42E1	4.46	108.14	85.82	14.14	38.95	57.89	0.0	0.17	4.54	15.91	9.2	1.41	7.57	1.41	61.25	62.56	43.02	32.59	52.45	62.56	49.56	11.73	38.95	15.45	18.03	22.92	77.25	29.7	29.48	27.84	1.73	14.03	33.54	49.91	2.32	39.79	25.35	13.83	85.82	58.3	146.03	84.63	81.14	91.41
SMIM19	684.02	1023.0	848.22	616.37	941.27	934.76	0.0	0.51	371.22	688.78	483.38	329.84	753.83	226.54	1331.57	1733.13	2255.7	981.29	738.29	902.89	381.68	1143.1	1001.93	890.44	525.39	563.18	802.41	909.17	713.11	441.64	679.29	974.5	529.06	647.07	447.82	656.11	780.44	540.19	808.0	3589.58	2032.85	1963.57	1359.57	1225.22
SNAPC2	1066.48	995.0	1896.65	1529.73	346.29	988.12	0.0	0.61	171.45	309.83	114.36	447.82	363.56	273.37	1059.11	1350.18	1378.57	1268.46	830.75	1088.92	688.78	493.56	432.53	1175.27	688.78	595.34	733.19	988.12	878.17	514.56	791.35	872.1	1447.15	1208.34	575.03	748.61	743.43	854.13	738.29	1594.73	1519.15	2645.74	1745.2	2303.12
SPAG7	1923.14	1662.49	1857.6	1322.37	1369.04	1870.53	0.0	0.65	872.1	921.88	656.11	981.29	748.61	884.29	2400.97	2739.08	3280.18	1498.22	1331.57	1066.48	1561.89	2104.58	1883.54	1331.57	1781.89	1030.12	1628.26	1963.57	1977.24	1605.83	1697.45	2701.35	1529.73	2367.9	1111.82	1417.35	1519.15	1397.83	2193.99	4736.79	3589.58	3564.78	2956.17	3540.14
TACO1	417.77	551.56	343.89	256.78	193.01	521.76	0.0	0.0	79.45	170.25	70.51	94.01	107.38	85.22	511.0	500.46	412.0	289.02	371.22	387.02	279.14	212.78	309.83	327.56	297.17	281.09	376.41	320.8	341.51	239.52	242.88	397.93	295.11	460.44	104.42	332.14	248.0	244.57	361.04	567.1	575.03	571.05	470.14	497.0
TADA1	183.82	291.04	255.0	122.64	127.0	153.34	0.0	0.52	70.01	101.54	98.73	35.5	226.54	59.97	269.6	189.02	234.57	176.29	246.28	163.28	108.14	139.07	190.34	187.71	145.02	185.11	154.42	201.25	181.28	102.25	139.07	88.88	218.79	287.01	73.54	139.07	147.06	90.77	224.97	237.86	297.17	301.33	262.2	237.86
TEX264	1417.35	1437.15	995.0	684.02	651.58	1447.15	0.0	0.09	400.71	620.67	420.68	591.22	500.46	438.59	1605.83	2573.36	1950.0	1457.23	1066.48	934.76	624.99	674.59	872.1	1340.84	848.22	802.41	902.89	896.64	896.64	713.11	660.68	1088.92	878.17	1242.34	447.82	830.75	819.3	884.29	1127.35	2468.49	2384.37	2075.59	1923.14	2520.38
THAP7	872.1	954.43	1051.79	651.58	759.08	830.75	0.0	0.45	220.32	371.22	366.09	242.88	297.17	297.17	1225.22	1359.57	1628.26	890.44	688.78	1159.07	579.04	599.49	1088.92	1015.93	441.64	842.36	1104.13	954.43	483.38	825.0	698.41	872.1	688.78	1167.14	423.61	954.43	842.36	575.03	1286.18	1286.18	896.64	1417.35	1159.07	954.43
TMEM177	198.47	368.65	251.48	80.57	82.29	198.47	0.0	0.0	24.81	53.95	21.78	16.15	28.45	23.42	224.97	190.34	220.32	206.94	228.13	180.02	109.66	159.9	246.28	197.09	162.14	239.52	466.88	356.05	299.25	135.24	279.14	209.84	187.71	420.68	154.42	334.46	143.01	75.64	384.34	363.56	379.04	244.57	320.8	450.94
TMEM203	825.0	1001.93	1015.93	633.73	486.75	1216.75	0.0	0.09	194.36	389.72	291.04	303.44	249.73	314.17	1008.9	1096.5	1073.91	718.08	713.11	684.02	381.68	503.95	708.18	733.19	536.45	854.13	684.02	802.41	575.03	426.57	551.56	791.35	902.89	854.13	205.5	769.69	633.73	395.18	713.11	1295.13	1242.34	1313.23	1119.56	1295.13
TMEM222	743.43	830.75	941.27	775.05	665.29	1088.92	0.0	0.39	400.71	674.59	376.41	470.14	555.41	346.29	1044.52	1540.37	1322.37	842.36	1001.93	1088.92	688.78	909.17	909.17	1051.79	624.99	688.78	780.44	961.07	723.08	866.07	1066.48	830.75	830.75	1250.98	358.54	738.29	796.86	551.56	1135.2	1216.75	1167.14	1359.57	1259.69	1051.79
TSEN15	532.74	559.28	961.07	647.07	351.14	854.13	0.0	0.42	387.02	194.36	140.04	123.5	251.48	180.02	769.69	473.41	607.87	743.43	759.08	878.17	603.67	457.25	651.58	457.25	571.05	866.07	836.53	603.67	684.02	297.17	551.56	532.74	796.86	629.35	318.57	616.37	543.96	518.15	708.18	559.28	748.61	921.88	909.17	1104.13
TTC30A	94.67	57.08	62.56	30.78	14.78	50.98	0.0	0.0	12.0	14.24	15.68	5.87	12.27	8.06	70.01	114.36	96.68	48.18	41.52	129.69	38.95	17.9	94.01	60.39	33.78	50.98	66.65	67.12	82.29	13.83	24.46	68.55	38.67	111.99	5.32	38.67	72.52	36.53	71.0	162.14	183.82	120.1	169.07	166.73
TTC30B	84.63	67.59	81.71	13.42	12.45	49.56	0.0	0.0	19.82	13.72	16.75	14.89	15.0	10.96	58.71	84.04	50.27	53.57	34.02	54.33	32.59	20.26	62.12	47.84	26.28	45.53	48.87	50.98	52.08	19.97	22.1	46.84	50.27	86.43	8.0	50.98	35.76	24.99	74.06	186.4	142.01	154.42	167.9	166.73
UBTF	1950.0	1183.45	2090.03	1519.15	698.41	1268.46	947.83	73.54	738.29	409.15	397.93	486.75	366.09	507.46	1551.09	1427.22	1417.35	1359.57	1081.39	1477.58	866.07	525.39	954.43	1417.35	1066.48	1359.57	1295.13	1437.15	890.44	961.07	941.27	1030.12	1111.82	1268.46	575.03	1388.16	1268.46	941.27	1331.57	1819.35	2061.24	2148.82	1540.37	2133.97
