	TCGA.ZF.AA4N.01A.11R.A38B.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.UC.A7PD.01A.11R.A352.07	TCGA.JW.A5VI.01A.11R.A28H.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A49M.01A.21R.A260.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.Z6.A9VB.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.LN.A7HZ.01A.31R.A354.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.DQ.7592.01A.11R.2081.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.D6.A4ZB.01A.11R.A24Z.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.A45Y.01A.11R.A24Z.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.56.7730.01A.11R.2125.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
C12orf76	275.28	212.78	358.54	157.68	198.47	201.25	285.03	120.94	108.9	283.05	175.07	163.28	68.55	134.3	253.23	255.0	156.59	249.73	269.6	293.07	149.12	159.9	149.12	206.94	76.17	234.57	279.14	211.31	329.84	145.02	85.82	339.14	341.51	242.88	624.99	59.97	170.25	255.0	314.17	532.74	244.57	679.29	198.47	351.14	358.54	412.0	289.02	236.21	389.72	307.69	208.38	305.55	140.04	74.06	265.87	187.71	112.77	118.43	98.04	68.55	111.21	123.5	137.14	111.99	96.68	149.12	76.71	137.14	108.14	88.88	115.16	314.17	87.65	208.38	110.43	172.65	74.58	100.83	190.34	45.21	237.86	117.6	131.51	236.21	165.57	97.36	197.09	78.89	163.28	217.27	134.3	221.86	98.04	124.37	301.33	217.27	103.69	212.78	127.0	104.42	95.34	120.94	116.78	167.9	167.9	88.26	85.82	117.6	182.55	236.21	256.78	90.77	119.26	199.85	85.22	195.72	92.05	102.97	114.36	195.72	143.01	127.89	102.25	205.5	78.34	351.14	128.79	172.65	144.01	89.51	104.42	221.86	65.26	343.89	262.2	96.01	96.01	129.69	121.79	129.69	77.25	80.01	153.34	137.14	157.68	98.04	119.26	141.02	90.14	90.14	0.44	384.34	438.59	346.29	343.89	76.71	57.89
C16orf59	312.0	104.42	115.97	287.01	299.25	143.01	132.44	255.0	147.06	223.41	172.65	115.16	193.01	251.48	260.38	423.61	412.0	343.89	323.03	329.84	435.55	460.44	177.53	435.55	376.41	303.44	511.0	264.03	289.02	96.68	67.12	358.54	323.03	241.19	665.29	36.53	181.28	145.02	371.22	269.6	406.31	100.13	961.07	511.0	435.55	98.73	607.87	194.36	426.57	409.15	157.68	229.72	129.69	84.63	229.72	25.35	113.56	94.67	100.83	47.5	39.5	81.14	299.25	78.34	48.18	144.01	157.68	211.31	167.9	25.35	69.52	197.09	180.02	289.02	101.54	142.01	75.64	113.56	76.71	40.64	157.68	65.72	173.85	78.89	102.25	74.58	109.66	150.17	92.7	153.34	148.09	169.07	73.54	127.89	224.97	191.67	145.02	150.17	229.72	49.21	44.25	105.89	156.59	127.89	163.28	52.45	52.08	105.15	161.02	307.69	206.94	138.1	132.44	320.8	111.21	52.08	110.43	74.06	47.17	251.48	197.09	92.7	80.01	176.29	128.79	131.51	112.77	171.45	166.73	195.72	118.43	287.01	89.51	224.97	275.28	119.26	84.63	228.13	246.28	454.09	25.72	120.94	106.63	73.03	99.43	126.12	96.68	412.0	109.66	50.98	0.0	109.66	381.68	403.5	441.64	45.53	7.51
C17orf53	167.9	61.25	147.06	163.28	264.03	239.52	150.17	164.42	119.26	175.07	85.82	189.02	90.14	241.19	102.97	281.09	285.03	134.3	316.37	341.51	279.14	197.09	124.37	343.89	291.04	343.89	406.31	954.43	226.54	314.17	201.25	289.02	409.15	483.38	785.88	173.85	220.32	215.77	947.83	397.93	693.58	92.7	693.58	409.15	647.07	447.82	728.11	309.83	555.41	642.59	718.08	128.79	223.41	38.67	221.86	14.24	79.45	114.36	57.08	50.63	29.91	59.55	202.66	35.0	83.45	101.54	69.03	105.15	143.01	39.22	59.55	231.32	152.28	150.17	73.54	101.54	94.01	47.17	53.95	10.0	102.97	89.51	82.87	30.34	102.97	66.18	65.72	356.05	42.41	103.69	80.01	92.05	36.53	50.63	81.14	139.07	131.51	81.71	100.83	40.64	77.25	69.03	65.26	101.54	60.82	65.26	53.57	80.01	82.29	260.38	180.02	76.17	118.43	194.36	60.39	48.18	47.84	43.32	46.18	256.78	90.77	111.99	76.17	198.47	164.42	115.97	117.6	94.67	68.55	221.86	61.25	176.29	57.49	123.5	181.28	94.01	59.97	120.94	98.73	139.07	41.81	73.03	82.87	113.56	161.02	61.25	35.76	130.6	45.53	55.89	0.38	146.03	162.14	269.6	309.83	145.02	13.83
C1orf63	1594.73	511.0	934.76	708.18	5292.48	607.87	1277.29	529.06	1001.93	674.59	698.41	743.43	607.87	890.44	3419.52	2119.22	1023.0	2240.11	2555.58	1001.93	1628.26	842.36	1104.13	684.02	1008.9	1233.75	2451.44	1208.34	2018.8	1447.15	1331.57	2468.49	988.12	1477.58	2468.49	2384.37	1369.04	2997.45	1427.22	3168.41	1066.48	2855.44	2271.4	2061.24	2434.5	2384.37	1242.34	1519.15	915.51	2090.03	2119.22	1457.23	368.65	309.83	780.44	256.78	825.0	303.44	543.96	148.09	791.35	1175.27	890.44	231.32	223.41	1757.34	928.3	470.14	167.9	147.06	363.56	854.13	137.14	1447.15	281.09	454.09	118.43	775.05	1051.79	915.51	759.08	1044.52	842.36	1175.27	620.67	204.07	159.9	132.44	316.37	591.22	332.14	237.86	400.71	665.29	1407.55	490.14	373.81	1096.5	229.72	169.07	353.59	915.51	277.2	392.44	529.06	244.57	246.28	842.36	1096.5	748.61	262.2	323.03	348.71	830.75	651.58	1250.98	281.09	603.67	507.46	733.19	389.72	336.79	830.75	1397.83	90.77	1628.26	307.69	819.3	1015.93	1037.29	220.32	607.87	123.5	961.07	947.83	318.57	902.89	255.0	674.59	291.04	146.03	206.94	389.72	1870.53	571.05	884.29	379.04	397.93	500.46	164.42	1.66	1167.14	1685.71	954.43	1233.75	159.9	150.17
C22orf39	444.72	299.25	307.69	307.69	688.78	295.11	287.01	346.29	329.84	567.1	327.56	255.0	132.44	400.71	595.34	624.99	209.84	540.19	480.04	543.96	460.44	529.06	307.69	373.81	429.54	595.34	802.41	708.18	647.07	314.17	441.64	753.83	525.39	423.61	412.0	343.89	483.38	371.22	679.29	651.58	406.31	769.69	791.35	551.56	529.06	547.75	638.15	728.11	1051.79	493.56	836.53	438.59	334.46	305.55	2104.58	307.69	262.2	237.86	211.31	253.23	251.48	231.32	279.14	199.85	154.42	547.75	309.83	297.17	180.02	351.14	486.75	463.65	567.1	555.41	244.57	293.07	205.5	217.27	320.8	163.28	251.48	197.09	249.73	406.31	163.28	307.69	426.57	307.69	325.29	297.17	279.14	414.87	293.07	301.33	780.44	551.56	363.56	429.54	269.6	198.47	237.86	248.0	293.07	204.07	325.29	205.5	158.79	223.41	291.04	381.68	224.97	147.06	181.28	336.79	234.57	379.04	447.82	253.23	271.48	293.07	293.07	269.6	287.01	521.76	182.55	409.15	226.54	423.61	406.31	248.0	202.66	312.0	177.53	620.67	819.3	246.28	264.03	441.64	171.45	384.34	202.66	277.2	253.23	244.57	293.07	241.19	204.07	624.99	351.14	334.46	0.55	511.0	607.87	785.88	954.43	279.14	163.28
C5orf54	55.89	19.53	94.67	43.32	58.71	90.77	55.89	23.08	17.77	49.21	53.19	38.67	33.54	17.51	202.66	76.17	45.53	73.03	140.04	82.87	86.43	50.63	77.79	21.94	139.07	88.88	37.05	103.69	28.04	22.75	36.27	65.26	55.1	63.89	256.78	37.85	36.79	85.82	98.73	172.65	27.25	150.17	130.6	88.88	100.83	73.54	72.01	72.52	59.55	66.65	65.26	186.4	43.63	13.32	62.56	43.32	28.24	36.01	21.32	37.05	12.83	29.91	24.63	18.84	17.13	31.9	34.51	48.87	11.91	12.45	26.47	59.13	25.17	48.18	18.03	26.67	11.91	20.41	36.27	7.11	78.34	12.09	15.91	55.49	22.43	29.7	35.76	19.97	40.93	24.81	41.81	32.13	11.82	14.89	75.64	32.82	13.32	50.63	15.34	18.56	6.16	26.47	28.45	26.28	13.22	21.47	24.63	29.48	81.14	38.95	55.89	5.63	35.0	47.84	21.16	55.49	31.9	31.9	26.67	37.32	35.25	26.47	24.46	59.97	5.23	72.52	38.4	20.11	36.27	27.84	14.67	23.93	4.1	33.3	82.87	44.89	32.36	54.33	27.44	55.49	7.0	29.7	32.13	15.68	30.12	19.53	33.54	49.56	21.32	10.79	0.0	70.01	199.85	52.08	98.04	9.06	7.22
C6ORF50	6.89	0.75	10.31	4.98	80.01	15.0	13.52	8.58	3.96	4.62	2.43	4.66	6.46	2.01	34.02	18.16	8.19	9.27	26.47	13.83	14.24	3.89	11.55	3.26	5.19	29.48	12.36	11.91	19.39	3.92	15.8	33.3	40.07	37.05	24.11	15.91	30.78	70.01	60.82	67.59	41.81	99.43	30.78	114.36	46.18	16.15	23.25	14.78	22.59	22.75	31.67	29.91	2.23	1.83	9.48	0.87	2.78	1.28	2.71	0.96	12.09	8.0	5.06	2.34	0.0	10.88	6.11	3.17	1.27	0.0	3.03	2.53	0.79	7.51	4.31	0.85	1.53	7.28	9.48	4.94	5.87	5.92	5.54	16.39	3.29	4.31	0.83	1.38	3.29	4.78	2.29	2.32	0.88	2.56	15.56	4.39	4.39	5.28	0.0	0.0	3.03	5.77	0.0	3.96	6.57	2.68	0.0	2.81	4.54	8.06	0.83	0.83	0.8	4.35	3.17	12.45	1.46	5.73	3.23	3.72	3.2	1.43	1.83	12.27	1.85	15.56	1.75	3.08	8.51	3.92	0.88	3.41	1.28	4.62	8.65	1.35	0.89	0.0	6.31	1.14	0.0	4.46	4.24	5.77	3.08	2.36	0.93	2.84	2.46	0.0	0.62	7.75	201.25	8.85	34.75	0.0	0.0
C9orf142	2193.99	947.83	2434.5	1427.22	4181.07	2075.59	3874.05	1151.06	447.82	3564.78	1397.83	595.34	1143.1	1806.78	2682.69	4671.57	2224.63	2502.97	2417.67	2485.67	3103.19	2400.97	1572.76	1447.15	1331.57	3018.3	1487.87	1857.6	3794.3	1437.15	1745.2	1757.34	2555.58	1277.29	3515.68	1583.71	1427.22	2224.63	1819.35	3103.19	2835.7	2417.67	2609.3	2178.83	1044.52	1583.71	4152.18	808.0	1870.53	2573.36	1819.35	2224.63	915.51	866.07	3235.01	674.59	1015.93	1143.1	1167.14	698.41	417.77	1159.07	1519.15	429.54	629.35	1104.13	1216.75	1127.35	688.78	723.08	1073.91	1340.84	981.29	1844.76	567.1	780.44	775.05	656.11	1331.57	872.1	1191.69	1359.57	1030.12	2193.99	620.67	878.17	599.49	441.64	921.88	1268.46	1467.37	483.38	769.69	967.76	4123.49	1628.26	1159.07	1909.85	1208.34	525.39	1167.14	743.43	947.83	679.29	1832.01	511.0	540.19	802.41	1340.84	1378.57	688.78	928.3	967.76	2855.44	928.3	866.07	713.11	703.28	713.11	1216.75	860.08	748.61	1175.27	1870.53	708.18	2758.13	896.64	1540.37	1757.34	1359.57	684.02	1313.23	583.07	1745.2	1508.65	1051.79	417.77	775.05	1119.56	1199.98	612.11	698.41	830.75	1519.15	974.5	441.64	624.99	1477.58	1407.55	759.08	0.67	915.51	2520.38	2303.12	2240.11	1540.37	318.57
C9orf163	1.97	1.79	10.47	2.32	39.79	13.93	23.42	5.02	1.08	3.66	3.86	0.79	10.31	1.17	17.0	8.85	13.12	13.22	15.68	15.11	11.04	2.32	5.82	3.03	8.13	15.8	4.74	4.21	9.13	2.39	3.14	5.5	8.65	6.67	15.22	2.58	3.11	9.78	10.71	21.01	13.42	15.45	3.53	3.41	8.92	3.26	10.24	5.92	2.53	14.35	5.59	10.71	1.77	2.25	8.78	1.87	2.25	3.29	4.17	2.18	1.95	5.45	5.32	3.96	2.39	10.96	6.36	4.98	4.35	2.01	2.92	4.62	7.94	3.92	1.31	3.41	2.63	4.46	10.08	3.63	7.51	2.58	8.65	8.92	4.78	3.14	2.12	1.89	3.69	3.23	3.47	3.08	1.93	4.28	3.47	2.1	3.32	3.17	2.41	0.64	1.1	1.89	5.96	5.59	0.0	2.56	0.59	2.27	4.13	7.17	1.71	0.95	2.41	4.98	3.0	4.58	2.51	2.89	2.66	0.0	0.99	5.54	2.66	10.96	2.27	11.47	3.69	11.38	6.06	2.48	1.48	3.89	0.95	7.46	3.99	3.06	1.07	2.51	2.56	3.5	0.69	2.53	5.59	0.96	1.73	5.28	5.32	3.38	1.55	1.19	0.16	3.72	23.76	12.55	7.0	0.33	0.54
CALML4	205.5	146.03	189.02	220.32	426.57	198.47	201.25	228.13	130.6	291.04	241.19	107.38	135.24	262.2	206.94	325.29	363.56	363.56	775.05	262.2	567.1	199.85	191.67	299.25	454.09	275.28	208.38	351.14	381.68	194.36	295.11	567.1	373.81	295.11	470.14	414.87	309.83	500.46	500.46	660.68	571.05	420.68	647.07	435.55	854.13	381.68	309.83	463.65	186.4	473.41	412.0	186.4	110.43	71.5	137.14	53.57	143.01	91.41	92.05	39.79	67.59	119.26	186.4	73.54	46.84	147.06	122.64	223.41	87.65	80.01	105.15	134.3	118.43	336.79	98.73	121.79	67.59	183.82	94.67	96.01	143.01	133.36	181.28	139.07	139.07	126.12	91.41	79.45	68.55	98.04	145.02	62.56	127.89	137.14	244.57	279.14	124.37	108.14	176.29	84.04	84.04	114.36	96.68	99.43	129.69	77.25	53.57	105.15	167.9	234.57	127.0	121.79	53.57	161.02	79.45	127.89	67.59	111.21	103.69	123.5	96.01	138.1	108.14	253.23	88.88	239.52	63.45	127.0	241.19	273.37	96.68	103.69	110.43	128.79	201.25	110.43	84.63	110.43	169.07	100.13	58.71	81.14	108.14	178.77	128.79	155.5	75.64	120.94	111.21	60.82	0.47	208.38	351.14	343.89	297.17	46.18	121.79
CCDC130	651.58	432.53	825.0	423.61	2104.58	490.14	688.78	612.11	470.14	473.41	309.83	285.03	417.77	343.89	748.61	1216.75	769.69	1313.23	1183.45	638.15	457.25	420.68	429.54	543.96	647.07	599.49	1242.34	1030.12	1551.09	988.12	825.0	1519.15	1322.37	1081.39	1417.35	988.12	1127.35	1896.65	1225.22	1662.49	1277.29	1757.34	1697.45	1806.78	1350.18	1001.93	1286.18	1617.0	1127.35	1378.57	1199.98	684.02	397.93	295.11	775.05	325.29	651.58	253.23	490.14	265.87	460.44	603.67	518.15	312.0	237.86	587.13	470.14	642.59	267.73	320.8	373.81	547.75	267.73	967.76	361.04	320.8	264.03	426.57	417.77	559.28	607.87	417.77	651.58	1096.5	291.04	283.05	277.2	346.29	246.28	486.75	387.02	320.8	426.57	665.29	1023.0	612.11	392.44	780.44	429.54	289.02	417.77	490.14	381.68	258.57	490.14	251.48	373.81	348.71	426.57	713.11	271.48	371.22	256.78	470.14	255.0	595.34	332.14	420.68	400.71	356.05	253.23	303.44	525.39	684.02	171.45	493.56	267.73	262.2	1044.52	571.05	301.33	400.71	132.44	441.64	559.28	312.0	334.46	371.22	381.68	341.51	339.14	325.29	320.8	503.95	305.55	417.77	327.56	660.68	381.68	279.14	1.19	854.13	2004.85	967.76	915.51	236.21	262.2
CDK3	181.28	55.49	186.4	126.12	961.07	76.17	211.31	93.35	57.89	105.15	74.58	40.36	100.83	109.66	441.64	271.48	231.32	397.93	379.04	122.64	158.79	105.89	66.65	182.55	217.27	119.26	117.6	118.43	246.28	24.11	40.36	258.57	134.3	100.83	232.94	176.29	120.94	162.14	217.27	348.71	215.77	190.34	409.15	348.71	295.11	291.04	148.09	277.2	116.78	81.14	267.73	244.57	34.26	26.67	221.86	9.63	87.65	17.13	50.63	19.97	45.85	141.02	111.99	18.97	31.67	122.64	60.82	75.64	51.71	16.51	35.0	77.25	16.51	265.87	22.1	40.07	20.26	55.89	69.52	69.52	127.0	42.11	94.01	193.01	64.8	24.11	44.25	20.56	22.92	48.87	71.0	23.59	59.97	80.57	232.94	197.09	48.87	127.0	39.79	22.43	26.1	65.72	20.41	40.93	37.05	19.53	14.78	58.71	77.79	118.43	37.85	20.11	17.51	50.27	50.27	120.94	39.79	55.1	33.3	34.02	54.33	34.51	67.12	220.32	18.43	151.22	24.11	81.71	195.72	187.71	24.63	56.28	9.78	67.59	202.66	39.79	33.54	22.26	87.03	34.51	25.72	25.72	41.22	54.72	19.68	84.04	29.7	96.68	24.81	19.68	0.97	143.01	441.64	346.29	441.64	22.92	3.2
CDPF1	312.0	98.73	258.57	185.11	262.2	175.07	120.94	102.25	121.79	255.0	104.42	189.02	73.03	169.07	163.28	218.79	110.43	108.9	150.17	182.55	226.54	181.28	98.73	140.04	161.02	224.97	229.72	409.15	521.76	376.41	363.56	323.03	277.2	269.6	262.2	138.1	204.07	246.28	206.94	217.27	165.57	275.28	262.2	241.19	205.5	373.81	303.44	157.68	395.18	258.57	226.54	208.38	79.45	61.25	309.83	91.41	103.69	126.12	182.55	66.65	101.54	115.16	104.42	65.26	92.7	80.01	120.1	166.73	60.82	93.35	121.79	171.45	38.95	130.6	163.28	96.68	78.89	74.06	88.26	63.0	121.79	118.43	134.3	206.94	59.13	151.22	80.01	58.3	108.9	120.94	99.43	91.41	127.89	169.07	289.02	159.9	144.01	264.03	180.02	107.38	146.03	88.88	143.01	69.52	156.59	51.71	32.36	115.16	124.37	197.09	204.07	79.45	54.72	198.47	94.01	177.53	169.07	137.14	111.99	237.86	142.01	98.04	138.1	265.87	74.06	248.0	111.21	123.5	361.04	136.19	76.71	180.02	115.16	170.25	301.33	107.38	110.43	244.57	111.99	348.71	62.12	101.54	127.89	127.89	124.37	133.36	81.14	209.84	165.57	81.14	0.15	283.05	373.81	341.51	389.72	99.43	55.1
CEP95	497.0	460.44	312.0	579.04	1427.22	616.37	571.05	414.87	514.56	381.68	366.09	363.56	460.44	753.83	669.92	921.88	503.95	842.36	934.76	567.1	708.18	503.95	366.09	432.53	435.55	665.29	684.02	753.83	603.67	435.55	591.22	1529.73	507.46	860.08	796.86	1104.13	934.76	1096.5	1088.92	1199.98	848.22	1674.06	1119.56	995.0	1437.15	819.3	791.35	866.07	995.0	607.87	995.0	555.41	251.48	287.01	616.37	116.78	447.82	173.85	329.84	99.43	346.29	514.56	511.0	191.67	209.84	348.71	241.19	323.03	358.54	133.36	153.34	454.09	241.19	651.58	220.32	255.0	111.99	361.04	476.71	450.94	351.14	409.15	447.82	536.45	314.17	183.82	301.33	153.34	147.06	214.27	249.73	154.42	320.8	457.25	708.18	473.41	466.88	486.75	480.04	148.09	273.37	283.05	177.53	303.44	403.5	214.27	164.42	275.28	368.65	500.46	228.13	297.17	228.13	497.0	189.02	368.65	141.02	297.17	171.45	253.23	303.44	285.03	301.33	521.76	218.79	633.73	159.9	441.64	511.0	591.22	156.59	633.73	167.9	438.59	660.68	339.14	269.6	309.83	297.17	318.57	141.02	177.53	214.27	595.34	228.13	414.87	153.34	483.38	206.94	143.01	0.78	616.37	2855.44	802.41	1304.15	164.42	403.5
CHTF18	603.67	226.54	279.14	698.41	703.28	325.29	764.36	473.41	503.95	629.35	269.6	256.78	351.14	753.83	915.51	1806.78	1242.34	1104.13	967.76	1151.06	1295.13	1037.29	392.44	860.08	995.0	941.27	1529.73	890.44	743.43	403.5	480.04	848.22	775.05	813.63	1806.78	152.28	612.11	1407.55	1233.75	1225.22	1151.06	603.67	2384.37	1540.37	1191.69	555.41	1529.73	679.29	624.99	813.63	693.58	679.29	379.04	114.36	366.09	88.26	414.87	214.27	303.44	185.11	334.46	314.17	559.28	139.07	299.25	409.15	397.93	373.81	332.14	129.69	189.02	480.04	825.0	902.89	332.14	361.04	100.13	221.86	190.34	148.09	318.57	182.55	320.8	473.41	232.94	429.54	231.32	237.86	246.28	320.8	466.88	320.8	283.05	435.55	967.76	309.83	400.71	438.59	346.29	143.01	248.0	277.2	291.04	314.17	620.67	151.22	185.11	215.77	414.87	688.78	476.71	293.07	309.83	743.43	195.72	239.52	205.5	291.04	220.32	476.71	414.87	191.67	234.57	543.96	366.09	363.56	253.23	476.71	450.94	395.18	309.83	529.06	232.94	312.0	759.08	211.31	187.71	612.11	525.39	1159.07	158.79	447.82	209.84	314.17	316.37	348.71	130.6	633.73	214.27	90.14	0.99	273.37	995.0	647.07	1030.12	111.21	14.45
