	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.132NY.2026.SM.5L3FM	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.13O3P.1326.SM.5K7Y8	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.QESD.0726.SM.4R1KQ	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.REY6.1426.SM.48FDK	GTEX.YB5K.0726.SM.5LU8R	GTEX.OIZI.1326.SM.3NB1B	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.RWS6.0726.SM.47JXI	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.X8HC.1526.SM.46MWD	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.T2IS.0926.SM.4DM5B	GTEX.Q2AH.1026.SM.48TZI	GTEX.RWSA.1326.SM.47JX9	GTEX.QCQG.0726.SM.48U1Z
B3GNT1	2004.85	409.15	928.3	934.76	620.67	669.92	769.69	361.04	753.83	616.37	819.3	1096.5	733.19	890.44	902.89	748.61	902.89	486.75	703.28	438.59	738.29	854.13	836.53	813.63	728.11	341.51	540.19	759.08	371.22	684.02	669.92	769.69	629.35	497.0	595.34	543.96	791.35	684.02	327.56	473.41	866.07	674.59	693.58	780.44	400.71	860.08	738.29	435.55	423.61	934.76	429.54	607.87	633.73
C11orf49	642.59	395.18	429.54	412.0	426.57	748.61	669.92	470.14	638.15	521.76	591.22	1037.29	616.37	674.59	796.86	769.69	684.02	521.76	583.07	341.51	830.75	733.19	693.58	656.11	547.75	329.84	466.88	656.11	361.04	529.06	571.05	587.13	540.19	525.39	514.56	435.55	575.03	583.07	336.79	366.09	514.56	579.04	591.22	698.41	543.96	693.58	607.87	412.0	426.57	536.45	473.41	540.19	587.13
C15orf56	1.62	0.61	3.06	1.41	6.21	5.19	6.01	0.91	3.79	1.66	5.92	4.9	2.58	1.79	1.87	8.92	5.19	1.71	7.4	0.0	7.51	15.8	3.79	3.53	9.34	1.25	5.19	7.57	0.0	7.22	5.06	0.96	3.06	1.73	2.18	4.17	6.89	2.29	0.96	1.38	1.85	4.94	0.99	8.99	0.0	7.0	6.67	4.5	3.72	12.55	0.96	5.68	1.0
C16orf80	620.67	563.18	420.68	376.41	429.54	616.37	764.36	169.07	674.59	414.87	559.28	785.88	497.0	759.08	647.07	579.04	802.41	412.0	665.29	366.09	688.78	769.69	713.11	334.46	486.75	293.07	295.11	543.96	406.31	392.44	571.05	497.0	457.25	447.82	356.05	379.04	629.35	532.74	214.27	301.33	376.41	409.15	656.11	688.78	348.71	764.36	583.07	361.04	287.01	703.28	291.04	351.14	381.68
C3orf33	114.36	40.07	67.12	53.95	70.51	139.07	171.45	98.73	117.6	74.06	111.21	118.43	123.5	91.41	156.59	142.01	152.28	100.83	112.77	63.0	99.43	118.43	91.41	81.71	142.01	63.89	88.88	116.78	78.89	117.6	115.16	105.89	113.56	69.52	87.65	90.14	159.9	124.37	89.51	66.18	76.71	63.89	96.68	93.35	66.18	166.73	109.66	88.88	72.52	132.44	59.55	83.45	69.03
CABP1	191.67	20.11	33.78	37.32	76.71	206.94	153.34	28.45	201.25	106.63	172.65	133.36	59.97	128.79	57.08	195.72	68.55	72.52	214.27	28.65	151.22	334.46	206.94	82.29	493.56	64.34	65.72	183.82	28.86	46.18	132.44	158.79	76.71	42.71	33.78	52.45	159.9	215.77	19.11	30.12	183.82	249.73	162.14	253.23	17.25	208.38	97.36	23.76	81.14	273.37	80.01	78.34	42.71
CAPN5	217.27	118.43	323.03	189.02	341.51	698.41	1001.93	223.41	409.15	228.13	551.56	633.73	486.75	629.35	802.41	543.96	825.0	190.34	493.56	109.66	287.01	551.56	647.07	269.6	603.67	189.02	182.55	361.04	166.73	389.72	412.0	314.17	186.4	232.94	90.14	204.07	764.36	397.93	232.94	76.71	503.95	312.0	460.44	381.68	209.84	633.73	441.64	122.64	59.13	403.5	82.87	348.71	299.25
CC2D2A	1628.26	718.08	915.51	1277.29	1023.0	896.64	791.35	316.37	743.43	587.13	791.35	974.5	753.83	642.59	511.0	884.29	836.53	417.77	595.34	198.47	633.73	748.61	941.27	842.36	854.13	161.02	543.96	703.28	397.93	748.61	693.58	764.36	397.93	237.86	159.9	351.14	511.0	785.88	197.09	153.34	620.67	947.83	532.74	813.63	271.48	842.36	642.59	195.72	218.79	808.0	273.37	848.22	249.73
CCDC115	947.83	450.94	563.18	490.14	595.34	866.07	738.29	251.48	708.18	559.28	743.43	1037.29	642.59	507.46	723.08	679.29	759.08	426.57	688.78	211.31	679.29	813.63	860.08	454.09	713.11	239.52	432.53	728.11	343.89	629.35	647.07	579.04	457.25	381.68	368.65	511.0	688.78	473.41	242.88	395.18	525.39	532.74	555.41	693.58	397.93	808.0	684.02	406.31	289.02	780.44	323.03	620.67	406.31
CCDC8	190.34	92.05	151.22	142.01	56.28	201.25	299.25	22.1	217.27	73.54	159.9	242.88	62.56	249.73	256.78	125.24	334.46	58.71	106.63	31.22	85.22	166.73	178.77	112.77	136.19	55.1	52.08	172.65	31.22	77.25	162.14	116.78	99.43	60.82	57.08	80.01	273.37	115.97	20.11	24.11	75.11	32.59	159.9	98.73	67.59	164.42	88.26	44.57	49.91	191.67	32.82	127.0	131.51
CCDC89	29.7	8.99	25.91	12.0	10.96	38.95	24.63	6.89	16.15	3.06	31.22	49.91	14.89	22.1	43.02	24.11	42.41	6.89	17.51	4.06	14.45	22.75	16.27	13.42	16.15	3.0	7.69	24.63	2.68	8.78	22.59	8.13	10.08	6.62	7.94	13.32	29.7	10.47	0.91	3.72	8.78	14.67	20.11	26.67	9.7	30.56	16.15	0.0	3.92	19.11	6.94	13.12	9.78
CD276	1295.13	1001.93	1096.5	708.18	518.15	1572.76	1709.26	688.78	1331.57	511.0	1561.89	1757.34	1037.29	1909.85	1369.04	1216.75	1594.73	674.59	1322.37	813.63	1340.84	1806.78	1427.22	1001.93	1674.06	656.11	555.41	1111.82	547.75	1143.1	1119.56	954.43	967.76	947.83	551.56	753.83	1487.87	1175.27	454.09	490.14	954.43	1001.93	1628.26	1199.98	796.86	1551.09	1233.75	493.56	476.71	1437.15	293.07	981.29	642.59
CEMP1	130.6	67.59	49.21	122.64	59.13	660.68	273.37	63.45	329.84	63.89	148.09	307.69	138.1	95.34	316.37	246.28	281.09	106.63	182.55	105.89	136.19	220.32	103.69	33.54	152.28	52.08	88.26	199.85	43.02	72.01	201.25	204.07	104.42	97.36	48.18	62.56	239.52	271.48	51.71	53.19	194.36	144.01	94.01	101.54	54.72	146.03	152.28	88.26	59.97	173.85	226.54	50.27	126.12
CERCAM	808.0	708.18	1286.18	587.13	656.11	1857.6	2976.74	624.99	1322.37	518.15	1191.69	1991.0	1088.92	1487.87	1709.26	1304.15	1991.0	674.59	1359.57	412.0	921.88	1781.89	1540.37	830.75	1191.69	423.61	409.15	1487.87	361.04	967.76	1135.2	808.0	591.22	309.83	236.21	493.56	1407.55	1175.27	536.45	262.2	1175.27	764.36	1096.5	1183.45	460.44	1225.22	896.64	536.45	307.69	954.43	327.56	1104.13	426.57
CLSTN1	2271.4	3280.18	1909.85	1963.57	1709.26	3081.75	3395.89	1175.27	2976.74	1286.18	2720.15	3491.39	1991.0	2645.74	3742.05	2434.5	3190.46	1477.58	2739.08	1008.9	2664.15	3039.3	2935.74	1806.78	2835.7	595.34	1199.98	2520.38	775.05	1896.65	2485.67	2384.37	2004.85	1008.9	934.76	1119.56	3081.75	2319.15	1051.79	934.76	2004.85	2104.58	2400.97	2351.53	1023.0	3325.99	2018.8	1127.35	1066.48	2835.7	995.0	2047.0	1081.39
CMBL	575.03	96.68	110.43	157.68	197.09	555.41	567.1	138.1	463.65	140.04	525.39	616.37	476.71	395.18	583.07	638.15	497.0	111.99	409.15	145.02	567.1	921.88	642.59	493.56	536.45	102.25	205.5	507.46	176.29	587.13	733.19	395.18	438.59	127.0	124.37	248.0	490.14	320.8	91.41	172.65	642.59	486.75	329.84	591.22	128.79	796.86	490.14	136.19	215.77	748.61	426.57	603.67	295.11
CNPY4	688.78	470.14	607.87	435.55	327.56	693.58	438.59	201.25	511.0	237.86	511.0	638.15	412.0	599.49	808.0	486.75	583.07	236.21	480.04	229.72	429.54	500.46	318.57	348.71	454.09	123.5	194.36	463.65	128.79	348.71	403.5	395.18	368.65	175.07	204.07	128.79	518.15	444.72	82.87	158.79	289.02	246.28	438.59	483.38	209.84	583.07	332.14	155.5	187.71	480.04	122.64	305.55	178.77
CXCL12	5041.77	3716.2	6652.97	3146.52	2485.67	16843.62	22225.61	3515.68	6471.02	1806.78	6983.79	14262.1	4512.4	3901.01	12764.83	6887.62	17927.91	1794.29	4607.24	2090.03	3955.48	5872.48	6887.62	2351.53	5995.9	1757.34	2104.58	4419.52	1111.82	4671.57	6337.83	4903.87	2485.67	1167.14	974.5	1286.18	11584.24	4671.57	2485.67	665.29	2573.36	2417.67	4010.71	5517.27	1498.22	11267.44	3716.2	1583.71	915.51	3168.41	1268.46	3419.52	1844.76
CYB5D2	363.56	183.82	323.03	193.01	301.33	514.56	432.53	175.07	271.48	248.0	429.54	429.54	295.11	166.73	368.65	332.14	420.68	204.07	368.65	82.87	307.69	329.84	387.02	320.8	281.09	176.29	217.27	293.07	197.09	299.25	373.81	305.55	231.32	217.27	191.67	476.71	395.18	289.02	153.34	195.72	271.48	262.2	156.59	457.25	305.55	373.81	316.37	193.01	244.57	371.22	198.47	273.37	303.44
CYP27A1	591.22	473.41	775.05	660.68	521.76	2240.11	2555.58	743.43	1477.58	934.76	1457.23	2240.11	1127.35	836.53	1583.71	1167.14	2351.53	921.88	1216.75	543.96	981.29	1023.0	1508.65	909.17	1199.98	764.36	656.11	1233.75	343.89	947.83	1023.0	1216.75	738.29	460.44	447.82	503.95	1583.71	753.83	775.05	371.22	934.76	896.64	753.83	915.51	559.28	1498.22	825.0	802.41	341.51	1088.92	638.15	753.83	480.04
DBP	1662.49	547.75	70.51	231.32	348.71	1769.57	4328.55	72.01	2816.11	366.09	441.64	1225.22	796.86	255.0	3515.68	2739.08	2119.22	138.1	366.09	85.82	1487.87	2255.7	2875.3	146.03	2664.15	34.26	234.57	323.03	150.17	743.43	346.29	221.86	217.27	28.45	87.65	148.09	476.71	195.72	64.8	48.18	713.11	607.87	195.72	373.81	83.45	511.0	450.94	89.51	68.07	529.06	65.72	166.73	55.89
DCX	1.73	3.03	2.48	3.92	1.85	9.34	1.51	0.52	1.06	0.91	8.38	3.82	4.39	13.32	1.48	4.7	7.63	2.18	5.96	0.0	2.36	8.13	3.92	1.0	4.43	1.28	0.55	3.99	0.0	3.14	3.96	2.29	1.85	1.79	0.0	0.58	4.82	3.29	1.43	1.43	3.26	1.93	4.66	3.79	0.51	7.34	3.76	0.93	0.53	11.47	0.0	3.69	0.57
DKFZP434H0512	3.5	3.38	2.03	3.08	3.5	6.06	1.95	2.05	3.5	0.0	3.17	7.69	3.47	3.86	8.85	5.59	4.24	2.39	5.63	0.0	4.7	12.36	10.08	3.59	13.72	1.03	2.53	6.73	0.0	2.16	1.11	2.53	4.58	2.1	0.4	3.41	2.68	4.74	0.0	2.18	2.25	5.41	0.0	8.92	1.97	7.46	2.63	0.74	0.0	4.46	0.78	4.28	4.78
DNASE2	1051.79	825.0	595.34	536.45	532.74	769.69	836.53	242.88	633.73	536.45	647.07	1008.9	551.56	607.87	669.92	669.92	808.0	457.25	540.19	255.0	684.02	866.07	708.18	665.29	620.67	285.03	514.56	718.08	336.79	583.07	642.59	647.07	507.46	341.51	429.54	463.65	713.11	567.1	206.94	493.56	769.69	543.96	525.39	656.11	392.44	753.83	698.41	403.5	332.14	743.43	460.44	733.19	497.0
DPT	18689.27	3716.2	5555.65	5711.87	14561.8	26614.89	32315.87	6337.83	15180.22	4010.71	11992.79	26800.01	7331.05	12244.81	19754.96	9876.98	34158.52	4607.24	8658.09	2664.15	8479.89	12676.65	9740.98	6652.97	12076.21	3794.3	4268.94	9876.98	2434.5	6887.62	8963.45	7485.11	7537.18	3060.45	1709.26	1896.65	18431.96	6983.79	6250.56	1806.78	5041.77	2875.3	6426.31	8022.41	2178.83	17437.64	4802.93	3639.7	2720.15	5479.15	2104.58	7485.11	1143.1
EFS	674.59	902.89	819.3	769.69	547.75	1639.59	2319.15	182.55	1175.27	441.64	1697.45	1119.56	1081.39	1369.04	2104.58	995.0	2018.8	638.15	2032.85	197.09	723.08	902.89	1175.27	532.74	1313.23	154.42	297.17	1551.09	223.41	748.61	1151.06	1001.93	529.06	232.94	90.77	237.86	1119.56	1216.75	232.94	164.42	728.11	785.88	988.12	1143.1	262.2	1561.89	974.5	444.72	285.03	1508.65	118.43	583.07	267.73
EHMT2	1023.0	830.75	780.44	743.43	796.86	1487.87	1674.06	356.05	1151.06	791.35	1407.55	1407.55	909.17	1369.04	1991.0	1151.06	1467.37	703.28	1662.49	595.34	1159.07	1572.76	1639.59	693.58	1639.59	358.54	656.11	1277.29	450.94	836.53	1250.98	1059.11	872.1	665.29	567.1	414.87	1183.45	1023.0	329.84	486.75	878.17	866.07	1277.29	1259.69	748.61	1457.23	921.88	518.15	521.76	1685.71	483.38	854.13	497.0
ENPP6	16.27	12.74	32.36	32.13	14.89	143.01	195.72	36.53	95.34	11.55	111.99	166.73	94.01	49.21	18.03	60.39	191.67	13.83	40.36	7.11	22.1	97.36	87.65	27.44	63.45	18.84	7.94	78.89	13.83	55.49	57.49	37.32	26.67	10.79	8.99	19.25	122.64	35.25	30.78	4.21	63.0	29.48	39.22	100.83	5.59	113.56	45.85	31.22	13.62	75.64	12.55	57.89	26.28
EPB41L1	665.29	429.54	651.58	728.11	825.0	1427.22	1551.09	358.54	1037.29	373.81	1096.5	1242.34	909.17	813.63	1199.98	1066.48	1437.15	412.0	928.3	193.01	583.07	1427.22	988.12	483.38	842.36	339.14	361.04	1059.11	480.04	1015.93	1175.27	848.22	356.05	218.79	201.25	318.57	1143.1	629.35	289.02	476.71	1216.75	974.5	698.41	1001.93	339.14	988.12	1044.52	314.17	476.71	1250.98	486.75	775.05	339.14
FAIM2	470.14	169.07	518.15	406.31	334.46	660.68	769.69	199.85	224.97	41.81	397.93	529.06	384.34	559.28	258.57	633.73	239.52	59.55	211.31	44.25	195.72	281.09	267.73	285.03	157.68	193.01	43.94	454.09	40.36	325.29	221.86	295.11	137.14	95.34	55.49	63.89	540.19	239.52	88.26	44.57	256.78	144.01	189.02	267.73	81.14	647.07	460.44	76.71	38.4	497.0	31.67	281.09	19.53
FAM161B	173.85	53.19	76.71	92.7	85.82	190.34	187.71	41.22	137.14	26.67	131.51	181.28	89.51	119.26	275.28	195.72	161.02	107.38	108.9	97.36	142.01	163.28	124.37	39.5	212.78	28.86	28.45	111.99	29.7	83.45	79.45	63.0	172.65	51.35	53.95	49.91	128.79	115.16	95.34	71.5	63.0	58.71	71.0	149.12	34.51	204.07	122.64	34.02	55.49	135.24	112.77	84.04	66.18
FAM186A	4.28	0.52	2.01	2.66	4.35	15.34	10.71	2.68	12.64	3.0	19.11	10.88	12.09	12.64	18.7	11.38	15.91	6.84	19.39	2.92	8.25	8.92	13.52	2.51	24.63	0.42	4.46	16.75	4.31	9.13	7.06	9.2	18.7	2.36	0.0	2.63	11.47	18.97	2.46	2.07	9.93	10.0	11.55	27.05	0.78	13.93	4.62	6.11	1.58	14.45	4.86	7.75	1.33
FAXDC2	4671.57	329.84	1127.35	698.41	1111.82	1487.87	1208.34	511.0	1096.5	679.29	902.89	1216.75	780.44	507.46	1259.69	1044.52	1135.2	633.73	813.63	336.79	638.15	1111.82	1259.69	1059.11	842.36	110.43	587.13	1151.06	283.05	884.29	616.37	974.5	583.07	366.09	242.88	633.73	854.13	591.22	348.71	277.2	967.76	830.75	555.41	921.88	343.89	1259.69	503.95	470.14	303.44	1208.34	379.04	679.29	277.2
FLNA	1634025.56	513497.31	811368.76	1393227.06	649962.87	149521.18	187950.38	141455.6	336441.4	220434.95	263966.36	239554.43	237899.7	275175.93	215898.44	236256.4	175363.84	204252.32	322736.12	114897.47	311742.51	288856.81	280957.98	226632.25	313910.86	100719.65	207103.59	239554.43	191899.64	239554.43	241220.67	275175.93	237899.7	142439.51	92680.9	179048.63	244588.0	299043.36	208544.12	130165.62	262143.0	334117.42	290865.98	275175.93	124863.17	177811.84	258533.99	169390.27	85283.74	200048.85	139508.13	239554.43	200048.85
FLT3LG	693.58	543.96	583.07	473.41	463.65	1151.06	1467.37	555.41	669.92	518.15	825.0	1159.07	624.99	708.18	1191.69	921.88	1037.29	507.46	884.29	376.41	872.1	1073.91	878.17	579.04	708.18	480.04	460.44	813.63	444.72	529.06	753.83	599.49	406.31	341.51	420.68	336.79	796.86	684.02	708.18	457.25	638.15	497.0	688.78	571.05	426.57	802.41	688.78	559.28	351.14	693.58	718.08	591.22	356.05
FLYWCH2	674.59	713.11	575.03	543.96	551.56	866.07	1059.11	571.05	743.43	579.04	1088.92	1519.15	759.08	1104.13	1437.15	915.51	1199.98	575.03	1001.93	872.1	1073.91	1191.69	1233.75	703.28	961.07	525.39	438.59	896.64	476.71	638.15	819.3	825.0	728.11	521.76	660.68	400.71	1250.98	669.92	525.39	323.03	921.88	684.02	995.0	947.83	503.95	961.07	1023.0	684.02	277.2	878.17	312.0	497.0	607.87
FRMPD4	674.59	4.9	15.45	11.47	2.81	12.93	9.93	0.47	11.13	0.82	8.85	9.13	7.51	3.32	12.36	5.77	9.63	0.83	7.51	1.13	2.73	5.36	6.84	5.15	13.22	3.96	2.32	5.96	1.31	6.67	6.89	6.73	4.06	3.23	1.22	2.46	11.91	5.92	1.97	0.88	4.17	3.5	6.57	6.67	3.96	13.12	7.28	2.2	1.19	6.57	1.23	2.71	1.68
FUCA1	234.57	246.28	384.34	244.57	351.14	603.67	665.29	177.53	414.87	353.59	356.05	974.5	476.71	323.03	457.25	447.82	796.86	277.2	242.88	133.36	460.44	432.53	591.22	363.56	353.59	161.02	332.14	420.68	136.19	486.75	429.54	327.56	251.48	301.33	297.17	536.45	507.46	295.11	106.63	301.33	297.17	236.21	341.51	463.65	237.86	591.22	423.61	271.48	215.77	500.46	177.53	376.41	412.0
GAL3ST4	389.72	283.05	137.14	242.88	98.73	351.14	389.72	41.81	204.07	57.08	236.21	395.18	212.78	226.54	305.55	249.73	400.71	92.7	211.31	35.25	163.28	236.21	223.41	141.02	236.21	31.22	76.71	206.94	23.76	173.85	242.88	164.42	115.97	77.25	34.75	89.51	356.05	260.38	30.56	62.56	125.24	177.53	279.14	387.02	43.94	412.0	251.48	53.57	77.79	295.11	101.54	143.01	198.47
GALM	271.48	133.36	133.36	146.03	144.01	368.65	387.02	52.08	229.72	63.0	197.09	450.94	256.78	229.72	295.11	312.0	289.02	95.34	156.59	73.54	269.6	511.0	457.25	231.32	409.15	41.81	82.29	215.77	99.43	232.94	214.27	199.85	133.36	49.21	62.12	72.52	204.07	171.45	28.24	93.35	368.65	262.2	177.53	339.14	58.3	343.89	190.34	37.32	53.57	414.87	128.79	202.66	66.65
GJC2	361.04	176.29	209.84	251.48	131.51	316.37	320.8	57.08	166.73	72.01	241.19	221.86	114.36	325.29	403.5	228.13	329.84	90.77	277.2	60.39	194.36	279.14	214.27	96.68	260.38	74.58	70.51	197.09	67.59	84.63	175.07	146.03	90.77	59.13	46.5	61.25	241.19	182.55	46.18	50.27	171.45	124.37	209.84	220.32	81.14	194.36	195.72	60.82	42.71	198.47	67.59	87.03	85.82
