	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1EG.11A.11R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
C1orf168	0.3	0.3	0.0	0.0	0.47	0.49	92.05	87.65	226.54	132.44	131.51	146.03	100.83	120.94	127.0	180.02	50.27	139.07	271.48	480.04	403.5	1088.92	738.29	371.22	1697.45	395.18	1175.27	555.41	1583.71	351.14	521.76	733.19	1023.0	1331.57	202.66	473.41	1119.56	503.95	223.41	1331.57	1561.89	444.72	878.17	325.29	1467.37	1081.39	208.38	1991.0	186.4	1159.07	909.17	0.0	0.78
C7orf76	0.0	0.0	0.0	0.0	0.27	0.0	1.04	1.17	1.83	0.57	3.89	1.58	0.52	2.46	2.89	3.0	0.0	1.83	10.0	11.47	9.85	18.97	18.7	10.39	8.71	10.88	9.27	22.1	17.0	29.91	5.87	6.78	20.86	20.26	16.88	16.63	15.11	22.1	23.59	28.24	11.13	19.82	19.53	8.13	32.59	21.63	9.7	21.32	2.66	14.45	33.06	0.0	0.0
CAT	244.57	764.36	423.61	483.38	239.52	688.78	1417.35	3395.89	6079.61	3491.39	3303.0	3081.75	995.0	3515.68	4903.87	5751.61	1745.2	2956.17	13306.94	13586.57	19618.49	27363.16	35609.13	14971.21	24153.43	32540.65	22692.63	20593.91	25354.3	19892.37	19214.73	16960.78	25005.23	29327.18	20310.37	20030.74	16269.83	33224.42	24832.5	23169.48	22535.88	18304.63	16960.78	12160.22	23009.42	20030.74	21320.18	26800.01	13123.73	28723.62	33922.56	0.0	718.08
CBR4	80.57	217.27	202.66	97.36	92.7	119.26	64.34	417.77	218.79	348.71	656.11	76.71	97.36	248.0	429.54	366.09	147.06	182.55	454.09	796.86	921.88	1008.9	1030.12	480.04	1159.07	836.53	947.83	1081.39	947.83	961.07	1104.13	669.92	1250.98	1225.22	480.04	1008.9	902.89	1175.27	884.29	1617.0	1066.48	620.67	802.41	432.53	1073.91	713.11	748.61	1477.58	242.88	1127.35	1457.23	214.27	164.42
CCDC158	0.59	0.0	4.43	0.99	1.68	0.0	2.2	7.88	2.03	5.77	19.97	0.75	1.51	5.06	4.21	6.11	2.63	3.86	12.74	10.55	42.41	14.56	18.16	10.39	12.18	19.82	17.77	4.98	38.67	19.11	20.26	10.79	8.13	40.07	3.82	44.57	4.06	44.25	36.53	23.42	36.01	11.47	26.28	9.27	20.86	55.49	7.51	44.57	3.06	17.38	22.59	0.0	0.0
CEP120	76.71	66.65	53.95	84.63	61.25	23.93	43.63	73.03	86.43	34.26	108.9	51.71	81.71	50.63	31.45	49.91	25.72	42.71	84.04	101.54	144.01	122.64	147.06	58.71	198.47	175.07	170.25	122.64	167.9	117.6	125.24	108.9	140.04	172.65	122.64	185.11	156.59	169.07	107.38	190.34	124.37	148.09	97.36	67.12	195.72	189.02	76.71	217.27	46.18	149.12	189.02	0.0	22.92
CEPT1	353.59	127.0	249.73	343.89	368.65	173.85	221.86	395.18	206.94	363.56	412.0	205.5	204.07	381.68	267.73	295.11	277.2	249.73	432.53	473.41	417.77	612.11	493.56	366.09	764.36	518.15	540.19	669.92	713.11	255.0	579.04	480.04	616.37	490.14	307.69	616.37	624.99	543.96	490.14	902.89	665.29	693.58	591.22	277.2	791.35	638.15	384.34	775.05	218.79	679.29	738.29	403.5	334.46
COBLL1	123.5	7.63	90.77	170.25	169.07	182.55	166.73	353.59	234.57	236.21	341.51	334.46	289.02	429.54	239.52	353.59	57.89	277.2	813.63	769.69	1059.11	848.22	1119.56	620.67	2119.22	1769.57	2224.63	1477.58	1350.18	848.22	1183.45	896.64	1397.83	1605.83	1143.1	1378.57	1427.22	1963.57	2224.63	1870.53	1721.16	1883.54	1331.57	802.41	1540.37	1127.35	1119.56	2485.67	981.29	1757.34	1639.59	0.0	47.84
CPEB2	18.29	114.36	14.78	46.5	25.35	134.3	35.76	145.02	57.89	79.45	171.45	79.45	40.07	103.69	105.89	133.36	31.0	56.28	159.9	135.24	181.28	366.09	366.09	90.77	217.27	221.86	525.39	293.07	397.93	242.88	224.97	218.79	201.25	323.03	279.14	204.07	234.57	267.73	150.17	507.46	220.32	299.25	334.46	107.38	356.05	285.03	169.07	497.0	81.14	283.05	571.05	0.0	64.8
CPEB3	2.63	2.05	7.06	10.88	5.41	6.46	9.06	40.07	27.84	7.88	32.13	9.85	15.22	24.99	41.52	39.22	8.25	32.36	267.73	351.14	154.42	483.38	339.14	346.29	253.23	234.57	281.09	318.57	166.73	314.17	140.04	376.41	323.03	199.85	137.14	450.94	281.09	444.72	283.05	518.15	215.77	170.25	143.01	232.94	170.25	426.57	76.71	400.71	75.64	260.38	368.65	0.0	10.16
CTAGE5	236.21	202.66	559.28	371.22	221.86	848.22	1066.48	1551.09	1936.53	1857.6	1844.76	1540.37	902.89	1088.92	1397.83	1529.73	947.83	1350.18	2664.15	2591.27	2255.7	2664.15	2816.11	1909.85	3955.48	1950.0	3372.43	2875.3	3146.52	2935.74	3349.13	3874.05	3018.3	3124.78	2287.2	2796.65	2796.65	3146.52	1870.53	3395.89	2997.45	1709.26	2627.46	2351.53	3039.3	3168.41	1685.71	3665.02	2119.22	3395.89	3768.09	0.0	660.68
CYP4F3	7.88	0.62	7.46	4.06	1.23	6.46	500.46	1397.83	2537.92	2075.59	1259.69	759.08	713.11	1540.37	1059.11	1183.45	417.77	1286.18	2682.69	1977.24	4512.4	3665.02	10368.08	3515.68	6840.04	16045.82	14163.58	1832.01	24321.43	4481.23	3018.3	7280.4	6935.54	23009.42	4481.23	17558.94	3124.78	4937.99	3665.02	12244.81	7382.04	5791.62	7280.4	3257.52	13776.25	18950.18	1151.06	18560.17	1551.09	3716.2	13492.72	0.0	23.25
DDI2	64.8	71.0	118.43	137.14	155.5	91.41	144.01	260.38	163.28	163.28	301.33	109.66	148.09	170.25	163.28	167.9	100.83	87.65	141.02	183.82	229.72	395.18	269.6	180.02	432.53	239.52	420.68	273.37	543.96	314.17	307.69	521.76	336.79	493.56	264.03	265.87	348.71	307.69	279.14	529.06	429.54	351.14	395.18	232.94	493.56	318.57	201.25	503.95	80.01	414.87	414.87	0.0	50.98
DHRS1	620.67	532.74	759.08	1096.5	629.35	825.0	583.07	1662.49	4123.49	878.17	1191.69	1769.57	866.07	1388.16	2627.46	3103.19	909.17	1457.23	3820.7	3742.05	6426.31	6983.79	10225.32	4736.79	9151.82	8191.0	9876.98	5403.7	8840.04	5672.41	4736.79	5329.3	9025.81	8538.88	5041.77	6699.25	5831.91	11584.24	4769.75	7433.4	7032.37	5366.37	6079.61	4239.45	6699.25	7485.11	4769.75	6207.38	4328.55	7331.05	10659.59	0.0	1259.69
DMD	128.79	2.94	2.14	40.07	10.63	87.65	74.58	131.51	98.73	130.6	178.77	76.71	197.09	151.22	177.53	246.28	36.01	162.14	320.8	361.04	915.51	417.77	669.92	159.9	1883.54	909.17	633.73	698.41	836.53	575.03	743.43	493.56	1066.48	1378.57	518.15	836.53	1378.57	1015.93	890.44	1088.92	674.59	1030.12	587.13	358.54	718.08	1183.45	234.57	1457.23	255.0	1322.37	1143.1	0.0	5.19
DPYS	0.0	2.29	0.0	4.03	1.68	2.1	2855.44	5076.84	4836.35	11827.67	1674.06	1794.29	878.17	4066.71	8078.22	9151.82	3716.2	7433.4	10154.69	2997.45	13306.94	34158.52	45701.96	13306.94	55877.28	18819.27	79572.48	30151.71	45072.75	17681.08	8778.97	42937.97	18560.17	69271.73	25354.3	21172.91	37121.34	56657.31	26800.01	63302.6	50011.46	23492.92	11745.96	10883.59	42054.3	34158.52	10883.59	58250.19	9606.86	37121.34	77396.54	0.0	17.0
EPB41L5	83.45	45.53	182.55	248.0	122.64	158.79	212.78	329.84	417.77	373.81	486.75	457.25	307.69	105.15	231.32	470.14	145.02	248.0	603.67	616.37	1073.91	796.86	974.5	438.59	1143.1	1159.07	1135.2	934.76	1268.46	785.88	941.27	674.59	780.44	878.17	642.59	988.12	775.05	1015.93	780.44	1073.91	995.0	872.1	738.29	514.56	759.08	1066.48	796.86	1378.57	607.87	1286.18	1199.98	0.0	173.85
ERMAP	165.57	88.88	85.82	75.64	28.86	49.21	64.34	127.0	117.6	104.42	121.79	93.35	87.65	175.07	138.1	115.16	151.22	116.78	170.25	193.01	131.51	127.0	387.02	127.0	267.73	183.82	307.69	177.53	281.09	162.14	212.78	55.89	217.27	201.25	212.78	166.73	166.73	305.55	231.32	303.44	334.46	305.55	181.28	128.79	236.21	316.37	134.3	279.14	108.14	215.77	183.82	0.0	85.82
EVI5	78.34	42.71	38.67	44.57	74.58	75.11	45.53	94.01	41.81	40.64	151.22	55.1	49.91	87.03	52.82	80.01	77.79	55.1	98.73	100.13	253.23	149.12	215.77	55.89	157.68	153.34	211.31	218.79	208.38	108.14	221.86	152.28	173.85	244.57	120.94	212.78	147.06	273.37	206.94	241.19	145.02	208.38	193.01	114.36	346.29	186.4	155.5	320.8	76.71	237.86	246.28	0.0	34.02
FAM126B	30.34	21.94	42.11	23.93	39.79	31.45	35.5	45.85	22.75	17.77	64.8	32.82	21.01	21.32	32.13	40.64	17.25	28.24	48.18	56.68	116.78	89.51	107.38	98.04	98.04	63.0	164.42	91.41	185.11	69.03	85.22	55.49	102.97	127.89	55.89	112.77	73.03	129.69	43.94	131.51	80.01	60.82	130.6	94.01	127.89	128.79	54.33	138.1	31.22	114.36	105.15	112.77	51.71
FAM188A	181.28	167.9	133.36	93.35	89.51	137.14	88.26	148.09	119.26	131.51	175.07	123.5	108.14	120.94	134.3	178.77	92.7	96.01	162.14	223.41	234.57	289.02	307.69	189.02	351.14	161.02	376.41	248.0	368.65	159.9	303.44	140.04	346.29	316.37	138.1	176.29	194.36	450.94	221.86	323.03	514.56	249.73	450.94	309.83	612.11	409.15	285.03	435.55	194.36	353.59	258.57	0.0	291.04
FAM214A	116.78	141.02	165.57	93.35	90.14	128.79	198.47	332.14	271.48	295.11	429.54	423.61	234.57	463.65	289.02	297.17	220.32	189.02	470.14	447.82	674.59	713.11	1175.27	409.15	872.1	450.94	947.83	567.1	1051.79	547.75	785.88	587.13	928.3	1030.12	500.46	698.41	743.43	1037.29	444.72	825.0	921.88	454.09	674.59	688.78	1001.93	1104.13	403.5	1143.1	320.8	842.36	791.35	0.0	208.38
FARP2	91.41	204.07	115.16	108.9	109.66	211.31	136.19	208.38	153.34	212.78	167.9	281.09	195.72	125.24	172.65	177.53	102.25	138.1	454.09	281.09	409.15	414.87	363.56	223.41	693.58	363.56	775.05	348.71	490.14	343.89	332.14	384.34	507.46	412.0	518.15	307.69	679.29	493.56	395.18	525.39	500.46	358.54	521.76	379.04	547.75	480.04	323.03	612.11	314.17	543.96	435.55	193.01	98.73
FMO3	1.77	1.19	1.62	4.13	7.63	5.23	1304.15	4836.35	3303.0	2319.15	9945.68	8421.31	1551.09	9606.86	7032.37	7130.55	432.53	7331.05	9606.86	30151.71	36357.37	37901.36	72213.45	13586.57	57448.23	49322.93	42054.3	34396.12	48982.22	30572.63	27745.15	18950.18	31432.17	41475.31	21172.91	60304.42	39785.74	50011.46	40621.74	50011.46	115696.65	57448.23	34876.28	29736.59	66912.05	99333.0	33455.53	36106.23	17437.64	60304.42	51775.15	0.0	60.82
GBP7	0.29	0.29	1.04	0.31	0.0	0.0	148.09	283.05	486.75	129.69	599.49	100.83	13.03	532.74	267.73	195.72	64.8	48.87	1151.06	660.68	2537.92	2485.67	3820.7	934.76	4972.34	2287.2	3168.41	3540.14	3467.27	1896.65	1216.75	1572.76	2720.15	5219.6	3467.27	3564.78	4152.18	4869.99	2796.65	7749.1	3280.18	4736.79	3168.41	728.11	8479.89	5711.87	896.64	4268.94	748.61	4181.07	5913.33	0.0	1.17
GHR	0.6	8.32	0.82	2.78	2.27	3.41	40.36	363.56	493.56	154.42	1143.1	88.88	36.53	185.11	182.55	264.03	61.68	249.73	1175.27	728.11	1519.15	3690.52	9673.69	1397.83	4937.99	1991.0	3847.29	6840.04	2739.08	2555.58	1685.71	5479.15	2627.46	5995.9	2451.44	2502.97	5791.62	6699.25	5791.62	8538.88	4268.94	3039.3	2997.45	988.12	7280.4	2335.28	1216.75	7966.99	1950.0	3847.29	9215.48	0.0	30.34
GIPC2	132.44	1.48	91.41	25.72	5.19	0.74	46.5	102.25	116.78	48.18	155.5	41.52	30.78	13.52	142.01	77.25	76.17	10.39	241.19	363.56	536.45	454.09	320.8	111.21	551.56	575.03	796.86	679.29	323.03	403.5	571.05	497.0	532.74	532.74	325.29	688.78	373.81	802.41	309.83	854.13	409.15	211.31	275.28	194.36	400.71	400.71	563.18	884.29	38.95	708.18	1001.93	0.0	3.56
GLP2R	2.61	0.59	0.54	14.45	0.0	1.51	0.0	0.91	0.0	0.0	4.21	2.56	0.49	2.36	0.0	0.55	2.25	3.82	6.41	5.73	23.76	12.74	22.43	24.46	79.45	37.32	35.5	16.63	7.46	5.63	12.0	6.06	23.93	33.78	7.22	18.84	23.59	36.27	34.02	29.27	5.73	31.0	15.91	6.94	52.82	23.93	16.88	21.47	9.41	42.71	35.0	0.0	1.58
HEATR4	7.75	3.17	0.55	4.78	16.39	16.39	11.21	31.67	10.71	3.38	11.38	21.78	5.92	0.89	7.0	8.38	3.79	4.5	15.91	14.67	17.64	45.53	57.49	10.63	77.25	36.01	106.63	39.5	53.57	42.71	42.71	17.38	53.19	54.33	39.22	57.89	55.49	82.29	18.84	70.01	52.82	36.01	22.92	17.13	72.52	55.89	7.06	41.52	0.64	82.87	42.11	0.0	0.43
HNMT	199.85	98.73	830.75	228.13	163.28	40.64	1745.2	3212.66	1561.89	1639.59	1709.26	1397.83	1119.56	1769.57	3443.31	2148.82	1059.11	2303.12	3060.45	3874.05	4328.55	2720.15	2627.46	2163.77	3794.3	4543.8	3303.0	3540.14	5366.37	4671.57	2193.99	3235.01	3716.2	4268.94	3955.48	3768.09	5255.91	3303.0	4066.71	5041.77	3168.41	3982.99	3540.14	2875.3	5292.48	4066.71	2758.13	4038.61	1733.13	3820.7	4095.0	0.0	341.51
ISPD	3.2	6.06	36.27	7.69	2.71	19.82	15.0	15.68	21.01	18.03	13.12	5.59	12.93	18.29	9.27	11.38	14.78	28.86	44.89	34.02	34.02	26.86	59.97	49.91	21.16	47.17	55.49	74.06	46.84	55.89	18.84	13.62	53.57	29.91	18.43	49.21	69.03	59.97	33.3	62.12	37.32	28.45	52.08	41.52	61.25	55.1	45.53	70.51	30.34	35.5	53.19	0.0	14.56
KLF12	1.5	19.25	1.35	4.46	22.75	1.81	14.35	41.22	26.67	37.59	61.68	46.84	42.71	41.22	42.71	82.29	36.53	26.28	88.88	68.55	231.32	105.89	202.66	56.28	212.78	234.57	253.23	129.69	217.27	115.97	145.02	92.7	163.28	228.13	195.72	89.51	212.78	110.43	141.02	303.44	199.85	139.07	195.72	105.89	151.22	218.79	141.02	329.84	102.25	223.41	237.86	0.0	14.78
KLHDC1	4.39	8.06	14.35	6.21	2.78	3.66	5.92	25.54	22.43	15.34	19.53	18.97	8.92	13.93	10.31	30.34	4.9	15.22	22.92	33.54	44.89	50.27	39.5	17.51	94.01	61.68	67.12	47.17	55.1	33.06	40.07	49.91	52.45	60.82	38.12	66.65	53.57	51.71	25.91	69.52	92.05	46.5	37.05	45.53	50.98	80.57	18.7	69.03	20.26	50.63	91.41	0.0	4.7
KLRG1	1.2	22.26	9.7	1.57	5.11	2.03	61.25	19.82	10.16	16.88	14.35	46.18	14.78	36.01	19.39	27.25	10.39	45.85	27.25	20.71	68.07	52.82	45.85	0.71	81.71	75.64	53.95	68.07	42.71	33.06	35.5	60.39	45.53	112.77	55.49	48.18	78.89	107.38	100.13	70.01	76.71	48.18	25.17	25.35	163.28	35.5	20.26	39.5	16.15	48.87	77.79	0.0	8.25
LECT2	0.0	1.75	0.0	0.0	0.0	0.0	339.14	262.2	124.37	2935.74	44.25	1628.26	4769.75	941.27	1111.82	2609.3	10.24	500.46	3820.7	4736.79	11584.24	26067.14	39237.98	5366.37	15934.98	46986.85	39237.98	32315.87	32994.92	20737.16	10883.59	9740.98	16727.26	47974.16	25005.23	6294.04	100719.65	36106.23	13968.57	30999.42	9673.69	8718.32	29943.43	25708.25	114103.8	7642.41	301.33	41188.81	20310.37	41475.31	103551.29	0.0	4.82
LIPG	279.14	6.16	137.14	59.55	7.0	90.77	420.68	397.93	366.09	271.48	316.37	226.54	75.11	316.37	277.2	173.85	71.0	291.04	351.14	651.58	1259.69	830.75	1923.14	57.08	2133.97	454.09	1143.1	1322.37	1242.34	143.01	748.61	127.89	1378.57	291.04	703.28	480.04	490.14	1529.73	1143.1	1233.75	2384.37	291.04	1870.53	819.3	2400.97	514.56	273.37	2335.28	703.28	909.17	389.72	0.0	3.86
LRAT	0.0	1.46	4.46	0.0	0.47	0.49	0.77	13.72	3.03	13.93	5.96	2.76	0.8	8.45	8.45	10.16	13.83	9.27	38.12	43.02	120.1	82.87	161.02	33.78	232.94	205.5	381.68	133.36	87.65	130.6	31.0	36.01	119.26	156.59	138.1	273.37	66.18	363.56	49.91	89.51	285.03	89.51	186.4	46.18	497.0	309.83	33.78	116.78	32.13	551.56	232.94	1.85	14.35
LRRC28	414.87	486.75	186.4	264.03	159.9	384.34	361.04	785.88	703.28	346.29	785.88	525.39	723.08	507.46	507.46	718.08	1037.29	329.84	819.3	866.07	1104.13	921.88	1437.15	878.17	1175.27	1467.37	1304.15	1175.27	1359.57	1540.37	718.08	775.05	1685.71	1674.06	954.43	1340.84	967.76	1540.37	1427.22	1605.83	1119.56	981.29	1397.83	579.04	1487.87	1427.22	796.86	995.0	432.53	1277.29	1437.15	0.0	460.44
LRRC55	0.0	21.63	0.0	0.18	0.52	0.84	0.16	0.0	0.0	0.0	1.23	2.1	1.17	0.26	0.21	0.61	0.13	0.71	13.42	1.79	17.77	5.82	18.03	1.79	24.11	22.43	37.85	14.24	20.71	8.38	3.38	15.11	14.24	24.28	13.32	26.86	3.99	23.08	13.93	26.67	9.06	13.93	8.85	3.82	48.52	21.94	1.97	27.25	4.39	34.02	24.81	0.0	0.14
LRRK2	1.48	1.77	1.6	8.71	4.7	1.85	15.45	9.56	39.79	9.2	20.41	17.25	8.06	15.68	5.32	22.92	6.52	8.85	45.53	38.67	68.55	27.64	78.34	49.56	176.29	100.13	95.34	98.04	327.56	41.81	58.71	54.33	106.63	201.25	151.22	100.83	181.28	99.43	129.69	180.02	147.06	123.5	73.03	34.26	136.19	88.26	54.72	172.65	42.71	148.09	170.25	0.0	6.94
