	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.U8XE.1326.SM.4E3JK	GTEX.13PVQ.1926.SM.5L3GN	GTEX.144GM.1626.SM.5O9AG	GTEX.11UD2.1526.SM.5EQLQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.13O1R.1526.SM.5J1O7	GTEX.13PVQ.1826.SM.5L3GU	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.11OF3.1326.SM.5N9FJ	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL
CRISPLD2	277.2	928.3	1427.22	7280.4	9808.75	6037.61	8022.41	8421.31	8363.13	17681.08	11504.21	11345.82	7642.41	12764.83	234.57	202.66	748.61	303.44	103.69	16.75	5.5	665.29	120.94
CSNK1D	1242.34	2384.37	3168.41	3280.18	3540.14	3018.3	3039.3	5076.84	4481.23	5995.9	4328.55	4769.75	4210.15	6037.61	2133.97	1617.0	1709.26	1628.26	967.76	830.75	223.41	2367.9	1322.37
CSNK1G2	406.31	728.11	775.05	1191.69	1059.11	934.76	819.3	2335.28	1617.0	1477.58	2319.15	1605.83	2209.26	2193.99	688.78	693.58	679.29	543.96	429.54	299.25	167.9	642.59	620.67
CSRP2	158.79	1023.0	708.18	2417.67	2997.45	2255.7	3419.52	8363.13	3874.05	6207.38	2956.17	4328.55	1709.26	5995.9	2451.44	860.08	909.17	507.46	1096.5	466.88	320.8	713.11	559.28
DFNB31	7.11	228.13	529.06	320.8	497.0	532.74	420.68	1662.49	473.41	616.37	395.18	500.46	189.02	1015.93	111.99	57.49	35.25	55.49	47.5	44.25	7.22	267.73	47.84
DICER1	332.14	269.6	336.79	511.0	497.0	432.53	470.14	988.12	1111.82	1059.11	1081.39	1572.76	974.5	1674.06	403.5	251.48	314.17	248.0	186.4	36.79	55.1	387.02	289.02
DUS3L	155.5	403.5	412.0	808.0	483.38	371.22	713.11	988.12	1388.16	743.43	1175.27	780.44	1519.15	1605.83	476.71	441.64	287.01	239.52	159.9	358.54	358.54	363.56	397.93
ELMSAN1	392.44	460.44	718.08	708.18	825.0	896.64	967.76	1923.14	848.22	1225.22	1350.18	941.27	967.76	1208.34	417.77	397.93	476.71	387.02	156.59	49.91	46.84	633.73	412.0
EMD	1909.85	2485.67	3168.41	2400.97	3257.52	3467.27	3103.19	4268.94	3325.99	2777.33	4769.75	3491.39	3515.68	3847.29	2018.8	2434.5	2224.63	2303.12	2133.97	2384.37	1477.58	2047.0	2682.69
EML3	107.38	616.37	647.07	1369.04	2133.97	579.04	1242.34	3349.13	2271.4	1594.73	4152.18	2163.77	3419.52	3018.3	1044.52	587.13	299.25	312.0	269.6	287.01	91.41	599.49	607.87
ETV6	51.71	285.03	275.28	450.94	329.84	312.0	211.31	878.17	775.05	684.02	1250.98	825.0	1617.0	954.43	161.02	126.12	175.07	325.29	92.7	28.45	30.12	314.17	215.77
FAM160B2	429.54	896.64	1388.16	1745.2	2319.15	1709.26	1769.57	4328.55	2875.3	2119.22	3639.7	3540.14	3257.52	4419.52	1044.52	583.07	656.11	616.37	218.79	155.5	53.19	1127.35	665.29
FAM20C	397.93	723.08	1268.46	2609.3	3955.48	1498.22	1183.45	5751.61	4010.71	4671.57	7749.1	6607.01	6121.9	7642.41	435.55	529.06	1183.45	555.41	1073.91	34.51	35.25	866.07	403.5
FBXL12	244.57	503.95	511.0	540.19	733.19	612.11	612.11	665.29	738.29	599.49	842.36	607.87	723.08	842.36	295.11	283.05	273.37	258.57	223.41	217.27	159.9	470.14	406.31
FLOT2	1111.82	1991.0	2224.63	2047.0	3018.3	2075.59	1529.73	3928.15	2271.4	4388.98	3303.0	5076.84	3820.7	3874.05	1662.49	981.29	2047.0	2178.83	1628.26	1697.45	134.3	1806.78	1183.45
FNDC4	65.26	149.12	206.94	262.2	629.35	325.29	212.78	536.45	420.68	368.65	599.49	395.18	669.92	629.35	511.0	229.72	218.79	99.43	24.63	571.05	26.67	167.9	228.13
GPR3	3.35	4.54	6.73	73.03	26.86	104.42	30.56	125.24	70.51	191.67	341.51	107.38	172.65	124.37	15.91	22.1	35.25	9.2	10.96	24.46	16.88	0.54	7.4
GRAMD1A	651.58	728.11	1313.23	1498.22	1769.57	1030.12	1111.82	5183.54	3716.2	3768.09	4358.66	3794.3	4152.18	4869.99	417.77	473.41	1167.14	934.76	334.46	854.13	305.55	941.27	376.41
HAPLN3	46.18	121.79	88.26	981.29	718.08	248.0	234.57	4388.98	791.35	2133.97	1304.15	3060.45	1721.16	1437.15	62.12	185.11	450.94	170.25	12.93	18.03	4.39	61.25	166.73
HS3ST2	1.2	11.04	17.51	11.47	48.87	12.09	39.22	45.85	154.42	14.78	24.63	6.41	18.7	94.01	8.19	37.05	54.33	53.57	0.0	3.79	2.78	4.98	3.56
IL18BP	38.67	339.14	231.32	802.41	1037.29	172.65	199.85	1844.76	656.11	1477.58	890.44	3060.45	1191.69	836.53	77.79	109.66	205.5	138.1	131.51	84.63	27.44	269.6	75.11
IL4R	77.25	1757.34	2193.99	3564.78	4268.94	4512.4	4268.94	13215.02	5791.62	6652.97	9740.98	13776.25	4543.8	10585.95	665.29	476.71	423.61	158.79	96.68	48.52	78.89	1662.49	1008.9
IRF1	400.71	1540.37	595.34	1540.37	629.35	2796.65	808.0	1639.59	1216.75	9344.14	2777.33	1870.53	2976.74	1733.13	205.5	583.07	1551.09	551.56	277.2	251.48	162.14	743.43	543.96
JMJD6	571.05	595.34	703.28	1369.04	1313.23	2061.24	1268.46	1806.78	1551.09	1111.82	2555.58	1369.04	1498.22	1832.01	438.59	633.73	633.73	412.0	339.14	293.07	204.07	575.03	633.73
KIAA0040	241.19	279.14	224.97	988.12	1594.73	872.1	525.39	796.86	860.08	2537.92	1175.27	1104.13	1781.89	1277.29	198.47	208.38	684.02	379.04	277.2	423.61	297.17	285.03	108.9
KIAA0586	202.66	163.28	201.25	329.84	267.73	181.28	169.07	237.86	255.0	277.2	285.03	228.13	158.79	371.22	211.31	142.01	187.71	158.79	104.42	31.45	29.91	224.97	121.79
KISS1R	0.0	0.93	0.0	3.47	4.7	0.88	0.0	229.72	5.96	7.22	16.39	69.52	19.25	8.58	0.0	0.0	0.0	0.0	0.0	1.93	1.23	0.0	0.64
KLF17	0.0	0.62	5.36	7.34	29.91	159.9	0.0	84.04	75.11	40.64	87.65	94.01	39.22	130.6	0.0	0.0	0.0	0.0	0.0	1.08	0.0	3.2	0.23
KLHL15	114.36	70.51	88.26	118.43	167.9	194.36	536.45	226.54	106.63	285.03	191.67	166.73	134.3	131.51	39.5	38.67	102.25	81.71	82.29	32.13	24.63	102.97	27.05
KLHL29	43.94	106.63	325.29	525.39	500.46	518.15	299.25	265.87	500.46	256.78	279.14	412.0	397.93	872.1	97.36	50.27	89.51	47.84	15.22	1.95	0.44	189.02	35.0
LDLR	202.66	295.11	228.13	2816.11	878.17	3303.0	2417.67	3235.01	2502.97	5831.91	2976.74	3614.55	2855.44	4038.61	1331.57	974.5	753.83	444.72	228.13	102.97	1950.0	181.28	1286.18
LRRC41	703.28	934.76	1199.98	1199.98	1119.56	1088.92	1151.06	1447.15	1745.2	1096.5	1277.29	1388.16	1417.35	1896.65	896.64	723.08	791.35	808.0	435.55	361.04	183.82	954.43	579.04
MAPK14	728.11	872.1	967.76	915.51	1127.35	1175.27	703.28	1417.35	1519.15	1519.15	1437.15	2609.3	1191.69	2075.59	775.05	540.19	547.75	503.95	351.14	297.17	110.43	974.5	497.0
MARK1	57.89	114.36	281.09	246.28	291.04	239.52	224.97	204.07	212.78	155.5	205.5	256.78	287.01	753.83	141.02	77.79	84.63	72.01	63.45	4.82	39.5	195.72	176.29
MAT2A	2133.97	2573.36	2367.9	5183.54	7695.57	8658.09	7382.04	22380.2	12764.83	20593.91	25354.3	12589.08	18304.63	17317.18	2367.9	2875.3	3018.3	1216.75	2032.85	995.0	303.44	3124.78	2758.13
MECP2	334.46	361.04	693.58	698.41	909.17	878.17	915.51	759.08	1023.0	642.59	1447.15	753.83	884.29	1175.27	348.71	279.14	406.31	426.57	281.09	244.57	341.51	551.56	293.07
MFHAS1	53.57	312.0	361.04	460.44	316.37	373.81	172.65	1135.2	423.61	1191.69	395.18	1030.12	273.37	423.61	99.43	87.65	123.5	115.97	150.17	30.34	1.6	426.57	122.64
MT1M	90.77	1896.65	143.01	153.34	1096.5	813.63	559.28	1331.57	8963.45	1250.98	2047.0	1651.0	9673.69	3847.29	226.54	1923.14	4038.61	148.09	98.73	24.11	44.25	848.22	31.9
NDST2	118.43	293.07	316.37	536.45	825.0	381.68	638.15	909.17	1044.52	974.5	1037.29	884.29	896.64	1096.5	299.25	208.38	202.66	175.07	140.04	131.51	150.17	346.29	157.68
NFKB2	341.51	1037.29	1991.0	1023.0	872.1	902.89	620.67	4358.66	1427.22	2627.46	3018.3	2047.0	1651.0	1685.71	297.17	728.11	679.29	595.34	234.57	100.13	67.59	934.76	599.49
NOD1	80.01	136.19	87.03	872.1	1477.58	269.6	289.02	1757.34	1081.39	1151.06	2287.2	1857.6	866.07	2240.11	102.97	57.89	158.79	132.44	103.69	41.52	12.93	186.4	105.89
NSMCE4A	255.0	1295.13	1295.13	1477.58	1508.65	1286.18	1508.65	2075.59	4298.64	2018.8	4704.07	2178.83	2609.3	6607.01	884.29	669.92	441.64	400.71	642.59	819.3	836.53	1467.37	450.94
PCNX	454.09	223.41	457.25	529.06	633.73	356.05	351.14	974.5	733.19	854.13	748.61	1183.45	743.43	1096.5	212.78	134.3	336.79	226.54	181.28	50.98	40.07	356.05	145.02
PDK1	241.19	189.02	71.0	162.14	251.48	158.79	251.48	921.88	242.88	356.05	197.09	819.3	486.75	215.77	121.79	109.66	115.16	125.24	71.5	224.97	149.12	172.65	57.49
PDLIM4	92.05	3614.55	7749.1	3847.29	4210.15	4802.93	2855.44	9606.86	9808.75	10585.95	14361.31	11745.96	13492.72	21919.61	830.75	1369.04	688.78	603.67	101.54	61.25	679.29	2720.15	1104.13
PHYHIP	5.54	239.52	387.02	336.79	1259.69	312.0	400.71	2816.11	1088.92	291.04	2468.49	836.53	1508.65	1870.53	121.79	63.0	32.13	18.03	73.03	1.91	1.22	112.77	177.53
PITPNM2	80.01	193.01	329.84	325.29	595.34	460.44	571.05	1127.35	748.61	802.41	981.29	988.12	808.0	1407.55	92.7	84.04	117.6	73.54	80.01	53.95	74.06	231.32	182.55
PITRM1	1605.83	1208.34	1242.34	1572.76	1617.0	1407.55	1540.37	2178.83	3690.52	2104.58	2739.08	2384.37	3212.66	4972.34	1350.18	1397.83	1639.59	1605.83	753.83	713.11	507.46	1073.91	1183.45
PLEKHA4	395.18	1015.93	1963.57	1397.83	2434.5	1175.27	1167.14	6792.79	1857.6	1963.57	2796.65	2875.3	2895.31	1936.53	536.45	486.75	1359.57	872.1	172.65	151.22	156.59	743.43	1572.76
PLSCR1	220.32	2047.0	738.29	1819.35	2271.4	1322.37	1561.89	5555.65	5183.54	5672.41	6079.61	4736.79	5633.22	6121.9	669.92	525.39	1662.49	902.89	1023.0	2193.99	836.53	1167.14	738.29
PML	253.23	1023.0	1551.09	1447.15	1331.57	813.63	1001.93	2701.35	2004.85	1950.0	3081.75	2075.59	2468.49	2956.17	612.11	775.05	902.89	753.83	412.0	289.02	279.14	928.3	647.07
POLR3A	176.29	123.5	116.78	108.9	170.25	133.36	130.6	171.45	285.03	679.29	381.68	156.59	239.52	490.14	156.59	115.97	171.45	180.02	85.22	41.81	14.67	149.12	129.69
PPARD	336.79	579.04	563.18	525.39	638.15	543.96	529.06	1685.71	1008.9	1015.93	1674.06	1135.2	791.35	1175.27	599.49	674.59	470.14	379.04	150.17	143.01	26.47	571.05	708.18
PPP1R18	384.34	1295.13	2335.28	3039.3	2935.74	3124.78	1519.15	3955.48	2287.2	4543.8	4736.79	3325.99	3060.45	3614.55	373.81	583.07	1457.23	713.11	165.57	197.09	57.49	1369.04	902.89
PPRC1	231.32	318.57	429.54	988.12	872.1	1331.57	1104.13	1896.65	1709.26	2976.74	2148.82	1697.45	1781.89	2224.63	395.18	728.11	753.83	285.03	133.36	109.66	30.78	379.04	559.28
PTGIR	20.11	111.21	172.65	403.5	201.25	309.83	332.14	1191.69	432.53	476.71	791.35	872.1	941.27	293.07	12.93	30.78	108.14	36.01	35.76	16.75	1.66	81.14	44.57
PVR	201.25	320.8	289.02	540.19	651.58	660.68	490.14	1628.26	1340.84	2163.77	909.17	1617.0	1295.13	1583.71	255.0	395.18	470.14	301.33	283.05	262.2	220.32	269.6	297.17
RASA3	253.23	348.71	486.75	638.15	693.58	738.29	303.44	1250.98	1015.93	1304.15	1119.56	1183.45	915.51	1529.73	150.17	150.17	376.41	218.79	54.33	60.39	6.31	414.87	185.11
RASL11A	64.34	791.35	363.56	1498.22	1697.45	1628.26	1037.29	1519.15	902.89	7032.37	2502.97	5403.7	1008.9	1883.54	151.22	134.3	299.25	202.66	941.27	318.57	170.25	748.61	177.53
RBMS1	429.54	860.08	1331.57	1697.45	1551.09	1417.35	1044.52	2148.82	4937.99	2335.28	2047.0	2537.92	1844.76	4239.45	642.59	483.38	693.58	457.25	525.39	172.65	105.89	1277.29	896.64
RDH10	172.65	358.54	217.27	808.0	2520.38	521.76	1551.09	5517.27	3768.09	4419.52	7537.18	2400.97	2758.13	5954.47	241.19	201.25	414.87	629.35	854.13	669.92	351.14	412.0	297.17
RELA	915.51	1721.16	1991.0	2224.63	2178.83	2319.15	1896.65	3982.99	2520.38	3665.02	2555.58	2796.65	2367.9	2701.35	1104.13	1119.56	1250.98	1259.69	718.08	808.0	417.77	1498.22	1208.34
RELB	117.6	353.59	201.25	379.04	279.14	229.72	206.94	2682.69	679.29	1617.0	967.76	1199.98	988.12	1096.5	85.22	318.57	438.59	316.37	114.36	142.01	226.54	172.65	297.17
RNF24	47.84	105.15	138.1	432.53	497.0	197.09	149.12	981.29	353.59	669.92	540.19	878.17	412.0	518.15	108.14	87.03	70.51	89.51	120.1	32.59	11.21	156.59	74.58
RP11-211G3.3	7.46	0.0	0.0	13.42	12.74	4.46	10.24	10.71	21.63	23.76	2.76	12.45	12.93	17.64	7.28	0.0	2.68	0.0	0.0	0.0	0.0	0.0	1.93
RPRD1B	563.18	346.29	339.14	616.37	540.19	651.58	450.94	884.29	656.11	915.51	896.64	1594.73	607.87	890.44	381.68	305.55	497.0	358.54	255.0	156.59	117.6	406.31	307.69
SBNO2	175.07	381.68	287.01	1977.24	3515.68	1685.71	1457.23	5147.73	3639.7	5219.6	5954.47	3491.39	3060.45	5517.27	336.79	432.53	1208.34	316.37	169.07	65.72	66.18	277.2	559.28
SFMBT2	25.54	37.59	36.79	206.94	301.33	79.45	106.63	409.15	329.84	356.05	363.56	417.77	426.57	713.11	29.27	31.22	53.19	47.84	35.25	29.91	5.87	46.84	18.43
SIK3	444.72	486.75	802.41	540.19	759.08	669.92	738.29	1322.37	1208.34	1081.39	934.76	1030.12	830.75	1359.57	262.2	341.51	381.68	423.61	295.11	116.78	61.68	603.67	327.56
SLC12A7	61.25	497.0	267.73	423.61	473.41	291.04	540.19	1709.26	1208.34	1529.73	1832.01	1359.57	1322.37	1857.6	108.9	176.29	366.09	348.71	307.69	260.38	146.03	470.14	185.11
SLC17A9	3.96	115.16	87.65	66.65	102.25	55.1	166.73	1030.12	808.0	166.73	2061.24	872.1	1008.9	1191.69	17.25	20.56	51.35	17.77	6.21	22.59	2.1	106.63	9.56
SPATA13	55.49	307.69	167.9	116.78	98.04	82.29	182.55	647.07	547.75	400.71	1295.13	651.58	796.86	825.0	63.45	79.45	142.01	177.53	334.46	406.31	118.43	423.61	59.55
SRSF4	947.83	1832.01	2303.12	2434.5	2573.36	2739.08	2335.28	3190.46	4038.61	3039.3	5076.84	2835.7	3768.09	4607.24	1628.26	1151.06	1340.84	1175.27	629.35	258.57	99.43	2075.59	1037.29
SYNJ2	73.54	195.72	206.94	211.31	346.29	191.67	206.94	1832.01	688.78	669.92	583.07	753.83	273.37	1008.9	166.73	94.01	99.43	285.03	59.97	11.82	9.27	241.19	237.86
TACC2	4836.35	1529.73	3794.3	1721.16	2090.03	2319.15	1936.53	5147.73	4769.75	6250.56	8840.04	6037.61	3665.02	9808.75	3395.89	2485.67	3982.99	3768.09	848.22	417.77	808.0	1844.76	3794.3
TAF4B	47.5	47.17	49.21	88.26	63.89	54.33	63.89	84.63	163.28	66.65	82.29	127.0	95.34	162.14	44.89	50.27	58.3	47.5	41.81	12.83	12.74	62.12	80.57
TCF25	1135.2	3146.52	3540.14	2193.99	2915.45	2468.49	3212.66	4358.66	4903.87	3419.52	4268.94	3325.99	4038.61	5954.47	2224.63	2119.22	1909.85	2224.63	1498.22	1617.0	603.67	2915.45	1721.16
THBS1	379.04	1015.93	866.07	18819.27	21172.91	32315.87	12502.12	32540.65	20310.37	61999.83	12764.83	21919.61	8078.22	15934.98	384.34	532.74	7032.37	2090.03	387.02	199.85	22.59	1628.26	178.77
TNFRSF1A	1508.65	3589.58	4210.15	4769.75	6164.49	5403.7	3639.7	7485.11	7180.15	6426.31	8022.41	7331.05	6426.31	7331.05	1832.01	1757.34	5006.93	1950.0	909.17	808.0	309.83	3190.46	2287.2
TNFSF14	1.23	39.5	9.48	69.03	356.05	38.67	47.84	1167.14	988.12	525.39	2645.74	764.36	559.28	525.39	4.35	7.34	22.26	7.17	0.53	3.03	0.0	39.5	4.74
TPM2	381149.17	303217.87	1063212.58	706337.4	663619.99	2392353.91	408505.64	47313.67	66449.85	158046.64	88905.42	72213.45	87681.42	97965.44	170568.48	197294.7	318292.9	260332.24	961.07	688.78	164.42	209994.66	554180.87
TRIO	435.55	728.11	890.44	1407.55	2148.82	1331.57	1674.06	2061.24	2047.0	1350.18	1628.26	1477.58	1551.09	2701.35	323.03	293.07	400.71	309.83	140.04	59.55	44.25	890.44	432.53
TSTD2	211.31	218.79	258.57	307.69	444.72	368.65	423.61	642.59	733.19	571.05	669.92	547.75	536.45	995.0	183.82	99.43	255.0	156.59	84.63	123.5	40.36	299.25	76.17
TXLNA	212.78	575.03	785.88	780.44	1001.93	842.36	723.08	1498.22	854.13	1104.13	1119.56	1286.18	1008.9	1066.48	490.14	320.8	429.54	376.41	327.56	131.51	74.58	624.99	332.14
USP36	271.48	514.56	679.29	1008.9	1191.69	791.35	1259.69	2335.28	1745.2	1250.98	1857.6	1583.71	1651.0	2018.8	423.61	490.14	403.5	381.68	307.69	232.94	57.08	579.04	463.65
VMP1	575.03	1757.34	607.87	3395.89	3540.14	1359.57	1519.15	8421.31	12589.08	5292.48	14663.09	7749.1	11112.3	19214.73	1250.98	1167.14	802.41	642.59	708.18	3146.52	743.43	1498.22	872.1
VPS16	218.79	769.69	629.35	684.02	595.34	543.96	651.58	1477.58	1104.13	896.64	1781.89	1037.29	1685.71	1268.46	555.41	463.65	403.5	500.46	387.02	518.15	299.25	583.07	540.19
WNT9A	131.51	234.57	651.58	373.81	460.44	656.11	206.94	226.54	1350.18	1111.82	1651.0	343.89	125.24	1605.83	138.1	277.2	177.53	175.07	9.48	1.5	1.95	239.52	323.03
ZNF446	85.82	194.36	248.0	246.28	297.17	232.94	258.57	444.72	490.14	285.03	718.08	412.0	571.05	813.63	167.9	118.43	146.03	149.12	187.71	123.5	55.1	202.66	88.26
ZNFX1	249.73	297.17	358.54	490.14	518.15	426.57	406.31	775.05	718.08	629.35	679.29	612.11	460.44	921.88	214.27	166.73	343.89	325.29	198.47	111.21	51.35	353.59	260.38
