	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.S4UY.0826.SM.4AD4Z	GTEX.Y5LM.1426.SM.5RQJL	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.AH.6643.11A.01R.1830.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
CYP4F12	63.45	76.71	595.34	470.14	571.05	1023.0	267.73	743.43	450.94	1191.69	1216.75	1167.14	2682.69	2417.67	884.29	54.33	759.08	46.84	55.49	45.53	50.98	947.83	500.46	59.97	148.09	136.19	147.06	587.13	154.42	43.02	102.97	248.0	74.58	234.57	684.02	231.32
DGKQ	96.68	88.26	258.57	295.11	429.54	476.71	103.69	346.29	221.86	591.22	473.41	642.59	947.83	934.76	444.72	126.12	507.46	81.71	98.73	126.12	96.01	234.57	142.01	90.77	156.59	205.5	180.02	159.9	92.05	104.42	139.07	152.28	171.45	117.6	239.52	147.06
DNM2	1151.06	1127.35	2915.45	1909.85	4066.71	3124.78	836.53	2335.28	2537.92	4543.8	4769.75	4671.57	6983.79	6935.54	4181.07	1277.29	3928.15	1427.22	1331.57	1304.15	1259.69	1594.73	1540.37	1639.59	1674.06	1639.59	1617.0	1721.16	1794.29	1331.57	1639.59	1594.73	1639.59	1467.37	2367.9	1733.13
EBP	441.64	514.56	2178.83	1388.16	2047.0	1487.87	525.39	1407.55	1111.82	1963.57	2816.11	4268.94	3955.48	3665.02	2271.4	237.86	1037.29	189.02	176.29	221.86	199.85	490.14	444.72	486.75	532.74	285.03	447.82	454.09	426.57	371.22	624.99	444.72	454.09	483.38	909.17	429.54
ELMO3	8.32	4.9	98.73	90.14	305.55	271.48	1.0	248.0	124.37	921.88	567.1	915.51	1583.71	1551.09	808.0	0.0	269.6	38.12	2.89	6.41	2.81	65.72	50.63	40.36	57.08	40.93	38.67	47.17	66.18	26.86	37.05	51.35	38.4	39.22	251.48	50.98
ENTPD5	105.15	110.43	583.07	759.08	1119.56	1225.22	117.6	878.17	525.39	1857.6	1639.59	1457.23	2796.65	3665.02	1119.56	97.36	1233.75	107.38	81.71	109.66	108.14	234.57	316.37	251.48	236.21	205.5	269.6	303.44	165.57	104.42	305.55	249.73	244.57	246.28	547.75	177.53
GALE	161.02	177.53	698.41	674.59	1175.27	733.19	57.08	642.59	460.44	2303.12	1923.14	3515.68	3716.2	3614.55	1617.0	22.92	848.22	100.13	99.43	84.04	86.43	503.95	480.04	346.29	389.72	426.57	392.44	392.44	376.41	260.38	363.56	327.56	312.0	249.73	1639.59	307.69
GFER	638.15	651.58	743.43	1001.93	769.69	813.63	486.75	1030.12	854.13	1250.98	1151.06	1295.13	1781.89	1870.53	1208.34	438.59	1175.27	397.93	587.13	583.07	583.07	748.61	872.1	759.08	769.69	473.41	575.03	723.08	454.09	954.43	947.83	395.18	591.22	559.28	1111.82	638.15
GIPC1	1322.37	1651.0	3742.05	2573.36	4123.49	3639.7	1183.45	3190.46	2758.13	4388.98	4575.41	7589.61	6381.92	7230.1	3768.09	1233.75	3716.2	836.53	896.64	1030.12	981.29	2537.92	2758.13	1259.69	2061.24	1950.0	1467.37	1519.15	1407.55	1639.59	1685.71	1529.73	1844.76	1519.15	2701.35	1508.65
GRTP1	102.97	69.52	500.46	400.71	595.34	579.04	185.11	599.49	417.77	813.63	890.44	713.11	1369.04	1268.46	660.68	164.42	483.38	157.68	218.79	198.47	211.31	194.36	329.84	229.72	172.65	400.71	307.69	255.0	202.66	164.42	460.44	183.82	339.14	291.04	536.45	293.07
GSS	339.14	457.25	759.08	981.29	1286.18	1225.22	379.04	954.43	684.02	1508.65	1135.2	1487.87	2047.0	1950.0	1119.56	403.5	785.88	400.71	289.02	336.79	297.17	466.88	403.5	466.88	332.14	470.14	642.59	438.59	414.87	397.93	400.71	387.02	420.68	476.71	567.1	507.46
GUSB	684.02	612.11	1167.14	1225.22	1340.84	1030.12	669.92	1059.11	1151.06	1519.15	1340.84	1250.98	1883.54	1950.0	1216.75	441.64	1225.22	733.19	555.41	579.04	480.04	624.99	796.86	384.34	651.58	460.44	368.65	629.35	551.56	351.14	748.61	647.07	392.44	483.38	674.59	536.45
HDHD3	275.28	387.02	1143.1	1001.93	1008.9	1844.76	291.04	1030.12	674.59	2032.85	1844.76	2468.49	3190.46	4095.0	2104.58	176.29	733.19	187.71	258.57	255.0	232.94	503.95	567.1	358.54	543.96	420.68	547.75	629.35	457.25	463.65	684.02	575.03	463.65	444.72	1135.2	521.76
HOOK1	0.0	0.45	38.95	50.63	172.65	76.17	0.03	94.67	24.63	368.65	262.2	249.73	463.65	497.0	186.4	0.0	239.52	7.94	5.11	0.89	0.39	12.36	17.9	9.56	15.68	11.91	8.78	18.7	15.8	7.17	14.45	12.55	13.12	9.85	66.18	14.78
ICAM3	239.52	173.85	180.02	441.64	470.14	529.06	83.45	497.0	363.56	813.63	616.37	981.29	1359.57	813.63	384.34	141.02	587.13	186.4	87.03	139.07	105.15	218.79	171.45	185.11	361.04	150.17	147.06	246.28	183.82	226.54	223.41	267.73	150.17	234.57	441.64	176.29
IDH1	981.29	1242.34	830.75	1277.29	1991.0	2335.28	273.37	1388.16	1295.13	2701.35	2627.46	2664.15	3768.09	4736.79	1733.13	133.36	1151.06	397.93	303.44	305.55	291.04	854.13	656.11	327.56	866.07	412.0	454.09	830.75	450.94	521.76	599.49	559.28	444.72	665.29	1832.01	518.15
IL17RE	39.5	32.36	327.56	193.01	438.59	231.32	29.48	412.0	234.57	915.51	796.86	1001.93	1594.73	1709.26	902.89	3.11	629.35	61.25	33.06	28.86	41.81	175.07	122.64	105.89	152.28	49.91	84.63	107.38	83.45	46.84	144.01	61.25	90.77	55.49	277.2	82.29
ISCA2	341.51	358.54	329.84	493.56	490.14	595.34	376.41	511.0	483.38	616.37	595.34	624.99	723.08	813.63	599.49	180.02	525.39	297.17	332.14	327.56	303.44	384.34	409.15	262.2	397.93	258.57	348.71	412.0	157.68	305.55	371.22	329.84	241.19	299.25	466.88	346.29
KCTD5	236.21	226.54	454.09	591.22	555.41	665.29	190.34	511.0	591.22	830.75	830.75	941.27	967.76	1119.56	603.67	113.56	679.29	229.72	171.45	190.34	215.77	503.95	314.17	361.04	429.54	384.34	262.2	384.34	299.25	287.01	387.02	343.89	356.05	406.31	575.03	346.29
KIF15	9.48	15.8	32.13	45.53	70.01	35.0	7.75	100.13	37.85	93.35	97.36	90.77	145.02	95.34	72.52	3.86	60.39	10.63	8.51	3.56	5.23	17.9	29.27	9.56	23.25	26.67	29.7	21.63	12.27	17.25	16.15	12.64	8.85	12.45	42.71	20.11
LSM4	1259.69	1583.71	1936.53	2701.35	2816.11	2915.45	1417.35	2537.92	2224.63	2835.7	2875.3	3901.01	4010.71	3564.78	2591.27	974.5	2434.5	981.29	1159.07	1088.92	1051.79	1561.89	1427.22	1104.13	1277.29	1151.06	1498.22	1286.18	1127.35	1583.71	1529.73	1340.84	1208.34	1151.06	1733.13	1417.35
LYPLA2	493.56	444.72	1551.09	1151.06	1745.2	1572.76	575.03	1208.34	1001.93	1709.26	1551.09	2163.77	2090.03	2090.03	1417.35	293.07	1127.35	303.44	429.54	543.96	314.17	819.3	830.75	555.41	842.36	693.58	669.92	738.29	738.29	703.28	947.83	753.83	802.41	718.08	967.76	785.88
MAPK13	32.13	11.91	348.71	536.45	802.41	563.18	12.0	603.67	325.29	1674.06	1628.26	2609.3	3146.52	4210.15	1208.34	0.67	480.04	72.01	14.67	21.47	21.63	156.59	320.8	185.11	153.34	231.32	183.82	271.48	275.28	124.37	172.65	241.19	145.02	149.12	514.56	115.97
MPDU1	400.71	457.25	1059.11	1151.06	1304.15	1617.0	316.37	1350.18	1051.79	2047.0	2018.8	2520.38	2956.17	2976.74	1605.83	206.94	1295.13	397.93	438.59	470.14	381.68	708.18	669.92	836.53	599.49	769.69	753.83	660.68	915.51	830.75	808.0	703.28	708.18	808.0	1167.14	825.0
MUC20	24.46	28.45	336.79	486.75	674.59	743.43	120.1	656.11	518.15	1427.22	2148.82	1540.37	2855.44	2468.49	1051.79	61.25	1286.18	312.0	69.03	64.34	57.49	78.89	384.34	295.11	125.24	409.15	587.13	346.29	327.56	87.03	157.68	518.15	96.68	33.3	171.45	493.56
MYH11	492579.5	453265.5	373305.21	175363.84	128373.58	144427.91	925580.18	212926.09	102125.66	61999.83	81809.59	64186.29	23986.58	27174.14	59887.86	839981.65	128373.58	425853.18	411347.03	336441.4	417089.23	517068.97	527933.71	721179.07	513497.31	606436.73	857631.47	561916.97	520665.48	682276.92	577714.63	527933.71	565825.41	466008.55	381149.17	696613.03
NAAA	242.88	339.14	612.11	764.36	460.44	981.29	194.36	1794.29	819.3	1870.53	2417.67	2335.28	4066.71	4268.94	1030.12	287.01	1832.01	251.48	199.85	251.48	163.28	194.36	444.72	271.48	595.34	379.04	239.52	441.64	244.57	172.65	277.2	320.8	387.02	395.18	387.02	258.57
NAPRT1	651.58	638.15	1167.14	1378.57	2032.85	2682.69	656.11	1662.49	1388.16	2915.45	1806.78	3349.13	4512.4	4607.24	2664.15	551.56	1467.37	575.03	470.14	346.29	529.06	1950.0	698.41	698.41	1286.18	1143.1	1407.55	1498.22	890.44	181.28	2485.67	1250.98	1447.15	825.0	3168.41	1268.46
OIP5	3.06	8.78	11.13	55.1	39.79	47.5	6.31	65.72	29.06	78.89	67.12	115.16	142.01	123.5	55.89	0.0	38.4	5.82	1.46	5.11	2.58	18.29	18.16	24.46	17.9	8.78	13.22	27.25	18.84	23.59	9.78	18.16	34.26	21.32	65.72	25.17
PAQR8	249.73	143.01	473.41	571.05	551.56	738.29	185.11	967.76	536.45	1167.14	1225.22	1208.34	2209.26	2682.69	629.35	115.97	1023.0	158.79	78.34	108.14	136.19	351.14	273.37	221.86	189.02	265.87	123.5	269.6	145.02	186.4	177.53	152.28	159.9	241.19	555.41	138.1
PDSS1	72.01	67.59	130.6	208.38	260.38	199.85	43.32	258.57	194.36	353.59	285.03	403.5	450.94	486.75	293.07	66.18	187.71	80.01	50.63	80.57	80.57	211.31	143.01	115.16	89.51	78.34	82.87	90.14	130.6	45.21	59.97	89.51	64.8	61.68	148.09	118.43
PFKL	1467.37	1639.59	2609.3	2417.67	2682.69	3540.14	1277.29	2664.15	2018.8	3589.58	3467.27	3742.05	5633.22	5041.77	2701.35	1417.35	2664.15	1295.13	1051.79	1119.56	1008.9	1674.06	1359.57	1268.46	1540.37	1143.1	1651.0	1583.71	1369.04	1417.35	1417.35	1378.57	1498.22	1119.56	1883.54	1628.26
PLEKHG6	9.63	27.84	314.17	181.28	703.28	187.71	7.69	414.87	212.78	1561.89	1844.76	2555.58	3515.68	3690.52	1030.12	0.0	490.14	8.19	14.45	14.03	6.41	131.51	33.06	82.87	52.45	25.35	33.06	53.19	143.01	28.04	89.51	31.22	43.02	41.22	232.94	55.89
PLEKHJ1	819.3	896.64	1806.78	1733.13	2739.08	2720.15	674.59	2209.26	1857.6	3716.2	3060.45	4419.52	5555.65	5255.91	2935.74	536.45	2104.58	507.46	432.53	571.05	426.57	753.83	753.83	414.87	738.29	954.43	660.68	693.58	796.86	660.68	981.29	599.49	620.67	547.75	1073.91	567.1
PPP1CA	1340.84	1508.65	2664.15	3257.52	3257.52	3847.29	1487.87	3280.18	3212.66	4210.15	4388.98	5711.87	5872.48	5954.47	3955.48	559.28	2895.31	1023.0	785.88	1081.39	921.88	1340.84	1561.89	1250.98	2520.38	1832.01	2119.22	1909.85	1936.53	2367.9	2018.8	1583.71	2032.85	1662.49	2573.36	2075.59
PPP1R16A	249.73	305.55	902.89	902.89	1295.13	1427.22	414.87	1030.12	688.78	1733.13	1388.16	2119.22	3146.52	3103.19	1806.78	387.02	995.0	312.0	309.83	387.02	336.79	642.59	629.35	457.25	540.19	547.75	497.0	529.06	409.15	463.65	536.45	518.15	551.56	616.37	902.89	620.67
REEP4	132.44	127.89	236.21	507.46	769.69	698.41	161.02	669.92	368.65	1088.92	543.96	947.83	1104.13	1111.82	703.28	45.53	483.38	129.69	96.01	144.01	120.94	262.2	241.19	149.12	343.89	255.0	220.32	287.01	175.07	239.52	299.25	186.4	157.68	358.54	387.02	191.67
RETSAT	802.41	842.36	1051.79	1909.85	1819.35	2573.36	283.05	1991.0	1628.26	3515.68	3372.43	3768.09	5555.65	6516.03	2119.22	567.1	3639.7	379.04	384.34	483.38	371.22	1540.37	665.29	595.34	928.3	563.18	703.28	1001.93	693.58	753.83	753.83	591.22	660.68	759.08	1340.84	713.11
RNPEP	540.19	480.04	1008.9	1030.12	1697.45	1870.53	490.14	1286.18	1104.13	1709.26	1819.35	1909.85	2287.2	2875.3	1572.76	303.44	1583.71	563.18	493.56	414.87	397.93	884.29	988.12	575.03	842.36	540.19	738.29	796.86	381.68	507.46	785.88	688.78	624.99	759.08	1127.35	629.35
SGPL1	199.85	239.52	397.93	329.84	392.44	403.5	201.25	395.18	332.14	536.45	500.46	450.94	532.74	878.17	395.18	193.01	403.5	221.86	164.42	218.79	183.82	253.23	258.57	149.12	241.19	309.83	155.5	293.07	202.66	154.42	217.27	182.55	215.77	264.03	309.83	141.02
SIRT7	180.02	194.36	500.46	387.02	669.92	748.61	198.47	511.0	454.09	878.17	703.28	1001.93	1127.35	1322.37	836.53	100.83	698.41	251.48	161.02	202.66	191.67	346.29	318.57	327.56	403.5	368.65	316.37	435.55	366.09	301.33	417.77	387.02	409.15	379.04	629.35	400.71
SLC22A23	124.37	61.25	353.59	293.07	532.74	507.46	124.37	476.71	273.37	620.67	599.49	563.18	961.07	1081.39	551.56	42.11	595.34	139.07	68.55	113.56	72.01	186.4	126.12	134.3	140.04	163.28	102.25	143.01	138.1	110.43	202.66	113.56	180.02	113.56	303.44	122.64
SLC22A5	75.11	55.89	197.09	255.0	518.15	591.22	65.72	368.65	283.05	551.56	460.44	521.76	796.86	1286.18	339.14	128.79	743.43	156.59	123.5	131.51	153.34	167.9	153.34	189.02	150.17	139.07	182.55	191.67	175.07	69.52	166.73	186.4	154.42	159.9	206.94	138.1
SLC35F2	34.26	24.28	187.71	175.07	269.6	232.94	40.07	205.5	129.69	423.61	303.44	242.88	480.04	551.56	202.66	21.01	140.04	59.13	23.59	18.29	15.68	34.75	62.12	37.32	56.68	37.05	16.39	53.57	37.32	20.71	27.25	21.32	24.46	28.45	50.63	21.32
SMPDL3A	297.17	159.9	607.87	629.35	647.07	547.75	68.07	1437.15	688.78	1697.45	2319.15	1697.45	3716.2	4066.71	1340.84	91.41	1685.71	132.44	153.34	151.22	112.77	376.41	231.32	167.9	212.78	89.51	72.52	151.22	204.07	178.77	155.5	281.09	88.88	289.02	212.78	114.36
TMEM102	13.83	15.8	94.67	70.01	149.12	177.53	8.45	92.7	72.01	287.01	229.72	339.14	420.68	463.65	156.59	0.0	98.73	27.84	1.19	6.89	5.63	66.65	34.26	30.12	60.82	52.08	32.13	59.55	40.64	38.67	65.72	33.54	33.78	32.36	112.77	30.12
TMEM141	780.44	785.88	2018.8	3955.48	2895.31	2573.36	866.07	4358.66	2400.97	7280.4	4802.93	7382.04	13776.25	9540.5	5711.87	334.46	2400.97	518.15	612.11	764.36	587.13	780.44	854.13	591.22	947.83	713.11	830.75	660.68	551.56	791.35	791.35	723.08	723.08	825.0	1259.69	769.69
TMEM54	1199.98	1167.14	4512.4	4972.34	5112.16	8247.98	902.89	6561.36	3716.2	9279.58	11424.74	21617.82	22225.61	22380.2	7382.04	1277.29	5041.77	915.51	563.18	521.76	497.0	1487.87	2104.58	1561.89	1651.0	1781.89	1583.71	1529.73	1594.73	1819.35	1295.13	961.07	1225.22	1487.87	3742.05	1225.22
TOR2A	111.21	71.5	283.05	379.04	420.68	395.18	92.05	336.79	334.46	603.67	480.04	571.05	780.44	860.08	493.56	74.58	368.65	127.0	85.82	139.07	110.43	191.67	202.66	148.09	320.8	195.72	234.57	293.07	180.02	181.28	299.25	237.86	190.34	277.2	318.57	267.73
TSPAN6	144.01	106.63	656.11	825.0	1015.93	813.63	181.28	1030.12	466.88	1651.0	1369.04	1477.58	2956.17	3060.45	1167.14	44.57	1457.23	186.4	194.36	208.38	166.73	503.95	332.14	387.02	571.05	153.34	77.25	177.53	289.02	133.36	191.67	221.86	262.2	244.57	348.71	309.83
TST	688.78	503.95	1674.06	2935.74	2645.74	7382.04	343.89	3303.0	2047.0	8363.13	7749.1	11992.79	15499.21	17681.08	5751.61	171.45	2384.37	253.23	173.85	262.2	237.86	954.43	638.15	454.09	1081.39	703.28	660.68	679.29	595.34	909.17	753.83	693.58	995.0	1023.0	2224.63	848.22
TTC38	376.41	299.25	967.76	860.08	2133.97	2997.45	366.09	2119.22	961.07	1909.85	1437.15	1819.35	2485.67	2777.33	1551.09	336.79	1159.07	403.5	511.0	490.14	483.38	579.04	444.72	616.37	591.22	525.39	490.14	400.71	808.0	376.41	457.25	775.05	961.07	941.27	583.07	493.56
TTLL12	260.38	363.56	743.43	647.07	1322.37	1427.22	177.53	775.05	674.59	1617.0	1277.29	1674.06	1950.0	2384.37	1119.56	155.5	753.83	273.37	264.03	327.56	255.0	688.78	559.28	358.54	693.58	718.08	540.19	470.14	595.34	595.34	403.5	536.45	909.17	780.44	1159.07	540.19
VILL	75.64	68.07	633.73	693.58	1059.11	1081.39	121.79	785.88	432.53	1870.53	1923.14	2133.97	3768.09	4512.4	1662.49	50.98	961.07	135.24	48.18	67.12	42.41	194.36	255.0	185.11	177.53	146.03	127.0	246.28	218.79	106.63	206.94	149.12	128.79	127.0	1051.79	145.02
ZBTB7B	591.22	567.1	1096.5	1135.2	1685.71	1561.89	493.56	1322.37	1159.07	2209.26	2104.58	2018.8	3443.31	3716.2	2061.24	395.18	1896.65	500.46	723.08	536.45	612.11	928.3	525.39	954.43	1250.98	1313.23	1467.37	808.0	743.43	967.76	848.22	954.43	1277.29	902.89	1259.69	1175.27
ZDHHC12	285.03	348.71	884.29	1044.52	1199.98	1340.84	271.48	1051.79	961.07	1685.71	1857.6	2271.4	3081.75	2935.74	1605.83	92.7	1175.27	403.5	191.67	287.01	232.94	612.11	698.41	599.49	878.17	507.46	540.19	633.73	480.04	748.61	536.45	486.75	642.59	780.44	1023.0	638.15
