	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
PURA	111.99	470.14	325.29	159.9	248.0	327.56	353.59	277.2	186.4	454.09	356.05	244.57	444.72	295.11	285.03	318.57	348.71	260.38	301.33	381.68	267.73	267.73	212.78	366.09	327.56	262.2	204.07	376.41	336.79	114.36	178.77	109.66	224.97	287.01	201.25	181.28	211.31	88.26	42.71	76.17	83.45	56.68	45.53
PYROXD1	98.04	368.65	514.56	175.07	283.05	351.14	327.56	273.37	275.28	346.29	748.61	220.32	490.14	438.59	264.03	406.31	441.64	241.19	361.04	285.03	387.02	237.86	271.48	412.0	149.12	190.34	107.38	493.56	447.82	299.25	239.52	198.47	480.04	199.85	215.77	251.48	189.02	112.77	14.03	86.43	57.49	127.0	34.75
RANBP17	7.51	73.54	75.11	25.17	20.26	36.79	39.22	16.75	19.68	44.89	87.03	14.78	57.08	50.63	19.97	25.35	49.91	15.8	26.47	23.59	28.65	24.11	26.28	23.25	37.05	17.38	19.82	59.97	36.53	14.35	23.93	13.72	48.52	19.25	9.85	40.64	15.45	16.03	22.1	29.7	28.65	6.46	5.06
RICTOR	32.59	397.93	351.14	62.12	150.17	190.34	299.25	228.13	94.67	397.93	480.04	169.07	363.56	299.25	173.85	231.32	392.44	152.28	239.52	289.02	186.4	134.3	113.56	145.02	139.07	106.63	108.9	312.0	253.23	102.25	93.35	82.29	191.67	84.04	72.52	169.07	111.21	44.89	11.82	49.91	38.95	39.79	24.11
RIF1	47.17	529.06	438.59	60.82	212.78	208.38	384.34	269.6	130.6	463.65	684.02	166.73	414.87	348.71	208.38	291.04	457.25	171.45	301.33	297.17	224.97	183.82	128.79	218.79	209.84	127.0	164.42	441.64	400.71	91.41	148.09	134.3	186.4	118.43	88.26	182.55	145.02	50.27	8.51	40.93	34.75	33.78	14.03
RLF	59.55	341.51	376.41	71.0	195.72	187.71	271.48	186.4	130.6	314.17	483.38	147.06	279.14	323.03	166.73	212.78	312.0	162.14	209.84	237.86	189.02	149.12	122.64	166.73	190.34	147.06	136.19	241.19	228.13	105.15	146.03	123.5	234.57	105.89	102.97	172.65	161.02	38.95	10.39	42.41	28.04	37.05	20.56
RLIM	84.04	450.94	463.65	137.14	316.37	295.11	341.51	327.56	189.02	414.87	591.22	244.57	409.15	500.46	279.14	307.69	423.61	234.57	297.17	320.8	323.03	256.78	175.07	293.07	264.03	234.57	164.42	323.03	341.51	175.07	244.57	176.29	389.72	183.82	191.67	253.23	273.37	115.16	59.97	117.6	113.56	63.0	51.35
RP11-438J1.1	0.66	95.34	71.0	11.55	25.54	28.86	28.65	45.21	36.53	81.14	57.89	5.11	24.28	43.02	30.78	21.63	33.78	18.56	50.63	42.11	18.84	10.31	0.0	14.89	16.27	14.78	8.99	8.78	26.67	6.94	8.71	2.34	35.76	3.03	0.0	0.0	2.58	5.54	6.52	0.0	0.0	6.57	0.0
SH3RF1	77.25	368.65	343.89	104.42	151.22	226.54	281.09	180.02	114.36	346.29	289.02	176.29	293.07	248.0	195.72	277.2	444.72	164.42	215.77	195.72	239.52	187.71	185.11	175.07	211.31	144.01	112.77	275.28	336.79	137.14	127.0	140.04	348.71	177.53	198.47	387.02	155.5	176.29	76.17	110.43	84.63	43.94	39.22
SLC30A7	50.98	285.03	281.09	63.89	115.16	161.02	182.55	175.07	101.54	229.72	264.03	118.43	212.78	318.57	151.22	137.14	206.94	130.6	143.01	199.85	146.03	122.64	84.63	155.5	147.06	76.71	82.87	237.86	130.6	59.97	152.28	94.01	165.57	68.55	63.0	156.59	157.68	133.36	78.89	120.1	117.6	65.26	55.89
SLC35A3	110.43	642.59	612.11	159.9	341.51	563.18	493.56	435.55	269.6	674.59	698.41	368.65	543.96	595.34	387.02	412.0	567.1	323.03	429.54	536.45	368.65	343.89	220.32	450.94	371.22	183.82	149.12	514.56	514.56	232.94	285.03	289.02	518.15	264.03	180.02	444.72	283.05	159.9	74.06	115.97	57.89	141.02	124.37
SRFBP1	37.05	258.57	251.48	62.12	112.77	156.59	231.32	166.73	111.99	236.21	420.68	132.44	218.79	241.19	139.07	147.06	231.32	121.79	137.14	176.29	121.79	99.43	81.71	170.25	135.24	128.79	66.65	209.84	205.5	82.29	147.06	141.02	211.31	100.83	90.14	189.02	153.34	53.95	12.09	35.5	20.11	29.91	15.68
TDG	157.68	480.04	567.1	137.14	232.94	229.72	327.56	285.03	183.82	441.64	629.35	220.32	384.34	438.59	262.2	305.55	423.61	201.25	293.07	316.37	265.87	198.47	172.65	267.73	305.55	217.27	182.55	397.93	371.22	130.6	251.48	226.54	341.51	198.47	157.68	279.14	237.86	111.21	100.83	136.19	208.38	132.44	87.65
TET2	38.67	229.72	241.19	35.76	108.14	98.73	231.32	119.26	63.45	228.13	366.09	81.71	242.88	220.32	109.66	148.09	214.27	93.35	145.02	163.28	126.12	89.51	49.91	92.7	124.37	75.11	69.52	267.73	195.72	63.0	77.25	66.18	159.9	64.34	56.68	94.01	72.52	27.44	10.39	32.36	32.59	17.9	9.85
TNKS2	153.34	819.3	860.08	248.0	543.96	599.49	684.02	595.34	371.22	780.44	902.89	403.5	785.88	791.35	511.0	612.11	688.78	473.41	656.11	665.29	514.56	507.46	351.14	497.0	497.0	392.44	343.89	791.35	647.07	267.73	303.44	376.41	540.19	318.57	281.09	547.75	295.11	153.34	129.69	218.79	143.01	102.25	111.99
ZC3H6	21.78	163.28	146.03	42.41	107.38	115.97	172.65	127.89	63.89	169.07	180.02	89.51	167.9	135.24	96.01	152.28	187.71	97.36	180.02	127.0	113.56	81.14	89.51	100.83	67.59	49.56	56.68	143.01	111.99	68.07	54.72	47.17	80.01	63.89	43.94	84.63	53.57	32.59	6.21	27.44	14.35	8.19	5.68
ZNF292	31.0	384.34	397.93	60.82	157.68	167.9	343.89	191.67	146.03	409.15	543.96	180.02	371.22	285.03	165.57	256.78	403.5	141.02	239.52	226.54	183.82	169.07	120.1	232.94	194.36	113.56	114.36	358.54	234.57	108.9	126.12	105.89	241.19	128.79	87.03	135.24	148.09	26.1	8.58	29.48	18.7	25.35	6.06
ZNF347	21.78	199.85	177.53	65.72	102.97	153.34	173.85	126.12	88.88	182.55	212.78	86.43	181.28	162.14	119.26	123.5	191.67	94.67	145.02	186.4	121.79	80.01	76.71	113.56	152.28	114.36	75.64	180.02	162.14	52.82	97.36	37.32	153.34	65.26	75.11	115.97	107.38	45.21	26.67	27.25	19.82	2.07	4.1
ZNF654	27.25	248.0	226.54	60.82	137.14	163.28	201.25	141.02	120.94	248.0	336.79	102.25	242.88	221.86	149.12	185.11	218.79	111.99	194.36	154.42	163.28	135.24	133.36	201.25	186.4	169.07	72.52	186.4	182.55	107.38	94.67	74.58	131.51	123.5	114.36	195.72	124.37	32.82	8.85	31.9	28.24	28.65	17.51
ZNF891	14.67	73.03	59.13	18.16	33.3	32.13	53.95	41.81	30.12	63.0	83.45	27.84	63.0	58.71	30.34	47.17	60.39	25.91	42.41	46.18	44.25	31.9	32.36	33.78	36.79	26.86	21.32	60.82	46.84	12.64	32.82	16.88	33.54	19.97	14.45	14.67	50.98	10.16	6.62	9.41	6.06	8.71	7.22
