	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
ASXL2	48.87	189.02	215.77	170.25	320.8	90.14	94.67	314.17	74.06	46.18	102.25	115.97	111.21	82.87	72.52	140.04	277.2	201.25	120.94	118.43	175.07	199.85	183.82	103.69	215.77	85.82	149.12	105.89	111.21	265.87	75.64	47.5	158.79	214.27	99.43	128.79	112.77	135.24	126.12	231.32	171.45	211.31	215.77	120.1	176.29	246.28	197.09	94.01	118.43	277.2	147.06	144.01	339.14	107.38	76.17	297.17	244.57	92.7	107.38	99.43	159.9	71.0	163.28	82.29	91.41	169.07	115.16	150.17	215.77	137.14	44.25	127.0	97.36	113.56	83.45	128.79	105.15	109.66	221.86	255.0	253.23	176.29	103.69	68.55	88.26	51.35	37.05	20.41	29.27	20.71	37.59	47.84	35.5	39.79	47.17	43.32	31.45	48.18	26.28	31.22	36.53	43.94	45.85	20.41	48.18	37.05	35.0	23.25
ATP2B1	532.74	381.68	332.14	346.29	332.14	336.79	314.17	312.0	140.04	134.3	205.5	205.5	265.87	154.42	291.04	237.86	490.14	327.56	248.0	343.89	463.65	587.13	454.09	457.25	808.0	220.32	624.99	140.04	642.59	454.09	199.85	150.17	454.09	275.28	323.03	267.73	339.14	255.0	309.83	444.72	221.86	1175.27	314.17	191.67	417.77	395.18	579.04	199.85	547.75	555.41	490.14	206.94	536.45	532.74	102.25	656.11	281.09	323.03	320.8	157.68	187.71	236.21	198.47	256.78	121.79	486.75	575.03	361.04	379.04	293.07	256.78	211.31	392.44	348.71	221.86	248.0	165.57	242.88	543.96	547.75	387.02	283.05	303.44	138.1	339.14	129.69	75.64	87.03	124.37	85.82	110.43	127.89	86.43	77.79	96.01	78.89	127.0	62.56	37.32	71.5	86.43	65.72	138.1	92.05	172.65	74.06	79.45	50.27
ATP6V1A	293.07	974.5	830.75	941.27	591.22	703.28	759.08	775.05	603.67	463.65	414.87	860.08	842.36	665.29	371.22	718.08	1104.13	1073.91	842.36	836.53	842.36	1015.93	607.87	1015.93	988.12	633.73	902.89	728.11	514.56	1073.91	567.1	532.74	791.35	848.22	830.75	866.07	684.02	703.28	961.07	1167.14	981.29	1096.5	813.63	934.76	1268.46	1242.34	2032.85	688.78	890.44	1674.06	866.07	934.76	1350.18	444.72	638.15	825.0	1651.0	532.74	775.05	1015.93	679.29	343.89	974.5	595.34	995.0	473.41	1208.34	607.87	674.59	1081.39	1143.1	854.13	1001.93	791.35	848.22	915.51	808.0	583.07	934.76	1313.23	1008.9	1191.69	785.88	536.45	656.11	547.75	348.71	518.15	273.37	255.0	236.21	423.61	521.76	343.89	579.04	503.95	466.88	346.29	444.72	384.34	316.37	454.09	381.68	406.31	463.65	417.77	423.61	361.04
C5orf22	180.02	511.0	295.11	392.44	224.97	423.61	249.73	339.14	316.37	281.09	194.36	426.57	346.29	246.28	281.09	281.09	417.77	366.09	281.09	348.71	320.8	450.94	429.54	457.25	366.09	283.05	316.37	356.05	441.64	796.86	348.71	318.57	371.22	368.65	332.14	651.58	320.8	507.46	323.03	486.75	389.72	435.55	397.93	409.15	279.14	718.08	825.0	220.32	389.72	525.39	323.03	291.04	555.41	249.73	397.93	500.46	343.89	229.72	234.57	314.17	332.14	265.87	363.56	379.04	228.13	285.03	470.14	351.14	429.54	412.0	473.41	356.05	397.93	283.05	183.82	379.04	307.69	447.82	348.71	511.0	450.94	283.05	447.82	281.09	389.72	236.21	186.4	165.57	316.37	183.82	208.38	191.67	141.02	127.0	291.04	147.06	147.06	161.02	131.51	164.42	167.9	194.36	190.34	161.02	229.72	182.55	237.86	122.64
C5orf51	137.14	447.82	231.32	336.79	198.47	267.73	197.09	303.44	256.78	199.85	193.01	287.01	231.32	154.42	176.29	175.07	371.22	329.84	253.23	258.57	281.09	395.18	423.61	287.01	376.41	241.19	327.56	281.09	293.07	412.0	299.25	231.32	339.14	351.14	271.48	279.14	229.72	265.87	248.0	258.57	332.14	529.06	400.71	267.73	358.54	470.14	612.11	246.28	316.37	409.15	343.89	325.29	301.33	303.44	251.48	507.46	363.56	164.42	148.09	248.0	262.2	176.29	417.77	325.29	193.01	212.78	397.93	305.55	384.34	343.89	395.18	218.79	339.14	237.86	171.45	267.73	320.8	341.51	454.09	373.81	423.61	323.03	507.46	242.88	312.0	134.3	99.43	89.51	191.67	137.14	139.07	105.15	100.13	93.35	211.31	159.9	113.56	88.88	81.71	75.64	97.36	211.31	108.14	111.99	154.42	102.25	125.24	63.0
CBX5	53.19	497.0	438.59	555.41	698.41	412.0	351.14	748.61	454.09	470.14	231.32	426.57	303.44	206.94	211.31	412.0	503.95	525.39	490.14	571.05	529.06	555.41	928.3	466.88	1340.84	318.57	688.78	312.0	343.89	1088.92	291.04	178.77	555.41	358.54	426.57	423.61	361.04	483.38	500.46	361.04	392.44	638.15	540.19	836.53	669.92	743.43	934.76	371.22	532.74	540.19	551.56	348.71	656.11	389.72	532.74	1388.16	669.92	169.07	336.79	332.14	507.46	412.0	208.38	507.46	291.04	514.56	503.95	476.71	397.93	595.34	802.41	363.56	514.56	361.04	271.48	426.57	400.71	547.75	934.76	775.05	444.72	423.61	231.32	186.4	414.87	212.78	143.01	153.34	183.82	82.87	146.03	177.53	132.44	98.73	226.54	293.07	102.97	98.04	98.04	117.6	167.9	133.36	80.01	241.19	137.14	155.5	183.82	85.22
CLCN3	316.37	1216.75	1001.93	1023.0	909.17	466.88	674.59	1167.14	373.81	457.25	246.28	543.96	629.35	312.0	361.04	819.3	909.17	1159.07	679.29	473.41	563.18	813.63	802.41	540.19	743.43	486.75	769.69	406.31	928.3	1437.15	412.0	215.77	878.17	825.0	525.39	381.68	454.09	723.08	507.46	1023.0	1709.26	830.75	775.05	813.63	974.5	1216.75	848.22	563.18	1044.52	791.35	1023.0	813.63	836.53	447.82	493.56	1331.57	1605.83	447.82	647.07	312.0	587.13	267.73	1359.57	669.92	830.75	669.92	629.35	473.41	633.73	679.29	607.87	738.29	1044.52	679.29	1059.11	599.49	941.27	323.03	884.29	620.67	733.19	1199.98	866.07	423.61	339.14	163.28	90.14	194.36	98.73	102.97	118.43	130.6	165.57	136.19	226.54	139.07	237.86	232.94	186.4	129.69	161.02	209.84	255.0	108.14	169.07	102.25	208.38	142.01
CLOCK	92.7	329.84	236.21	295.11	387.02	121.79	201.25	346.29	134.3	148.09	117.6	163.28	159.9	104.42	126.12	153.34	320.8	295.11	186.4	236.21	195.72	339.14	343.89	176.29	314.17	189.02	281.09	123.5	183.82	595.34	127.89	92.05	341.51	249.73	183.82	180.02	172.65	223.41	155.5	339.14	260.38	255.0	232.94	348.71	368.65	426.57	441.64	209.84	301.33	293.07	224.97	224.97	325.29	138.1	105.89	486.75	307.69	111.21	181.28	92.7	265.87	108.9	351.14	108.9	157.68	444.72	209.84	244.57	267.73	318.57	271.48	175.07	165.57	141.02	124.37	265.87	163.28	159.9	400.71	258.57	379.04	195.72	198.47	137.14	136.19	74.06	30.34	82.87	43.02	34.26	63.0	57.49	47.17	62.56	85.22	65.72	63.0	42.71	68.55	53.95	69.03	60.39	53.19	50.98	71.0	69.52	53.19	14.67
CNOT6L	147.06	454.09	316.37	236.21	323.03	145.02	262.2	346.29	169.07	287.01	147.06	190.34	220.32	158.79	101.54	163.28	723.08	466.88	202.66	316.37	368.65	497.0	480.04	299.25	412.0	186.4	297.17	287.01	231.32	480.04	246.28	130.6	447.82	387.02	253.23	205.5	229.72	277.2	299.25	480.04	267.73	258.57	387.02	366.09	518.15	412.0	860.08	231.32	412.0	279.14	283.05	490.14	389.72	241.19	115.97	493.56	371.22	182.55	195.72	171.45	329.84	94.01	423.61	201.25	140.04	323.03	193.01	412.0	273.37	271.48	283.05	234.57	236.21	164.42	164.42	251.48	164.42	214.27	525.39	490.14	507.46	244.57	251.48	177.53	185.11	120.94	43.02	92.05	72.52	55.89	72.01	113.56	58.3	132.44	78.89	66.18	75.64	76.71	71.5	42.11	94.67	75.11	86.43	37.59	120.1	99.43	97.36	59.13
COX6C	83528.61	168220.2	223512.12	152662.96	256748.15	331809.5	185362.8	194578.47	209994.66	170568.48	105727.15	176583.6	185362.8	132900.7	159145.95	201440.3	198667.0	221968.2	207103.59	140478.49	211455.3	112532.89	87681.42	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	105727.15	150561.19	140478.49	144427.91	148488.36	228208.61	202841.44	169390.27	186652.11	229795.93	391864.76	193234.41	147462.67	145432.49	425853.18	114103.8	125731.67	97965.44	217400.14	127486.83	125731.67	320506.81	170568.48	205673.01	177811.84	122293.5	269512.87	174152.51	160252.91	191899.64	189257.69	147462.67	110216.97	146444.06	208544.12	195931.88	194578.47	253213.41	180294.02	437825.58	527933.71	200048.85	197294.7	184082.4	228208.61	116501.39	286861.53	205673.01	180294.02	223512.12	127486.83	126606.21	158046.64	492579.5	204252.32	164758.26	61146.25	32767.0	32767.0	59887.86	19892.37	39785.74	32767.0	37639.55	38430.46	44452.21	60304.42	41475.31	29531.18	33688.23	59063.35	34396.12	55877.28	32994.92	46019.85	48643.87	37121.34	55491.3	12589.08
CREB1	173.85	423.61	536.45	412.0	633.73	211.31	297.17	567.1	211.31	265.87	178.77	387.02	318.57	156.59	287.01	316.37	733.19	329.84	279.14	429.54	567.1	483.38	693.58	239.52	486.75	312.0	346.29	299.25	307.69	521.76	334.46	176.29	665.29	507.46	318.57	279.14	320.8	327.56	356.05	642.59	299.25	547.75	454.09	414.87	624.99	693.58	743.43	305.55	567.1	723.08	358.54	460.44	616.37	358.54	224.97	616.37	480.04	206.94	320.8	309.83	366.09	165.57	490.14	277.2	198.47	376.41	255.0	518.15	258.57	348.71	283.05	242.88	299.25	329.84	182.55	441.64	264.03	197.09	583.07	525.39	493.56	287.01	228.13	297.17	271.48	132.44	92.7	73.54	77.79	138.1	175.07	139.07	76.17	135.24	132.44	112.77	80.57	108.9	94.01	96.01	117.6	125.24	110.43	98.73	182.55	189.02	105.15	103.69
CTDSPL2	101.54	470.14	376.41	480.04	366.09	231.32	177.53	575.03	153.34	205.5	141.02	429.54	206.94	147.06	151.22	156.59	551.56	497.0	237.86	265.87	454.09	476.71	733.19	218.79	368.65	249.73	387.02	228.13	314.17	423.61	176.29	115.16	341.51	432.53	392.44	400.71	212.78	297.17	236.21	387.02	256.78	329.84	348.71	384.34	473.41	466.88	728.11	224.97	460.44	435.55	346.29	346.29	444.72	198.47	186.4	447.82	316.37	190.34	269.6	277.2	316.37	100.83	336.79	275.28	149.12	264.03	206.94	327.56	397.93	305.55	395.18	267.73	305.55	139.07	114.36	389.72	660.68	450.94	480.04	406.31	348.71	220.32	195.72	145.02	206.94	93.35	47.84	54.72	45.21	52.45	67.59	75.64	43.63	50.63	106.63	139.07	54.33	77.79	46.5	40.93	74.06	88.88	55.89	49.21	87.03	40.07	78.89	37.59
DBT	56.28	212.78	134.3	198.47	142.01	77.25	105.15	220.32	75.64	76.71	87.65	176.29	142.01	78.34	79.45	137.14	221.86	135.24	127.0	176.29	170.25	209.84	237.86	204.07	111.99	102.25	273.37	88.88	141.02	232.94	77.79	50.63	193.01	133.36	149.12	72.52	109.66	120.1	135.24	255.0	223.41	133.36	195.72	156.59	260.38	244.57	242.88	111.21	189.02	156.59	100.83	223.41	226.54	95.34	62.56	406.31	248.0	63.89	173.85	139.07	138.1	94.01	202.66	109.66	127.0	159.9	248.0	115.97	80.57	94.67	206.94	108.14	120.1	157.68	122.64	71.0	82.87	69.03	429.54	173.85	205.5	169.07	63.45	32.82	76.17	66.65	70.01	96.01	56.68	56.68	123.5	60.39	94.01	55.89	62.12	87.03	66.65	50.98	65.26	43.02	63.0	74.06	39.79	36.27	87.65	78.34	73.54	90.77
DCK	198.47	830.75	307.69	1030.12	693.58	521.76	733.19	514.56	379.04	353.59	197.09	409.15	327.56	346.29	217.27	239.52	748.61	723.08	400.71	438.59	518.15	703.28	665.29	457.25	289.02	351.14	305.55	258.57	518.15	587.13	186.4	221.86	693.58	392.44	363.56	150.17	273.37	423.61	244.57	480.04	466.88	226.54	327.56	629.35	612.11	674.59	665.29	381.68	796.86	346.29	281.09	351.14	500.46	262.2	130.6	974.5	753.83	339.14	336.79	153.34	438.59	194.36	669.92	323.03	269.6	638.15	1135.2	387.02	420.68	441.64	381.68	470.14	231.32	480.04	251.48	312.0	473.41	463.65	441.64	486.75	612.11	260.38	759.08	339.14	329.84	142.01	48.52	62.12	122.64	30.56	89.51	124.37	49.56	85.82	212.78	171.45	139.07	119.26	85.82	47.17	94.01	107.38	130.6	92.7	205.5	106.63	103.69	50.98
DCP2	260.38	301.33	277.2	376.41	162.14	197.09	248.0	414.87	271.48	155.5	197.09	249.73	204.07	189.02	157.68	176.29	307.69	169.07	190.34	297.17	547.75	371.22	358.54	301.33	214.27	175.07	208.38	161.02	529.06	389.72	223.41	142.01	325.29	260.38	264.03	170.25	293.07	218.79	206.94	241.19	281.09	341.51	309.83	341.51	403.5	204.07	466.88	170.25	343.89	395.18	182.55	195.72	473.41	197.09	133.36	334.46	204.07	305.55	264.03	209.84	155.5	194.36	197.09	412.0	150.17	253.23	205.5	195.72	320.8	260.38	420.68	150.17	204.07	320.8	158.79	323.03	162.14	176.29	293.07	400.71	248.0	194.36	220.32	156.59	256.78	127.0	52.82	74.58	96.01	79.45	70.01	136.19	59.13	72.52	87.03	83.45	44.57	58.3	64.34	80.01	81.14	56.28	85.82	124.37	135.24	55.1	87.03	46.18
DDX6	132.44	587.13	819.3	1030.12	791.35	353.59	571.05	928.3	232.94	379.04	387.02	579.04	633.73	283.05	195.72	679.29	1350.18	995.0	808.0	1143.1	836.53	684.02	967.76	603.67	775.05	500.46	575.03	525.39	521.76	1030.12	967.76	258.57	802.41	884.29	769.69	559.28	540.19	591.22	409.15	995.0	854.13	1073.91	693.58	738.29	967.76	1030.12	1477.58	612.11	738.29	1104.13	961.07	785.88	775.05	503.95	297.17	1159.07	981.29	221.86	486.75	314.17	1001.93	341.51	718.08	426.57	511.0	775.05	684.02	872.1	638.15	713.11	669.92	373.81	603.67	289.02	423.61	536.45	293.07	373.81	915.51	860.08	728.11	848.22	493.56	327.56	435.55	183.82	71.5	78.34	54.33	63.45	82.29	90.14	100.13	106.63	150.17	148.09	79.45	105.15	78.34	111.21	108.9	186.4	155.5	66.65	140.04	113.56	92.05	116.78
DHX15	1936.53	2502.97	2178.83	2209.26	1697.45	1639.59	1208.34	1819.35	1936.53	1378.57	1487.87	2255.7	1883.54	1540.37	2777.33	1519.15	1628.26	1781.89	1216.75	1709.26	2573.36	2468.49	2417.67	2240.11	2075.59	1977.24	2796.65	1583.71	2271.4	3303.0	1498.22	1059.11	1427.22	1757.34	1551.09	1519.15	1467.37	2451.44	1572.76	3018.3	1721.16	2061.24	2255.7	2303.12	3081.75	1963.57	3235.01	1651.0	2193.99	2434.5	1477.58	1457.23	2417.67	1350.18	1378.57	3190.46	1870.53	1583.71	2520.38	1467.37	1781.89	1896.65	2032.85	1651.0	1008.9	2485.67	2047.0	2682.69	2004.85	1870.53	1844.76	1832.01	2148.82	2178.83	1216.75	1143.1	1259.69	1757.34	2739.08	2178.83	2133.97	1388.16	1059.11	1709.26	1870.53	728.11	842.36	915.51	921.88	536.45	866.07	1127.35	813.63	780.44	902.89	890.44	521.76	738.29	647.07	713.11	703.28	1051.79	830.75	1023.0	878.17	1015.93	915.51	406.31
DNAJB14	72.01	476.71	293.07	450.94	438.59	193.01	255.0	371.22	157.68	187.71	151.22	205.5	285.03	194.36	146.03	208.38	511.0	379.04	253.23	215.77	366.09	358.54	432.53	187.71	395.18	202.66	348.71	229.72	327.56	473.41	204.07	147.06	559.28	400.71	231.32	206.94	242.88	226.54	312.0	423.61	267.73	457.25	323.03	279.14	314.17	579.04	525.39	228.13	356.05	320.8	285.03	221.86	346.29	198.47	104.42	660.68	417.77	211.31	249.73	169.07	251.48	123.5	473.41	195.72	164.42	339.14	275.28	351.14	214.27	327.56	356.05	260.38	231.32	224.97	187.71	289.02	303.44	226.54	555.41	323.03	406.31	289.02	341.51	232.94	212.78	114.36	42.41	108.14	64.34	58.3	87.65	70.51	92.05	96.68	104.42	71.5	61.68	89.51	102.25	29.48	79.45	75.64	55.49	28.24	141.02	78.89	102.25	26.47
EEA1	90.77	189.02	205.5	144.01	124.37	64.8	80.01	112.77	49.91	55.89	54.72	115.16	93.35	78.89	28.24	66.18	271.48	178.77	95.34	164.42	147.06	171.45	241.19	65.72	205.5	62.12	146.03	85.82	75.11	253.23	84.63	56.28	178.77	201.25	122.64	65.72	97.36	68.07	104.42	159.9	80.57	162.14	149.12	186.4	281.09	305.55	297.17	69.03	167.9	193.01	103.69	88.26	181.28	108.14	57.49	249.73	224.97	77.25	89.51	105.15	111.99	67.59	76.71	63.89	59.97	137.14	119.26	147.06	88.26	100.83	206.94	114.36	133.36	44.57	66.65	137.14	93.35	145.02	285.03	159.9	155.5	94.67	91.41	76.17	108.9	71.5	40.64	41.52	40.64	35.25	66.65	43.32	46.5	64.8	39.79	51.35	36.53	48.52	42.41	29.91	53.95	57.08	49.56	21.01	80.57	50.98	56.68	17.38
FCHO2	142.01	318.57	223.41	381.68	312.0	173.85	204.07	305.55	190.34	251.48	141.02	255.0	139.07	248.0	150.17	187.71	361.04	348.71	201.25	283.05	314.17	363.56	351.14	236.21	265.87	162.14	241.19	329.84	209.84	351.14	180.02	153.34	334.46	356.05	248.0	267.73	206.94	186.4	190.34	351.14	258.57	351.14	387.02	327.56	299.25	356.05	500.46	178.77	423.61	356.05	199.85	297.17	387.02	226.54	123.5	642.59	320.8	170.25	141.02	218.79	228.13	156.59	299.25	185.11	113.56	122.64	346.29	297.17	208.38	249.73	363.56	283.05	232.94	273.37	157.68	246.28	204.07	256.78	353.59	323.03	423.61	242.88	148.09	154.42	169.07	206.94	100.13	94.01	108.9	86.43	102.97	107.38	85.82	101.54	113.56	140.04	88.88	130.6	97.36	84.63	94.01	116.78	109.66	111.21	265.87	61.25	262.2	48.18
FNIP1	58.71	497.0	339.14	447.82	187.71	152.28	217.27	432.53	186.4	155.5	171.45	301.33	341.51	182.55	157.68	218.79	429.54	366.09	232.94	339.14	279.14	420.68	532.74	343.89	363.56	242.88	279.14	291.04	361.04	532.74	228.13	271.48	318.57	392.44	205.5	403.5	209.84	202.66	273.37	412.0	279.14	660.68	361.04	460.44	323.03	346.29	426.57	187.71	325.29	529.06	293.07	376.41	348.71	193.01	150.17	397.93	299.25	191.67	175.07	198.47	223.41	135.24	279.14	170.25	164.42	305.55	420.68	181.28	291.04	325.29	587.13	356.05	297.17	269.6	239.52	323.03	327.56	269.6	444.72	497.0	450.94	283.05	267.73	366.09	205.5	169.07	88.88	77.25	104.42	117.6	120.1	129.69	97.36	122.64	137.14	94.67	87.03	150.17	80.01	90.77	104.42	133.36	106.63	104.42	163.28	81.71	132.44	63.45
FRYL	244.57	447.82	514.56	389.72	361.04	264.03	802.41	454.09	476.71	2895.31	307.69	373.81	406.31	336.79	358.54	351.14	753.83	346.29	279.14	299.25	438.59	559.28	848.22	921.88	466.88	1242.34	753.83	414.87	358.54	647.07	567.1	249.73	571.05	543.96	265.87	441.64	547.75	759.08	400.71	532.74	363.56	409.15	525.39	629.35	547.75	693.58	785.88	842.36	514.56	525.39	348.71	395.18	435.55	358.54	220.32	450.94	417.77	476.71	341.51	242.88	384.34	260.38	1697.45	559.28	199.85	409.15	406.31	536.45	463.65	480.04	363.56	490.14	476.71	303.44	185.11	708.18	291.04	343.89	400.71	1015.93	748.61	358.54	234.57	514.56	384.34	186.4	104.42	178.77	114.36	106.63	108.9	133.36	111.99	101.54	143.01	185.11	79.45	137.14	131.51	102.97	140.04	116.78	117.6	52.82	182.55	139.07	117.6	46.18
G2E3	67.12	142.01	258.57	346.29	293.07	169.07	253.23	226.54	105.89	98.73	72.52	189.02	170.25	93.35	98.04	138.1	329.84	267.73	138.1	387.02	463.65	291.04	287.01	164.42	285.03	121.79	165.57	150.17	172.65	236.21	107.38	75.64	307.69	204.07	98.04	109.66	163.28	198.47	115.97	329.84	232.94	176.29	195.72	242.88	341.51	356.05	866.07	165.57	277.2	379.04	237.86	154.42	244.57	224.97	114.36	947.83	255.0	92.7	183.82	181.28	214.27	105.89	212.78	145.02	113.56	234.57	166.73	277.2	287.01	291.04	202.66	287.01	226.54	167.9	100.13	226.54	116.78	156.59	281.09	167.9	285.03	215.77	209.84	98.04	205.5	74.06	36.53	26.28	37.85	28.45	36.27	44.57	28.65	35.0	53.19	37.85	29.48	51.71	33.06	26.47	28.86	48.18	35.0	34.02	53.95	40.36	33.78	13.93
G3BP2	612.11	1674.06	1963.57	1991.0	3168.41	1250.98	1407.55	1806.78	1104.13	934.76	669.92	1233.75	1030.12	981.29	854.13	1331.57	1977.24	1487.87	1340.84	1551.09	1639.59	2163.77	2335.28	1191.69	1685.71	1605.83	1583.71	819.3	1909.85	2701.35	1369.04	825.0	2758.13	1870.53	915.51	1685.71	1037.29	1487.87	1359.57	2537.92	1583.71	1674.06	1697.45	1487.87	2976.74	2367.9	2434.5	1127.35	1709.26	1467.37	2018.8	2255.7	2319.15	1127.35	733.19	2835.7	2133.97	921.88	1594.73	1143.1	1268.46	842.36	2319.15	981.29	1268.46	1733.13	3124.78	1572.76	1477.58	1950.0	1709.26	1417.35	1304.15	1225.22	1001.93	1651.0	1350.18	703.28	1806.78	2384.37	2224.63	1498.22	1340.84	836.53	961.07	665.29	151.22	346.29	325.29	260.38	361.04	476.71	389.72	395.18	603.67	301.33	620.67	521.76	473.41	212.78	441.64	497.0	438.59	336.79	587.13	420.68	432.53	532.74
GAPVD1	115.16	429.54	441.64	543.96	563.18	291.04	198.47	414.87	244.57	237.86	316.37	318.57	435.55	248.0	255.0	327.56	620.67	620.67	318.57	438.59	366.09	447.82	775.05	301.33	460.44	301.33	327.56	209.84	493.56	447.82	361.04	208.38	454.09	435.55	309.83	366.09	267.73	387.02	299.25	303.44	327.56	503.95	417.77	759.08	575.03	651.58	860.08	371.22	684.02	642.59	327.56	389.72	607.87	285.03	301.33	813.63	426.57	249.73	231.32	351.14	395.18	224.97	412.0	277.2	206.94	373.81	679.29	389.72	503.95	500.46	320.8	429.54	267.73	406.31	208.38	587.13	341.51	334.46	679.29	454.09	490.14	351.14	285.03	244.57	218.79	108.9	80.57	98.04	70.01	46.84	48.52	93.35	83.45	80.01	122.64	111.99	72.01	80.57	75.11	64.8	61.25	90.14	146.03	65.72	102.97	57.49	105.15	65.26
