	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8330.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8343.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13112.2126.SM.5GCO4	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K8.01A.11R.A42S.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.BQ.7055.11A.01R.1965.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EY.A3L3.01A.11R.A22K.07	TCGA.FL.A3WE.11A.11R.A22K.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N5.A4R8.01A.11R.A28V.07
PRR3	128.79	88.88	125.24	103.69	120.1	115.16	134.3	53.57	167.9	88.88	80.57	71.5	90.77	90.77	91.41	111.21	111.21	81.14	127.0	111.21	108.14	74.06	107.38	78.34	117.6	88.26	159.9	120.94	93.35	118.43	204.07	204.07	204.07	163.28	78.89	241.19	118.43	201.25	94.01	151.22	65.26	175.07	176.29	133.36	37.05	214.27	251.48	277.2	242.88	339.14	137.14	275.28	106.63	234.57	202.66	175.07	206.94	161.02	83.45	708.18	743.43	967.76	1066.48
RPP21	1250.98	1159.07	728.11	1119.56	595.34	595.34	1001.93	748.61	2090.03	769.69	638.15	612.11	708.18	753.83	743.43	836.53	1350.18	567.1	1225.22	1059.11	791.35	733.19	529.06	1051.79	647.07	825.0	1088.92	514.56	842.36	738.29	1447.15	1143.1	1233.75	1709.26	1359.57	1175.27	679.29	1030.12	733.19	2502.97	540.19	728.11	1781.89	1175.27	1457.23	1073.91	1651.0	2240.11	1685.71	2367.9	1225.22	1757.34	1135.2	1322.37	1143.1	1096.5	1073.91	1023.0	1199.98	2240.11	3212.66	4181.07	2193.99
SENP3	743.43	738.29	708.18	878.17	713.11	620.67	728.11	638.15	915.51	679.29	733.19	647.07	603.67	703.28	633.73	688.78	941.27	665.29	860.08	764.36	579.04	620.67	591.22	872.1	665.29	753.83	660.68	733.19	583.07	607.87	1216.75	1135.2	1066.48	1322.37	642.59	1685.71	769.69	1350.18	1519.15	2104.58	532.74	941.27	1250.98	1175.27	591.22	1167.14	1709.26	1991.0	1583.71	1757.34	830.75	2047.0	780.44	1359.57	1143.1	1023.0	1199.98	921.88	591.22	2400.97	1340.84	1208.34	2287.2
SKIV2L	1066.48	603.67	583.07	521.76	503.95	591.22	698.41	318.57	703.28	493.56	444.72	525.39	567.1	518.15	532.74	511.0	536.45	444.72	579.04	723.08	563.18	395.18	521.76	665.29	466.88	503.95	748.61	497.0	583.07	503.95	620.67	703.28	748.61	540.19	307.69	785.88	543.96	988.12	463.65	483.38	444.72	967.76	802.41	934.76	285.03	633.73	1135.2	1199.98	1008.9	1857.6	928.3	1359.57	599.49	1051.79	928.3	802.41	759.08	848.22	1183.45	1685.71	1225.22	2075.59	1950.0
SMPD2	698.41	220.32	124.37	193.01	145.02	114.36	231.32	122.64	575.03	260.38	103.69	178.77	178.77	231.32	127.89	120.1	647.07	158.79	620.67	158.79	143.01	208.38	127.0	339.14	182.55	182.55	249.73	138.1	181.28	165.57	297.17	289.02	239.52	563.18	199.85	417.77	176.29	323.03	295.11	872.1	105.15	241.19	332.14	309.83	305.55	281.09	297.17	412.0	397.93	441.64	463.65	435.55	441.64	387.02	320.8	283.05	269.6	273.37	297.17	395.18	334.46	251.48	212.78
SNRPC	2627.46	1628.26	1388.16	1447.15	1697.45	1407.55	1794.29	836.53	2032.85	1583.71	1529.73	1417.35	1709.26	1498.22	1870.53	2796.65	1583.71	1457.23	1617.0	1617.0	1594.73	1685.71	1508.65	2400.97	1685.71	1909.85	1111.82	1685.71	1487.87	1487.87	2895.31	2351.53	2240.11	3235.01	4328.55	2319.15	1594.73	2997.45	2018.8	6294.04	1417.35	1923.14	2451.44	1832.01	3325.99	2591.27	2468.49	3039.3	2682.69	4358.66	2090.03	2400.97	1857.6	2209.26	2627.46	2384.37	2384.37	2224.63	1963.57	6121.9	3303.0	7331.05	6337.83
STK38	406.31	96.01	112.77	125.24	84.04	137.14	214.27	90.77	190.34	191.67	115.16	99.43	103.69	214.27	182.55	149.12	236.21	176.29	248.0	129.69	148.09	147.06	148.09	273.37	142.01	194.36	166.73	206.94	120.94	121.79	346.29	314.17	373.81	341.51	221.86	559.28	143.01	229.72	172.65	96.01	94.01	234.57	473.41	466.88	11.47	289.02	753.83	656.11	651.58	674.59	191.67	872.1	228.13	633.73	334.46	435.55	457.25	327.56	325.29	693.58	532.74	708.18	412.0
TMEM234	275.28	100.83	128.79	177.53	84.04	68.07	193.01	198.47	260.38	156.59	79.45	106.63	161.02	185.11	88.26	129.69	242.88	140.04	217.27	232.94	137.14	161.02	115.97	135.24	162.14	176.29	170.25	108.14	142.01	162.14	381.68	320.8	366.09	507.46	80.57	426.57	220.32	246.28	232.94	183.82	134.3	211.31	447.82	403.5	70.51	371.22	713.11	802.41	490.14	583.07	279.14	872.1	318.57	575.03	432.53	348.71	373.81	361.04	332.14	638.15	543.96	529.06	624.99
TMEM256-PLSCR3	543.96	307.69	236.21	275.28	189.02	172.65	389.72	224.97	490.14	264.03	152.28	226.54	144.01	420.68	231.32	234.57	403.5	244.57	409.15	221.86	295.11	309.83	289.02	314.17	277.2	334.46	271.48	165.57	318.57	166.73	651.58	559.28	708.18	518.15	483.38	599.49	293.07	170.25	688.78	417.77	135.24	559.28	836.53	633.73	97.36	693.58	1151.06	1540.37	1216.75	1781.89	529.06	1268.46	409.15	1233.75	665.29	470.14	638.15	660.68	703.28	1008.9	1870.53	1397.83	728.11
UTP6	514.56	301.33	353.59	281.09	217.27	253.23	417.77	289.02	575.03	348.71	197.09	246.28	249.73	381.68	316.37	327.56	620.67	297.17	483.38	297.17	336.79	325.29	301.33	414.87	339.14	323.03	444.72	325.29	285.03	334.46	759.08	674.59	616.37	825.0	316.37	1268.46	417.77	656.11	587.13	476.71	457.25	679.29	1208.34	791.35	175.07	819.3	1340.84	1487.87	1369.04	1096.5	785.88	1605.83	808.0	941.27	624.99	624.99	733.19	599.49	764.36	1806.78	1950.0	1721.16	3280.18
