	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.AR.A256.01A.11R.A169.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.BH.A18Q.01A.12R.A12D.07	TCGA.75.5147.01A.01R.1628.07	TCGA.BR.4191.01A.02R.1131.13	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.FE.A239.01A.11R.A16R.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139YR.1226.SM.5IFEU	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.Z9EW.0226.SM.5CVM7
CCNA2	373.81	151.22	2645.74	151.22	417.77	463.65	438.59	94.01	73.03	190.34	307.69	126.12	21.94	49.21	9.85	20.26	27.64	20.56	10.16	16.27	16.88	19.11	16.75	22.75	11.13	18.97	25.54	13.93	40.64	10.31	52.08	20.26	30.56	15.45	11.38	10.55	15.11	12.45	19.82	18.56	14.89	36.01	21.63	22.92	20.41
CCNB2	866.07	197.09	1111.82	197.09	802.41	884.29	466.88	113.56	74.06	414.87	332.14	125.24	50.27	108.9	24.46	46.84	91.41	21.47	17.77	16.88	40.93	20.56	36.27	33.06	21.01	17.13	52.08	52.82	58.3	43.32	109.66	52.45	42.71	41.22	22.1	27.64	15.34	37.59	59.55	44.89	51.71	137.14	81.71	31.67	20.71
CDC25C	114.36	42.71	239.52	42.71	214.27	183.82	105.15	29.27	13.12	88.88	27.84	20.26	4.66	10.55	2.92	0.0	6.73	0.0	2.71	0.0	0.0	4.21	4.58	2.58	2.1	3.23	0.0	3.79	6.26	3.47	11.3	8.38	4.24	2.51	2.56	6.11	4.21	3.99	7.17	1.64	0.0	15.68	10.96	0.0	1.23
CDCA2	93.35	43.63	723.08	43.63	189.02	40.07	33.3	13.22	8.58	25.91	58.3	23.42	22.26	13.22	1.28	8.32	10.96	6.06	1.2	0.83	5.23	5.68	2.23	18.29	1.79	5.45	7.4	2.73	15.8	2.84	27.64	5.15	3.26	4.7	0.83	3.82	1.77	2.14	4.43	5.23	4.28	18.03	5.92	0.79	2.81
CDCA5	503.95	182.55	848.22	182.55	624.99	417.77	236.21	70.01	68.55	55.49	167.9	75.64	16.51	58.3	21.94	17.64	47.17	9.85	15.0	14.03	13.83	33.06	26.86	33.54	19.11	20.56	39.5	23.93	51.35	31.9	87.03	31.9	33.06	23.08	14.56	14.24	7.46	27.44	31.0	45.21	14.35	64.34	51.35	10.63	18.97
CDCA8	503.95	130.6	947.83	130.6	480.04	525.39	460.44	78.89	47.84	111.99	197.09	73.03	29.48	65.72	12.64	18.56	36.27	6.78	5.19	15.91	35.5	47.17	27.44	33.3	13.93	28.04	33.78	11.82	40.07	23.42	51.71	32.13	18.03	18.29	27.05	20.86	11.38	12.36	30.12	24.11	19.53	55.49	40.36	14.78	22.43
CDK1	728.11	529.06	1397.83	529.06	1369.04	738.29	1268.46	231.32	181.28	287.01	363.56	189.02	127.89	177.53	44.89	82.87	101.54	56.68	20.41	58.71	42.41	102.97	51.35	74.06	49.91	60.39	97.36	55.89	134.3	67.59	201.25	76.17	76.17	82.29	75.64	41.81	27.64	49.91	100.83	82.87	41.52	221.86	138.1	44.57	50.98
CENPA	251.48	75.11	1073.91	75.11	229.72	412.0	100.83	36.27	9.93	102.97	124.37	35.76	12.55	23.93	4.5	14.03	14.24	10.0	19.25	3.32	4.54	13.83	7.51	16.27	2.86	8.99	12.36	5.41	28.04	14.35	36.27	17.77	10.39	6.31	7.34	8.78	5.41	5.11	6.16	17.9	0.0	21.63	42.11	3.86	3.79
CENPF	1143.1	339.14	4181.07	339.14	1313.23	285.03	279.14	117.6	59.13	260.38	170.25	82.87	26.1	18.84	2.76	16.03	43.32	10.16	3.47	6.94	2.76	40.36	8.71	20.41	3.82	17.64	14.56	10.96	38.12	9.2	77.25	16.88	14.35	20.56	10.16	5.41	4.24	15.34	26.47	6.84	11.13	96.01	22.59	16.63	4.39
CENPM	575.03	220.32	334.46	220.32	759.08	423.61	299.25	59.55	71.0	152.28	329.84	126.12	78.34	49.91	16.03	17.77	53.95	11.04	40.07	14.56	8.38	22.75	53.19	37.85	11.47	43.32	68.55	50.98	50.27	38.12	109.66	78.89	50.63	29.06	11.04	16.63	2.27	25.54	39.79	26.28	18.84	47.84	46.5	19.68	23.08
CEP55	336.79	87.65	1397.83	87.65	500.46	214.27	217.27	38.4	52.45	74.58	112.77	58.3	17.9	34.26	6.31	11.21	43.63	2.61	2.51	5.92	5.82	23.59	25.35	15.8	5.92	7.06	18.29	7.34	24.99	15.8	69.52	28.86	18.56	14.67	15.0	7.57	8.92	10.39	26.1	13.22	5.87	61.25	42.41	4.46	2.2
CKAP2L	229.72	55.1	470.14	55.1	152.28	144.01	181.28	31.67	21.16	32.36	44.57	33.54	4.1	8.58	13.22	9.27	19.53	3.53	5.02	3.2	4.1	14.56	3.56	5.19	5.54	4.35	6.06	4.98	8.19	3.72	25.72	4.98	4.1	0.85	0.87	7.0	0.85	0.83	5.73	4.1	1.33	16.51	11.82	4.24	1.35
DEPDC1	133.36	36.01	371.22	36.01	162.14	214.27	78.89	18.97	16.63	29.91	41.52	20.41	8.38	10.31	2.97	8.0	6.31	2.46	1.91	0.69	3.96	8.38	1.58	6.16	4.03	6.57	4.06	11.38	9.41	3.11	19.11	3.29	3.03	1.6	2.58	1.64	2.05	1.95	7.82	1.6	0.69	13.32	7.11	1.08	0.71
DIAPH3	94.01	46.84	366.09	46.84	195.72	32.13	61.68	8.99	12.45	8.51	21.63	11.73	6.41	9.13	1.16	2.01	4.43	1.51	3.38	4.24	1.16	10.63	3.63	3.41	3.32	1.5	2.03	6.84	4.39	2.94	13.93	6.11	1.58	1.99	1.6	2.05	1.97	1.46	6.31	3.29	1.58	10.0	3.82	3.03	1.62
DLGAP5	303.44	63.45	638.15	63.45	293.07	204.07	180.02	27.05	19.25	56.28	96.68	43.94	7.94	29.27	4.21	3.79	18.56	3.63	2.05	0.77	2.73	12.27	5.19	3.89	0.0	12.83	9.27	7.4	15.45	5.45	36.53	8.78	2.73	3.23	2.78	0.78	0.0	0.0	7.82	6.89	0.0	37.32	15.68	3.96	0.78
E2F2	69.52	23.42	86.43	23.42	115.97	34.75	19.82	18.03	17.9	20.11	67.12	27.84	4.66	10.39	2.25	2.97	5.68	2.2	4.54	4.03	6.01	7.0	6.57	11.38	8.25	2.16	18.03	6.01	3.47	5.87	18.7	9.34	3.66	1.6	4.74	16.27	4.62	1.81	3.82	6.73	3.32	20.56	7.28	16.63	0.28
E2F7	139.07	15.11	63.45	15.11	108.14	27.05	53.57	13.52	12.18	10.08	8.99	9.78	3.08	3.35	0.28	3.11	2.61	1.48	1.11	0.29	1.22	1.22	1.81	0.3	0.92	2.34	2.84	3.06	5.82	1.58	9.93	3.06	0.92	1.83	0.29	1.25	0.0	2.61	4.21	0.28	0.0	7.22	1.27	0.56	2.2
E2F8	105.89	14.89	204.07	14.89	89.51	124.37	94.01	18.84	16.75	13.52	45.53	15.0	1.87	8.99	1.85	1.46	7.34	0.6	0.58	1.04	1.03	13.32	5.15	4.54	1.46	1.38	11.47	1.85	2.84	1.48	26.67	3.89	2.71	3.11	3.59	1.91	0.61	0.59	5.5	3.11	0.62	10.63	8.51	4.86	0.0
ESPL1	167.9	37.85	258.57	37.85	198.47	82.29	49.91	30.78	25.17	48.52	78.34	45.53	8.13	16.15	4.7	7.22	18.56	5.45	10.47	7.0	5.96	6.21	11.3	13.03	3.63	8.25	9.93	4.13	7.94	6.16	18.43	12.45	7.82	2.68	3.06	8.0	1.27	4.13	12.55	5.96	2.73	16.15	14.03	8.06	3.99
FAM111B	161.02	73.03	373.81	73.03	854.13	275.28	143.01	72.01	59.97	19.11	53.95	34.02	7.22	9.85	2.89	5.36	16.39	2.81	4.21	3.56	4.06	3.47	14.78	20.11	2.39	8.06	6.06	10.63	15.34	8.92	56.68	31.22	19.25	1.83	4.17	10.31	0.38	1.69	16.15	4.7	0.84	14.03	10.39	0.77	7.46
FAM64A	312.0	119.26	283.05	119.26	312.0	220.32	135.24	44.25	34.75	183.82	22.59	46.5	6.94	11.3	6.89	5.36	18.7	10.79	4.54	0.0	2.68	17.9	10.96	10.24	3.38	8.78	3.41	23.25	21.94	5.5	15.91	12.27	11.55	8.51	2.73	2.76	0.0	3.14	5.23	8.25	1.38	36.53	22.1	4.31	3.11
FANCI	713.11	400.71	748.61	400.71	830.75	521.76	447.82	130.6	117.6	132.44	208.38	119.26	38.12	57.08	35.25	37.05	53.57	53.57	15.0	29.91	71.0	37.59	71.0	56.68	42.11	31.45	39.79	36.79	85.22	27.25	70.51	38.12	38.95	41.22	47.5	55.89	22.26	32.59	53.95	33.54	25.35	127.89	41.81	21.78	20.71
FOXM1	813.63	162.14	1757.34	162.14	1594.73	387.02	612.11	135.24	123.5	218.79	194.36	115.16	34.02	52.82	25.54	42.41	41.52	17.77	10.24	24.46	33.78	23.76	29.91	24.28	22.26	28.65	56.28	19.11	59.55	22.59	64.34	33.06	20.56	11.21	26.1	12.55	28.65	40.36	23.93	24.11	23.42	56.28	42.41	23.42	11.91
GINS1	269.6	87.65	195.72	87.65	373.81	237.86	116.78	27.05	18.29	32.82	55.1	31.9	21.01	15.8	5.59	15.22	19.11	9.85	6.57	8.25	9.13	5.59	17.64	8.38	6.73	9.63	12.36	11.04	17.38	7.88	33.3	22.43	19.68	9.13	19.39	6.26	4.1	19.68	19.39	7.63	16.15	30.56	12.45	5.28	8.32
GTSE1	301.33	50.98	242.88	50.98	387.02	121.79	75.11	24.11	15.68	70.01	105.89	63.89	6.41	12.74	7.46	12.64	19.82	5.5	2.53	6.89	9.41	16.03	17.77	14.67	4.66	7.51	16.88	14.45	11.64	10.96	50.63	15.22	11.04	7.51	8.45	0.8	1.43	6.67	10.79	14.56	7.22	40.93	18.7	2.92	7.4
HJURP	258.57	67.59	656.11	67.59	181.28	194.36	241.19	66.18	24.99	84.63	118.43	40.64	17.38	44.25	4.28	6.67	28.45	3.26	9.56	9.63	3.03	21.78	13.03	9.2	2.73	27.44	23.59	19.25	26.86	25.72	25.72	17.0	4.35	10.39	7.69	4.78	0.0	8.0	14.35	4.35	3.72	29.48	26.67	7.06	1.08
HMMR	236.21	107.38	547.75	107.38	258.57	723.08	181.28	41.52	50.98	51.35	96.68	55.89	25.35	60.82	15.68	10.71	31.0	5.92	3.59	14.89	7.75	9.41	33.3	18.97	8.45	7.94	21.63	15.11	32.82	17.64	41.81	17.51	17.13	15.22	13.12	9.13	27.05	12.09	32.13	12.36	6.67	55.1	21.32	18.97	13.93
IQGAP3	684.02	97.36	536.45	97.36	521.76	152.28	141.02	39.79	30.34	92.7	27.64	30.34	5.32	10.0	1.17	6.21	13.12	2.63	6.52	1.46	0.93	7.4	7.57	5.28	0.19	9.93	8.19	11.73	14.78	4.7	26.86	5.92	2.73	2.46	6.78	3.35	0.42	1.33	16.88	2.97	0.95	22.59	11.13	2.97	1.75
KIF11	236.21	153.34	775.05	153.34	529.06	140.04	92.7	80.57	54.72	120.94	126.12	63.0	45.53	39.79	17.51	22.1	39.5	21.78	12.83	29.27	29.27	30.34	17.9	35.25	13.72	21.32	26.86	34.26	60.39	21.47	80.01	22.92	16.63	15.22	31.22	23.08	15.68	11.55	27.05	18.29	40.64	81.71	35.0	19.53	14.03
KIF14	136.19	20.71	205.5	20.71	94.67	27.05	32.13	6.21	6.16	10.55	16.75	10.39	2.07	11.38	0.21	1.1	3.38	1.99	0.56	1.6	1.08	0.64	4.17	1.64	0.65	1.03	0.66	1.55	3.35	1.62	12.64	0.73	0.65	0.21	1.6	1.13	0.21	0.58	1.68	0.64	0.0	14.24	4.43	0.19	0.23
KIF15	90.77	33.3	387.02	33.3	145.02	108.9	119.26	45.21	26.28	58.71	48.18	35.5	11.91	12.18	2.32	7.51	16.15	5.68	5.36	9.63	3.89	18.29	8.51	10.24	3.56	5.96	6.41	6.21	19.97	6.06	22.26	5.59	5.11	2.34	3.96	10.16	4.24	3.66	7.0	9.48	3.53	13.42	8.99	1.46	11.04
KIF18B	299.25	29.27	237.86	29.27	182.55	120.1	66.65	35.5	41.22	64.8	101.54	41.81	9.34	7.06	0.75	3.41	11.91	1.38	2.51	0.77	1.75	8.38	5.82	7.46	1.45	12.18	9.2	3.03	15.0	3.47	22.43	6.84	6.26	1.41	7.63	1.11	0.41	0.4	8.51	3.38	0.77	10.79	10.31	13.32	0.43
KIF20A	567.1	88.26	954.43	88.26	775.05	176.29	226.54	93.35	43.94	303.44	113.56	65.72	14.14	47.17	8.38	12.09	24.81	11.64	10.96	0.0	8.0	25.54	11.3	17.9	2.41	10.55	10.0	10.55	43.94	6.94	57.89	14.14	13.32	11.47	9.48	10.0	1.95	5.92	18.56	9.34	1.11	29.48	26.86	8.65	10.08
KIF23	387.02	139.07	842.36	139.07	444.72	305.55	400.71	54.33	35.5	76.71	96.01	57.89	17.38	24.28	8.78	9.7	29.48	16.75	11.38	13.72	2.89	13.72	22.26	12.18	5.41	13.32	8.78	11.91	21.78	13.93	34.75	10.71	8.32	5.32	6.41	15.0	18.03	4.62	29.7	7.57	5.06	50.27	22.43	8.78	6.84
KIF4A	246.28	68.55	718.08	68.55	226.54	242.88	97.36	28.86	23.59	50.27	51.71	24.11	3.96	20.41	2.46	6.11	10.47	3.86	1.83	1.07	1.53	6.52	5.41	3.59	1.55	5.73	6.73	7.57	13.93	3.06	22.26	4.39	2.51	1.51	3.03	1.57	1.51	1.45	7.46	8.19	1.53	14.67	11.82	4.13	1.57
KIFC1	698.41	189.02	941.27	189.02	941.27	551.56	157.68	100.83	76.17	244.57	258.57	94.67	42.11	74.58	11.38	20.56	45.85	25.72	24.63	5.77	8.51	22.26	25.54	48.87	11.13	37.59	27.05	21.78	44.57	27.44	100.83	43.63	20.11	40.36	15.68	24.63	5.63	7.57	57.89	28.04	11.04	62.12	65.72	24.46	11.3
MAD2L1	412.0	348.71	3039.3	348.71	414.87	802.41	507.46	126.12	69.03	231.32	205.5	96.01	70.01	68.55	34.75	45.85	43.94	71.5	21.94	33.78	36.27	40.07	44.57	74.06	15.68	68.07	62.56	111.99	92.7	46.84	84.63	25.35	46.5	31.45	69.52	64.8	31.45	23.93	79.45	61.68	37.05	102.25	42.71	33.54	23.08
MELK	426.57	94.67	511.0	94.67	587.13	392.44	242.88	46.5	39.79	76.71	105.89	37.05	9.34	20.56	2.29	8.99	18.43	0.99	5.06	1.03	1.87	12.18	10.63	6.73	1.46	11.21	6.62	14.24	12.93	7.69	41.52	15.22	9.41	1.87	4.21	8.13	0.58	4.74	21.47	6.01	0.0	33.06	11.73	7.34	1.93
MKI67	371.22	115.97	1397.83	115.97	483.38	108.14	214.27	55.49	64.34	100.13	198.47	90.14	17.0	17.77	3.5	7.75	45.85	5.63	19.68	1.79	17.51	15.45	9.85	25.72	9.27	14.24	25.35	13.93	34.02	18.7	94.01	18.29	18.7	2.18	20.56	6.46	1.33	4.58	28.86	16.51	1.35	61.68	32.13	10.24	2.71
MLF1IP	444.72	209.84	571.05	209.84	473.41	1697.45	201.25	201.25	176.29	368.65	244.57	110.43	46.84	63.0	24.28	27.25	80.57	32.36	26.1	44.25	27.84	43.94	24.46	61.68	13.83	33.3	55.89	105.15	74.06	16.15	115.97	79.45	37.05	37.05	27.64	17.13	19.25	16.15	33.3	40.36	23.59	88.26	39.5	30.78	41.52
NCAPG	348.71	87.65	507.46	87.65	346.29	291.04	157.68	45.21	37.59	81.71	138.1	41.22	6.36	34.51	2.86	6.41	16.51	5.73	2.63	2.94	8.13	22.59	7.51	8.0	6.01	12.09	11.13	5.87	18.84	5.68	46.5	19.82	6.84	5.45	3.82	3.86	5.87	3.89	13.42	11.38	6.89	24.81	19.53	2.29	6.57
NCAPH	389.72	103.69	679.29	103.69	432.53	273.37	187.71	34.02	34.26	37.59	150.17	53.57	12.55	33.54	3.08	13.72	39.5	5.15	6.06	1.89	9.06	13.42	15.8	21.16	6.84	9.56	13.32	10.96	33.78	12.0	46.84	23.76	11.13	9.56	12.27	7.4	5.28	7.57	21.47	10.55	4.94	40.93	47.5	8.78	22.1
NDC80	473.41	140.04	612.11	140.04	466.88	603.67	232.94	88.88	41.52	117.6	163.28	82.87	30.12	32.13	8.51	10.63	15.91	12.36	4.13	8.0	7.51	11.91	9.93	5.82	4.21	7.51	16.51	26.28	31.0	11.21	37.05	19.82	8.32	3.38	6.89	1.2	4.86	7.4	13.03	13.52	5.68	27.84	14.78	17.51	6.94
NEIL3	59.55	13.03	45.85	13.03	67.12	56.68	17.0	10.31	7.06	18.97	22.43	7.88	2.32	3.44	1.19	4.13	9.27	0.67	1.6	0.0	0.0	0.0	3.41	1.81	0.69	1.16	1.79	4.06	5.63	0.71	7.46	5.19	1.22	0.0	1.77	1.79	0.0	0.0	3.66	2.89	1.22	8.85	6.89	1.13	0.0
NEK2	497.0	251.48	1350.18	251.48	616.37	480.04	170.25	37.32	36.53	118.43	83.45	43.63	12.0	41.22	3.14	4.24	12.18	7.11	2.46	4.28	6.78	8.85	7.17	13.03	2.66	10.47	11.73	14.03	25.17	7.0	31.9	15.45	6.31	3.66	6.89	6.41	1.58	3.96	8.19	7.34	0.0	21.32	20.41	22.75	1.64
NUF2	567.1	137.14	769.69	137.14	693.58	432.53	172.65	48.52	37.59	69.52	130.6	64.8	8.58	28.86	8.51	26.47	11.73	4.5	8.58	2.36	5.82	50.27	9.63	11.04	7.51	8.58	8.0	45.21	25.54	8.06	24.63	9.06	6.26	6.21	2.36	10.47	8.51	7.69	21.94	8.65	18.56	80.57	30.12	4.66	3.99
NUSAP1	1111.82	536.45	1745.2	536.45	1457.23	1066.48	1135.2	301.33	239.52	223.41	480.04	204.07	57.49	129.69	9.27	20.11	103.69	32.59	21.63	11.91	22.43	29.7	52.08	40.07	16.51	76.17	30.34	38.12	76.71	26.67	260.38	39.22	28.86	20.26	15.91	14.78	9.7	18.84	103.69	35.25	8.06	172.65	78.89	27.05	10.08
ORC6	384.34	46.84	536.45	46.84	373.81	312.0	244.57	47.17	28.65	36.79	125.24	63.0	27.84	57.08	11.47	11.38	32.36	7.51	12.18	15.91	11.55	19.97	37.85	39.22	10.71	20.86	27.44	28.04	20.71	12.83	32.82	27.25	20.71	14.35	10.79	11.64	6.52	12.93	31.22	8.85	15.8	40.36	32.13	18.7	9.85
PBK	204.07	166.73	708.18	166.73	214.27	118.43	74.06	57.49	75.64	126.12	83.45	60.39	19.82	31.9	1.75	5.73	17.13	11.82	6.16	3.32	2.76	2.76	12.45	3.86	1.25	3.14	7.22	16.63	21.63	0.0	26.67	9.27	7.63	4.24	0.0	0.0	6.11	8.92	29.27	7.11	2.78	10.55	16.27	6.21	1.79
PKMYT1	764.36	291.04	1015.93	291.04	1135.2	420.68	190.34	144.01	109.66	187.71	289.02	83.45	24.99	77.25	17.51	25.91	30.78	41.22	14.35	24.81	21.94	37.32	53.95	23.59	8.45	28.86	11.55	45.21	39.79	34.75	52.08	42.41	32.59	17.9	12.55	27.64	1.99	7.82	42.41	40.64	15.8	51.71	64.34	42.41	5.5
POLQ	131.51	12.36	206.94	12.36	78.89	39.5	39.22	11.91	5.36	4.94	28.65	12.18	1.97	14.24	0.79	4.9	3.82	0.4	2.53	0.82	0.8	1.57	2.73	2.89	0.42	1.5	3.26	7.34	6.89	2.05	10.24	2.63	0.8	6.11	0.82	1.22	0.41	0.75	6.46	2.39	1.6	6.26	2.46	1.1	0.0
PRR11	271.48	70.01	1583.71	70.01	620.67	221.86	293.07	30.12	45.85	31.67	112.77	74.58	35.0	46.5	15.45	36.01	45.85	36.79	5.11	5.59	14.45	19.97	20.26	15.0	18.16	14.35	39.79	41.81	31.45	25.54	73.54	18.43	24.81	37.05	38.12	20.11	17.13	16.27	19.39	15.11	26.67	57.08	35.5	9.78	14.89
RACGAP1	764.36	454.09	1651.0	454.09	813.63	733.19	595.34	116.78	195.72	185.11	264.03	142.01	108.14	105.89	34.02	57.49	125.24	80.57	34.26	62.56	67.12	92.05	96.68	74.58	38.4	72.52	84.04	69.03	111.99	65.72	208.38	73.03	65.26	86.43	51.35	59.97	69.03	27.25	73.54	102.97	27.64	131.51	85.82	59.13	55.1
RAD51	343.89	113.56	476.71	113.56	260.38	283.05	293.07	36.27	29.27	45.85	130.6	52.45	21.78	80.57	19.11	18.97	37.85	18.29	10.55	14.35	49.21	10.16	26.1	22.26	8.13	20.86	29.91	17.9	23.42	31.0	56.28	30.56	18.56	10.16	21.01	24.28	18.29	18.03	20.71	18.84	15.11	41.81	22.59	21.47	14.03
