	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CN.6998.01A.23R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.05.4402.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.49.AARO.01A.12R.A41B.07	TCGA.44.6147.01A.11R.A278.07	TCGA.NJ.A4YQ.01A.11R.A262.07	GTEX.X3Y1.0626.SM.3P5YS	GTEX.ZE7O.0826.SM.57WCP	TCGA.22.4596.01A.01R.1201.07	TCGA.98.A53H.01A.12R.A262.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.8296.01A.11R.2343.13
C1orf185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	1.48	0.0	0.0	0.0	4.06	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13
C1orf228	1.58	19.97	33.06	26.1	98.04	3.06	0.0	303.44	110.43	0.46	665.29	703.28	121.79	651.58	698.41	2758.13	246.28	669.92	17.9	12.18	9.93	12.36	2.92	0.87	161.02
C2orf62	0.62	0.87	0.35	0.0	1.23	0.83	0.0	19.68	146.03	0.18	167.9	128.79	111.21	38.95	429.54	1030.12	81.71	395.18	0.26	1.16	3.53	2.63	1.01	1.1	24.46
C6orf165	0.0	4.35	1.64	2.29	2.27	0.53	0.0	8.32	13.72	0.0	5.96	4.28	73.54	16.39	35.0	84.63	13.32	23.59	0.78	0.78	3.53	1.25	0.29	4.82	0.68
C6orf223	1.55	559.28	26.86	7.51	1.81	0.48	0.0	69.52	447.82	0.0	28.65	27.84	6.31	403.5	167.9	21.78	13.72	8.06	1.13	13.22	17.77	1.04	2.51	0.64	31.9
CA4	1.57	61.25	3.11	0.0	8.51	0.0	0.0	1.57	11.04	0.39	50.98	97.36	10.16	97.36	69.03	3325.99	97.36	118.43	2.58	6.06	15.0	2.39	4.13	5.92	17.51
CATSPER1	5.23	8.92	1.69	10.88	0.0	4.17	0.0	153.34	92.7	0.17	65.72	486.75	3.66	124.37	21.01	81.14	316.37	21.94	3.38	4.82	8.78	2.61	2.43	2.92	14.35
CBS	39.22	25.54	77.79	40.36	21.78	8.13	0.0	679.29	149.12	0.77	909.17	769.69	642.59	1096.5	567.1	177.53	1119.56	454.09	0.09	2.94	20.71	4.35	13.72	5.11	239.52
CCDC116	0.32	0.0	4.78	8.25	6.01	1.55	0.0	2.61	2.23	0.45	3.47	13.83	3.38	33.3	8.99	9.34	4.21	4.24	2.61	1.58	0.93	0.92	0.8	0.45	12.55
CCDC135	0.0	0.0	2.81	0.0	0.0	0.0	0.0	21.16	33.54	0.0	59.97	172.65	169.07	37.05	358.54	607.87	43.63	514.56	1.23	0.0	0.51	0.0	0.54	1.17	14.03
CCDC159	154.42	303.44	775.05	693.58	543.96	255.0	0.0	2148.82	624.99	0.88	896.64	1350.18	363.56	2915.45	1781.89	2090.03	674.59	1183.45	336.79	211.31	371.22	283.05	295.11	198.47	579.04
COG2	224.97	149.12	253.23	186.4	206.94	156.59	0.0	518.15	500.46	0.14	674.59	480.04	674.59	961.07	441.64	341.51	551.56	397.93	140.04	166.73	246.28	214.27	234.57	132.44	603.67
COL4A3	1.85	0.0	30.78	1.35	15.8	6.78	0.0	40.64	189.02	0.4	193.01	242.88	447.82	241.19	490.14	297.17	52.82	165.57	0.0	6.11	0.0	3.47	0.99	0.0	83.45
CPD	361.04	115.97	293.07	187.71	177.53	277.2	2032.85	684.02	1259.69	738.29	2520.38	1529.73	2047.0	2090.03	206.94	193.01	2193.99	934.76	114.36	218.79	356.05	169.07	223.41	187.71	1143.1
CRLF2	0.91	0.0	0.18	0.57	0.23	0.0	0.0	19.53	1.07	0.07	5.11	48.87	8.0	28.65	13.32	4.43	8.51	8.65	4.1	0.93	1.51	2.39	0.0	0.0	6.41
CYP27A1	45.85	101.54	283.05	139.07	293.07	53.57	0.0	1051.79	547.75	0.52	400.71	941.27	423.61	830.75	3349.13	3081.75	947.83	909.17	24.28	47.17	146.03	43.02	77.79	30.56	181.28
DISP1	8.85	16.15	51.71	54.72	61.68	9.41	0.0	229.72	106.63	0.34	111.21	113.56	688.78	150.17	77.79	381.68	111.99	80.57	55.89	7.46	42.41	25.91	44.89	62.56	142.01
DNM3	31.45	503.95	32.59	27.44	17.25	63.0	0.0	98.04	132.44	0.31	175.07	142.01	73.03	356.05	63.89	212.78	38.4	86.43	9.56	36.01	17.13	5.06	15.34	9.63	57.49
ENPP1	2.78	1.25	17.0	7.0	14.67	3.66	0.0	16.15	33.3	0.33	73.54	67.12	23.59	147.06	11.64	13.62	13.62	35.5	10.0	4.24	5.02	2.71	3.56	2.61	41.22
EPDR1	38.12	24.81	77.79	22.92	51.35	11.3	0.0	397.93	733.19	0.42	848.22	514.56	1001.93	902.89	651.58	713.11	1001.93	277.2	37.32	52.45	93.35	28.04	21.63	16.27	68.07
EPHA10	0.0	121.79	17.13	9.7	12.18	1.43	0.0	132.44	66.18	0.26	122.64	98.73	29.06	102.97	14.56	22.26	48.18	8.78	0.0	0.19	6.62	0.99	1.57	5.63	88.88
EPOR	42.11	29.91	36.53	10.55	12.36	13.83	0.0	180.02	145.02	0.72	258.57	299.25	95.34	312.0	273.37	503.95	175.07	180.02	6.73	11.73	25.35	8.65	9.41	5.41	113.56
FAM214A	72.52	599.49	1044.52	2178.83	981.29	120.94	0.0	1151.06	490.14	0.37	1250.98	540.19	1151.06	2367.9	1127.35	728.11	808.0	620.67	287.01	147.06	629.35	381.68	708.18	642.59	503.95
FBXO36	5.82	112.77	20.86	18.97	21.01	69.03	43.32	41.81	150.17	500.46	147.06	77.25	155.5	108.14	155.5	273.37	123.5	176.29	62.56	9.85	33.78	122.64	40.64	67.12	66.18
FCN3	45.21	40.36	74.06	63.89	14.56	24.99	0.0	46.18	61.68	0.79	166.73	271.48	154.42	638.15	223.41	559.28	896.64	3820.7	12.18	20.71	68.07	6.57	16.88	23.25	115.97
FMO5	10.79	13.22	9.2	4.9	15.0	10.71	0.0	551.56	435.55	0.0	265.87	133.36	1066.48	287.01	1216.75	255.0	279.14	237.86	8.78	8.92	33.54	15.68	32.36	9.78	366.09
FN3K	32.36	64.8	173.85	63.0	96.01	39.79	0.0	490.14	486.75	0.41	332.14	435.55	187.71	988.12	529.06	1111.82	232.94	262.2	33.54	28.04	109.66	59.13	67.59	12.0	1286.18
FTCD	0.0	0.08	19.25	7.69	0.0	0.0	0.0	52.08	1.87	0.51	185.11	1662.49	18.84	351.14	13.83	16.63	25.17	5.32	0.73	1.62	0.0	0.53	1.66	0.0	7.63
GPX4	6121.9	5831.91	4972.34	4937.99	6121.9	4450.27	0.0	8598.28	7032.37	1.0	10368.08	13399.51	8191.0	13872.08	9151.82	13872.08	13586.57	10154.69	3257.52	3325.99	4358.66	4268.94	3515.68	4010.71	8247.98
GRM6	0.0	4.94	10.0	1.35	0.59	1.27	0.0	3.2	1.57	0.14	5.23	143.01	9.2	157.68	5.68	2.92	2.05	4.31	0.0	2.05	0.32	0.0	0.0	0.0	6.73
HSD17B11	353.59	92.05	423.61	186.4	244.57	66.65	1378.57	981.29	1407.55	1551.09	1331.57	872.1	780.44	2573.36	2400.97	6607.01	2240.11	1044.52	105.89	173.85	260.38	122.64	110.43	246.28	1096.5
HSD17B14	59.97	14.14	152.28	53.57	65.72	18.29	0.0	363.56	256.78	0.4	624.99	312.0	157.68	769.69	860.08	543.96	262.2	314.17	7.46	16.15	63.89	16.27	17.51	36.27	96.68
INSL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.71	6.67	0.51	31.9	0.0	0.0	0.0	0.43	0.0	0.0	5.41	0.0	0.0	0.0	1.04
KCNQ3	1.83	4.94	3.03	1.07	2.29	0.59	0.0	153.34	126.12	0.36	171.45	71.0	187.71	42.71	12.64	6.01	366.09	38.95	1.41	1.55	2.32	0.48	2.07	2.61	15.8
KIRREL3	4.86	11.04	7.34	5.59	23.93	6.73	0.0	29.91	23.76	0.16	23.76	2.73	9.56	60.82	5.96	20.86	9.27	8.65	2.89	1.93	5.45	1.31	6.78	2.43	17.25
KNCN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	2.53	0.0	0.78	1.73	3.76	2.1	0.96	1.87	0.22	1.5	0.0	0.0	0.0	0.0	0.0	0.0	3.69
KPNA7	0.0	3716.2	3.47	11.55	2.94	7.69	0.0	26.86	63.89	0.04	182.55	164.42	47.5	224.97	60.82	33.06	81.14	32.59	4.17	15.34	9.78	67.59	18.16	12.55	29.91
KRT4	2.56	3.697379928E7	1.810644424E7	2.276004283E7	3.109113511E7	27.44	0.0	4.86	61.68	0.0	27.44	26.1	112.77	64.8	1769.57	2303.12	9.06	53.95	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	7.4
LEFTY1	1.53	0.0	5.41	2.51	3.38	0.66	0.0	19.53	4.06	0.11	7.06	4.21	15.0	41.22	14.56	22.59	4.7	7.46	0.0	0.62	1.53	0.0	0.23	1.07	11.73
LGALS8	403.5	633.73	909.17	954.43	769.69	769.69	738.29	1111.82	981.29	73.54	830.75	988.12	1794.29	2468.49	1001.93	1151.06	830.75	1477.58	567.1	417.77	921.88	417.77	417.77	397.93	780.44
LRRC46	14.24	19.39	16.39	13.72	13.32	4.82	0.0	70.51	194.36	0.0	194.36	583.07	98.73	195.72	1295.13	2520.38	353.59	1467.37	9.85	7.06	22.26	8.51	44.25	5.73	37.05
LRRC66	0.0	2.18	4.66	1.81	1.62	0.53	0.0	3.5	5.02	0.0	4.24	3.72	6.94	28.86	9.56	13.93	6.46	5.02	0.78	0.51	1.38	0.0	1.68	0.39	11.13
LRRN4	0.0	3.08	1.5	0.49	0.09	0.0	0.0	180.02	118.43	0.09	42.11	198.47	1304.15	28.65	1.97	400.71	43.63	69.52	0.0	0.79	2.1	0.0	1.6	0.0	18.43
MAP10	7.28	7.06	9.41	10.71	7.69	1.71	0.0	53.57	39.22	0.0	17.64	23.93	97.36	92.7	21.16	31.22	38.12	17.25	0.24	0.04	20.71	3.89	5.82	2.32	14.14
METTL21B	55.1	77.25	81.71	79.45	73.03	136.19	0.0	348.71	178.77	0.36	323.03	642.59	169.07	279.14	148.09	183.82	244.57	183.82	43.94	32.82	71.0	62.12	55.89	46.5	205.5
MLC1	0.32	16.88	2.01	3.56	2.66	7.57	0.0	18.16	3.89	0.17	3.5	14.56	23.25	88.26	36.27	92.05	18.43	25.91	4.62	0.0	0.43	4.43	9.34	10.24	4.58
MUC3A	1.89	17.64	193.01	3.79	4.06	1.55	0.0	603.67	73.54	0.46	31.67	177.53	75.64	379.04	6.46	71.0	381.68	21.94	12.93	8.99	1.03	0.47	0.55	0.31	279.14
NME4	1794.29	214.27	1216.75	884.29	866.07	271.48	0.0	4419.52	2997.45	0.97	5403.7	5292.48	1059.11	9808.75	1143.1	3146.52	4210.15	2104.58	220.32	351.14	684.02	500.46	371.22	193.01	1529.73
ODF3L2	0.0	3.66	8.38	2.66	0.0	1.13	0.0	7.28	2.43	0.05	1.73	40.36	21.47	37.32	6.84	12.55	5.54	2.66	2.94	0.77	0.0	0.89	1.2	5.82	8.99
OPN3	255.0	1617.0	154.42	208.38	262.2	108.14	0.0	796.86	575.03	0.35	1044.52	703.28	314.17	2627.46	414.87	323.03	1159.07	343.89	334.46	395.18	384.34	223.41	334.46	447.82	444.72
PAGE5	2.43	0.0	0.0	0.0	0.0	0.0	0.0	12.93	314.17	0.0	157.68	3.79	3.03	102.25	22.59	26.28	5.36	12.55	0.0	0.0	0.0	0.0	0.0	0.0	5.5
PCDHGA3	0.64	0.2	9.34	5.54	16.39	4.78	0.0	13.72	11.3	0.29	41.22	42.71	9.48	38.67	26.1	118.43	21.01	16.63	0.99	2.73	7.4	3.99	2.39	1.48	8.65
PDE6G	15.68	130.6	8.51	9.13	17.51	6.01	0.0	39.5	71.5	0.04	17.77	44.57	24.28	190.34	693.58	125.24	105.15	58.3	9.06	4.58	29.91	6.78	50.27	11.82	32.36
PIFO	4.06	0.0	23.59	5.23	14.89	14.45	0.0	291.04	896.64	0.0	363.56	703.28	796.86	379.04	4639.29	8421.31	536.45	1806.78	1.53	11.38	46.84	6.16	34.26	1.14	26.86
PON2	612.11	69.03	1529.73	1295.13	860.08	518.15	0.0	2400.97	5219.6	1.0	7081.29	8191.0	3491.39	5791.62	1119.56	1127.35	6699.25	1883.54	180.02	267.73	698.41	258.57	473.41	253.23	1037.29
PPIAL4D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	2.01	0.0	1.43	3.23	1.16	19.97	4.03	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.35
PRSS23	3690.52	890.44	536.45	193.01	148.09	2682.69	3690.52	1073.91	5441.3	624.99	8305.36	9876.98	4328.55	12853.63	3103.19	708.18	3901.01	4937.99	273.37	262.2	878.17	148.09	447.82	101.54	1583.71
RANBP17	3.72	14.89	21.32	7.22	11.91	2.81	0.0	73.54	67.59	0.54	88.26	90.77	629.35	99.43	177.53	132.44	55.89	71.0	0.41	0.06	11.55	1.79	3.44	0.06	51.71
RGL3	4.78	9.93	45.85	9.93	29.7	0.0	0.0	753.83	291.04	1.11	1508.65	1216.75	287.01	921.88	748.61	688.78	381.68	202.66	1.5	5.54	10.96	3.23	7.17	0.88	363.56
RIIAD1	0.0	144.01	36.79	25.35	38.95	0.0	0.0	55.1	112.77	0.0	19.11	149.12	190.34	56.68	780.44	1674.06	71.0	384.34	0.0	0.0	33.3	132.44	31.0	171.45	13.12
RP11-111M22.2	2.78	8.99	15.0	4.74	5.73	1.62	0.0	22.92	61.25	0.14	32.13	19.97	51.35	67.12	46.18	65.26	16.27	32.13	0.92	2.71	5.87	0.64	2.23	0.41	47.17
SLC22A5	71.5	131.51	118.43	77.79	130.6	60.82	0.0	165.57	173.85	0.4	138.1	109.66	115.97	265.87	256.78	358.54	187.71	187.71	44.57	90.14	116.78	97.36	98.04	73.54	194.36
SPAG4	221.86	100.83	47.5	82.87	83.45	202.66	0.0	842.36	1104.13	0.53	791.35	1709.26	314.17	2287.2	698.41	157.68	791.35	381.68	2.56	23.42	55.89	57.89	70.51	14.03	172.65
SPEF1	4.54	0.29	1.73	1.11	1.87	1.57	0.0	43.94	116.78	0.0	57.89	156.59	218.79	90.77	392.44	1183.45	125.24	679.29	1.41	1.03	4.21	2.2	0.13	0.0	10.96
ST20-MTHFS	14.67	48.18	0.0	19.68	22.1	0.0	0.0	64.8	20.71	0.06	43.94	0.0	15.68	265.87	24.99	23.76	62.12	57.49	24.81	23.08	10.79	0.0	0.0	13.83	29.27
STK32A	0.97	0.48	1.66	4.06	2.68	2.32	0.0	63.0	146.03	0.39	101.54	141.02	170.25	96.01	50.98	23.25	88.26	55.1	2.14	8.32	9.34	1.89	1.19	1.28	40.07
TEX14	3.35	1.04	3.69	5.45	0.48	0.0	0.0	4.43	8.13	0.0	49.56	23.08	22.1	31.22	18.97	19.68	13.72	15.11	0.0	3.79	0.79	0.77	4.13	0.13	14.89
TRIM6-TRIM34	6.73	20.56	25.35	55.1	0.0	3.14	0.0	77.79	4.58	0.0	126.12	170.25	11.21	171.45	1.81	18.56	54.33	0.0	0.0	0.0	4.1	9.41	0.97	3.17	96.01
TTLL9	2.14	6.46	7.75	5.23	4.98	2.03	0.0	19.53	19.39	0.0	16.75	106.63	88.26	28.45	138.1	283.05	40.93	231.32	3.66	4.82	2.66	0.77	2.58	2.84	10.0
UBQLN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.85	2.56	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46
USP17L15	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	6.41	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
WDR5B	19.82	35.76	36.01	37.05	24.46	41.52	0.0	95.34	98.04	0.0	170.25	83.45	105.15	152.28	116.78	193.01	120.94	103.69	9.85	21.01	31.67	15.91	20.11	13.72	81.71
ZBTB10	15.34	0.01	28.65	8.92	10.47	28.24	0.0	180.02	116.78	0.35	255.0	106.63	780.44	66.18	115.16	132.44	251.48	91.41	1.33	8.58	26.28	3.29	14.67	4.35	62.56
ZNF19	10.71	16.27	27.64	24.81	23.59	7.34	0.0	90.77	80.57	0.2	173.85	167.9	255.0	129.69	201.25	457.25	155.5	145.02	8.85	8.92	30.78	13.42	23.08	5.73	63.45
ZNF26	46.18	94.01	115.16	69.03	88.88	42.41	0.0	185.11	167.9	0.4	325.29	253.23	353.59	320.8	169.07	232.94	170.25	198.47	55.1	57.08	85.22	68.07	40.36	44.25	217.27
ZNF479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.01	0.58	32.13	0.4	8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26
ZNF578	0.0	3.38	25.35	9.78	16.75	5.96	0.0	5.06	37.32	0.41	43.94	115.97	109.66	88.26	41.52	45.53	32.59	10.39	2.01	16.51	12.0	1.41	4.03	7.0	43.94
ZNF768	237.86	406.31	563.18	332.14	397.93	389.72	0.0	1037.29	796.86	0.59	728.11	825.0	748.61	1066.48	748.61	902.89	688.78	651.58	201.25	332.14	567.1	269.6	371.22	279.14	595.34
ZNF835	0.33	4.13	17.13	7.82	7.63	0.59	0.0	28.45	16.75	0.0	21.01	24.99	50.63	35.25	59.97	76.71	19.25	22.92	2.76	0.99	6.62	3.03	1.71	2.39	23.59
ZSCAN9	54.33	91.41	146.03	132.44	119.26	89.51	0.0	223.41	301.33	0.57	414.87	447.82	332.14	353.59	255.0	476.71	224.97	215.77	36.53	48.18	118.43	59.13	71.5	37.59	175.07
