	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.ZTX8.1026.SM.5EGHD	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
COG3	260.38	234.57	246.28	281.09	275.28	218.79	253.23	361.04	0.0	0.57	616.37	915.51	633.73	647.07	921.88	656.11	483.38	860.08	947.83	775.05	860.08	450.94	928.3	493.56	769.69	813.63	884.29	947.83	921.88	1151.06	575.03	981.29	1199.98	753.83	764.36	275.28	275.28	204.07	180.02
CTC-534A2.2	27.44	18.97	22.59	19.97	24.11	34.75	44.57	38.67	0.0	0.16	85.82	106.63	64.8	71.0	105.15	84.63	85.82	97.36	121.79	122.64	197.09	81.71	175.07	73.03	78.89	88.88	157.68	111.99	91.41	157.68	88.26	78.89	115.16	96.68	60.82	31.45	38.95	22.75	49.91
CYB5D1	226.54	171.45	107.38	107.38	52.08	126.12	190.34	165.57	0.0	0.38	303.44	320.8	297.17	327.56	366.09	267.73	215.77	341.51	275.28	406.31	275.28	307.69	293.07	265.87	307.69	318.57	343.89	387.02	444.72	406.31	470.14	320.8	555.41	379.04	251.48	187.71	80.01	90.77	95.34
DDTL	58.3	80.57	14.24	8.19	35.76	19.25	15.8	24.99	0.0	0.58	133.36	262.2	61.25	90.77	150.17	87.03	400.71	131.51	305.55	92.7	107.38	105.89	122.64	134.3	138.1	109.66	110.43	60.39	142.01	237.86	114.36	96.68	265.87	175.07	140.04	32.82	10.47	18.56	13.83
DPY19L2	32.59	29.48	1.43	2.56	2.92	3.38	2.92	7.88	0.0	0.59	123.5	221.86	189.02	500.46	281.09	63.45	75.11	262.2	392.44	193.01	123.5	104.42	202.66	149.12	194.36	163.28	246.28	189.02	255.0	94.01	147.06	186.4	579.04	400.71	46.18	5.92	3.35	3.26	1.23
ERN1	96.01	123.5	88.26	62.12	164.42	171.45	99.43	176.29	0.0	0.53	297.17	312.0	211.31	265.87	287.01	264.03	231.32	305.55	267.73	248.0	95.34	242.88	236.21	190.34	293.07	323.03	237.86	358.54	334.46	316.37	208.38	307.69	291.04	220.32	256.78	113.56	116.78	99.43	72.01
FRAT1	30.56	43.94	73.03	35.5	64.34	21.63	54.33	24.28	0.0	0.09	152.28	125.24	197.09	136.19	156.59	156.59	171.45	199.85	246.28	107.38	47.5	158.79	156.59	93.35	214.27	327.56	195.72	113.56	157.68	163.28	137.14	258.57	118.43	136.19	128.79	63.89	33.3	59.13	84.04
GREB1	5.32	1.25	2.53	7.69	11.47	7.17	17.64	6.67	0.0	0.3	2434.5	2319.15	2434.5	2032.85	3443.31	1519.15	1119.56	1991.0	2875.3	1295.13	896.64	1697.45	1340.84	1883.54	3060.45	1540.37	2224.63	2303.12	2434.5	2367.9	1183.45	1286.18	2178.83	1733.13	1127.35	10.88	1.38	4.82	2.05
GSTT2	61.25	273.37	15.11	76.17	4.54	5.5	56.68	52.82	0.0	0.73	253.23	3325.99	75.64	182.55	1397.83	1685.71	988.12	909.17	3235.01	1313.23	303.44	198.47	1277.29	3955.48	2915.45	1628.26	1457.23	111.21	1191.69	2555.58	412.0	2758.13	2193.99	1369.04	2664.15	162.14	234.57	226.54	9.34
HDAC8	249.73	223.41	208.38	183.82	223.41	244.57	194.36	237.86	0.0	0.41	381.68	438.59	303.44	356.05	358.54	329.84	316.37	363.56	417.77	339.14	358.54	358.54	438.59	281.09	368.65	361.04	460.44	392.44	438.59	476.71	327.56	341.51	373.81	384.34	406.31	273.37	244.57	281.09	202.66
HIST1H2AK	18.56	13.83	0.0	2.58	3.32	0.0	15.11	0.0	0.0	0.46	42.71	67.59	20.26	23.93	16.27	29.91	30.34	29.27	18.7	40.93	20.86	24.81	47.84	5.68	32.13	36.79	52.08	23.76	28.24	74.58	84.63	28.45	15.56	20.56	6.78	4.5	11.38	2.51	0.89
IRS2	75.11	113.56	10.47	31.67	26.86	211.31	23.08	46.18	0.0	0.38	194.36	363.56	642.59	194.36	669.92	232.94	928.3	493.56	1286.18	251.48	87.65	269.6	363.56	371.22	764.36	780.44	356.05	616.37	1001.93	1037.29	173.85	825.0	836.53	264.03	323.03	99.43	25.54	52.08	65.26
LIFR	17.25	32.59	15.0	22.43	3.69	16.27	8.25	31.22	0.0	0.38	638.15	796.86	532.74	921.88	1369.04	607.87	791.35	934.76	764.36	723.08	507.46	967.76	1008.9	547.75	1369.04	954.43	896.64	1407.55	1183.45	1397.83	591.22	842.36	1594.73	854.13	665.29	72.52	5.19	42.71	26.86
MAPK10	50.98	70.01	258.57	191.67	11.13	12.36	69.03	44.25	0.0	0.37	454.09	1208.34	819.3	1104.13	733.19	486.75	961.07	679.29	775.05	884.29	1015.93	738.29	571.05	728.11	967.76	647.07	713.11	1096.5	1923.14	1617.0	819.3	665.29	2240.11	1111.82	603.67	206.94	208.38	50.27	127.89
MSMB	0.0	1.55	45.21	158.79	75.11	15.56	45.85	26.1	0.0	0.0	894051.48	783730.52	711250.37	1019901.63	811368.76	691801.16	706337.4	845824.19	1212874.47	778316.89	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	958220.73	919186.72	565825.41	370726.6	509950.32	1645391.11	894051.48	619179.28	573724.06	76.71	21.63	43.02	42.11
MYEF2	17.9	33.3	10.31	10.88	10.16	5.68	8.85	18.97	0.0	0.8	301.33	438.59	205.5	353.59	384.34	229.72	211.31	262.2	490.14	234.57	163.28	194.36	318.57	161.02	264.03	267.73	275.28	279.14	395.18	323.03	193.01	327.56	299.25	241.19	169.07	11.91	3.26	7.17	0.83
NEDD9	40.64	91.41	74.58	86.43	78.89	144.01	52.45	76.71	0.0	0.46	341.51	665.29	629.35	429.54	514.56	339.14	748.61	684.02	1044.52	583.07	346.29	486.75	612.11	934.76	854.13	1498.22	796.86	1605.83	1250.98	2193.99	361.04	896.64	836.53	486.75	591.22	152.28	30.78	78.34	43.63
NLK	93.35	101.54	102.25	89.51	112.77	96.68	102.97	104.42	147.06	197.09	232.94	260.38	198.47	336.79	277.2	256.78	275.28	229.72	295.11	201.25	177.53	198.47	248.0	159.9	273.37	236.21	277.2	279.14	265.87	406.31	223.41	251.48	503.95	332.14	295.11	93.35	90.14	91.41	62.56
ORC3	229.72	186.4	218.79	197.09	116.78	172.65	226.54	267.73	775.05	189.02	327.56	480.04	339.14	497.0	454.09	343.89	358.54	320.8	438.59	397.93	536.45	348.71	435.55	351.14	426.57	389.72	454.09	371.22	684.02	748.61	339.14	490.14	591.22	441.64	341.51	187.71	129.69	172.65	170.25
PDXDC1	872.1	1096.5	836.53	848.22	759.08	791.35	575.03	1081.39	0.0	1.1	2777.33	3235.01	2335.28	2796.65	3081.75	2148.82	2287.2	2758.13	3060.45	2520.38	1662.49	2417.67	2609.3	2119.22	3081.75	2701.35	2935.74	3060.45	2271.4	3491.39	2682.69	2148.82	3515.68	2777.33	2209.26	928.3	514.56	884.29	543.96
PIK3R4	493.56	406.31	420.68	426.57	583.07	412.0	536.45	460.44	0.0	0.55	981.29	607.87	603.67	878.17	819.3	769.69	660.68	698.41	872.1	603.67	518.15	819.3	708.18	591.22	713.11	620.67	591.22	679.29	902.89	1313.23	490.14	813.63	1001.93	733.19	624.99	444.72	441.64	587.13	409.15
RARS2	412.0	406.31	457.25	438.59	332.14	521.76	563.18	563.18	0.0	0.83	503.95	708.18	525.39	775.05	825.0	490.14	1111.82	607.87	669.92	647.07	1008.9	518.15	896.64	567.1	753.83	633.73	713.11	825.0	921.88	1208.34	514.56	579.04	890.44	723.08	551.56	379.04	371.22	460.44	450.94
RCBTB1	92.05	64.8	65.26	59.55	58.71	88.26	84.63	152.28	0.0	0.43	201.25	297.17	170.25	332.14	400.71	178.77	165.57	343.89	371.22	283.05	318.57	195.72	346.29	185.11	275.28	314.17	435.55	583.07	599.49	397.93	320.8	327.56	532.74	336.79	314.17	135.24	42.41	52.45	43.94
RET	2.51	0.79	5.63	7.46	19.53	7.69	18.97	2.84	0.0	0.22	67.59	14.45	32.36	206.94	134.3	37.32	660.68	32.13	105.15	127.89	16.75	25.35	36.53	95.34	151.22	46.18	29.06	33.3	392.44	785.88	22.26	119.26	64.34	22.43	45.21	3.72	1.28	3.79	0.05
RIC3	110.43	260.38	3.86	2.16	2.58	42.11	7.82	73.54	0.0	0.61	228.13	486.75	273.37	361.04	379.04	172.65	107.38	457.25	583.07	299.25	244.57	264.03	293.07	251.48	312.0	371.22	543.96	327.56	1127.35	543.96	248.0	559.28	1617.0	521.76	241.19	26.1	13.62	28.65	4.03
RPRD1A	507.46	438.59	490.14	490.14	348.71	432.53	579.04	571.05	0.0	0.62	638.15	974.5	718.08	928.3	1111.82	830.75	733.19	813.63	884.29	1044.52	1417.35	780.44	1340.84	785.88	1059.11	890.44	915.51	1304.15	1051.79	1407.55	775.05	872.1	2018.8	1001.93	679.29	417.77	277.2	265.87	251.48
SAV1	185.11	127.89	305.55	285.03	414.87	226.54	341.51	291.04	0.0	0.21	896.64	624.99	575.03	656.11	753.83	642.59	525.39	896.64	733.19	693.58	555.41	848.22	718.08	791.35	674.59	748.61	624.99	947.83	915.51	1819.35	603.67	743.43	1044.52	486.75	629.35	363.56	183.82	279.14	198.47
SLC35A1	234.57	287.01	239.52	182.55	100.13	191.67	218.79	256.78	0.0	0.46	988.12	1008.9	748.61	1259.69	1259.69	934.76	1119.56	854.13	1757.34	1388.16	1594.73	1096.5	1183.45	1119.56	1467.37	1037.29	1191.69	1313.23	1096.5	1540.37	1359.57	878.17	1651.0	1044.52	738.29	241.19	123.5	201.25	176.29
SNX25	134.3	130.6	96.01	78.89	115.97	110.43	91.41	111.21	0.0	0.0	346.29	493.56	460.44	571.05	595.34	420.68	514.56	507.46	642.59	373.81	269.6	366.09	371.22	309.83	633.73	460.44	764.36	466.88	571.05	490.14	339.14	395.18	473.41	511.0	297.17	98.73	65.72	96.01	63.89
SPATA13	29.06	45.85	76.17	99.43	49.21	44.89	36.27	58.71	0.0	0.58	497.0	718.08	466.88	518.15	961.07	392.44	447.82	647.07	529.06	563.18	318.57	470.14	493.56	435.55	1159.07	595.34	647.07	813.63	612.11	909.17	429.54	638.15	1008.9	563.18	361.04	92.7	16.75	48.18	8.06
SUV420H1	426.57	397.93	363.56	334.46	444.72	373.81	244.57	532.74	0.0	0.48	620.67	753.83	595.34	1059.11	947.83	536.45	642.59	753.83	669.92	579.04	450.94	493.56	753.83	620.67	684.02	703.28	813.63	703.28	981.29	1008.9	642.59	753.83	1225.22	836.53	583.07	264.03	346.29	291.04	194.36
TBC1D4	106.63	147.06	148.09	142.01	217.27	158.79	172.65	176.29	0.0	0.25	529.06	395.18	363.56	514.56	599.49	208.38	361.04	387.02	438.59	320.8	244.57	307.69	246.28	309.83	674.59	334.46	595.34	403.5	941.27	1104.13	341.51	358.54	503.95	426.57	199.85	234.57	142.01	110.43	63.89
TBX3	79.45	87.65	50.98	51.71	49.21	325.29	67.12	620.67	0.0	0.83	1674.06	2520.38	2976.74	2895.31	4095.0	2224.63	2434.5	3190.46	4802.93	2104.58	1427.22	1977.24	1991.0	1819.35	3955.48	4123.49	3419.52	5403.7	6207.38	7382.04	2537.92	4239.45	3060.45	1991.0	2224.63	175.07	69.52	120.94	38.95
THUMPD3	507.46	417.77	473.41	441.64	559.28	540.19	532.74	567.1	0.0	0.28	612.11	587.13	647.07	651.58	842.36	769.69	785.88	718.08	624.99	842.36	981.29	728.11	866.07	629.35	775.05	733.19	748.61	941.27	848.22	1008.9	638.15	616.37	988.12	679.29	567.1	392.44	470.14	698.41	540.19
TOB2	493.56	543.96	500.46	368.65	426.57	409.15	503.95	587.13	551.56	82.87	819.3	884.29	854.13	854.13	698.41	629.35	842.36	934.76	1051.79	769.69	368.65	1059.11	748.61	1096.5	961.07	1561.89	872.1	1295.13	1208.34	1295.13	1044.52	915.51	1225.22	848.22	878.17	384.34	318.57	400.71	327.56
TSC22D1	753.83	974.5	967.76	2573.36	2018.8	5711.87	974.5	1447.15	1674.06	536.45	6840.04	11827.67	10659.59	6164.49	13586.57	7966.99	13681.08	12943.04	19348.38	11189.6	13399.51	8247.98	18689.27	10084.54	12329.98	19348.38	14163.58	9409.14	13776.25	22380.2	9474.59	20451.65	12676.65	6337.83	8022.41	1991.0	718.08	1096.5	1832.01
TTC8	269.6	182.55	180.02	173.85	202.66	193.01	175.07	220.32	0.0	0.06	547.75	723.08	547.75	591.22	759.08	529.06	381.68	651.58	915.51	607.87	808.0	473.41	1088.92	447.82	723.08	819.3	1135.2	759.08	540.19	674.59	679.29	813.63	764.36	620.67	414.87	156.59	214.27	158.79	158.79
UBA5	414.87	406.31	463.65	470.14	490.14	417.77	400.71	536.45	0.0	0.78	579.04	854.13	543.96	813.63	1073.91	738.29	854.13	860.08	866.07	647.07	665.29	486.75	988.12	603.67	890.44	813.63	928.3	759.08	928.3	775.05	599.49	909.17	1225.22	902.89	785.88	348.71	346.29	348.71	293.07
VEGFA	1304.15	1487.87	264.03	591.22	1191.69	1540.37	497.0	733.19	2018.8	1242.34	1662.49	5112.16	5555.65	1407.55	5403.7	547.75	3540.14	5555.65	20310.37	4038.61	836.53	3515.68	5479.15	2835.7	10084.54	12764.83	10084.54	13399.51	7749.1	15499.21	3303.0	8840.04	7695.57	6745.86	3716.2	974.5	1369.04	759.08	466.88
ZNF189	81.14	92.05	96.01	122.64	67.59	73.03	64.8	143.01	0.0	0.12	332.14	470.14	249.73	348.71	320.8	275.28	242.88	336.79	379.04	316.37	339.14	275.28	327.56	264.03	305.55	289.02	389.72	444.72	358.54	563.18	297.17	295.11	583.07	438.59	329.84	142.01	78.34	76.17	58.3
ZNF334	31.45	14.35	1.95	1.97	0.84	6.46	0.88	6.36	0.0	0.43	75.64	249.73	104.42	255.0	190.34	127.89	157.68	164.42	223.41	143.01	136.19	97.36	185.11	108.14	158.79	171.45	226.54	104.42	211.31	175.07	120.1	125.24	511.0	130.6	67.59	15.8	7.46	9.56	0.16
ZNF507	105.15	92.7	64.34	82.29	58.3	68.07	40.64	106.63	0.0	0.49	102.25	186.4	120.94	150.17	220.32	120.1	154.42	163.28	172.65	171.45	102.25	105.15	197.09	125.24	186.4	193.01	177.53	164.42	221.86	212.78	147.06	162.14	241.19	129.69	89.51	100.13	67.12	49.91	56.68
ZNF75A	236.21	220.32	96.68	75.11	86.43	100.13	112.77	139.07	0.0	0.13	400.71	733.19	403.5	532.74	486.75	366.09	503.95	435.55	607.87	366.09	305.55	353.59	438.59	285.03	318.57	438.59	511.0	363.56	543.96	525.39	325.29	466.88	656.11	500.46	336.79	198.47	94.01	85.82	40.93
ZP1	8.92	0.83	0.96	1.87	2.58	0.89	0.0	2.29	0.0	0.04	7.11	15.56	14.03	47.5	13.93	8.32	16.51	25.72	72.52	16.03	11.47	6.01	3.86	6.84	8.85	8.71	16.27	8.78	61.25	100.13	39.79	14.89	17.25	56.68	11.73	0.37	0.19	4.74	0.0
