	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.HP.A5MZ.01A.21R.A27V.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.7761.01A.11R.2170.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.D7.8575.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31
POC1B	309.83	309.83	185.11	381.68	305.55	135.24	182.55	94.01	158.79	170.25	94.67	105.89	53.57	154.42	193.01	141.02	150.17	150.17	103.69	82.87	81.71	147.06	72.01	92.05	142.01	135.24	70.51	163.28	102.25	147.06	78.89	115.16	825.0	521.76	441.64	289.02	497.0	363.56	466.88	555.41	389.72	400.71	371.22
PPP1R14D	1.14	1.14	28.86	791.35	334.46	109.66	3.47	0.0	0.0	28.04	0.0	0.0	0.0	0.0	12.45	12.27	0.0	10.71	134.3	40.07	0.0	0.0	4.78	13.12	0.0	0.0	13.72	0.0	0.0	0.0	0.0	14.78	1208.34	264.03	414.87	123.5	414.87	215.77	54.33	64.8	256.78	218.79	100.13
PRKCD	1111.82	1111.82	417.77	536.45	591.22	267.73	348.71	178.77	104.42	111.21	70.51	77.25	74.58	73.03	314.17	105.89	52.08	197.09	69.03	127.89	68.55	86.43	258.57	175.07	149.12	78.89	102.97	507.46	127.89	108.9	214.27	71.0	1331.57	1487.87	2451.44	1059.11	1023.0	1051.79	674.59	2178.83	1199.98	884.29	1059.11
PTPLAD2	109.66	109.66	55.89	60.82	50.63	57.89	63.89	48.87	24.99	37.85	15.22	18.7	15.45	23.42	31.67	45.85	18.84	22.26	13.32	28.24	13.03	43.94	28.45	15.68	37.05	31.22	32.36	48.87	37.05	12.64	33.3	15.34	150.17	155.5	113.56	120.1	194.36	307.69	253.23	118.43	98.04	165.57	140.04
RARB	98.04	98.04	125.24	167.9	100.13	65.26	99.43	71.5	34.51	102.25	8.65	16.63	34.02	28.86	75.64	148.09	49.91	45.85	22.1	30.34	19.39	115.16	40.07	105.15	56.68	29.91	44.57	57.89	22.59	85.22	45.85	63.45	320.8	177.53	118.43	65.26	137.14	90.14	130.6	115.97	107.38	91.41	145.02
RIT1	358.54	358.54	314.17	332.14	316.37	275.28	211.31	152.28	198.47	106.63	72.52	75.11	75.11	92.7	166.73	133.36	85.82	158.79	65.72	105.15	50.27	94.67	167.9	143.01	134.3	111.99	63.45	307.69	103.69	108.14	140.04	94.67	629.35	409.15	409.15	507.46	371.22	389.72	316.37	403.5	466.88	470.14	384.34
SEMA6A	301.33	301.33	202.66	842.36	180.02	172.65	148.09	417.77	30.56	157.68	18.56	34.26	71.5	231.32	209.84	138.1	36.79	170.25	19.68	50.63	23.25	366.09	66.18	73.03	57.89	217.27	62.12	40.93	264.03	341.51	105.89	31.0	90.77	165.57	373.81	743.43	341.51	616.37	435.55	82.87	1183.45	490.14	497.0
SLC12A2	961.07	961.07	277.2	718.08	575.03	68.55	100.13	83.45	73.54	185.11	12.64	100.83	11.91	86.43	71.5	460.44	14.56	116.78	8.92	49.56	12.36	107.38	143.01	6.57	105.15	211.31	17.0	447.82	45.85	52.82	88.26	32.36	1127.35	1030.12	642.59	656.11	511.0	3325.99	1268.46	532.74	1286.18	3018.3	339.14
SLFN11	343.89	343.89	169.07	110.43	137.14	145.02	148.09	154.42	23.08	74.58	16.03	15.0	51.35	17.77	70.01	75.64	46.5	52.08	7.88	48.18	13.93	48.18	60.82	53.19	73.03	57.08	27.64	92.7	68.55	94.67	72.01	27.44	713.11	521.76	353.59	221.86	297.17	547.75	466.88	559.28	376.41	473.41	336.79
SOGA2	229.72	229.72	157.68	559.28	392.44	38.4	14.35	32.13	25.35	6.73	20.41	54.72	7.75	34.75	215.77	101.54	2.1	71.0	1.77	8.92	5.15	29.06	92.7	6.67	148.09	40.07	9.7	258.57	6.89	105.15	17.51	10.0	169.07	176.29	339.14	507.46	287.01	389.72	457.25	155.5	802.41	785.88	384.34
SPRED1	283.05	283.05	117.6	209.84	221.86	99.43	105.89	92.05	25.35	66.65	36.01	43.63	16.27	24.63	85.82	52.82	40.07	63.45	11.38	27.64	36.53	36.01	47.5	69.03	42.41	52.45	18.43	141.02	18.29	31.45	51.71	29.7	463.65	351.14	314.17	218.79	303.44	595.34	271.48	167.9	363.56	325.29	241.19
SPRED3	8.58	8.58	18.03	45.21	37.85	19.97	1.73	3.92	0.0	0.0	1.43	6.94	2.16	7.22	2.84	1.87	0.0	0.0	1.41	1.22	0.0	0.0	1.62	4.62	2.84	2.07	4.21	3.32	0.2	0.0	2.53	0.0	49.56	32.36	10.55	18.29	47.84	65.26	38.67	20.11	16.03	22.75	57.08
STK32A	40.07	40.07	8.78	45.85	33.06	5.92	4.5	9.56	0.72	0.45	0.27	6.46	0.0	2.89	0.02	4.9	0.92	1.73	2.58	1.23	0.55	105.89	2.48	0.49	2.78	3.66	3.38	3.5	1.75	1.04	1.57	1.97	127.0	13.03	11.64	25.72	14.67	16.03	60.39	5.96	23.08	20.86	38.4
TCP11L2	316.37	316.37	99.43	198.47	120.94	41.81	52.82	38.67	25.35	23.93	15.22	13.83	16.27	33.54	98.04	20.11	35.76	82.29	31.0	28.24	26.86	69.03	82.87	52.45	66.18	75.64	28.65	74.06	20.41	40.36	206.94	18.56	185.11	226.54	197.09	198.47	214.27	371.22	438.59	343.89	186.4	327.56	244.57
TEP1	368.65	368.65	301.33	599.49	713.11	204.07	126.12	142.01	71.5	115.16	51.71	81.71	151.22	55.1	251.48	92.05	78.89	153.34	43.02	204.07	81.71	81.14	218.79	102.97	171.45	76.71	85.22	303.44	145.02	97.36	231.32	121.79	854.13	769.69	1037.29	638.15	947.83	1030.12	974.5	1295.13	669.92	848.22	836.53
TMC5	110.43	110.43	224.97	1896.65	995.0	124.37	29.06	2.14	35.76	0.68	0.69	0.0	0.0	0.0	66.65	2.58	0.0	8.65	1.01	0.0	1.17	0.0	21.47	7.94	17.0	3.5	0.45	22.26	0.0	0.0	12.36	0.0	1733.13	2178.83	2739.08	248.0	981.29	1733.13	1023.0	10659.59	4543.8	2271.4	147.06
TMEM44	186.4	186.4	241.19	389.72	309.83	144.01	190.34	102.25	51.71	121.79	62.12	43.32	68.55	46.18	146.03	60.82	41.81	106.63	33.06	31.45	88.26	99.43	56.28	75.11	77.25	124.37	96.68	162.14	69.03	71.5	148.09	44.89	348.71	346.29	336.79	221.86	226.54	348.71	242.88	412.0	199.85	229.72	305.55
TMEM67	198.47	198.47	59.97	242.88	86.43	53.19	9.7	37.59	24.99	43.02	23.76	13.12	14.24	23.25	36.27	28.65	42.71	23.93	19.25	25.17	74.06	14.45	41.81	5.15	28.04	104.42	55.89	110.43	21.78	21.63	22.26	64.8	191.67	173.85	115.97	171.45	127.0	154.42	163.28	130.6	144.01	117.6	201.25
TRPS1	1127.35	1127.35	21.63	142.01	97.36	22.92	10.24	57.08	1.03	4.62	4.21	15.68	41.22	23.08	9.2	5.77	3.44	24.81	0.97	7.94	4.86	57.89	4.21	3.76	44.25	15.8	11.04	18.43	6.57	9.2	15.56	10.08	185.11	74.06	78.34	37.32	102.25	157.68	312.0	162.14	125.24	162.14	84.63
TUBB3	74.58	74.58	178.77	1388.16	470.14	80.57	165.57	22.92	3.79	0.0	5.32	6.46	7.11	7.06	44.89	4.58	1.23	8.58	2.07	9.93	6.31	0.06	29.27	555.41	29.06	3.2	1.28	202.66	35.25	6.78	1.48	3.11	674.59	521.76	392.44	1369.04	1572.76	860.08	669.92	64.34	109.66	532.74	1183.45
UBASH3B	46.84	46.84	36.53	195.72	100.83	15.34	191.67	28.65	12.45	33.06	14.89	2.51	16.39	4.13	44.25	3.86	7.17	57.08	1.64	7.17	1.93	5.41	14.03	42.11	19.53	25.72	6.67	60.39	26.1	8.13	8.38	0.0	183.82	104.42	91.41	86.43	45.21	94.01	128.79	125.24	48.52	59.97	59.55
VMP1	3280.18	3280.18	3443.31	6294.04	5633.22	2193.99	2758.13	2255.7	1685.71	902.89	429.54	599.49	647.07	981.29	1572.76	2032.85	1127.35	974.5	733.19	1359.57	1191.69	915.51	1844.76	1143.1	2224.63	1159.07	660.68	1909.85	3168.41	2468.49	2018.8	1268.46	3419.52	3018.3	3614.55	2777.33	3235.01	2400.97	2148.82	4937.99	8247.98	7280.4	2855.44
WNT6	9.06	9.06	7.51	31.67	22.75	8.32	0.68	7.4	0.44	4.74	5.06	1.0	0.0	1.28	1.69	0.14	0.92	0.53	7.34	1.39	1.95	4.58	1.03	0.0	3.92	2.81	0.09	4.1	3.08	0.73	1.43	0.71	5.23	11.73	27.84	18.03	19.53	22.59	37.32	8.71	22.1	13.52	39.79
ZNF267	208.38	208.38	108.9	242.88	208.38	100.83	130.6	118.43	44.89	59.55	22.92	26.86	39.79	47.84	69.52	40.64	35.25	78.34	44.25	43.94	16.88	43.63	41.81	148.09	59.55	33.78	52.45	121.79	92.7	31.0	54.33	45.21	466.88	289.02	262.2	248.0	400.71	301.33	209.84	316.37	194.36	193.01	232.94
