	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.BW.A5NO.01A.11R.A27V.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA
CRNKL1	507.46	748.61	432.53	866.07	521.76	507.46	409.15	379.04	1127.35	536.45	426.57	884.29	460.44	521.76	397.93	320.8	269.6	283.05	231.32	403.5	214.27	361.04	234.57	384.34	297.17	351.14	232.94	232.94	204.07	215.77	283.05	120.1	255.0
CWC15	1268.46	1561.89	1208.34	1540.37	1457.23	1175.27	1331.57	1096.5	1225.22	1208.34	854.13	2004.85	915.51	1143.1	1023.0	559.28	656.11	769.69	1001.93	836.53	791.35	1167.14	525.39	1008.9	1111.82	842.36	896.64	1030.12	808.0	854.13	733.19	591.22	441.64
DPAGT1	854.13	1467.37	1277.29	1151.06	866.07	1467.37	1295.13	647.07	1467.37	878.17	1651.0	1225.22	1059.11	1350.18	988.12	503.95	343.89	476.71	738.29	607.87	638.15	555.41	503.95	493.56	423.61	684.02	507.46	503.95	480.04	500.46	493.56	363.56	403.5
DRAP1	4575.41	3589.58	4704.07	5751.61	2720.15	3820.7	4419.52	4010.71	3372.43	3614.55	3419.52	6037.61	5366.37	4358.66	3124.78	1508.65	2451.44	1350.18	1781.89	2335.28	1832.01	1437.15	2895.31	2758.13	1977.24	1806.78	1991.0	4066.71	1519.15	2255.7	2287.2	2004.85	1781.89
DTYMK	1407.55	1127.35	518.15	1628.26	718.08	1059.11	559.28	529.06	1378.57	1073.91	1340.84	1697.45	854.13	1066.48	441.64	159.9	189.02	314.17	166.73	343.89	224.97	366.09	283.05	281.09	320.8	283.05	197.09	384.34	133.36	392.44	262.2	206.94	187.71
ENTPD6	1159.07	1508.65	2739.08	1427.22	1467.37	1594.73	1286.18	1191.69	1397.83	1304.15	1467.37	1769.57	1151.06	1322.37	1151.06	540.19	490.14	866.07	808.0	450.94	438.59	708.18	595.34	733.19	536.45	521.76	595.34	866.07	866.07	599.49	698.41	237.86	674.59
FAM21D	444.72	633.73	397.93	1407.55	808.0	718.08	493.56	947.83	417.77	483.38	490.14	684.02	432.53	503.95	426.57	143.01	215.77	414.87	236.21	175.07	248.0	336.79	281.09	420.68	291.04	269.6	332.14	221.86	157.68	209.84	133.36	242.88	182.55
GINS1	206.94	109.66	66.18	176.29	101.54	109.66	70.51	25.72	406.31	115.97	117.6	234.57	55.1	209.84	27.44	4.43	1.99	7.06	10.39	17.51	14.14	10.55	5.02	12.93	6.06	15.22	31.9	35.5	0.72	5.02	8.45	1.48	2.36
HMBS	988.12	866.07	775.05	1183.45	703.28	1143.1	591.22	603.67	1662.49	896.64	961.07	1015.93	909.17	791.35	559.28	339.14	361.04	228.13	363.56	368.65	470.14	334.46	500.46	309.83	271.48	412.0	373.81	660.68	323.03	444.72	493.56	397.93	381.68
LAMTOR1	5006.93	3018.3	2758.13	4239.45	2976.74	4937.99	2555.58	5913.33	3928.15	2720.15	3540.14	3280.18	2555.58	2573.36	2224.63	1183.45	2032.85	1769.57	1127.35	1651.0	1407.55	1572.76	1295.13	1340.84	1806.78	1437.15	1427.22	2271.4	1216.75	1674.06	1529.73	1572.76	1167.14
MED19	384.34	412.0	312.0	503.95	476.71	447.82	314.17	371.22	559.28	262.2	327.56	493.56	334.46	285.03	293.07	205.5	241.19	157.68	190.34	209.84	242.88	244.57	146.03	157.68	212.78	253.23	206.94	215.77	156.59	260.38	197.09	80.57	127.0
METTL5	1407.55	1583.71	1295.13	1769.57	1191.69	1159.07	1447.15	830.75	2047.0	1457.23	1551.09	1883.54	1551.09	1369.04	890.44	547.75	460.44	486.75	693.58	819.3	825.0	941.27	769.69	728.11	583.07	651.58	713.11	1111.82	397.93	457.25	669.92	511.0	417.77
MKKS	854.13	1628.26	1242.34	2537.92	1216.75	825.0	1250.98	1081.39	1745.2	1135.2	1617.0	1896.65	1572.76	1304.15	571.05	529.06	287.01	450.94	339.14	748.61	490.14	444.72	1175.27	447.82	587.13	532.74	438.59	373.81	329.84	713.11	624.99	417.77	384.34
MRPL48	1037.29	1304.15	1250.98	1051.79	1081.39	1322.37	1259.69	665.29	1844.76	866.07	1277.29	1322.37	967.76	1417.35	802.41	463.65	384.34	457.25	624.99	995.0	660.68	620.67	836.53	620.67	974.5	759.08	579.04	743.43	507.46	780.44	759.08	684.02	665.29
MRPS23	2351.53	2061.24	1561.89	2240.11	1781.89	1857.6	1685.71	1059.11	2609.3	1457.23	1685.71	1685.71	1551.09	1883.54	1208.34	612.11	612.11	466.88	493.56	791.35	674.59	463.65	536.45	500.46	612.11	748.61	603.67	642.59	450.94	536.45	579.04	426.57	457.25
MYBL2	1135.2	684.02	156.59	1427.22	236.21	189.02	234.57	24.46	1794.29	343.89	688.78	1151.06	104.42	1397.83	40.64	5.32	1.89	4.21	9.7	2.68	42.71	0.73	5.28	14.35	0.69	28.65	35.25	23.42	1.85	4.21	2.94	3.56	1.04
NAA20	2816.11	2664.15	2047.0	1950.0	2468.49	3018.3	2537.92	1259.69	3039.3	2075.59	1781.89	3874.05	1977.24	1819.35	1561.89	1044.52	1250.98	753.83	941.27	1457.23	1769.57	1378.57	1457.23	1388.16	1540.37	1096.5	1427.22	1447.15	764.36	1059.11	1551.09	961.07	902.89
NABP2	1073.91	733.19	743.43	860.08	995.0	947.83	587.13	633.73	1073.91	518.15	785.88	1508.65	473.41	1111.82	591.22	215.77	371.22	241.19	248.0	447.82	426.57	279.14	381.68	271.48	351.14	384.34	267.73	373.81	117.6	329.84	228.13	211.31	141.02
NOL12	521.76	540.19	555.41	921.88	633.73	612.11	486.75	759.08	878.17	406.31	555.41	1340.84	466.88	791.35	320.8	146.03	195.72	176.29	244.57	275.28	164.42	271.48	139.07	186.4	281.09	189.02	154.42	341.51	106.63	277.2	231.32	124.37	119.26
NOL7	1617.0	2796.65	1350.18	1857.6	1447.15	2178.83	1397.83	1151.06	2255.7	1388.16	1977.24	1832.01	1304.15	1540.37	947.83	551.56	532.74	532.74	575.03	1044.52	830.75	708.18	660.68	629.35	642.59	748.61	769.69	647.07	412.0	599.49	503.95	483.38	470.14
ORC1	105.89	42.71	20.11	102.25	43.32	49.21	17.51	10.47	351.14	40.93	42.71	98.73	22.59	99.43	17.77	0.82	0.75	1.28	2.76	4.78	7.11	7.57	6.16	6.84	2.36	3.44	7.46	10.16	1.97	4.31	3.59	2.29	2.41
ORMDL2	1605.83	2090.03	2573.36	2255.7	3081.75	2367.9	1844.76	1023.0	1417.35	878.17	1369.04	1233.75	1529.73	1551.09	1769.57	674.59	454.09	785.88	457.25	753.83	1167.14	551.56	1216.75	808.0	718.08	872.1	836.53	1023.0	647.07	780.44	723.08	1008.9	651.58
PES1	1143.1	2224.63	1331.57	2451.44	1508.65	902.89	1350.18	1015.93	3515.68	1617.0	1844.76	2209.26	1175.27	2400.97	1044.52	988.12	1191.69	753.83	540.19	854.13	698.41	802.41	603.67	679.29	836.53	802.41	660.68	764.36	1008.9	660.68	848.22	529.06	909.17
PET117	384.34	301.33	343.89	540.19	438.59	336.79	389.72	277.2	669.92	242.88	249.73	470.14	242.88	320.8	356.05	234.57	220.32	193.01	166.73	231.32	226.54	198.47	285.03	187.71	187.71	299.25	193.01	228.13	251.48	186.4	199.85	251.48	129.69
PIGU	642.59	981.29	743.43	842.36	819.3	791.35	684.02	571.05	928.3	559.28	902.89	1073.91	438.59	1388.16	409.15	190.34	180.02	197.09	176.29	301.33	293.07	193.01	297.17	248.0	244.57	356.05	206.94	463.65	104.42	277.2	237.86	186.4	197.09
POLR2G	4736.79	2178.83	2104.58	2895.31	2193.99	2468.49	1936.53	2209.26	3081.75	2609.3	2591.27	2434.5	1991.0	2875.3	1519.15	842.36	1008.9	941.27	1135.2	1359.57	1286.18	1001.93	1639.59	1216.75	1225.22	1259.69	1304.15	1119.56	555.41	1088.92	679.29	679.29	629.35
PTPMT1	2193.99	1857.6	1127.35	1909.85	1191.69	1519.15	902.89	2682.69	1242.34	1277.29	1427.22	1437.15	934.76	1498.22	981.29	713.11	738.29	620.67	733.19	1487.87	813.63	860.08	915.51	961.07	1059.11	651.58	791.35	1340.84	693.58	941.27	1008.9	902.89	551.56
RNASEH2A	1088.92	591.22	665.29	679.29	638.15	638.15	587.13	336.79	1806.78	796.86	532.74	1561.89	521.76	1151.06	232.94	92.7	126.12	130.6	162.14	215.77	191.67	182.55	189.02	287.01	183.82	177.53	169.07	373.81	102.25	206.94	123.5	89.51	141.02
RNASEH2B	934.76	595.34	318.57	563.18	435.55	267.73	435.55	638.15	708.18	518.15	426.57	656.11	595.34	217.27	379.04	156.59	159.9	176.29	343.89	325.29	341.51	205.5	185.11	356.05	332.14	221.86	281.09	229.72	80.57	209.84	175.07	178.77	108.14
SNRPB	6250.56	9673.69	4903.87	11424.74	4543.8	4123.49	5711.87	2855.44	14361.31	6294.04	7331.05	9279.58	4152.18	10585.95	2758.13	1769.57	1216.75	1159.07	1437.15	1757.34	1199.98	1427.22	2956.17	1639.59	1286.18	780.44	1909.85	1936.53	1844.76	1583.71	2303.12	1388.16	2701.35
SNRPB2	1757.34	1104.13	693.58	909.17	967.76	679.29	785.88	854.13	1806.78	1030.12	791.35	890.44	713.11	909.17	616.37	426.57	387.02	348.71	454.09	713.11	674.59	435.55	540.19	476.71	514.56	529.06	551.56	392.44	348.71	403.5	406.31	312.0	438.59
SNRPE	9088.59	7537.18	6121.9	8901.53	6250.56	4328.55	8778.97	2004.85	9344.14	7695.57	4671.57	6337.83	6164.49	8963.45	2739.08	1540.37	1407.55	1143.1	1427.22	2720.15	1685.71	1936.53	2209.26	1870.53	1605.83	1639.59	1639.59	2240.11	1437.15	1733.13	1909.85	1397.83	1259.69
SPCS2	4869.99	8538.88	7433.4	5329.3	6037.61	7803.01	7695.57	4671.57	5872.48	6037.61	8421.31	6652.97	9606.86	6699.25	4239.45	2956.17	2148.82	2816.11	2758.13	4769.75	4066.71	2739.08	2915.45	3124.78	3081.75	4152.18	3303.0	3690.52	2701.35	3540.14	3168.41	3515.68	2701.35
STT3A	2468.49	4903.87	3847.29	3443.31	3124.78	4358.66	3081.75	1721.16	3280.18	3060.45	5517.27	3325.99	3665.02	2935.74	1909.85	1135.2	825.0	1066.48	1487.87	1844.76	1963.57	1304.15	1369.04	1295.13	1350.18	2240.11	1487.87	1407.55	1096.5	1519.15	1104.13	974.5	974.5
TAF10	5751.61	8598.28	6337.83	9606.86	5441.3	5791.62	5041.77	5479.15	5831.91	4181.07	5751.61	5292.48	4038.61	5791.62	3982.99	1977.24	4328.55	3467.27	3395.89	2104.58	2133.97	2502.97	2609.3	3395.89	3060.45	2335.28	2004.85	3665.02	3742.05	3235.01	2119.22	2816.11	2434.5
TCF19	579.04	120.94	138.1	183.82	152.28	264.03	113.56	108.14	269.6	157.68	194.36	293.07	131.51	417.77	74.58	7.94	10.55	15.11	18.43	22.26	39.5	15.56	15.68	31.22	13.83	59.97	49.56	48.18	10.88	15.56	10.71	5.68	6.94
THOC7	2032.85	2119.22	1662.49	1963.57	1857.6	1135.2	1806.78	1242.34	1832.01	1794.29	1709.26	2777.33	1561.89	1331.57	1199.98	915.51	616.37	633.73	854.13	1378.57	967.76	860.08	866.07	1088.92	1001.93	1250.98	753.83	947.83	603.67	866.07	738.29	688.78	693.58
TIMM8B	3564.78	2935.74	1757.34	3847.29	2255.7	2835.7	2720.15	2224.63	3168.41	2303.12	2935.74	3018.3	2997.45	2758.13	1844.76	1407.55	1350.18	1167.14	1259.69	1583.71	1572.76	1350.18	1991.0	1844.76	1697.45	1487.87	1331.57	2956.17	1359.57	2178.83	1572.76	1844.76	1199.98
TMA7	10368.08	10368.08	6516.03	15180.22	13586.57	8134.41	8479.89	9088.59	10659.59	8658.09	8963.45	13306.94	9088.59	9088.59	5403.7	4181.07	4802.93	4181.07	4972.34	6207.38	5329.3	6164.49	5872.48	8363.13	7537.18	5555.65	4575.41	5913.33	4481.23	6207.38	6792.79	4903.87	2875.3
TMEM126A	1104.13	1199.98	1066.48	1427.22	1277.29	1477.58	1183.45	884.29	1277.29	1199.98	1081.39	1870.53	1378.57	866.07	808.0	703.28	417.77	450.94	547.75	1096.5	708.18	775.05	941.27	603.67	802.41	819.3	647.07	764.36	480.04	660.68	647.07	514.56	555.41
TMEM223	1127.35	1001.93	607.87	1143.1	825.0	842.36	567.1	830.75	1551.09	607.87	708.18	1073.91	698.41	866.07	612.11	395.18	525.39	500.46	571.05	854.13	525.39	525.39	559.28	536.45	603.67	483.38	429.54	1104.13	373.81	660.68	567.1	332.14	366.09
TMX2	3716.2	3103.19	1991.0	1950.0	2855.44	2645.74	1883.54	1639.59	2502.97	1697.45	2148.82	1819.35	2018.8	2104.58	1745.2	1295.13	1427.22	1127.35	928.3	1674.06	1519.15	1529.73	1628.26	1023.0	1111.82	1844.76	1350.18	1662.49	1225.22	1286.18	1407.55	947.83	1388.16
TPRKB	1508.65	1487.87	703.28	1651.0	1081.39	941.27	1322.37	511.0	1819.35	1216.75	981.29	1991.0	1044.52	1183.45	620.67	332.14	336.79	305.55	493.56	616.37	607.87	674.59	503.95	507.46	518.15	376.41	438.59	447.82	258.57	412.0	368.65	248.0	271.48
TRAIP	224.97	103.69	69.03	206.94	187.71	93.35	87.03	44.89	450.94	106.63	129.69	279.14	59.55	187.71	32.82	5.36	5.19	15.45	35.25	19.68	14.56	17.77	8.99	7.63	18.7	20.11	15.45	30.34	3.89	15.8	17.77	4.13	5.5
TUBG1	2240.11	1127.35	748.61	2061.24	1051.79	2018.8	890.44	921.88	1806.78	967.76	1388.16	2119.22	848.22	1508.65	748.61	289.02	417.77	256.78	329.84	316.37	536.45	253.23	358.54	303.44	307.69	412.0	500.46	511.0	151.22	358.54	341.51	206.94	223.41
TUSC2	575.03	909.17	708.18	1832.01	974.5	1487.87	769.69	703.28	1119.56	728.11	1066.48	1628.26	830.75	1216.75	575.03	353.59	698.41	395.18	381.68	703.28	420.68	500.46	507.46	395.18	414.87	507.46	409.15	603.67	341.51	547.75	463.65	447.82	384.34
ZFPL1	1111.82	1104.13	1135.2	1572.76	1322.37	1277.29	1135.2	934.76	1407.55	1051.79	1295.13	1447.15	921.88	1143.1	743.43	490.14	432.53	620.67	860.08	764.36	521.76	780.44	703.28	733.19	624.99	708.18	579.04	848.22	486.75	616.37	698.41	314.17	466.88
