	TCGA.D8.A1J9.01A.11R.A13Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11ZUS.2526.SM.59872	GTEX.SJXC.1226.SM.4DM78	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NYC.2626.SM.5K7VN
BRI3BP	351.14	551.56	175.07	151.22	281.09	291.04	170.25	145.02	547.75	164.42	144.01	152.28	132.44	103.69	260.38	69.03	92.05	71.0	73.03	99.43	80.57	55.1	36.79	88.88	92.05
BRIP1	63.45	93.35	14.03	8.99	69.03	76.71	27.05	52.82	122.64	18.97	71.5	32.59	30.78	40.07	17.77	8.0	24.46	5.77	9.06	15.91	8.92	18.7	20.86	17.51	32.36
C5orf34	70.01	76.71	23.59	47.84	156.59	65.26	52.45	82.29	70.51	48.18	33.78	50.98	64.8	52.82	31.45	1.77	6.89	5.32	7.46	10.71	3.89	2.14	9.63	8.85	30.78
CBX5	688.78	591.22	255.0	387.02	612.11	854.13	616.37	450.94	848.22	450.94	728.11	532.74	228.13	616.37	201.25	80.01	131.51	85.22	93.35	163.28	39.79	81.14	61.68	69.52	193.01
CCDC47	2502.97	3982.99	2739.08	1023.0	4298.64	2895.31	1870.53	2777.33	2451.44	1322.37	2148.82	1757.34	1015.93	802.41	2240.11	941.27	1199.98	698.41	1066.48	1259.69	698.41	775.05	1001.93	961.07	1233.75
CCSAP	120.94	395.18	66.18	64.8	82.29	217.27	111.21	151.22	249.73	320.8	142.01	134.3	60.82	165.57	127.89	16.39	22.92	11.82	19.53	37.32	15.45	53.95	45.53	46.5	24.63
DCAF7	759.08	1225.22	698.41	547.75	1447.15	974.5	813.63	813.63	1331.57	483.38	1167.14	684.02	511.0	713.11	872.1	223.41	314.17	287.01	309.83	341.51	201.25	197.09	211.31	301.33	392.44
DCLRE1B	150.17	193.01	87.03	84.04	127.89	154.42	102.97	141.02	183.82	115.97	172.65	111.99	70.01	90.14	119.26	16.39	13.83	18.56	18.7	38.12	17.64	25.35	13.83	16.88	69.03
DNAJC10	3103.19	2148.82	872.1	1030.12	1709.26	1819.35	1037.29	1286.18	2816.11	1359.57	2287.2	1015.93	1388.16	872.1	1295.13	183.82	334.46	109.66	178.77	400.71	204.07	236.21	277.2	339.14	432.53
DTL	358.54	253.23	75.64	58.3	97.36	299.25	130.6	206.94	738.29	140.04	327.56	169.07	164.42	50.98	21.01	1.45	16.03	9.27	3.56	8.06	0.83	6.16	7.0	1.91	81.71
EIF2AK1	1896.65	3018.3	2468.49	2255.7	3589.58	2682.69	2434.5	2796.65	3742.05	2555.58	2384.37	2758.13	3235.01	2255.7	1794.29	1259.69	1487.87	1073.91	1268.46	1268.46	981.29	1066.48	1304.15	1447.15	583.07
ESRP1	2133.97	2193.99	1127.35	941.27	1639.59	2777.33	1127.35	928.3	2591.27	3395.89	2855.44	1191.69	1322.37	543.96	563.18	4.35	42.11	6.06	3.03	16.39	5.77	27.25	7.06	2.23	460.44
F11R	3564.78	5147.73	1662.49	1572.76	3874.05	4481.23	2816.11	2417.67	4328.55	2835.7	3372.43	4095.0	1781.89	1369.04	1417.35	1216.75	1407.55	1088.92	928.3	1388.16	518.15	665.29	1259.69	1417.35	1225.22
FBXW8	127.89	152.28	181.28	271.48	275.28	277.2	223.41	149.12	403.5	241.19	76.71	187.71	175.07	316.37	105.89	28.04	54.72	52.82	38.95	74.06	50.63	41.22	44.25	31.22	75.11
FLVCR1	249.73	327.56	74.58	81.14	83.45	211.31	139.07	98.04	733.19	165.57	559.28	305.55	202.66	135.24	37.32	17.9	24.11	18.29	20.56	35.76	25.54	6.84	21.94	9.41	72.52
GOLPH3L	1001.93	1199.98	438.59	476.71	2664.15	1167.14	1540.37	447.82	2384.37	1175.27	463.65	1639.59	348.71	775.05	1088.92	92.05	157.68	125.24	187.71	237.86	90.14	108.9	109.66	167.9	175.07
GOLT1B	988.12	1183.45	559.28	507.46	802.41	738.29	579.04	769.69	1378.57	651.58	921.88	616.37	348.71	329.84	444.72	195.72	248.0	129.69	249.73	356.05	132.44	189.02	220.32	171.45	287.01
GRSF1	2193.99	1639.59	1583.71	1477.58	2303.12	1639.59	1697.45	1561.89	2417.67	1208.34	1950.0	1594.73	1733.13	1268.46	1605.83	785.88	860.08	669.92	947.83	981.29	599.49	738.29	791.35	842.36	1437.15
HIP1	289.02	293.07	260.38	435.55	595.34	185.11	500.46	483.38	785.88	363.56	234.57	518.15	463.65	201.25	303.44	92.7	133.36	139.07	116.78	186.4	87.03	142.01	115.16	103.69	135.24
INTS7	656.11	529.06	249.73	206.94	684.02	547.75	486.75	323.03	1175.27	371.22	525.39	450.94	460.44	208.38	141.02	126.12	80.57	87.65	111.99	187.71	123.5	80.01	132.44	123.5	260.38
KIAA0895	103.69	223.41	127.89	100.13	265.87	138.1	111.21	202.66	215.77	148.09	81.71	109.66	169.07	83.45	120.1	79.45	49.21	32.59	42.11	68.07	18.84	27.44	67.59	57.89	13.22
LDOC1L	351.14	583.07	237.86	366.09	493.56	371.22	470.14	121.79	753.83	406.31	244.57	189.02	201.25	262.2	400.71	43.94	34.02	37.85	38.12	77.25	31.22	13.03	5.36	34.51	186.4
LIN9	116.78	242.88	27.84	50.63	67.59	177.53	110.43	57.08	191.67	153.34	169.07	92.7	45.85	71.5	66.18	7.0	14.14	4.82	18.56	18.29	5.92	9.56	10.88	25.91	94.01
LRRCC1	316.37	275.28	88.26	397.93	414.87	348.71	249.73	417.77	825.0	414.87	412.0	79.45	152.28	301.33	151.22	36.27	57.08	0.83	28.86	55.49	34.75	36.01	43.02	77.25	133.36
MAPKAPK5	497.0	713.11	642.59	620.67	848.22	638.15	665.29	551.56	961.07	591.22	490.14	476.71	555.41	764.36	753.83	329.84	339.14	253.23	438.59	463.65	432.53	490.14	356.05	361.04	665.29
MAPRE1	2240.11	2351.53	1617.0	1127.35	2104.58	2335.28	1628.26	2133.97	2739.08	2319.15	2701.35	2240.11	1277.29	1104.13	1594.73	318.57	193.01	312.0	226.54	450.94	130.6	170.25	457.25	199.85	1331.57
MSH6	1030.12	1037.29	457.25	595.34	785.88	1183.45	775.05	713.11	1073.91	842.36	1225.22	759.08	563.18	660.68	384.34	209.84	262.2	161.02	194.36	301.33	79.45	164.42	309.83	253.23	224.97
MTDH	1883.54	2240.11	802.41	1151.06	1583.71	1685.71	974.5	1388.16	3257.52	1977.24	1857.6	872.1	490.14	825.0	718.08	587.13	764.36	258.57	723.08	866.07	536.45	460.44	486.75	595.34	738.29
MUCL1	453265.5	550352.86	2216726.5	736332.6	520665.48	794671.01	919186.72	828417.36	602247.76	1273174.62	1255646.43	900270.11	985160.01	887875.81	1299926.74	0.0	0.0	9.2	0.0	0.0	5.92	0.0	8.99	4.17	9635979.21
NRAS	660.68	713.11	162.14	363.56	607.87	660.68	406.31	183.82	1286.18	638.15	536.45	435.55	323.03	189.02	409.15	180.02	209.84	181.28	167.9	291.04	234.57	234.57	149.12	157.68	327.56
NUCKS1	2609.3	3257.52	1457.23	1572.76	3690.52	2591.27	2895.31	2537.92	6983.79	3039.3	4769.75	4358.66	2835.7	2224.63	1295.13	1427.22	2400.97	595.34	2018.8	1651.0	1407.55	1662.49	2004.85	1477.58	1286.18
NUP43	536.45	612.11	198.47	463.65	334.46	616.37	540.19	353.59	848.22	454.09	336.79	366.09	289.02	603.67	371.22	76.71	130.6	85.22	90.14	117.6	90.14	181.28	87.65	148.09	232.94
NUP50	616.37	947.83	409.15	638.15	607.87	896.64	555.41	486.75	934.76	684.02	532.74	325.29	348.71	312.0	343.89	277.2	201.25	108.9	206.94	297.17	165.57	146.03	366.09	273.37	348.71
NUS1	400.71	583.07	353.59	395.18	878.17	616.37	514.56	595.34	775.05	629.35	555.41	423.61	299.25	253.23	518.15	381.68	327.56	191.67	309.83	387.02	269.6	287.01	271.48	242.88	366.09
PARP1	3124.78	3955.48	1519.15	1225.22	1936.53	2777.33	2956.17	2400.97	3639.7	4358.66	3190.46	2627.46	1781.89	1175.27	1044.52	493.56	616.37	587.13	514.56	718.08	503.95	536.45	500.46	718.08	947.83
PARPBP	88.26	193.01	51.35	61.25	105.15	177.53	36.01	115.16	209.84	122.64	98.73	61.25	63.89	74.06	50.63	2.76	10.71	3.17	5.06	14.45	3.41	13.52	12.0	6.89	92.7
PDP1	559.28	1208.34	368.65	246.28	1313.23	743.43	420.68	819.3	1313.23	1208.34	1295.13	334.46	193.01	329.84	412.0	36.01	37.32	17.64	28.65	72.52	1.95	24.46	37.05	29.06	172.65
PHTF1	220.32	323.03	223.41	131.51	271.48	234.57	166.73	256.78	507.46	264.03	366.09	125.24	193.01	113.56	111.99	74.06	161.02	63.89	96.01	151.22	42.11	87.03	98.04	100.13	92.05
PRIM2	202.66	215.77	59.97	92.7	154.42	197.09	109.66	159.9	262.2	180.02	246.28	117.6	92.7	112.77	85.22	31.0	43.63	41.52	30.34	31.0	9.7	27.84	30.12	20.41	46.84
PTBP3	995.0	878.17	476.71	525.39	1023.0	981.29	629.35	563.18	1529.73	915.51	954.43	674.59	540.19	435.55	348.71	102.25	141.02	57.49	127.0	228.13	44.89	125.24	204.07	133.36	785.88
PTGES3	5594.3	7032.37	4512.4	4095.0	5479.15	7081.29	5479.15	6792.79	8840.04	5872.48	6983.79	6121.9	4066.71	5255.91	6037.61	2609.3	3060.45	2520.38	2796.65	3491.39	2004.85	2627.46	2468.49	2664.15	4937.99
R3HDM1	332.14	543.96	244.57	320.8	460.44	287.01	180.02	287.01	529.06	486.75	303.44	285.03	384.34	283.05	151.22	97.36	89.51	50.63	73.03	136.19	126.12	115.16	117.6	74.06	285.03
RAD21	2537.92	2895.31	941.27	1781.89	1923.14	2627.46	2271.4	1950.0	6294.04	3614.55	4298.64	2004.85	1697.45	1350.18	2319.15	500.46	651.58	392.44	660.68	769.69	329.84	575.03	775.05	599.49	1508.65
RHNO1	647.07	1407.55	483.38	490.14	616.37	974.5	708.18	928.3	1277.29	511.0	1250.98	633.73	909.17	688.78	583.07	63.89	98.04	70.01	76.71	173.85	44.89	63.0	81.71	103.69	295.11
RPAP3	571.05	591.22	329.84	358.54	441.64	514.56	400.71	435.55	775.05	599.49	791.35	403.5	376.41	540.19	493.56	115.97	187.71	40.07	161.02	206.94	74.58	143.01	171.45	125.24	275.28
RPN2	11909.94	11267.44	9876.98	4388.98	9540.5	13033.07	5791.62	9409.14	16843.62	9344.14	9279.58	7230.1	5219.6	6250.56	7695.57	2895.31	3928.15	2816.11	3515.68	4066.71	2163.77	2303.12	3235.01	3467.27	2209.26
SASS6	97.36	120.1	33.78	63.0	79.45	152.28	78.89	54.33	87.03	76.71	77.79	75.11	63.89	74.58	66.18	7.4	17.13	4.98	15.22	20.71	3.86	16.39	21.16	11.04	30.12
SEC23B	2485.67	2287.2	1331.57	1001.93	2573.36	2468.49	1388.16	921.88	2915.45	1628.26	1572.76	1950.0	1277.29	1073.91	1417.35	450.94	389.72	387.02	332.14	551.56	334.46	305.55	395.18	351.14	660.68
SERP1	3982.99	4419.52	3928.15	3212.66	4038.61	3820.7	4543.8	2351.53	6037.61	3716.2	1950.0	4836.35	3280.18	2682.69	2739.08	2287.2	1397.83	1639.59	1340.84	1963.57	1477.58	1295.13	1628.26	1697.45	1208.34
SF3A3	1709.26	1216.75	1417.35	1250.98	1794.29	1359.57	1268.46	1437.15	2255.7	1183.45	1487.87	1331.57	961.07	1331.57	1225.22	429.54	511.0	470.14	490.14	647.07	438.59	353.59	493.56	426.57	1167.14
SOX4	1340.84	1225.22	941.27	872.1	2240.11	1242.34	1119.56	961.07	2163.77	1721.16	1208.34	860.08	1044.52	1388.16	748.61	25.35	31.0	23.76	11.64	111.99	15.8	22.59	128.79	74.58	480.04
SPATS2	624.99	381.68	193.01	363.56	503.95	571.05	307.69	457.25	854.13	638.15	476.71	368.65	318.57	329.84	262.2	34.26	82.87	71.0	49.21	130.6	76.71	52.08	115.16	53.19	126.12
SPDL1	212.78	169.07	122.64	162.14	191.67	226.54	85.82	198.47	409.15	218.79	371.22	132.44	75.11	149.12	178.77	17.38	45.85	13.62	20.56	55.89	40.07	30.56	19.11	19.97	115.97
SSX2IP	403.5	277.2	115.16	190.34	309.83	241.19	265.87	346.29	371.22	303.44	429.54	124.37	237.86	123.5	156.59	45.85	158.79	42.41	55.49	117.6	29.48	71.5	99.43	57.08	92.05
STIL	159.9	221.86	55.49	43.63	140.04	239.52	43.94	85.82	214.27	108.14	129.69	70.01	54.33	34.75	41.81	3.79	8.65	2.58	3.99	9.63	3.38	2.25	4.35	2.12	15.22
TAF2	466.88	373.81	202.66	289.02	406.31	334.46	316.37	244.57	651.58	490.14	595.34	228.13	169.07	339.14	136.19	81.14	122.64	46.18	97.36	173.85	68.55	54.33	112.77	98.73	231.32
TBC1D31	151.22	183.82	64.34	78.89	96.01	128.79	72.52	98.04	256.78	159.9	151.22	63.0	57.49	58.71	50.63	21.63	38.4	12.36	29.7	47.5	22.43	31.45	23.76	13.03	65.26
TMED2	7589.61	8421.31	3303.0	4937.99	6652.97	8421.31	5594.3	5255.91	14765.09	7911.95	4010.71	5255.91	3982.99	2956.17	6607.01	2895.31	3395.89	2895.31	3372.43	4066.71	2502.97	2537.92	2664.15	2720.15	2178.83
TMEM183A	1605.83	1832.01	1088.92	995.0	2287.2	2133.97	1447.15	1369.04	5147.73	2502.97	2240.11	2119.22	1322.37	995.0	2240.11	579.04	633.73	579.04	563.18	656.11	450.94	316.37	500.46	579.04	669.92
TMEM19	518.15	791.35	403.5	397.93	669.92	409.15	450.94	450.94	698.41	441.64	361.04	368.65	384.34	228.13	473.41	164.42	269.6	283.05	224.97	376.41	171.45	118.43	363.56	150.17	244.57
TMEM194A	262.2	320.8	88.88	151.22	218.79	412.0	149.12	198.47	406.31	158.79	224.97	100.13	120.1	249.73	105.15	36.27	59.13	47.17	63.45	84.04	29.91	56.68	78.34	62.12	91.41
TMEM206	353.59	92.7	199.85	161.02	147.06	214.27	112.77	232.94	764.36	318.57	607.87	170.25	186.4	85.82	84.04	14.03	40.64	16.39	13.83	51.71	16.51	15.56	28.86	30.12	77.25
TMPO	1268.46	1388.16	426.57	660.68	791.35	1167.14	723.08	780.44	1709.26	915.51	638.15	454.09	503.95	764.36	854.13	493.56	305.55	141.02	420.68	423.61	316.37	466.88	1015.93	698.41	507.46
TRIP4	447.82	651.58	406.31	536.45	703.28	848.22	603.67	429.54	872.1	403.5	395.18	551.56	723.08	785.88	563.18	214.27	241.19	159.9	241.19	275.28	287.01	246.28	283.05	229.72	429.54
VANGL1	476.71	363.56	144.01	327.56	400.71	540.19	262.2	244.57	872.1	368.65	149.12	232.94	167.9	76.71	148.09	19.11	30.78	27.84	19.68	47.5	23.59	13.72	23.76	25.17	118.43
VPS33A	392.44	318.57	191.67	249.73	447.82	473.41	336.79	253.23	454.09	285.03	258.57	327.56	164.42	236.21	301.33	140.04	153.34	159.9	164.42	195.72	106.63	133.36	154.42	166.73	171.45
WHSC1	769.69	1159.07	269.6	579.04	571.05	473.41	389.72	327.56	967.76	356.05	656.11	336.79	363.56	287.01	221.86	60.82	90.14	50.98	81.14	131.51	33.78	49.56	105.15	48.87	147.06
XPOT	1143.1	1651.0	563.18	599.49	1059.11	1008.9	497.0	1225.22	1151.06	1037.29	813.63	536.45	423.61	361.04	246.28	195.72	269.6	166.73	234.57	327.56	253.23	139.07	167.9	166.73	406.31
YME1L1	2384.37	2720.15	1313.23	1697.45	2645.74	2335.28	1757.34	1857.6	2935.74	1674.06	1857.6	1794.29	1605.83	1250.98	1304.15	642.59	854.13	497.0	748.61	954.43	490.14	591.22	624.99	738.29	1477.58
ZBTB8A	148.09	129.69	53.19	106.63	133.36	181.28	90.77	52.82	234.57	109.66	88.88	102.25	78.34	63.89	77.25	9.85	13.62	4.28	11.47	26.67	13.83	9.48	20.41	13.22	37.32
ZFP91	848.22	854.13	457.25	607.87	780.44	988.12	708.18	665.29	1001.93	836.53	791.35	547.75	384.34	503.95	571.05	211.31	329.84	212.78	221.86	376.41	150.17	221.86	255.0	231.32	547.75
ZWILCH	281.09	339.14	119.26	155.5	353.59	444.72	224.97	218.79	567.1	180.02	229.72	159.9	211.31	177.53	166.73	24.63	59.55	35.0	43.94	57.89	25.17	40.36	45.85	37.85	155.5
