	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.12C56.0426.SM.5FQU1	GTEX.Y111.1826.SM.4SOIR	GTEX.YEC4.1226.SM.5CVLX	GTEX.Y111.1726.SM.4SOIQ	GTEX.146FR.0526.SM.5Q5EX	GTEX.ZYFC.1726.SM.5GZYX	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZQUD.0326.SM.4YCEN	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.131XF.0926.SM.5BC69	GTEX.13X6H.1426.SM.5SI91	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.WRHK.0426.SM.4MVOG	GTEX.YEC4.1126.SM.5CVLW	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZZ64.0326.SM.5E45S	GTEX.P4QT.0726.SM.3NMCM	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4G3.11A.11R.A24K.31
BTN3A3	423.61	412.0	316.37	285.03	309.83	178.77	232.94	76.71	206.94	647.07	195.72	532.74	212.78	954.43	218.79	151.22	74.06	83.45	126.12	163.28	98.04	255.0	146.03	120.94	211.31	540.19	123.5	108.14	358.54	438.59	366.09	376.41	353.59	476.71	389.72	579.04	223.41	476.71	173.85
C1QTNF6	332.14	409.15	73.54	220.32	137.14	63.45	82.29	17.51	63.89	314.17	59.97	316.37	34.75	177.53	51.35	19.53	47.5	39.79	22.26	28.86	11.04	33.06	86.43	58.3	79.45	246.28	15.91	47.5	633.73	166.73	145.02	110.43	423.61	152.28	83.45	201.25	96.01	143.01	63.89
C7orf26	909.17	723.08	612.11	532.74	521.76	500.46	543.96	587.13	633.73	728.11	583.07	915.51	521.76	808.0	559.28	599.49	555.41	555.41	490.14	438.59	507.46	420.68	579.04	406.31	567.1	603.67	500.46	503.95	733.19	698.41	743.43	521.76	718.08	693.58	743.43	748.61	603.67	679.29	665.29
CAD	1242.34	642.59	503.95	915.51	607.87	397.93	490.14	329.84	299.25	656.11	361.04	743.43	346.29	551.56	334.46	305.55	291.04	267.73	251.48	234.57	220.32	269.6	303.44	246.28	395.18	591.22	234.57	169.07	660.68	633.73	525.39	497.0	693.58	607.87	591.22	723.08	429.54	638.15	450.94
CALD1	6607.01	35118.87	148488.36	136637.07	120609.84	355624.68	140478.49	38430.46	27745.15	10014.87	44452.21	9673.69	51775.15	13968.57	53601.03	57051.4	53601.03	45386.27	51417.5	54727.32	51062.33	53973.86	56265.94	62431.08	48307.85	16727.26	52497.92	29327.18	57847.82	66449.85	63742.91	125731.67	77934.88	56265.94	70238.75	46019.85	70238.75	54349.29	72715.74
CARM1	1008.9	791.35	1208.34	1378.57	967.76	1044.52	836.53	555.41	599.49	878.17	743.43	825.0	733.19	954.43	651.58	708.18	669.92	713.11	624.99	665.29	848.22	669.92	909.17	896.64	693.58	860.08	733.19	567.1	1073.91	1030.12	967.76	988.12	1388.16	1159.07	967.76	1127.35	1119.56	1001.93	1001.93
CIAO1	1844.76	1059.11	934.76	1015.93	872.1	836.53	830.75	785.88	591.22	941.27	785.88	1066.48	830.75	961.07	688.78	830.75	743.43	579.04	808.0	769.69	728.11	909.17	884.29	764.36	802.41	921.88	759.08	693.58	808.0	928.3	947.83	1119.56	813.63	954.43	1059.11	1135.2	872.1	902.89	995.0
CLIP2	397.93	486.75	454.09	242.88	275.28	307.69	336.79	169.07	205.5	571.05	229.72	555.41	236.21	490.14	133.36	183.82	241.19	206.94	178.77	217.27	198.47	234.57	269.6	202.66	229.72	493.56	285.03	417.77	490.14	587.13	525.39	432.53	417.77	607.87	616.37	543.96	400.71	301.33	656.11
CNTNAP1	532.74	2777.33	3690.52	2303.12	3928.15	336.79	397.93	246.28	226.54	366.09	258.57	312.0	177.53	341.51	141.02	264.03	145.02	180.02	234.57	141.02	86.43	224.97	212.78	97.36	251.48	575.03	244.57	559.28	1066.48	2119.22	633.73	1183.45	878.17	988.12	525.39	878.17	1242.34	693.58	529.06
COG7	486.75	450.94	368.65	414.87	406.31	291.04	480.04	316.37	336.79	947.83	312.0	1313.23	323.03	1059.11	351.14	303.44	361.04	297.17	325.29	366.09	244.57	325.29	447.82	379.04	301.33	1023.0	295.11	248.0	483.38	555.41	583.07	514.56	403.5	620.67	674.59	540.19	463.65	629.35	518.15
CORT	22.1	11.3	25.35	7.88	2.71	5.92	4.9	4.35	7.69	37.32	19.68	31.22	7.22	41.52	7.17	2.92	5.11	6.41	8.38	5.87	10.31	9.2	5.19	8.0	4.35	23.42	8.85	6.89	7.94	7.4	22.92	8.71	27.64	17.25	15.68	18.84	11.73	20.41	13.03
CTC-479C5.12	126.12	53.57	34.75	17.51	27.64	20.11	40.36	17.38	6.26	72.01	13.62	84.04	23.42	64.34	13.12	28.24	8.99	11.73	17.38	25.54	9.13	15.22	25.91	15.91	32.59	58.3	25.54	27.64	33.78	50.27	52.08	31.0	25.54	57.89	44.25	52.82	43.32	63.45	31.9
DDX31	234.57	285.03	79.45	133.36	126.12	70.51	96.68	94.01	128.79	132.44	88.26	159.9	77.79	146.03	76.71	71.0	120.1	84.63	56.68	100.13	96.68	101.54	90.77	80.01	99.43	232.94	57.89	65.26	128.79	166.73	117.6	128.79	90.14	148.09	113.56	128.79	142.01	163.28	100.83
DGKZ	1697.45	1268.46	1322.37	1467.37	1191.69	1295.13	1191.69	791.35	802.41	2090.03	884.29	2335.28	1119.56	2193.99	961.07	872.1	708.18	780.44	728.11	909.17	848.22	915.51	941.27	1073.91	830.75	2047.0	981.29	748.61	1191.69	1498.22	1427.22	1628.26	1844.76	1832.01	1662.49	1806.78	1572.76	1250.98	1447.15
DHX34	647.07	341.51	161.02	371.22	236.21	237.86	260.38	132.44	199.85	246.28	215.77	251.48	178.77	339.14	172.65	157.68	182.55	163.28	156.59	133.36	129.69	176.29	244.57	129.69	187.71	303.44	149.12	139.07	279.14	332.14	301.33	224.97	291.04	379.04	289.02	341.51	295.11	271.48	201.25
DNMT3B	170.25	56.28	15.22	55.89	11.82	10.24	14.35	2.03	8.71	47.17	8.19	55.89	7.75	52.08	10.24	7.4	11.3	1.79	4.62	10.79	5.68	10.47	17.25	9.63	14.89	30.12	7.06	1.57	33.06	26.67	20.11	15.0	27.84	43.02	24.99	35.5	16.88	22.43	23.76
DPAGT1	1143.1	830.75	532.74	633.73	629.35	571.05	624.99	212.78	423.61	872.1	563.18	769.69	575.03	848.22	607.87	500.46	432.53	563.18	551.56	493.56	420.68	555.41	674.59	438.59	583.07	1191.69	532.74	368.65	764.36	775.05	738.29	555.41	620.67	836.53	633.73	780.44	624.99	802.41	450.94
DPH2	1369.04	460.44	277.2	483.38	450.94	312.0	400.71	320.8	323.03	532.74	521.76	529.06	368.65	435.55	341.51	361.04	339.14	275.28	343.89	341.51	339.14	343.89	429.54	275.28	470.14	457.25	329.84	316.37	366.09	320.8	275.28	341.51	381.68	447.82	878.17	503.95	392.44	463.65	329.84
DTX3L	332.14	444.72	267.73	376.41	368.65	267.73	275.28	169.07	187.71	293.07	182.55	258.57	229.72	273.37	242.88	234.57	190.34	223.41	258.57	269.6	236.21	265.87	301.33	158.79	226.54	316.37	246.28	217.27	532.74	612.11	432.53	575.03	486.75	633.73	620.67	591.22	420.68	559.28	293.07
E2F5	420.68	236.21	108.9	81.71	75.64	54.72	68.55	52.08	51.35	193.01	51.71	191.67	44.57	155.5	33.54	39.79	78.89	40.64	40.64	71.0	35.76	53.19	65.72	37.85	63.89	241.19	34.75	35.0	119.26	139.07	144.01	115.16	101.54	279.14	169.07	163.28	115.16	143.01	68.07
EHMT2	2090.03	974.5	1023.0	830.75	780.44	743.43	796.86	583.07	466.88	1407.55	607.87	1662.49	575.03	1639.59	521.76	529.06	480.04	480.04	403.5	536.45	497.0	543.96	587.13	457.25	540.19	1023.0	493.56	483.38	854.13	1250.98	1159.07	775.05	988.12	842.36	825.0	1037.29	872.1	961.07	759.08
EIF2AK4	633.73	521.76	441.64	432.53	400.71	381.68	447.82	293.07	285.03	638.15	316.37	500.46	473.41	356.05	334.46	395.18	358.54	353.59	353.59	457.25	358.54	497.0	473.41	373.81	368.65	591.22	316.37	318.57	698.41	579.04	503.95	473.41	444.72	514.56	595.34	567.1	651.58	500.46	441.64
ERAL1	1030.12	934.76	819.3	713.11	587.13	599.49	718.08	587.13	698.41	941.27	620.67	934.76	583.07	878.17	836.53	651.58	656.11	511.0	529.06	660.68	718.08	629.35	476.71	780.44	624.99	1066.48	497.0	583.07	759.08	934.76	921.88	529.06	748.61	802.41	830.75	703.28	738.29	1023.0	500.46
FAM102A	1015.93	1159.07	1295.13	629.35	595.34	559.28	836.53	633.73	532.74	1437.15	738.29	1529.73	466.88	1819.35	371.22	438.59	466.88	480.04	320.8	599.49	480.04	698.41	447.82	341.51	813.63	1639.59	441.64	1037.29	1369.04	1697.45	1135.2	878.17	1819.35	1605.83	1286.18	1322.37	1044.52	1745.2	928.3
FAM167B	341.51	819.3	201.25	220.32	348.71	145.02	102.97	17.9	80.01	301.33	55.49	242.88	43.02	178.77	95.34	42.71	49.91	81.14	59.13	49.21	94.01	32.59	115.16	88.88	82.29	341.51	99.43	41.81	486.75	567.1	231.32	140.04	228.13	271.48	134.3	231.32	279.14	124.37	52.45
FAM178A	269.6	312.0	392.44	246.28	295.11	260.38	271.48	180.02	229.72	392.44	251.48	450.94	229.72	389.72	195.72	209.84	297.17	206.94	197.09	295.11	171.45	211.31	231.32	231.32	253.23	373.81	165.57	111.99	348.71	366.09	279.14	454.09	232.94	444.72	363.56	366.09	356.05	371.22	389.72
FAM227A	34.51	25.54	16.63	14.24	8.51	7.51	17.64	7.69	5.19	30.34	15.45	27.64	7.28	17.9	7.94	5.92	15.91	9.56	5.15	11.04	3.17	5.41	8.99	4.1	8.85	27.05	8.92	6.89	36.01	11.38	18.56	11.91	17.9	26.1	19.97	41.52	10.55	15.45	18.29
FAM78B	172.65	59.55	67.12	54.33	41.22	37.85	37.85	5.06	10.79	102.97	22.26	79.45	21.47	100.13	17.13	12.74	12.45	8.38	13.03	11.13	8.51	21.47	5.87	6.01	24.63	81.14	8.19	4.43	55.89	70.01	49.21	30.56	49.56	58.3	43.63	63.89	56.28	31.0	42.41
FANCM	87.65	86.43	28.04	70.01	62.12	26.47	65.26	52.82	30.34	106.63	37.85	98.73	31.9	77.25	26.1	35.5	40.07	25.54	35.76	43.94	38.4	53.19	47.17	36.01	40.93	100.83	33.78	22.75	46.18	57.08	58.71	68.55	53.57	70.51	62.56	71.5	48.87	73.54	69.52
FBXO41	242.88	90.77	48.52	44.57	41.52	45.53	64.34	75.64	36.79	62.56	39.22	61.68	49.56	100.83	45.85	30.12	37.85	37.32	30.12	36.79	22.59	26.47	79.45	14.45	42.41	41.81	36.53	58.3	59.97	67.12	117.6	55.1	62.56	127.0	55.1	66.65	74.06	100.13	37.59
FBXW9	202.66	141.02	112.77	74.58	67.12	57.89	94.67	87.03	64.34	149.12	99.43	144.01	94.67	141.02	117.6	78.89	82.29	78.34	77.79	67.12	122.64	78.89	108.14	90.14	82.87	112.77	94.01	80.01	101.54	95.34	120.1	76.71	170.25	143.01	126.12	145.02	92.7	98.73	98.04
FDX1L	575.03	802.41	679.29	412.0	412.0	559.28	579.04	368.65	420.68	723.08	547.75	890.44	395.18	769.69	547.75	457.25	403.5	417.77	432.53	309.83	486.75	325.29	429.54	403.5	543.96	813.63	332.14	514.56	447.82	480.04	665.29	417.77	780.44	518.15	708.18	551.56	525.39	493.56	555.41
FGD1	249.73	148.09	187.71	163.28	170.25	177.53	152.28	42.11	63.0	146.03	106.63	226.54	81.71	279.14	45.53	69.52	98.73	102.97	66.65	94.67	87.65	105.15	102.97	54.72	127.89	151.22	90.77	127.89	232.94	204.07	157.68	163.28	215.77	156.59	183.82	164.42	186.4	128.79	208.38
FLAD1	1242.34	854.13	507.46	961.07	432.53	414.87	536.45	414.87	493.56	802.41	532.74	1001.93	426.57	791.35	514.56	486.75	536.45	426.57	351.14	423.61	547.75	309.83	376.41	457.25	551.56	796.86	457.25	384.34	532.74	620.67	555.41	447.82	591.22	830.75	612.11	703.28	551.56	571.05	403.5
HEATR6	483.38	320.8	447.82	237.86	277.2	209.84	218.79	255.0	144.01	220.32	236.21	309.83	161.02	265.87	197.09	177.53	201.25	172.65	170.25	279.14	176.29	255.0	246.28	220.32	204.07	392.44	148.09	127.0	239.52	320.8	264.03	373.81	197.09	226.54	301.33	343.89	244.57	289.02	361.04
HSD3B7	395.18	595.34	457.25	460.44	555.41	361.04	316.37	137.14	105.89	579.04	121.79	547.75	124.37	764.36	134.3	130.6	149.12	84.63	84.04	185.11	193.01	142.01	141.02	170.25	132.44	665.29	150.17	161.02	518.15	563.18	525.39	314.17	547.75	511.0	647.07	444.72	412.0	466.88	221.86
INTS4	514.56	400.71	460.44	384.34	336.79	329.84	389.72	305.55	297.17	532.74	395.18	642.59	341.51	497.0	258.57	220.32	348.71	285.03	248.0	224.97	312.0	287.01	368.65	220.32	327.56	796.86	226.54	211.31	400.71	503.95	441.64	395.18	389.72	490.14	723.08	511.0	387.02	403.5	460.44
JAK3	780.44	187.71	28.04	162.14	128.79	38.4	61.25	13.32	34.26	57.08	30.56	42.11	27.05	62.12	31.22	27.25	19.82	15.91	17.25	24.11	33.54	34.02	31.22	15.56	35.5	172.65	36.79	23.59	258.57	281.09	318.57	165.57	148.09	327.56	198.47	384.34	229.72	320.8	44.89
KCNJ10	24.99	2.84	7.34	0.61	0.8	2.12	8.38	2.18	1.08	8.78	1.13	11.21	2.89	11.3	1.11	0.56	8.45	0.58	1.62	2.97	0.58	2.92	1.03	0.0	2.39	10.79	1.1	3.14	2.2	5.54	5.36	2.36	6.21	6.01	7.82	4.21	7.22	9.56	5.41
LEPREL4	629.35	397.93	206.94	202.66	197.09	136.19	126.12	80.57	105.89	414.87	169.07	400.71	107.38	314.17	128.79	81.71	118.43	104.42	85.22	136.19	116.78	122.64	158.79	130.6	139.07	356.05	94.01	127.89	575.03	253.23	249.73	209.84	309.83	244.57	246.28	299.25	195.72	202.66	166.73
LLGL1	543.96	260.38	540.19	466.88	435.55	463.65	409.15	217.27	149.12	409.15	211.31	361.04	199.85	435.55	214.27	208.38	180.02	181.28	161.02	197.09	234.57	246.28	334.46	327.56	199.85	297.17	166.73	363.56	343.89	356.05	435.55	336.79	435.55	316.37	417.77	420.68	318.57	303.44	406.31
MEX3A	318.57	44.25	15.8	41.81	14.56	6.89	7.28	0.78	3.92	18.7	3.66	13.62	1.6	12.45	3.59	1.51	0.87	1.2	0.42	2.92	5.41	1.6	3.26	1.69	5.19	10.63	6.89	4.39	39.5	36.01	11.82	8.78	30.56	26.67	19.82	74.58	14.89	13.32	9.06
MTERFD1	450.94	679.29	318.57	500.46	348.71	262.2	329.84	228.13	265.87	403.5	305.55	353.59	275.28	356.05	353.59	283.05	334.46	242.88	309.83	332.14	285.03	255.0	441.64	246.28	348.71	361.04	206.94	234.57	426.57	457.25	412.0	409.15	356.05	599.49	426.57	353.59	400.71	567.1	295.11
MYPOP	251.48	163.28	167.9	144.01	191.67	169.07	139.07	65.26	161.02	260.38	187.71	267.73	164.42	279.14	153.34	137.14	172.65	178.77	133.36	169.07	163.28	141.02	195.72	127.0	172.65	251.48	133.36	127.89	206.94	223.41	205.5	136.19	297.17	234.57	185.11	194.36	231.32	197.09	202.66
NANOS3	79.45	78.34	25.72	20.41	16.63	54.72	21.63	4.17	13.52	30.12	12.64	34.26	22.1	42.71	6.67	16.39	7.34	3.32	7.11	14.67	12.0	5.06	19.82	9.27	3.47	31.67	12.55	22.1	42.11	42.71	31.22	9.34	36.01	28.24	19.11	76.17	40.07	33.06	18.7
NFS1	1151.06	995.0	624.99	616.37	454.09	540.19	620.67	532.74	486.75	961.07	591.22	1175.27	518.15	1059.11	629.35	500.46	603.67	417.77	514.56	521.76	587.13	389.72	660.68	476.71	579.04	775.05	323.03	703.28	500.46	669.92	642.59	629.35	633.73	629.35	743.43	607.87	647.07	543.96	583.07
NLRC5	1388.16	651.58	256.78	688.78	406.31	193.01	381.68	258.57	176.29	651.58	190.34	638.15	172.65	591.22	239.52	193.01	85.22	89.51	106.63	126.12	114.36	237.86	156.59	110.43	231.32	728.11	185.11	127.89	435.55	651.58	854.13	511.0	503.95	902.89	612.11	723.08	583.07	612.11	195.72
NSUN5	842.36	830.75	591.22	612.11	438.59	470.14	420.68	417.77	460.44	651.58	543.96	808.0	414.87	591.22	507.46	497.0	497.0	343.89	392.44	366.09	507.46	368.65	447.82	486.75	493.56	599.49	435.55	226.54	447.82	514.56	647.07	454.09	493.56	656.11	571.05	612.11	447.82	529.06	409.15
NUDT3	277.2	409.15	403.5	414.87	316.37	409.15	297.17	127.0	133.36	397.93	141.02	389.72	215.77	497.0	152.28	173.85	199.85	159.9	156.59	260.38	139.07	175.07	218.79	172.65	166.73	426.57	189.02	130.6	237.86	318.57	183.82	273.37	241.19	242.88	214.27	264.03	281.09	138.1	307.69
NUP210	764.36	197.09	58.71	167.9	80.57	77.79	113.56	42.41	47.17	211.31	63.89	255.0	36.53	275.28	51.71	37.05	68.07	37.32	29.7	46.5	14.14	44.25	63.45	45.85	67.12	165.57	25.54	58.71	126.12	155.5	260.38	141.02	102.97	242.88	281.09	262.2	190.34	275.28	72.01
OXNAD1	253.23	136.19	77.25	121.79	90.77	93.35	115.97	65.26	94.01	141.02	115.16	140.04	104.42	141.02	113.56	122.64	105.15	84.63	90.14	138.1	118.43	84.04	128.79	119.26	129.69	180.02	102.97	60.39	121.79	138.1	145.02	158.79	123.5	182.55	157.68	246.28	111.99	171.45	125.24
PARP9	551.56	842.36	567.1	698.41	684.02	450.94	447.82	273.37	256.78	493.56	314.17	525.39	277.2	603.67	363.56	277.2	287.01	287.01	301.33	275.28	314.17	351.14	320.8	224.97	332.14	848.22	271.48	409.15	808.0	995.0	669.92	947.83	854.13	808.0	1127.35	612.11	595.34	934.76	389.72
PGAP2	438.59	293.07	198.47	178.77	105.89	79.45	232.94	82.29	123.5	698.41	162.14	743.43	166.73	679.29	139.07	158.79	139.07	96.01	98.73	125.24	164.42	129.69	177.53	182.55	173.85	457.25	136.19	121.79	224.97	223.41	256.78	154.42	363.56	454.09	480.04	429.54	234.57	325.29	244.57
PTCD1	176.29	191.67	170.25	214.27	145.02	142.01	120.1	109.66	101.54	172.65	144.01	176.29	107.38	157.68	127.0	190.34	138.1	106.63	116.78	84.04	92.7	101.54	125.24	67.12	157.68	166.73	90.77	92.7	244.57	146.03	161.02	212.78	199.85	156.59	206.94	170.25	172.65	133.36	156.59
QTRT1	1191.69	1143.1	842.36	1127.35	995.0	708.18	1175.27	688.78	738.29	2240.11	785.88	3124.78	708.18	1685.71	842.36	866.07	743.43	647.07	587.13	688.78	563.18	642.59	808.0	688.78	928.3	1639.59	884.29	417.77	854.13	802.41	1001.93	813.63	1001.93	941.27	1104.13	1081.39	1001.93	1225.22	775.05
RCCD1	708.18	373.81	195.72	202.66	209.84	172.65	195.72	88.88	217.27	400.71	128.79	381.68	158.79	293.07	121.79	112.77	120.1	111.21	127.89	110.43	124.37	117.6	177.53	144.01	140.04	371.22	102.97	96.68	232.94	199.85	295.11	155.5	211.31	316.37	223.41	223.41	220.32	182.55	157.68
RFC4	1073.91	532.74	314.17	1111.82	258.57	279.14	258.57	201.25	226.54	327.56	191.67	379.04	232.94	387.02	258.57	199.85	258.57	146.03	123.5	198.47	201.25	128.79	242.88	180.02	228.13	366.09	267.73	121.79	356.05	262.2	392.44	332.14	406.31	555.41	336.79	447.82	273.37	361.04	293.07
SAAL1	444.72	384.34	236.21	242.88	226.54	176.29	197.09	185.11	163.28	366.09	237.86	379.04	141.02	400.71	191.67	185.11	226.54	180.02	153.34	218.79	193.01	176.29	211.31	178.77	256.78	368.65	148.09	150.17	297.17	297.17	231.32	193.01	242.88	363.56	420.68	258.57	236.21	262.2	198.47
SCAMP4	890.44	915.51	603.67	660.68	753.83	595.34	728.11	629.35	507.46	1023.0	607.87	1191.69	575.03	1008.9	547.75	536.45	525.39	503.95	497.0	629.35	525.39	616.37	684.02	599.49	616.37	1073.91	579.04	563.18	890.44	872.1	769.69	642.59	947.83	1044.52	974.5	981.29	769.69	854.13	571.05
SEMA7A	384.34	177.53	32.82	142.01	84.63	44.57	35.25	23.59	14.67	165.57	39.22	140.04	31.9	90.77	41.81	25.17	36.27	36.79	23.76	30.56	29.7	48.18	19.97	21.01	44.25	105.15	44.57	22.92	120.1	90.77	299.25	43.32	54.33	236.21	89.51	178.77	63.45	214.27	22.1
SH2B2	285.03	100.13	38.95	175.07	105.15	140.04	120.94	31.67	86.43	166.73	61.25	162.14	100.13	48.87	57.89	72.01	72.52	63.89	65.26	47.84	61.68	40.36	70.01	55.1	46.18	190.34	110.43	74.58	191.67	111.99	226.54	73.54	140.04	206.94	109.66	194.36	127.89	107.38	74.06
SLX4	120.94	82.87	84.63	60.39	57.08	53.57	70.51	44.25	34.51	121.79	37.59	133.36	51.35	118.43	51.71	56.68	38.4	32.59	42.11	48.87	31.45	33.78	53.57	49.21	38.95	98.04	31.22	27.84	82.29	71.5	97.36	72.52	63.0	100.83	84.63	105.89	73.03	93.35	71.5
SMYD5	607.87	483.38	392.44	381.68	361.04	299.25	376.41	264.03	164.42	426.57	256.78	473.41	237.86	497.0	212.78	229.72	239.52	193.01	228.13	229.72	265.87	211.31	303.44	265.87	271.48	463.65	149.12	133.36	307.69	395.18	420.68	368.65	358.54	397.93	426.57	395.18	334.46	507.46	291.04
SNUPN	713.11	579.04	540.19	358.54	406.31	327.56	361.04	273.37	267.73	547.75	275.28	466.88	281.09	536.45	312.0	246.28	323.03	269.6	242.88	293.07	426.57	251.48	305.55	244.57	253.23	395.18	241.19	412.0	476.71	423.61	521.76	351.14	500.46	497.0	409.15	426.57	435.55	346.29	414.87
