	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.146FH.2426.SM.5Q5EW	GTEX.O5YT.1426.SM.3MJHC	GTEX.139YR.2126.SM.5KM11	GTEX.Y8E4.2426.SM.4WWDN	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.Q2AI.0826.SM.48TZO
FAM195B	651.58	1268.46	466.88	633.73	708.18	1388.16	1857.6	429.54	532.74	624.99	2417.67	1008.9	599.49	1437.15	1417.35	529.06	1369.04
FBXO17	20.26	108.9	19.25	13.72	39.79	143.01	215.77	22.92	19.82	26.47	320.8	90.77	65.26	136.19	117.6	22.59	67.12
FGD1	29.27	60.39	16.15	9.34	42.41	113.56	105.89	31.45	21.47	41.52	140.04	69.03	63.89	80.01	67.12	20.26	80.01
FGF13	16.39	55.89	11.3	11.04	43.32	77.25	206.94	24.11	33.78	16.39	217.27	69.52	61.68	149.12	64.8	3.44	79.45
FYCO1	108.9	281.09	201.25	154.42	215.77	397.93	559.28	208.38	211.31	139.07	1059.11	299.25	226.54	529.06	429.54	146.03	346.29
GID4	45.85	118.43	50.27	47.5	88.26	164.42	128.79	84.04	52.82	57.08	248.0	99.43	104.42	142.01	115.97	49.56	120.94
GPLD1	1.48	10.88	3.72	0.74	10.24	14.14	18.16	4.94	6.41	4.24	33.3	7.0	5.41	16.15	12.83	3.41	10.79
GPR156	0.23	4.7	0.0	0.56	0.73	6.84	14.14	0.52	2.32	0.0	21.63	1.93	1.69	2.78	1.85	0.59	1.28
GPR83	0.27	1.71	0.41	0.13	0.51	2.03	4.66	0.55	0.64	0.0	2.51	0.66	0.09	4.78	3.23	0.41	1.04
GTF2I	981.29	2255.7	1457.23	1037.29	1950.0	2367.9	2664.15	1883.54	1183.45	1225.22	2895.31	1685.71	1883.54	2271.4	2434.5	1183.45	1870.53
HCN4	0.0	0.82	0.52	0.49	0.79	0.78	1.31	0.0	0.49	0.0	1.13	0.42	0.46	0.49	0.79	0.52	0.88
HDAC4	55.1	181.28	76.71	51.71	99.43	256.78	307.69	82.87	105.15	93.35	368.65	137.14	118.43	312.0	206.94	71.0	253.23
HERC1	228.13	656.11	642.59	157.68	780.44	738.29	909.17	358.54	567.1	540.19	1191.69	607.87	426.57	872.1	633.73	441.64	718.08
JAKMIP3	0.1	4.98	2.39	0.75	1.43	9.13	9.2	0.51	1.3	1.71	21.32	2.81	1.35	7.46	4.94	1.55	4.06
KCNQ4	17.25	64.34	18.16	9.93	30.78	89.51	209.84	5.73	24.11	40.93	178.77	41.52	8.0	105.89	81.71	18.7	47.17
KCTD15	98.04	353.59	107.38	96.01	212.78	414.87	518.15	140.04	87.03	102.97	780.44	231.32	152.28	363.56	339.14	73.03	285.03
KIAA2022	1.69	9.13	3.2	1.99	6.67	12.93	16.63	4.24	3.82	2.92	9.7	6.52	5.15	9.7	11.47	1.79	9.63
KLHDC8B	150.17	483.38	153.34	146.03	242.88	616.37	947.83	154.42	189.02	191.67	1551.09	387.02	199.85	651.58	373.81	141.02	406.31
LAMA5	307.69	1151.06	189.02	204.07	423.61	1111.82	2351.53	339.14	309.83	412.0	1806.78	698.41	543.96	974.5	1008.9	267.73	1167.14
LARGE	181.28	376.41	301.33	320.8	241.19	414.87	607.87	273.37	262.2	215.77	612.11	215.77	293.07	447.82	351.14	242.88	384.34
LONRF2	1.27	19.25	2.01	2.39	5.15	31.45	33.3	3.76	2.81	1.17	51.71	10.16	4.5	30.56	22.26	1.79	32.59
LPPR5	0.0	0.82	0.0	0.0	0.0	0.78	5.41	0.3	0.32	0.0	2.48	0.27	0.0	1.41	1.25	0.0	0.74
LRFN5	1.06	13.03	0.66	2.12	2.61	21.32	36.53	1.41	4.82	2.56	45.85	11.82	12.36	26.47	18.29	0.99	4.66
LRIG1	264.03	890.44	297.17	202.66	529.06	854.13	1250.98	414.87	470.14	325.29	1991.0	728.11	438.59	1051.79	909.17	312.0	896.64
LSM10	848.22	1001.93	521.76	417.77	825.0	1359.57	1167.14	713.11	518.15	669.92	1605.83	764.36	698.41	1044.52	1225.22	518.15	1081.39
LZTS2	395.18	718.08	332.14	234.57	595.34	934.76	1127.35	392.44	346.29	575.03	1519.15	647.07	540.19	1066.48	974.5	373.81	684.02
MAP6	11.73	65.26	8.92	10.24	25.17	70.51	246.28	13.22	16.63	17.9	239.52	43.94	18.84	127.0	120.1	10.71	46.84
MAPT	4.39	45.53	9.7	7.75	11.64	84.63	53.19	10.16	9.27	11.38	285.03	27.25	24.63	54.72	41.52	4.5	27.64
MEIS2	23.42	195.72	33.54	20.26	49.21	229.72	503.95	38.4	42.11	31.22	536.45	158.79	98.04	301.33	181.28	15.91	195.72
MTSS1L	139.07	575.03	110.43	84.04	241.19	860.08	1143.1	155.5	221.86	211.31	1295.13	376.41	251.48	780.44	698.41	190.34	490.14
NAB2	66.65	275.28	82.29	40.36	223.41	237.86	486.75	126.12	90.77	90.77	426.57	158.79	158.79	348.71	173.85	96.68	193.01
NACAD	10.47	64.8	13.03	10.31	24.28	74.06	120.1	19.25	36.27	16.03	122.64	46.18	34.26	108.14	74.58	9.27	57.49
NCKAP5L	38.4	103.69	31.22	25.91	71.0	88.88	129.69	45.21	38.67	45.53	175.07	98.04	75.64	96.01	91.41	32.59	105.89
NFIA	73.54	131.51	82.87	53.19	115.16	183.82	195.72	86.43	112.77	63.89	283.05	154.42	133.36	180.02	142.01	69.03	162.14
NINL	15.56	78.89	20.56	13.93	44.25	87.65	164.42	28.24	12.09	13.93	231.32	41.81	19.11	97.36	57.49	13.83	70.51
OAZ2	934.76	1407.55	743.43	603.67	1199.98	1427.22	1883.54	825.0	785.88	854.13	1819.35	1208.34	1167.14	1427.22	1331.57	629.35	1417.35
PARD6A	80.01	132.44	23.76	54.33	123.5	195.72	136.19	69.03	60.39	85.82	281.09	92.7	73.54	114.36	195.72	45.53	143.01
PBX2	353.59	947.83	466.88	197.09	928.3	967.76	1104.13	616.37	473.41	616.37	1191.69	708.18	848.22	941.27	669.92	444.72	808.0
PBX3	67.59	309.83	98.04	73.54	182.55	351.14	514.56	130.6	133.36	94.01	808.0	221.86	206.94	381.68	353.59	56.68	249.73
PBXIP1	825.0	1963.57	647.07	848.22	1388.16	1662.49	2075.59	884.29	872.1	1051.79	2915.45	878.17	1015.93	2367.9	1529.73	738.29	1388.16
PDE8B	8.99	28.24	22.1	12.36	12.55	40.07	48.18	11.04	16.03	9.34	37.85	34.51	16.39	32.36	23.93	16.15	29.48
PDGFC	28.45	119.26	105.15	8.78	104.42	154.42	343.89	45.85	81.14	43.63	341.51	88.88	62.12	267.73	127.0	32.59	119.26
PHLDA3	223.41	718.08	127.0	115.97	180.02	941.27	1277.29	73.03	134.3	236.21	2133.97	426.57	309.83	915.51	693.58	129.69	698.41
PIP5K1C	246.28	518.15	234.57	255.0	325.29	629.35	1037.29	312.0	237.86	262.2	819.3	392.44	285.03	703.28	551.56	228.13	599.49
PJA1	154.42	241.19	115.16	68.07	267.73	341.51	529.06	175.07	98.73	123.5	406.31	291.04	226.54	414.87	248.0	85.82	295.11
PLD6	17.9	55.1	20.86	18.7	24.11	60.39	91.41	36.53	45.53	35.76	154.42	28.04	33.06	94.67	62.56	18.16	59.55
PLEKHF1	59.13	130.6	43.94	43.63	84.63	185.11	108.14	98.04	58.3	96.68	190.34	112.77	122.64	107.38	157.68	39.22	146.03
PPAPDC1A	2.73	8.99	0.0	0.96	1.48	28.86	36.01	1.01	1.6	1.48	90.14	1.71	1.6	20.56	21.47	2.18	10.79
PPAPDC3	18.7	46.84	17.77	18.16	31.22	77.25	94.67	16.03	14.78	14.89	193.01	53.95	35.25	102.25	70.01	12.93	28.86
PRDM6	7.34	46.18	5.92	2.66	8.51	72.52	43.63	13.52	12.74	10.08	162.14	22.92	11.55	43.63	21.94	1.99	18.29
PRRT4	1.87	22.59	2.81	2.71	8.25	37.05	50.98	2.05	2.68	2.56	47.5	11.21	6.06	17.25	13.32	0.68	17.77
PTGS1	183.82	551.56	187.71	79.45	251.48	1008.9	1457.23	156.59	287.01	232.94	1350.18	353.59	173.85	825.0	595.34	143.01	624.99
PYGO1	2.51	13.93	4.24	2.78	11.47	23.76	34.26	4.94	5.54	2.41	48.18	13.62	9.85	30.34	18.97	2.2	10.71
RAMP1	46.5	1001.93	34.75	48.87	37.05	1295.13	3168.41	85.22	43.32	82.87	3060.45	591.22	76.71	1540.37	1651.0	47.17	503.95
RBPMS2	31.67	379.04	36.79	27.64	57.89	447.82	1350.18	25.72	55.89	47.5	961.07	264.03	85.22	848.22	718.08	36.79	339.14
REEP1	10.55	111.21	9.48	49.21	18.97	170.25	518.15	9.41	27.05	14.03	392.44	75.11	22.59	248.0	221.86	11.21	43.94
RGMA	87.65	555.41	44.57	26.86	171.45	896.64	988.12	83.45	108.9	57.08	1259.69	450.94	153.34	514.56	1233.75	55.49	384.34
RILPL1	36.27	92.05	26.47	22.59	55.1	130.6	159.9	37.85	34.75	32.82	214.27	73.54	56.28	120.94	109.66	38.95	87.65
RUSC2	41.52	128.79	41.52	33.78	81.71	156.59	312.0	45.53	51.35	48.18	336.79	129.69	86.43	316.37	119.26	41.81	190.34
SCARA3	52.82	218.79	61.68	23.08	152.28	236.21	620.67	63.89	82.87	73.03	954.43	211.31	186.4	348.71	237.86	30.34	275.28
SCUBE3	0.32	18.84	0.88	0.64	2.27	23.08	56.28	0.2	0.44	1.13	85.82	14.14	1.75	19.68	10.71	0.48	15.11
SEMA4C	106.63	397.93	156.59	78.34	220.32	409.15	748.61	158.79	191.67	215.77	738.29	334.46	218.79	400.71	384.34	131.51	346.29
SEPT5	98.04	265.87	57.49	61.25	141.02	249.73	316.37	109.66	69.03	67.59	514.56	173.85	166.73	271.48	220.32	43.63	165.57
SEPT6	256.78	656.11	283.05	98.04	785.88	703.28	1268.46	318.57	314.17	403.5	1088.92	343.89	325.29	753.83	819.3	275.28	616.37
SH3BGR	79.45	204.07	60.39	101.54	81.14	251.48	500.46	90.14	78.34	85.82	332.14	122.64	84.04	291.04	181.28	76.71	169.07
SLC22A17	96.68	305.55	74.58	36.79	170.25	316.37	629.35	113.56	77.25	100.83	551.56	170.25	221.86	414.87	242.88	85.22	223.41
SMTN	1051.79	4836.35	825.0	651.58	1233.75	4607.24	11584.24	878.17	775.05	1233.75	8778.97	2255.7	1286.18	7130.55	5517.27	759.08	2555.58
SNAP47	312.0	444.72	265.87	228.13	384.34	497.0	432.53	267.73	248.0	305.55	547.75	397.93	353.59	426.57	532.74	273.37	417.77
SNRPN	32.59	99.43	44.57	14.14	84.63	185.11	297.17	73.54	63.0	63.89	291.04	87.03	62.12	348.71	301.33	65.72	183.82
SOBP	11.13	59.97	12.45	7.57	21.63	98.04	132.44	12.55	16.39	13.72	172.65	49.56	19.39	85.82	108.9	8.85	37.32
SOGA1	35.5	86.43	42.41	18.97	71.0	115.16	165.57	41.52	34.26	42.71	171.45	64.8	55.49	157.68	85.82	27.05	102.25
SOGA2	14.89	178.77	26.28	22.92	28.65	242.88	307.69	35.76	22.43	30.56	620.67	77.25	34.02	231.32	175.07	13.62	130.6
SORCS3	0.4	2.27	0.23	0.22	0.41	2.34	5.36	1.91	0.22	0.69	6.78	1.38	0.89	5.06	1.85	0.0	1.69
SPOP	454.09	878.17	547.75	532.74	738.29	995.0	2645.74	718.08	532.74	571.05	1551.09	769.69	791.35	2895.31	1044.52	521.76	796.86
SRPK3	9.63	57.08	20.26	29.06	12.0	60.39	175.07	12.64	7.75	30.78	135.24	17.64	13.22	90.14	73.03	8.0	51.35
ST3GAL2	84.04	145.02	68.07	28.65	175.07	157.68	277.2	105.89	86.43	113.56	236.21	152.28	110.43	175.07	135.24	43.02	170.25
TARSL2	50.63	127.89	92.05	54.33	100.83	127.89	127.0	81.14	97.36	55.1	204.07	92.7	75.11	127.0	146.03	79.45	144.01
TCEA2	135.24	429.54	111.21	101.54	224.97	432.53	665.29	134.3	151.22	111.21	1008.9	255.0	248.0	595.34	426.57	140.04	414.87
TMOD1	38.95	111.21	55.49	42.11	44.57	189.02	323.03	55.89	81.71	53.95	497.0	111.99	93.35	299.25	231.32	43.94	142.01
TNFSF12	299.25	848.22	202.66	140.04	559.28	1030.12	1498.22	237.86	329.84	361.04	1844.76	616.37	507.46	1191.69	1191.69	236.21	780.44
UBE2D4	251.48	346.29	228.13	201.25	301.33	435.55	490.14	256.78	239.52	183.82	656.11	318.57	231.32	460.44	397.93	195.72	361.04
WLS	629.35	1794.29	928.3	1199.98	928.3	1662.49	2224.63	1073.91	1151.06	1340.84	2271.4	1286.18	1183.45	1551.09	1733.13	743.43	1457.23
WNT6	3.41	9.85	3.66	8.32	3.72	11.82	59.55	4.39	10.31	5.96	22.1	3.72	10.31	14.03	10.79	4.03	9.93
YY1AP1	866.07	1044.52	728.11	808.0	915.51	1250.98	1208.34	848.22	860.08	830.75	1388.16	848.22	1023.0	1096.5	1104.13	954.43	981.29
ZBTB4	149.12	409.15	202.66	120.94	356.05	587.13	679.29	248.0	220.32	202.66	909.17	358.54	351.14	651.58	460.44	169.07	480.04
ZCCHC24	63.0	316.37	79.45	38.67	146.03	591.22	674.59	112.77	112.77	85.82	902.89	403.5	167.9	441.64	518.15	50.98	204.07
ZNF415	10.55	71.5	32.82	68.07	51.35	102.25	153.34	64.8	35.5	28.04	241.19	63.0	54.72	151.22	94.01	44.57	58.71
