	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.E7.A8O7.01A.11R.A36F.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.VS.A954.01A.11R.A38B.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.97.7552.01A.11R.2039.07	GTEX.U3ZN.0626.SM.3DB7U	TCGA.BR.6803.01A.11R.1884.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.VQ.A8P8.01A.11R.A39E.31	TCGA.BR.8364.01A.11R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
LZTS3	38.95	260.38	107.38	85.22	255.0	47.17	246.28	84.04	212.78	23.42	148.09	18.7	43.94	223.41	56.28	75.64	212.78	209.84	153.34	113.56	29.06	48.52	53.95	142.01	87.65	126.12	20.26	312.0	258.57	199.85	483.38	148.09	1159.07	256.78	688.78	332.14	703.28	454.09	239.52	476.71	228.13	409.15	470.14	336.79	511.0	346.29	281.09	242.88	356.05	279.14
MAST3	63.89	87.03	38.67	90.77	53.19	76.71	108.9	71.0	57.89	55.49	98.04	20.56	42.71	55.1	53.95	47.5	71.5	26.67	23.25	81.14	81.14	49.91	107.38	97.36	108.14	73.54	28.65	78.34	264.03	105.15	175.07	432.53	232.94	209.84	226.54	204.07	132.44	164.42	105.89	104.42	214.27	209.84	195.72	277.2	123.5	195.72	165.57	119.26	105.89	137.14
MECOM	1015.93	1225.22	215.77	1081.39	368.65	612.11	1277.29	769.69	314.17	511.0	1359.57	813.63	291.04	466.88	961.07	99.43	1529.73	329.84	283.05	1111.82	791.35	733.19	23.93	249.73	521.76	205.5	48.18	1583.71	1143.1	1322.37	1119.56	1066.48	921.88	2090.03	1594.73	1551.09	3928.15	1733.13	2739.08	708.18	713.11	2384.37	1529.73	902.89	2573.36	1104.13	1359.57	1437.15	1540.37	981.29
MITF	20.56	5.77	30.56	3.99	4.1	62.56	198.47	33.06	12.83	37.05	123.5	10.0	70.51	24.46	75.11	17.64	75.64	29.27	7.94	11.91	7.46	18.97	21.32	346.29	420.68	57.89	17.77	583.07	269.6	277.2	395.18	129.69	122.64	267.73	267.73	190.34	232.94	146.03	346.29	181.28	158.79	275.28	547.75	127.0	297.17	185.11	234.57	175.07	237.86	220.32
MMADHC	1286.18	1844.76	2468.49	1340.84	1427.22	1781.89	2502.97	1806.78	1081.39	1437.15	2895.31	1023.0	1662.49	1662.49	2739.08	2119.22	2119.22	2209.26	1467.37	1923.14	1936.53	1159.07	1437.15	2255.7	2645.74	1331.57	1697.45	3039.3	2119.22	2720.15	1594.73	1819.35	2178.83	2047.0	1359.57	2133.97	1572.76	1662.49	2645.74	2682.69	1572.76	2047.0	1963.57	1407.55	1977.24	2104.58	1583.71	2400.97	1721.16	2193.99
MPRIP	1950.0	1295.13	1044.52	1977.24	2351.53	1923.14	2875.3	3540.14	2047.0	2319.15	2682.69	1540.37	1477.58	2148.82	1617.0	1359.57	2384.37	1963.57	1583.71	1857.6	2255.7	1674.06	1477.58	2434.5	2997.45	1709.26	2384.37	1870.53	2224.63	3325.99	3081.75	2645.74	3614.55	2520.38	2119.22	3515.68	1923.14	2417.67	2061.24	2104.58	4010.71	2645.74	3303.0	3349.13	2627.46	2468.49	2573.36	2384.37	2739.08	1745.2
MSANTD4	113.56	129.69	82.87	90.77	106.63	89.51	180.02	52.08	38.4	66.18	118.43	83.45	83.45	46.84	81.14	147.06	152.28	129.69	76.17	69.03	96.68	35.76	61.25	303.44	256.78	59.97	50.63	384.34	220.32	420.68	212.78	152.28	248.0	208.38	149.12	135.24	231.32	173.85	190.34	275.28	124.37	153.34	209.84	111.21	139.07	161.02	112.77	126.12	81.71	166.73
NAMPT	967.76	656.11	587.13	460.44	629.35	830.75	2193.99	928.3	1259.69	1286.18	2468.49	967.76	1350.18	599.49	1143.1	703.28	1721.16	457.25	339.14	738.29	890.44	688.78	2193.99	2758.13	3190.46	591.22	1059.11	7857.29	1794.29	3690.52	1277.29	825.0	2720.15	1896.65	3540.14	1963.57	3349.13	3325.99	2163.77	921.88	16727.26	2061.24	1268.46	2287.2	1769.57	2224.63	1023.0	2148.82	2739.08	2555.58
NAPG	289.02	275.28	166.73	244.57	470.14	208.38	432.53	336.79	353.59	358.54	392.44	217.27	312.0	123.5	307.69	414.87	423.61	244.57	138.1	417.77	253.23	305.55	289.02	490.14	579.04	279.14	289.02	819.3	376.41	603.67	289.02	384.34	409.15	518.15	316.37	366.09	518.15	368.65	507.46	620.67	438.59	432.53	435.55	249.73	412.0	312.0	277.2	301.33	291.04	312.0
NCOA7	165.57	281.09	248.0	131.51	73.03	135.24	1322.37	426.57	156.59	223.41	351.14	208.38	163.28	206.94	351.14	86.43	896.64	138.1	119.26	253.23	212.78	162.14	271.48	1427.22	1697.45	249.73	165.57	6792.79	1191.69	3212.66	813.63	934.76	928.3	1407.55	866.07	651.58	1143.1	1572.76	2047.0	503.95	1477.58	1437.15	1437.15	447.82	961.07	1023.0	674.59	866.07	785.88	1044.52
