	GTEX.YB5E.0326.SM.5IFHU	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
CCHCR1	232.94	84.04	71.5	73.03	63.0	124.37	74.58	759.08	708.18	1119.56	941.27	620.67	432.53	348.71	679.29	379.04	251.48	587.13	438.59	256.78	384.34	323.03	466.88	376.41	223.41	583.07	947.83	647.07	967.76	743.43	507.46	521.76	819.3	314.17	395.18	409.15	334.46	480.04	466.88	429.54	511.0	273.37	656.11	246.28	466.88	563.18	483.38	555.41	291.04	392.44	616.37	334.46	307.69
CCNL2	265.87	642.59	521.76	521.76	633.73	543.96	629.35	5006.93	5006.93	7180.15	5672.41	3690.52	1561.89	1697.45	2224.63	2537.92	1617.0	3515.68	3212.66	1508.65	2090.03	1304.15	1697.45	2004.85	1322.37	2255.7	2701.35	3874.05	4239.45	4066.71	1304.15	1991.0	4010.71	1286.18	1757.34	2061.24	1175.27	1508.65	3874.05	2664.15	1639.59	1277.29	1794.29	1191.69	1909.85	3325.99	1605.83	2682.69	3190.46	2956.17	2956.17	1721.16	791.35
CDK18	57.89	71.5	49.91	46.5	50.98	73.54	85.22	571.05	551.56	759.08	595.34	514.56	387.02	275.28	361.04	301.33	229.72	379.04	339.14	346.29	429.54	351.14	387.02	309.83	281.09	532.74	507.46	454.09	791.35	493.56	423.61	397.93	599.49	283.05	329.84	332.14	318.57	307.69	567.1	343.89	366.09	241.19	361.04	307.69	320.8	759.08	281.09	454.09	417.77	507.46	450.94	392.44	258.57
CEP164	36.01	49.56	46.84	57.08	64.8	65.72	69.03	612.11	497.0	669.92	629.35	525.39	251.48	307.69	403.5	246.28	295.11	466.88	432.53	320.8	450.94	381.68	320.8	379.04	234.57	412.0	420.68	547.75	529.06	384.34	343.89	373.81	595.34	232.94	303.44	356.05	260.38	373.81	540.19	403.5	371.22	279.14	376.41	195.72	334.46	463.65	253.23	532.74	251.48	392.44	460.44	248.0	273.37
CIZ1	277.2	329.84	239.52	193.01	301.33	273.37	229.72	2319.15	1757.34	2047.0	2163.77	2018.8	1369.04	1313.23	1437.15	1225.22	1151.06	1781.89	1685.71	1135.2	1477.58	1277.29	1519.15	1457.23	1143.1	1794.29	2209.26	2148.82	1806.78	1662.49	1844.76	1832.01	1844.76	1286.18	1191.69	1407.55	1059.11	1350.18	1950.0	1437.15	1397.83	1167.14	1250.98	1295.13	1167.14	2104.58	1191.69	1697.45	1199.98	1857.6	2061.24	1427.22	1044.52
CLDN15	85.22	43.94	24.46	37.32	21.47	46.5	71.5	373.81	185.11	366.09	157.68	146.03	80.01	100.13	94.01	108.14	91.41	149.12	154.42	98.73	138.1	80.57	108.14	88.88	95.34	145.02	195.72	273.37	212.78	145.02	138.1	118.43	171.45	87.03	88.88	90.14	136.19	99.43	176.29	81.14	71.5	87.65	82.87	83.45	67.12	223.41	103.69	111.21	97.36	249.73	126.12	118.43	79.45
CPSF3L	457.25	587.13	547.75	684.02	607.87	796.86	915.51	4066.71	3190.46	2997.45	3419.52	3146.52	1594.73	1977.24	2351.53	1551.09	1769.57	2485.67	2555.58	1709.26	2777.33	1781.89	2148.82	1857.6	1617.0	2645.74	2739.08	2664.15	3235.01	2502.97	2119.22	2224.63	3103.19	1819.35	2075.59	2004.85	1963.57	1977.24	2627.46	2224.63	1963.57	1561.89	1936.53	1857.6	1733.13	2758.13	1883.54	2434.5	2224.63	2485.67	2609.3	1909.85	1628.26
DEF8	708.18	289.02	336.79	406.31	297.17	435.55	587.13	1242.34	1519.15	2032.85	1709.26	1111.82	791.35	713.11	890.44	1001.93	884.29	1183.45	1242.34	738.29	1104.13	928.3	1015.93	1111.82	769.69	1225.22	1286.18	1313.23	1508.65	1175.27	995.0	1037.29	1340.84	884.29	1135.2	860.08	830.75	848.22	1073.91	1066.48	808.0	753.83	830.75	759.08	743.43	1437.15	896.64	1023.0	1023.0	1111.82	1088.92	981.29	902.89
DOCK6	199.85	159.9	151.22	208.38	186.4	175.07	193.01	1819.35	1639.59	1551.09	2104.58	1208.34	842.36	674.59	813.63	872.1	728.11	1286.18	718.08	612.11	1051.79	647.07	915.51	836.53	791.35	759.08	1030.12	1191.69	1322.37	1096.5	947.83	1066.48	1159.07	607.87	974.5	698.41	624.99	769.69	1015.93	674.59	753.83	780.44	764.36	587.13	669.92	796.86	743.43	1059.11	961.07	1183.45	988.12	688.78	647.07
DPH7	54.33	109.66	111.99	85.22	101.54	94.67	139.07	941.27	848.22	1015.93	974.5	785.88	476.71	397.93	454.09	595.34	358.54	890.44	688.78	429.54	470.14	400.71	511.0	486.75	368.65	688.78	825.0	947.83	909.17	769.69	555.41	563.18	902.89	400.71	473.41	460.44	373.81	392.44	928.3	473.41	406.31	351.14	497.0	358.54	441.64	802.41	423.61	698.41	599.49	713.11	836.53	503.95	341.51
DVL2	78.89	63.45	124.37	53.95	131.51	63.0	40.64	921.88	802.41	974.5	1023.0	842.36	521.76	511.0	651.58	490.14	432.53	651.58	808.0	540.19	651.58	547.75	674.59	679.29	518.15	808.0	656.11	796.86	988.12	624.99	587.13	738.29	1001.93	480.04	476.71	633.73	483.38	514.56	1119.56	642.59	660.68	387.02	603.67	412.0	599.49	836.53	575.03	753.83	518.15	551.56	764.36	547.75	429.54
EZH1	59.13	75.64	102.97	82.87	74.06	90.77	93.35	995.0	748.61	1331.57	1277.29	1159.07	620.67	642.59	780.44	638.15	728.11	825.0	921.88	616.37	813.63	511.0	629.35	713.11	503.95	753.83	813.63	995.0	1088.92	785.88	633.73	620.67	1015.93	518.15	607.87	718.08	450.94	591.22	941.27	703.28	808.0	587.13	629.35	397.93	693.58	1572.76	575.03	713.11	738.29	1059.11	718.08	591.22	518.15
FAM111A	215.77	85.82	147.06	52.45	158.79	92.7	94.01	633.73	872.1	1359.57	1331.57	708.18	460.44	258.57	473.41	490.14	293.07	808.0	571.05	323.03	423.61	236.21	607.87	532.74	228.13	748.61	769.69	1030.12	866.07	624.99	420.68	616.37	1023.0	186.4	191.67	412.0	336.79	291.04	1001.93	529.06	376.41	325.29	426.57	236.21	406.31	1322.37	379.04	688.78	409.15	420.68	684.02	423.61	242.88
FAM193B	90.77	460.44	244.57	409.15	146.03	301.33	356.05	2193.99	1427.22	1794.29	1857.6	1340.84	679.29	620.67	928.3	848.22	599.49	1340.84	1119.56	665.29	1059.11	567.1	769.69	825.0	454.09	1313.23	1407.55	1508.65	2627.46	1331.57	860.08	915.51	1781.89	575.03	1059.11	738.29	848.22	921.88	1572.76	836.53	819.3	503.95	813.63	665.29	579.04	2485.67	764.36	1111.82	1191.69	2163.77	1104.13	620.67	466.88
GGA2	285.03	177.53	414.87	281.09	239.52	244.57	253.23	2997.45	3190.46	2915.45	3124.78	2875.3	1540.37	1340.84	2004.85	1322.37	1259.69	2193.99	1819.35	1388.16	2255.7	1378.57	2520.38	1883.54	1529.73	2720.15	2240.11	2417.67	3280.18	2303.12	1991.0	1605.83	4607.24	1417.35	1322.37	1745.2	1313.23	2335.28	2573.36	1639.59	1923.14	1844.76	2104.58	1135.2	1883.54	4639.29	2018.8	2119.22	1487.87	2758.13	2119.22	1617.0	1617.0
GRIPAP1	256.78	403.5	316.37	476.71	457.25	426.57	346.29	872.1	1167.14	1259.69	1191.69	802.41	633.73	796.86	808.0	603.67	674.59	684.02	974.5	620.67	769.69	718.08	698.41	769.69	688.78	890.44	854.13	921.88	1059.11	808.0	743.43	633.73	995.0	551.56	660.68	813.63	536.45	713.11	890.44	934.76	688.78	629.35	708.18	567.1	718.08	921.88	830.75	825.0	738.29	764.36	854.13	599.49	642.59
ING4	325.29	262.2	432.53	279.14	277.2	339.14	262.2	1936.53	1963.57	1991.0	2271.4	1757.34	1572.76	1662.49	1508.65	1457.23	1183.45	2104.58	1733.13	1594.73	1583.71	1088.92	1639.59	1457.23	1037.29	1909.85	1923.14	1883.54	2609.3	2119.22	1561.89	1697.45	2367.9	1143.1	1143.1	1498.22	1487.87	1277.29	2255.7	1639.59	1519.15	1015.93	1561.89	1508.65	1651.0	2319.15	1331.57	1551.09	1572.76	2075.59	2032.85	1397.83	1135.2
INO80B	368.65	341.51	361.04	521.76	348.71	624.99	511.0	2417.67	1685.71	1923.14	1651.0	1733.13	1242.34	1081.39	698.41	1397.83	1081.39	1594.73	1216.75	642.59	954.43	902.89	974.5	1199.98	941.27	1551.09	2032.85	1733.13	1295.13	1977.24	1242.34	1561.89	1844.76	842.36	836.53	1304.15	603.67	813.63	1674.06	1467.37	1088.92	896.64	1073.91	941.27	1135.2	1551.09	1183.45	1331.57	1199.98	1259.69	1572.76	1457.23	902.89
KLHL17	16.27	24.81	18.03	23.42	28.86	22.1	18.29	195.72	269.6	403.5	287.01	190.34	68.07	75.11	127.89	57.89	60.82	115.97	182.55	113.56	171.45	82.29	94.67	119.26	63.0	186.4	154.42	163.28	285.03	90.77	108.9	62.12	234.57	85.22	111.21	81.71	113.56	126.12	159.9	101.54	81.71	53.57	95.34	83.45	101.54	145.02	100.83	108.9	91.41	144.01	120.94	69.03	69.52
KXD1	1127.35	1135.2	796.86	842.36	928.3	995.0	1250.98	2271.4	2047.0	1991.0	2061.24	1909.85	1605.83	1757.34	1583.71	1447.15	1883.54	1991.0	1745.2	1519.15	1662.49	1628.26	1685.71	1745.2	1508.65	1685.71	2047.0	2148.82	1991.0	2271.4	1806.78	1769.57	1561.89	1487.87	1529.73	1583.71	1529.73	1388.16	1844.76	1781.89	1721.16	1407.55	1477.58	1674.06	1583.71	1757.34	1331.57	1519.15	1950.0	2303.12	1896.65	1628.26	1519.15
LMBR1L	199.85	309.83	244.57	248.0	129.69	307.69	229.72	1757.34	1950.0	2627.46	2178.83	1143.1	571.05	642.59	878.17	551.56	759.08	860.08	884.29	371.22	616.37	536.45	780.44	785.88	387.02	954.43	961.07	1175.27	1561.89	1286.18	629.35	698.41	1397.83	460.44	432.53	679.29	379.04	432.53	1313.23	836.53	909.17	543.96	674.59	466.88	656.11	1477.58	470.14	813.63	890.44	872.1	813.63	503.95	460.44
LRRC37B	31.45	11.82	47.17	7.11	26.47	22.43	23.59	412.0	256.78	260.38	312.0	215.77	148.09	120.1	162.14	169.07	132.44	208.38	155.5	117.6	153.34	111.21	176.29	131.51	107.38	229.72	212.78	228.13	325.29	214.27	151.22	147.06	236.21	111.99	134.3	131.51	115.16	141.02	251.48	127.0	182.55	125.24	131.51	105.89	176.29	334.46	171.45	164.42	191.67	307.69	223.41	132.44	114.36
LZTS2	165.57	133.36	88.88	105.15	105.89	127.89	90.14	2739.08	2816.11	2133.97	1950.0	1628.26	854.13	1088.92	1313.23	961.07	1119.56	1295.13	1745.2	995.0	1437.15	802.41	1551.09	1225.22	915.51	1407.55	1583.71	1127.35	1757.34	1819.35	808.0	1159.07	2163.77	1059.11	890.44	1388.16	921.88	878.17	1639.59	1417.35	1572.76	813.63	1286.18	1059.11	1183.45	1733.13	947.83	1322.37	1572.76	1572.76	1605.83	934.76	1127.35
MAP3K12	26.28	12.45	28.04	20.26	13.03	33.54	22.59	579.04	279.14	684.02	587.13	371.22	226.54	193.01	187.71	152.28	221.86	279.14	283.05	130.6	141.02	145.02	267.73	197.09	148.09	320.8	441.64	371.22	532.74	325.29	217.27	241.19	314.17	104.42	190.34	170.25	115.97	155.5	289.02	161.02	121.79	133.36	105.15	81.71	220.32	466.88	149.12	287.01	165.57	246.28	281.09	191.67	120.94
MCM7	1268.46	248.0	217.27	228.13	258.57	607.87	275.28	1583.71	1487.87	1936.53	2018.8	1551.09	1175.27	884.29	974.5	1096.5	1008.9	1594.73	995.0	733.19	1073.91	703.28	1030.12	1151.06	769.69	1467.37	2047.0	1769.57	1936.53	2061.24	1081.39	1191.69	1540.37	743.43	769.69	1242.34	791.35	759.08	1870.53	1216.75	1199.98	684.02	813.63	688.78	981.29	1896.65	961.07	1359.57	1008.9	1857.6	1378.57	1023.0	785.88
MLLT6	61.25	162.14	159.9	84.63	80.01	198.47	157.68	2075.59	3325.99	3614.55	3235.01	2627.46	1259.69	1457.23	1769.57	1277.29	1015.93	1991.0	2303.12	1073.91	2090.03	1322.37	1662.49	1359.57	1233.75	2816.11	2255.7	2895.31	4152.18	1757.34	2133.97	1605.83	2701.35	1104.13	1175.27	1551.09	909.17	1639.59	2758.13	1651.0	1529.73	1407.55	1651.0	679.29	1551.09	3716.2	1572.76	2047.0	1572.76	2485.67	2104.58	1662.49	1268.46
NADSYN1	241.19	318.57	316.37	279.14	277.2	323.03	339.14	1030.12	1437.15	1540.37	1529.73	1066.48	599.49	813.63	825.0	769.69	842.36	1216.75	1208.34	633.73	703.28	728.11	872.1	813.63	723.08	884.29	1023.0	1322.37	1322.37	1233.75	796.86	802.41	1127.35	665.29	698.41	698.41	514.56	679.29	928.3	848.22	738.29	567.1	679.29	616.37	775.05	1508.65	587.13	802.41	1088.92	1073.91	921.88	633.73	511.0
NISCH	187.71	253.23	289.02	269.6	246.28	291.04	307.69	1923.14	1781.89	2047.0	1883.54	1883.54	961.07	1199.98	1242.34	1037.29	1051.79	1467.37	1583.71	830.75	1529.73	981.29	1151.06	1250.98	1037.29	1685.71	1605.83	1685.71	1950.0	1259.69	1104.13	1277.29	1909.85	1066.48	896.64	1250.98	753.83	1008.9	1757.34	1369.04	1081.39	961.07	1088.92	842.36	1175.27	1806.78	1216.75	1313.23	1233.75	1322.37	1617.0	1242.34	796.86
NLGN2	26.47	24.81	10.16	76.17	23.25	29.91	58.3	432.53	532.74	384.34	295.11	177.53	100.83	76.71	94.01	110.43	157.68	151.22	150.17	90.14	176.29	126.12	164.42	118.43	125.24	169.07	248.0	237.86	312.0	237.86	123.5	127.0	260.38	149.12	84.63	110.43	87.03	105.15	136.19	138.1	115.97	144.01	82.87	58.3	68.55	336.79	113.56	140.04	128.79	327.56	186.4	133.36	81.71
NUMA1	567.1	595.34	718.08	647.07	633.73	941.27	748.61	7081.29	6471.02	5633.22	7130.55	5831.91	3235.01	3103.19	3589.58	2627.46	3235.01	4268.94	5633.22	3168.41	4419.52	3081.75	4512.4	3419.52	2664.15	4769.75	4836.35	5441.3	5995.9	3716.2	4095.0	4328.55	5594.3	2976.74	3280.18	4066.71	3124.78	2935.74	5255.91	4152.18	3690.52	2875.3	3742.05	3212.66	3467.27	4937.99	3168.41	4671.57	3443.31	4123.49	4869.99	3257.52	2796.65
NUP188	138.1	158.79	151.22	103.69	120.94	111.99	154.42	480.04	591.22	785.88	723.08	457.25	348.71	429.54	480.04	373.81	323.03	395.18	363.56	275.28	514.56	444.72	334.46	351.14	457.25	476.71	397.93	567.1	511.0	435.55	435.55	409.15	432.53	339.14	363.56	429.54	336.79	381.68	518.15	323.03	332.14	417.77	395.18	267.73	366.09	575.03	476.71	406.31	325.29	406.31	444.72	305.55	358.54
OTUD5	473.41	603.67	603.67	571.05	381.68	813.63	503.95	1417.35	1617.0	1437.15	1457.23	1250.98	1059.11	1378.57	1322.37	954.43	1208.34	1159.07	1216.75	1051.79	1233.75	1081.39	1081.39	1208.34	1104.13	1216.75	1350.18	1331.57	1397.83	1437.15	1268.46	1225.22	1378.57	1081.39	1143.1	1216.75	1104.13	1199.98	1322.37	1295.13	1199.98	1304.15	1044.52	1233.75	1233.75	1331.57	1081.39	1277.29	1268.46	1359.57	1388.16	1059.11	1066.48
PHC1	13.52	19.39	140.04	24.99	27.44	18.7	32.82	1167.14	1159.07	1407.55	1407.55	1104.13	684.02	616.37	718.08	896.64	480.04	1268.46	775.05	629.35	733.19	620.67	743.43	780.44	444.72	1331.57	1030.12	1208.34	1769.57	1096.5	921.88	967.76	1331.57	540.19	656.11	651.58	571.05	674.59	1467.37	896.64	733.19	547.75	748.61	486.75	599.49	2163.77	703.28	1191.69	708.18	1037.29	1111.82	974.5	497.0
PIK3IP1	197.09	336.79	96.01	94.01	65.72	514.56	186.4	2032.85	1477.58	1605.83	1350.18	1794.29	1508.65	603.67	612.11	1350.18	884.29	1447.15	825.0	674.59	921.88	679.29	1111.82	1001.93	785.88	928.3	1745.2	1519.15	1963.57	1745.2	1159.07	1487.87	1561.89	738.29	429.54	934.76	532.74	493.56	1350.18	974.5	1369.04	813.63	830.75	536.45	967.76	1923.14	698.41	1135.2	1498.22	1721.16	1127.35	1286.18	599.49
PLEKHG5	22.43	14.56	12.74	16.75	10.88	9.27	24.11	241.19	198.47	486.75	371.22	116.78	118.43	49.21	105.89	85.82	65.26	157.68	103.69	84.04	155.5	56.28	89.51	98.04	68.55	167.9	256.78	224.97	166.73	130.6	123.5	134.3	162.14	94.67	73.03	104.42	47.17	91.41	122.64	105.89	57.89	71.0	71.5	54.33	50.98	105.89	80.57	162.14	88.26	143.01	197.09	115.16	52.08
PNPLA6	738.29	591.22	217.27	599.49	414.87	426.57	368.65	1369.04	1135.2	1572.76	1322.37	1277.29	775.05	764.36	1001.93	842.36	698.41	1037.29	1225.22	915.51	1407.55	1030.12	1250.98	1044.52	848.22	1277.29	1277.29	1191.69	1199.98	1088.92	1268.46	1159.07	1119.56	921.88	1407.55	961.07	1191.69	1051.79	1151.06	954.43	981.29	738.29	1088.92	1437.15	780.44	1167.14	1023.0	1059.11	1008.9	1304.15	1208.34	947.83	723.08
R3HDM2	166.73	688.78	435.55	323.03	381.68	529.06	551.56	848.22	796.86	819.3	934.76	1096.5	733.19	486.75	743.43	796.86	551.56	718.08	842.36	540.19	954.43	503.95	688.78	674.59	480.04	802.41	995.0	974.5	872.1	854.13	860.08	679.29	961.07	579.04	429.54	723.08	381.68	583.07	848.22	796.86	759.08	543.96	743.43	400.71	507.46	1369.04	620.67	723.08	579.04	890.44	775.05	684.02	454.09
RBM5	223.41	397.93	543.96	356.05	500.46	429.54	400.71	2976.74	4010.71	4095.0	3928.15	3690.52	1519.15	2133.97	2434.5	1674.06	2104.58	3212.66	2935.74	1844.76	2148.82	1733.13	2335.28	2468.49	1697.45	2739.08	2591.27	4010.71	3955.48	3168.41	2061.24	2119.22	4419.52	1477.58	1794.29	2178.83	1322.37	1844.76	3768.09	2664.15	2193.99	2061.24	2434.5	1674.06	2119.22	3716.2	2104.58	3039.3	2032.85	2104.58	3146.52	1583.71	1457.23
RGL2	287.01	183.82	214.27	181.28	140.04	201.25	183.82	2240.11	2855.44	2645.74	3124.78	2502.97	1277.29	1551.09	1794.29	1437.15	1286.18	2417.67	1991.0	1268.46	1769.57	1561.89	1769.57	1870.53	1250.98	2855.44	2777.33	2796.65	3212.66	1923.14	1832.01	1991.0	2855.44	1295.13	1427.22	1331.57	1397.83	1457.23	2816.11	2163.77	1437.15	1208.34	1417.35	1208.34	1662.49	3168.41	1388.16	2224.63	1628.26	2178.83	2682.69	1617.0	1313.23
