	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
BRD8	743.43	638.15	878.17	202.66	532.74	1073.91	145.02	480.04	866.07	1233.75	1066.48	483.38	748.61	403.5	275.28	493.56	791.35	480.04	915.51	713.11	1044.52	165.57	403.5	356.05	934.76	187.71	748.61	595.34	866.07	921.88	1044.52	738.29	733.19	540.19	995.0	348.71	941.27	414.87	444.72	351.14	420.68	896.64	854.13	713.11	1259.69	1008.9	808.0	277.2	332.14
C17orf75	150.17	264.03	532.74	158.79	273.37	351.14	97.36	218.79	332.14	289.02	346.29	332.14	325.29	35.0	158.79	320.8	231.32	194.36	273.37	205.5	409.15	115.97	271.48	64.34	307.69	41.81	187.71	239.52	500.46	363.56	497.0	346.29	212.78	406.31	457.25	81.71	267.73	206.94	234.57	412.0	191.67	555.41	325.29	239.52	293.07	325.29	379.04	147.06	138.1
C17orf80	208.38	158.79	273.37	64.34	158.79	208.38	62.12	253.23	256.78	269.6	236.21	111.99	251.48	85.22	120.94	77.25	214.27	114.36	215.77	159.9	281.09	59.97	170.25	64.34	291.04	68.07	181.28	147.06	249.73	231.32	295.11	260.38	191.67	264.03	277.2	83.45	275.28	104.42	190.34	125.24	87.65	260.38	246.28	177.53	202.66	258.57	224.97	91.41	120.94
C1orf174	366.09	441.64	500.46	129.69	267.73	547.75	79.45	563.18	387.02	389.72	521.76	356.05	563.18	197.09	237.86	246.28	466.88	289.02	438.59	301.33	555.41	170.25	204.07	273.37	368.65	228.13	271.48	295.11	599.49	356.05	441.64	429.54	450.94	503.95	363.56	363.56	536.45	232.94	273.37	199.85	198.47	575.03	444.72	299.25	387.02	316.37	389.72	273.37	177.53
C2orf42	231.32	125.24	229.72	60.82	137.14	136.19	61.68	208.38	239.52	191.67	275.28	98.73	221.86	74.58	92.7	77.79	217.27	131.51	159.9	140.04	208.38	75.64	94.67	94.01	218.79	53.57	116.78	130.6	218.79	223.41	209.84	208.38	131.51	199.85	258.57	72.52	260.38	161.02	182.55	102.25	74.06	248.0	199.85	161.02	197.09	212.78	161.02	38.12	113.56
C2orf44	64.34	42.71	89.51	22.92	83.45	63.45	23.42	78.34	75.11	79.45	145.02	31.45	88.88	31.0	19.97	31.9	102.25	29.48	80.01	63.89	111.99	17.13	27.64	24.11	77.79	19.11	55.89	50.98	87.65	81.14	98.04	73.54	53.95	54.72	100.83	20.71	88.88	57.49	50.98	20.26	41.52	82.87	97.36	75.64	46.18	52.82	60.39	27.64	21.32
C3orf33	83.45	82.87	125.24	46.18	102.25	94.67	35.25	150.17	132.44	91.41	106.63	55.1	177.53	27.64	72.01	62.12	82.29	42.41	108.9	44.89	128.79	40.93	52.45	28.65	69.03	15.45	101.54	37.85	133.36	100.83	204.07	212.78	87.03	143.01	195.72	38.67	120.1	94.01	127.0	71.0	34.26	154.42	126.12	102.97	91.41	68.55	88.26	24.46	36.01
C8orf48	12.93	12.18	47.5	12.18	41.52	35.25	12.0	37.59	54.33	35.0	74.06	5.28	43.02	12.0	17.13	14.67	40.93	17.77	45.53	19.53	55.49	2.66	5.5	2.03	34.51	8.85	29.48	7.22	30.56	50.98	79.45	69.03	32.82	31.45	78.34	0.0	38.67	25.17	31.9	17.38	16.27	44.25	74.06	22.92	77.25	27.84	14.03	5.19	2.14
C9orf64	183.82	236.21	275.28	74.58	209.84	190.34	55.1	323.03	361.04	283.05	271.48	125.24	295.11	80.01	221.86	170.25	301.33	110.43	323.03	140.04	285.03	82.87	155.5	62.56	327.56	59.97	148.09	170.25	323.03	212.78	320.8	356.05	260.38	253.23	262.2	95.34	346.29	124.37	253.23	218.79	80.01	316.37	277.2	206.94	202.66	371.22	303.44	119.26	81.71
CCDC22	309.83	339.14	432.53	162.14	273.37	432.53	209.84	334.46	551.56	563.18	616.37	325.29	466.88	93.35	291.04	242.88	480.04	271.48	429.54	329.84	507.46	239.52	281.09	187.71	559.28	194.36	346.29	279.14	466.88	339.14	395.18	432.53	318.57	400.71	547.75	202.66	444.72	242.88	511.0	267.73	244.57	426.57	426.57	412.0	426.57	320.8	387.02	224.97	217.27
CCDC97	269.6	334.46	642.59	232.94	454.09	587.13	293.07	612.11	693.58	769.69	775.05	371.22	684.02	195.72	429.54	346.29	563.18	332.14	563.18	409.15	884.29	167.9	397.93	198.47	796.86	151.22	429.54	406.31	616.37	559.28	769.69	660.68	441.64	629.35	660.68	187.71	769.69	363.56	591.22	283.05	316.37	708.18	775.05	490.14	454.09	674.59	633.73	275.28	223.41
CDC23	285.03	318.57	363.56	159.9	271.48	351.14	132.44	305.55	381.68	366.09	447.82	215.77	423.61	148.09	173.85	249.73	403.5	241.19	441.64	205.5	429.54	316.37	368.65	212.78	381.68	135.24	271.48	265.87	466.88	361.04	480.04	463.65	400.71	329.84	486.75	323.03	403.5	241.19	348.71	289.02	194.36	454.09	316.37	379.04	323.03	373.81	426.57	197.09	218.79
COG6	183.82	175.07	281.09	104.42	180.02	295.11	82.29	209.84	267.73	231.32	323.03	164.42	226.54	112.77	146.03	88.26	228.13	122.64	232.94	144.01	275.28	104.42	144.01	64.34	295.11	55.89	156.59	142.01	212.78	244.57	307.69	289.02	217.27	197.09	314.17	115.16	209.84	244.57	305.55	221.86	143.01	297.17	194.36	205.5	236.21	273.37	181.28	110.43	114.36
COIL	182.55	178.77	228.13	111.21	195.72	232.94	64.8	253.23	307.69	248.0	303.44	103.69	336.79	91.41	130.6	129.69	232.94	127.0	242.88	148.09	279.14	137.14	105.89	73.54	239.52	83.45	157.68	140.04	244.57	212.78	361.04	323.03	211.31	295.11	273.37	127.89	223.41	127.89	198.47	143.01	92.05	343.89	269.6	147.06	162.14	237.86	244.57	98.73	111.21
COQ6	320.8	400.71	665.29	195.72	363.56	624.99	110.43	651.58	525.39	813.63	728.11	366.09	708.18	154.42	234.57	303.44	463.65	279.14	587.13	339.14	733.19	167.9	295.11	118.43	651.58	102.97	438.59	341.51	769.69	563.18	656.11	607.87	555.41	599.49	769.69	139.07	454.09	329.84	543.96	358.54	253.23	759.08	493.56	500.46	414.87	620.67	547.75	267.73	251.48
COQ9	775.05	713.11	1225.22	406.31	830.75	1008.9	231.32	1277.29	988.12	1088.92	909.17	684.02	988.12	198.47	555.41	612.11	1081.39	688.78	1081.39	825.0	1104.13	244.57	454.09	397.93	848.22	144.01	669.92	713.11	1225.22	1259.69	988.12	974.5	591.22	1051.79	1313.23	318.57	1030.12	507.46	1008.9	679.29	583.07	1233.75	1051.79	728.11	1208.34	860.08	915.51	255.0	309.83
CSRP2BP	116.78	164.42	232.94	61.68	156.59	127.89	36.27	195.72	275.28	202.66	226.54	77.79	204.07	52.82	100.13	98.04	229.72	109.66	186.4	172.65	262.2	55.89	116.78	49.91	267.73	34.26	92.7	116.78	264.03	176.29	211.31	211.31	193.01	212.78	299.25	62.12	287.01	88.26	123.5	89.51	50.63	236.21	201.25	199.85	178.77	164.42	228.13	82.87	68.07
CTCF	579.04	447.82	703.28	195.72	348.71	483.38	279.14	587.13	713.11	490.14	713.11	358.54	764.36	195.72	417.77	336.79	785.88	271.48	486.75	555.41	607.87	242.88	497.0	318.57	718.08	258.57	476.71	466.88	579.04	583.07	713.11	638.15	738.29	536.45	819.3	336.79	612.11	392.44	511.0	303.44	305.55	753.83	591.22	599.49	603.67	555.41	423.61	318.57	281.09
DBR1	221.86	232.94	226.54	60.39	159.9	275.28	40.07	305.55	334.46	291.04	361.04	142.01	339.14	55.89	80.57	158.79	209.84	108.9	264.03	175.07	353.59	93.35	137.14	143.01	305.55	70.51	186.4	161.02	371.22	208.38	426.57	312.0	221.86	262.2	267.73	86.43	303.44	119.26	267.73	165.57	76.17	316.37	371.22	198.47	205.5	269.6	323.03	152.28	96.68
EBAG9	665.29	785.88	995.0	450.94	698.41	651.58	457.25	1175.27	1233.75	629.35	1015.93	551.56	921.88	490.14	591.22	409.15	872.1	525.39	928.3	708.18	860.08	343.89	595.34	483.38	1001.93	275.28	723.08	559.28	1073.91	848.22	981.29	1340.84	878.17	1051.79	1242.34	291.04	1111.82	669.92	759.08	591.22	476.71	909.17	988.12	753.83	1143.1	981.29	981.29	476.71	599.49
EHMT2	785.88	457.25	1096.5	214.27	463.65	642.59	244.57	848.22	941.27	1225.22	1111.82	674.59	1199.98	167.9	256.78	447.82	941.27	417.77	563.18	511.0	1127.35	249.73	555.41	332.14	995.0	267.73	718.08	591.22	878.17	647.07	896.64	842.36	947.83	791.35	1259.69	358.54	718.08	450.94	728.11	309.83	312.0	842.36	808.0	753.83	642.59	679.29	674.59	351.14	318.57
EIF2B1	587.13	559.28	928.3	332.14	785.88	753.83	246.28	753.83	775.05	848.22	1015.93	532.74	836.53	264.03	575.03	651.58	733.19	420.68	819.3	620.67	947.83	397.93	587.13	262.2	819.3	165.57	603.67	521.76	934.76	693.58	802.41	921.88	728.11	909.17	819.3	343.89	830.75	511.0	660.68	540.19	384.34	928.3	775.05	656.11	802.41	791.35	764.36	368.65	348.71
EXD2	441.64	293.07	497.0	133.36	178.77	414.87	105.15	447.82	624.99	358.54	591.22	271.48	486.75	138.1	229.72	156.59	486.75	267.73	387.02	314.17	400.71	134.3	189.02	234.57	412.0	92.7	336.79	299.25	409.15	476.71	420.68	438.59	371.22	339.14	624.99	175.07	343.89	332.14	363.56	305.55	215.77	438.59	336.79	473.41	454.09	395.18	303.44	202.66	142.01
EXO5	52.45	110.43	136.19	35.5	122.64	163.28	42.41	167.9	149.12	198.47	199.85	47.17	155.5	31.9	72.52	39.5	121.79	52.45	153.34	66.18	217.27	33.78	85.22	22.26	208.38	52.08	59.97	85.82	211.31	120.1	195.72	236.21	77.79	138.1	145.02	25.17	176.29	69.03	109.66	58.71	50.98	172.65	197.09	107.38	82.87	134.3	152.28	57.49	27.44
EXOC1	417.77	366.09	603.67	154.42	457.25	555.41	159.9	555.41	529.06	708.18	638.15	384.34	599.49	194.36	177.53	414.87	358.54	301.33	460.44	423.61	591.22	242.88	291.04	275.28	555.41	142.01	403.5	353.59	656.11	688.78	599.49	414.87	323.03	486.75	599.49	423.61	432.53	299.25	473.41	373.81	293.07	708.18	366.09	543.96	555.41	547.75	607.87	239.52	256.78
FAM122A	211.31	201.25	392.44	178.77	194.36	307.69	131.51	293.07	287.01	244.57	426.57	215.77	339.14	193.01	169.07	112.77	329.84	151.22	256.78	186.4	269.6	103.69	182.55	80.57	293.07	128.79	255.0	166.73	260.38	299.25	397.93	264.03	256.78	214.27	314.17	92.7	283.05	172.65	231.32	152.28	141.02	348.71	264.03	285.03	256.78	249.73	211.31	147.06	148.09
FAM160A2	318.57	376.41	1233.75	463.65	693.58	872.1	343.89	988.12	866.07	1832.01	830.75	536.45	1015.93	267.73	291.04	551.56	575.03	336.79	665.29	595.34	941.27	285.03	379.04	341.51	708.18	248.0	514.56	693.58	1059.11	974.5	688.78	785.88	400.71	995.0	1268.46	438.59	967.76	432.53	941.27	291.04	356.05	1051.79	624.99	603.67	915.51	571.05	656.11	212.78	358.54
FAM193A	346.29	267.73	447.82	229.72	208.38	343.89	173.85	397.93	503.95	414.87	540.19	180.02	273.37	223.41	218.79	173.85	392.44	205.5	435.55	291.04	483.38	180.02	256.78	170.25	420.68	130.6	318.57	312.0	473.41	323.03	412.0	511.0	356.05	412.0	450.94	151.22	563.18	186.4	260.38	178.77	154.42	363.56	559.28	400.71	314.17	486.75	281.09	236.21	299.25
FIZ1	137.14	186.4	341.51	80.01	209.84	232.94	78.34	376.41	389.72	339.14	283.05	150.17	334.46	93.35	246.28	130.6	305.55	138.1	363.56	170.25	336.79	72.52	163.28	65.26	186.4	102.97	167.9	162.14	343.89	232.94	299.25	381.68	218.79	426.57	346.29	88.88	441.64	123.5	264.03	128.79	117.6	420.68	429.54	154.42	297.17	267.73	363.56	86.43	128.79
FOXRED1	218.79	327.56	426.57	195.72	329.84	368.65	112.77	339.14	264.03	483.38	480.04	325.29	332.14	131.51	323.03	224.97	361.04	285.03	356.05	301.33	599.49	110.43	301.33	144.01	460.44	90.14	332.14	191.67	480.04	303.44	195.72	348.71	366.09	435.55	363.56	138.1	417.77	178.77	384.34	206.94	176.29	358.54	460.44	435.55	400.71	334.46	336.79	140.04	161.02
FPGT	105.15	116.78	260.38	75.64	181.28	177.53	70.51	142.01	307.69	215.77	303.44	127.89	232.94	56.68	63.45	112.77	201.25	101.54	287.01	98.73	189.02	68.07	154.42	70.01	256.78	52.82	214.27	140.04	301.33	260.38	234.57	236.21	234.57	267.73	323.03	112.77	186.4	116.78	226.54	142.01	95.34	241.19	226.54	228.13	187.71	178.77	221.86	135.24	114.36
FZD2	119.26	50.63	127.89	18.16	81.71	92.7	48.52	273.37	244.57	260.38	214.27	185.11	307.69	22.92	80.57	118.43	231.32	53.19	178.77	98.04	136.19	12.93	62.56	42.41	305.55	22.59	50.63	51.35	220.32	141.02	96.68	191.67	190.34	157.68	376.41	38.95	158.79	109.66	123.5	35.5	24.81	80.01	158.79	197.09	125.24	173.85	71.0	54.33	20.41
GLE1	269.6	346.29	409.15	159.9	323.03	400.71	106.63	371.22	525.39	507.46	450.94	260.38	460.44	129.69	265.87	361.04	454.09	334.46	435.55	269.6	559.28	204.07	293.07	185.11	540.19	133.36	242.88	312.0	525.39	387.02	559.28	529.06	371.22	525.39	480.04	202.66	480.04	212.78	379.04	325.29	169.07	514.56	450.94	450.94	417.77	525.39	426.57	229.72	186.4
GOLGA1	205.5	180.02	236.21	96.01	157.68	181.28	70.01	177.53	198.47	305.55	289.02	206.94	241.19	112.77	88.88	237.86	162.14	218.79	223.41	176.29	297.17	94.67	237.86	144.01	237.86	61.25	177.53	194.36	301.33	246.28	234.57	214.27	191.67	239.52	262.2	221.86	208.38	138.1	199.85	140.04	111.21	262.2	195.72	201.25	249.73	195.72	275.28	88.88	115.16
GOPC	334.46	215.77	384.34	145.02	242.88	287.01	90.77	356.05	361.04	293.07	423.61	234.57	356.05	120.94	180.02	198.47	356.05	169.07	299.25	218.79	457.25	100.83	242.88	127.0	346.29	76.71	275.28	211.31	389.72	336.79	323.03	358.54	351.14	366.09	366.09	172.65	387.02	204.07	301.33	237.86	165.57	486.75	318.57	325.29	309.83	303.44	314.17	161.02	154.42
GPS2	1295.13	1498.22	2434.5	878.17	1487.87	2502.97	669.92	1977.24	1781.89	2075.59	1721.16	1359.57	2555.58	902.89	842.36	836.53	1991.0	713.11	1709.26	1295.13	2224.63	713.11	1135.2	830.75	1857.6	1447.15	1467.37	808.0	2004.85	1923.14	1923.14	2018.8	2075.59	1551.09	2104.58	1015.93	1322.37	1001.93	1104.13	567.1	1104.13	1594.73	2609.3	1175.27	1709.26	1594.73	2104.58	890.44	830.75
GTPBP10	221.86	273.37	256.78	108.14	242.88	226.54	85.22	275.28	166.73	279.14	305.55	236.21	381.68	152.28	127.89	287.01	194.36	253.23	162.14	182.55	432.53	89.51	190.34	135.24	234.57	41.22	186.4	241.19	264.03	248.0	269.6	208.38	234.57	212.78	447.82	163.28	195.72	158.79	220.32	169.07	106.63	363.56	163.28	231.32	206.94	197.09	237.86	108.9	117.6
HDDC3	438.59	470.14	599.49	220.32	397.93	426.57	293.07	669.92	665.29	514.56	490.14	406.31	941.27	198.47	285.03	457.25	420.68	312.0	651.58	387.02	540.19	260.38	373.81	127.89	575.03	171.45	397.93	281.09	651.58	665.29	547.75	555.41	620.67	603.67	884.29	102.25	444.72	256.78	629.35	460.44	157.68	638.15	607.87	559.28	543.96	363.56	591.22	177.53	236.21
HECTD3	575.03	629.35	679.29	172.65	616.37	764.36	136.19	612.11	733.19	1175.27	842.36	536.45	785.88	154.42	297.17	447.82	567.1	376.41	693.58	392.44	1044.52	353.59	579.04	262.2	1073.91	236.21	551.56	314.17	1088.92	603.67	775.05	713.11	629.35	507.46	607.87	305.55	884.29	211.31	555.41	447.82	156.59	808.0	854.13	599.49	518.15	708.18	1030.12	432.53	279.14
ILVBL	547.75	796.86	1044.52	320.8	693.58	808.0	281.09	1304.15	1081.39	1277.29	1015.93	791.35	1407.55	249.73	587.13	529.06	733.19	463.65	1143.1	514.56	1268.46	507.46	674.59	283.05	1023.0	426.57	591.22	312.0	1037.29	1096.5	1313.23	1313.23	995.0	1127.35	1378.57	327.56	1073.91	457.25	1477.58	579.04	540.19	1233.75	1135.2	872.1	656.11	981.29	1088.92	314.17	412.0
INO80C	269.6	860.08	1051.79	287.01	583.07	679.29	406.31	1073.91	1001.93	1030.12	688.78	796.86	1183.45	171.45	583.07	279.14	728.11	368.65	961.07	743.43	961.07	500.46	514.56	236.21	854.13	159.9	470.14	214.27	842.36	860.08	1135.2	995.0	591.22	995.0	1225.22	264.03	708.18	612.11	967.76	563.18	366.09	896.64	995.0	624.99	1081.39	660.68	854.13	384.34	265.87
IRF2BP1	248.0	305.55	376.41	91.41	215.77	283.05	95.34	780.44	551.56	497.0	358.54	279.14	769.69	111.99	197.09	135.24	414.87	220.32	457.25	135.24	591.22	111.21	281.09	112.77	336.79	239.52	265.87	161.02	389.72	299.25	555.41	583.07	332.14	514.56	563.18	127.89	473.41	226.54	420.68	147.06	145.02	423.61	595.34	218.79	191.67	299.25	400.71	113.56	169.07
ITFG2	420.68	429.54	981.29	202.66	406.31	830.75	242.88	791.35	909.17	1030.12	1331.57	642.59	884.29	199.85	395.18	361.04	738.29	412.0	854.13	473.41	1167.14	348.71	583.07	265.87	896.64	114.36	595.34	356.05	1088.92	674.59	974.5	791.35	860.08	995.0	1037.29	265.87	947.83	493.56	698.41	287.01	450.94	1427.22	909.17	713.11	836.53	813.63	785.88	371.22	303.44
KBTBD7	66.65	31.9	96.68	20.86	30.78	50.63	38.95	107.38	118.43	94.01	90.14	36.79	102.25	20.56	19.25	33.78	73.54	27.44	93.35	59.55	98.73	12.64	38.67	26.86	81.14	12.18	57.49	48.87	117.6	82.29	113.56	111.99	77.25	69.52	108.9	29.27	127.89	42.11	61.68	27.84	19.82	108.14	119.26	63.89	70.01	73.03	72.52	30.34	24.28
KIFAP3	389.72	536.45	1242.34	289.02	669.92	660.68	314.17	575.03	764.36	587.13	708.18	529.06	967.76	264.03	529.06	363.56	808.0	409.15	591.22	441.64	563.18	255.0	232.94	291.04	571.05	153.34	563.18	406.31	723.08	808.0	1111.82	733.19	511.0	769.69	1066.48	297.17	447.82	612.11	848.22	941.27	447.82	884.29	587.13	629.35	995.0	884.29	497.0	202.66	316.37
LRRC14	316.37	318.57	571.05	92.7	264.03	441.64	85.22	255.0	507.46	748.61	775.05	392.44	660.68	70.01	151.22	214.27	607.87	368.65	454.09	460.44	713.11	138.1	269.6	206.94	346.29	139.07	297.17	325.29	473.41	532.74	353.59	403.5	348.71	624.99	713.11	211.31	532.74	185.11	473.41	234.57	197.09	480.04	551.56	366.09	656.11	389.72	450.94	165.57	151.22
LZTR1	819.3	547.75	1015.93	262.2	915.51	1259.69	157.68	426.57	764.36	1447.15	1331.57	723.08	902.89	145.02	551.56	511.0	1259.69	540.19	974.5	796.86	1216.75	356.05	587.13	470.14	796.86	177.53	665.29	511.0	842.36	866.07	480.04	738.29	616.37	791.35	1304.15	400.71	1167.14	303.44	909.17	232.94	373.81	1111.82	808.0	684.02	1605.83	525.39	884.29	536.45	336.79
