	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07
KIAA1328	59.55	106.63	118.43	85.22	54.33	116.78	202.66	186.4	185.11	215.77	67.59	135.24	32.82	31.22	28.24	30.12
KMT2A	99.43	206.94	463.65	212.78	108.9	591.22	738.29	703.28	579.04	866.07	224.97	249.73	44.57	55.1	60.82	40.36
LATS1	131.51	218.79	373.81	253.23	108.14	412.0	435.55	460.44	406.31	503.95	127.89	120.94	45.85	44.89	46.5	33.3
LCA5	18.03	17.13	131.51	38.12	21.78	116.78	226.54	387.02	521.76	185.11	29.7	23.42	4.31	3.03	0.73	2.61
LPPR3	4.5	177.53	181.28	563.18	45.53	507.46	102.25	44.25	205.5	223.41	0.3	0.75	0.0	0.92	0.38	0.0
MAP3K1	205.5	231.32	591.22	808.0	111.99	356.05	1030.12	1073.91	890.44	1250.98	187.71	253.23	62.12	81.71	81.14	120.1
MAP3K7	236.21	295.11	384.34	406.31	185.11	543.96	473.41	698.41	612.11	536.45	312.0	332.14	171.45	155.5	262.2	164.42
MFAP3L	27.05	34.26	113.56	51.71	23.08	163.28	221.86	260.38	323.03	297.17	7.94	25.35	30.78	52.08	15.0	26.86
MGEA5	1051.79	1721.16	2163.77	1407.55	848.22	2720.15	2664.15	3124.78	2537.92	2935.74	1605.83	1883.54	329.84	688.78	379.04	1037.29
MID2	68.07	175.07	267.73	215.77	106.63	303.44	287.01	201.25	241.19	353.59	215.77	155.5	27.64	5.41	25.54	55.1
MMS22L	53.95	74.58	125.24	187.71	38.12	156.59	155.5	172.65	273.37	177.53	46.84	60.82	6.31	33.06	18.29	10.0
MS4A14	39.79	32.82	92.05	71.0	7.69	81.71	53.57	100.83	140.04	120.94	30.56	49.56	22.59	8.0	10.96	5.63
MTR	146.03	152.28	283.05	295.11	100.13	521.76	435.55	587.13	358.54	500.46	158.79	186.4	43.94	67.59	34.26	111.99
MUC6	0.0	0.0	1.04	1674.06	0.0	2104.58	40.93	447.82	348.71	1709.26	4.13103505E7	2.782734531E7	1.03	0.0	0.51	0.0
MYH9	5006.93	5633.22	8421.31	9279.58	5403.7	10440.2	7537.18	7130.55	6887.62	9409.14	3768.09	4010.71	2976.74	4095.0	1617.0	2018.8
NAF1	159.9	201.25	318.57	279.14	139.07	264.03	299.25	463.65	271.48	457.25	217.27	193.01	44.25	77.79	68.07	65.72
NCBP1	287.01	312.0	457.25	420.68	221.86	441.64	409.15	381.68	441.64	476.71	289.02	343.89	182.55	185.11	201.25	237.86
NF1	136.19	244.57	591.22	547.75	162.14	693.58	665.29	743.43	599.49	583.07	175.07	151.22	134.3	133.36	65.72	98.04
NOC3L	244.57	197.09	289.02	260.38	171.45	256.78	339.14	376.41	293.07	283.05	201.25	193.01	117.6	85.82	72.01	190.34
NR2C2	39.22	53.57	423.61	236.21	57.49	397.93	420.68	255.0	412.0	454.09	199.85	215.77	50.98	42.11	60.39	38.4
NUP160	234.57	209.84	412.0	612.11	152.28	406.31	624.99	954.43	764.36	743.43	314.17	366.09	137.14	182.55	156.59	123.5
OGT	679.29	688.78	1832.01	624.99	371.22	2485.67	2645.74	2720.15	2384.37	2255.7	1662.49	2682.69	309.83	271.48	314.17	417.77
OTUD1	116.78	124.37	241.19	215.77	98.04	249.73	281.09	551.56	363.56	387.02	165.57	119.26	61.25	33.78	33.78	42.41
OTUD4	185.11	262.2	470.14	327.56	166.73	325.29	642.59	624.99	429.54	536.45	299.25	275.28	63.89	134.3	63.0	115.16
PAFAH1B1	902.89	1143.1	1508.65	1697.45	860.08	1794.29	1794.29	2163.77	1407.55	1781.89	1407.55	1304.15	412.0	281.09	607.87	412.0
PAPOLA	1286.18	1991.0	2701.35	2209.26	1508.65	2537.92	2451.44	2935.74	2209.26	2434.5	1519.15	1143.1	1313.23	1233.75	1388.16	791.35
PAXBP1	220.32	336.79	420.68	226.54	122.64	674.59	559.28	753.83	514.56	684.02	473.41	460.44	98.04	100.13	113.56	100.83
PCMTD1	441.64	759.08	1551.09	1159.07	567.1	1286.18	1819.35	3146.52	3039.3	1605.83	638.15	500.46	217.27	417.77	265.87	163.28
PEAK1	92.05	113.56	265.87	164.42	38.67	299.25	450.94	371.22	629.35	339.14	127.89	165.57	36.79	55.89	22.43	23.59
PHF3	273.37	591.22	748.61	595.34	447.82	698.41	988.12	1119.56	947.83	1119.56	244.57	231.32	111.99	159.9	163.28	121.79
PHIP	115.97	303.44	412.0	438.59	142.01	525.39	620.67	769.69	529.06	532.74	157.68	161.02	38.95	32.82	63.0	35.76
PIK3C3	764.36	909.17	1359.57	1059.11	981.29	1259.69	1167.14	1508.65	1467.37	1388.16	571.05	612.11	470.14	376.41	339.14	543.96
PIK3IP1	403.5	285.03	723.08	599.49	603.67	738.29	974.5	1159.07	1304.15	1250.98	638.15	511.0	273.37	291.04	100.83	384.34
PLEKHA4	253.23	49.91	392.44	351.14	206.94	381.68	866.07	1350.18	1508.65	748.61	299.25	279.14	208.38	438.59	674.59	356.05
PLIN4	8.19	1.35	161.02	63.89	3.96	131.51	753.83	283.05	329.84	223.41	63.0	125.24	264.03	155.5	106.63	52.45
POLH	130.6	199.85	215.77	260.38	127.0	329.84	244.57	343.89	536.45	341.51	166.73	198.47	35.76	71.0	65.26	68.55
POLR2M	293.07	536.45	583.07	579.04	348.71	612.11	941.27	854.13	583.07	669.92	301.33	258.57	152.28	157.68	175.07	141.02
PRMT2	1561.89	1322.37	2018.8	1685.71	1268.46	1639.59	2777.33	2758.13	2976.74	2720.15	1268.46	1605.83	346.29	309.83	860.08	329.84
PUS10	118.43	127.89	159.9	96.01	71.0	153.34	211.31	260.38	217.27	242.88	56.68	88.88	89.51	61.68	23.93	94.01
QSER1	109.66	164.42	457.25	301.33	114.36	368.65	432.53	463.65	466.88	329.84	159.9	172.65	33.06	46.5	72.01	40.64
RAPGEF6	92.7	114.36	170.25	137.14	68.07	198.47	229.72	293.07	232.94	271.48	63.45	75.11	27.64	49.21	35.0	47.17
RC3H1	82.87	88.26	199.85	141.02	85.22	248.0	241.19	234.57	156.59	265.87	191.67	113.56	41.22	64.34	63.0	37.32
RICTOR	113.56	96.01	223.41	191.67	88.88	291.04	397.93	454.09	265.87	346.29	145.02	127.0	47.5	40.07	28.86	48.52
RNF138	265.87	231.32	400.71	260.38	215.77	293.07	555.41	555.41	497.0	540.19	256.78	113.56	151.22	149.12	111.21	82.29
RNF152	22.59	66.18	271.48	118.43	10.39	318.57	212.78	239.52	204.07	264.03	167.9	63.0	197.09	101.54	87.65	65.72
RP11-1220K2.2	0.26	0.3	4.06	0.64	0.0	10.63	178.77	53.19	42.41	14.35	4419.52	6.84	0.0	0.0	0.0	0.0
RPS6KA5	39.79	62.56	162.14	135.24	38.12	242.88	307.69	334.46	295.11	242.88	66.65	73.03	7.51	5.68	2.61	5.77
RSPH3	145.02	265.87	303.44	212.78	176.29	392.44	218.79	209.84	323.03	363.56	199.85	173.85	22.59	35.76	39.22	32.13
RUFY2	149.12	220.32	215.77	242.88	130.6	309.83	309.83	483.38	351.14	346.29	172.65	183.82	52.82	53.19	36.27	81.14
SCAF8	285.03	525.39	603.67	525.39	318.57	555.41	819.3	915.51	718.08	813.63	341.51	361.04	98.73	143.01	86.43	90.77
SCAND3	0.29	0.0	26.86	11.04	5.68	52.08	58.3	137.14	89.51	108.14	8.71	23.59	6.41	15.11	19.68	0.0
SEC24B	285.03	341.51	579.04	591.22	334.46	406.31	698.41	860.08	620.67	595.34	423.61	341.51	84.04	208.38	48.52	151.22
SETBP1	42.41	134.3	403.5	217.27	68.07	307.69	283.05	395.18	312.0	273.37	50.63	76.71	19.25	40.07	13.52	27.84
SETD2	269.6	426.57	718.08	529.06	236.21	555.41	819.3	954.43	1008.9	718.08	409.15	314.17	138.1	214.27	165.57	125.24
SHPRH	40.64	63.0	208.38	99.43	30.56	149.12	264.03	305.55	329.84	232.94	76.17	77.79	9.13	18.7	15.45	16.63
SLC38A1	848.22	1583.71	2047.0	2591.27	287.01	1909.85	2287.2	2004.85	2335.28	2895.31	384.34	423.61	217.27	52.82	191.67	6.41
SMCHD1	199.85	273.37	651.58	423.61	159.9	591.22	603.67	629.35	400.71	607.87	376.41	271.48	81.71	96.01	46.18	62.12
SMYD4	85.82	83.45	143.01	120.94	62.56	176.29	271.48	220.32	159.9	264.03	76.17	190.34	27.44	34.26	18.03	38.12
SNRNP48	82.87	120.1	204.07	158.79	71.0	232.94	248.0	325.29	241.19	248.0	97.36	133.36	37.85	55.89	68.55	52.08
SP4	23.93	61.68	118.43	77.79	23.93	85.22	146.03	197.09	159.9	131.51	28.45	25.91	12.0	11.04	12.64	19.25
SWAP70	351.14	246.28	483.38	688.78	112.77	693.58	1331.57	836.53	802.41	961.07	373.81	279.14	154.42	149.12	123.5	75.64
TBC1D15	567.1	616.37	791.35	921.88	684.02	947.83	1183.45	1159.07	836.53	1295.13	540.19	368.65	376.41	353.59	277.2	299.25
TGIF1	713.11	1806.78	2367.9	2178.83	981.29	2104.58	1733.13	2075.59	2032.85	3039.3	988.12	1001.93	866.07	764.36	802.41	796.86
TLR5	33.06	78.34	214.27	121.79	78.89	351.14	341.51	575.03	493.56	555.41	169.07	141.02	27.05	12.36	13.62	13.12
TMEM168	178.77	241.19	470.14	269.6	175.07	381.68	563.18	698.41	669.92	486.75	295.11	373.81	71.0	35.25	88.26	64.34
TMEM170B	31.22	31.22	80.57	59.55	34.75	73.54	82.87	64.8	195.72	67.59	21.16	19.53	55.49	17.25	32.36	26.67
TMEM87A	1030.12	1175.27	1857.6	2287.2	890.44	2351.53	3665.02	3768.09	2895.31	2384.37	1295.13	967.76	264.03	334.46	329.84	190.34
TMF1	281.09	376.41	575.03	665.29	301.33	884.29	713.11	669.92	599.49	698.41	279.14	176.29	68.07	80.57	66.18	49.91
TNKS2	273.37	432.53	595.34	587.13	209.84	708.18	775.05	1167.14	813.63	708.18	400.71	414.87	116.78	108.14	59.97	141.02
TNRC6B	47.17	79.45	204.07	113.56	45.85	155.5	181.28	170.25	183.82	241.19	78.34	93.35	43.32	53.19	42.11	39.5
TOP2B	1594.73	2163.77	2855.44	2720.15	1572.76	2417.67	2976.74	3372.43	3443.31	2319.15	1135.2	1242.34	728.11	559.28	830.75	743.43
TRAF6	67.59	122.64	241.19	190.34	82.29	255.0	239.52	281.09	237.86	264.03	118.43	122.64	56.28	49.21	40.07	52.82
TTBK2	26.67	39.79	112.77	105.15	27.25	109.66	166.73	149.12	119.26	145.02	45.21	75.11	12.36	13.72	9.93	11.82
TTC17	575.03	974.5	1883.54	1175.27	674.59	1447.15	1794.29	2178.83	1844.76	2061.24	1135.2	1081.39	503.95	403.5	693.58	616.37
TVP23C	112.77	111.21	169.07	159.9	116.78	231.32	171.45	293.07	262.2	392.44	105.89	80.57	21.01	17.77	24.46	15.91
UBA3	743.43	620.67	1059.11	1037.29	679.29	1066.48	1073.91	1487.87	1051.79	1135.2	836.53	878.17	371.22	301.33	343.89	236.21
USP25	320.8	273.37	356.05	397.93	241.19	567.1	679.29	679.29	866.07	698.41	395.18	269.6	166.73	157.68	172.65	202.66
USP31	43.02	41.22	248.0	78.89	69.03	186.4	205.5	206.94	129.69	389.72	113.56	137.14	80.57	76.17	72.01	75.11
USP47	373.81	878.17	1015.93	1073.91	651.58	995.0	1167.14	981.29	1674.06	1259.69	733.19	693.58	356.05	381.68	389.72	212.78
WDR20	260.38	426.57	529.06	395.18	301.33	480.04	483.38	603.67	642.59	511.0	371.22	361.04	167.9	127.89	129.69	215.77
WDR48	366.09	470.14	638.15	780.44	525.39	718.08	1044.52	1225.22	1001.93	802.41	366.09	395.18	215.77	151.22	244.57	253.23
XPO1	1250.98	1208.34	1721.16	1467.37	753.83	2018.8	1977.24	2287.2	1896.65	1936.53	808.0	1037.29	679.29	536.45	551.56	587.13
ZBTB38	299.25	403.5	743.43	872.1	438.59	1111.82	1286.18	1477.58	1378.57	802.41	271.48	214.27	144.01	170.25	122.64	116.78
ZC3H14	587.13	981.29	1277.29	1225.22	616.37	1143.1	1350.18	1388.16	1733.13	1733.13	507.46	647.07	555.41	450.94	679.29	525.39
ZFYVE20	143.01	180.02	341.51	226.54	156.59	271.48	361.04	559.28	444.72	353.59	182.55	182.55	72.52	73.03	95.34	69.03
ZKSCAN8	82.87	169.07	316.37	255.0	96.01	423.61	497.0	414.87	358.54	256.78	185.11	202.66	35.0	46.84	40.07	35.5
ZNF175	40.07	90.77	169.07	108.14	48.87	183.82	201.25	212.78	269.6	195.72	79.45	79.45	5.06	3.66	2.78	13.83
ZNF292	65.72	163.28	269.6	231.32	77.79	312.0	371.22	412.0	327.56	392.44	198.47	104.42	29.27	23.08	51.71	19.11
ZNF331	189.02	318.57	454.09	353.59	248.0	381.68	551.56	660.68	381.68	555.41	127.89	151.22	11.55	23.42	50.27	31.22
ZNF345	43.94	69.52	91.41	76.71	45.53	76.71	205.5	217.27	205.5	129.69	94.67	129.69	15.91	23.76	19.25	12.64
ZNF383	66.18	77.79	117.6	82.29	48.18	138.1	208.38	198.47	190.34	167.9	102.97	85.82	42.41	20.86	26.67	33.3
ZNF445	70.51	126.12	224.97	161.02	70.51	183.82	209.84	220.32	232.94	249.73	65.72	94.01	32.36	51.35	37.85	36.01
ZNF451	232.94	297.17	466.88	389.72	212.78	395.18	579.04	587.13	493.56	457.25	305.55	293.07	88.26	119.26	92.7	90.14
ZNF501	8.25	8.38	87.03	60.39	3.89	153.34	173.85	339.14	178.77	124.37	24.81	28.45	2.34	3.82	2.43	0.54
ZNF621	66.18	194.36	363.56	190.34	100.83	249.73	323.03	256.78	329.84	318.57	150.17	162.14	31.45	32.13	20.71	22.43
ZNF654	66.65	145.02	154.42	139.07	86.43	186.4	224.97	295.11	195.72	162.14	119.26	90.77	29.7	31.0	35.5	27.84
ZNF704	37.59	90.14	312.0	157.68	79.45	287.01	348.71	796.86	1059.11	507.46	95.34	80.01	16.88	3.92	65.26	40.07
ZNF844	96.01	172.65	291.04	208.38	97.36	264.03	334.46	633.73	346.29	363.56	75.64	37.59	2.73	4.35	29.7	19.82
ZNF852	22.43	27.44	83.45	38.95	21.32	103.69	107.38	63.45	102.25	88.88	30.12	38.95	24.81	21.63	25.72	20.26
