	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L	GTEX.QV31.0726.SM.3GAEG	GTEX.11I78.0526.SM.5986A	GTEX.13N11.1026.SM.5K7XQ	GTEX.XUJ4.0726.SM.4BOOP	GTEX.117YX.1226.SM.5H11S
IPO9	406.31	483.38	426.57	346.29	543.96	432.53	384.34	684.02	647.07	559.28	616.37	674.59
IVL	7.49798696E7	4.247174256E7	0.0	0.87	0.0	0.0	0.45	0.39	2.16	1.81	33.78	7.17
KIAA1586	10.88	56.68	52.08	11.38	71.0	48.18	18.56	120.1	75.11	126.12	84.63	125.24
KLF14	1.25	0.0	0.0	0.0	0.51	0.49	0.0	2.36	1.27	0.72	1.77	0.74
LIX1L	8.78	78.89	172.65	120.94	267.73	159.9	157.68	392.44	339.14	166.73	273.37	164.42
MAB21L2	0.88	3.86	28.24	9.63	24.81	19.39	1.55	145.02	36.79	36.79	32.36	189.02
MLLT10	95.34	208.38	171.45	107.38	279.14	217.27	135.24	551.56	450.94	518.15	426.57	500.46
MRFAP1	4181.07	6792.79	4639.29	4152.18	5076.84	4903.87	4388.98	6935.54	6935.54	7230.1	6471.02	7433.4
MRPL32	532.74	896.64	1769.57	848.22	1781.89	1540.37	1286.18	1745.2	1605.83	1551.09	1081.39	1794.29
MRPL50	175.07	181.28	171.45	116.78	251.48	173.85	127.0	285.03	244.57	269.6	212.78	316.37
MTDH	518.15	612.11	854.13	258.57	866.07	909.17	733.19	1295.13	961.07	921.88	954.43	848.22
NAP1L5	39.22	50.63	70.51	37.05	90.77	78.89	154.42	466.88	150.17	353.59	215.77	368.65
NGDN	336.79	872.1	563.18	447.82	665.29	555.41	283.05	1175.27	1015.93	1242.34	967.76	1259.69
NRSN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.97	7.34	11.82	0.0	22.26
NUCKS1	1745.2	665.29	1617.0	595.34	1651.0	1378.57	1870.53	3768.09	2796.65	3257.52	3614.55	2835.7
PCDHGA1	0.64	1.19	1.13	1.04	2.14	1.11	0.0	16.39	5.73	14.56	9.41	12.18
PCGF1	429.54	551.56	273.37	301.33	444.72	206.94	119.26	713.11	521.76	540.19	507.46	669.92
PHF17	109.66	356.05	133.36	105.15	190.34	157.68	785.88	1359.57	743.43	1721.16	1350.18	1594.73
PKNOX1	141.02	295.11	93.35	33.78	118.43	102.97	71.5	961.07	400.71	718.08	493.56	591.22
PRKD1	1.22	19.25	20.71	15.22	26.67	18.84	65.26	285.03	185.11	212.78	223.41	167.9
PRMT7	493.56	486.75	480.04	435.55	703.28	480.04	363.56	890.44	651.58	878.17	909.17	796.86
PRTFDC1	5.82	39.22	20.56	7.75	44.25	17.77	0.79	66.18	75.11	153.34	105.15	125.24
RBMX	2193.99	2701.35	860.08	665.29	1313.23	802.41	295.11	4769.75	3257.52	4010.71	3325.99	4239.45
RGL2	830.75	934.76	397.93	244.57	753.83	351.14	143.01	1617.0	1208.34	1870.53	2061.24	1685.71
RIPK1	289.02	400.71	323.03	234.57	389.72	269.6	151.22	665.29	511.0	463.65	420.68	500.46
RP1-241P17.4	32.59	20.56	4.74	4.78	16.39	10.39	2.51	38.4	56.28	21.01	12.18	18.97
RP11-146D12.2	61.25	9.27	15.22	1.83	1.99	2.58	1.51	55.1	3.5	24.99	18.7	21.78
RP11-210M15.2	0.0	82.87	0.0	0.0	0.0	0.0	0.0	68.07	25.72	85.82	127.0	96.68
RP11-507M3.1	1.31	0.77	0.0	0.0	0.0	0.0	0.0	3.41	0.4	2.53	1.53	2.01
RP5-1021I20.4	3.79	6.26	6.11	4.62	5.54	2.27	3.06	20.56	15.91	23.76	25.17	21.78
RWDD1	796.86	1594.73	896.64	241.19	1104.13	1008.9	698.41	1427.22	1119.56	1369.04	1127.35	1477.58
SALL1	8.51	75.64	417.77	381.68	454.09	1051.79	457.25	1183.45	902.89	1487.87	718.08	441.64
SART3	466.88	460.44	231.32	178.77	289.02	217.27	82.87	728.11	591.22	693.58	674.59	733.19
SBDS	1674.06	2520.38	1923.14	1350.18	1857.6	1769.57	1769.57	3039.3	2573.36	2417.67	2417.67	3018.3
SCGB1D2	0.0	0.0	0.0	0.0	0.0	0.0	3.32	47.17	20.86	14.67	21.63	43.63
SCGB2A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	2.58	1.41	2.39	4.46
SETD2	231.32	336.79	228.13	60.82	301.33	202.66	165.57	607.87	547.75	638.15	579.04	587.13
SRSF7	1832.01	2061.24	1199.98	1151.06	2047.0	1487.87	842.36	2682.69	2434.5	2664.15	2075.59	3060.45
TAF3	55.49	85.82	61.25	32.13	66.65	62.12	53.19	136.19	129.69	154.42	134.3	135.24
TEX261	293.07	575.03	703.28	738.29	848.22	769.69	483.38	2209.26	1844.76	2032.85	1857.6	1487.87
TPO	0.0	1.33	6.67	2.46	6.62	0.0	0.0	619179.28	402881.61	125731.67	492579.5	386469.83
TRAF3IP1	64.34	106.63	156.59	57.89	126.12	122.64	65.26	432.53	358.54	447.82	351.14	500.46
TRIM39	131.51	186.4	120.1	91.41	143.01	105.15	68.07	497.0	412.0	423.61	395.18	389.72
TRPC6	13.12	51.35	1.13	1.03	2.16	1.1	0.89	432.53	211.31	239.52	185.11	77.79
TSPAN7	19.39	195.72	547.75	309.83	420.68	547.75	172.65	1259.69	1757.34	1242.34	1216.75	633.73
TTLL11	42.41	71.5	77.79	48.52	95.34	47.17	24.46	102.97	62.12	88.26	90.14	114.36
U2AF1L4	202.66	476.71	307.69	215.77	473.41	400.71	303.44	1277.29	1572.76	934.76	934.76	1896.65
USP16	361.04	723.08	373.81	81.71	395.18	356.05	191.67	1322.37	708.18	819.3	718.08	921.88
VEPH1	12.36	41.81	18.43	8.13	29.48	13.22	0.82	91.41	14.89	64.34	20.11	94.67
WDR35	10.71	42.71	26.28	13.93	36.27	21.63	7.17	277.2	139.07	285.03	206.94	244.57
YAE1D1	209.84	441.64	170.25	82.29	283.05	169.07	49.91	665.29	414.87	629.35	536.45	642.59
ZC3H13	191.67	353.59	295.11	74.58	376.41	255.0	119.26	921.88	490.14	521.76	503.95	603.67
ZCRB1	928.3	1369.04	1023.0	327.56	1259.69	909.17	796.86	1529.73	1233.75	1662.49	1208.34	1457.23
ZNF182	20.86	74.06	38.67	8.71	64.8	33.78	11.13	223.41	144.01	165.57	151.22	205.5
